date,Москва и область,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Мурманская область,Новгородская область,Псковская область,Республика Карелия,Республика Коми,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Пермский край,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Самарская область,Саратовская область,Удмуртская Республика,Ульяновская область,Чувашская Республика,Астраханская область,Волгоградская область,Краснодарский край,Республика Адыгея,Республика Калмыкия,Ростовская область,Алтайский край,Иркутская область,Кемеровская область (Кузбасс),Красноярский край,Новосибирская область,Омская область,Республика Алтай,Республика Тыва,Республика Хакасия,Томская область,Амурская область,Еврейская автономная область,Забайкальский край,Камчатский край,Магаданская область,Приморский край,Республика Бурятия,Республика Саха (Якутия),Сахалинская область,Хабаровский край,Алушта,Армянск,Бахчисарайский район,Джанкой,Евпатория,Ялта,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Дагестан,Республика Ингушетия,Республика Северная Осетия — Алания,Ставропольский край,Чеченская Республика,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский автономный округ - Югра,Челябинская область,Ямало-Ненецкий автономный округ,Тверская область,Тульская область,Ярославская область,Санкт-Петербург и Ленинградская область,Архангельская область,Вологодская область,Калининградская область,Керчь,Красноперекопск,Ленинский район,Саки,Севастополь,Симферополь,Судак
2018-01-01,404.5377896879936,405.75186515089433,367.88510966470665,420.17883575510734,349.70684461168184,482.1187137755912,485.86896391682575,416.57538952091994,409.1048056913438,389.2878297908819,418.84831986967333,452.77037086551917,427.7938968619168,401.15595934244965,405.3038298072826,356.71254241657124,462.5707027406483,508.59767057752686,446.7760090089805,441.9928876145409,502.3836423349644,457.04318491375165,470.0083350593717,560.0635295289499,475.9005689881107,550.7491125586097,432.82081591226745,526.3346957031963,420.89074748775255,408.3077088196518,475.1254647027767,449.89494795659283,514.1018783877637,579.752514195489,451.2594109026742,386.6913798277715,389.4569324203892,412.47752229232447,413.5704302353157,456.61189996601837,370.9064372022789,414.18375921737146,361.6250935890861,402.11026463376635,411.6902332487085,468.10656938341214,515.5193877433012,416.07014584522625,481.97255916480646,524.5912615036918,516.2580122869407,407.57700800052845,424.54794438130807,531.9259582839296,481.0600413933859,315.8284649040856,401.0844898675588,425.2663692883722,436.5744220632037,674.0426811603127,284.2924542321454,187.457461576027,343.04678472050017,392.30557989303134,558.6901159296028,347.8481900148596,311.6530383901329,275.2135669040439,320.1056894691928,433.54741875750005,384.87378236065604,288.91762357744517,466.42536381519835,463.28574317560475,396.46016757631554,405.30157486869257,437.65838335472233,507.30800361426566,388.5754172807824,441.9498364417814,493.7482586630942,388.7604601886074,662.6430374310636,462.81944591034664,374.2138599564177,298.22371439891754,442.4062857085073,464.9162569592152,274.96154357300304,459.71598025864495,561.4858953352668,594.789642729688
2018-02-01,350.17765093052583,328.3888849199695,374.7760461596649,331.44667317136447,306.88096587163915,344.2105548162336,334.65574236177457,344.315926411608,397.6777237165276,295.27723974523826,351.44816150370167,352.06793502874314,311.59826084418637,302.51961756497815,280.5511002946276,375.68374873099026,315.04235654273356,400.30866481902234,409.01531864086775,371.4642541756758,435.679400460877,422.03025229070175,395.3241952558871,446.05583569838484,418.71186762582437,441.2704639813875,535.6889664421194,450.378529279002,382.6745875491642,306.49525511637665,448.8385465223386,342.68408402485073,443.42264611723584,493.3663091869045,391.84845814255107,352.33253482869753,346.2962671014099,288.43689583897464,388.83531554926884,416.0109214230592,397.1607736585536,371.6380642155471,339.959127308969,398.46936984748146,367.4679528269932,423.1459759180905,459.5218911695553,351.04261855159706,374.5753204364025,385.04871330759323,439.1535563418738,386.9457353303434,410.9310670652029,638.1342298559497,406.2698819831464,324.6145335452893,382.02566870557143,466.5350380621951,436.8348209147638,389.3912035414574,254.61489497135585,89.59538253691684,204.8696666130307,304.92631638520345,407.0958479290672,320.70950936103793,222.05441957449042,261.2254299324262,178.62794616606564,346.05227210636554,303.5479929897822,248.2882714462646,325.82465707596236,391.55786233209125,361.8339990300016,380.9142993413441,397.1622480653527,409.0821110517352,321.58131841108354,384.54047693858536,374.9650505382058,338.3061532072112,438.78377333215644,413.8052902846965,364.95536330596866,152.1842822405529,322.6989365603227,371.03161807772045,245.2838342768974,318.4882055231656,386.14715846728274,193.76979128953798
2018-03-01,381.3727338519854,384.04964205135747,297.92590617626587,373.6994392247321,330.13005992342744,344.3386864871219,362.2497471806763,401.65978625011036,291.78604878850354,334.2922091057769,331.0804314967851,332.70542078228783,304.913186666648,295.5599711755071,342.1030038171216,269.7679736637447,309.9958907237635,343.9924171304536,374.86767538576214,487.2207820469187,438.65682157433366,514.2830502624707,322.6410946727736,499.24950507578046,481.19114412253987,505.5600616343658,544.9055607321943,448.35993761752053,385.37893408055544,316.7644163026333,503.7514288949261,421.08871349335476,453.7624432310844,465.51751320731023,399.2885041580946,363.6865537478883,278.01802528045823,238.41835861820232,491.4342308744317,457.3559637343543,419.406390718023,404.5670422189061,396.48665129312036,395.16420846635447,375.44233815827107,365.18482037262254,481.6829125176252,399.823332913855,462.7772696356671,414.67674990398643,498.61979271267177,384.1315266347197,439.257523563942,491.01717259572115,493.3941588113192,425.230005523368,413.2002505772419,378.4973151923776,476.5820426467683,212.73834672521224,169.720888341759,171.42450245137036,195.06540264285755,241.8195330764212,223.14552602197443,336.722171059159,302.8977963191252,274.66859920675955,139.57149689499943,343.9975384127067,307.58201132477654,270.2725601335265,365.38773046468356,478.56967087067136,404.07018518822935,414.7214944388012,407.73851587575297,397.55673951310104,414.4255836753533,345.32786043278264,334.1669941828137,341.1589500568659,405.5999883381568,462.2922521901251,369.4330682964827,226.72707935655615,90.32012160701173,297.4888962269483,232.4096939704818,297.34863619173535,360.83597704211365,179.18087932545
2018-04-01,449.3792101868315,479.22097530835146,439.81203605814414,436.2540927522122,424.1774276004547,478.5148408783541,467.97054214744537,484.59745756790255,677.2036892672006,414.3237302483175,564.4319684906555,466.0261734568083,397.78190625646903,429.05311341210034,450.51565870150847,439.7790949156889,554.2404931018918,420.2487080747588,512.2292033959878,614.9843325325882,585.5542347654039,581.1084673470364,449.1791190012621,602.9089424138051,676.3645328868758,530.0675345679756,694.2208516619651,762.9334132910952,499.6987015131473,442.81252116402607,579.6601844461658,629.9052778021401,564.4257863935961,448.9034086744079,553.5740192167287,437.7701975165906,451.8674918740321,377.8262136808419,508.81577880354314,544.4219602372914,448.10058283321735,700.2552275609634,512.9693781002401,536.9290967105804,560.930465726019,520.135933419863,903.5037033145979,518.5250430613538,555.3323824963484,658.3025638929774,785.4279837081873,663.0758879434837,495.43709496399373,531.5382153477863,503.4238414819008,461.55518310091503,644.2360480880194,557.7551168810271,595.5669933500533,323.4125022730407,110.27364404770437,323.5964509559242,338.4840111594841,213.38301381641844,381.97615789706,464.9581470477174,553.5998955369239,447.13674587476766,334.7370324323284,548.6591801462486,418.2242828372826,328.4518537121542,601.9711626878938,508.92978866187605,496.0638625160648,504.2676591508345,420.69898866474364,627.177891850774,417.7617049563015,500.8637312417421,446.5540850833373,429.39178591891124,548.2146040555194,552.4183083882201,545.2888575138505,470.951326080096,261.9537347791782,327.63506971298307,232.0946604180269,406.4929203175368,467.0066283830759,350.26883132804426
2018-05-01,540.3947365584753,483.875414280694,450.93316878354364,520.2970265087492,519.0142673273001,512.4054391428966,581.368175906051,525.2427582103618,505.71748640048384,430.89060283324875,598.3352668164111,519.833746127649,516.567957247569,452.7334844724445,481.0672705577267,451.7559453334362,538.9038509361206,486.82005655627705,473.92951836419576,678.5731337948112,653.8676103532432,593.9703059851861,520.6714472969136,673.1937523991897,775.9199690117975,686.8054153949145,693.7104283378426,645.3473724691555,495.1136035907606,527.0984400422154,533.8840626994001,725.4129732021787,623.6293051396264,555.8088230511657,495.6551368195596,505.9834326530149,325.5487033677116,633.4882043834738,552.0439602435195,571.2874472443461,547.5178375633999,571.5186428433075,831.1024109430181,594.2925725113361,596.3626202791362,528.3804313172702,855.6388859925679,548.1412412628939,784.9018380634898,592.7273595708934,660.9469240949136,483.29045023090674,392.0846527603301,648.7997066200124,656.844647224686,438.8404427900067,511.33810200365775,550.4523249228458,657.7420737439155,321.0862611399826,199.91630170835143,494.4917318209589,205.59162494480566,389.5903385443847,319.47955306285047,537.857816989829,505.5523256379196,404.3566304805291,367.68869024226154,549.6146438324236,457.61863202783286,398.9472127823869,646.1100677577161,609.8464044583651,526.5438026040416,635.9386864078416,557.157498185562,586.9786170281556,492.6642275864258,432.5234783742573,570.4344155102993,480.426442713154,606.8651413674542,571.6844467714157,543.5444039330429,356.7643956472297,871.204003933436,191.35353123009227,235.03906405206226,482.3038629118042,449.5694010143914,273.59884371467984
2018-06-01,459.1339801797386,433.87115014542627,371.4189614040009,455.2383596764042,464.4735348108187,465.8758417086342,534.4535845097009,475.3431663348881,437.2054644645922,426.47056349189876,547.1866946617167,396.80679904459845,381.3543199733457,459.04202600838687,328.4442698724264,421.6031125014102,428.45104970507174,463.670894625414,366.97628591826737,465.014769790204,471.5540193773435,466.62495997139797,440.6062137555064,692.185493080044,534.401950821456,415.9105127617936,325.921991796066,522.4177714427749,400.25138332683474,442.04737561584443,458.7158055300375,449.12898785801644,501.2154599460217,510.2796871002341,451.0801604747089,364.30394055179556,387.34356263440213,302.25488901504417,382.125812495622,480.60053771142196,453.6377181068675,480.89405992097386,509.7276268053501,435.0317558074284,505.8031679875707,520.0389917005144,468.7361572519005,436.28426085046306,584.7315839859044,414.1887211758693,304.06665764862134,333.20938752816596,333.7295645928212,302.7935143582731,459.6373129618493,307.8764867849442,435.7414520773643,429.10532282872504,489.1385058031529,191.69883068070075,429.454030648209,171.35130015178868,285.2680092947324,169.37785682077762,358.9680073923637,416.63191831060357,792.4962879641301,309.1361790713154,365.9224458613279,605.7944045881685,336.57806714384077,265.5259099465288,404.56507628989,486.93572922229174,426.22842127542845,428.82315400186314,501.9512086435164,471.54499284092583,377.34450902343474,421.3366374954043,523.3864651121127,391.97826996986856,455.8660805679143,464.65111240163446,350.7224850748278,347.80152324342737,88.92811606897709,170.0406751465007,179.0983766312438,320.4765113076038,342.6444141237878,176.43749179075556
2018-07-01,253.07892429564092,186.6422958722203,200.74347719607573,197.0007564756821,176.9851497328582,174.75074737560593,225.75774900867708,219.80886786653002,206.9705803473953,189.68468104989643,239.7172323149352,195.57176463142926,176.93485322101253,196.83446007598732,195.36035621154053,183.8699953698192,146.40780738897087,224.64910662642825,188.73862641363064,195.88632144243402,193.26821824900773,206.24332992118326,174.0840960929741,247.92700783265127,228.09553962167303,262.70191618178717,207.57679782496646,217.302118319072,182.4593378385068,181.29490793348307,191.04275745680258,242.99441720326476,187.5017241348932,248.54261524762228,194.85851548941034,183.54736777618606,233.83133411825287,283.5255984508422,186.31906041584315,212.84158899541654,184.22700426803658,172.48917423168336,177.48396590870254,177.345305608446,208.3951530907476,154.23819980264602,149.07106730974132,222.38637762242368,228.7651610181869,226.72778841762783,146.52366958386528,143.3661404089352,163.7351033461861,262.2568461809102,217.38152051710148,145.51027370527814,161.8803236908714,211.18181302226253,212.66760502322086,87.58547795238917,96.94928306005176,177.7919643820675,136.34733024874924,148.4685841415631,190.53871715666529,175.7084645156756,395.126628708615,108.79361116869332,51.6214823831367,201.51844458019553,190.91987983114328,92.99329763043288,136.16993324787282,213.45180484115727,210.36685228717388,205.36448191578455,190.4587875302854,258.52519471647616,186.98731264968123,200.04272127000831,236.76247234858022,207.52494725682396,218.4225340592994,297.99070476220675,209.37827500535738,149.9159878694295,189.570622539947,140.66968900182474,131.8863837093939,246.53893997809195,277.21046785977677,142.0423687319627
2018-08-01,254.0678696626408,207.49223709684205,173.4404688785906,206.0559106978799,197.16771711359218,189.4101060752385,242.2629824375704,184.58941595404218,198.07021744994162,188.76379595281486,180.98747796314635,201.83573530206468,171.07681243600337,191.26961803895816,194.61417478271136,230.80004738242872,154.2540490145326,263.3440125558155,182.34323056888408,208.19205619732605,218.5415464400839,205.32346191700952,199.46043558648628,301.24254889150825,203.67309069797398,157.28626893202392,222.88135517954066,220.65621047134,221.73972005824928,187.7933065708709,217.26916391343974,203.279038552165,182.57423011105885,167.59923395670683,254.88313295275123,197.04088457272664,217.21263586094256,162.3750759496323,203.3346181219237,205.61690856837197,198.4142964440804,217.71326867425708,207.02991218037653,180.84578307984845,182.30017265055508,161.43980826821317,315.8649331933328,285.12450534111815,246.2346184784447,176.51622421938995,168.68698756423836,160.09808503463736,172.46541378591937,320.8210835424928,228.0399567668979,134.6049411590349,240.74929458387209,272.66704727844626,212.83969563073708,151.01319883850906,303.1932844005737,89.3540826463105,128.1412766117396,143.23795377874416,181.23356626880866,149.05573193817168,213.57413840403348,99.40406890699923,95.04675401206477,178.01643420428857,168.6551766930847,141.60830680353595,192.27808856235154,223.77105852393365,233.39700508361437,200.87953065105307,189.90594660434525,235.193200810477,190.10072322509828,187.68292203764955,207.94960540878932,227.21075516150216,231.4188186170908,330.56926793657647,202.61602099642286,158.8466571233417,214.22690168289202,68.66684379190988,316.4155184408942,186.526515690689,253.82634848763698,152.2219049789728
2018-09-01,353.01582187966926,287.4261848613163,214.13551176989003,241.87651621225098,266.63723516513863,242.8675166979572,335.70880859048395,269.15667411595507,333.36307169950527,238.03100286555406,273.58674919699337,229.89196571424202,208.98929144062942,241.99175153829756,255.01233875064068,263.80360572347973,272.2719281479025,268.9359769637999,311.16375777311,299.4673815005601,347.31644012796914,338.02901048820166,343.93131327465017,388.6064722110287,289.89048310966365,346.6615643404861,320.8560879082005,355.4801113615721,305.9851394111986,277.2056200214232,371.6128921652443,291.6851717116679,367.4050328018649,262.49401560280415,291.77465588233923,264.4218243537634,355.6723258085617,216.27607208048929,339.68226238851446,293.315282359547,259.0837397483044,301.7307777639922,295.9379374947161,303.4171934363345,298.23966873679905,572.9581312136062,359.54850859278633,265.70988658081416,343.9885572778906,423.7729179497287,282.9492625410993,312.19125902546836,232.18706781677443,405.6178066217107,334.47213974224803,275.9203103699022,260.7426105754439,305.359221026354,316.3112167006224,211.30221465169558,14.20947032778406,162.235989224512,141.06748587914467,148.1800818704831,253.74629854963337,264.1028688366435,180.6635890602608,172.91488619539393,134.01918062658436,249.7434744475168,234.02219850509874,172.7267891256726,270.0227078438506,342.78800903867074,324.2314464854065,378.1827460140321,303.5115453907106,349.0363385920544,293.62897009908033,220.61922768649907,281.4357835917694,315.29032719835396,308.70857726914556,504.17400199662626,302.7349740228471,263.3550713150042,257.54289865420515,163.59640645345408,209.72985901691138,248.49957270350305,311.0233026323361,167.76498614856507
2018-10-01,441.994733750644,317.40230533519525,315.1861519184773,366.0597090936716,336.008113057375,385.0652226627232,361.53155048348907,330.9676132113047,355.34210126691363,316.1047407905646,413.3393925939495,325.6772690480639,379.77390111933073,351.413478489934,313.67251257448976,339.16171990441705,299.2222977221427,340.57073693091394,338.41730201268365,349.5525494442996,645.0488131092309,543.8719821376285,384.1525267934728,503.9616864223801,450.6011223917285,558.4512285927028,433.0911652063752,432.59620176859335,397.5161751146856,336.0504763279714,411.2851791499704,392.28163914713997,414.49229586155826,424.4382736176238,408.5313927863463,366.63840538466417,378.1818090137743,385.7855755899668,437.05857736995284,369.6529077694707,401.8458819497136,438.8082907188618,450.57020860389713,418.3497445900789,474.25533653559893,333.60603852482535,340.01634570725804,487.80141447656285,476.34417397447163,353.73051976192386,319.1358173873869,478.35033096847644,402.10048265392885,549.6461325851167,450.9347376592829,437.79033420266796,309.0921603382799,405.34129931345393,396.93518072482766,287.75742299465395,446.0728986854336,281.05239561612444,237.88850165927232,249.10497361433414,277.47945881228515,258.43848803501896,295.74721284245305,268.1227142612868,159.74070708436537,365.24496964549706,321.852003711993,261.6536641589086,306.5029088716686,417.01735335484034,391.4425819547945,420.380345984159,407.4292041003519,480.2759437162738,331.6127095328001,360.3378368519556,327.99985039841334,368.16529775515795,387.3521806636598,735.1982374562817,391.2424950181324,178.69218014805116,384.26705861906646,116.29982793440456,167.20288451944003,350.2838644979678,424.834964815718,157.7111627961027
