Отрасль,Название,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
K,Деятельность финансовая и страховая,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_K_2011_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_K_2012_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_K_2013_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_K_2014_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_K_2015_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_K_2016_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_K_2017_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_K_2018_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_K_2019_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_K_2020_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_K_2021_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_K_2022_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_K_2023_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_K_2024_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_K_2025_v20260820_xlsx.zip
L,Деятельность по операциям с недвижимым имуществом,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_L_2011_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_L_2012_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_L_2013_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_L_2014_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_L_2015_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_L_2016_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_L_2017_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_L_2018_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_L_2019_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_L_2020_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_L_2021_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_L_2022_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_L_2023_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_L_2024_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_L_2025_v20260820_xlsx.zip
M,"Деятельность профессиональная, научная и техническая",https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_M_2011_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_M_2012_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_M_2013_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_M_2014_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_M_2015_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_M_2016_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_M_2017_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_M_2018_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_M_2019_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_M_2020_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_M_2021_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_M_2022_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_M_2023_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_M_2024_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_M_2025_v20260820_xlsx.zip
N,Деятельность административная и сопутствующие дополнительные услуги,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_N_2011_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_N_2012_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_N_2013_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_N_2014_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_N_2015_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_N_2016_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_N_2017_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_N_2018_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_N_2019_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_N_2020_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_N_2021_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_N_2022_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_N_2023_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_N_2024_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_N_2025_v20260820_xlsx.zip
O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_O_2011_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_O_2012_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_O_2013_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_O_2014_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_O_2015_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_O_2016_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_O_2017_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_O_2018_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_O_2019_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_O_2020_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_O_2021_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_O_2022_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_O_2023_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_O_2024_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_O_2025_v20260820_xlsx.zip
Other,Другие,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_Other_2011_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_Other_2012_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_Other_2013_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_Other_2014_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_Other_2015_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_Other_2016_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_Other_2017_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_Other_2018_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_Other_2019_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_Other_2020_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_Other_2021_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_Other_2022_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_Other_2023_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_Other_2024_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_Other_2025_v20260820_xlsx.zip
P,Образование,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_P_2011_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_P_2012_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_P_2013_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_P_2014_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_P_2015_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_P_2016_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_P_2017_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_P_2018_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_P_2019_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_P_2020_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_P_2021_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_P_2022_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_P_2023_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_P_2024_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_P_2025_v20260820_xlsx.zip
Q,Деятельность в области здравоохранения и социальных услуг,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_Q_2011_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_Q_2012_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_Q_2013_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_Q_2014_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_Q_2015_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_Q_2016_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_Q_2017_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_Q_2018_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_Q_2019_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_Q_2020_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_Q_2021_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_Q_2022_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_Q_2023_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_Q_2024_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_Q_2025_v20260820_xlsx.zip
R,"Деятельность в области культуры, спорта, организации досуга и развлечений",https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_R_2011_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_R_2012_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_R_2013_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_R_2014_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_R_2015_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_R_2016_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_R_2017_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_R_2018_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_R_2019_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_R_2020_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_R_2021_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_R_2022_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_R_2023_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_R_2024_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_R_2025_v20260820_xlsx.zip
S,Предоставление прочих видов услуг,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_S_2011_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_S_2012_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_S_2013_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_S_2014_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_S_2015_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_S_2016_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_S_2017_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_S_2018_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_S_2019_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_S_2020_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_S_2021_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_S_2022_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_S_2023_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_S_2024_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_S_2025_v20260820_xlsx.zip
T,Деятельность домашних хозяйств как работодателей; недифференцированная деятельность частных домашних хозяйств по производству товаров и оказанию услуг для собственного потребления,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_T_2011_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_T_2012_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_T_2013_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_T_2014_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_T_2015_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_T_2016_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_T_2017_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_T_2018_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_T_2019_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_T_2020_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_T_2021_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_T_2022_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_T_2023_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_T_2024_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_T_2025_v20260820_xlsx.zip
U,Деятельность экстерриториальных организаций и органов,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_U_2011_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_U_2012_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_U_2013_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_U_2014_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_U_2015_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_U_2016_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_U_2017_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_U_2018_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_U_2019_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_U_2020_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_U_2021_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_U_2022_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_U_2023_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_U_2024_v20260820_xlsx.zip,https://storage.yandexcloud.net/tochno-st-catalog/FNS/data_rfsd_152_v20260820/by_section/data_152_rfsd_U_2025_v20260820_xlsx.zip
