GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155
   Республика Коми;40557469;40566249;1229;418410;418272;4182724;131;201;201;2210;1;2365;35893922;35894262;179470017;1208;0;57901;57857;347143;26;0;0;0;0;0;0;0;0;95615;95615;478079;29;3267781;3278964;19839672;514;695029;694258;203;2862;2862;2;820155;817457;396;57788;57772;751;0;0;0;620;607;10;552;0;0;1116;1116;1;32427005;32450493;1158;27874374;27887939;1147;607528;607528;22;12576;12576;6;749749;749095;182;95606;95606;28;3037026;3047604;527;50134;50134;50;0;0;0;3;0;1;4487665;4496279;21;6836649;6829257;1873;0;0;0;3131695;3148180;73;1022737;1027731;10;70528540;3081645;616326;708790;141756;20038;454532;0;0;0;0;0;0;0;0;303283860;60656774;285039175;57007835;46;3648893;0;0;0;0;306365505;61273100;285747965;57149591;20084;4103425;346387;69278;13108;2621;1941;64716;0;0;0;0;0;73975;420362;0;0;0;0;70528539;4496158
   Республика Крым;43306606;43266654;4443;2936075;2936042;29360370;662;38;38;422;2;26013;30446564;30441180;152017373;4272;0;37557;37560;225365;47;1789;1789;9143;4;0;0;0;1;149490;149500;747510;48;7901881;7893571;49022161;2581;1556246;1554414;1036;727;727;2;1808979;1807133;1484;38810;38802;642;0;0;0;1802;1802;14;17;17;1;0;0;0;38030049;38000764;4212;28596324;28581901;4149;93774;93774;23;51293;51293;36;2178204;2178800;1037;149330;149379;44;6932577;6917137;2456;24041;24013;53;-10;0;0;0;0;0;57998;57998;6;6735798;6725125;4946;0;0;0;1464121;1464121;21;117899;117899;7;1267763;12557276;2511455;1655787;331156;401800;1778499;16260;3252;252;50;14;3188;8;0;37305413;7461084;30158633;6031727;136951;1292406;0;0;0;0;49862689;9972539;31814420;6362883;538751;3070905;1466493;293298;64296;12859;1612;278827;3098;0;0;0;3098;3774;1470267;0;0;0;0;1267762;495
   Республика Марий-Эл;21566429;21545474;1689;2006629;2006629;20066260;220;738;738;8113;2;530;14959356;14950753;74753789;1630;0;331221;331221;1987330;49;0;0;0;0;0;0;0;0;79722;79722;398611;33;3467577;3467097;21980203;822;674317;662438;272;353;353;1;720657;709114;468;78759;78787;171;0;0;0;311;311;8;54;0;0;-1;0;0;19312080;19300548;1592;14525785;14519889;1579;379812;379868;49;30723;30650;17;754110;747694;246;79722;79722;33;3540601;3541397;793;1325;1325;17;0;0;0;0;0;0;19428;19428;4;2513563;2504032;1814;0;0;0;196607;196526;22;77454;77454;3;2938316;3117677;623534;625386;125078;53414;445042;1846;369;225;45;0;324;1;0;1685155;337031;1390025;278006;1805;57220;0;0;0;0;4802832;960565;2015411;403084;55219;502262;481759;96352;25709;5142;220;90990;0;0;0;0;0;117869;599628;0;0;0;0;2938316;19427
   Республика Мордовия;26278344;26265914;2066;4631267;4631404;46314037;380;761;761;8368;4;4798;15127727;15121901;75609506;1965;0;1451418;1451191;8707143;65;0;0;0;0;0;0;0;0;25764;25764;128822;33;3971432;3970710;26625190;970;984515;983921;327;42;42;1;1065100;1063451;578;290087;290050;175;2;2;1;459;459;3;0;0;0;0;0;0;23449208;23442503;1930;17572329;17570395;1916;526582;526465;60;61270;61270;29;972255;970624;339;25649;25649;33;4274789;4272110;971;15647;15303;39;0;0;0;0;0;0;50645;50645;4;3790849;3785033;2117;0;0;0;720109;720054;69;194811;194811;12;3927328;4577203;915443;1061254;212252;97963;605228;0;0;0;0;0;0;0;0;1230309;246062;9510588;1902117;3631;-1659686;0;0;0;0;5807512;1161505;10571842;2114369;101594;-1054458;1656176;331235;11054;2210;703;328322;40502;0;0;0;40502;42398;1698574;0;0;0;0;3927327;50056
   Республика Саха (Якутия);28214069;28198138;1274;596563;591577;5915764;159;4;4;43;2;2041;22090219;22090266;110452147;1220;69;32282;32314;193884;32;749;749;3746;1;0;0;0;0;637767;637768;3188841;33;4074695;4070814;24562304;466;566903;565692;193;0;0;0;780104;773595;364;156981;156943;267;0;0;0;20;20;1;5565;0;0;317;317;1;24527370;24516256;1173;18780438;18767521;1146;251541;251541;23;1608;1608;6;1109458;1109304;231;619598;619599;32;3667180;3669136;474;97547;97547;55;0;0;0;0;0;0;5942995;5940617;66;7003446;6979563;1399;0;0;0;9074212;9058207;140;1161580;1162385;13;183373620;5209282;1041860;856617;171323;117731;752806;30;6;30;6;30;-30;1;0;21851170;4370234;4622379;924477;26198;3419559;0;0;0;0;27060452;5412094;5478996;1095800;143929;4172365;69792599;13958520;2532;507;8782;13949231;9690;0;0;0;9690;942064;70734663;0;0;0;0;183373620;5940616
   Республика Северная Осетия-Алания;5977061;5927846;759;491450;492541;4925416;89;6649;6649;73139;5;-1679;4359757;4291274;21466410;688;-9281;69776;85053;510320;38;0;0;0;0;0;0;0;0;1667;1667;8334;4;838837;834750;5154336;224;190691;186837;84;17920;17920;5;219887;215784;137;4558;4592;43;0;0;0;0;0;0;5435;0;0;0;0;0;5211850;5136088;693;4048922;4004658;685;40844;40801;27;3214;3214;7;313409;276491;108;21908;21908;5;787711;788347;191;669;669;5;0;0;0;0;0;0;34143;34430;16;795431;818698;780;0;0;0;48566;50521;36;10795;5676;2;1022302;1496001;299199;208061;41612;109956;147631;0;0;0;0;0;0;0;0;141966;28393;11512;2302;0;26091;0;0;0;0;1637967;327592;219573;43914;109956;173722;72065;14414;6804;1361;5795;7258;936;844;169;0;767;8423;80488;85884;1045;5;0;1022303;34431
   Республика Татарстан;413410606;412885702;26651;15387646;15380659;153806595;2117;12186;12236;134603;27;122626;289432535;289171468;1445856511;25890;430;1510215;1508764;9052591;454;0;0;0;0;0;0;0;0;253165;252686;1263429;131;85544415;85361431;526223932;14118;19582756;19576878;7100;330874;330904;23;21169619;21162524;9347;1090781;1089719;470;14;14;2;1579;1528;22;3809;1806;14;347;347;4;380141532;379860838;25898;259889218;259508744;25703;15256613;15287270;633;750030;732083;195;17563618;17775549;6642;242812;242331;125;85431753;85307983;14003;1007544;1006619;187;0;0;0;477;214;1;3396356;3403547;104;46119876;45883024;26204;0;0;0;15136597;15147778;402;6524468;6529949;66;168580210;52493339;10498677;15084443;3016885;809467;6672325;185814;37162;9248;1849;237;35076;22;0;159950523;31990106;16324978;3264994;53682;28671430;0;0;0;0;212443862;42488783;31409421;6281879;863149;35343755;12942682;2588536;1380857;276172;59441;2252923;18977;5131;1026;108;17843;2001266;14943948;603914;40353;14;0;168580212;3396116
   Республика Тыва;1940866;1930706;110;28829;28829;288286;10;0;0;0;0;13;1424971;1420209;7101048;105;6008;379;379;2272;1;0;0;0;0;0;0;0;0;11904;11904;59521;5;418176;413541;2481496;27;42129;41367;13;0;0;0;50585;49823;24;20172;20172;12;0;0;0;0;0;0;0;0;0;0;0;0;1577826;1568923;95;956147;952552;94;10157;10157;2;8044;8044;1;317115;316396;21;11904;11904;5;254193;249605;29;20265;20265;6;0;0;0;0;0;0;305522;305522;7;797659;796403;111;0;0;0;719203;719203;14;30;30;1;3530197;153582;30716;14950;2990;739;26987;0;0;0;0;0;0;0;0;1117913;223582;281;56;172;223354;0;0;0;0;1271495;254298;15231;3046;911;250341;19707078;3941416;0;0;0;3941416;2221;0;0;0;2221;0;19707078;0;0;0;0;3530196;305521
   Удмуртская Республика;61793037;61915984;7495;3279781;3279090;32790879;750;3417;3417;37587;2;-92037;46769159;46809105;233880921;7284;0;176135;176135;1060957;122;-32;1;4;1;0;0;0;0;111960;111960;559798;76;9864773;8959157;59915038;3652;1382499;1380215;1527;10786;10786;11;1678645;1676154;2231;61315;61202;285;0;0;0;1308;1308;14;493;40;3;0;0;1;50802449;50928507;7303;37061895;37191467;7255;985377;985377;150;89084;89084;73;1933736;1932472;1510;109499;109438;73;10594488;10592298;3560;28314;28314;53;0;0;0;0;0;1;1249293;1249293;49;10899049;10896458;7497;0;0;0;1077750;1078544;128;678291;678208;26;36383085;9611117;1922224;1932381;386476;175719;1360029;6632;1326;4902;980;0;346;2;0;23756315;4751262;16110701;3222140;1397;1527725;0;0;0;0;33367432;6673486;18043082;3608616;177116;2887754;1473180;294637;13974;2794;139;291704;17;0;0;0;17;6024;1479204;197;0;5;0;36356116;1248368
   Республика Хакасия;12645473;12642832;912;345117;345096;3450969;138;628;628;6913;4;773;11044516;11036182;55177646;871;0;54966;54966;329793;27;0;0;0;0;0;0;0;0;36510;36510;182550;19;861440;867210;5216316;366;274340;274285;160;1087;1087;2;301523;301467;261;7579;7579;131;0;0;0;64;64;5;0;0;0;0;0;0;10805784;10816530;844;8875378;8872302;838;428610;428610;17;146785;155039;8;355767;355559;175;36484;36484;19;962145;967955;352;615;582;11;0;0;0;0;0;0;527225;527225;17;2096785;2083398;1006;0;0;0;767684;767684;24;124116;124116;10;10186992;1434145;286827;402521;80507;21699;184621;1277;255;0;0;0;255;1;0;496570;99313;16;3;51;99259;0;0;0;0;1930715;386140;402537;80510;21750;283880;307477;61495;3690;738;3;60754;0;0;0;0;0;152;307629;0;0;0;0;10186991;527225
