GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155
   Чеченская Республика;16447526;15819674;968;659591;657284;6572842;95;0;0;0;0;369717;14181877;14126663;70639706;913;0;121619;121619;729711;24;0;0;24;0;0;0;0;0;1633;1633;8165;2;877670;697030;4136566;133;176331;172405;85;0;0;0;233957;213615;117;1538;1824;13;0;0;0;0;0;0;0;0;0;0;0;0;15920852;15309816;937;15056780;14432087;929;56214;56214;11;29827;29827;4;215940;212911;101;1322;1322;1;560026;576711;117;743;743;5;0;0;0;0;0;0;3596;3234;1;765123;757656;935;0;0;0;239897;248597;8;0;0;0;524895;1766097;353220;876458;175291;265581;-87652;138211;27642;126248;25250;3291;-899;7;0;5509;1102;0;0;0;1102;0;0;0;0;1771606;354322;876458;175291;265581;-86550;80183;16037;18090;3618;239;12180;7141;896;179;239;6723;0;80183;55559;3234;1;0;524895;3234
   Чувашская Республика;32687251;32668157;3583;1341733;1341575;13415760;368;299;299;3287;2;25567;23297811;23278017;116390093;3456;0;151332;151181;907079;58;0;0;0;0;0;0;0;0;59459;59459;297303;45;6903676;6903837;41817183;2019;620268;621264;759;4127;4127;9;907580;908460;1166;25999;25889;338;0;0;0;815;815;7;1413;46;1;-208;-208;1;26933833;26919319;3438;18993262;18979523;3416;607157;607157;113;51141;51415;56;815547;815965;707;59436;59436;44;6394880;6393414;1990;12405;12405;48;0;0;0;0;0;0;16631;16631;12;6507387;6500851;3748;0;0;0;734596;734610;66;36413;33585;8;4088778;5741699;1148343;804329;160866;38001;949476;2151;430;0;0;0;430;2;0;2614702;522941;311627;62326;977;459638;0;0;0;0;8356401;1671284;1115956;223192;38978;1409114;251613;50322;3723;745;1179;48398;0;0;0;0;0;55402;307015;171;0;1;0;4088778;16586
   Алтайский край;73173285;73700404;9330;12004614;12017264;120718307;1885;7231;7231;79546;22;1504;48292437;48800798;244119570;8697;6;382963;382863;2316061;157;0;0;335;0;0;0;4;0;107555;107505;537527;89;10168315;10168107;67526542;3714;1761537;1757388;1544;268624;270900;17;2208570;2206931;2521;66277;66262;487;0;0;0;173;173;10;6515;6459;9;-1;0;0;65053427;65603933;9045;51772013;52335947;8990;966185;966529;241;583043;581753;144;2522883;2532214;1573;105589;105539;86;9046894;9026783;3560;54377;54377;64;176;176;1;0;0;0;726515;725564;120;9138602;9115333;9371;0;0;0;1666650;1665983;334;279622;279622;24;20415565;10873309;2174659;3525431;705086;272226;1197347;6;1;0;0;0;1;3;0;799845;159970;99228;19846;435;139689;0;0;0;0;11673154;2334629;3624659;724932;272661;1337036;2618269;523655;25424;5085;2616;515954;216;0;0;0;216;122918;2741187;0;0;0;0;20415557;720334
   Краснодарский край;341565473;341421623;19296;52006194;52009707;520098412;2829;29810;29810;327572;29;108823;210464856;210449451;1052473936;18311;161;5042115;5037615;30229767;443;324;324;2937;4;5844;5844;41756;2;341448;341505;1707531;221;57470262;57433689;375352129;10476;14718400;14699862;4498;43513;43513;22;16098092;16093487;6432;400323;397813;594;3709;3709;4;2060;2060;44;19321;19321;9;34;34;7;312918048;312856987;18483;228242283;228201112;18272;16511147;16512233;964;1280352;1279047;218;17729912;17755413;4481;334150;334181;210;48478497;48434078;10133;327745;326962;182;4910;4910;2;0;0;0;4195310;4197064;201;46448811;46367552;19058;0;0;0;21538269;21547093;530;2710892;2719328;42;170795903;46758597;9351719;9216930;1843385;1101995;6406339;13084;2617;5144;1029;2520;-932;16;1;72371646;14474330;42319935;8463987;14694;5995649;0;0;0;0;119130243;23826049;51536865;10307372;1116689;12401988;11297898;2259581;523834;104767;203634;1951180;376653;64900;12980;5044;358629;4845509;16143407;30338;94;11;0;170795900;4180764
   Красноярский край;226704582;226604590;11575;7523613;7523751;75237533;1310;1381;1395;15342;10;7345;180944195;180832593;904086854;11220;-1;460304;459469;2756813;206;265;90;1148;1;8;8;47;1;733329;733378;3666894;94;28924234;28929369;176836749;5050;7227800;7233858;2394;9076;9076;7;8060890;8063658;3610;404187;404186;825;2689;2689;2;85;85;4;97;45;2;99;99;7;189065776;188914377;11162;145831160;145659995;11081;5935451;5935489;280;127628;127628;87;9150326;9173753;2365;730545;731716;94;27056386;27051720;5021;233524;233665;171;5;5;1;173;173;2;3813471;3813941;142;54416122;54453914;11666;0;0;0;20171623;20158531;438;14242569;14183276;57;251407528;37282716;7456544;15317464;3063492;732781;3660271;38135;7627;47112;9422;2;-1797;17;0;66042631;13208525;554634;110927;1285;13096313;0;0;0;0;103325347;20665069;15872098;3174419;734066;16756584;16419206;3283841;433529;86705;62761;3134375;2281;791;158;58734;-56611;1620491;18039697;0;0;0;0;251407528;3786548
   Приморский край;142095490;141990167;8740;7558863;7543655;75168362;1395;15533;14777;162550;9;27402;112061034;112045942;560314431;8397;-148;375780;372230;2233386;113;348;348;7585;2;0;0;0;0;106427;106429;532151;50;17084860;17045331;105557386;3675;4021148;4015314;1455;129023;129566;10;4865744;4860468;2193;285535;284984;547;1269;1269;1;17;17;4;279;153;1;0;0;0;138873116;138734619;8377;94737936;94672681;8207;21556982;21588356;1357;131570;130990;36;7170806;7116972;1494;102344;102347;49;14941208;14891005;3575;232142;232142;105;0;0;0;21;0;0;2722686;2727002;283;12304329;12285204;8677;0;0;0;11500570;11455910;456;1166099;1152490;33;92004541;17954254;3590850;4579067;915813;384529;2290508;241446;48289;411;82;187;48020;6;0;26419440;5283888;10371650;2074328;60599;3148961;0;0;0;0;44373694;8874738;14950717;2990141;445128;5439469;11374882;2274977;316686;63338;13728;2197911;299;974;195;167;-63;7572238;18947120;9516;172;3;0;92004541;2721523
   Ставропольский край;81238125;81213570;6262;9133588;9131993;91319948;1204;3586;3586;39435;14;4676;52898810;52892493;264462100;5901;0;872760;883720;5302322;94;0;0;0;0;0;0;0;0;97564;97556;487779;98;15238952;15213866;107000799;2930;2647278;2644304;1231;3610;34166;8;2988194;2985876;1940;51947;52825;283;0;0;0;2036;2036;21;156;146;3;0;0;0;75982872;75934956;5948;56853233;56790811;5878;1573025;1573023;203;428899;428899;84;3045582;3045527;1214;96464;96457;92;13928285;13942817;2854;57378;57418;67;0;0;0;0;0;0;111896;111896;17;8606931;8577286;6331;0;0;0;3397189;3346028;135;942172;942705;16;18400922;12225399;2445079;2111287;422256;184059;1838764;35014;7003;2334;467;3;6533;13;0;3236873;647374;310486;62098;5650;579626;0;0;0;0;15462272;3092453;2421773;484354;189709;2418390;6966603;1393321;106444;21289;3671;1368361;14233;21405;4281;3567;6385;621605;7588208;52124;4478;1;0;18400922;111896
   Хабаровский край;73918676;73925992;5323;4718642;4716515;47165138;712;502;502;5525;6;4063;52714419;52708614;263536279;5161;13;2194526;2207056;13242335;108;54842;54842;274211;2;0;0;0;0;121068;121080;605398;57;10496164;10379324;63166761;2413;3113204;3109012;1072;6667;6667;5;3669276;3686379;1642;120112;120100;684;0;0;0;58;58;3;1330;1310;3;0;0;0;67102638;67102199;5067;49074852;49080337;5010;1406510;1408072;222;1580315;1580315;25;4377234;4376798;1080;121054;121065;57;10247467;10236921;2365;294687;298170;75;417;417;1;106;106;3;1836374;1869190;98;13915233;13910411;5697;0;0;0;8823168;8822517;287;871767;871767;16;72043071;8008465;1601693;2627581;525514;109556;966623;902;180;0;0;0;180;2;0;1542022;308405;168783;33756;1872;272777;0;0;0;0;9550487;1910098;2796364;559270;111428;1239400;2619376;523876;102804;20561;3946;499369;4434;406;81;0;4353;1495739;4115115;306599;17846;1;0;72043072;1862063
   Забайкальский край;14471874;14452986;1209;837247;837514;8375164;197;1789;5;54;2;14312;11344416;11341269;56707249;1156;0;36077;32691;196150;38;154;154;926;1;0;0;0;0;79941;79941;399710;16;1556925;1546822;9409709;391;519469;518739;167;0;0;0;601154;600424;314;95321;95147;440;0;0;0;31;31;2;0;0;0;8;8;1;14170881;14159652;1074;11083776;11080865;1054;827518;827425;73;1112;1112;4;671155;670710;173;64610;64610;14;1448424;1441315;391;74283;73613;43;0;0;0;0;0;0;2355700;2355700;61;2864960;2856391;1484;0;0;0;4814728;4814052;172;42895;42895;5;39889156;3645005;729000;360156;72032;58913;598055;42791;8558;39838;7968;39836;-39246;2;0;6605423;1321085;390285;78056;8822;1234207;0;0;0;0;10250428;2050085;750441;150088;67735;1832262;2068517;413704;31560;6312;7521;399871;4780;12961;2592;7521;-5333;0;2068517;6003;0;2;0;39889156;2371904
   Амурская область;41856788;41819709;2100;2841052;2829406;28294069;464;53882;53882;592698;3;8702;22366863;22356631;111783834;1943;0;69763;70505;423034;40;654;654;5529;2;0;0;0;0;238244;238244;1191220;17;7269621;7261381;44410070;801;8910556;8910493;345;0;0;0;9008552;9008359;549;600848;600843;349;0;0;0;342;342;2;0;0;0;88;88;1;60170572;60161749;1984;44295036;44305837;1951;666098;661207;200;170963;170963;15;9291718;9286582;382;238230;238230;17;4922265;4912666;770;586205;586205;27;58;58;2;0;0;0;1793576;1792522;60;6455555;6430644;2246;0;0;0;25949227;25951513;194;18230615;18230615;7;41008020;5362854;1072571;1690660;338133;12232;722206;653;131;369;74;0;57;1;0;45875827;9175165;18445704;3689140;158193;5327832;0;0;0;0;51238681;10247736;20136364;4027273;170425;6050038;57872488;11574500;1869;374;0;11574126;32682;0;0;0;32682;214522;58087010;0;0;0;0;41008020;1791682
   Архангельская область;33924654;33897016;2009;1178010;1178012;11780057;291;472;476;5233;3;2618;17231451;17256106;86281227;1957;0;205392;204969;1229821;67;0;0;0;0;0;0;0;0;184793;189909;949545;42;10486814;10485925;63179663;864;3529735;3479529;311;7061;7061;3;4635096;4579336;602;75464;75439;584;0;0;0;4855;4855;8;0;0;0;0;0;0;28924009;28942567;1897;23111417;23108690;1877;331604;331604;23;33580;33580;8;2001668;2001465;278;183337;188453;41;3227204;3243578;864;35190;35190;61;0;0;0;0;0;0;657228;657031;25;6168813;6120701;2447;0;0;0;1743852;1741695;99;433178;433178;14;30412338;41691084;8338218;1637058;327412;3107099;4903707;0;0;0;0;0;0;0;0;2108069;421614;463162;92632;1426;327556;0;0;0;0;43799153;8759832;2100220;420044;3108525;5231263;946497;189300;14781;2957;3192;183151;50;0;0;0;50;853739;1800236;0;0;0;0;30412337;656981
   Астраханская область;16640951;16628747;1414;542567;542574;5425731;212;535;535;5882;6;24243;13521922;13515574;67569857;1322;0;262400;262305;1573827;52;0;0;730;0;0;0;0;0;11371;7910;39551;10;1805174;1804229;11500605;586;397703;397178;218;4938;4938;2;472695;471332;460;9266;9400;108;0;0;0;14;14;1;0;0;0;18;18;1;13047544;13046422;1336;10410368;10412736;1313;404285;404846;63;19665;19665;17;513431;512883;217;11371;7910;10;1682535;1682491;585;5890;5890;26;0;0;0;0;0;0;2970122;2970144;84;5103798;5093837;1351;0;0;0;4451697;4452705;170;541560;541560;6;43375089;1827123;365421;219806;43959;50383;271079;2647;529;54;11;0;518;3;0;831816;166363;495028;99007;3311;64045;0;0;0;0;2658939;531784;714834;142966;53694;335124;125078;25015;17416;3483;31;21501;8974;17201;3440;0;5534;2157782;2282860;345652;11773;14;0;43375088;1925564
   Белгородская область;108245141;108611764;8159;25288123;25306012;253061036;1168;508;508;5597;9;28406;57940529;58256618;291324765;7788;0;752441;752773;4516642;129;137;137;965;1;0;0;0;0;187103;186984;934923;81;17863204;17860139;143982689;3629;5814197;5818611;1597;57747;57747;12;6184819;6189733;2245;153833;153805;537;198;198;1;2292;2292;7;1008;484;4;5;5;1;97349089;97722164;7978;71283264;71654804;7910;3582958;3581553;521;521070;521031;169;6669562;6684202;1581;186799;186681;80;14976883;14956458;3580;132659;132432;133;0;0;0;0;0;0;782191;791710;54;18182904;18198922;8296;0;0;0;7902051;7934744;285;649043;649171;27;62272402;5340469;1068092;856012;171201;43346;853545;24105;4821;13550;2710;0;2111;4;0;3785938;757186;360135;72027;1010;684149;0;0;0;0;9126407;1825278;1216147;243228;44356;1537694;861256;172252;25749;5150;198;166904;102;0;0;0;102;352014;1213270;197934;246;13;0;62272402;789479
   Брянская область;43028479;43030909;3233;5748672;5748532;57485319;522;1119;1119;12310;3;34137;25793940;25789945;128949730;3090;0;808750;808750;4852497;72;0;0;0;0;0;0;0;0;57596;57596;287981;34;8401950;8402644;57154115;1516;1911212;1911014;543;63659;62556;5;2182280;2180967;899;125430;125431;298;0;0;0;2401;2401;5;50;50;1;0;0;0;38418830;38419780;3049;25621936;25624305;3016;1851168;1850977;152;1262159;1262270;265;1887545;1887154;523;57308;57308;31;7639883;7638937;1490;98649;98649;57;0;0;0;0;0;0;246775;245673;94;5322193;5322441;3276;0;0;0;828949;826746;216;828144;828144;7;6783282;6653257;1330655;572698;114536;79093;1137026;412;82;170;34;0;48;3;0;1085100;217019;1301;260;77;216682;0;0;0;0;7738357;1547674;573999;114796;79170;1353708;430066;86014;87116;17423;35837;32754;849;0;0;0;849;150949;581015;61023;0;10;0;6783286;245300
   Владимирская область;62677942;62669688;4529;6975307;6976748;69767474;514;668;668;7353;3;533;44082856;44073530;220290002;4392;0;560290;560290;3361739;99;0;0;0;0;0;0;0;0;85722;85722;428604;51;9667011;9667250;59795488;2321;1031816;1031203;880;18987;18987;27;1305536;1304930;1385;298324;297535;394;0;0;0;119;119;7;2865;469;2;0;0;0;53954335;53944539;4339;36572692;36555289;4306;5874179;5874380;247;98244;98244;107;1019482;1021203;793;84924;84924;48;10031687;10037374;2293;272192;272192;79;0;0;0;201;201;1;102518;102518;63;10120629;10109825;4728;0;0;0;1188438;1178529;76;113681;113681;13;11900471;5862501;1172499;1670634;334125;98096;740278;79000;15800;0;0;0;15800;1;0;1132397;226480;46850;9370;1291;215819;0;0;0;0;6994898;1398979;1717484;343495;99387;956097;3425825;685165;77183;15436;9592;660137;582;0;0;584;-2;188204;3614029;1308;0;1;0;11900471;92217
   Волгоградская область;101383817;101405482;5759;6500146;6505913;65059110;909;35139;35136;386502;13;2577;63260462;63176424;315882502;5365;38;3808790;3808627;22851779;195;0;0;0;0;0;0;0;0;243622;242924;1214619;52;22458777;22560393;139178895;2961;4701811;4700636;1215;48549;48549;14;5072805;5072462;1815;79541;79336;723;0;0;0;1413;1413;15;829;829;5;0;0;0;94756400;94873945;5399;65480509;65493779;5353;1965434;1965311;154;362801;362801;72;5695645;5691214;1227;243373;242675;51;20927328;21037396;2948;81232;80681;89;0;0;0;0;0;0;147181;147181;50;13191196;13177479;6214;0;0;0;6625074;6708017;88;941169;941169;30;50567453;12487786;2497560;2489246;497851;510724;1488985;562;112;0;0;0;112;2;0;20277343;4055470;18196279;3639255;47574;368641;0;0;0;0;32765129;6553030;20685525;4137106;558298;1857626;2479113;495822;99648;19930;0;475892;14699;0;0;0;14699;1212873;3691986;0;0;0;0;50567452;146142
   Вологодская область;89862097;88791102;7107;3317936;3317903;33179023;526;50;0;0;0;525328;68474377;67937017;339731988;7002;2095;790390;790306;4741835;83;0;0;0;0;0;0;0;0;74623;74623;373113;62;13110823;13105666;79230230;2103;3321895;3320621;958;590;590;2;3566478;3565025;1457;189559;189372;355;0;0;0;1982;1980;8;50;0;0;0;1;3;89618232;88548738;6916;72725869;71658012;6878;2351845;2351845;92;506183;506183;48;2238087;2237041;933;74231;74162;60;11561577;11561056;2053;158156;158156;69;0;0;0;42;0;0;1839450;1838935;57;8566297;8566444;7127;0;0;0;9969815;9968112;125;4281415;4281415;15;96135971;7632693;1526538;508910;101780;45450;1379308;23585;4717;0;0;0;4717;2;0;309993671;61998735;306608750;61321751;18624;658360;0;0;0;0;317626364;63525273;307117660;61423531;64074;2037668;2343105;468620;17045;3408;1608;463604;1;62;12;0;-11;728316;3071421;0;0;0;0;96135971;1836749
   Воронежская область;143937645;144734349;13116;19163613;19250144;192501383;1799;15114;14983;164817;9;85197;89688766;90476946;453011611;12633;0;1022301;1026844;6163131;190;0;0;0;0;0;0;0;0;126661;126854;634282;84;28428237;28432699;193439090;5568;4910560;4906054;2312;11820;11820;12;5407680;5402008;3329;109567;109769;480;19;19;2;1400;1461;6;942;78;2;0;0;0;131229684;132058481;12687;97100074;97898609;12611;3169419;3168857;352;529791;529791;187;6413876;6414705;2389;82208;82401;76;23604920;23615204;5417;120230;120226;92;0;0;0;0;0;0;238071;238571;58;14950005;14932137;13131;0;0;0;2373841;2369357;144;261007;261007;21;16320159;24796809;4959363;4297029;859405;374934;3725024;12826;2565;1099;220;557;1788;6;0;8228904;1645781;1368928;273786;1997;1369998;0;0;0;0;33025713;6605144;5665957;1133191;376931;5095022;5293259;1058652;114933;22987;3049;1032616;1747;3;1;0;1746;1125923;6419182;3476;0;4;0;16320163;238707
   Ивановская область;33202555;33434113;5539;1503444;1503595;15035191;564;1;1;8;2;1663;26391281;26623156;133116290;5420;0;385245;385245;2311423;83;2232;3859;19294;1;0;0;0;0;40843;40051;200254;23;4194634;4194778;25277368;1979;587952;589019;723;23005;23005;6;687799;688308;1047;31050;31050;161;0;0;0;74;74;4;124;124;2;0;0;0;30146813;30605367;5306;23033250;23491495;5266;2043373;2045125;225;183487;183565;79;957746;953230;704;40899;40051;23;3867011;3870854;1902;20453;20453;27;0;0;0;0;0;0;89649;89649;26;3293133;3065967;5522;0;0;0;292018;291848;62;10048;10048;9;3022355;3683958;736791;714442;142889;78883;515019;0;0;0;0;0;0;0;0;9289477;1857895;46232;9246;3784;1844865;0;0;0;0;12973435;2594686;760674;152135;82667;2359884;810083;162017;2084;417;584;161016;62;0;0;0;62;133130;943213;1282;195;1;0;3022356;88052
   Иркутская область;124944234;124897056;7452;4489578;4481933;44819104;778;1877;1877;20639;7;475;95067187;95058817;475297451;7244;0;348635;346385;2078300;141;17;17;83;1;0;0;0;0;309529;308485;1542430;61;19428468;19423533;119901481;3326;4943591;4918354;1672;239;239;3;5298489;5274773;2448;433631;433486;841;0;0;0;266;266;9;3552;267;1;6;6;2;98624674;98569347;7105;71827188;71699832;7036;2246915;2243010;224;77324;77324;44;5773596;5759131;1661;270429;269386;59;18032334;18123773;3259;397363;397363;106;0;0;0;0;0;0;2436320;2433722;157;31393098;31392889;7840;0;0;0;7069839;7062014;348;1892169;1892562;21;82842311;16669241;3333847;4622938;924588;261965;2147294;691;138;384;77;0;61;2;0;6340390;1268079;206583;41317;3130;1223632;0;0;0;0;23009631;4601926;4829521;965905;265095;3370926;4316125;863227;104398;20879;59056;783292;0;0;0;0;0;609576;4925701;0;0;0;0;82842311;2427124
   Калининградская область;73150041;73190565;2957;8905456;8905504;89054989;455;9203;9187;101066;10;-12674;47854253;47860214;239302275;2799;0;332530;332530;1995179;95;0;0;0;0;0;0;0;0;27465;27465;137324;27;14589421;14609479;91422238;1382;1169266;1168764;475;763;763;2;1349091;1348977;746;373289;373419;233;0;0;0;161;161;7;288;0;1;369;369;2;46779234;46800585;2788;30569129;30591676;2728;1731890;1731094;341;829767;833570;120;1563438;1562855;445;19812;19812;26;11804470;11800827;1311;216410;216433;92;0;0;0;217;217;1;749351;749351;129;30110305;30106929;2909;0;0;0;4103600;4081382;201;418631;418631;14;44741319;7515953;1503192;2053946;410786;79827;1012579;5599;1120;5009;1002;0;118;1;0;80131217;16026244;24423302;4884661;1311;11140272;0;0;0;0;87647170;17529436;26477248;5295447;81138;12152851;19155163;3831033;6997729;1399546;643;2430844;4816;0;0;0;4816;3426025;22581188;1057344;0;3;0;44741321;737111
   Калужская область;111909107;111872570;4635;6290759;6289122;62891378;503;0;0;0;0;1369;85409790;85372402;426852181;4463;0;451235;450785;2704319;91;0;0;0;0;0;0;0;0;44102;44102;220505;49;15427611;15427987;94596954;2463;3863520;3863130;932;47110;47110;17;4284245;4285503;1394;532053;532051;309;0;0;0;760;760;12;1707;311;5;-3;0;0;98820650;98822269;4410;52924983;52939818;4361;26047019;26046910;273;382997;382997;105;4264582;4266212;873;51908;44239;50;14637555;14630477;2404;511605;511616;109;0;0;0;3;3;1;621677;621677;40;15050249;15010526;4676;0;0;0;2037673;2037607;138;209106;209106;10;22091937;10666600;2133325;2891354;578269;215007;1340049;5253;1051;0;0;0;1051;3;0;8264566;1652912;2789402;557881;14854;1080177;0;0;0;0;18931166;3786237;5680756;1136150;229861;2420226;3462499;692499;389116;77823;2154;612522;5017;6176;1235;0;3782;2547606;6010105;110143;13301;4;0;22091936;621100
   Камчатский край;15378812;15388515;800;1962268;1963615;19636146;246;1359;1359;14945;3;106;9971675;9981394;49906953;745;0;52955;52955;317729;28;0;0;0;0;0;0;0;0;168758;168758;843791;13;1865952;1861791;12422627;309;1248949;1248322;124;26420;26420;1;1359222;1358596;228;65177;65177;75;0;0;0;0;0;0;0;0;0;0;0;0;14037586;14055162;723;9480692;9487409;715;1006801;1006801;52;3515;3515;4;1264863;1264863;126;158843;158843;13;2077077;2085419;329;49034;48312;27;0;0;0;8;8;1;350647;350647;18;3090751;3082110;768;0;0;0;2032264;2031397;98;42238;42238;2;29036652;1269688;253936;205217;41042;8187;204707;0;0;15882;3176;0;-3176;0;0;669219;133844;26867;5374;2687;125783;0;0;0;0;1938907;387780;232084;46416;10874;330490;50349;10070;659;132;1;9937;0;0;0;0;0;1681753;1732102;218497;0;2;0;29036655;350647
   Кемеровская область - Кузбасс;150044596;149944780;6271;2478580;2481040;24810384;545;1601;1601;17616;3;9955;97269142;97207973;486049185;6099;0;11359548;11358815;68152695;146;0;0;0;0;0;0;0;0;1309943;1270208;6351043;93;25312579;25306158;152482611;2663;11489551;11487889;1059;158489;158489;16;12303201;12307292;1764;78559;79170;498;0;0;0;874;874;11;7296;2649;7;0;0;0;140783455;140723043;5827;100533852;100425773;5788;2554745;2609813;175;153518;153518;42;12838105;12840164;1018;1289911;1249491;90;23362706;23393662;2592;50340;50340;100;0;0;0;3;3;1;8963597;8951792;88;19841989;19805646;6386;0;0;0;19433663;19429008;176;791927;951585;61;167319314;13165412;2633081;2449390;489881;380580;1762620;3149;630;3081;616;0;14;3;0;28417962;5683593;19660326;3932066;15323;1736204;0;0;0;0;41583374;8316674;22109716;4421947;395903;3498824;4496536;899306;60714;12144;573;886589;15;0;0;0;15;194483;4691019;0;0;0;0;167319314;9503589
   Кировская область;29787895;29795410;3707;2763854;2764201;27642242;637;1;1;12;3;829;19983146;19989807;99950152;3613;0;581157;581267;3486423;88;0;0;0;0;15;15;76;1;37132;36957;184783;69;5638568;5638248;34683836;1908;699353;700201;696;2031;1987;7;783209;784016;1132;28879;28866;744;0;0;0;751;751;8;117;98;2;0;0;0;25264481;25274866;3550;18536418;18546580;3525;759644;760020;92;80773;80773;35;1106058;1106712;658;32590;32478;60;4733970;4733254;1867;15028;15047;61;0;0;0;0;0;0;31733;31733;27;5032006;5028926;4322;0;0;0;514281;503320;64;100004;100004;15;7566317;7781638;1556326;1723424;344684;357402;854240;617;123;617;123;0;0;1;0;54016492;10803298;13606072;2721214;23100;8058984;0;0;0;0;61798130;12359624;15329496;3065898;380502;8913224;1971051;394212;83082;16616;4003;373593;14;0;0;0;14;28684;1999735;4231;50;6;0;7566317;21622
   Костромская область;18620667;18619494;1688;1277793;1277793;12777928;236;50;50;555;1;4;14299434;14298359;71491798;1630;0;62616;62583;375497;34;0;0;0;0;0;0;0;0;40108;40108;200536;18;2575305;2574986;15826625;827;284235;283899;318;4709;4709;2;364841;365096;546;92860;92860;194;0;0;0;105;105;6;50;17;1;0;0;0;16330980;16331115;1600;12470247;12477139;1590;634324;634333;85;62786;62786;38;360066;355360;307;40108;40108;18;2660071;2658013;810;102863;102863;35;0;0;0;6;6;1;22871;22887;26;2857441;2856083;1800;0;0;0;477323;477323;25;5898;5898;5;6179208;73825642;14765131;71914111;14382822;8687;373622;0;0;0;0;0;0;0;0;310205787;62041158;222509524;44501905;479892;17059361;0;0;0;0;384031429;76806289;294423635;58884727;488579;17432983;2152519;430504;1592;319;0;430185;0;0;0;0;0;363;2152882;0;0;0;0;6179208;22697
   Курганская область;21497792;21451866;1677;2199175;2199135;21991347;334;1881;1881;20697;5;20978;14346458;14346242;71731306;1570;20432;149254;125454;752727;55;0;0;0;0;0;0;0;0;13056;12189;60941;27;3242502;3242537;20157198;702;1406196;1405611;304;46349;46349;2;1504048;1503440;466;13996;13885;174;0;0;0;410;410;8;0;0;0;8;8;1;18280285;18285666;1584;13037815;13042737;1568;280703;280703;38;140287;141208;26;980795;980795;312;13056;12189;27;3810199;3810604;695;13169;13169;28;0;0;0;0;0;0;46252;46252;15;3262194;3210774;1740;0;0;0;84772;73723;56;58774;58774;5;2421535;2682438;536490;290387;58073;25092;453325;2523;505;0;0;0;505;2;0;242718;48542;17290;3458;1641;43443;0;0;0;0;2925156;585032;307677;61531;26733;496768;114053;22811;495;99;9;22703;97;0;0;0;97;4616;118669;1145;100;3;0;2421537;46251
   Курская область;52647838;52497347;4359;12420297;12420329;124203310;939;1110;1072;11782;5;124731;28333767;28306908;141534549;4019;8;530159;528839;3173036;69;0;0;0;0;0;0;0;0;99425;99425;497130;47;7487083;7489867;52849093;1687;3471613;3471337;624;125;125;2;3651260;3650879;988;48951;46297;284;0;0;0;413;236;7;0;0;0;0;0;0;49746171;49602635;4160;35692688;35554879;4127;2540406;2540900;131;173276;173276;88;4734014;4731976;683;98566;98566;47;6462991;6458842;1612;41734;41703;48;0;0;0;0;0;0;642638;642638;17;8151622;8147821;4359;0;0;0;5844212;5848908;166;2191682;2191682;13;16789691;6332367;1266474;1645653;329130;181486;755858;3078;616;0;0;0;616;1;0;1545058;309014;61623;12325;781;295908;0;0;0;0;7877425;1575488;1707276;341455;182267;1051766;812279;162456;3029;606;2332;159518;1388;13;3;13;1372;4037;816316;0;0;0;0;16789690;642555
   Ленинградская область;133168094;133139609;6926;5202498;5199988;51999868;588;124;124;1362;2;-52208;102068286;101983072;509969078;6739;3;867055;867116;5202698;145;9458;9458;47291;2;0;0;0;0;562518;562518;2812593;77;21381904;21393978;132418863;3284;2798033;2797182;1403;4850;4839;9;3137636;3130998;2081;1740267;1740885;977;5968;5968;2;163;163;10;2285;1452;4;0;0;1;120128719;120126964;6651;80248018;80255533;6580;13093193;13090902;454;410929;410929;109;4100018;4080372;1278;561889;561929;76;20086530;20099156;3230;1627767;1627767;194;221;221;1;-2265;0;0;2462305;2459895;161;31465471;31432026;7428;0;0;0;19134512;19126876;227;1092280;1092280;34;129442127;18731580;3746315;2987162;597433;261485;2887397;91051;18210;432;86;725;17399;7;0;1955270;391052;18675;3735;647;386670;0;0;0;0;20686850;4137367;3005837;601168;262132;3274067;3583280;716656;95480;19095;69888;627673;2094;1674;335;232;1527;25981849;29565129;46885;3550;8;0;129442127;2454027
