GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31
Республика Адыгея;9429905;9743979;1477;33524;30270;147;1185;0;0;8391399;8746456;1343;164;164;1;37023;36782;30;1244628;1201452;1530;626974;3818426;687317;231796;41724;17456;628137;154006;0;626078;36318
Республика Башкортостан;332985810;329022623;30385;607592;513845;5423;77809;21419;40;294411403;289205997;28690;41249;5687;15;23367153;21013656;482;33752577;33573707;34060;210669801;73417566;13215162;27900117;5022019;905456;7287687;11321037;1098750;146677053;14851554
Республика Бурятия;17196396;17300397;2404;17007;16735;438;1524;0;1;15007245;15143341;2137;0;0;0;1642096;1640145;167;2514436;2487879;2670;34033619;8751847;1575335;1423828;256291;320391;998653;1812547;367017;34033519;1637570
Республика Алтай;14220664;14276774;1153;3876;3846;60;6010;0;0;12825049;12945520;1082;0;0;0;381974;388747;20;1224647;1155828;1150;3865393;3997046;719469;2582627;464872;23862;230735;1004273;0;3865393;375923
Республика Дагестан;17229309;17494905;3018;32437;32413;73;259;0;0;14955467;15063563;2757;107;0;0;43351;48308;22;2576586;2728235;2954;1479602;9176748;1651817;1263890;227501;58484;1365832;832657;864707;1477063;45734
Республика Ингушетия;2978228;2552031;497;2587;2587;2;0;0;0;2848925;2446046;453;0;0;0;0;0;0;227026;203708;481;477;0;0;0;0;0;0;0;0;0;0
Кабардино-Балкарская Республика;13128415;12652363;1660;930;941;77;2184;2116;4;12187198;11810936;1526;418;418;1;28020;28098;17;1043634;950557;1663;264781;2954963;531893;261273;47029;6588;478276;197894;0;264783;28385
Республика Калмыкия;2830538;2897078;566;608;569;67;0;0;0;1944848;2059072;467;0;0;0;433;433;2;884824;882358;598;12543;337438;60738;135278;24350;13679;22709;11219;0;12543;433
Карачаево-Черкесская Республика;14348787;14323130;1099;2183;2134;39;110;1;1;13315925;13306130;1000;0;0;0;51559;51473;23;1067621;1051593;1082;866391;3091922;556546;236969;42654;11566;502326;24345;0;865099;51474
Республика Карелия;22792256;22817661;3974;46509;43815;1182;690;0;0;19163541;19146622;3657;1409;0;0;1962574;1960015;220;3621075;3613348;4759;25190329;6504878;1170881;1246592;224386;99794;846701;1369463;39666;25167466;1955130
Республика Коми;71639944;71562434;3554;250544;250191;2404;807;0;0;53275157;53278583;3241;12778;12141;1;11716004;11526231;111;14026192;13975834;5665;163195945;14972686;2695079;1334315;240177;89724;2365178;1496840;8668;97042741;6793393
Республика Марий-Эл;34950566;34574108;4169;13193;12940;465;2196;7;1;30081580;29817600;3910;371;2;1;448310;448183;81;4756195;4644635;4482;5117181;10213500;1838437;3303515;594635;439789;804013;1487829;462349;5112168;448216
