GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156
   Краснодарский край;1345176464;1344419543;77166;206553565;206534988;2065349519;11487;111018;110707;1217782;104;-390566;843235569;842380314;4211985013;72789;2650;23104315;23105080;138632783;1660;2419;2419;36220;16;3176;3176;28418;3;1297232;1215158;6075791;923;216898544;216783616;1418924465;42704;49641166;49551745;18590;165960;168764;79;54358267;54241846;26172;1676006;1651271;2359;40412;40510;14;8293;8293;160;20098;17629;43;266;268;11;1227041395;1228861109;73679;909088363;911743461;72819;60743392;60755116;3867;5233893;5224149;910;56755110;56825584;17556;1264303;1184459;872;192682955;191861149;40115;1221459;1210138;706;567;567;5;-16;383;3;17280781;17288090;758;180727244;178147562;76394;0;0;0;77972574;77996305;1843;7089341;7111941;165;732058501;24097;202323694;40464741;33788795;6757759;4010612;29696370;175344;35069;19728;3946;5146;25977;92;39;235696197;47139239;127487235;25497448;39098;21602693;0;0;0;0;438019891;87603980;161276030;32255207;4049710;51299063;35233912;7046781;1683829;336766;23916;6686099;400280;13141;2628;2157;395495;18063996;53297908;119042;2301;61;29;732058501;17243225
   Красноярский край;881792017;879735024;45659;30172829;30053278;300532852;5205;11276;8809;96904;58;197655;701532035;700022648;3500141518;44082;-21;2182443;2178274;13230388;824;10;10;52;2;40;40;206;3;1953645;1908803;9544018;342;116741850;116585001;712771991;20998;26694264;26667047;9816;40367;40698;23;28974741;28934701;14463;1220673;1217300;3240;3480;4502;4;1003;645;21;37924;12981;24;96;100;6;730891601;730159012;44082;541767783;541231118;43771;22778467;22787510;1092;541166;539252;317;57492040;57467974;9320;1886718;1871215;335;105655692;105494360;19577;780140;775904;676;0;0;0;245;5;2;12727266;12735102;520;229765108;228558669;46027;0;0;0;89622848;90238242;1567;32390233;32304258;199;959133795;14609;104245355;20849071;27300974;5460194;2199745;13189132;84348;16870;62242;12448;760;3662;41;22;114683992;22936801;1601036;320207;6191;22610403;0;0;0;0;218929347;43785872;28902010;5780401;2205936;35799535;58014118;11602825;1252119;250426;204611;11147788;24250;6340;1268;63829;-40847;2382375;60396493;61302;1253;8;7;959133795;12644381
   Приморский край;552024087;550739380;34592;29966995;29975527;299754019;5614;37328;39061;429671;20;223126;421328100;420299561;2101501298;33068;752;2274098;2308439;13850634;448;1313;1313;11481;9;0;0;0;0;304648;337297;1686491;177;76917085;76841174;474565861;15309;18117601;18066273;6208;1088404;663285;44;20529443;20535542;9210;1381125;1380547;2101;6952;6947;8;617;617;12;9008;19109;22;121;121;4;529671515;529227540;33171;358273608;358061209;32534;80122449;80148833;5360;372675;372066;145;21753399;21661664;6066;297159;329809;175;68139040;67938680;14287;718134;724897;412;19;19;2;386;134;5;10447101;10445668;1141;49821019;48865456;34315;0;0;0;36243185;36059948;1715;3030435;3094347;132;365084076;11158;67752960;13550594;14309635;2861928;2078284;8610382;1074334;214867;8690;1738;187;212942;26;10;97473748;19494750;29722626;5944524;225087;13325139;0;0;0;0;165226708;33045344;44032261;8806452;2303371;21935521;59095609;11819125;3293895;658781;49291;11111053;378572;2232656;446532;605;-68565;29029061;88124670;17235;582;9;8;365084076;10413839
   Ставропольский край;316408959;316230982;24644;36424920;36384422;363844201;4688;31138;31220;343415;38;-101535;208186845;208003403;1039930686;23142;772;2208721;2236231;13417386;404;36;36;179;1;0;0;0;1;338818;338856;1694278;318;57840086;57778495;389571832;12001;10452705;10495402;4907;90039;89212;25;11479158;11440979;7482;230276;217688;1037;323;323;3;7708;8186;83;50149;1327;11;6;6;2;285904446;286261047;23401;211612755;212072927;23161;6931433;6887855;843;1479426;1497573;322;11902844;11942498;4543;338454;338491;309;53473518;53355684;11126;178249;178256;248;848;848;1;325;0;0;570421;570449;69;40249531;39629904;24852;0;0;0;10035757;9930933;524;3345086;3348588;62;89838350;7686;47503120;9500621;7905275;1581057;670032;7249532;87041;17408;6818;1364;3;16041;57;21;50858988;10171798;5050190;1010038;14239;9147521;0;0;0;0;98362108;19672419;12955465;2591095;684271;16397053;16649772;3329957;297222;59445;16912;3253600;63640;81433;16287;13572;33781;1663586;18313358;191531;11959;8;5;89838350;297985
   Хабаровский край;297055910;296840372;20981;19496440;19586726;195866516;2919;604;604;6644;16;122125;206127803;205910982;1029556638;20302;-31124;12052439;12065318;72391910;445;61054;61054;305438;6;0;0;0;0;623100;620274;3104512;222;44625870;44579033;270590685;9863;12255048;12245532;4375;53031;53031;19;14028532;14044093;6712;486683;481557;2628;14;14;1;440;448;16;14129;12923;15;52;6;1;270620431;271087573;19914;197642653;198068814;19698;8936823;8941775;864;5685032;5684499;87;15659225;15664912;4211;598514;617955;220;41828523;41790539;9265;462573;469184;291;0;0;0;9145;8272;13;8811687;8827704;374;58877744;58122240;22399;0;0;0;40474652;40489643;1076;1998871;2123986;59;290319544;7025;32587002;6517397;9692050;1938414;391968;4187015;114837;22967;43934;8787;0;14180;24;21;6547201;1309441;447411;89482;5680;1214279;0;0;0;0;39134203;7826838;10139461;2027896;397648;5401294;10426310;2085262;499720;99943;12429;1972890;11862;5749;1150;0;10712;3621080;14047390;443140;23296;6;5;290319544;8773953
   Забайкальский край;57679785;57404863;4768;3707896;3693636;36936357;788;8073;1157;12724;13;121804;42705450;42685066;213420597;4509;865;242783;228424;1370544;129;650;650;6277;5;0;0;0;0;445674;418787;2093930;76;7571882;7561842;45734794;1660;2557470;2525198;660;57;57;1;2873685;2788737;1240;225973;224035;1683;0;0;0;114;114;7;105878;867;1;0;0;1;57644864;57494206;4289;44353613;44215112;4207;4790063;4793391;315;6633;6633;12;2797547;2796781;613;285883;280844;69;5278542;5271360;1499;133517;129989;138;0;0;0;0;0;0;9160086;9122379;228;10066947;9998285;5816;0;0;0;18168939;18283723;626;279672;228591;26;161707310;2039;13682978;2736597;2045021;409005;159079;2168513;58090;11618;49207;9841;39836;-38059;9;4;22078586;4415718;521368;104274;30445;4280999;0;0;0;0;35761564;7152315;2566389;513279;189524;6449512;7943873;1588773;75795;15159;42970;1530644;11273;41346;8269;30455;-27451;0;7943873;8339;0;3;2;161707310;9040358
   Амурская область;145551780;145426368;8450;9815819;9785807;97858076;1796;142818;142818;1570994;17;40728;84324820;84280460;421406083;7828;0;237317;237059;1422357;133;1011;1011;7225;6;0;0;0;0;922862;922682;4613411;71;26183938;26189478;161779820;3256;23638384;23613604;1499;31;31;2;23883532;23860854;2273;3676696;3668903;1289;0;0;0;1357;1374;8;250574;84;2;51;51;2;194467630;194389810;7960;133885188;134045615;7832;3589980;3595157;816;572720;572485;51;32706281;32465827;1392;922979;922001;70;19206476;19214773;2951;3584044;3573992;120;41;41;1;47176;47176;1;6820571;6813730;212;25187860;24786434;8853;0;0;0;71918248;72119859;849;43890404;43889084;31;141855771;2957;19081141;3816229;9199040;1839807;74438;1901984;661860;132372;2165;433;3606;128333;9;3;148421898;29684379;67582779;13516554;463244;15704581;0;0;0;0;167503039;33500608;76781819;15356361;537682;17606565;177656271;35531255;129389;25878;4277;35501100;171543;0;0;16;171527;1338389;178994660;30065;4417;2;2;141855771;6438056
   Архангельская область;122743170;122446967;7749;5057504;5057272;50572709;1103;472;476;5233;3;30230;74977147;74992737;374963275;7523;2061;499222;502039;3012233;218;7;7;33;2;0;0;0;0;755940;753518;3767590;161;32098189;32041458;195109537;3519;7585350;7395266;1239;39778;39778;16;9310963;9085409;2340;299401;298794;2187;105;105;1;9098;8568;28;553;78;1;472;256;3;110031711;109989222;7263;84459461;84518164;7196;1064156;1061223;111;102744;102582;43;9608813;9604236;1107;750796;748223;157;13867402;13775937;3305;178334;178849;241;0;0;0;0;0;0;8205750;8010442;123;25479753;25183608;9351;0;0;0;20602030;20410460;342;2785841;2785019;53;193729081;2916;55653609;11130721;4005656;801132;3394497;6935092;0;0;509;102;0;-102;0;0;11205876;2241174;1836157;367230;5626;1868318;0;0;0;0;66859485;13371895;5841813;1168362;3400123;8803410;3888295;777660;128793;25759;6794;745107;45487;0;0;0;45487;5419422;9307717;0;0;0;0;193729081;7998937
   Астраханская область;65597644;65508919;5485;2379584;2336806;23368053;836;2638;2638;29016;16;27655;52714391;52683749;263419042;5103;-2126;834759;834050;5004260;157;178;178;2109;3;0;0;190;0;48521;44695;223475;34;7310459;7304022;45368254;2425;2080630;2075992;883;46476;46476;13;2281609;2275648;1744;108893;109420;403;0;0;0;323;217;8;5681;6854;7;33;33;2;48187711;48160015;5177;38694482;38680784;5087;1022061;1037933;251;63803;63803;64;2021540;2019823;866;48443;44617;32;6275149;6250823;2185;59326;59326;106;2906;2906;4;957;69;2;7786031;7790038;324;21964174;21894812;5244;0;0;0;12211145;12197938;622;2465685;2465577;18;251409369;1852;7542146;1508431;721659;144334;107348;1256749;4152;830;293;59;0;771;11;5;3036150;607229;1233311;246662;8476;352091;0;0;0;0;10578296;2115660;1954970;390996;115824;1608840;4041837;808367;61918;12384;7986;787997;44029;39331;7866;0;36163;11925143;15966980;872634;33400;47;21;251409369;6744288
   Белгородская область;440399190;443004738;31541;95305303;95346112;953461151;4522;5979;5979;65770;30;-331438;247043257;249249538;1246250515;30065;1;3541355;3539210;21235258;459;-3506;298;1927;6;0;0;450;0;748267;727599;3637993;299;69680857;69679824;553334268;14774;23513796;23489731;6564;152365;152927;41;24404604;24397101;9053;578693;578469;2027;4162;4162;5;7929;7921;32;17368;13002;34;-3;0;0;378319675;381344759;30668;277889710;280987017;30420;12920941;12906387;2026;1973383;1943505;675;25936869;26191344;6170;742986;722778;292;58329635;58089349;13909;537198;510847;526;0;0;0;67;16;2;2256230;2270811;186;93129306;92696213;31928;0;0;0;32736776;31663822;986;2791727;2770579;113;329119967;10148;21574308;4314863;2512827;502564;159899;3652400;534145;106829;49292;9858;679;96292;27;11;483342170;96668434;113238955;22647791;12740;74007903;0;0;0;0;504916478;100983297;115751782;23150355;172639;77660303;2972277;594457;341256;68250;968;525239;180;532;106;0;74;1109367;4081644;552316;41;35;15;329119967;2262962
   Брянская область;160579785;160527086;12631;21384644;21335325;213353251;2045;3981;3981;43791;10;-105056;97645156;97555239;487776199;12004;0;3295401;3290511;19743064;292;1712;1712;8562;8;0;0;0;0;236196;235609;1178042;152;29211367;29234413;193879199;6275;7764553;7716349;2239;325301;325071;13;8908224;8830639;3614;402414;401818;1122;0;0;0;3504;3504;17;20659;14040;19;15;15;1;142339959;142428185;11888;96899036;97083504;11725;5489556;5427324;618;4256581;4252443;1036;7950917;7899535;2084;234142;233220;143;27277916;27293821;5859;244973;244823;211;0;0;0;932;26;2;1058048;1069133;372;22438265;22272394;12824;0;0;0;4644893;4591600;771;1910365;1910147;30;30223929;4045;32829543;6565908;3063426;612683;316605;5636620;9475;1895;149;30;0;1865;6;3;4763907;952781;77392;15477;367;936937;0;0;0;0;37593450;7518689;3140818;628160;316972;6573557;3078722;615744;114271;22855;49663;543226;5648;0;0;0;5648;626140;3704862;336006;162;35;15;30223929;1067204
   Владимирская область;250776266;250759978;17861;27126183;27138326;271383286;2078;252;1651;18159;5;-5944;178689916;178608891;893049513;17276;-20;1946905;1956821;11740925;340;0;0;0;0;0;0;0;0;291698;291647;1458234;203;37540694;37527750;231770894;9340;4152752;4152947;3449;45885;82064;91;5187333;5228010;5398;1344869;1342694;1496;208;208;1;1583;1583;29;44587;3435;18;0;0;0;215185626;215278062;17158;149386146;149479495;17031;23202291;23193237;985;616460;620397;450;4537673;4541788;3233;272544;271644;196;35988788;35991216;8896;1250150;1248633;308;0;0;0;1096;1096;1;401997;432843;230;40960631;40758062;18555;0;0;0;4274229;4255216;292;655761;667083;52;71253962;5542;21011007;4202203;5406314;1081263;354277;2766663;430843;86169;131;26;0;86143;5;3;3915517;783104;299922;59985;5891;717228;0;0;0;0;24926524;4985307;5706236;1141248;360168;3483891;11380049;2276010;214666;42933;21915;2211162;1236;0;0;36;1200;1005637;12385686;0;0;0;0;71253962;380962
   Волгоградская область;302396042;302263163;22464;22108351;22084147;220841462;3553;85106;87718;964900;42;24301;195800142;195747427;978739204;20837;3346;16635774;16625029;99750175;675;0;0;0;0;0;0;0;0;829248;825415;4127077;213;56979081;56942731;356827762;12101;8324395;8338172;4997;172740;172740;52;9929632;9933700;7281;330208;326619;2820;95;12;4;2710;2984;54;27387;6994;22;0;0;0;256159130;256263557;21053;185237121;185447242;20880;7528083;7521148;629;1697928;1697928;290;9362080;9390201;4685;826328;822495;207;51209136;51090424;11395;299414;295052;313;0;0;0;635;635;2;647674;647746;166;59091783;58829043;24321;0;0;0;13090433;13109475;292;2628240;2628250;99;144742335;7428;43992832;8798565;9436566;1887316;1670593;5240656;21186;4237;616;123;0;4114;12;8;51988305;10397660;24243253;4848650;52366;5496644;0;0;0;0;95981137;19196225;33679819;6735966;1722959;10737300;6175490;1235099;143879;28776;2098;1204225;7918;0;0;0;7918;4762951;10938441;707;0;4;3;144742335;544014
   Вологодская область;377535713;376076294;26264;13727781;13730848;137309390;2152;8;8;86;2;1751910;285573526;285857620;1429287474;25770;-6470;3936231;3952869;23717215;321;0;0;1305;0;0;0;0;0;283202;283202;1416009;226;61780859;61807728;373702428;8657;9268811;9226940;3951;993;1464;4;10505022;10442288;5946;673559;670764;1436;31;0;0;3085;3082;30;12178;2724;11;3;3;2;378015792;376792071;25543;301234674;300063834;25431;8423896;8432302;394;2371474;2354588;190;9120256;9089238;3799;280779;280779;221;56059793;56046815;7981;522937;521959;264;274;274;3;42;0;0;5686482;5703178;219;31543235;31268397;26445;0;0;0;37010312;36990307;468;10332793;10347042;65;456969867;9131;24367946;4873590;2014891;402980;162614;4307996;23835;4767;84;17;0;4750;3;3;556954979;111390997;534275866;106855173;70971;4464853;0;0;0;0;581322925;116264587;536290757;107258153;233585;8772849;5967960;1193593;58423;11685;6253;1175655;4;41;8;0;-4;3230252;9198212;3207;0;1;1;456969867;5693185
   Воронежская область;524863421;523819379;51704;68142531;68183638;681835877;7055;36525;36525;401770;22;3415865;320482628;322792944;1613987485;49665;-903;4419899;4490450;26942700;692;0;0;0;0;0;0;0;0;455740;453456;2267277;298;102707888;102701171;687846885;22770;23502577;23495490;9732;47843;48056;35;25174993;25127311;13770;434789;430933;1832;1126;1018;9;3108;3170;28;23307;17474;27;0;0;0;482565172;482524345;50200;352508514;352482314;49907;13151294;13127908;1396;2178405;2196817;753;25005113;25004576;9463;299368;298042;275;88602769;88604909;21145;422240;415384;373;0;0;0;287;287;3;899121;899382;224;54575472;53566098;51537;0;0;0;12582680;12562747;602;710765;713334;72;80563826;16759;78042822;15608563;15573315;3114665;1260718;11233180;85445;17089;71916;14383;308;2398;20;10;32383094;6476619;1582590;316518;4688;6155413;0;0;0;0;110425916;22085182;17155905;3431183;1265406;17388593;15968598;3193719;504120;100823;9508;3083388;131739;20096;4019;0;127720;3785904;19754502;22713;1920;12;6;80563826;874565
   Ивановская область;121519968;123314149;21240;5957456;5959133;59591320;2182;1;1;14;2;-59006;94688625;96265659;481316420;20724;-14;1764030;1771842;10631052;347;56953;58580;305182;3;0;0;0;0;138699;138587;692935;74;16500574;16532142;107383445;8090;2110686;2229188;3012;172913;173525;28;2529464;2648172;4298;82181;82244;651;0;0;0;359;368;12;2333;923;15;4;4;1;110374897;112800885;20383;82829672;85100163;20253;8976035;8974227;939;648841;655260;291;3360602;3493592;2988;138671;138547;73;14363966;14381786;7525;59295;59495;108;548;548;1;0;0;0;542709;541595;75;12357615;11695610;21200;0;0;0;1586296;1617527;208;58820;58820;21;15171537;6962;14889348;2977871;3480162;696033;282899;1998939;17;3;10;2;0;1;1;1;60973024;12194605;169145;33829;8506;12152270;0;0;0;0;75862372;15172476;3649307;729862;291405;14151209;3027065;605413;180695;36139;10255;559019;62;0;0;0;62;540166;3567231;5852;0;3;3;15171537;539411
   Иркутская область;541176149;540065596;29483;17523559;17454190;174541893;3198;10347;10403;114435;32;819016;404296006;404029572;2020147865;28512;5412;1865100;1862087;11172512;563;-789;1170;5907;4;0;0;0;0;1184576;1183596;5917978;225;91397553;91528267;569607496;13618;22735038;22902802;6805;609;401;8;24074477;23992544;9843;1089382;1087186;3242;500;102;4;1176;1176;40;57270;6864;18;86;88;4;428346777;429153518;28047;305498796;306015703;27803;9828034;9922300;844;348003;353328;178;23509786;23496864;6444;982018;981038;222;87154799;87384027;12708;1025339;1000256;399;0;0;0;3889;1071;6;11849269;11734445;616;142306757;140439248;30914;0;0;0;40123534;40113112;1287;13936523;13891703;84;379557637;10025;55706811;11141362;15630248;3126051;739897;7275414;10832;2166;2525;505;0;1661;5;4;26115215;5223043;434289;86858;12422;5123763;0;0;0;0;81822026;16364405;16064537;3212909;752319;12399177;29718765;5943753;408360;81672;64033;5798048;5354;0;0;14;5340;1609072;31327837;0;0;0;0;379557637;11682516
   Калининградская область;286313802;286803063;11773;36404296;36394219;363942181;1885;34325;34281;377089;37;-169490;185491097;185962619;929813160;11086;0;1348072;1347535;8085212;351;476;476;2456;1;0;0;1652;0;165091;165183;825916;107;58307076;58187315;364752189;5445;3760140;3762190;1927;3853;3853;10;4244380;4212062;2986;1152813;1148093;919;614;614;8;733;778;29;4696;1402;9;11;5;2;190510091;191336435;11141;121042078;121954247;10910;8013206;8032254;1380;3910643;3913685;500;5281566;5226066;1797;169632;161781;102;51135771;51091199;5096;699922;699900;369;0;0;0;1686;29;3;2897221;2892158;537;113981173;113589710;11558;0;0;0;19863539;19808227;727;1095854;1095854;50;203901086;3810;29451311;5890264;6385202;1277040;247661;4365563;23397;4679;16578;3316;524;839;15;7;308982396;61796478;91625142;18325028;4403;43467047;0;0;0;0;338433707;67686742;98010344;19602068;252064;47832610;59129594;11825919;31141317;6228263;13324;5584332;14686;1925;385;0;14301;49029652;108159246;767217;425;7;4;203901086;2884901
   Калужская область;423573269;423693980;18396;23727259;23725533;237254522;1930;8;8;83;4;15986;315654808;315661022;1578305147;17636;856;2155418;2144556;12867340;362;0;0;0;0;0;0;0;0;154766;153092;765460;172;64707832;64838077;398162948;10031;16029086;16007025;3755;265607;265700;64;17156332;17164777;5508;2018235;1965063;1256;1722;1722;1;1952;1916;38;16613;15721;25;-3;0;0;379375780;380228044;17422;205683099;206557975;17212;97739893;97765627;1107;1346751;1346794;441;17260177;17325809;3518;158058;148747;167;55289566;55194298;9431;1898234;1888793;453;0;0;0;101;7;3;4390980;4391036;149;53998059;53077110;18579;0;0;0;11998929;11934955;547;581076;580718;37;109832116;5749;29374269;5874858;7182296;1436456;415007;4023395;76825;15365;0;0;0;15365;12;6;92665351;18533070;52187873;10437575;62454;8033041;0;0;0;0;122039620;24407928;59370169;11874031;477461;12056436;6554485;1310898;691607;138322;5220;1167356;12081;6616;1323;0;10758;4022673;10577158;472301;19602;20;9;109832116;4388223
   Камчатский край;63530916;63497163;3206;8319265;8308903;83089030;963;6816;6816;74977;16;1034;39380800;39361551;196807751;2964;0;220136;219762;1318571;113;0;0;0;0;0;0;0;0;627861;627861;3139306;65;10252957;10283773;68863567;1370;4453389;4459298;490;55160;55160;4;4722091;4688205;909;203746;203799;306;0;0;0;0;0;0;1485;0;0;0;0;0;59677898;59629110;2909;41347840;41307055;2876;4290952;4290617;229;11218;11218;16;5118701;5121355;486;612043;612043;65;8121880;8112107;1272;171678;172207;118;0;0;0;0;0;0;1281510;1320120;68;11567730;11530992;3077;0;0;0;8724598;8713143;383;266203;266203;8;99778242;1007;5784739;1156950;838020;167606;53057;936287;0;0;0;0;0;0;0;0;3272060;654412;98096;19619;12671;622122;0;0;0;0;9056799;1811362;936116;187225;65728;1558409;325368;65073;14571;2914;1;62158;0;0;0;0;0;7070943;7396311;0;0;0;0;99778242;1320120
   Кемеровская область - Кузбасс;690951473;690667639;24529;10153929;10143622;101436205;2210;2781;2781;30595;10;68824;456545513;456395918;2281980904;23784;0;55043333;54952135;329712812;532;0;0;0;0;0;0;0;0;3841382;3805293;19026464;373;111541630;111511050;673180132;10724;50820732;51036180;4419;827734;595112;58;53751870;53848542;7164;291813;289050;1846;103;103;2;3126;3120;35;210210;48693;49;0;0;0;632129671;632041728;22798;460516696;460531888;22622;8419088;8374330;709;2285241;2285241;196;53288610;53172081;4075;3739363;3702525;370;103780900;103868837;10107;238453;238084;370;0;0;0;53005;3493;11;41912786;41914488;319;101021647;100756421;24979;0;0;0;83844721;83631890;611;3072374;3231664;221;822651850;7885;50750519;10150104;12641260;2528252;1207749;6414103;22618;4524;6533;1307;1413;1804;27;12;129296668;25859333;90100215;18020042;54926;7784365;0;0;0;0;180047187;36009437;102741475;20548294;1262675;14198468;16311783;3262357;328503;65701;218755;2977901;1051;0;0;0;1051;12563736;28875519;0;0;0;0;822651850;41753348
   Кировская область;120866138;120492928;14597;11313378;11319076;113193135;2529;7;7;78;3;-12426;79737456;79359165;396795601;14162;0;2808194;2808286;16849719;317;0;0;0;0;0;0;0;0;182397;181565;907825;250;23022771;23016708;142896450;7745;3597189;3593888;2900;9485;9444;23;3814039;3806838;4509;134406;133167;2798;0;0;0;1834;1834;30;1298;594;11;0;0;0;105243978;104704319;14011;77869386;77337205;13915;3319159;3319569;373;354143;353853;155;3725012;3729633;2702;174481;173649;231;19712716;19701573;7356;89082;88837;214;0;0;0;-4;0;0;115284;115414;117;18503267;18658406;16809;0;0;0;2830254;2820750;294;226285;231514;60;39070344;5046;21604887;4320974;5073165;1014632;833766;2472576;1510;302;0;0;0;302;1;1;95343186;19068636;53338041;10667610;84884;8316142;0;0;0;0;116948073;23389610;58411206;11682242;918650;10788718;6287787;1257557;370323;74065;14411;1169081;30;0;0;0;30;115995;6403782;13287;512;17;9;39070344;104796
   Костромская область;74775814;74840926;6765;5510856;5510775;55107747;975;196;196;2158;2;-50482;56565246;56542877;282714385;6482;49;313554;313453;1880719;139;0;0;0;0;0;0;0;0;129483;129428;647140;85;10738556;10768403;66086385;3394;1217424;1221516;1324;5273;5273;5;1567275;1572930;2239;257134;257015;791;0;0;0;1201;1201;28;4597;1915;16;0;0;0;65853092;65997499;6413;50087417;50209332;6366;3368317;3369613;332;320081;320081;158;1357967;1354399;1223;128218;128162;84;10356579;10381401;3233;240539;240539;137;0;0;0;23;13;4;76192;75931;93;12435231;12352184;7219;0;0;0;3267565;3266965;121;31439;31462;17;45503414;2197;186736255;37347251;183499152;36699830;35284;612137;0;0;0;0;0;0;0;0;825592930;165118586;643426257;128685251;2827949;33605386;0;0;0;0;1012329185;202465837;826925409;165385081;2863233;34217523;3804216;760842;14975;2995;1842;756005;0;0;0;0;0;7648;3811864;0;0;0;0;45503414;73233
   Курганская область;78513377;78471182;6519;8010030;8009162;80091615;1282;6888;6724;73965;17;6732;51421461;51409366;257046585;6076;15097;674145;652420;3914034;218;1779;1779;17788;1;0;0;0;0;71455;68031;340159;104;13596527;13597668;83845416;2869;4388111;4385924;1215;75686;75611;12;4709524;4704581;1871;67993;67781;623;0;0;0;2412;2412;26;0;0;0;1495;1496;1;66176982;66464561;6173;47425651;47716251;6119;1043810;1043848;139;343319;344240;112;4030446;4019817;1165;71455;68031;104;13207474;13217547;2696;50687;50687;109;0;0;0;0;0;0;102626;102626;40;13110853;12765464;6681;0;0;0;810602;787383;224;174639;174754;17;6750508;2119;10303021;2060605;1413783;282754;74041;1703810;2559;512;0;0;0;512;3;2;876219;175243;56636;11327;2943;160973;0;0;0;0;11179240;2235848;1470419;294081;76984;1864783;653682;130737;2522;504;40;130193;1719;0;0;0;1719;121442;775124;95468;811;15;7;6750508;102625
   Курская область;203494637;203404314;16440;41156562;41141050;411410498;3566;3542;3785;41639;19;249029;116763547;116940488;584700807;15011;-117;2199554;2198972;13193834;266;5384;5384;49457;5;176;176;1561;3;398371;395803;1979018;171;29062070;29068981;203873431;6751;13123828;13121078;2691;525;525;2;13661655;13653434;4036;163800;161060;1107;0;0;0;1545;1365;24;581;566;5;36;36;1;182918848;183145315;15705;134423908;134657881;15588;6354714;6354820;523;796551;796790;365;14341443;14346792;2478;399848;394281;171;26475130;26471868;6229;120180;115915;189;0;0;0;69;64;2;2796677;2796677;50;36077117;35775309;16349;0;0;0;18133145;18147666;748;5194629;5194308;48;77682427;5696;18421320;3684263;3051170;610234;546639;2527390;12409;2482;0;0;0;2482;8;3;8892270;1778454;1936847;387370;8920;1382164;0;0;0;0;27313590;5462717;4988017;997604;555559;3909554;4466306;893261;16902;3381;4127;885753;144;298;60;0;84;252390;4718696;202;0;1;1;77682427;2796593
   Ленинградская область;530103549;529097426;27054;22628941;22631511;226315099;2344;329;380;4175;9;-378660;396927836;394673996;2002882502;26255;-527;3704286;3699383;22196300;494;9497;9497;47487;3;0;0;0;0;3001492;3000531;15002655;294;92183726;92110495;567652333;13411;11727961;11711630;5504;37486;40772;39;13029348;13007924;8116;8584099;8588737;3790;48696;48696;9;737;737;37;13014;10648;26;2;2;3;487381642;487645705;26075;324626390;325069455;25770;55023257;55018389;1808;2555568;2557446;453;20490018;20412155;5121;2996838;2995917;281;75349773;75247756;12714;6339522;6344347;788;11;11;1;169;1031;1;9213417;9159569;644;132817040;131747407;28933;0;0;0;90223892;90467821;903;3893252;3950011;118;622107264;9219;59947704;11989541;9226731;1845344;1589749;8554448;130695;26139;31269;6254;762;19123;28;16;11385129;2277026;292811;58562;73875;2144589;0;0;0;0;71332833;14266567;9519542;1903906;1663624;10699037;16254911;3250982;1043821;208764;303424;2738794;12785;42718;8544;964;3277;103179231;119434142;257488;23103;32;14;622107264;9147655
   Липецкая область;306892723;309019854;18601;40880138;40531180;405311978;2368;429;1169;12855;12;-612243;188409300;190200290;951086722;17748;10314;2314694;2302448;13814515;287;-30;23;496;3;0;0;0;0;317063;314193;1570965;177;56427416;56578719;366182607;7726;18611831;18608481;3207;15999;15999;29;19141486;19080772;4878;771292;756602;1156;0;0;0;593;593;11;3134945;3126879;15;199;0;0;316985617;319886842;17864;228486322;231112743;17754;14971311;14937803;593;1401788;1402811;258;18546970;18711116;3109;315442;313604;172;52599286;52749793;7125;684532;681135;316;0;0;0;0;0;0;3177438;3174009;77;26848924;26092666;18942;0;0;0;35842464;35718200;342;6600555;6634282;115;416851422;6186;17081755;3416349;4950585;990119;234378;2191852;22607;4521;3715;743;700;3078;10;6;16020459;3204091;306073;61214;2555;3140322;0;0;0;0;33102214;6620440;5256658;1051333;236933;5332174;1130625;226125;136835;27366;309;198450;2726;96;19;0;2707;459117;1589742;73106;3658;12;4;416851422;56667
