GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156
   Республика Коми;177140996;176913636;4759;1796414;1731809;17318086;530;627;627;6895;5;6045;151415382;151456636;757283214;4636;-27;264755;260669;1564019;87;2;2;8;1;0;0;0;0;360717;360164;1800820;107;19641361;19635139;118474067;2047;3029879;3028577;766;6326;6277;6;3654322;3458232;1468;295609;291774;2863;0;0;0;4777;2264;37;4737;3165;7;1398;1398;5;129615395;129667408;4414;104475858;104522003;4376;2013589;2029495;82;75882;75882;28;3727029;3725569;665;360708;360155;106;18727974;18719618;1976;234787;235119;207;0;0;0;607;327;3;16519053;16576824;90;38718777;38479057;7217;0;0;0;7413218;7494015;260;3244914;3253771;44;406143080;2299;13596355;2719269;1588584;317718;55885;2345666;2087;417;33;7;0;410;5;3;385802397;77160479;290072113;58014423;722;19145334;0;0;0;0;399398752;79879748;291660697;58332141;56607;21491000;2675876;535175;486144;97228;71608;366339;633;0;0;0;633;351078;3026954;0;0;0;0;406143080;16571868
   Республика Крым;164231357;163412459;17666;13025296;12986011;129862970;2660;1700;1721;18926;10;-106624;113623792;112772955;563859840;16858;627;122997;127776;766654;175;3520;3520;17791;8;10;10;51;2;358872;355739;1778702;189;29653176;29644243;182807641;10414;6792145;6814706;4225;4969;4969;15;7556109;7520972;6030;219939;214125;2601;0;0;0;5000;5000;55;17;17;1;0;0;0;140762991;140448980;16693;104387567;104102680;16418;84597;84043;72;198183;197609;133;8093580;8119895;4115;348491;345483;172;27063930;27018276;9637;132733;133703;202;-10;0;0;0;0;0;199171;195112;18;27576420;27068443;19708;0;0;0;3968250;3560593;62;213070;213070;27;3666479;6114;56180284;11236059;6242848;1248570;1640660;8346829;43088;8618;9085;1817;61;6740;26;13;210066275;42013257;177728485;35545698;989858;5477701;0;0;0;0;266246559;53249316;183971333;36794268;2630518;13824530;4658101;931621;349757;69950;31182;830489;17774;19676;3935;0;13839;48337;4706438;0;0;0;0;3666479;195113
   Республика Марий-Эл;81522189;80778587;6592;8097194;8100136;81001252;923;3040;3173;30834;14;-162139;53707130;52969650;264847664;6327;149698;1545276;1544803;9268818;177;3;3;19;1;0;0;0;0;243474;241128;1205640;133;15494136;15480573;96942629;3392;2307684;2297445;1107;1051;1008;3;2444381;2426236;1886;273823;273376;668;1149;1149;1;1440;1440;32;2504;692;3;0;0;0;72740564;72019451;6250;53136914;52439942;6200;1814870;1814889;202;130798;130897;92;2693123;2693011;1035;235492;233145;131;14656055;14634189;3199;73871;73373;69;0;0;0;0;0;0;21020;18760;8;10068458;10043820;7069;0;0;0;990775;992216;87;100958;100958;10;11968876;2188;12127298;2425459;1868020;373605;155003;1896851;0;0;0;0;0;0;0;0;4874041;974809;3423829;684767;10260;279782;0;0;0;0;17001339;3400268;5291849;1058372;165263;2176633;2412770;482553;61680;12336;1205;469012;900;474;95;0;805;526072;2938842;0;0;0;0;11968876;16868
   Республика Мордовия;100396562;100413496;8002;18119922;18120066;181201390;1457;241;241;2656;7;-23614;55124133;55123394;275616971;7616;9;5069904;5069505;30417032;229;142;142;708;1;0;0;0;0;159959;159959;799796;141;17438935;17433791;115353773;3957;4291979;4292372;1373;42;42;1;4506997;4505722;2372;346676;346436;626;1792;1792;7;510;510;5;656;535;7;0;0;1;88134337;89848101;7479;65581162;67295614;7433;1681911;1681665;212;277985;277985;134;4961368;4962108;1313;159351;159351;138;15407207;15406027;3770;65986;65985;135;0;0;0;0;0;0;187363;187363;11;15594579;13917016;8166;0;0;0;3162915;3177521;247;344193;344375;34;20813344;2567;13831360;2766271;1113224;222647;337940;2205684;0;0;0;0;0;0;1;1;18818251;3763649;24733766;4946753;11036;-1194140;0;0;0;0;32649611;6529920;25846990;5169400;348976;1011544;2745489;549097;173241;34649;4809;509639;408;440;88;0;320;154185;2899674;132069;0;1;1;20813344;186721
   Республика Саха (Якутия);128832367;128848102;5213;2673746;2658003;26580006;674;6593;6603;72628;11;-22211;96927671;96918983;484593325;5001;-383;114118;112616;675707;118;757;757;3784;2;0;0;0;0;3204849;3192286;15961426;122;19071637;19073303;115780889;2069;5617312;5684130;884;0;0;0;6856350;6883088;1533;524536;523152;899;455;455;3;202;202;4;0;0;0;0;0;0;108814072;108956739;4801;80463746;80647706;4724;926466;913937;94;-5170;4540;17;6876095;6940662;828;3185121;3172558;118;16965786;16916668;1899;224637;223671;203;136384;136345;1;0;0;0;30028928;30065756;231;32058934;31875296;5580;0;0;0;42358119;41439526;521;3754548;3755428;49;688611675;1933;16523029;3304607;4078456;815692;526884;1962031;5843;1169;1677;335;73;761;5;4;83904900;16780980;31144149;6228829;136098;10416053;0;0;0;0;100427929;20085587;35222605;7044521;662982;12378084;241018399;48203679;255411;51082;1281;48151316;51928;0;0;14;51914;3664621;244683020;0;0;0;0;688611675;30060192
   Республика Северная Осетия-Алания;21234493;21035278;3059;1765410;1768993;17689932;391;29208;29145;320596;15;-33397;15237381;15139477;75682811;2721;-1423;456555;370239;2221437;166;0;0;0;0;0;0;0;0;5107;5107;25535;16;3018178;2972982;19929315;961;711576;699903;436;14917;17789;8;757379;748280;630;10521;10190;167;0;0;0;269;269;4;4096;0;0;96;0;0;18520916;18526469;2804;14754573;14749383;2767;349581;347729;105;20581;20581;24;775312;787061;431;4860;4860;14;2635936;2629093;789;5507;5507;22;0;0;0;0;0;0;34155;39044;40;3266860;3075388;3125;0;0;0;559505;561861;96;4046;4057;4;3040590;1075;3232285;646454;933528;186705;171330;288419;54474;10895;0;0;0;10895;9;3;1949172;389835;56481;11296;658;377881;0;0;0;0;5181457;1036289;990009;198001;171988;666300;3661001;732201;1811708;362342;8048;361811;1952;1618;324;545;1083;29355;3690356;176740;5086;20;8;3040590;39043
   Республика Татарстан;1746151589;1744198924;105363;56620843;56627007;566270047;8155;46566;46615;512765;82;510806;1209092226;1208001641;6040008161;101782;8643;7668879;7671467;46028802;1557;0;0;0;0;0;0;0;0;1032546;1017439;5087197;514;390634328;390202754;2386940090;57943;73679312;73675399;28734;2002615;2002733;75;80535429;80474417;37320;3034579;3032113;1825;3868;3468;12;3943;3993;76;90630;34188;91;686;686;10;1581566238;1582369742;102458;1062144841;1063648407;101692;70366278;70329123;2568;3414321;3414750;822;82752807;83258280;27162;998710;986766;492;359227947;358079961;54151;2667233;2664235;707;0;0;0;1588;1100;8;10478571;10486904;400;228981040;226176971;103520;0;0;0;71690067;71609878;1395;20121596;20395872;237;859907719;33059;141548062;28309613;46535822;9307166;2111673;16890774;533459;106692;5674;1135;608;104949;62;28;296182246;59236447;144018884;28803777;170591;30262079;0;0;0;0;437730308;87546060;190554706;38110943;2282264;47152853;42889145;8577829;4501963;900392;302821;7374616;191401;291466;58293;1004;132104;6321166;49210311;910978;43909;42;22;859907719;10418409
   Республика Тыва;5511005;5499837;431;118912;119137;1191365;42;821;821;9034;5;3368;4282855;4291900;21459906;416;0;3680;3680;22082;9;0;0;0;0;0;0;0;0;32382;32382;161914;15;842616;826367;4958537;137;193846;193062;64;7;7;1;226369;225489;121;107198;106582;51;0;0;0;0;0;0;0;0;0;0;0;0;4714814;4722405;372;3052296;3062981;370;107358;107443;5;25316;25316;4;582335;581919;57;32382;32382;15;844824;842059;113;89063;89063;22;0;0;0;0;0;0;1088593;1088593;25;1720283;1710225;443;0;0;0;1908686;1908791;46;6593;6593;3;19909950;152;783592;156717;63206;12642;16311;127764;6498;1300;740;148;740;412;3;2;4189119;837824;253801;50761;6622;780441;0;0;0;0;4972711;994541;317007;63403;22933;908205;21359535;4271907;1000;200;0;4271707;2516;0;0;0;2516;0;21359535;0;0;0;0;19909950;1088592
   Удмуртская Республика;251795552;254233897;29423;13711671;13693815;136936964;2985;19757;19757;216999;5;-1599168;179511009;180406844;902016474;28541;39455;875803;876950;5324747;445;1310;1531;8485;2;0;0;0;0;391218;391215;1956073;280;51468539;51502529;314489404;14615;6375237;6376939;6214;32696;32696;34;7374672;7339718;8912;271550;269254;1146;477;477;1;3683;3686;62;7294;2524;35;0;0;0;199140541;201752141;28715;142104138;144770253;28539;3549366;3549366;608;471822;471465;288;7776812;7754511;5992;386907;386087;266;44720852;44705438;13758;113088;113078;212;0;0;0;5;5;3;5564911;5569863;179;52336207;52156197;29491;0;0;0;4867101;4869545;442;2336558;2289384;93;172177457;9313;32097987;6419599;4894411;978882;660630;4780087;73323;14665;23746;4749;0;9916;10;4;90943693;18188737;62341851;12468370;2791;5717576;0;0;0;0;123041680;24608336;67236262;13447252;663421;10497663;5367309;1073463;93414;18683;6730;1048050;10854;51690;10338;0;516;116733;5484042;5431;0;6;6;172177457;5566487
   Республика Хакасия;53794361;53682983;3667;1506469;1492730;14927305;560;2049;2060;22655;11;6955;45749510;45655593;228278591;3500;9;184633;184633;1107799;86;0;0;0;0;0;0;0;0;143948;143948;719736;62;4715781;4718504;28548126;1548;1365511;1366199;672;3635;3635;7;1484960;1483584;1050;32199;32146;518;0;0;0;3841;4563;21;2064;1996;4;0;0;0;45568979;45507512;3409;37517098;37453916;3383;1727160;1725517;60;447545;450724;36;1341536;1342035;640;143843;143843;61;4372038;4371935;1430;19758;19544;45;0;0;0;676;637;4;2852819;2852804;68;9011525;8969704;4021;0;0;0;3590584;3598880;96;542599;542622;28;50651744;1262;5841996;1168400;1664826;332966;117069;718365;2828;566;733;147;0;419;6;2;1908691;381738;3454;691;157;380890;0;0;0;0;7750687;1550138;1668280;333657;117226;1099255;2855644;571129;67781;13556;639;556934;406;0;0;0;406;1392;2857036;0;0;0;0;50651744;2842731
   Чеченская Республика;57350798;52199698;4031;2212063;2202892;22028923;407;59543;59543;654974;7;491344;49969657;45538031;227692819;3807;-8358;380705;397082;2382494;78;0;0;35335;0;0;0;0;0;28284;27973;139866;11;3119465;2916136;17264452;628;869084;857696;386;0;0;0;1098236;1051021;530;17833;17833;50;0;0;0;0;0;0;0;0;0;0;0;0;54763943;50170973;3861;50707279;46137839;3834;359750;348197;64;141905;141905;17;862341;862381;424;28088;27777;10;2662262;2650749;496;8115;8115;19;0;0;0;0;0;0;20139;20139;5;3741518;3219223;3906;0;0;0;966718;970095;23;253;253;3;1310624;1507;6650989;1330198;4369405;873879;393715;62604;430604;86121;1165461;233092;103511;-250482;23;8;390874;78175;3850;770;0;77405;0;0;0;0;7041863;1408373;4373255;874649;393715;140009;508395;101680;49000;9800;4100;87780;59574;36600;7320;4100;48154;0;508395;270854;17404;5;2;1310624;20139
   Чувашская Республика;125470672;125467224;13976;5305182;5302656;53026556;1482;3401;3401;37415;8;-9454;88052421;88038930;440194697;13435;-10435;812052;781532;4689190;235;0;0;0;0;0;0;0;0;157015;156968;784838;162;27641347;27646083;168377516;8210;2887280;2883219;3120;24816;24816;33;3519142;3506903;4613;111123;109581;1313;0;0;0;4785;4845;38;5226;2479;18;0;0;0;106650191;106794658;13435;75599512;75761082;13359;2998420;2997297;444;221779;223840;222;3529230;3518435;2890;156819;156772;159;24079578;24072388;7825;64852;64845;185;0;0;0;0;0;0;30508;35705;50;21850055;21692624;14595;0;0;0;2913586;2913638;223;71721;70582;21;16248023;4510;18278767;3655756;2323342;464665;128311;3062780;4113;823;116;23;0;800;2;2;8963388;1792677;2698903;539781;4575;1248321;0;0;0;0;27242155;5448433;5022245;1004446;132886;4311101;3111716;622342;287258;57453;10261;554628;0;0;0;0;0;170202;3281918;0;0;0;0;16248023;33213
   Алтайский край;307663464;298444132;35696;44896770;44906702;449066149;7374;29849;29848;325531;57;2473105;203441135;196693454;984675350;33193;45516;1666625;1665437;9993476;507;210;210;2195;4;0;0;4;0;332575;326066;1630332;324;45166410;45223819;299066754;15213;8077304;8054942;6443;1042283;1042292;62;9611166;9571410;10234;203621;203755;1801;5;5;1;544;545;31;20117;19425;36;0;0;1;273936150;265126564;34595;214708995;205759168;34395;4116621;4117996;963;4573527;4574699;548;9136624;9197924;6059;328387;321867;311;40933346;41017300;14180;159098;159011;249;532;532;4;1115;789;2;2214614;2213726;408;39692399;39349750;35732;0;0;0;8081362;7930977;1280;792227;792189;76;76679726;11864;35660712;7132142;9582576;1916515;761684;4453943;38;8;0;0;1;7;11;4;10026526;2005307;6796828;1359366;1717;644224;0;0;0;0;45687238;9137449;16379404;3275881;763401;5098167;8574743;1714949;280949;56190;7569;1651190;1622;0;0;0;1622;545138;9119881;0;0;0;0;76679726;2191771
