GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31
Республика Адыгея;10529167;10504686;1430;32643;32649;163;677;25;1;9085833;9083230;1311;2846;3010;1;28712;28548;26;1569600;1545760;1496;1194494;2923832;526290;256793;46222;18304;461764;718927;21333;1189622;28520
Республика Башкортостан;352017007;352115381;30867;1030915;1007751;5266;32792;12194;23;307634463;308974244;29279;30299;13777;5;23205196;23205896;413;39573926;38870053;34476;303838007;97409110;17533638;46496478;8369368;1027806;8136464;64515850;926004;303840241;22960507
Республика Бурятия;23499302;23466890;2317;9779;9890;384;684;198;1;20108809;20028543;2102;233;0;0;1873031;1878876;157;4076543;4112536;2528;27655186;9874710;1777448;1775080;319515;178284;1279649;780327;5725;27655184;1859751
Республика Алтай;11926066;11794570;1058;1412;2131;44;0;0;0;10732536;10657151;980;0;0;0;171602;172038;19;1266715;1209511;1045;2486560;5707697;1027384;528772;95179;23970;908235;170002;0;2486560;172038
Республика Дагестан;18270121;18142005;2795;14555;14833;72;521;239;2;15749834;15825453;2575;0;0;0;60517;60122;20;2899362;2713987;2752;1876056;6539498;1177115;1374175;247350;56047;873718;827350;478;1876056;58984
Республика Ингушетия;3895684;3381449;579;3642;4899;2;0;0;0;3666183;3178323;532;0;0;0;0;0;0;319907;284766;561;20337;345134;62124;285790;51443;0;10681;0;0;20337;0
Кабардино-Балкарская Республика;14420051;13859389;1614;91383;91314;84;4128;4128;6;13464369;13024850;1488;43;43;1;2791;5029;6;1167909;1074897;1627;761182;2746620;494391;360288;64851;41565;387975;83214;46388;761181;4964
Республика Калмыкия;3482114;3323049;500;585;515;78;0;0;0;2776479;2619827;411;0;0;0;818;818;2;835550;833470;551;28695;344295;61974;244231;43962;2602;15410;12695;0;28695;818
Карачаево-Черкесская Республика;16644054;16493553;1152;1487;1610;41;1258;763;3;15526278;15446697;1058;146;146;2;53436;48518;19;1141631;1074853;1154;774269;2245808;404247;948140;170665;8714;224868;95426;0;774271;48518
Республика Карелия;23172428;23018098;3740;63227;62343;1165;4511;58;1;19594725;19380454;3457;177;0;0;2071971;2071790;180;3860657;3874419;4551;33147869;6252959;1125534;1240099;223215;106999;795320;1021403;486574;33147868;2069549
Республика Коми;72391102;72322987;3077;199577;199051;2111;13298;0;0;57428074;57356638;2813;92;0;0;11527996;11484871;98;11813665;11805942;4957;187316244;24481402;4406652;1935800;348445;115686;3942521;2176737;15875;187316245;11441501
Республика Марий-Эл;38527023;36675223;3828;19979;20086;436;1462;8;1;34975470;33138978;3546;224;0;0;392290;391710;56;3791328;3773332;4128;5175893;8570312;1542652;3573712;643270;123647;775735;1496420;218456;5165928;392458
Республика Мордовия;35986731;36085383;4281;24873;23949;513;63;35;2;32206447;32342675;3928;0;0;0;167172;181877;46;4581033;4518302;4543;4886020;19504038;3510728;8421948;1515954;148563;1846211;677675;10929;5767988;181868
Республика Саха (Якутия);45650183;45486304;2652;123829;122122;615;3000;0;0;38660303;38670811;2388;0;0;0;8465660;8470566;89;10114816;9959938;3003;186203646;43385694;7809427;13243765;2383877;307561;5117989;8650830;622621;186203647;8481126
Республика Северная Осетия-Алания;8669728;8596928;1207;4275;3353;115;769;0;0;7591461;7579922;1100;-191;0;0;51110;49532;38;1184609;1129834;1288;985475;1895871;341258;293839;52893;80886;207479;43371;3169;975487;53962
Республика Татарстан;576198260;574120605;47814;1370508;1329253;1258;62369;20649;51;508868945;507528146;46066;33422;11284;9;28851402;28566885;425;63211387;62597133;47172;399290556;294835625;53070412;114424187;20596357;931292;31542763;11446051;1562130;399290339;28434804
Республика Тыва;2841241;2842589;240;16765;16808;34;0;0;0;2100003;2115174;199;0;0;0;414316;414316;9;586005;559664;249;5790351;519093;93436;51374;9247;8871;75318;0;0;5336674;414317
