"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G74","G75","G76","G77","G78","G79","G80","G81","G82","G83","G84","G85","G86","G87","G88","G89"
"1","Республика Адыгея","210389","191440","18240","709","638228","330053","1719","180371","0","52642","0","4926","1658","4856","0","4856","31994","51854","4682","110","0","110","6312","13","21451","23541","23259","0","0","0","0","0","5059","0","0","0","4762","16353","36182","735","67","0","60","22778","814287","759441","44551","10295","61439","30162","2229","29048","224349","647088","399389","95073","215016","179671","226","721","126860","0","2180","16062","17103","61505","15332","74998","14665","19687","28415","12369","0","16046","68706","144038","180106","266","447824","771612","627633","139672","32848","27382","5344","5242","0","4330","0"
"2","Республика Башкортостан","1449529","1360436","83609","5484","12405297","799215","159522","201178","86197","173571","4472","92599","151303","6969","23","3367","143403","90023","21340","851198","0","851198","1807963","275842","382706","730219","966235","2077","0","0","3419","314199","15703","10513","2752","1212","327722","427831","1208681","572366","2671226","19894","2577026","700413","2452747","1414798","426996","610953","572050","326563","35586","209901","3994440","5747707","2828040","2419770","5174212","4141592","54494","3308","1329325","41805","8757","815902","166156","796840","60153","1505750","102636","408440","173326","113355","7911","52060","783992","2697008","1106218","2236","3508492","6164796","6193932","1070477","344618","252928","23927","104295","30","23533","0"
"3","Республика Бурятия","280442","104916","160140","15386","1877435","183845","66501","12069","0","6197","0","1998","4113","163","0","154","13431","98139","9144","0","0","0","6695","5231","12801","88212","26874","0","0","0","0","1377","0","0","0","0","86806","898","5208","186","1277148","137","765455","50346","695235","522330","0","172904","119166","67991","5685","45490","282600","1099710","242466","718200","488934","298266","3009","349","0","756","41270","104581","44061","222270","46761","118407","12843","48820","38729","20159","6770","11800","124494","436521","306430","1797","1348681","2250412","1839403","384148","118314","67016","5459","30135","0","1300","0"
"4","Республика Алтай","93343","69793","22816","734","125980","25966","4181","10908","0","1057","0","28","11098","0","0","0","2417","0","1004","1410","0","1410","1983","53","161","16611","22700","0","0","0","0","0","2806","0","0","0","0","102","118","21649","12","12","0","19611","59293","15706","11878","31709","29168","18040","389","10739","242478","172040","71065","91317","152235","34455","4367","37","0","812","20256","83102","13610","294491","245381","45675","6073","20437","4361","4342","0","19","33811","104485","41470","71","614018","717764","487949","268041","187301","11920","660","3249","0","1162","0"
"5","Республика Дагестан","293861","246446","21305","26110","757671","32005","12039","1784","61","203924","0","3834","664","8510","0","8310","2708","1837","1791","22701","0","22701","876","3150","10547","121665","85012","0","0","0","72","20","0","0","61","61","17954","10449","32561","136","141400","165","137574","55947","580927","327844","22179","230904","32973","13723","8512","10738","648215","500454","218371","261446","569729","304548","554","8018","196928","13974","1009","182013","68185","150263","17745","204408","39512","42338","28345","24590","526","3229","87891","390645","192798","287","1737335","4172690","2747000","390742","141431","94704","3640","56566","29","4226","0"
"6","Республика Ингушетия","68610","63909","4701","0","23455","3796","1952","0","0","842","0","10","850","0","0","0","2612","0","233","0","0","0","698","0","139","1965","11144","0","0","0","0","0","6659","0","1243","0","0","20","275","1","0","0","0","870","54093","34754","18757","582","24520","21297","290","2933","27985","49619","25489","20300","34145","14649","4","-693","0","22","4","8453","11017","8235","3295","39530","2655","8935","1219","1189","0","30","3126","27820","39220","0","319284","663717","409802","112890","52209","8490","232","2194","0","1916","0"
"7","Кабардино-Балкарская Республика","231155","217191","6172","7792","369536","78026","1418","41382","45","52851","1880","2490","81725","889","23","804","1242","9086","784","13","0","13","14872","345","4499","32994","30061","6","0","6","353","0","5702","0","0","0","7820","15750","9190","4798","0","0","0","20221","326696","178378","93998","54320","43780","39404","1068","3308","126199","219842","115804","97566","108148","50735","202","1233","0","0","5","27302","30106","69326","16595","88465","25052","7429","9943","8482","0","1461","28606","160123","106404","160","725653","1186871","941262","141842","52296","27340","1073","5362","50","1750","0"
"8","Республика Калмыкия","222944","212146","9249","1549","139554","29996","7749","79","0","11058","0","4135","30231","2406","0","2132","3532","681","4689","658","0","658","5285","38","3791","10159","4782","0","0","0","0","0","0","0","0","0","10772","172","3332","55","8","0","0","13774","120520","82212","23811","14497","46555","30167","8904","7484","96030","579622","83480","473787","131354","49258","20","5203","10983","2977","3070","58383","17666","140880","16525","56752","7174","10781","14175","10764","0","3411","48314","136506","243636","3118","438600","540332","367304","75434","29128","17766","2737","7407","0","964","0"
"9","Карачаево-Черкесская Республика","155831","150716","4831","284","399808","60470","22487","24156","966","96782","0","22506","23886","742","20","722","2590","313","1262","0","0","0","1064","5145","32863","127592","920","0","0","0","0","0","0","0","0","0","2233","11853","3843","230","0","0","0","5514","198720","123223","43885","31611","26170","20323","0","5847","81815","109417","54996","49638","54232","22871","130","161","1740","0","0","15985","15376","55259","27907","32437","7624","7109","8497","4860","0","3637","15958","109232","48334","18","491983","731594","421859","67147","12499","11815","783","2019","0","3304","0"
"10","Республика Карелия","485602","82335","225550","177717","1519501","126899","3071","32982","0","12976","0","2046","10890","537","0","505","199684","581190","3746","0","0","0","6277","32","7177","126747","236007","0","0","0","0","11048","7868","0","44058","0","9057","4217","27091","5434","59453","54726","0","100041","495817","351418","33559","110840","115944","72937","3093","39914","359882","515024","140079","249313","477874","202526","1377","726","0","21893","297","212890","40268","218092","55430","145399","7836","39204","15820","9093","4370","2357","223449","330223","136541","426","1234964","1279202","1247971","226565","39032","49236","5157","20790","0","3270","0"
"11","Республика Коми","263832","113047","149623","1162","1956277","238376","143813","23048","0","66617","0","47213","3038","1829","0","1829","454421","555158","8174","91604","0","91604","1511","0","41304","35406","18155","3259","0","0","0","0","0","0","0","0","40","7836","11898","264","128","0","78","373305","1008058","444546","80542","482970","261869","195140","310","66419","513088","547287","179642","282418","2428499","2062289","13446","1828","1485161","22032","132412","153679","58087","268700","15339","165794","10962","40716","30651","28398","655","1598","268516","618488","495804","1337","1908083","1878599","2084180","328961","76684","83418","18647","22902","0","3703","0"
