"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29"
"Кировская область","6661","6018","303","87","0","0","212","20","161196680","15015669","252322588","34311201","240472635","33288056","12366470","25956","207431719","197186086","10245633","3482606","3357679","123751","1116055","45044","0","0","1071011","4096","0","0"
"Костромская область","3696","3090","95","42","0","0","52","0","69469033","8423436","111715213","20558589","108426247","20800023","17586028","196080","100629647","79627820","21001827","1866826","1395243","278715","402621","14237","0","0","388384","11199","0","0"
"Курганская область","3556","2996","387","47","0","0","435","0","103921995","1959134","149711178","7391984","145629586","7299428","4441816","10340","142952788","137112602","5840186","2634088","2527812","72730","113340","10389","0","0","102951","32317","0","0"
"Курская область","4450","4351","99","92","0","0","7","0","197914587","17874152","317366870","23243589","303993362","20128491","2855","0","283448317","283445462","2855","5134649","5134592","57","357915","123442","0","0","234473","0","0","0"
"Ленинградская область","8905","5386","3082","50","0","0","3015","0","1129643916","158285808","1565136862","296050546","1409768488","314570743","12289929","698811","1105239241","1092740887","12498354","20927269","20507476","230850","6291172","156847","0","0","6134325","12095","0","0"
"Липецкая область","5272","3064","2099","123","0","0","1939","0","238374312","54581720","424983213","182723017","410843383","172115707","12704768","82692","251341843","238574569","12767274","5378294","4947857","244815","3613945","673101","0","0","2940844","1856","0","0"
"Магаданская область","1133","1103","30","21","0","0","21","0","117964810","15546517","174044482","17357421","161299795","17463782","2812892","0","146466228","143651676","2814552","2727778","2650944","55937","476957","179648","0","0","297309","0","0","0"
"Московская область","41584","26645","2584","339","1","0","250","16411","1831998395","236887268","3252855616","663063564","3012896158","610765040","413291782","1879490","2767477158","2352872527","414604631","46953035","38824915","6066365","6593884","1287889","5","0","5305990","17647","0","0"
"Мурманская область","2914","2586","277","48","0","0","233","1","269247335","122993869","374810323","142190671","365130629","126307008","8106273","40463","243982220","235806000","8176220","4634820","4434261","111890","2826413","2075773","0","0","750640","50545","0","0"
"Нижегородская область","19873","15818","3257","262","0","0","2852","0","553895584","130214924","1001715614","233535374","970201951","208803103","70342403","3577136","775598956","707672932","67926024","14903816","12793648","1248802","5269797","452038","0","0","4817759","84459","0","0"
"Новгородская область","3713","3076","61","58","0","0","1","12","186169993","10226550","282546913","10386592","250988743","9588129","8567298","26170","244433495","234167867","10265628","3993971","3793083","173129","208878","208676","0","0","202","524","0","2129"
"Новосибирская область","13502","13139","148","93","0","0","45","0","466897370","49495978","770869442","51402247","729274984","54470017","80806549","1302878","744844051","664417249","80426802","14418557","12945732","1568896","1110279","660012","0","0","450267","26058","0","554"
"Омская область","6229","6184","45","36","0","0","9","299","227767154","2214153","354121726","4100950","341619013","4100382","32613469","196828","346345728","317015582","29330146","5329277","5237497","91780","79810","16044","0","0","63766","2806","0","0"
"Оренбургская область","6862","6073","201","52","0","0","171","1","499416248","26226703","694210589","32747522","643406195","39045882","97202","0","601891145","601790209","100936","11719615","11537801","1999","1004527","34940","0","0","969587","0","0","0"
"Орловская область","3535","1235","1955","53","0","0","1910","0","106452006","21013319","162810255","64019963","158687824","59914363","3057","0","98621448","98618391","3057","1926010","1909107","61","1054555","72217","0","0","982338","0","0","0"
"Пензенская область","5240","3280","1729","116","0","0","1812","0","165249194","10503715","237980369","21195673","226284970","10869484","13954349","0","228975987","215285950","13690037","3744171","3395104","271361","1423433","230210","0","0","1193223","46","0","0"
"Пермский край","14404","12944","807","236","0","0","471","87","670951822","73696947","984722180","94287297","946684455","79194786","49880335","223309","921079275","868610124","52469151","14355104","13735801","732880","1545406","268306","0","0","1277100","9926","0","0"
"Псковская область","2954","2596","287","100","0","0","153","0","95117058","8810627","127017376","9413404","125033337","9512124","7269419","8447","122328906","115488642","6840264","1699679","1548470","136391","782826","159436","0","0","623390","1321","0","0"
"Ростовская область","16469","15223","384","180","0","0","199","0","755172409","88918215","1296669546","159709405","1190034488","127426526","12701","0","1045891018","1045860487","30531","19191745","19089220","610","3087659","136952","0","0","2950707","0","0","0"
"Рязанская область","6939","5257","1184","180","0","0","987","3","216580382","45294725","488006314","70869405","343470758","60657061","36051971","530211","321429004","284511363","36917641","5582040","4959672","549608","1135950","305190","0","0","830760","8125","0","0"
"Самарская область","15503","14430","705","130","0","0","161","0","598145522","84442051","1054595199","146799050","1032238569","141987262","126215730","931148","1007388784","879927538","127461246","18524132","16616957","1855233","2824335","405319","0","0","2419016","14237","0","0"
"Саратовская область","8044","7845","175","124","0","0","49","2","363659833","17082698","637639633","20822822","608257439","21280926","18447029","787067","603625837","586815527","16810310","10267440","9948129","319317","1557221","406589","0","0","1150632","0","0","0"
"Сахалинская область","2806","2568","58","15","0","1","45","8","1030803168","687935891","1129604547","704301890","1075449285","660978256","5450845","0","417483629","412027846","5455783","7423344","6564379","71033","14377205","36211","0","14161035","179959","0","0","0"
"Свердловская область","22660","17894","2998","171","1","0","2618","0","980909897","82540425","1810610154","350110299","1772348534","309551203","52495499","980337","1517420581","1454398358","63022223","29814630","28054280","1092676","11436065","280568","0","0","11155497","14822","0","22309"
"Смоленская область","4630","4506","124","83","0","0","41","0","164192698","10198528","274203392","11260606","267141877","11011176","9597","0","256132659","256123062","9597","4595876","4386514","192","573639","221795","0","0","351844","0","0","0"
"Тамбовская область","3997","3032","100","42","0","0","32","0","146454477","22375699","213323292","30216514","212256204","33439082","18789329","69317","188596844","170208212","18388632","3550645","3117521","213091","715272","174270","0","0","541002","21","0","0"
"Тверская область","6483","5198","619","87","0","0","529","0","329696064","54378034","482466206","66148741","474329509","60203089","5838560","0","410640115","404827422","5812693","8007227","7825306","55471","1274062","523765","0","0","750297","0","0","0"
"Томская область","4307","3364","167","64","0","0","108","0","276350413","23049730","402715978","37812418","395294629","37351180","6355354","1469","376227274","371510181","4717093","7371710","6962695","92180","869251","33327","0","0","835924","2236","0","0"
"Тульская область","8146","7250","315","109","0","0","199","7","251673366","14743904","439105319","17794791","385088312","13090178","30600712","172841","398826012","369270921","29555091","6900192","5595895","560837","1163851","253335","0","0","910516","3456","0","0"
"Тюменская область","5965","1853","4069","80","0","0","3969","21","735536869","191819287","1000062547","274097076","953357618","326233698","21331630","518614","721618752","703748126","17870626","11680281","11295039","382744","8204521","301727","0","0","7902794","10750","0","0"
"Ульяновская область","6407","3994","1228","75","0","0","1145","30","174004931","16650917","277723243","30011907","259046534","27273158","23975520","396051","259790214","231027077","28763137","3943308","3326253","402766","1371939","224698","0","0","1147241","16685","0","0"
"Челябинская область","13041","11601","1440","143","0","0","1297","54","634458032","34467002","1055671217","105772112","987396429","53480369","46004260","0","974001534","928166918","45834616","16492240","15848630","643610","1085406","250781","0","0","834625","32415","0","0"
"Забайкальский край","3585","3085","500","46","0","0","454","0","236758381","21376850","460808788","22321283","433455839","22111954","11191913","1078571","421243653","411000273","10243380","6305051","6104432","198318","512159","489970","0","0","22189","21679","0","0"
"Ярославская область","6857","4118","2739","48","0","0","2754","19","321267841","47426928","518879003","120972919","498739334","106663229","8684184","364","388430081","378866204","9563877","6657108","6507977","120891","1699881","395275","0","0","1304606","1","0","370"
"город Москва","110806","44632","50087","702","39","3","47115","0","4329669379","1733510955","8395832695","4930323859","7902830519","4682619839","4734822366","218033485","8926660802","3205104618","5721556184","152103662","67924061","75968020","105502881","3586577","6320","0","101909984","7623304","0","0"
"город Санкт-Петербург","38880","29698","5452","148","4","0","5564","0","1875803642","900390955","3640815408","1541193949","3431809298","1432384256","555447034","5072904","2570135802","2007670129","562465673","41566165","35222620","4817464","30503738","7802470","10957","0","22690311","48502","0","0"
"Еврейская автономная область","704","532","143","20","0","0","113","8","99898434","10843816","105525799","11213413","104971423","11398074","1511507","1778","92499017","90989289","1509728","1507953","1489270","17912","428268","201290","0","0","226978","27","0","0"
"Ненецкий АО","410","345","15","1","0","0","14","0","261404400","1092718","273545748","1302971","275008306","1344566","0","0","273340299","273340299","0","5910844","5910844","0","28526","1541","0","0","26985","0","0","0"
"Ханты-Мансийский АО - Югра","8091","7221","662","50","1","0","594","0","2981729807","149244141","3602455653","165453782","3500156329","152558815","60952666","1302542","3368216894","3302541333","65675561","69122808","66512485","1273590","4284034","246617","0","0","4037417","5196","0","0"
"Чукотский АО","428","319","109","11","0","0","98","8","49648164","1087319","65610991","2109704","66152997","1931392","0","0","64285068","64285068","0","1263033","1309575","0","41011","4616","0","0","36395","0","0","0"
"Ямало-Hенецкий АО","2711","1975","497","18","0","0","575","0","4984829074","1668346886","5811209688","1915961009","4968202100","1279038625","1230743","0","3678838469","3677607726","1230743","75038810","74277909","24584","30538067","10403","0","0","30527664","0","0","0"
"Республика Крым","6069","5043","819","618","0","0","207","0","269112649","91135018","369934334","115471931","326435194","99692645","0","0","226591030","226591030","0","2252205","2251857","0","997515","856011","0","0","141504","0","0","0"
"город Севастополь","1332","1119","188","187","0","0","1","0","20234031","5278375","74028121","7896685","54103038","7198151","0","0","28319923","28319923","0","283181","283181","0","71892","70281","0","0","1611","0","0","0"
