GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156;G157;G158;G159;G160;G161;G162;G163;G164;G165;G166;G167;G168;G169;G170;G171;G172;G173;G174;G175;G176
Волгоградская область;1585053;14596186;0;8512441;0;1088;9245;142442;0;2654;0;3319;30265081;546394;554215;0;14226098;0;0;0;0;39000212;19346760;241991;0;10923584;152692;1121;1555759;4987;4268;0;0;0;0;0;2127023;0;0;0;0;0;1318931;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;880819;0;0;0;44490;56938;7588493;788724;302544;2203568;10391;0;1493984;0;0;1;22845;119295;0;396751;0;0;0;511699;197810;21646544;330784;443848;21146;109272;0;0;0;0;0;0;0;17309;315;0;764;0;2;0;0;1;4721;0;0;0;0;-6;0;0;0;0;0;0;179;15;0;0;-930;0;0;444;9;0;0;0;14;102;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;0;27125;0;254009;36845;0;2320;2955;1450;5086;510;0;0;0;-391;63;272;1231;31;0;-1996;0;0;0;5;-1
Вологодская область;2405185;10464055;3951992;13575373;0;11556;218000;114612;0;20519;0;47222;20051999;518821;122864;0;2583601;0;0;0;0;0;30324;0;0;0;0;0;42640;8559703;0;0;0;0;-51582;0;-14442;0;0;0;0;0;1429898;0;0;0;0;0;0;0;0;0;129;3;0;0;0;0;0;0;0;640015;7;0;0;90130;110108;7163550;5393525;245335;1292890;3127;0;858587;0;0;0;119176;37557;0;103695;0;0;0;123273;26530;0;0;0;34014;18138;0;0;0;0;0;0;0;6987;7449;0;348;0;-26;0;0;-13;0;0;0;0;0;0;0;0;0;0;0;0;-102;-41;0;0;-47;0;0;-27;0;0;0;0;-3;-98;-2;0;0;-3;0;0;0;0;0;-2;0;-3;0;-6;0;0;0;0;0;355;0;383133;6978;2;1653;0;347;-507;372;-39;0;0;366;310;-1540;24928;0;0;35;0;0;0;0;0
Воронежская область;1776825;17854915;0;6562661;0;82546;66556;105779;39;17547;0;0;32600688;434707;309868;0;25997435;16689;0;0;25;0;0;0;0;0;0;0;2073640;144023;3697;0;0;0;0;0;0;0;0;0;0;0;1721572;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;419714;0;0;0;112969;97936;12530528;616767;377678;2681232;9879;0;1276707;0;0;0;576222;577662;0;296541;0;0;0;663931;238325;0;0;0;143465;20716;0;0;0;0;0;0;0;79811;681;0;0;0;2;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;1;145;0;0;6;0;0;11;0;0;0;0;1;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;431;0;34303;140216;16;1024;3091;62;2652;714;0;0;0;-115;9701;5333;1810;0;0;17;0;0;0;0;6
Ивановская область;414294;4176998;0;440665;0;12519;22722;8867;0;2753;0;0;10162026;149514;104460;0;6552217;1362;0;0;0;0;0;498;0;0;469;0;1149371;372215;0;0;0;0;0;0;0;0;0;0;0;0;455153;0;0;0;0;0;0;0;0;0;4349;0;0;0;0;0;0;0;0;169947;0;0;0;15346;25720;1689117;375937;82134;715119;1995;0;642097;0;0;0;72840;61651;0;138242;0;0;0;69014;29605;0;0;0;9023;36;0;0;0;0;0;0;0;13596;582;0;14;0;-89;0;0;-40;0;0;0;0;0;646;0;0;0;0;1;0;213;1924;0;0;-313;0;966;0;0;0;0;0;30;-703;-4;-50;0;-260;0;0;0;0;0;-25;0;21;0;-18;0;0;7;0;0;50;0;20835;29943;2;462;0;0;838;232;0;0;0;44;25;-180;51386;0;0;-3;0;0;0;0;0
Иркутская область;8443933;60104281;0;3372408;0;7685;58027;2269217;304;3201;0;1235;49223138;427930;653871;19595;81791988;0;1069;0;0;0;6041591;-327061;0;9333471;164985;0;2182440;0;0;0;0;0;-90613;0;743511;0;0;0;0;0;418104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1076357;0;0;699;80859;176451;16817096;320545;539248;2134884;1818;0;1796999;0;0;35029;219529;259404;0;355929;0;0;30;210936;116631;170078739;3590;56763;123020;2601224;0;0;408665;0;0;0;0;73809;29229;0;144;0;1;0;0;-8;0;0;0;0;0;0;0;0;0;0;-2;0;-22;-15;0;0;-51;0;0;-61;-16;0;0;0;0;-85;-1;0;0;-3;0;0;0;0;0;-5;0;-2;0;4;0;0;-6;0;0;328576;0;1715;97922;3;4920;15753;0;4091;1438;0;0;0;45;3157;1326;1312;5;0;0;0;0;0;0;-8
Калининградская область;1002512;8063627;0;1006463;0;34423;150498;361521;635;57998;0;35101;17553400;178567;416549;0;72230451;147385;0;0;0;11335952;-16;2307;7729933;0;0;50278;57479;3264785;665;0;0;0;-4109;0;-117029;0;0;0;0;0;1872926;11128;0;0;0;0;0;0;0;27;22688;316;0;0;0;0;0;16;0;380096;0;0;0;1097;17796;4431031;416316;281993;1190372;67728;0;658360;0;0;0;2823;36345;0;326878;0;0;0;2711;12133;3103808;0;0;70822;272536;3088362;0;0;0;0;0;0;20280;832;7653;41;0;-22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-182;-108;0;0;20;0;0;-1;5;0;0;0;-9;-150;1;1;0;3;0;0;0;0;0;-3;0;0;0;13;0;0;0;0;0;2726;654;14722965;19903;9;1158;0;0;2993;1886;0;0;0;-32;421;-220;1298;0;0;3;0;0;0;0;0
Калужская область;2484296;16336895;0;444799;0;258981;44810;166809;0;11646;0;7186;19799421;113647;341754;0;29533598;0;0;0;0;7624844;0;0;3122137;0;70970;0;6760639;321343;0;0;0;0;0;0;0;0;0;0;0;0;1075594;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;73303;0;0;0;41456;46424;5427852;249150;119928;980869;3092;0;396976;0;0;0;289207;199463;0;109684;0;0;0;387066;151526;0;0;0;143141;29134;0;0;0;0;0;0;0;27344;1123;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;-13;0;-119;-48;0;0;-41;0;0;770;6;0;0;0;29;0;111;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;-16;0;0;231;0;16994338;10914;4;844;0;15;3409;334;0;0;0;86;9;557;3501;678;0;150;0;0;0;0;-5
Камчатский край;334982;2658299;0;221912;0;42250;21689;0;408;5356;0;0;17478705;124136;534271;0;1183713;0;0;0;0;0;0;0;0;0;0;0;227601;0;0;0;0;0;-13056;0;-122257;0;0;0;0;0;5029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59654;0;0;399;5409;8792;1489748;661472;110170;796431;504;0;199474;0;0;2654;35901;24201;0;37868;0;0;4812;11001;11648;0;59607;9916;18404;412138;0;0;413;0;0;0;0;16315;6687;717137;29482;0;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;119;0;0;-1;0;2;1;0;0;0;0;14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;72;0;0;0;0;0;3781;5;-105;5363;0;-2;0;0;698;714;0;0;0;40;160;0;472;15;0;0;0;0;0;0;0
Кемеровская область;10200034;67322368;0;1063347;0;44549;521702;404953;22;19769;0;11569;46673711;285547;1111979;0;9124487;126470;-2983;0;31;0;2806;63852;0;0;0;0;446944;2934691;27;0;0;-925261;-362;0;1238140;0;0;0;0;0;594114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;449274;0;0;0;39669;23562;12440483;95538;487120;1750500;6205;0;2503721;0;0;0;487152;249892;0;259342;0;0;0;134603;38781;0;0;0;71522;1044413;0;0;11002504;0;0;0;0;36178;2925;0;22;0;-14;0;0;1;0;0;0;0;0;0;0;0;0;0;-5;0;7;-6;0;0;-6;0;0;13;0;0;0;0;-10;13;-3;0;0;0;0;0;0;0;0;-3;0;0;0;-3;0;0;1;0;0;5949;0;174;31139;-1;3200;196;25;2363;109;0;0;0;129;500;338;18240;3481;0;250;0;0;0;0;0
Кировская область;636331;6705202;0;399304;0;20739;5965;17327;0;37406;0;28050;15893115;276521;139860;0;11010765;8490;360111;4531;17307;0;0;0;0;0;0;0;615818;1180178;685;0;0;0;-988;0;0;0;0;0;0;0;106874;0;0;0;0;0;0;0;0;2877;0;0;0;0;0;0;0;0;0;331252;0;0;0;29503;53899;2993832;357096;188731;1121923;3592;0;149236;0;0;0;40907;48676;0;69540;0;0;0;66168;32271;73522;0;0;45640;248;0;0;0;0;0;0;0;11737;5306;0;22;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;-5;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1038;0;37678;22151;0;681;0;73;276;378;13;0;0;-20;1260;429;1382;0;0;370;0;0;4;0;0
Костромская область;442600;3828760;0;736175;0;22498;92397;28518;47;850960;10054;645781;8272460;131662;88284;0;7332665;0;0;0;0;0;0;0;0;0;0;0;11319;135268;0;0;0;0;-5474;0;0;0;0;0;0;0;335333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;206055;0;0;0;31659;30786;1612288;26165;106248;625917;1660;0;313132;0;0;0;112105;23572;0;129702;0;0;0;53564;22771;0;0;0;12228;70;0;0;0;0;0;0;0;13050;4012;0;52;0;-1;0;0;26;0;0;0;0;0;-62;0;0;0;0;-59;0;19;14;0;0;-1;0;0;194;0;0;0;0;48;126;0;0;0;0;0;0;0;0;0;0;0;-9;0;0;0;0;13;0;0;-479;0;0;14412;42;687;0;225;217;454;0;0;0;-40;170;13;357;0;0;0;0;0;0;0;0
Курганская область;274219;3145190;0;900625;0;743;5658;4314;0;0;0;0;9449892;152389;74522;0;6274477;0;0;0;0;0;0;0;0;0;0;0;371007;-32307;0;0;0;0;0;0;0;0;0;0;0;0;252978;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;212851;0;0;0;38098;35978;2304381;117000;102354;710485;1073;0;259377;0;0;0;47634;46572;0;45128;0;0;0;173912;20151;0;0;0;12768;78310;0;0;0;0;0;0;0;6080;1154;0;1081;0;-1;0;0;3;0;0;1;0;0;3;0;0;0;0;0;0;-2;-3;0;0;-4;0;0;487;2;0;0;0;2;56;0;0;0;0;0;0;0;0;0;-4;0;6;0;1;0;0;5;0;0;880;0;200221;13778;8;628;11432;13;28;227;0;0;0;-4;596;212;769;8278;1586;522;0;0;0;0;0
Курская область;2133643;14071176;0;2720156;0;5703;4467;200115;0;22079;0;0;15069203;291626;113288;0;11119344;94797;0;0;3289;0;0;29005;0;0;0;0;86063;-1210482;6560;0;0;0;0;0;0;0;0;0;0;0;735712;0;0;0;0;0;0;0;0;0;189;0;0;0;0;0;0;0;0;249121;0;0;0;37991;23146;4812240;91713;166561;917502;5685;0;871019;0;0;0;257809;60352;0;126378;0;0;0;178210;37455;0;0;0;24502;524918;0;0;0;0;0;0;0;31067;26;0;0;0;-66;0;0;-4;0;0;0;0;0;0;0;0;0;0;0;0;-174;-194;2;0;-21;0;0;76;0;0;0;0;6;-32;-1;0;0;1;0;0;0;0;0;-17;0;-2;0;-181;0;0;1;0;0;0;0;7217;11905;4;2085;0;100;2053;635;-75;0;0;92;465;645;759;1;0;0;0;0;0;2;0
Ленинградская область;6924276;40994195;5898603;23132170;0;305418;194262;2917655;0;128;0;0;38249856;342439;718825;0;32323397;-6546;1;0;0;113464702;13172612;22240;131841;9501079;0;2000053;152215;479663;1202;0;0;-122726;0;0;-28087;0;0;0;0;976826;1829130;0;0;0;0;404;0;0;0;0;0;0;0;0;0;0;0;0;0;11819;0;0;0;124287;238278;15500916;4375072;304934;2650221;31312;0;99762;0;0;0;1083071;1866095;0;13182;0;0;0;822158;592482;0;0;0;432911;43444;0;0;0;0;0;0;0;43166;0;530;94;0;0;0;0;-1;0;0;-2;0;0;0;0;0;0;0;0;0;-226;34;0;0;0;0;0;-3;22;0;0;0;2;0;11;0;0;0;0;0;0;0;0;0;0;-3;0;0;0;0;-5;0;0;270;0;945801;21602;3;2117;0;759;6639;492;33;0;0;455;336;665;440;1576;0;0;0;0;2;1;4
Липецкая область;798321;6840273;5189814;17853592;0;13527;12362;4993755;0;1375;0;0;16967968;136123;1186688;7638;-12885915;0;0;0;0;482999;0;0;6838;0;1380;0;891817;0;150;0;0;0;0;0;0;0;0;0;0;0;937830;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;297301;0;0;0;115607;54298;5115461;158265;204789;961092;36569;0;1007864;0;0;0;256832;71988;0;172906;0;0;0;259492;30063;0;0;0;39146;58525;0;0;0;0;0;0;0;53254;18;0;0;0;0;0;0;-79;0;0;0;0;0;-8;0;0;0;0;0;0;0;-15;0;0;0;0;0;-18;56;0;0;0;1;9;1;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;-1;0;0;51;0;81793;40976;-2;2181;1649;13;2176;2213;0;0;0;59;5;111;471;0;0;2;0;0;37;0;0
Магаданская область;261914;6676889;0;5781;0;5986;11591;5390;0;0;0;0;8930643;77412;246154;0;-10849207;0;0;0;0;0;0;0;0;0;0;0;2114;0;0;0;0;0;-6456;0;0;0;0;0;0;0;5649;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29858;0;0;0;0;0;2329590;0;98675;143910;488;0;31015;0;0;0;0;0;0;15245;0;0;0;0;0;0;0;0;12894;1645344;0;0;6683;3166059;0;0;0;3779;1538;55600;1071;0;1;0;0;0;0;0;0;0;0;0;-21;0;0;0;0;0;-48;-14;0;0;53;0;0;0;0;0;0;0;1;-8;0;0;0;0;0;0;0;0;0;-1;0;0;0;2;0;0;0;0;0;31198;0;0;3828;0;47;0;0;343;-316;0;0;0;-40;20;0;90;5;0;0;0;0;0;0;0
Московская область;24854876;146913476;0;5394134;0;974705;1344889;3743675;62;117261;10285;60671;205472778;1298417;11038363;157959;287935463;463;730;0;43436;13288;64;0;3405957;0;162380;1175328;11567231;35858291;296189;954763;0;0;-574321;0;-51806;0;0;0;98;0;21860353;0;0;0;229;0;0;0;0;4179;36070;0;0;0;0;0;0;0;0;3197724;0;0;0;783079;1217840;45146560;666954;1792666;13911318;52201;0;14251913;0;0;0;5308753;4719958;0;4934476;0;0;0;4136387;2425305;0;0;0;418623;46633;0;0;0;0;0;0;0;259246;299;0;0;0;1090;0;0;116;0;0;50;0;0;9;0;0;0;0;12;-1;499;1805;2;0;162;0;0;-56;217;0;0;2;16;57;-631;2;0;0;0;7;0;0;0;2;0;-111;0;84;0;0;-6;0;0;562;0;1689899;100837;24;4007;0;544;115817;9612;0;0;0;3782;2867;899;9877;-7243;283;632;0;0;-22;0;300
Мурманская область;990099;11362143;0;11142637;0;31964;166597;46812;0;0;0;0;31324489;119620;301096;0;5998947;0;0;0;0;0;0;-535;0;0;0;0;54071;0;0;0;0;0;0;0;-176840;0;0;0;29;0;46674;0;0;0;0;0;0;0;0;0;493;0;0;0;0;0;0;0;0;293567;0;0;0;1909;35126;6186882;0;95024;492447;4898;0;331066;0;0;0;5385;88153;0;27951;0;0;0;1057;14922;0;0;0;20142;2326430;0;0;0;0;0;0;0;8597;1031;318384;1281;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;-2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;557;294;0;18590;10;195;0;63;34070;-96;28;0;0;8;455;9325;276;78;0;750;0;0;0;0;-1
Нижегородская область;5236849;35527088;0;7276851;0;226042;142195;353971;438;57617;0;53389;61036472;863878;825021;0;49088794;-7953;0;0;1062;590453;33384074;194425;884247;12103929;47499;60502;6765126;5049384;8;0;0;-71368;0;0;519945;0;0;0;0;0;2009860;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1236559;0;0;0;164704;254179;12413475;1079500;587351;4580788;13196;0;1667637;0;0;0;232494;298337;0;529649;0;0;0;481868;215879;0;0;0;63090;3363;0;0;0;0;0;0;0;51566;2412;0;80;0;3;0;0;2;0;0;0;0;0;-5;0;0;0;0;-1;0;-6;-7;0;0;-21;0;0;33;10;0;0;0;78;21;-5;0;0;0;0;0;0;0;0;0;0;0;0;-11;0;0;0;0;0;377;0;20508872;37217;1;2622;80555;125;6936;1174;0;0;0;1128;3546;252;2336;-205;1;51;0;0;0;0;-5
Новгородская область;795454;5802776;0;1325858;0;97767;526378;604909;0;3733;0;0;9675766;52175;142508;0;1293887;0;0;0;0;0;0;0;0;0;0;0;560326;102247;46622;0;0;0;0;0;0;0;0;0;0;0;257783;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63705;0;0;0;27168;46602;3521271;296896;130138;698586;1813;0;261511;0;0;0;76647;86192;0;36414;0;0;0;138456;29747;0;0;0;25514;8407;0;0;0;0;0;0;0;8820;1027;0;187;0;0;0;0;-2;0;0;0;0;0;0;0;0;0;0;0;0;-1;-3;0;0;0;0;21;0;0;0;0;0;0;13;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;895;0;48326;5663;0;252;0;0;597;871;0;0;0;519;249;881;178;256;37;0;0;0;0;0;0
Новосибирская область;5685486;40438883;0;866396;0;120052;236149;1668513;10799;98875;0;66256;50901894;328830;901653;0;42452720;31776;0;0;0;137;1735;1761;0;2064;0;4291;8306567;3942875;18763;630;0;0;-2298776;0;115637;0;0;0;856;0;2861703;310;0;0;11;0;0;0;0;5412;3771;0;0;0;0;0;0;0;0;549203;0;0;0;43478;45576;13687565;248233;432800;2307571;6200;0;2952492;0;0;0;310637;250605;0;268681;0;0;0;165669;56881;1708549;0;0;143938;42317;0;0;1411981;0;0;0;0;23729;2162;255;1727;0;211;0;0;16;0;0;0;0;0;0;0;0;0;0;-11;0;436;-824;2;0;-135;0;0;-160;-13;0;0;0;-15;-553;0;1;0;0;0;0;0;0;0;-9;0;-6;0;-261;0;0;-7;0;0;2774;0;38060;44115;0;1545;0;106;4983;2701;1;0;0;12;1;-52;4828;0;0;0;0;0;0;0;0
Омская область;1421014;13173574;0;1553687;0;5288;77801;-20000;22;2881;0;630;26400535;365122;243518;0;30193794;10698;0;0;0;12921;38494508;322282;0;27497609;291741;0;8187695;5550256;0;-238;0;-122330;0;0;539596;0;0;0;0;0;823948;52;0;0;95;0;0;0;0;0;2629;0;0;0;0;0;0;0;0;209715;0;0;0;32490;23224;5585982;68205;229609;1354242;4192;0;706765;0;0;0;171698;12978;0;179468;0;0;0;286917;12098;2115128;1461;217;6645;313;0;0;0;0;0;0;0;44980;2832;14861;538;0;18;0;0;3;0;0;0;0;0;2;0;0;0;0;0;0;-5;25;0;0;-333;0;117;0;0;0;0;0;3;-239;6;0;0;-7;0;0;0;0;0;-5;0;0;0;24;0;0;2;0;0;12369;0;57;68523;5;5941;0;12;667;460;0;0;0;92;14992;5920;1577;17;0;-5;0;0;0;0;0
Оренбургская область;5129114;30245879;0;5715423;0;52856;21461;3660;4;42546;0;33735;26163221;194580;544534;0;66406049;23238;0;0;0;0;720611;6985;0;383466;20;0;135580;1099792;449;0;0;0;-15594;0;168;0;0;0;0;0;1020424;0;0;0;0;0;4225;0;0;0;1139;0;0;0;0;0;0;0;0;150281;0;0;0;39037;0;9598012;1434444;344133;881248;5743;0;768598;0;0;0;218571;0;0;295811;0;0;0;315929;0;208727560;15969132;1307406;64094;1274606;0;0;88;0;0;0;0;75621;1151;0;107;0;6;0;0;2;0;0;0;0;0;8;-2;0;0;0;0;0;49;70;0;0;-268;0;0;-146;0;0;-1;0;9;197;-4;0;0;1;0;0;0;0;0;-10;0;8;0;163;0;0;45;0;0;36986;0;5179;46928;2;2605;0;119;1614;-1143;34;0;0;146;2789;133;1230;0;0;9;0;0;9;0;0
Орловская область;447061;3886660;0;900982;0;27277;3126;41166;0;441;0;44;9210690;112176;97453;0;4314898;87;0;0;0;0;0;0;0;0;0;0;19681;17978;573;0;0;0;0;0;0;0;0;0;0;0;290182;0;0;0;0;0;0;0;0;0;145;0;0;1548;0;0;0;0;0;63479;0;0;0;17010;6864;1828481;77299;111637;801441;3227;0;290837;0;0;0;194338;38691;0;90453;0;0;0;178869;23250;0;0;0;20913;738;0;0;0;0;0;0;0;15631;15;0;0;0;-2;0;0;-8;0;0;0;0;0;-1;0;0;0;0;0;0;18;-38;0;0;12;0;0;5;0;0;0;0;0;-19;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;2;0;4617;14826;1518;685;0;25;248;648;0;0;0;-4;130;-20;602;-5;0;0;0;0;0;0;0
Пензенская область;682671;6017241;0;907200;0;1686;41568;6528;0;5430;0;0;14395515;314866;158850;0;11419781;25883;0;0;0;0;0;0;0;0;0;1706964;1385330;5382114;137782;24880;0;0;0;0;0;0;0;0;0;0;282076;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;458505;0;0;0;65255;75147;3514739;183215;183134;1389892;5234;0;379857;0;0;0;222721;67988;0;147955;0;0;0;145559;46100;937016;0;0;14824;14233;0;0;0;0;0;0;0;14680;1133;0;0;0;1;0;0;-14;0;0;-2;0;0;0;0;0;0;0;-9;0;-31;-94;0;0;5;0;0;0;-8;0;0;0;12;-15;-1;0;0;0;0;0;0;0;0;-1;0;0;0;1;0;0;2;0;0;973;0;28263;38262;250;2843;8907;226;737;486;6;0;0;1895;1390;925;416;-5;35;88;0;0;0;0;0
Пермский край;6433219;41032182;0;6091202;0;57343;173824;529428;3733;44600;0;1499;42992367;451732;689345;1123;63459533;0;0;0;0;0;17296234;83113;0;14544962;391825;0;19633;6882639;0;0;0;-545712;0;0;59056;0;0;0;0;0;964855;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;577523;0;0;160;141432;194051;11759929;2182855;417396;2596032;5534;0;2524404;0;0;737;235677;262660;0;463254;0;0;101;269895;100565;176638548;348598;0;82171;540220;0;0;0;0;0;0;0;51858;3349;0;169;0;-3;0;0;9;0;0;0;0;0;2;0;0;0;0;0;0;0;-2;15;0;1769;0;0;1653;0;0;0;0;10;218;47;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;244;0;0;7358;0;14292;28670;0;1450;0;425;3645;1347;119;0;0;423;3388;1549;2630;314;0;1425;0;0;0;-11;-37
Псковская область;272396;2892876;0;825899;0;627;1733;12856;0;171;0;0;8559721;58312;58846;0;4975777;0;0;0;0;0;0;0;0;0;0;0;9977;0;0;0;0;0;-2144;0;0;0;0;0;0;0;482552;0;0;0;0;0;0;0;0;0;9850;0;0;0;0;0;0;0;0;79815;0;0;176;16421;20306;1497104;108722;120270;677248;2155;0;149865;0;0;36;69775;54701;0;36889;0;0;202;197359;53200;0;0;0;16504;1282;0;0;0;0;0;0;0;10959;2300;0;895;0;1;0;0;-9;0;0;0;0;0;-1;0;0;0;0;0;0;-68;-28;0;0;-52;0;0;59;-9;0;0;0;0;36;0;-2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;19371;8633;0;890;0;231;366;421;5;0;0;313;90;425;949;-872;0;600;0;0;0;0;0
Ростовская область;4938079;39105365;0;5956861;0;70389;771740;330312;0;1810;0;0;58393167;960012;1014949;0;25262529;-568;0;0;0;48982491;0;0;0;325;197;146611;5511495;2001;1911;0;0;0;-111126;0;-452502;4;0;0;0;0;2764898;0;0;0;-320;0;0;0;0;0;3144;0;0;0;0;0;0;0;0;1208818;0;0;0;190632;127498;16136934;2187862;520067;3421292;86889;0;4258362;0;0;0;458724;325688;0;1135329;0;0;0;984370;240894;3478;334163;10122;116383;52453;0;0;347681;0;0;0;0;26764;775;794;1156;0;-2;0;0;48;0;0;0;0;-3;1;0;0;0;0;0;0;1252;869;1;0;-4;0;0;1;-1;0;0;0;1;24;-2;0;0;2;0;0;0;0;0;-5;0;0;0;15;0;0;3;0;0;4998;0;4576467;63862;53;1936;0;211;65178;2805;3;0;0;203;5478;489;9085;70;0;531;0;0;0;0;0
Рязанская область;988534;8635620;0;1601326;0;4262;28742;9293;484;6054;0;983;16997552;227769;181953;0;24873208;0;0;0;0;0;28441590;312799;0;16911125;93025;0;1698415;0;2786;0;0;0;0;0;748794;0;0;0;0;0;507774;0;0;0;0;0;0;0;0;0;123;1;0;0;0;0;0;0;0;514821;0;0;0;85126;70478;3982498;1378410;177202;977103;1461;0;732770;0;0;0;198517;98550;0;133236;0;0;0;276082;62358;0;0;0;47243;2712;0;0;3868;0;0;0;0;20763;218;0;0;0;48;0;0;13;0;0;0;0;0;26;0;0;0;0;-3;0;-32;-182;0;0;1;0;531;0;0;0;0;0;12;0;20;0;0;2;0;0;0;0;0;-7;0;10;0;-143;0;0;30;0;0;3180;0;72201;72110;0;149;0;6;2400;1458;0;0;0;135;2375;145;1443;40;0;-20;0;0;0;0;0
Самарская область;6821034;49613004;0;6089552;0;48254;330061;1141626;37;102620;4348;65938;56149545;261752;819274;0;113826430;0;1127;0;0;0;29283146;-714027;738878;19531513;278517;140497;8611765;3111159;14522;4;0;-1434018;0;0;20887;0;0;0;196;0;1700850;0;0;0;0;0;167;0;0;0;4547;0;35032;129592;0;0;0;0;0;954584;1096023;0;0;185932;49295;17356606;159662;704573;3597100;8745;0;1397595;1933100;0;0;378306;117939;0;217974;220844;0;0;423999;81217;154846340;0;0;53547;10987;0;0;0;0;0;0;0;61831;1322;0;183;0;1;-2;0;156;0;0;0;0;0;27;0;0;0;0;0;0;2162;24;0;0;2;-21;0;73;0;0;0;0;234;-84;0;4;0;3;2;0;0;0;0;-6;-5;0;0;1;2;0;19;0;0;14807;0;25146840;39991;1;2963;9596;319;6392;924;61;0;0;52;0;22;1256;347;0;3529;5400;0;31;21;1
Саратовская область;1781687;14097025;0;7170868;0;325708;35538;16134;1245;51163;0;141;29752425;426190;295759;0;34679484;0;0;0;0;45544570;11655278;1007;0;6576840;0;0;647061;0;950;0;0;0;-69859;0;-11900;0;0;0;0;0;471937;0;0;0;0;0;0;0;0;15;0;0;2611;0;0;0;0;0;0;615665;0;0;0;163583;581516;8536534;1383581;424405;2298698;9353;0;285146;0;0;0;150443;321039;0;87093;0;0;0;450571;250623;13962562;633664;173850;64680;153;0;0;0;0;0;0;0;11922;1028;6;566;0;-1;0;0;-12;0;0;0;0;0;0;0;0;0;0;0;0;-18;-174;0;0;-200;0;-5;0;0;0;0;0;4;-25;0;0;0;1;0;0;0;0;0;-9;0;-1;0;-1;0;0;-2;0;0;36796;0;3450;18733;5;2711;-20111;50;19082;195;1;0;0;18;2595;32483;1569;-122218;0;1664;0;0;2659;0;251
