GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156;G157;G158;G159;G160;G161;G162;G163;G164;G165;G166;G167;G168;G169;G170;G171;G172;G173;G174;G175;G176
Красноярский край;11453841;59726858;8215707;39352548;0;83376;47147;2365238;0;1434;0;0;65455109;526237;612868;0;102862244;6820;0;0;0;0;10036287;818;0;13074310;0;0;572199;1922834;1581;186;0;0;-1333177;0;466734;0;0;0;0;0;437092;0;0;0;0;0;0;0;0;0;1849;0;0;0;0;0;0;0;0;739689;0;0;902;87518;69290;23811655;-3;554352;2273319;7183;0;1069573;0;0;3072;182129;62882;0;248147;0;0;776;309234;66665;244145605;279266;63114;358351;22294059;0;0;663701;0;0;0;0;128377;34609;0;1919;0;29;0;0;56;0;0;2;0;0;0;0;0;0;0;0;0;-21;19;1;0;13;0;0;168;-61;0;0;0;6;0;-2;-25;0;1;0;0;0;0;0;-11;0;123;0;-41;0;0;31;0;0;162698;0;3021;42343;1;6206;142543;0;11629;3338;9;0;0;359;1177;346;2557;65;0;1676;0;0;0;6;8
Приморский край;3676917;21492616;0;1301221;0;129897;82702;272625;3;56676;0;0;42372965;418054;1584236;0;2039345;0;0;0;0;0;5;0;1247587;0;0;1;1756639;2279216;1356;4;0;0;0;0;-523531;0;0;0;0;0;355969;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;564247;0;0;190;67997;34864;9265414;1925199;331077;1855516;113704;0;2158242;0;35;4703;224825;138548;0;510799;0;0;633;143474;39111;0;0;0;61811;260653;0;0;147915;0;0;0;0;17213;12466;504821;984;0;-33;0;0;-165;0;0;0;0;0;0;1;0;0;0;0;0;123;52;1;0;23;0;-32;1;-3;0;-21;0;-120;-60;-4;1;0;-1;0;0;0;0;0;-1;0;-5;0;1;0;0;-4;0;0;2068;0;2335543;36386;0;5844;119;0;20988;1381;3;0;0;619;530;-6823;1042;-3601;0;1194;0;0;35;303;99
Ставропольский край;1470853;13247868;0;4167459;0;4025;71018;26285;0;2282;0;515909;28065940;527276;375810;0;25488714;7247;0;0;554;206;0;-6348270;0;12;0;1544099;923938;7282798;637;0;0;0;0;0;0;0;0;0;0;0;1050421;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;755473;0;0;0;111464;38443;6897055;1744831;278257;1588050;31561;0;1232590;0;0;0;199648;100083;0;733666;0;0;0;468624;90653;9006080;220677;5318;23396;41611;0;0;0;0;0;0;0;15981;102;0;68;0;-4;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;-72;-195;1;0;-32;0;0;-2;-5;0;0;0;-1;-13;-2;0;0;-2;0;0;0;0;0;-4;0;-2;0;-24;0;0;7;0;0;15161;0;67275;36642;18;1875;-5968;0;2298;6726;0;0;0;405;952;550;925;643;0;-9;0;0;0;0;0
Хабаровский край;1673222;14441955;0;1115166;0;6759;213871;932403;10409;3803;0;570957;37019986;216498;223142;0;13556169;0;0;0;2647;0;10953180;0;0;11107693;0;0;3928535;1820398;16404;0;0;0;-45148;0;2672101;0;0;0;0;0;178770;0;0;0;0;0;0;170;0;83;0;0;0;0;0;0;0;0;0;403379;0;0;59;30489;53179;12195247;2331587;341331;1503141;2548;0;715072;0;0;16844;189883;95647;0;176861;0;0;111;53338;16190;0;0;0;71631;3235746;0;0;194137;0;0;0;0;21989;12541;192049;23910;0;31;0;0;-2;0;0;0;0;0;0;-1;0;0;0;-7;-2;35;-52;2;0;109;0;-77;0;2;0;0;0;1;-156;0;0;0;0;0;0;0;0;0;0;0;-14;0;0;0;0;-1;0;0;29909;0;0;8164;0;1016;0;125;-885;590;0;0;0;168;1;42;1769;0;0;0;0;0;0;0;0
Амурская область;574587;8447675;0;1131800;0;45955;3911;0;281;463325;84948;122185;18364295;246237;123096;0;-18533755;0;0;0;0;0;0;0;0;0;0;0;18128;0;406;0;0;0;0;0;0;0;0;0;0;0;71437;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;373521;0;0;65;49868;29370;8207168;0;189187;843524;624;0;376706;0;0;41786;899952;45381;0;177516;0;0;22;72624;14103;0;0;0;102983;1287085;0;0;72372;0;0;0;0;11150;7756;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;-16;0;0;-4;-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12288;0;2100;8842;13;1961;0;0;2817;299;10;0;0;129;671;214;603;0;0;0;0;0;0;0;0
Архангельская область;1305792;12057351;0;820170;0;11118;343346;184178;6;8;0;0;25231574;314915;283858;0;10482036;0;0;0;0;0;0;0;0;0;0;0;61988;4301305;0;1;0;0;-170832;0;-216390;0;0;0;0;0;136390;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;172213;0;0;0;20316;28166;5414008;2597702;231756;1016862;2729;0;467536;0;0;0;62241;76322;0;73720;0;0;0;76700;52072;0;0;0;59076;30450;0;2976906;0;0;0;-1;0;10841;7781;52952;186;0;1;0;0;0;0;0;0;0;0;-3;0;0;0;0;-20;-71;-2;9;0;0;3;0;0;0;5;0;0;0;0;0;-1;0;0;-5;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;3413;0;5;10929;8;735;0;0;5631;-98;0;0;0;627;2622;908;1350;0;0;2393;0;0;0;-1;-5
Астраханская область;14585338;6237566;0;8185985;0;162538;2552;21233;0;15146;0;6723;13015103;130122;117044;0;14035510;-1093;0;0;0;0;7581558;46417;0;3209720;0;0;11401;-7;0;0;0;0;0;0;-42266;0;0;0;0;0;60540;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;197591;0;0;0;21236;10755;3907067;1819130;125917;847342;7064;0;198493;0;0;0;294588;61856;0;81244;0;0;0;99904;24988;33320889;19138688;30292236;8617;10099;0;0;0;0;0;0;0;380;0;3188;1662;0;0;0;0;6;0;0;-11;0;0;0;0;0;0;0;0;0;9;-7;0;0;5;0;0;143;18;0;0;0;0;64;0;0;0;1;0;0;0;0;0;-1;0;-2;0;0;0;0;8;0;0;33104;20701;0;8620;0;2273;1311;100;67;675;0;0;0;305;960;156;52;4;0;2300;0;0;0;0;0
Белгородская область;3982602;25553519;0;6695559;0;26151;19548;78999;14;16502;0;0;23935683;161558;425573;0;23744467;7;0;0;0;-28264;0;-6058;0;0;0;0;149750;5010470;286;0;0;0;0;0;0;0;0;0;0;0;713095;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;775176;0;0;0;203230;283882;9274099;32438;367915;1560195;8819;0;2810376;0;0;0;335839;415126;0;481818;0;0;0;312614;174670;0;0;0;193173;1005589;0;0;0;0;0;0;0;56695;340;0;0;0;0;0;0;-4;0;0;0;0;0;0;0;0;0;0;0;0;-117;-10;0;0;-93;0;0;1;-2;0;0;0;0;-72;0;-3;0;-50;0;0;0;0;0;-1;0;-1;0;-4;0;0;0;0;0;61;0;56373;59520;0;1566;2735;1412;1004;480;0;0;0;16;4601;54;1171;0;0;110;0;0;0;0;9
Брянская область;571110;4987771;0;957416;0;1673;2611;364;0;0;0;0;13736494;164712;175848;0;13481453;0;0;0;0;517391;0;0;0;0;0;0;576231;1051920;121333;0;0;0;0;0;0;0;0;0;45;0;3653673;0;0;0;0;0;0;0;0;0;9653;0;0;0;0;0;0;0;0;426509;0;0;0;76360;175441;3103837;66664;143568;841503;36679;0;436491;0;0;0;108369;134761;0;127638;0;0;0;149665;97852;0;0;0;11501;12208;0;0;0;0;0;0;0;20523;532;0;0;0;0;0;0;-34;0;-1;0;0;0;0;1;0;0;0;-15;0;-1;-2;0;0;0;0;0;-4;-13;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;108;0;2188533;-14928;0;2104;1040;6;8036;1678;0;0;0;1015;1618;2166;403;420;0;817;0;0;16;0;-6
Владимирская область;2090649;13770951;0;696285;0;800783;76915;1148307;105;449;0;0;20364796;242364;372541;2742;25048813;0;0;0;0;0;0;0;0;0;0;0;347808;540042;31375;0;0;0;0;0;0;0;0;0;0;0;314359;0;0;0;0;0;0;0;0;0;5720;60;0;0;0;0;0;0;0;143604;0;0;0;51398;75253;3923731;342425;208094;1445984;4425;0;979612;0;0;0;297861;467960;0;239672;0;0;0;377954;211187;0;0;0;88207;7886;0;0;0;0;0;0;0;34789;938;0;0;0;-6;0;0;3;0;0;0;0;0;-2;0;0;0;0;0;0;62;12;0;0;-3;0;0;610;-650;0;0;0;12;94;11;0;0;0;0;0;0;0;0;-1;0;-17;0;-3;0;0;3;0;0;75;0;69642;10722;23;1140;8757;0;3180;1377;0;0;0;751;110;0;11308;51;0;-16089;0;0;0;0;0
