GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156;G157;G158;G159;G160;G161;G162;G163;G164;G165;G166;G167;G168;G169;G170;G171;G172;G173;G174;G175;G176;G177;G178;G179
  Астраханская область;11166780;7003185;0;2490044;0;0;0;131929;8735;45022;0;10441;0;432;14532777;150487;146012;0;3849874;0;0;0;0;0;0;0;12176535;-41815;0;5637528;0;0;0;16095;0;0;0;0;0;0;0;0;-46475;0;0;0;0;0;0;0;92447;0;0;0;0;0;0;0;0;0;73;0;0;0;0;0;0;0;0;0;0;265018;0;0;0;46614;27061;1257204;380249;161499;857736;4140;0;182975;0;0;1;266137;86814;0;79850;0;0;0;111234;29400;24620138;13161423;28338326;8290;19337;0;0;0;0;0;0;0;569;0;3185;2823;0;0;0;0;0;0;6;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;6;0;1;0;0;1;0;0;122;2;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;36379;21191;0;11050;0;0;0;0;0;0;0
  Белгородская область;3702946;23577892;5;4425495;0;0;0;10215;107026;100254;3;14848;0;733;28604633;226932;2903389;99;28453637;36027;0;0;0;0;0;0;0;723;0;0;0;0;0;150332;1537020;0;81;-120771;0;0;0;0;0;0;0;0;0;0;0;0;1582573;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;867550;0;0;0;176367;143209;1993256;7342;453044;1595626;6314;2;3251897;0;0;0;265686;165631;0;536391;0;0;0;242644;81832;0;0;0;439187;1441255;0;0;0;0;0;0;0;84044;154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67;0;105366;37173;40;0;0;0;0;0;0
  Брянская область;737838;5801673;0;602800;0;0;0;25997;64003;6162;217;0;0;150;15505695;170552;299963;0;9190139;-38;0;0;0;0;0;1439164;0;0;0;0;0;0;0;496846;1904586;0;190240;0;0;0;0;0;0;0;0;0;0;0;0;0;4328663;0;0;0;452;0;0;0;0;0;305;2543;0;0;0;0;0;0;0;0;0;454372;0;0;0;74229;147259;626641;14590;226179;906551;42784;2;456059;0;0;0;142664;189300;0;104969;0;0;0;130730;90274;0;0;0;12275;11003;0;0;0;0;0;0;0;26261;680;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;165;4;112;0;0;188;0;0;0;0;0;0;0;0;31;9;0;0;0;1;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;39;0;1139320;8871;0;0;0;0;0;0;0
  Владимирская область;2419502;15075486;0;413295;0;0;0;9036;179016;1606752;195;821;0;2075;23057210;117423;397422;3228;31993703;3517;0;0;0;0;0;1611;0;0;0;0;0;0;0;547145;2352417;0;3763;0;0;0;0;0;0;0;0;0;0;0;0;0;402844;0;0;0;0;0;0;0;0;0;0;9482;38;0;0;0;0;0;0;0;0;164981;0;0;0;63805;84224;963585;75387;236019;1463119;2394;0;954331;0;0;0;283965;489209;0;195234;0;0;0;331809;180918;0;0;0;113876;6550;0;0;0;0;0;0;0;46074;1056;0;0;0;0;0;0;0;0;1;0;0;23;0;0;0;0;0;3;0;0;0;0;0;0;4;0;3;0;0;0;0;0;1129;0;8;0;0;0;29;137;90;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;143;0;0;59;0;76711;11756;1889;0;0;0;0;0;0
  Волгоградская область;1877433;16813035;0;2861619;0;0;0;3026;81655;38697;0;3144;0;556;33064061;518961;487809;3;29381407;7;0;0;88;0;0;48285951;23700851;82486;0;13822146;189750;61;66;2176942;3769;0;374;0;0;0;0;0;5399547;0;0;0;0;0;6121584;0;1082583;0;0;0;0;0;0;0;0;0;-2;0;0;0;0;0;0;0;0;0;0;505339;0;0;0;28330;31229;1968748;202323;346043;1920971;7087;1;1453985;0;-2;0;160500;105814;0;255422;0;0;0;344755;108572;9135144;174259;585337;44072;71746;0;0;0;0;0;0;0;18742;40;0;859;0;0;0;0;0;0;4;0;0;0;638341;0;0;0;0;0;0;0;0;0;0;0;9326;28;1858;0;0;10606;0;0;0;0;0;0;0;0;44;0;160;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;27492;0;141141;38838;3;0;40;0;0;0;0
  Вологодская область;2149391;10289420;2817899;9414232;0;0;0;41992;97764;200096;296;9671;8;12444;24335367;556963;515212;-7;-1255618;0;0;0;0;0;0;0;-2911;0;0;0;0;0;0;33265;7871630;-22833;0;0;0;0;-52753;0;-16895;0;0;0;0;0;0;0;1887272;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;706579;0;0;0;89212;108163;1324394;1443541;300391;1346369;0;0;837318;0;0;0;121991;42312;0;95479;0;0;0;121049;25736;0;0;0;38991;16029;0;0;0;0;0;0;0;9185;4798;13;362;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;170201;12726;3;0;0;0;0;0;0
  Воронежская область;2352853;20111241;1;9831070;0;0;0;45425;114239;162648;679;1482;0;2197;38719534;378337;1803905;-25;35821576;17;0;0;49;0;0;0;0;0;0;0;0;0;0;2544342;815437;0;2318;0;0;0;0;0;0;0;0;0;0;0;0;0;2040269;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;452578;0;0;0;127691;111808;2876124;120798;481392;2861773;4739;0;1241269;17;0;0;609996;458689;0;270882;0;0;0;666630;206824;0;0;0;124526;62765;0;0;0;0;0;0;0;98188;818;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;1;143;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;385;0;43343;50516;10;0;0;0;0;0;0
  Ивановская область;511968;4599251;0;187842;0;0;0;914;23358;6642;0;156;0;81;11579798;160080;107157;4198;9510590;86;0;0;0;0;0;0;0;751;0;0;56;0;0;1220148;461415;0;0;0;0;0;0;0;945;0;0;0;0;0;0;0;642436;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;210412;0;0;0;19814;34762;494033;84983;94370;763324;1346;0;625996;0;0;0;62465;50643;0;133708;0;0;0;70753;24381;0;0;0;22543;37;0;0;0;0;0;0;0;15603;26;0;17;0;0;0;0;0;0;2;0;0;14;0;0;0;0;0;5;0;0;0;0;0;0;2;0;3;0;0;1;0;144;0;0;0;0;0;0;12;3;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;96;0;18458;22696;5;0;0;0;0;0;0
  Иркутская область;7696410;51478543;0;2573949;0;0;0;4317;60009;712400;75;1566;3086;2087;56702497;381559;622264;63297;83146676;131;187;0;0;0;0;0;7112558;-843353;0;12480382;136145;0;0;2288785;0;0;1491;0;0;0;-232853;0;1523897;0;0;0;0;0;0;0;280159;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;597687;0;0;20;75670;152692;3129629;43093;643201;2073743;5;-209;1540258;0;0;10105;278284;291468;0;313124;0;0;657;205249;97477;113309730;29163;167503;200183;4386735;0;0;310606;0;0;1;0;110484;16029;-49;242;542175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;40;433;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;359034;0;242;41574;40;0;5;0;0;0;0
  Калининградская область;1284215;9391280;0;586937;0;0;0;103141;188680;294310;537;54467;159;48470;21003786;94537;418876;23791;76915442;4672;0;0;0;0;0;9365440;0;-4600;7705593;0;0;0;0;65686;737989;-154;454;6;0;0;-15529;0;-448411;0;0;0;0;0;0;0;3078315;51448;0;0;0;0;0;104834;0;0;325;17909;0;0;0;0;0;0;0;-267;0;445354;0;0;0;0;0;1006441;262881;459198;1235330;100540;6;676430;0;0;-5;23;-82;0;286329;0;0;0;0;0;1891343;0;0;90026;156821;1897052;0;0;0;0;0;0;26418;737;7148;307;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61;0;89;0;0;122;0;0;0;0;0;0;0;0;6;18;0;0;0;3;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;3616;500;27748271;15383;10;0;465;0;0;0;0
  Калужская область;2155531;16551362;0;241160;0;0;0;677172;18596;283936;101;6370;0;4586;22985234;116214;401370;2944;40139366;0;0;0;0;0;0;8622288;0;0;2126168;0;220816;0;0;6602044;974726;0;0;0;0;0;-87737;0;1831;0;0;0;0;0;-399866;0;1511475;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;189898;0;0;0;73186;100608;1080555;53239;159865;1066234;0;0;335341;9;0;17;330281;188629;0;96223;0;0;0;293006;88152;0;0;0;117843;42265;0;0;0;0;0;0;0;35401;1247;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;7;0;4;0;0;3;0;0;57;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;157;0;32893539;17526;5;0;0;0;0;0;0
  Камчатский край;591176;3967699;0;164837;0;0;0;358;21878;0;0;3121;0;0;20948059;79528;144247;0;2393137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;219061;0;0;0;0;0;0;-14175;0;-565577;0;0;0;0;0;0;0;11923;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;103225;0;0;689;11140;20317;671326;5975;132125;718976;1591;-103;193866;0;0;6323;47485;27166;0;40089;0;0;3062;11953;14513;0;41024;23214;30708;263895;0;0;392;0;0;0;0;21884;3654;543779;18506;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;0;0;0;0;0;13799;7;0;4939;0;0;0;0;0;0;0
  Кемеровская область - Кузбасс;4504352;31616678;0;487310;0;0;0;438334;76141;468495;53;15119;0;6727;50953745;163706;1180427;7530;-11220242;669;39970;0;6;0;0;205;2570232;-16539;0;107984;0;0;0;723709;3114041;-5151;40;0;0;-767323;3182;0;1481003;0;0;0;0;0;-2844431;0;385161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;559055;0;0;0;9541;11105;2710049;17136;557997;1833328;3527;27;2716147;-1;0;0;338441;115215;0;268588;0;0;0;38828;13871;0;0;0;90983;707620;0;0;7116255;0;0;0;0;34103;1737;64;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7716;4;57;55341;26;0;5;0;0;0;0
  Кировская область;631477;6344498;0;189919;0;0;0;7153;3588;75;0;34247;0;58684;17596050;281419;150197;0;12241630;129620;887175;6505;-10005;0;0;294;0;0;0;0;0;0;0;624011;863438;0;158;0;0;-63;-965;0;-17;0;0;0;0;0;0;0;304544;0;0;0;0;0;0;0;0;0;9853;0;0;0;0;0;0;0;0;0;0;360869;0;0;0;29780;59977;705276;76960;230991;1203922;2376;0;134487;0;0;0;51421;46980;0;59281;0;0;0;63074;28491;29453;0;0;54816;324;0;0;0;0;0;0;0;13838;3545;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;228;0;0;0;0;0;0;0;2;0;0;0;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1010;0;29856;11774;40;0;0;0;0;0;0
  Костромская область;930755;4528936;0;616254;0;0;0;81431;8966;95262;1195;1841054;2612;1019049;9251284;73164;114718;-10;10004716;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15477;307378;0;0;0;0;0;-3174;0;-869;0;0;0;0;0;0;0;216705;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;243798;0;0;0;32774;32902;362253;6397;129910;690792;1155;0;303250;0;-3;-49;78902;23869;0;117889;0;0;0;49894;16136;0;0;0;16908;54;0;0;0;0;0;0;0;17895;2605;0;68;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;126;0;0;0;0;0;0;39;12;10;0;0;0;0;0;245;0;2;0;0;0;28;204;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0;137;0;0;7;0;485;10697;45;0;5;0;0;0;0
  Курганская область;456583;3734845;0;581830;0;0;0;482;4545;2555;0;0;0;0;10571317;134467;78023;0;9838108;314;0;0;0;0;0;1;0;0;0;0;0;0;0;358836;1611;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;323909;0;0;0;0;0;0;0;0;0;0;1954;0;0;0;0;0;0;0;0;0;202813;0;0;0;29064;24988;531052;25325;127462;740723;707;0;247999;23;0;0;48444;39204;0;34110;0;0;0;114007;17792;0;0;0;19622;97503;0;0;0;0;0;0;0;6670;15;1;639;0;0;0;0;0;0;0;0;0;-6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;1;0;0;0;0;0;-5;0;0;0;0;0;0;0;0;0;0;0;-2;0;0;0;0;0;0;0;697;0;358342;10143;70;0;0;0;0;0;0
  Курская область;2382289;15137236;0;3899841;0;0;0;14946;166515;57535;0;1164;0;447;17699747;242487;152885;0;8104991;520779;0;0;6068;0;0;0;0;0;0;0;0;0;0;120251;0;0;14306;0;0;0;0;0;0;0;0;0;0;0;0;0;782334;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;289712;0;0;0;42626;27812;1483056;13256;240245;1640344;2821;0;764577;0;0;0;325861;57461;0;95274;0;0;0;194526;25589;0;0;0;46872;680106;0;0;0;0;0;0;0;41052;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;9695;13130;24;0;5055;0;0;0;0
  Ленинградская область;6687920;40600654;6241916;25018522;0;0;0;281268;495221;1273733;194;26;0;0;45070684;313385;612964;23503;46974542;69907;-11136;0;44;9;0;107420706;10574176;1;0;8718942;0;1931733;27870;142667;124381;0;15697;0;0;0;0;0;1807544;0;0;0;0;25123274;-5172545;0;1825835;0;0;0;0;0;996;0;0;0;0;62420;2486;0;0;0;0;0;0;0;0;17618;0;0;0;163678;321712;4765096;954134;414114;2855096;33766;0;101360;-427;0;0;1043738;1896273;0;16785;0;0;0;804344;601712;0;0;0;394531;58124;0;0;0;0;0;0;0;38113;4;355;248;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;187;0;164993;30944;0;0;2;0;0;0;0
  Липецкая область;902674;8067705;3145533;11041905;0;0;0;19450;28256;3723447;0;1064;0;8737;19808642;122758;207248;1157868;-7936564;0;0;0;0;0;0;524923;0;0;0;-688;-1064;0;0;773765;0;0;305;0;0;0;0;0;0;0;0;0;0;0;0;0;1646310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;257321;0;0;0;60362;44736;1159882;22378;290257;1035312;40256;0;949635;0;0;0;254980;80134;0;151826;0;0;0;219174;25962;0;0;0;58563;59482;0;0;0;0;0;0;0;72229;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;121;0;62;23483;0;0;9;0;0;0;0
  Магаданская область;519236;11547221;0;1468;0;0;0;2739;12265;12250;0;0;0;0;11077768;80753;144424;0;-12163268;0;0;0;0;0;0;0;170;0;0;0;0;0;0;2172;0;0;0;0;0;0;-8206;0;-11823;0;0;0;0;0;0;0;6006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35192;0;0;0;0;0;685107;0;118839;154255;1311;0;38858;0;0;0;0;-757;0;14507;0;0;0;0;0;0;0;0;38992;2045308;0;0;8493;5150788;0;0;0;4922;799;49139;1240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24623;94;0;10299;0;0;0;0;0;0;0
  Московская область;29862608;164553365;7;4462228;0;0;0;4635294;679857;8880577;6778;311311;34862;240356;238285530;1306920;11666719;176694;414164425;77831;2326;0;128386;0;0;256960;0;0;5472438;0;189279;2306517;0;13445558;39948060;-4184;413931;1099385;0;-1384;-687890;0;-91303;0;0;0;0;0;-34485;0;28691820;0;0;0;74;0;0;0;0;0;5848;74327;2209;0;0;0;96;0;0;0;0;7295978;0;0;0;127964;139488;13210552;138980;2295277;14301143;65934;9225;20668531;842;44;951;1107593;924974;29;8152254;0;0;0;150000;143003;0;0;0;410179;34506;0;0;0;0;0;0;0;322860;311;35;0;0;0;0;0;0;0;981;0;0;3;0;0;0;0;0;112;0;0;0;0;0;0;2100;16;2450;0;0;176;0;0;1;3;1;0;0;1;215;9;0;1;0;1;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;664;0;2555601;214848;12020;0;122;0;0;0;0
  Мурманская область;1423145;13134120;0;18370680;0;0;0;20766;164015;140454;0;0;0;0;35922367;56997;158222;625;-91910860;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91034;0;0;13;0;0;0;0;0;-932107;0;0;0;0;0;0;0;61208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;349004;0;0;0;2047;40545;-3180955;0;117411;496643;3405;0;640291;0;0;0;5634;70218;0;23950;0;0;0;1508;11429;0;0;0;200377;2437835;0;0;0;0;0;0;0;10473;37;333349;549;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;463;711;173;12978;40;0;1569;0;0;0;0
  Нижегородская область;5452709;37467856;48;4976534;0;0;0;53962;384532;518192;58;6898;0;63832;69746891;664417;1562388;4116;78061094;6468;0;0;0;0;0;329837;36153887;-25094;1128220;14053728;18219;53476;2173;7086957;5319799;0;37;0;0;-10115;0;0;-73708;0;0;0;0;0;12387284;0;2787329;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1323548;0;0;0;160877;255444;2473492;239077;742963;3932966;44926;31;1472425;0;0;47;201648;273643;0;417740;0;0;0;390311;149964;0;0;0;77464;5923;0;0;0;0;0;0;0;57150;2089;15;107;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;-3;0;0;0;0;0;0;0;62;252;0;0;240;0;0;-62;0;0;0;0;0;57;384;40;0;0;0;0;0;0;0;0;11;0;0;0;25;0;0;0;0;0;350;0;20180621;45811;0;0;0;0;0;0;0
  Новгородская область;732068;5398750;0;848011;0;0;0;-83554;917251;3565976;13;4842;0;0;10179134;58403;93498;0;3296090;1009926;1736903;0;0;0;0;0;0;0;0;0;0;0;0;50867;110904;0;236;0;0;0;0;0;0;0;0;0;0;0;0;0;337862;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81415;0;0;0;38331;72369;749061;96809;162651;731502;1317;-2;240386;0;0;0;78379;84150;0;34811;0;0;0;121937;72465;0;0;0;19032;9064;0;0;0;0;0;0;0;9308;218;3;420;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;7;0;0;0;0;79;0;15;0;85;0;0;1;0;319;0;0;0;0;0;0;0;258;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;765;0;65754;8216;0;0;0;0;0;0;0
  Новосибирская область;5120711;37149175;0;182497;0;0;0;61585;228666;1350977;363;90866;1173;119447;59208466;341402;1215120;3857;46365295;356040;-3970;0;4;0;0;2662;0;2010;0;1813;0;422;0;8471340;2006774;0;16494;286;0;0;-2134394;0;0;0;0;0;0;0;-25641;0;4709248;0;0;0;0;0;0;0;0;0;1209;0;0;0;0;0;0;0;0;0;0;866058;0;0;0;64007;57667;2877803;38616;519861;2331616;6097;-3;2692064;-26;124;130;338853;255397;0;281454;0;0;0;177253;56912;717508;0;0;225424;76707;0;0;1196699;0;0;0;0;28782;161;0;2069;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;19;64;0;0;-4;0;0;16;0;0;0;0;0;1;39;0;1;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3400;0;78083;45968;106;0;0;0;0;0;0
  Омская область;2251541;15648719;0;435053;0;0;0;1110;16414;57090;0;1068;0;2621;29221570;386485;1947418;0;39046642;5;0;0;0;0;0;68587;50252457;-339008;0;31895162;290904;0;0;7325600;6638161;0;39;0;0;-238269;0;0;4007185;0;0;0;0;0;0;0;1178835;72;0;0;0;0;0;0;0;0;0;4724;0;0;0;0;0;0;0;0;0;258519;0;0;0;32602;23107;624438;14204;260796;1455773;3370;0;594261;0;0;1;149414;12568;0;165069;0;0;0;255689;10259;1051273;625;93;7329;186;0;0;0;0;0;0;0;56119;1588;-2;-2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1;6;0;0;5;0;6;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2367;0;508;26136;40;0;0;0;0;0;0
  Оренбургская область;3006941;20116498;0;1777055;0;0;0;54195;33661;14540;0;22223;0;70676;29240146;200512;316648;-13;59312563;108654;0;0;0;0;0;0;2468605;13166;0;3315498;27;0;0;175540;884898;0;366;0;0;0;-2406;0;454;0;0;0;0;0;0;0;797588;0;0;0;0;0;0;0;0;0;0;153;0;0;0;1126;0;0;0;0;0;202545;0;0;0;57902;0;2500258;248661;398949;1016997;3900;0;717807;0;0;0;218389;9;0;256090;0;0;0;286739;0;149420999;12773000;776119;78056;1437565;0;0;237;0;0;0;0;94881;880;0;73;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;2;0;0;-109;0;0;261;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;30314;0;2243;26051;83;0;5;0;0;0;0
  Орловская область;541801;4209370;0;509732;0;0;0;26608;8955;24638;0;542;0;202;10315095;112725;86180;0;7892490;-54;0;0;0;0;0;0;0;10721;0;0;0;0;0;16572;18127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;477398;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99460;0;0;0;31929;11545;455331;16084;129607;857541;2037;0;248091;0;0;0;191763;35846;0;79584;0;0;0;153260;20044;0;0;0;22098;610;0;0;0;0;0;0;0;18311;238;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;6;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;5175;15148;0;0;0;0;0;0;0
  Пензенская область;810859;6150944;0;493322;0;0;0;3312;54106;16981;0;8922;2887;0;16165204;310634;144036;38279;18531013;43407;0;0;0;113312;0;0;0;0;0;0;0;1350575;0;1166720;5919710;0;100676;164903;0;0;0;0;0;0;0;0;0;0;0;0;396443;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;522042;0;0;0;94158;79135;884134;38428;217821;1481262;4291;0;460146;14;0;0;249185;71015;0;157914;0;0;0;161095;38799;488145;0;0;17508;21110;0;0;0;0;0;0;0;17060;911;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;232;0;0;1;0;0;1;0;0;0;0;0;57;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;434;0;53262;23071;0;0;41043;0;0;0;0
  Пермский край;4768972;34307078;0;2410892;0;0;0;16938;112095;494659;0;30748;0;4446;47979300;325460;851826;4016;60840926;0;0;0;0;0;0;0;18240187;645971;0;20686603;426295;0;0;46802;6651419;0;0;0;0;-498119;0;0;-197285;0;0;0;0;0;3898566;0;1503153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1091401;0;0;0;101663;669;2056568;413403;590424;2817289;6066;992;2910526;214;0;5;177674;36006;0;569763;0;0;0;175223;-161;124823723;362955;0;115825;646702;0;0;0;0;0;0;0;59557;0;0;181;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;-1671;0;0;4304;0;0;0;0;0;0;1313;471;0;0;0;0;0;0;0;0;0;0;204;0;0;0;0;2157;0;0;8174;0;5565;25112;43;0;80;0;0;0;0
  Псковская область;253240;2643290;0;641719;0;0;0;937;1054;13001;0;46;0;638;9754461;37740;115331;4;4276499;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7760;0;0;402;0;0;0;0;0;0;0;0;0;0;0;0;0;830978;0;0;0;0;0;0;38262;0;0;0;5709;0;0;0;0;0;0;0;0;0;91783;0;0;153;18417;20874;354878;25644;173589;716030;448;0;134353;0;0;35;72861;48866;0;30837;0;0;210;143476;39740;0;0;0;21121;959;0;0;0;0;0;0;0;13284;1261;0;940;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;0;0;5;0;0;26;5;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;36498;8620;0;0;0;0;0;0;0
