GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156;G157;G158;G159;G160;G161;G162;G163;G164;G165;G166;G167;G168;G169;G170;G171;G172;G173;G174;G175;G176;G177;G178;G179
  Чувашская Республика;999679;8266740;0;241734;0;0;0;1222;102944;6636;17;2852;0;2737;14032531;70836;152193;0;18996759;-7678;34803;0;0;0;0;0;0;0;0;0;0;0;0;1133870;2534001;0;0;0;0;0;0;0;-22054;0;0;0;0;0;0;0;174811;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;237832;0;0;0;75897;20235;663362;27780;173441;977951;9;0;472102;0;0;0;35267;18727;0;74134;0;0;0;123116;13223;0;0;0;31726;17;0;0;0;0;0;0;0;5914;206;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;158;0;853742;12590;10;0;0;0;0;0;0
  Алтайский край;1935479;15172847;0;699562;0;0;0;69762;74786;30911;0;878;0;0;28337895;265203;225006;0;23834717;20168;0;0;0;0;0;0;0;0;0;0;0;10696;24;3985979;1123922;0;12576;0;0;0;-1593;0;358;0;0;0;0;0;0;0;2342311;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;596402;0;0;0;117121;20798;1153410;35914;406826;2040151;22814;0;881354;0;0;0;248780;40119;0;208734;0;0;0;415055;24045;0;0;0;22308;632490;0;0;1738;0;0;0;0;39479;2574;0;3106;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;8;0;0;5;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;3095;0;190272;14156;0;0;1454;0;0;0;0
  Краснодарский край;11083483;57149804;0;4168982;0;0;0;441434;137192;980248;1455554;122042;2934;1854503;88536381;907851;1941160;31866;80479096;4;0;0;0;613948;209208;30278708;-13;40405;0;24199;0;2834071;332545;2480608;2193386;126451;111906;7;0;0;-2110;0;-1666820;12857;27695;0;0;0;-3857723;0;4807541;0;0;0;119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2397972;0;0;0;805253;647488;7614989;1292691;1210593;7215760;255030;23;3376129;882;8;0;1044591;772853;0;1347313;0;0;0;1375395;470431;5711175;956882;-230557;91736;73426;0;0;0;0;0;0;0;306464;1769;4474;483;0;0;0;0;0;0;50;0;0;177;0;0;0;0;0;0;0;0;0;0;0;0;32;1;47;22;-118;7;0;0;138;3;0;0;0;0;2;26;0;33;0;1;0;0;0;0;0;0;0;0;0;137;0;0;1;0;0;7012;1245;1158450;82719;405;0;10;0;0;0;0
  Красноярский край;12309825;62273748;13215328;58554553;0;0;0;193597;123610;8161750;1;875;0;2036;77362526;442183;722492;-12;176181105;-2879;0;0;0;0;0;0;13072687;275628;0;19041636;0;0;0;687883;1447080;0;2576;2359;0;0;-869735;0;570326;0;0;0;0;0;-28016;0;606786;0;0;0;0;0;0;0;0;0;0;891;0;0;0;0;0;0;0;0;0;539488;0;0;844;51958;37170;4599388;2;633120;2204318;6726;-73;849877;-1;0;3040;209394;74367;0;202599;0;0;339;283657;58798;129275648;283341;197920;-213997;29410042;0;0;638129;0;0;0;0;153018;23267;0;1440;4129075;10476912;0;0;0;0;-3;0;0;12;0;0;2;0;0;0;0;0;0;0;0;0;8;3;2;0;0;1;0;0;101;1;5;0;0;0;2;0;11;0;0;0;0;0;0;0;0;0;0;9;0;1;0;0;19;0;0;210795;2;3352;34337;40;0;0;0;0;0;0
  Приморский край;4391739;21694811;15;725059;0;0;0;14344;102886;561426;6;81172;0;9441;50050102;240796;1082649;16;13839734;0;0;0;0;0;0;42;1;0;917149;200;0;0;0;2044800;2790114;0;1934;0;0;0;195;0;-1691140;0;0;0;0;859;0;-828340;346498;0;0;0;0;0;0;0;0;0;0;126;0;0;0;0;0;0;0;0;0;736625;0;0;41;57131;45016;2180464;479501;392195;1819081;69887;69;2074654;-228;18;30158;227518;146633;0;430273;0;0;415;105452;27312;0;0;0;93656;150218;0;0;129810;0;0;0;0;21994;15822;567775;1145;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;84;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2249;0;3927628;26242;18;0;10;0;0;0;0
  Ставропольский край;2193666;15044329;0;1327018;0;0;0;41330;63235;120705;56225;3410;0;1106258;31388217;393402;572724;-4;29958269;16503;0;0;0;120753;5057;12760;0;-3237321;5;9;0;1373461;12750;1246249;5297926;184503;741;0;0;0;0;0;0;0;0;0;0;0;0;0;1389508;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1167319;0;0;0;225283;69853;1606621;185513;469666;1896105;22332;1;1326550;0;0;1;232242;124549;0;680377;0;0;0;423329;73266;5593311;178482;6572;30463;48713;-11;0;0;0;0;0;0;21591;124;0;24;0;0;0;0;0;0;2;0;0;-71;0;0;6;0;0;12;0;0;0;0;0;0;5;0;4;0;0;5;0;0;1115;0;0;0;0;0;14;377;-7;0;0;0;0;0;0;0;0;0;0;8;0;1;0;0;88;0;0;16397;0;31572;43665;1134;0;807;0;0;0;0
  Хабаровский край;2081681;16083612;0;878533;0;0;0;25968;186053;1013702;0;4140;0;6963;41427217;379916;328431;-13;18536897;0;0;0;-5376;0;0;0;11912482;210;0;13917175;0;0;0;3817512;1157297;0;8819;0;0;0;-41280;0;2413856;0;0;0;0;0;0;0;5764636;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;470706;0;0;162;38144;58216;2310803;577931;391471;1505356;4444;0;700478;0;-231;16276;174387;93953;0;144838;0;0;30;52934;19831;0;0;0;74512;4747304;0;0;228146;0;0;0;0;27594;10233;243927;13696;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;5;0;0;0;0;0;0;1657;0;0;1;0;96;0;-51;0;1;0;0;0;0;1;253;0;9;0;0;0;0;0;0;0;7;0;8;0;253;0;0;2;0;0;37119;130;75;11871;0;0;22612;0;0;0;0
  Забайкальский край;543102;5952922;0;2667491;0;0;0;1984;5094;565;0;0;0;0;21501820;121709;119539;0;-5631978;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74802;0;0;0;0;0;0;-3949;0;0;0;0;0;0;0;0;0;13707;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;225064;0;0;1;20526;60064;1186593;-19;112701;584764;2114;0;164475;0;0;27;66061;98116;0;56763;0;0;11;63268;52636;0;0;0;73038;3393618;0;0;362244;0;0;0;0;29811;77;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;4;0;0;0;0;0;9;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;14438;-2;226;10363;5;0;1098;0;0;0;0
  Амурская область;1684067;14033535;0;982860;0;0;0;6476;43015;494444;0;111083;0;43031;23823098;239858;247993;0;-45526206;-3731;0;0;0;0;0;0;0;0;0;0;0;0;0;24257;0;0;2498;0;0;0;0;0;0;0;0;0;0;0;0;0;653513;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;361225;0;0;78;52558;31586;2538095;195785;217468;779257;1260;0;366223;0;0;42770;493306;116537;0;153078;0;0;66;75721;14082;0;0;0;79379;4249129;0;0;73594;0;0;0;0;15259;5022;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13504;147;30590;7115;172;0;1476;0;0;0;0
  Архангельская область;881487;7163436;0;353573;0;0;0;17515;6801;92021;20;11;0;0;28451812;234088;261156;0;11868726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54477;6385239;0;967;-1;0;0;-257721;0;-274757;0;0;0;0;0;0;0;123133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;232106;0;0;0;38541;49057;1115777;718723;261590;1075099;1769;0;490772;0;0;0;95223;88030;0;61013;0;0;0;66497;46570;0;0;0;79558;31393;0;2304483;0;0;0;0;0;12866;899;61081;138;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;20;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;4443;20;845;8250;23;0;0;0;0;0;0
