GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43
Свердловская область;333 818 215;176 323 157;285 188 961;129 245 505;1 556 398;1 482 503;59 193 895;120 364 440;55 268 656;47 288 394;3 551 636;7 113 870;3 599 243;2 958 624;1 325 233;2 035 513;0;0;2 226 402;5 078 344;2 907 532;2 732 660;1 715 058;425 869;25 482;16 792;0;0;107 911;88 218;18 303;50 734;37 719;23 070;8 716;13 528;11 165;6 804;345;290;0;0;26 553;15 975
Смоленская область;42 852 185;22 012 993;38 864 469;17 727 256;179 738;80 805;11 041 485;14 151 171;6 392 873;5 054 337;660 791;838 845;402 068;323 743;253 508;257 214;0;0;407 171;581 743;305 720;285 173;252 652;76 172;4 612;3 594;1 700;650;7 471;12 651;3 048;6 309;5 505;3 425;1 303;1 599;1 754;975;74;48;9;14;2 870;1 895
Тамбовская область;23 497 529;10 351 469;21 934 330;9 480 489;76 874;41 792;14 135 852;15 605 471;1 685 361;944 961;840 215;908 855;248 354;140 069;318 515;273 549;0;0;521 705;635 326;209 675;124 090;95 798;27 787;1 340;2 117;7 936;5 300;21 846;880;3 517;7 169;2 781;1 351;1 509;1 513;1 067;331;87;5;34;36;16;16
Тверская область;48 847 470;12 822 951;45 584 195;11 540 874;200 287;92 298;26 748 776;32 632 283;3 870 087;1 305 843;1 604 839;1 956 202;583 683;197 194;635 318;569 513;0;0;959 496;1 386 319;499 075;175 959;222 825;37 105;7 369;2 991;0;0;1 813;50;6 838;11 932;5 761;1 762;2 677;2 504;1 612;407;5;2;0;0;0;0
Томская область;57 542 277;14 358 846;52 321 905;12 481 539;196 922;65 097;20 274 124;28 782 443;6 080 881;1 995 817;1 216 232;1 717 886;612 643;200 943;459 532;488 459;0;0;756 695;1 228 189;498 657;178 663;287 733;45 749;9 142;2 036;136;160;6 133;4 161;5 854;11 296;7 754;2 523;2 722;2 718;2 601;648;60;18;2;5;4 631;1 689
Тульская область;45 405 920;16 383 597;42 359 140;14 911 200;246 099;79 638;28 930 198;41 399 653;3 909 090;1 625 099;1 624 123;2 072 949;535 019;221 874;628 107;601 065;0;0;996 014;1 471 914;452 128;201 417;208 915;52 202;15 999;2 571;111 684;284 189;95 643;8 341;6 617;14 027;4 906;2 165;2 628;3 359;1 506;647;297;22;206;791;116;75
Тюменская область;129 327 256;68 512 604;105 150 127;42 591 239;362 826;314 378;21 570 728;27 690 221;26 231 342;26 468 065;1 239 459;1 640 872;1 324 682;1 315 330;491 646;456 469;0;0;755 647;1 184 336;1 026 528;1 214 016;707 492;180 795;4 323;1 713;55 005;1 641;13 425;20 294;5 777;12 264;15 072;9 455;2 715;2 494;4 671;1 995;159;125;42;47;5 404;7 282
Ульяновская область;41 244 306;14 095 033;37 629 206;12 306 613;112 506;8 757;25 866 941;30 157 720;3 914 334;1 784 836;1 092 456;1 205 645;464 385;193 975;414 801;414 422;0;0;677 660;791 143;387 958;173 678;178 186;35 701;5 768;418;459 689;564 907;38 681;17 113;5 670;10 942;5 086;2 077;2 475;2 540;1 732;530;161;26;445;1 672;304;189
Челябинская область;128 745 310;38 795 464;119 418 703;34 866 651;1 057 387;405 155;67 821 544;89 209 807;10 663 761;3 973 335;4 041 008;5 205 313;1 506 188;569 784;1 495 406;1 476 009;0;0;2 545 591;3 729 355;1 261 545;519 092;593 666;105 655;22 053;14 339;27 912;33 524;82 901;14 389;16 654;35 358;15 408;6 914;6 434;8 096;4 302;2 406;498;147;47;124;882;109
Забайкальский край;30 656 647;13 545 197;28 617 064;12 340 428;39 006;41 555;14 664 389;12 805 616;2 351 281;1 314 282;879 858;761 557;352 237;196 759;282 064;209 777;0;0;597 720;551 863;303 368;174 718;133 549;53 777;880;477;0;0;7 477;1 294;3 171;5 905;2 950;1 532;1 586;1 848;1 138;521;49;5;0;0;2;0
Ярославская область;58 153 099;12 241 128;54 381 084;11 230 731;647 311;96 494;25 657 440;30 394 718;4 614 269;1 230 891;1 512 208;1 790 920;660 138;176 905;546 300;520 197;0;0;965 909;1 270 723;558 224;161 523;285 075;36 105;20 369;3 771;27 223;21 154;8 819;613;7 263;11 491;7 225;2 158;3 029;2 351;2 176;580;44;5;41;85;87;27
город Москва;1 407 523 977;162 174 178;1 300 785 481;143 173 196;7 067 581;1 335 476;991 023 355;1 048 325 779;130 926 859;20 433 149;59 460 647;62 377 735;19 562 117;2 987 255;21 270 947;13 701 280;305 137;420 987;37 884 562;48 255 469;17 649 596;2 815 097;4 898 256;387 336;388 123;54 761;0;0;408 755;50 932;107 106;211 732;92 831;19 974;33 487;40 629;19 927;5 805;1 623;168;0;0;389;79
город Санкт-Петербург;771 239 893;153 268 234;643 601 193;109 753 957;2 825 536;1 355 474;250 910 843;312 147 813;135 991 816;44 246 503;15 053 578;18 637 310;9 589 451;3 101 977;5 424 631;4 509 639;0;0;9 629 200;14 128 219;7 876 603;2 925 880;3 420 059;346 050;78 479;43 114;0;0;85 846;34 619;38 132;85 200;59 893;20 592;12 456;14 393;13 012;5 312;329;143;0;0;45 027;14 453
Еврейская автономная область;4 619 002;1 536 657;4 708 199;1 405 989;14 541;7 311;2 490 081;2 672 165;347 975;156 825;149 404;158 532;50 100;22 953;52 382;47 768;0;0;96 991;110 759;40 939;21 753;26 627;4 779;9;293;0;0;1 353;0;450;899;538;217;201;152;186;39;5;0;0;0;20;12
Ненецкий АО;1 439 075;456 705;1 342 875;423 599;950;3 152;2 037 176;1 886 128;108 430;42 256;78 617;92 792;14 278;5 868;26 030;32 221;0;0;52 587;60 579;11 336;4 801;8 301;1 938;15;353;43 612;19 174;1 114;0;341;715;114;47;170;193;40;15;17;0;53;88;8;7
Ханты-Мансийский АО - Югра;73 577 903;28 874 941;64 130 759;20 626 400;343 059;124 364;37 375 546;50 995 046;10 208 260;8 402 239;2 213 546;3 029 763;627 889;455 344;866 841;764 301;0;0;1 346 697;2 264 653;451 988;407 862;457 542;95 348;9 904;8 069;28 800;8 220;12 039;11 110;7 600;17 650;6 669;3 738;3 413;4 905;1 993;1 051;125;48;216;179;3 068;1 988
Чукотский АО;1 528 612;174 043;1 531 811;165 607;10 950;8 101;1 887 608;1 829 591;88 858;37 692;109 036;107 996;13 158;2 751;44 374;27 283;0;0;64 663;80 715;10 940;2 690;10 173;607;42;0;4 220;1 625;87;2 514;246;409;109;42;108;92;31;15;2;1;15;15;12;4
Ямало-Hенецкий АО;30 890 594;21 658 878;25 043 808;13 547 564;107 287;135 068;11 153 945;12 364 072;6 093 003;8 141 500;668 280;735 446;309 339;409 042;263 618;201 904;0;0;404 693;533 577;241 156;386 602;167 484;49 930;2 126;840;954;2 639;3 532;1 481;1 462;4 266;2 410;2 663;588;1 259;668;614;22;19;26;65;1 662;1 974
Республика Крым;25 314 376;12 608 352;22 892 631;11 050 283;81 888;21 136;46 331 559;92 787 956;2 846 079;1 625 246;1 855 498;3 717 219;286 079;162 154;765 442;1 470 692;0;0;1 090 070;2 246 541;230 459;136 594;132 280;53 767;2 913;462;923 909;1 849 660;0;0;14 080;47 182;3 533;1 741;6 928;18 539;1 453;599;0;0;7 151;28 613;2 043;1 137
город Севастополь;11 976 181;3 666 498;11 078 240;3 317 361;19 708;14 713;17 186 106;26 840 953;1 306 943;403 389;684 738;1 067 888;126 736;40 407;274 896;417 594;0;0;409 858;650 285;104 186;32 955;60 009;18 106;209;321;346 361;533 434;6 287;10;4 904;13 125;1 485;672;2 494;5 373;525;267;52;3;2 377;7 543;931;391
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
