GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43
Архангельская область;49 762 393;16 559 873;46 341 012;14 907 154;387 831;100 442;27 807 181;35 122 604;4 006 220;1 675 173;1 668 434;2 084 174;600 931;251 123;550 697;620 197;0;0;1 117 742;1 464 273;515 491;226 280;228 128;46 851;20 175;4 493;0;0;21 266;644;5 938;14 721;5 017;1 988;2 787;3 710;1 494;512;151;8;0;0;0;0
Астраханская область;23 819 516;14 902 900;21 977 180;13 298 717;214 655;76 598;14 353 243;17 872 302;2 187 960;1 632 515;861 189;1 062 021;317 500;234 567;327 371;331 910;0;87;533 821;730 403;282 638;214 865;97 068;39 503;2 454;2 489;0;0;5 924;631;3 752;8 483;3 007;1 864;1 539;1 942;921;440;33;8;0;0;63;41
Белгородская область;47 696 357;21 448 846;44 515 466;19 697 516;432 613;125 279;24 777 129;27 817 954;3 725 395;1 929 646;1 437 789;1 662 983;536 112;284 004;572 880;512 495;0;14;864 980;1 150 706;441 337;244 920;230 314;75 746;16 342;4 374;49 783;62;3 735;1 307;5 467;14 337;4 751;3 453;2 210;3 038;1 284;923;22;7;21;0;96;43
Брянская область;33 849 787;13 576 254;31 149 090;12 087 769;113 594;19 578;18 530 198;27 367 138;2 830 684;1 500 833;1 097 849;1 620 361;422 177;225 254;407 401;480 124;0;0;690 447;1 140 203;365 258;212 898;127 059;25 127;4 157;1 225;13 962;21 560;0;0;3 778;13 341;3 367;1 648;1 434;2 887;1 016;439;0;0;8;25;9;1
Владимирская область;54 052 514;19 978 208;50 477 595;18 011 789;217 940;133 819;30 295 142;39 410 897;4 289 932;1 962 264;1 729 940;2 294 825;619 827;278 147;651 310;701 311;0;0;1 078 588;1 593 527;522 044;258 752;245 616;37 050;7 080;8 559;87 780;58 736;10 143;2 253;7 345;15 139;5 902;2 584;2 990;3 031;1 816;574;90;17;297;378;197;77
Волгоградская область;59 595 349;23 220 426;54 009 918;20 432 337;284 180;76 146;38 712 045;52 129 695;5 990 127;2 840 165;2 322 725;3 100 746;848 767;420 902;894 139;955 964;0;0;1 428 591;2 144 744;756 279;386 126;213 833;47 629;20 779;3 837;0;0;23 815;2 042;10 155;23 107;7 701;3 675;4 224;4 697;2 425;943;84;31;0;1;110;36
Вологодская область;67 369 384;17 619 846;63 302 072;16 246 849;411 150;132 057;21 270 941;27 382 824;4 607 413;1 530 042;1 276 257;1 642 853;690 543;229 412;442 930;543 450;0;0;833 326;1 099 415;546 299;201 161;344 235;67 166;61 672;19 801;0;111;0;0;6 470;13 345;8 349;2 956;3 056;3 131;2 541;1 031;0;0;0;1;6;2
Воронежская область;88 461 350;28 055 589;85 415 037;25 668 628;893 065;167 640;50 082 371;60 285 210;6 388 688;2 675 676;3 004 935;3 615 472;948 628;386 897;1 099 704;961 974;0;0;1 905 225;2 654 186;778 939;343 490;426 842;98 747;21 242;3 161;10;458;487;1 269;8 129;19 435;7 984;3 556;2 936;4 076;2 056;935;11;4;2;7;27;16
Ивановская область;71 583 900;23 607 099;66 049 148;20 183 962;315 113;106 389;14 822 056;21 657 733;6 307 778;3 262 861;858 631;1 248 023;688 651;299 455;303 919;364 763;0;0;554 714;883 240;559 096;271 445;335 999;58 099;14 231;2 160;30 700;23 342;25 231;71 008;4 560;8 766;7 323;3 174;2 020;2 273;2 150;989;90;64;96;152;569;201
Иркутская область;114 281 906;31 156 768;107 874 501;28 057 702;552 757;136 834;60 722 269;61 536 354;10 195 433;3 301 659;3 643 335;3 666 908;1 404 360;466 596;1 191 949;978 549;0;0;2 448 685;2 684 331;1 237 870;428 721;436 846;86 522;43 295;4 566;0;0;22 814;4 576;13 224;23 164;12 599;4 760;6 200;6 593;4 451;1 501;90;20;0;0;370;127
Калининградская область;178 133 201;29 188 422;165 021 937;26 315 651;1 107 071;171 857;40 051 233;41 113 841;15 082 448;3 076 664;2 391 838;2 429 837;2 259 843;460 173;743 936;722 367;0;0;1 647 906;1 707 580;2 068 498;437 966;484 643;46 579;78 128;7 596;11 035;8 720;28 807;1 038;8 503;14 837;16 171;4 011;3 657;3 959;5 451;1 365;85;1;6;47;4;3
Калужская область;38 487 410;16 889 207;35 810 497;14 970 350;233 938;91 806;25 067 257;31 257 006;3 336 532;1 991 932;1 504 033;1 875 416;427 304;237 012;530 061;540 668;0;0;973 977;1 334 718;356 267;211 822;184 063;46 471;18 804;1 879;0;0;1 659;46;5 072;12 106;4 243;1 953;1 993;2 767;1 271;498;1;1;0;0;230;114
Камчатский край;35 205 790;11 673 629;30 595 601;9 664 274;266 853;35 560;10 624 818;15 102 395;4 940 088;2 100 289;621 719;860 900;495 229;209 219;226 025;228 480;0;0;395 650;632 449;450 553;194 177;129 329;33 203;12 141;626;15 768;18 116;11 235;1 607;2 433;4 206;3 235;1 453;1 360;1 322;1 170;496;52;23;33;76;1 994;900
Кемеровская область - Кузбасс;76 135 703;13 575 628;69 819 752;12 197 088;500 386;72 561;50 766 745;50 708 198;6 774 623;1 398 704;3 019 478;2 998 657;996 097;200 811;1 143 439;827 050;0;0;1 876 034;2 171 980;875 409;184 555;305 159;34 069;20 379;3 923;17 632;9 441;23 318;1 398;11 248;20 221;8 239;2 299;4 332;4 298;2 517;591;174;18;36;51;44;32
Кировская область;68 861 985;21 905 525;64 362 749;19 697 309;262 800;368 670;24 402 503;33 979 991;5 150 260;2 237 750;1 464 034;2 001 949;767 471;332 035;566 887;699 963;0;0;897 149;1 302 168;644 804;308 456;317 330;55 670;12 117;13 000;0;0;20 708;2 844;7 307;16 477;7 904;2 807;3 326;3 348;2 440;672;191;36;0;0;0;0
Костромская область;37 154 441;19 272 898;34 979 773;17 402 737;501 820;65 623;12 924 939;16 845 339;2 681 078;2 032 874;775 498;997 740;395 043;294 820;291 746;335 157;0;0;483 743;662 546;335 238;276 663;168 163;41 845;20 909;5 200;0;0;11 660;1 146;3 452;6 724;3 908;1 920;1 633;1 537;1 173;454;30;2;0;0;54;27
Курганская область;20 804 148;8 725 022;19 258 228;7 918 007;204 919;43 750;9 842 074;10 209 115;1 667 132;876 916;590 091;592 642;243 508;127 163;227 470;180 085;0;0;362 616;412 553;204 597;115 185;96 172;22 281;3 202;815;433;169;13 805;2 760;2 560;5 118;3 035;1 435;1 124;977;1 034;335;37;17;2;2;24;14
Курская область;25 246 873;17 719 461;23 920 243;16 293 362;86 579;32 923;13 191 518;22 771 539;2 093 663;1 584 501;791 418;1 348 612;313 912;232 523;282 915;386 203;0;0;508 503;962 419;272 302;216 035;108 725;37 520;6 047;2 052;72;581;17 088;5 105;3 290;8 758;3 375;1 923;1 458;2 053;1 192;472;78;17;1;7;2;1
Ленинградская область;70 924 693;51 050 900;59 426 638;33 208 741;450 605;365 638;22 583 747;43 693 726;12 646 046;18 133 923;1 353 002;2 572 572;637 270;901 410;536 105;715 800;0;0;816 903;1 857 396;470 162;830 198;438 791;142 136;7 300;6 931;1 969;7 896;34 571;33 061;6 145;17 376;8 036;7 005;2 985;3 381;2 519;1 617;126;73;10;54;5 375;5 176
Липецкая область;45 673 333;20 432 839;41 712 941;17 663 518;331 296;179 903;10 233 097;17 779 001;4 692 806;2 927 866;612 383;1 037 344;609 589;357 444;225 699;280 543;0;0;386 686;756 854;522 455;335 151;202 728;45 056;14 816;14 001;319;611;10 836;4 126;2 207;7 058;5 031;3 378;747;1 541;1 301;935;20;23;2;8;411;428
Магаданская область;7 812 996;4 584 077;7 392 370;4 095 574;53 211;18 717;6 296 210;5 895 669;723 095;505 254;371 598;348 236;95 379;74 373;138 180;83 484;0;0;233 417;266 051;80 899;69 585;34 075;8 587;2 101;930;4 559;4 427;1 152;0;888;1 931;614;304;412;422;187;61;4;0;9;8;15;3
