GA;GB;G1;;;
Белгородская область;225 825 443 123,00;28 459 157 306,00;;;
Брянская область;124 903 667 399,00;15 650 191 828,00;;;
Владимирская область;184 107 372 027,00;23 154 617 967,00;;;
Воронежская область;341 835 905 868,00;40 527 467 971,00;;;
Ивановская область;89 603 893 078,00;11 177 577 000,00;;;
Калужская область;191 616 769 525,00;24 036 241 871,00;;;
Костромская область;78 603 246 239,00;9 778 977 661,00;;;
Курская область;141 346 288 533,00;17 863 648 010,00;;;
Липецкая область;170 270 529 995,00;20 752 078 516,00;;;
Московская область;1 915 521 554 641,00;245 273 654 024,00;;;
Орловская область;84 711 743 761,00;10 569 111 192,00;;;
Рязанская область;157 006 684 988,00;19 755 624 568,00;;;
Смоленская область;120 299 181 365,00;15 264 729 656,00;;;
Тамбовская область;98 829 725 698,00;12 401 987 373,00;;;
Тверская область;172 361 110 530,00;21 741 691 642,00;;;
Тульская область;224 196 490 470,00;28 406 887 938,00;;;
Ярославская область;218 615 624 921,00;26 485 837 323,00;;;
город Москва;13 200 979 608 211,00;985 002 070 469,00;;;
Республика Карелия;106 488 037 269,00;13 457 443 265,00;;;
Республика Коми;207 220 541 677,00;26 348 476 714,00;;;
Архангельская область;262 688 999 511,00;33 297 901 111,00;;;
Вологодская область;203 604 496 281,00;25 065 147 851,00;;;
Калининградская область;165 621 123 451,00;19 942 604 200,00;;;
Ленинградская область;357 690 487 111,00;45 486 540 562,00;;;
Мурманская область;233 674 702 412,00;30 058 366 580,00;;;
Новгородская область;86 160 604 069,00;10 803 080 421,00;;;
Псковская область;72 107 986 581,00;9 039 080 763,00;;;
город Санкт-Петербург;3 644 960 118 442,00;276 784 788 532,00;;;
Ненецкий АО;0,00;0,00;;;
Республика Дагестан;96 770 754 821,00;11 327 898 197,00;;;
Республика Ингушетия;15 938 239 118,00;1 760 804 902,00;;;
Кабардино-Балкарская Республика;42 023 011 399,00;5 158 350 952,00;;;
Карачаево-Черкесская Республика;25 313 832 945,00;3 105 416 301,00;;;
Республика Северная Осетия-Алания;37 919 482 802,00;4 719 120 778,00;;;
Чеченская Республика;52 868 479 424,00;6 074 048 795,00;;;
Ставропольский край;255 917 303 525,00;31 027 161 544,00;;;
Республика Адыгея;38 608 116 700,00;4 747 159 592,00;;;
Республика Калмыкия;19 264 556 282,00;2 369 353 178,00;;;
Республика Крым;205 565 254 097,00;26 110 942 162,00;;;
Краснодарский край;732 658 252 445,00;90 548 414 107,00;;;
Астраханская область;124 751 516 311,00;14 093 091 928,00;;;
Волгоградская область;283 251 498 364,00;34 303 742 514,00;;;
Ростовская область;522 954 687 276,00;64 413 879 259,00;;;
город Севастополь;60 813 342 186,00;7 759 434 227,00;;;
Республика Башкортостан;533 931 592 940,00;63 058 698 164,00;;;
Республика Марий-Эл;72 838 180 184,00;9 037 648 856,00;;;
Республика Мордовия;80 773 730 718,00;10 075 525 457,00;;;
Республика Татарстан;704 012 869 000,00;86 038 067 101,00;;;
Удмуртская Республика;256 611 917 231,00;27 699 233 649,00;;;
Чувашская Республика;146 364 308 872,00;15 618 616 732,00;;;
Кировская область;152 886 030 082,00;19 012 696 949,00;;;
Нижегородская область;586 213 234 379,00;72 755 095 035,00;;;
Оренбургская область;243 404 908 808,00;29 744 028 837,00;;;
Пензенская область;138 215 015 728,00;16 592 932 245,00;;;
Пермский край;432 177 884 964,00;51 945 161 443,00;;;
Самарская область;556 329 148 860,00;67 143 980 019,00;;;
Саратовская область;276 390 655 243,00;34 218 669 584,00;;;
Ульяновская область;142 743 558 214,00;17 564 930 911,00;;;
Курганская область;86 615 007 082,00;10 797 692 150,00;;;
Свердловская область;878 282 593 034,00;109 145 474 947,00;;;
Тюменская область;326 402 735 467,00;39 898 287 164,00;;;
Челябинская область;602 529 601 799,00;74 355 890 534,00;;;
Ханты-Мансийский АО - Югра;777 626 440 543,00;97 066 052 173,00;;;
Ямало-Hенецкий АО;442 193 217 460,00;56 867 478 341,00;;;
Республика Алтай;23 337 723 368,00;2 880 152 584,00;;;
Республика Тыва;33 901 381 995,00;4 173 389 911,00;;;
Республика Хакасия;69 007 024 029,00;8 639 635 397,00;;;
Алтайский край;237 177 959 239,00;29 263 564 732,00;;;
Красноярский край;643 156 622 914,00;79 651 657 629,00;;;
Иркутская область;465 290 676 682,00;58 057 241 535,00;;;
Кемеровская область - Кузбасс;482 551 611 621,00;59 723 863 721,00;;;
Новосибирская область;562 353 463 175,00;62 943 576 299,00;;;
Омская область;265 082 221 710,00;30 881 742 570,00;;;
Томская область;195 420 986 557,00;24 020 047 263,00;;;
Республика Бурятия;735 623 657 816,00;18 297 344 308,00;;;
Республика Саха (Якутия);347 842 771 889,00;44 681 506 729,00;;;
Приморский край;350 110 388 210,00;46 465 415 024,00;;;
Хабаровский край;299 998 007 848,00;38 299 421 379,00;;;
Амурская область;175 052 392 812,00;22 453 879 211,00;;;
Камчатский край;141 444 635 869,00;18 235 581 087,00;;;
Магаданская область;84 583 691 279,00;10 838 092 657,00;;;
Сахалинская область;247 858 968 713,00;32 536 929 196,00;;;
Забайкальский край;153 714 024 350,00;19 535 936 384,00;;;
Еврейская автономная область;22 900 250 367,00;2 934 585 442,00;;;
Чукотский АО;38 468 586 019,00;4 971 060 420,00;;;
