GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71
Республика Татарстан;15 187;60;0;882;0;141 058;759;67;18 139;17 636;6 089;4 666;3 603;1 828;829;80;154;14;54;7 528;2 754;3 937;16 378;1 512;9 901;14 704;20 637;1 553;331;107 093;289;194;0;2;22;54;128;70;67;33 105;69 169;43 057;92 531;189 220;55 047;57 814;12 519;13;4;149;42 360;64 505;7 450;71 334;10 806;129 611;309 178;1 281;1 534;1 067 709;521;5 449;0;910;152;2 037;2 587;1 574;15 676;10 845;0;242 678
Удмуртская Республика;5 348;211;0;225;0;40 381;195;2;5 119;5 068;1 361;913;685;263;103;6;37;37;16;2 209;828;1 738;7 090;593;2 715;2 430;4 982;345;93;29 516;76;43;1;0;0;3;21;11;2;2 989;10 824;9 962;13 893;21 397;4 357;4 876;375;0;5;20;10 186;16 292;3 247;32 085;4 422;30 447;54 910;242;284;199 357;154;554;1;0;0;146;141;112;18;16 900;0;26 434
Чувашская Республика;3 959;95;0;221;0;25 187;154;4;2 616;3 369;942;571;414;190;66;5;20;2;2;2 056;96;1 109;5 020;378;1 295;1 316;4 127;93;67;19 046;89;42;2;0;2;4;10;8;4;3 083;9 842;6 823;8 797;20 888;4 008;5 439;611;41;0;2;6 990;1 455;2 187;23 855;2 863;16 668;29 097;68;232;131 366;152;875;5;0;15;96;96;60;160;2 961;0;17 399
Кировская область;4 061;253;0;200;0;36 050;89;6;3 078;3 815;774;595;311;65;36;5;74;6;6;1 658;374;1 567;5 844;435;1 824;1 640;7 650;275;67;22 075;67;8;0;0;0;4;6;4;5;4 244;11 549;5 455;8 607;14 098;1 680;2 813;739;3;1;20;9 339;7 494;3 093;26 752;3 317;23 399;36 749;237;261;154 390;97;198;0;0;0;177;5;2;1 525;28 594;0;14 645
Нижегородская область;8 781;2 406;0;515;0;95 884;2 052;24;6 812;10 793;3 120;2 364;1 610;914;368;18;211;8;19;5 173;1 289;2 791;16 647;1 515;3 421;5 290;12 014;204;115;60 996;160;648;1;0;0;5;1 010;36;20;14 265;38 319;20 781;35 710;80 574;17 451;23 950;2 367;209;3;58;23 330;23 687;7 158;66 310;9 499;39 181;100 044;185;500;442 363;403;31 631;2;0;0;199;64 874;608;3 906;91 332;0;117 124
Оренбургская область;2 716;1 137;0;268;2 501;62 399;116;83;0;4 898;1 532;937;838;339;142;15;26;10;10;2 936;644;2 348;10 141;950;4 679;4 076;8 506;286;198;34 261;49;7;0;1;1;1;0;5;40;0;7 801;10 190;12 861;37 046;7 244;8 634;3 142;0;1;21;15 534;14 103;4 184;43 057;6 392;55 000;87 280;267;694;290 923;78;125;0;33;5;15;0;23;3 072;61 949;0;38 178
Пензенская область;3 355;2;0;206;0;28 440;59;7;3 834;2 756;760;484;332;157;54;11;51;10;6;1 911;280;1 270;5 992;447;1 445;2 215;5 149;77;56;21 804;41;3;0;0;2;5;5;3;6;5 805;8 876;4 872;7 532;18 076;3 293;3 376;2 595;2;1;36;8 838;5 028;2 497;27 851;3 430;18 245;47 042;72;207;158 155;103;84;0;0;43;219;5;48;728;1 359;0;35 098
Пермский край;8 531;0;0;441;0;63 402;787;23;5 915;8 393;2 394;1 567;1 635;547;251;10;76;18;17;3 803;1 323;2 131;11 033;1 141;4 719;6 151;10 824;589;356;48 977;160;180;1;2;8;7;135;155;22;31 738;27 566;17 575;18 510;31 434;6 816;8 126;723;9;7;22;21 319;15 037;4 225;50 186;8 224;57 545;103 922;209;495;378 010;100;1 800;0;111;17;112;2 485;1 662;1 886;0;0;24 251
Самарская область;10 410;56;0;554;0;105 421;676;52;17 575;15 707;3 359;2 463;1 622;951;377;26;79;21;26;6 408;1 477;4 237;15 700;1 627;6 412;8 279;13 661;388;354;84 998;245;203;10;5;7;38;19;77;52;20 727;44 172;20 286;37 430;82 708;17 519;23 523;4 349;7;8;68;22 216;29 329;7 959;79 965;11 825;83 509;182 512;361;1 511;626 017;450;4 443;11;1 508;90;2 305;462;2 113;3 529;6 048;0;102 566
Саратовская область;6 866;1;0;333;0;63 133;429;104;9 297;7 730;2 056;1 371;917;445;247;20;49;8;11;4 240;552;3 381;12 398;1 110;4 371;3 962;8 428;197;232;51 033;199;111;1;2;7;9;63;35;104;10 200;28 239;14 906;21 755;47 438;7 800;13 597;3 848;1;2;24;19 825;10 193;5 985;53 370;8 629;56 621;89 524;245;1 177;364 738;545;4 062;5;354;114;446;328;1 218;8 415;55;0;54 522
