GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77
  СЕВЕРО-КАВКАЗСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;17216;18;0;583;0;0;0;213;172407;439;77;22357;19692;4632;3008;3042;887;486;74;112;28;126;11011;861;7398;21375;2213;7776;12070;20016;48;104;113759;269;50;0;5;6;21;8;2;74;11641;28643;23321;40657;119558;13897;22938;9673;5;6;402;24646;9030;5650;60181;10545;67971;218029;19;292;616453;247;683;0;1578;38;509;4;0;3728;167;0;7402;0;0;0
    Республика Дагестан;3611;0;0;82;0;0;0;22;22578;224;10;4233;3291;620;328;520;90;69;7;10;4;16;1996;222;1828;2786;419;1200;1904;2308;11;12;19425;157;27;0;4;0;2;0;0;7;2510;3535;3384;3512;18226;1654;3503;955;1;1;27;4066;1913;1626;6042;1628;10053;30002;3;10;86555;138;366;0;1447;0;21;0;0;266;0;0;1147;0;0;0
    Республика Ингушетия;530;0;0;18;0;0;0;13;4009;6;0;573;453;77;48;85;17;2;1;12;0;0;510;17;69;173;27;131;335;457;0;0;2510;0;1;0;0;0;3;0;0;0;228;339;117;282;1169;139;49;9;0;0;0;638;80;28;158;45;379;1551;0;0;5041;0;3;0;0;0;10;0;0;0;0;0;55;0;0;0
    Кабардино-Балкарская Республика;1614;0;0;64;0;0;0;139;12415;9;23;1575;1953;575;236;304;61;31;1;10;1;4;956;74;488;1501;176;565;641;1020;0;7;8243;7;0;0;0;0;0;0;0;23;617;2484;2599;2704;9513;1019;1750;133;0;0;2;1053;269;88;1665;347;1616;5229;0;8;25347;3;0;0;0;0;0;0;0;394;0;0;227;0;0;0
    Карачаево-Черкесская Республика;1167;0;0;58;0;0;0;0;9426;8;0;1288;1243;193;215;206;49;26;6;8;0;52;645;37;236;1116;96;406;1055;940;7;17;6795;0;2;0;0;1;2;0;0;0;680;1953;843;2406;8141;661;1319;1022;0;0;225;1164;244;194;2025;278;2561;15628;1;32;36338;0;107;0;0;4;44;0;0;0;0;0;1173;0;0;0
    Республика Северная Осетия-Алания;1323;0;0;49;0;0;0;0;8610;11;0;1417;1374;311;169;256;44;47;6;3;1;2;634;37;454;1223;103;341;570;661;5;2;6739;11;0;0;0;0;0;0;0;0;713;2269;1203;1591;10341;527;1977;677;0;0;4;977;236;293;2090;354;2116;8753;2;5;29956;4;0;0;0;0;0;0;0;0;0;0;318;0;0;0
    Чеченская Республика;1169;0;0;0;0;0;0;39;16500;17;3;1889;1159;173;266;209;34;17;5;1;0;26;1085;30;152;695;101;454;873;1726;2;0;7113;4;4;0;0;0;1;0;0;3;995;1497;656;3290;7174;571;682;494;0;0;97;2185;236;132;1378;363;2998;11331;0;0;32331;5;35;0;0;0;23;0;0;24;0;0;0;0;0;0
    Ставропольский край;7802;18;0;312;0;0;0;0;98869;164;41;11382;10219;2683;1746;1462;592;294;48;68;22;26;5185;444;4171;13881;1291;4679;6692;12904;23;66;62934;90;16;0;1;5;13;8;2;41;5898;16566;14519;26872;64994;9326;13658;6383;4;5;47;14563;6052;3289;46823;7530;48248;145535;13;237;400885;97;172;0;131;34;411;4;0;3044;167;0;4482;0;0;0
  ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;51899;120;0;2901;0;0;3;256;490114;9154;204;57732;66180;17536;11186;8138;4048;2253;327;779;151;261;27296;5185;19894;71598;7865;20644;36209;63802;188;175;346197;2992;1222;43;8;51;141;1582;1276;167;43948;135055;117679;174811;431473;65271;122175;53548;58;30;814;72136;46881;23612;231464;49786;222838;757913;129;635;2295076;3385;47506;177;10361;307;4230;15930;114163;15754;9324;0;41413;0;0;6
    Республика Адыгея;1288;5;0;77;0;0;3;0;11407;6;4;2119;1886;468;330;236;92;59;4;40;0;6;721;43;350;1312;195;514;729;1800;9;20;8950;4;1;0;0;1;0;0;0;4;1450;3997;3070;4985;11613;1689;3469;365;2;0;9;1722;504;367;4186;1448;5964;16571;5;60;55890;5;8;0;0;23;0;0;0;525;815;0;2088;0;0;6
    Республика Калмыкия;999;0;0;32;0;0;0;68;8124;74;17;1619;955;213;76;70;24;11;1;31;1;4;659;21;295;1050;77;396;280;706;1;1;5759;38;6;0;0;0;0;0;3;17;1190;1955;1390;1088;2851;348;387;153;3;0;10;2870;363;448;3214;430;4549;5396;1;3;26481;64;90;0;0;0;0;0;250;222;0;0;501;0;0;0
    Республика Крым;4063;46;0;312;0;0;0;42;40374;441;20;5200;5052;1070;512;483;77;74;18;76;10;14;2602;536;1791;6328;723;1575;2489;5190;1;8;28480;82;83;12;0;7;27;34;75;16;2063;4058;5280;8811;18908;1403;4066;2190;4;2;14;6129;3498;2084;19727;3564;12058;33656;0;22;119856;65;868;12;0;43;944;823;2744;1926;452;0;2850;0;0;0
    Краснодарский край;18908;0;0;1157;0;0;0;0;190750;1658;71;20907;25326;7620;5208;3970;2141;1137;190;297;60;97;10259;1921;7393;25477;3254;7820;15782;22226;66;47;135760;516;311;8;5;31;67;113;201;47;18546;64982;55699;80284;220440;33806;62491;32805;29;11;364;30093;24198;8680;87034;24399;100068;390213;57;257;1105746;646;26610;51;9355;101;1187;667;39995;7743;0;0;20989;0;0;0
    Астраханская область;2814;1;0;148;0;0;0;146;22473;4221;4;3176;3653;784;451;389;118;57;5;84;21;12;1515;483;883;3018;328;888;1235;2474;10;7;16915;1664;402;2;1;5;15;1025;461;1;3295;10209;5717;7083;20337;2361;3406;919;6;5;40;4917;4943;1009;11217;2073;10086;25519;7;28;106464;1922;7803;3;730;34;765;10987;31155;414;5;0;1937;0;0;0
    Волгоградская область;7530;19;0;351;0;0;0;0;62242;921;60;9114;9282;2233;1362;848;302;168;19;102;25;29;3505;426;2916;11804;1002;3704;4660;9909;37;56;45556;239;126;3;0;3;10;271;80;60;6092;19542;13303;20909;41291;5229;9459;2492;8;7;47;9287;3998;3750;43962;7709;48090;105913;17;105;309051;180;4062;1;0;29;448;1138;1858;1499;5892;0;3912;0;0;0
