GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77
  УРАЛЬСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;48027;3205;0;3559;55;15;1;43;514190;6166;824;35726;54251;16123;13303;11170;4973;2174;216;398;197;467;20139;9505;11877;61608;10381;38801;65373;88936;4614;3328;349467;2032;665;13;1;37;84;1144;475;347;22248;103121;91353;160208;416537;79103;95188;25194;22;62;1261;89773;167835;17214;213584;63060;467551;1573412;2742;12360;3387685;2299;11581;16;140;283;2850;4672;10172;149158;154093;0;70632;132;11;33
    Курганская область;2674;101;0;142;28;0;0;0;29026;110;13;2841;2465;553;373;270;101;57;3;29;7;25;1670;124;1053;3914;358;1278;1732;4277;173;83;16692;71;7;0;0;1;1;13;0;13;2229;7282;4258;6044;12787;1806;3275;599;1;1;53;6120;1401;2056;17788;2665;16392;37939;142;363;116893;139;85;0;0;18;53;14;0;623;7839;0;1142;66;0;0
    Свердловская область;17422;1789;0;1116;0;0;0;0;137977;424;37;8680;22838;6509;4887;3813;1829;861;97;162;66;174;4926;1271;3896;18747;2931;6693;13518;19045;375;275;99435;174;63;4;0;11;26;4;14;25;2041;22122;31048;49580;123825;22953;30706;8907;8;17;370;18890;20941;2283;24826;6386;27114;234985;220;834;564554;211;738;1;0;58;755;2;230;1933;23788;0;11784;0;0;0
    Тюменская область;6270;1147;0;537;0;0;0;0;75546;997;89;3946;5209;2024;1524;1514;617;312;38;35;4;44;1952;923;1426;7927;1208;3424;6802;12250;882;333;37766;278;80;0;0;7;8;60;69;61;2688;15935;10807;16521;49066;8797;12861;3833;2;1;107;6673;7668;2720;34107;8801;46989;175790;395;743;377590;279;1262;0;0;35;200;452;243;12143;95517;0;7331;0;0;0
    Челябинская область;12732;112;0;708;27;15;1;0;93727;891;4;9411;11815;3989;3431;2075;1338;569;49;83;31;76;4500;921;3295;13570;1853;4778;9130;15339;283;320;68933;191;32;4;0;8;21;388;34;4;3431;16436;28965;52759;102832;25342;28569;8274;3;5;164;25460;21606;6456;60764;13585;64194;241070;231;1263;638462;207;515;4;0;74;621;297;34;762;16535;0;15131;66;11;33
    Ханты-Мансийский автономный округ - Югра;6371;35;0;845;0;0;0;0;126723;2229;456;8330;8074;2241;2400;2695;827;295;25;49;23;48;4834;4208;1634;14439;2672;15434;27288;24458;1583;1212;94381;787;224;1;0;8;23;455;200;19;8993;30610;13212;29729;103603;16045;16535;3260;5;8;107;27293;98084;2597;62877;20373;211529;708805;1062;6362;1317828;830;5563;1;0;65;980;3156;7176;7263;8267;0;28810;0;0;0
    Ямало-Ненецкий автономный округ;2558;21;0;211;0;0;0;43;51191;1515;225;2518;3850;807;688;803;261;80;4;40;66;100;2257;2058;573;3011;1359;7194;6903;13567;1318;1105;32260;531;259;4;1;2;5;224;158;225;2866;10736;3063;5575;24424;4160;3242;321;3;30;460;5337;18135;1102;13222;11250;101333;174823;692;2795;372358;633;3418;10;140;33;241;751;2489;126434;2147;0;6434;0;0;0
  СИБИРСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;56557;3266;0;3306;148;60;10;91;578659;10723;467;44673;61004;16420;11541;10253;4533;2298;766;408;132;393;30006;7445;15071;78477;10536;29868;50210;99388;2684;2592;370081;2003;1378;12;15;57;88;1657;1165;283;23916;89524;73501;127975;395888;71831;104699;32777;21;25;727;102437;87737;25430;291872;64827;356690;1260051;1217;8406;2904761;1222;23024;31;4098;234;1829;33138;24540;31484;131345;0;58479;298;105;24
    Республика Алтай;1049;19;0;46;0;0;0;0;8859;179;14;814;1222;270;128;157;36;22;9;4;1;2;615;43;201;1265;181;506;566;1611;36;74;5975;33;21;0;0;1;2;20;18;14;505;1878;810;1180;7010;600;1466;1246;0;0;3;1902;382;208;2597;544;2802;5297;13;180;25118;43;199;0;0;0;19;49;194;508;2407;0;339;0;0;0
    Республика Тыва;837;0;0;27;0;0;0;48;6853;64;11;735;1017;107;43;66;8;6;0;16;0;5;633;32;88;755;96;380;567;938;19;23;4540;15;10;0;0;0;0;0;0;0;448;1411;487;464;2267;198;192;0;1;0;8;1947;387;124;2079;518;3911;12835;8;70;26891;10;100;0;0;0;0;0;0;0;0;0;632;0;0;0
    Республика Хакасия;1475;8;0;74;0;0;0;43;14418;161;13;2130;2078;447;216;216;51;36;1;31;8;12;823;92;332;1927;228;696;1239;2652;64;74;10475;39;21;0;0;3;2;9;5;13;995;3371;1990;2185;8266;823;1712;45;5;2;22;2204;996;400;5639;1130;6675;33966;35;254;67847;28;241;0;0;16;78;3;64;537;765;0;1174;0;0;0
    Алтайский край;7712;0;0;387;0;24;1;0;82512;278;17;6549;7014;1851;1267;1103;523;293;35;65;13;11;4496;448;3202;12691;1254;3304;4831;12525;295;321;48269;131;39;0;0;3;8;22;0;12;4931;14857;6748;15732;46944;8791;13814;3618;4;2;35;24612;10917;6361;58961;9785;45373;129233;255;1159;374576;144;675;0;0;22;175;23;0;1511;0;0;5390;0;8;1
    Красноярский край;8841;2125;0;517;15;0;0;0;114348;3370;186;5229;8731;3154;2276;2135;1013;528;54;66;17;72;3428;1318;1922;12570;2102;6134;10418;18813;485;521;60186;527;562;0;0;11;15;480;191;83;1885;13273;13013;23469;71239;13344;19436;5310;2;3;63;9824;13685;2299;37357;10221;73987;269194;97;1960;540152;292;14440;0;0;35;201;11614;6582;14592;90929;0;12169;34;0;0
    Иркутская область;8711;15;0;638;119;0;0;0;89434;1380;77;6104;9628;2466;1822;1602;758;351;51;90;13;46;6257;1200;1734;13370;2427;6346;11967;19981;433;256;66803;356;340;5;13;19;22;160;242;38;3620;13227;11778;18765;54863;10971;14408;5173;3;2;38;14361;11411;2141;39577;13376;67817;331726;156;635;584268;93;2988;27;3548;69;452;579;2810;4425;2251;0;7545;253;0;0
    Кемеровская область - Кузбасс;6419;451;0;388;0;2;0;0;71776;377;22;5476;8079;2336;1512;1263;525;215;16;23;8;23;4098;2560;1497;8718;1151;3347;5456;14746;263;419;45618;141;35;0;0;6;12;56;15;20;2943;12390;15529;21970;55722;10403;11918;2697;1;3;32;11872;25835;2998;38997;8751;46430;142557;187;2149;387834;52;100;0;0;25;345;22;5;1569;14622;0;6126;0;24;0
    Новосибирская область;11526;156;0;604;0;0;0;0;92764;2356;64;7856;13345;3207;2543;2107;998;558;572;46;26;88;3915;653;2972;13142;1617;3024;6927;13308;458;407;62229;329;211;3;1;8;18;273;159;55;3463;13945;12125;28533;97194;18046;29637;11913;1;2;55;21579;14846;5969;58572;11625;41424;176918;154;584;486246;166;2696;2;150;41;271;6429;1944;2918;16194;0;12260;0;0;0
