"GA","GB","G1"
"Белгородская область","362 366 121 145","47 158 439 710"
"Брянская область","192 727 246 106","24 738 219 936"
"Владимирская область","291 643 615 041","37 570 476 114"
"Воронежская область","530 212 844 556","64 998 243 425"
"Ивановская область","131 158 590 404","16 774 244 127"
"Калужская область","274 945 859 311","34 588 100 639"
"Костромская область","168 945 498 111","16 098 750 394"
"Курская область","240 476 481 565","31 226 771 469"
"Липецкая область","256 868 764 689","31 766 589 278"
"Московская область","3 261 549 118 916","421 200 151 393"
"Орловская область","129 981 021 139","16 684 470 430"
"Рязанская область","243 561 269 384","31 263 892 652"
"Смоленская область","188 873 393 971","24 631 080 309"
"Тамбовская область","153 160 350 656","19 570 904 184"
"Тверская область","265 043 679 340","34 101 394 517"
"Тульская область","364 272 456 948","46 783 807 965"
"Ярославская область","319 464 441 163","40 260 401 279"
"г.Москва","35 742 698 889 950","1 788 030 986 429"
"Республика Карелия","153 816 962 820","19 866 711 919"
"Республика Коми","265 305 022 349","34 179 340 219"
"Архангельская область + Ненецкий АО","309 064 901 223","39 814 102 295"
"Вологодская область","300 547 668 372","38 268 754 409"
"Калининградская область","473 552 395 913","34 691 069 443"
"Ленинградская область","561 990 295 453","73 502 832 846"
"Мурманская область","356 610 540 694","43 998 111 379"
"Новгородская область","121 615 065 280","15 604 428 700"
"Псковская область","104 076 664 580","13 317 448 336"
"г.Санкт-Петербург","6 334 637 215 024","455 837 331 866"
"Ненецкий автономный округ","42 124 756 862","5 454 983 513"
"Республика Дагестан","152 340 445 092","18 525 116 933"
"Республика Ингушетия","22 069 684 424","2 578 636 565"
"Кабардино-Балкарская Республика","59 541 822 178","7 503 561 223"
"Карачаево-Черкесская Республика","38 184 178 413","4 770 692 215"
"Республика Северная Осетия - Алания","56 254 589 872","7 087 551 977"
"Чеченская Республика","80 726 991 571","9 675 710 227"
"Ставропольский край","377 415 455 852","47 975 423 298"
"Республика Адыгея (Адыгея)","59 042 625 026","7 544 509 051"
"Республика Калмыкия","29 563 076 411","3 722 248 195"
"Краснодарский край","1 314 994 577 480","168 448 676 253"
"Астраханская область","165 536 083 953","19 515 296 952"
"Волгоградская область","403 926 829 766","50 995 958 839"
"Ростовская область","895 313 950 879","110 482 546 010"
"Республика Крым","281 964 136 085","40 685 123 343"
"г.Севастополь","99 903 442 595","12 891 797 813"
"Республика Башкортостан","776 835 709 204","93 803 769 855"
"Республика Марий Эл","112 263 591 814","14 310 024 560"
"Республика Мордовия","126 930 393 665","16 166 901 156"
"Республика Татарстан)","1 265 205 090 519","152 424 723 194"
"Удмуртская Республика","334 558 616 638","41 841 416 117"
"Чувашская Республика","230 539 130 398","26 731 136 742"
"Кировская область","229 132 748 433","29 257 960 428"
"Нижегородская область","928 068 238 774","117 312 347 696"
"Оренбургская область","347 031 628 516","43 645 049 849"
"Пензенская область","213 760 640 260","26 664 832 861"
"Пермский край","666 710 859 928","82 769 667 405"
"Самарская область","837 083 433 624","102 143 554 217"
"Саратовская область","431 628 420 920","53 594 756 831"
"Ульяновская область","217 139 220 336","27 411 374 257"
"Курганская область","137 872 898 756","17 639 860 968"
"Свердловская область","1 662 425 724 786","178 505 730 350"
"Тюменская область","466 894 790 035","59 534 278 166"
"Челябинская область","854 481 686 058","107 555 124 090"
"Ханты-Мансийский автономный округ - Югра","1 031 322 873 060","131 615 614 075"
"Ямало-Ненецкий автономный округ","738 647 325 692","96 754 965 270"
"Республика Алтай","38 772 458 492","4 752 460 951"
"Республика Тыва","49 583 803 731","6 386 289 465"
"Республика Хакасия","108 356 501 999","13 982 066 481"
"Алтайский край","363 835 036 771","45 271 840 549"
"Красноярский край","1 040 449 213 493","130 982 379 079"
"Иркутская область","761 041 748 773","96 940 376 526"
"Кемеровская область","698 438 407 759","88 813 748 475"
"Новосибирская область","1 123 135 968 770","111 044 343 605"
"Омская область","385 999 866 190","47 507 255 193"
"Томская область","297 828 421 653","36 956 524 426"
"Республика Бурятия","174 474 915 805","22 257 271 501"
"Республика Саха (Якутия)","514 197 837 568","66 751 356 102"
"Приморский край","632 798 859 555","85 553 404 529"
"Хабаровский край","442 198 709 290","57 090 315 637"
"Амурская область","277 560 507 142","35 555 437 262"
"Камчатский край","195 635 437 304","25 645 170 240"
"Магаданская область","122 882 598 734","15 982 525 300"
"Сахалинская область","281 553 148 898","36 917 127 011"
"Забайкальский край","243 866 647 804","31 199 386 676"
"Еврейская автономная область","33 163 721 901","4 259 296 327"
"Чукотский автономный округ","66 227 036 307","8 604 098 760"
"Донецкая Народная Республика","X","X"
"Луганская Народная Республика","X","X"
"Запорожская область","X","X"
"Херсонская область","X","X"
