GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155
   Республика Адыгея;22751391;22716360;2268;2296363;2296189;22961887;308;22815;22485;247334;17;24356;16430154;16398568;81966819;2143;0;251230;251230;1507385;99;1148;1148;5738;1;0;0;0;0;27407;26253;131265;45;3158537;3157769;20124223;1098;393638;392399;457;12880;16829;6;540048;538958;691;23073;20129;160;0;0;0;427;427;9;16;16;1;0;0;0;19347035;19371664;2105;15059958;15101081;2085;743545;729338;109;10373;9485;22;563727;563971;441;27647;26041;39;2924180;2924160;1019;17139;17122;20;0;0;0;0;0;0;46584;46543;19;4055397;3993142;2324;0;0;0;667735;670814;64;8148;8282;1;1274445;5361347;1072271;141683;28338;10360;1033573;5;1;0;0;0;1;1;0;587381;117477;13322;2665;7219;107593;0;0;0;0;5948728;1189748;155005;31003;17579;1141166;527438;105486;27;5;0;105481;105;0;0;0;105;23999;551437;0;0;0;0;1274445;46543
   Республика Башкортостан;742625439;738809070;46970;25224770;25181675;251816634;3997;6231;6183;68007;32;1780560;527521888;525430999;2627240246;45538;-36899;5133656;5143001;30858012;759;1529;1529;26982;10;0;0;0;0;702912;699971;3500990;301;155418937;155449563;949419701;19208;24374745;24263699;8365;1219569;1219858;79;26871903;26704967;12313;747985;741094;5029;0;0;0;2429;2220;39;-197979;-233122;32;1451;1217;13;686614100;683223224;45124;503324673;500477324;44779;6996713;6868242;866;1454568;1453689;342;27756382;27690964;7948;681638;677819;289;145782112;145525601;17540;763774;620041;507;1490;152;5;10759;9745;7;6808758;6818640;268;79766533;79148561;49803;0;0;0;30546511;29843253;562;7396695;7399440;95;348891327;66870947;13374192;16498887;3299777;1432318;8642097;724387;144877;101959;20392;16763;107722;36;0;46511399;9302277;27464869;5492974;13825;3795478;0;0;0;0;113382346;22676469;43963756;8792751;1446143;12437575;96861537;19372308;445297;89060;47438;19235810;14566;46274;9255;6033;-722;2277985;99139522;118640;8695;25;0;348891327;6771659
   Республика Бурятия;43067448;43046701;3572;4521341;4515748;45157616;709;1;1;9;1;-2622;27963764;27933413;139669803;3314;24;66569;60626;363753;62;0;0;0;0;0;0;0;0;291300;291300;1456499;31;8419662;8441763;51444503;1235;1583616;1591888;571;17290;95636;5;1807410;1803331;1055;13624;11942;469;0;0;0;417;417;8;5555;1182;2;0;0;1;41288039;41188051;3335;31374549;31385103;3288;528939;530318;113;64505;64505;24;1610369;1609058;514;291300;291300;31;7412087;7305093;1106;3868;3488;48;0;0;0;348;348;2;3868034;3869026;191;6544734;6470691;3766;0;0;0;8598351;8457573;300;110296;110296;10;103457464;14224188;2844838;2232033;446407;205430;2193001;0;0;0;0;0;0;0;0;1309463;261892;6899;1380;168;260344;0;0;0;0;15533651;3106730;2238932;447787;205598;2453345;1435788;287158;34611;6922;0;280236;36713;0;0;0;36713;202074;1637862;0;0;0;0;103457464;3865209
   Республика Алтай;20477550;20443521;1152;2237877;2237533;22375365;172;615;615;6763;1;7986;13923966;13892161;69460800;1112;4;159271;159271;955628;26;0;0;0;0;0;0;0;0;577;577;2887;7;3118685;3122795;22005027;477;1000537;1002981;228;0;0;0;1031658;1030409;382;21486;21486;76;0;0;0;44;44;5;2698;249;2;3;3;1;17988609;17988252;1078;13876803;13877652;1070;174789;174248;23;36652;36804;5;1151410;1154443;210;577;577;7;2742053;2740840;452;3688;3688;19;0;0;0;0;0;0;189551;189487;24;2859619;2817392;1141;0;0;0;592310;526897;39;773;0;0;5749614;976143;195227;106500;21299;9857;164071;0;0;0;0;0;0;0;0;6490053;1298009;4307268;861454;2307;434248;0;0;0;0;7466196;1493236;4413768;882753;12164;598319;576217;115244;1850;370;0;114874;0;0;0;0;0;0;576217;161805;23436;1;0;5749614;189486
   Республика Дагестан;39594074;39236414;5362;2467202;2464079;24640787;541;1408;1448;15928;14;130335;30669030;30493661;152468998;5046;-276;55862;55918;335508;90;1558;1415;15679;4;0;0;0;0;10302;8969;44844;15;4437528;4396271;27095032;1394;1143275;1136945;811;0;0;0;1822158;1804598;1101;36179;36032;97;0;0;0;0;0;0;395;395;3;0;0;0;33255832;33015034;5020;27462877;27283780;4934;610704;595004;188;115000;115370;45;1459952;1440541;855;5985;4652;12;3582436;3557100;1173;18745;18613;31;0;0;0;0;0;0;44969;45464;23;7092859;6940015;5306;0;0;0;758257;706848;82;4361;4377;3;6432487;10384851;2076970;3013412;602682;89865;1384423;24971;4994;747596;149519;2290;-146815;16;0;2352275;470456;55292;11059;50415;408982;0;0;0;0;12737126;2547426;3068704;613741;140280;1793405;1606782;321356;41600;8320;56327;256709;9258;4758;952;162;8144;2151405;3758187;113137;0;8;0;6432487;44896
   Республика Ингушетия;6386311;6000236;1049;142345;142284;1422835;52;6;6;65;1;62023;5342447;5036484;25208349;1005;0;159966;161667;970001;16;0;0;0;0;582;582;2912;3;963;698;3492;2;528118;510521;3057828;129;135884;133881;96;0;0;0;150441;148454;122;238;238;11;0;0;0;0;0;0;0;0;0;0;0;0;5928364;5636402;1008;5233037;4955669;994;46525;46525;17;0;0;0;153631;153463;93;963;698;2;493701;479541;115;505;505;1;0;0;0;0;0;0;10391;10391;3;675479;559958;1025;0;0;0;206807;183511;13;4292;4292;5;74451;179314;35863;79955;15991;3562;16310;68911;13782;0;0;0;13782;9;0;2476;495;54241;10848;0;-10353;0;0;0;0;181790;36358;134196;26839;3562;5957;88459;17692;0;0;0;17692;17692;0;0;0;17692;0;88459;0;0;0;0;74451;10391
   Кабардино-Балкарская Республика;22426330;22361301;2719;1950286;1940383;19403831;591;39163;39137;430509;9;9858;17118242;17075726;85378941;2372;-478;58109;65306;391835;72;0;0;0;0;0;0;0;0;17336;17336;86681;16;2465371;2454041;15244604;791;433374;430729;382;0;0;0;768423;765690;550;10347;10645;84;0;0;0;136;136;3;295;295;3;0;0;0;20500965;20569619;2570;17113086;17202631;2536;516375;511539;117;40410;40410;17;485798;482070;391;17224;17224;15;2327088;2314763;653;7587;7587;11;1;1;1;0;0;0;22354;22354;7;2283440;2147680;2667;0;0;0;382980;361243;55;47;47;1;1046271;4803393;960678;729895;145979;7501;807198;825;165;825;165;825;-825;2;0;782069;156413;12369;2474;9098;144841;0;0;0;0;5585462;1117091;742264;148453;16599;952039;956155;191232;69157;13832;4788;172612;14473;41323;8265;2640;3568;7714;963869;47093;5220;13;0;1046271;22354
   Республика Калмыкия;3983990;4055559;691;126813;124546;1245465;126;10911;10911;120016;6;-88265;3525818;3518217;17590367;619;0;21781;17058;98232;32;-119;0;0;0;0;0;0;0;1964;1964;9821;7;279129;276999;1795932;175;91285;91199;108;0;0;0;105839;105779;140;5549;5399;87;0;0;0;0;0;0;0;0;0;0;0;0;3061026;3135972;601;2672070;2749836;593;200;200;1;12964;12964;9;100888;100625;101;1964;1964;7;267948;265634;158;4749;4749;9;0;0;0;0;0;0;3135;3135;3;1683501;1680011;751;0;0;0;754323;754360;9;12118;12118;3;107999;630263;126050;157563;31513;1087;93450;0;0;0;0;0;0;0;0;30604;6121;7172;1434;515;4172;0;0;0;0;660867;132171;164735;32947;1602;97622;28117;5624;0;0;0;5624;0;0;0;0;0;313;28430;0;0;0;0;107999;3135
   Карачаево-Черкесская Республика;18270625;18290433;1779;1226452;1224923;12249232;232;4730;4730;52033;7;-84590;14371538;14318198;71580937;1634;59;35165;38407;230445;55;217;217;11179;1;0;0;0;0;47225;46108;230539;10;2288812;2249320;13828734;533;325195;319219;222;276;276;2;381063;374837;360;4263;4254;45;0;0;0;61;52;7;1113;1113;2;170;170;1;16151902;16401332;1672;13081171;13322490;1651;389264;386484;34;76772;75680;29;671561;680981;242;47225;46108;10;1890159;1893839;480;3057;3057;8;0;0;0;0;0;0;723;1171;9;2477241;2214703;1797;0;0;0;328620;320432;10;18502;18502;4;1348596;882803;176559;200639;40126;7151;129282;19452;3890;2940;588;0;3302;12;0;506790;101358;67;13;970;100375;0;0;0;0;1389593;277917;200706;40139;8121;229657;188370;37674;907515;181503;839;-144668;0;0;0;0;0;13852;202222;0;0;0;0;1348596;1172
   Республика Карелия;56614351;56584210;4751;1989518;1989421;19894210;520;11;11;116;1;68326;46657574;46709654;233547893;4598;0;166625;166250;997504;85;-1447;0;0;0;0;0;0;0;98232;67101;335506;82;6167593;6155073;37713901;2168;1169959;1198973;892;166913;166935;10;1465506;1491825;1409;182352;83168;1088;134;0;0;1071;209;5;4655;3639;4;-2;0;0;39779873;39853197;4554;31074958;31183626;4500;1576272;1576699;179;204672;204672;42;1076350;1077261;797;97825;66694;80;5571858;5567430;2085;176735;176815;143;0;0;0;3485;3485;1;1538292;1537731;224;20126785;19949932;5317;0;0;0;4543423;4569580;447;236544;236544;17;51132373;7176034;1435211;1705680;341133;251034;843044;0;0;0;0;0;0;0;0;4460192;892037;67750;13550;10098;868389;0;0;0;0;11636226;2327248;1773430;354683;261132;1711433;3371490;674298;34639;6928;1884;665486;879;0;0;0;879;1896013;5267503;0;0;0;0;51132373;1536482
