"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G74","G75","G76","G77","G78","G79","G80","G81","G82","G83","G84","G85","G86","G87","G88","G89"
"А","Б","1015.2","1020.2","1028.2","1033.2","1087.2","1090.2","1095.2","1100.2","1105.2","1110.2","1115.2","1120.2","1125.2","1129.2","1131.2","1132.2","1133.2","1136.2","1140.2","1143.2","1145.2","1150.2","1155.2","1162.2","1165.2","1168.2","1177.2","1179.2","1180.2","1181.2","1182.2","1185.2","1190.2","1195.2","1200.2","1201.2","1211.2","1220.2","1227.2","1233.2","1237.2","1238.2","1240.2","1243.2","1255.2","1256.2","1257.2","1258.2","1259.2","1261.2","1262.2","1263.2","1270.2","1295.2","1301.2","1310.2","1320.2","1321.2","1322.2","1326.2","1328.2","1329.2","1335.2","1340.2","1345.2","1350.2","1355.2","1363.2","1364.2","1373.2","1382.2","1383.2","1388.2","1395.2","1400.2","1405.2","1430.2","1433.2","1460.2","1465.2","1470.2","1490.2","1496.2","1497.2","1502.2","1505.2","1506.2","1512.2","1513.2"
"1","Республика Адыгея","685476","636613","43006","5857","2464731","1219347","8416","730574","0","204956","37","18265","16172","6265","0","6249","153412","185484","18895","894","0","894","27192","0","91250","97329","105978","0","0","0","0","0","26909","0","127","127","16748","52766","146038","2901","2118","47","1967","98684","396982","208280","149426","39275","234824","105034","8955","120835","923347","2897642","1454564","911029","1013798","847477","2050","11276","490096","207","11310","72406","82398","275915","69134","238905","53709","59843","95813","42134","727","52952","342490","603434","716665","2145","1530988","2710576","2159559","526941","141568","140150","36984","49980","83","39568","0"
"2","Республика Башкортостан","5324628","4961450","340169","23009","48651192","3036897","637023","709049","275323","551839","16062","354818","557840","33830","319","15851","613671","306831","116984","3863519","0","3863519","7276020","984350","1484094","2831954","3750880","7188","0","0","13842","1187507","56980","37865","11957","6238","937153","1524519","4462240","2244187","11022445","66287","10673300","2681059","9006270","5001402","1996738","2008130","2112608","1199010","158891","754707","14567568","25920234","10660652","13302247","20455077","16403107","251123","68685","5476665","164086","35410","3131920","720554","3161159","296121","5542707","364827","1505596","740798","493550","32360","214888","3623544","10971981","4180196","31192","11306969","22962451","21494847","3870534","1306077","1502871","337295","678029","893","232824","0"
"3","Республика Бурятия","987269","367508","570670","49091","6960065","704810","255927","40084","0","24922","0","11792","36540","4881","0","3712","82568","363735","36661","0","0","0","42925","10691","50595","363193","210006","0","0","0","103","4171","0","0","0","0","340497","3808","15943","803","4468074","520","2554047","187621","2380670","1822759","0","557911","443765","252713","25991","165061","1436061","5355685","956882","3798696","1984701","1261888","15447","10937","0","4361","148931","372330","197191","816822","205728","437312","44357","167288","109544","66962","462","42120","525925","1337908","1153122","9562","4449494","7260793","6691368","1235501","413150","322328","45391","146931","258","49024","0"
"4","Республика Алтай","301307","218990","78555","3762","482215","106189","20628","38494","0","3855","0","1515","40884","235","0","62","20002","0","5326","5091","0","5091","7811","206","1390","61951","90963","0","0","0","0","0","9066","0","0","0","59","850","455","44550","72","66","6","90811","208115","61928","35707","110480","97452","65738","3924","27790","913870","961079","303505","590312","624291","212891","27944","1605","0","4456","87870","254188","64886","951059","743509","139422","19600","74590","55617","54219","0","1398","150656","327571","163329","1417","1719997","2465519","1702719","855309","586277","57702","7877","18661","0","12470","0"
"5","Республика Дагестан","1038745","868744","69468","100533","2840653","160024","34157","9052","416","606583","0","23670","33509","75612","0","74303","26561","7692","13422","49952","0","49952","14168","15313","49192","445340","327062","0","0","0","244","67","207","207","591","379","67087","60887","121204","880","471902","520","456803","270593","2216194","1283307","75531","857356","207212","93815","36358","77039","2172230","5524987","1167194","4122230","3002628","1835718","8343","75616","962479","52433","6621","793120","314736","703112","109369","579210","131305","159472","155832","118029","2930","34873","503348","1281003","942687","8990","5712230","14824105","10105464","1472575","590480","277850","38463","119911","559","114459","0"
"6","Республика Ингушетия","263173","240232","22893","48","122813","47543","37963","446","-17","4187","0","42","6730","-51","0","-51","9067","119","1176","0","0","0","3821","0","1202","8160","32639","0","0","0","0","58","16659","0","3288","0","109","0","1129","0","0","0","0","6940","194929","122095","70325","2508","83495","79230","1423","2842","368318","450031","131824","291359","183757","90451","376","6065","0","358","38","41888","51022","47259","15125","102603","11639","31403","7017","6652","0","365","40350","126003","161967","809","1023958","2678891","1508910","352146","135578","35545","2245","13394","0","14114","0"
"7","Кабардино-Балкарская Республика","829429","779998","21989","27442","1270678","270943","10446","96068","230","169806","1950","15827","223229","4779","286","4138","10578","35185","5361","160","0","160","53871","2639","19905","126907","116255","244","0","140","1367","0","22512","0","0","0","25050","62132","43073","16762","189","116","0","66077","1191514","653772","333086","204655","184965","167312","4379","13274","518653","1624841","578182","976638","534739","289621","2153","13209","75","0","19","109991","135108","299204","70046","225059","16051","26488","41708","31132","495","10081","173862","521182","394627","2284","2426483","4074234","3413488","428019","145785","159109","13905","56310","278","43212","0"
"8","Республика Калмыкия","661347","613399","41210","6738","706747","114991","34794","326","0","32649","0","36073","168935","16958","0","14037","26728","6450","22592","2332","0","2332","21521","579","19253","47093","32767","0","0","0","0","0","421","0","0","0","54558","2289","10485","56","1051","0","380","89387","461118","312736","96597","51785","150096","87162","27985","34949","668689","5143179","567310","4423458","648287","339955","1519","30631","41706","11158","2074","209216","85884","642249","78042","284506","28727","35833","65615","31950","555","33110","527345","619746","902113","14838","1359793","1981342","1324862","293708","119275","122533","31029","63618","0","19031","0"
"9","Карачаево-Черкесская Республика","619098","597632","19323","2143","1580834","247107","95093","91540","2291","333868","0","87999","217887","4981","78","4629","13650","1284","6055","0","0","0","3472","17305","125580","432264","5467","0","0","0","0","0","0","0","0","0","8321","34635","10577","868","0","0","0","29514","765746","450504","197204","118038","125639","87137","13578","24924","396284","982793","284209","650164","350726","221340","1389","3466","9912","33","0","63188","66165","237390","120575","125984","19879","24483","30029","16301","104","13624","104676","381969","161823","693","1520253","2588165","1655359","246700","69505","58663","9413","18502","0","45506","0"
"10","Республика Карелия","2048026","307509","838205","902312","6004038","478824","15310","131624","0","51687","0","7644","46289","2669","0","2068","718271","2404444","17657","0","0","0","69794","111","24887","516851","921648","0","0","0","0","40082","30112","0","187071","0","12036","17094","89853","23369","225033","207422","0","375877","1759356","1243373","124881","391102","434942","285772","12721","136449","1407432","2510244","616470","1381977","1946734","938856","6478","14939","0","70600","1359","754421","181498","908702","227648","571256","28861","128795","66818","29512","18618","18688","890233","1136065","579924","4395","3990927","4850431","4809065","877944","164389","302350","48404","146752","0","37208","0"
"11","Республика Коми","941071","442151","493132","5788","8120578","853320","480407","78423","103","292182","0","210541","19721","6188","0","6133","2056056","2287776","30009","392217","0","392217","7276","0","146264","141179","81169","12646","0","0","92","0","0","0","0","0","1410","28873","56228","1025","896","0","710","1508248","3850934","1824476","309493","1716965","994251","737732","2276","254243","2094315","2915455","759950","1748856","11307364","9841113","61285","21264","7408722","80575","527837","585261","272578","1075917","66120","527817","46964","132303","115996","100371","2247","13378","1160180","2176962","2198664","11881","6117423","8105351","8113515","1338122","293744","450556","86805","172269","0","39316","0"
