GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31
Республика Адыгея;20517257;20809503;3064;105637;102455;319;3364;1935;4;17947047;18260965;2761;1578;1578;3;72307;71278;64;2885189;2861573;3226;1216774;7456326;1342138;610300;109853;49085;1183200;883284;0;1216776;69693
Республика Башкортостан;701081416;672145439;62982;1101205;944106;10922;694767;459661;103;621568479;588391944;59609;293371;200481;37;52194333;41633727;911;69213562;70044980;70623;473430503;178073216;32053180;92701448;16686263;2094711;13272206;20620758;2475524;473402994;41524755
Республика Бурятия;34595039;34619921;4989;41782;39886;884;4566;2233;17;30699427;30772278;4426;345;345;7;3289304;3288541;346;4875010;4795756;5553;60785161;16651204;2997218;3011923;542146;353455;2101617;3050240;369925;60785162;3279622
Республика Алтай;27867744;27977946;2356;8320;8290;115;5897;0;0;25471599;25634797;2192;1469;0;0;754934;763159;46;2517544;2428756;2343;8600909;11070670;1992718;4933524;888034;284980;819704;1192000;0;8609671;750843
Республика Дагестан;35590271;35741245;6446;77145;46007;168;50449;1576;3;30967803;31023788;5889;107;0;0;129180;132351;47;5222820;5254990;6380;4126714;16154849;2907876;2892310;520617;189101;2198158;1396280;868087;4126717;132351
Республика Ингушетия;7494191;6328661;1195;9855;9613;6;0;0;0;7356743;6230008;1095;0;0;0;0;0;0;518683;479571;1162;3587;645298;116151;530483;95487;56;20608;465031;0;3587;0
Кабардино-Балкарская Республика;27159911;26450822;3549;2349;5215;176;2116;2717;6;25181528;24693592;3284;-1194;0;1;23530;26101;27;2241880;1997115;3563;1013328;6150795;1107145;891735;160514;25271;921360;334351;1915;1013327;25849
Республика Калмыкия;5394529;5568701;1151;1556;1494;144;0;0;0;3748725;3969717;951;0;0;0;567;567;3;1740244;1737370;1244;17495;789201;142056;374685;67441;17946;56669;35917;37;17496;567
Карачаево-Черкесская Республика;29599921;29293565;2365;5089;5089;84;143;34;5;27348257;27086186;2155;0;0;0;98835;98889;43;2304825;2257230;2351;1590257;5256437;946158;1194219;214959;25730;705469;67548;0;1589596;98889
Республика Карелия;47834500;47878911;8044;90746;90536;2475;5226;3359;10;40268416;40292970;7385;4447;2507;6;3815279;3808408;413;7769376;7750120;9744;53270319;13902221;2502396;2989516;538117;203908;1760371;3502390;81694;53273263;3808352
Республика Коми;139818635;139699025;7060;480307;467227;4588;6908;3678;3;105687986;105643356;6442;3358;0;2;24043592;23838325;227;26999278;26924754;11149;325455465;40245589;7244207;2794807;503065;167957;6573185;5030514;15776;325455465;23834304
Республика Марий-Эл;74323969;73337217;8383;19979;19704;931;4524;925;10;66363214;65526709;7798;386;18;4;750447;750333;150;8971784;8819237;9058;9181682;21194296;3814976;9200267;1656050;557394;1601532;2869125;826444;9168330;748779
Республика Мордовия;69593377;69810778;9345;56596;54814;1056;400;28;3;60909206;61201151;8550;197;0;0;419213;420709;130;10147588;10078323;9837;11374194;43665429;7859769;29784409;5361195;254001;2244573;1428600;2257;11507487;420687
Республика Саха (Якутия);96332553;96203333;5977;266977;272998;1327;169525;5319;4;82708300;82806543;5291;74618;1382;1;19297833;18975730;203;18527614;18338118;6845;348196212;85510595;15391907;13042081;2347580;1069102;11975225;36890007;695784;348196212;18881389
Республика Северная Осетия-Алания;16931415;16789453;2785;6803;4761;294;10162;5751;4;14837304;14800677;2528;5210;4253;5;113225;116806;99;2427708;2333247;2986;1781888;4322381;778030;624945;112489;33208;632333;620432;1015;1781886;111734
Республика Татарстан;1091690719;1094735809;99035;2017811;1996487;2315;188819;90804;128;971131919;975480524;95280;125413;62844;37;55878311;55527447;1067;116076453;115044588;97287;748911783;977848407;176012713;378897475;68201548;1930281;105880884;31830175;5205860;748911783;55409214
Республика Тыва;6306846;6280076;534;12745;12728;100;0;0;0;4880530;4875420;433;0;0;0;798174;802942;19;1257983;1243470;581;13783683;871015;156785;96242;17323;15469;123993;15198;0;13439430;802942
Удмуртская Республика;202195114;201360688;30441;187473;182109;1479;4224;1458;53;168466920;167789155;29400;960;246;11;3497315;3488288;430;33818716;33712747;31023;117483904;78010448;14041882;29087506;5235754;783537;8022591;4818241;379676;117485429;3482714
Республика Хакасия;44390750;44196854;4236;521928;533072;795;1437;1349;5;39258033;39095190;3737;573;492;4;4723485;4702351;79;5268825;5274248;4858;47918228;10178521;1832133;2609113;469643;168571;1193919;1026805;0;47918229;4702219
Чеченская Республика;26760660;26506945;2905;38034;22787;46;35;35;1;27949367;27539387;2699;0;0;0;6088;7816;5;1661623;1633827;2802;111537;2730727;491532;1521902;273941;48590;169001;571048;69882;111537;7816
Чувашская Республика;82344820;81782847;15387;166957;165944;1914;2129;664;14;69700782;69192917;14486;504;228;4;339350;344905;283;13660140;13623733;16428;7080483;33910213;6103836;7377032;1327867;315343;4460626;1708317;78995;7080483;344307
Алтайский край;212047645;212529237;37729;235043;230025;3016;53677;32754;62;190810812;191516921;35995;25546;20770;23;3862416;3893099;1021;22067970;21761600;38743;50843326;52687511;9483752;19127602;3442978;1213281;4827493;8538502;417070;50843326;3868666
