"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G74","G75","G76","G77","G78","G79","G80","G81","G82","G83","G84","G85","G86","G87","G88","G89","G90","G91","G92","G93","G94","G95","G96","G97","G98","G99","G100","G101","G102","G103","G104","G105","G106","G107","G108","G109","G110","G111","G112","G113","G114","G115","G116","G117","G118","G119","G120","G121","G122","G123","G124","G125","G126","G127","G128","G129","G130","G131","G132","G133","G134","G135","G136","G137","G138","G139","G140","G141","G142","G143","G144","G145","G146","G147","G148","G149","G150","G151","G152","G153","G154","G155","G156","G157","G158","G159","G160","G161","G162","G163","G164","G165","G166","G167","G168","G169","G170","G171","G172","G173","G174","G175","G176","G177","G178","G179","G180","G181","G182","G183","G184","G185","G186","G187","G188","G189","G190","G191","G192","G193","G194","G195","G196","G197","G198","G199","G200","G201","G202","G203","G204","G205","G206","G207","G208","G209","G210","G211","G212","G213","G214","G215","G216","G217","G218","G219","G220","G221","G222","G223","G224","G225","G226","G227","G228","G229","G230","G231","G232","G233","G234","G235","G236","G237","G238","G239","G240","G241","G242","G243","G244","G245","G246","G247","G248","G249","G250","G251"
"Республика Коми","4641143","0","0","3412389","15022207","0","-159783","0","0","0","0","5428304","0","0","0","34831","1071676","63023","0","8792","0","20313","0","27752204","79745","0","0","0","0","0","0","0","125205","7057","0","321","0","0","321085","0","0","0","51","562527","842762","815","702202","0","0","0","52311","141749","61833110","0","0","0","0","0","0","0","22634","0","0","0","0","0","0","0","8968383","14517","0","9269575","0","0","0","403687","1875414","0","549","0","0","-38127","0","0","0","0","0","0","0","0","0","0","8572","250625","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10522","0","502427","0","0","220932","1303","48532","53490","8350182","15915519","320268","960853","1351","0","110627","36789","0","0","0","16019","8096","0","25108","0","0","1","17075","6224","15628","64548457","7032","3042","55610","0","0","0","370934","0","0","0","0","41606","0","0","287618","0","0","0","30411","6457","59","85","4595924","409360","1061856","3293281","0","4808269","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42631","6","0","43897","5","0","2","0","4939","0","0","0","2706886","240562","-105"
"Республика Крым","7780607","0","0","0","25614763","0","-697","0","0","0","0","0","0","-148","0","1000","-1639","0","0","656766","0","53924","0","47384126","313347","0","0","0","0","0","0","0","461207","90615","90605","73","0","0","1565808","0","0","0","631","2671649","923868","740","1745790","0","13664","0","45225","422981","57391389","0","0","215","0","0","0","0","482097","0","0","1257","29765","4127255","0","0","0","0","0","0","0","453379","114880","1958823","4782328","244684","18461","62763","0","0","0","0","0","0","0","0","0","0","0","0","18","531908","0","215","0","0","0","0","0","0","0","0","0","0","0","0","13698","0","0","0","0","0","13074","0","876123","0","0","0","0","358417","55554","6110898","41","197721","1192955","5768","0","613782","0","0","0","0","147118","6874","0","195038","0","0","0","491558","9243","0","171382","19611","21836","248706","0","0","0","0","0","0","0","0","50165","0","0","44349","0","0","0","256256","453","4721","143","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1883","5831","7073","56199","0","0","-71","0","131963","0","0","0","2394187","442","-33906"
"Республика Марий-Эл","3034302","0","-3407","354388","6280021","0","-5324","0","0","0","0","0","0","0","0","16122","92045","0","0","3108","0","7110","0","17910708","68750","0","0","0","0","0","0","0","169463","41017","52942","868","0","0","227171","0","0","0","0","1149684","458444","200","812887","0","0","0","43032","246735","22179216","0","0","0","0","0","0","0","21045","0","0","0","0","0","0","0","0","0","0","0","0","0","0","260269","0","0","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","273047","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","4478","0","272071","0","0","1823","0","39108","57804","1720389","313017","136986","728691","1785","0","143965","549","0","0","0","26994","22011","0","37819","0","0","0","20624","8966","461","0","0","0","36255","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32670","1513","0","106","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","71","0","1332","23843","10","0","0","0","165345","0","0","0","503332","3391","-13591"
"Республика Мордовия","4004734","0","0","147022","10687870","0","-4029","1","-3","0","0","0","0","0","0","4848","33817","0","0","79","0","135","0","19730928","112888","0","0","0","0","0","0","0","157301","62880","48720","2866","0","4735","243939","0","0","0","0","1513283","715415","442","570460","0","0","0","41210","191351","23993774","3424","0","0","0","0","0","0","4516","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3980511","13763964","0","786","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1110613","0","0","0","39","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","3526","0","176586","0","0","0","0","59252","58276","2894853","713311","221183","805759","959","0","322315","0","0","0","0","144184","69839","0","51488","0","0","0","76250","20810","0","0","0","0","24488","0","0","0","0","0","0","0","0","67098","0","0","0","0","0","0","41624","918","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","319","0","35030","59304","0","0","0","0","24176","0","0","0","1231710","9614","-3178"
"Республика Саха (Якутия)","18366196","0","0","17368363","51457260","0","-21097","0","432","0","0","0","0","0","0","239943","76212","2307518","2472465","11530","16643","16709","-4752","52856450","131435","0","0","0","0","0","0","0","316310","69877","61998","8432","0","443","601925","0","0","0","0","4028993","787409","1350","1922357","76","-38","0","62413","322637","-38059823","0","0","0","0","0","0","0","2089","0","0","0","0","0","0","0","1049","4238","0","11898","0","0","0","102444","511652","0","0","0","0","-805202","0","-164490","0","0","0","0","0","0","0","0","16730","4767699","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5766","0","224609","0","0","0","95","15415","121062","21666554","264376","479562","879805","861","0","83341","0","0","0","12861","38505","242955","0","59444","0","0","336","56395","57801","0","80660614","1139114","1083830","555982","58795","0","0","3685748","0","0","0","0","49713334","18884979","261100","391369","0","0","0","37445","10847","271","6721","2579127","29588417","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-26200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","252994","139","0","46248","4630","0","-658","0","1491","0","0","0","3802184","102635","-743"
"Республика Северная Осетия - Алания","1230986","0","0","27169","5423352","0","-238","0","0","0","0","-2","0","0","0","163","475","0","0","393","0","0","0","11955363","48599","0","0","0","0","0","0","0","17565","4368","0","388","0","0","444023","0","0","0","652","134696","219286","319","164844","0","0","0","14034","66872","11111362","840810","0","0","0","0","0","0","274092","0","0","0","1030","16987160","0","0","0","0","0","0","0","219711","93456","1279536","1548452","0","27258","-357","0","0","0","0","0","0","0","0","0","0","0","0","15680","267253","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2004","0","222745","0","0","0","0","80065","67051","1857103","334800","40154","439817","112247","0","182388","0","0","0","1602","33007","52043","0","75276","0","0","0","70533","29844","0","1858","0","0","53264","0","0","0","0","0","0","0","0","1667","0","0","0","0","0","0","82379","93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","406","0","0","57822","3","0","0","0","2823946","0","0","0","6250780","583","0"
"Республика Татарстан","52124666","8","0","3201012","109823637","-12117","-122319","0","-2144","1","5","6071280","4","17138922","38192641","1502428","12262936","162912","102261","1339882","525","5605610","-49","174482036","531356","0","0","0","0","0","0","0","3269738","1173732","1288577","302705","0","0","2586250","0","0","0","2556","17953249","7446709","13430","15373821","1531","17810","8763","532180","3411683","462399604","559802","8950","0","0","0","211458","0","3489","964440","0","0","0","129387","0","0","52976891","-28528330","125654","80085110","43784","2","0","15670665","32673169","0","0","5","-2745770","-246942","0","402352","0","0","0","0","-246782041","0","-4885565","-7526272","144078","6538180","0","0","0","6750","0","0","0","0","0","341","0","585","0","0","0","0","0","0","0","0","420607","0","2246557","0","0","0","0","381607","892582","41639652","720700","2191547","5509717","11018","0","4747627","0","0","0","-1","2742836","1344139","0","690739","0","0","0","798438","279221","0","562872682","0","0","151247","0","0","0","0","0","0","0","0","14707","0","0","0","0","0","0","77743","2546","0","892","0","0","12423998","0","0","138348182","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18296","11","79727863","187255","-701","0","-189353","0","207345","0","0","0","9157436","59850","-8329"
"Республика Тыва","689228","0","0","12389","2247808","0","-2","0","0","0","0","0","0","0","0","120746","0","157500","0","0","0","0","0","6329654","27510","0","0","0","0","0","0","0","41902","15818","0","440","0","0","209409","0","0","0","0","30955","38700","0","181090","0","0","0","2312","19662","963474","0","0","0","0","0","0","0","88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","-2001","0","0","0","0","0","0","0","0","0","0","2202","2555","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","128857","0","0","0","0","11971","16131","535303","293","42404","228923","0","0","61865","0","0","0","0","10659","5916","0","56955","0","0","3","16648","13920","0","0","0","0","19543","0","-46","0","47704","0","0","0","0","2272078","0","14584","69","0","0","0","13940","3560","0","-3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4380","0","0","26547","0","0","0","0","23361","0","0","0","536409","183","-1"
"Удмуртская Республика","14485615","0","20","1572256","34660697","-1","-17120","0","154","0","0","397283","34","0","7471","63795","79365","750","108","12548","1","69169","0","47732282","222771","0","0","0","0","0","0","0","390478","125220","161601","13734","0","0","756364","0","0","0","0","2901777","1623336","2589","2561361","0","0","0","133627","639136","131253587","36626","0","0","0","0","0","0","4455","0","0","0","0","19034","0","0","0","0","140698","0","0","0","0","700041","7349279","0","112","0","0","-222126","0","-974","0","0","0","0","0","0","0","0","50","1388075","0","0","0","0","0","0","0","0","0","-7","0","140","0","0","0","0","0","0","0","0","4530","0","1052066","0","0","150949","0","0","0","6085313","1066683","416040","1494207","1729","0","766534","248921","0","0","0","0","0","0","232835","0","0","0","0","0","239193","175094876","0","0","105746","0","0","0","0","0","0","0","0","255","0","0","0","0","0","0","38716","4615","0","78","0","0","0","0","0","30107167","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8904","0","9683","94522","9624","0","8796","0","265373","0","0","0","3433463","17146","-8445"
"Республика Хакасия","1613656","0","0","87033","7860555","0","-15","0","-1","0","0","17651","0","0","-15","850","7780","0","0","7840","0","0","575","12084146","87864","0","0","0","0","0","0","0","45115","22099","32134","308","0","0","237360","0","0","0","0","566121","363298","10","664263","0","0","0","21063","95065","-2603027","0","0","0","0","0","0","0","236815","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4304036","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15708","158112","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7089","0","400687","0","0","0","44","38203","8134","2966662","0","91896","430728","792","0","310721","0","0","0","20810","130000","4679","0","149526","0","0","134","65068","4977","0","0","0","0","38031","538700","0","0","0","0","0","0","0","3348072","0","437834","50683","0","0","0","30906","4302","0","46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2641","1","0","20227","10","0","-558","0","11473","0","0","0","1036896","19757","-31"
