GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140
Хабаровский край;79802277;79226772;5253;3896034;3883762;38837745;672;688;688;7565;5;4786046;0;53289165;53190745;265951960;5085;65012;0;1909385;1910258;11461552;108;71325;71325;378388;4;0;0;0;0;149664;149664;748318;56;11507508;11327151;69614062;2389;3883258;3869919;967;3032;3032;5;4185317;4171762;1471;148952;148955;758;0;0;0;31;31;2;668;670;0;73260826;72787684;5002;50121881;49727791;4945;1097844;1093108;250;1903046;1903046;19;4051240;4047241;914;149529;149529;55;15888959;15818645;2380;47431;47431;77;602;602;1;1674;1512;1;1877772;1876547;104;12851625;12765912;5681;0;0;0;1390807;1390807;15;56085218;7035964;1407190;2181453;436292;168459;802439;1497;299;96162;19232;0;-18933;4;0;1369050;273810;288040;57608;186902;29300;0;0;0;0;8405014;1681000;2469493;493900;355361;831739;1163859;992537;321637;5702;3;0;56085217;1867680
Амурская область;45714783;45478738;2068;2194298;2193216;21932159;453;35430;35436;389799;6;128317;1;25858194;25790369;128951845;1918;10035;0;94267;96214;577030;36;0;0;2843;0;0;0;0;0;147821;143711;718562;20;4113651;4101979;25316759;761;12994169;12959056;305;82;82;2;13132228;13097522;479;266010;266005;423;0;0;0;150;150;4;292;292;0;61991154;61856553;1973;46017531;46052230;1940;648659;648531;208;195602;196320;16;8790307;8782374;324;148213;143668;19;5931776;5789092;748;259068;244340;34;0;0;0;1444;1444;1;1639394;1636234;62;5157038;5084429;2283;0;0;0;17498327;17503379;10;28813966;3557257;711449;1037842;207570;202616;301263;56;11;0;0;0;11;1;0;47485536;9497108;32456639;6491328;119325;2886455;0;0;0;0;51042793;10208557;33494481;6698898;321941;3187718;28872136;0;0;0;0;0;28813275;1635958
Архангельская область;22611967;22616448;2070;1200401;1200430;12004384;295;114;115;1157;5;13081;2;15686722;15684619;78554591;2002;7;0;195455;196820;1179902;59;599;599;2997;4;0;0;0;0;158745;158420;792097;41;2684793;2693589;16877519;862;2240361;2184715;286;14123;14123;5;2673136;2667810;575;49943;49986;660;0;0;0;429;409;10;0;0;0;24544229;24502242;1932;20186054;20142772;1915;271881;271881;25;22736;23098;9;1107857;1107932;239;155272;155272;42;2769867;2770289;870;31133;31588;72;0;0;0;2111;118;1;1058895;1062052;41;3770348;3805532;2584;0;0;0;313132;312509;11;29387426;6490482;1298099;1119261;223853;162819;911427;9413;1883;9344;1869;13;1;1;0;1813959;362791;40579;8116;1392;353283;0;0;0;0;8304441;1660890;1159840;231969;164211;1264710;931291;758390;33987;20;2;0;29387428;1061507
Астраханская область;16939074;16956277;1482;466321;462266;4622659;226;250;250;2752;5;-5186;0;14088052;14104526;70522757;1380;139;0;164212;164209;985284;59;30;30;150;1;0;0;0;0;5193;5193;25966;9;1792222;1788195;10971714;596;367350;362843;189;2000;2000;1;427869;421676;438;35613;35322;122;145;142;4;141;141;5;0;0;0;12150574;12173663;1368;9694808;9736975;1349;211392;211392;71;17411;17355;16;691582;688494;219;5193;5193;9;1512587;1496876;566;17817;17597;30;3;3;1;14363;14363;1;2446964;2444783;101;5842877;5837238;1400;0;0;0;427131;426131;4;60573156;2334557;466913;232100;46421;40037;380455;4176;835;166;33;0;802;4;0;927757;185550;229640;45928;3253;136369;0;0;0;0;3262314;652463;461740;92349;43290;516824;331060;3120429;212567;7345;8;0;60573155;2443955
Белгородская область;101492842;101463045;8628;18304025;18332781;183327803;1143;9318;9318;102501;7;1136328;1;58259149;59137458;295696335;8270;-207;0;501857;501972;3011831;122;932;932;7091;3;0;0;0;0;202495;202448;1012235;85;17265092;17256975;136297145;3521;5537723;5549922;1463;100474;100474;15;5814768;5827271;2081;209013;208915;644;0;0;0;1975;1975;14;19;19;0;94699238;94622459;8438;69784379;69686791;8394;3436773;3434943;531;364443;365444;160;8227580;8244786;1414;201943;201896;84;12489543;12494051;3542;195512;195480;151;0;0;0;15803;15757;1;441950;443189;62;13300282;13347688;8744;0;0;0;618391;618100;32;53289195;5007593;1001519;997356;199471;61371;740677;58098;11619;17792;3558;560;7501;4;0;5547422;1109484;7216574;1443315;4453;-338284;0;0;0;0;10555015;2111003;8213930;1642786;65824;402393;396175;323765;106113;15;5;0;53289194;440273
Брянская область;38225220;38198174;3223;4516047;4508639;45086399;499;76;76;842;3;6280;1;24637224;24624097;123120480;3082;-168;0;562720;562849;3377095;63;3483;3483;17415;1;0;0;0;0;109824;109824;549115;33;6698849;6692531;47342684;1501;1539272;1545874;525;58588;56591;11;1694796;1697423;857;97175;97158;352;0;0;0;68;68;2;5;5;0;35812701;35796242;3063;24319378;24291038;3028;1922073;1923035;175;850955;857668;291;1669307;1673934;467;109129;109129;32;6869023;6868567;1491;72751;72790;71;0;0;0;125;9;1;250001;244146;124;4273137;4272342;3275;0;0;0;924320;924280;10;5517235;2895113;579019;566812;113363;77548;388108;40;8;33;7;0;1;2;0;9374607;1874921;8229429;1645886;35;229000;0;0;0;0;12269720;2453940;8796241;1759249;77583;617108;171130;101686;314540;7;9;0;5517234;244121
Владимирская область;55930481;55852552;4583;5512292;5502892;55030681;502;-358;852;9358;4;19821;1;41087257;41082917;205414719;4447;656;0;468139;469569;2817407;109;0;0;1291;0;0;0;0;0;69681;69681;348409;62;7603934;7556847;46565828;2275;985133;978749;843;28691;28691;40;1163751;1156853;1286;361248;360496;432;0;0;0;165;165;11;0;0;0;47563973;47558190;4397;32032881;32022293;4361;5448051;5441656;249;178455;178249;101;824110;824315;726;69636;69636;60;8671455;8682478;2332;339134;339341;85;0;0;0;1322;364;1;87779;91518;85;9541906;9494659;4828;0;0;0;79208;79208;11;9776531;6072801;1214557;1423601;284720;113115;816722;0;0;0;0;0;0;1;0;542651;108532;187973;37595;1502;69435;0;0;0;0;6615452;1323089;1611574;322315;114617;886157;1973469;119309;13843;1992;3;0;9776502;90842
Волгоградская область;91139968;91104579;5889;4419868;4420222;44202244;827;35598;35598;391582;15;43543;37;61958052;61966609;309825932;5517;621436;1;1938770;2559776;15358661;188;0;0;0;0;0;0;0;0;175321;174930;874655;54;18843263;18827315;115259829;2979;2086730;2069078;1150;54928;59017;20;3102130;3081324;1717;93565;92333;825;0;0;0;2108;2108;20;0;0;0;87729962;87700081;5477;63821998;63846633;5437;1680581;1680581;167;250920;250816;70;2505311;2487725;1124;174687;174633;55;19222286;19185357;2970;74450;74415;99;0;0;0;15433;41;2;487954;491743;67;11566181;11553364;6408;0;0;0;1090470;1090471;30;74486111;8798128;1759626;2103290;420656;363929;975041;2798;560;407;81;370;109;5;0;4744961;948992;2026932;405387;2031;541574;0;0;0;0;13543089;2708618;4130222;826043;365960;1516615;2044433;1337638;2043;368;1;0;74486113;499733
Вологодская область;76124823;75067084;6323;3047160;3046394;30463957;532;247;247;2722;3;647975;1;58886700;58444388;292211734;6209;478;1;405251;425968;2555814;93;564;564;2840;3;0;0;150;0;79076;79049;395246;69;10704466;10714291;70524953;1965;1684622;1675694;897;40998;40998;6;2357023;2328171;1338;168327;166029;414;0;0;0;173;173;11;5;5;1;77043498;76033918;6126;61554987;60530266;6098;2872160;2880907;89;750735;750787;46;2406886;2419479;793;79375;79119;65;9120940;9115167;1962;253404;253191;73;0;0;0;2164;0;0;1837989;1838606;71;8114423;8080022;6457;0;0;0;2461543;2461543;19;72325736;6103342;1220667;360607;72120;39078;1109469;0;0;0;0;0;0;0;0;408935154;81787030;406203737;81240748;24327;521955;0;0;0;0;415038496;83007697;406564344;81312868;63405;1631424;1720217;616320;0;0;0;0;72325739;1832327
Воронежская область;131437613;128925220;12706;14646728;14697490;146974898;1802;2333;2333;25666;12;1986270;0;88541359;87989413;439954144;12195;629;0;1645313;1646885;9881311;192;0;0;0;0;0;0;0;0;111082;111079;555389;86;20124822;20092985;134626368;5326;3777918;3770509;2043;66851;67121;21;4368209;4356217;2932;97266;97250;604;18;18;1;1299;1299;8;-217;1;0;121966960;119533461;12281;96096940;93695430;12210;2075445;2067653;329;501347;501902;175;4529654;4524394;2003;59749;59783;78;18569138;18550526;5196;133588;132678;122;0;0;0;458;458;1;222324;222395;78;12753153;12678488;12767;0;0;0;316123;313554;25;16811847;21680266;4336051;3253088;650615;209920;3475516;10843;2169;1801;360;0;1809;10;0;6512268;1302453;1427706;285541;1679;1015233;0;0;0;0;28192534;5638504;4680794;936156;211599;4490749;3719399;481510;1286;56;2;0;16811846;213332
Ивановская область;29993960;29750591;5641;1405210;1404645;14040090;533;1;1;8;2;522466;0;24148628;24409092;122044170;5511;0;0;156729;164678;988058;93;3258;3258;27622;4;0;0;0;0;21032;19981;99910;17;3309537;3303310;19931950;1890;354515;354829;590;14237;14010;10;430353;430439;886;8962;8958;194;0;0;0;636;636;4;0;0;0;27566176;27354817;5373;22376044;22177273;5344;1624107;1621761;212;179635;179376;77;358602;356280;571;21021;19970;16;2982556;2975948;1878;4379;4379;31;0;0;0;1;0;0;115207;115207;39;2633652;2608353;5619;0;0;0;7239;7239;5;2706884;2926022;585201;444288;88861;46399;449941;0;0;0;0;0;0;0;0;1587979;317595;149501;29900;1638;286057;0;0;0;0;4514001;902796;593789;118761;48037;735998;464896;92893;5501;431;3;0;2706883;115158
Иркутская область;120769964;120781934;7759;3811259;3819556;38195552;753;1382;1382;15200;4;-6601;0;92778920;92744595;463724180;7384;-183;0;213815;215402;1292404;130;289;520;4065;5;0;0;0;0;349536;349536;1747712;69;17896394;17926912;108143469;3311;5097793;5083112;1550;3257;3257;4;5725265;5708960;2255;308618;308878;925;0;0;0;307;307;12;2;2;0;93734269;93793265;7208;68370692;68411754;7152;2133236;2135290;235;89249;89249;42;5251223;5266132;1482;339938;339938;69;17250566;17248861;3229;299272;302441;105;0;0;0;4299;4299;17;3969821;3970316;215;30604883;30543013;8088;0;0;0;2084459;2084459;20;87101096;13880766;2776152;4227298;845459;183537;1747156;0;0;0;0;0;0;0;0;4548036;909608;114442;22888;21300;865420;0;0;0;0;18428802;3685760;4341740;868347;204837;2612576;1301630;83391;191;0;1;0;87129996;3969756
Калининградская область;59126380;59264114;2956;5818486;5814287;58142858;454;2557;2557;28117;8;-81428;2;40924573;40991031;204955148;2818;472;0;157978;157790;946745;98;27;28;450;1;0;0;0;0;31272;30533;152663;32;11457812;11459475;71280054;1327;546926;538580;431;30;30;2;714394;708885;685;159668;159530;248;12;12;1;122;115;6;-2;0;0;37569997;37696185;2784;24171899;24301490;2729;1522317;1521584;350;569696;569229;114;1123473;1124171;401;21339;21373;27;10030657;10027335;1299;93222;93610;102;0;0;0;252;154;2;570244;574244;133;23785600;23794386;2921;0;0;0;532029;408334;15;34383889;7071176;1414236;1156743;231346;102195;1080695;7277;1455;7513;1503;0;-48;3;0;16537210;3307440;14083791;2816758;849;489833;0;0;0;0;23608386;4721676;15240534;3048104;103044;1570528;8664516;3041593;29339;5;4;0;34383886;566473
Калужская область;103201038;102651935;4670;5552900;5554736;55547360;486;132;108;1187;2;2814074;0;77944897;80216599;401084133;4497;-98;0;320274;883124;4745677;91;0;0;0;0;0;0;0;0;44643;44487;222433;49;12535085;12520444;76610799;2375;3561926;3554893;827;127627;127659;21;3988341;3980985;1244;545216;522937;364;652;652;2;1465;1465;16;0;0;0;89424945;89162182;4420;50756445;50672950;4371;21303849;21229786;285;372348;370587;115;2822141;2808884;797;44159;43614;49;13641434;13674146;2365;502486;480453;132;0;0;0;0;0;0;1436259;1434874;41;15109921;14944523;4751;0;0;0;421597;421597;15;29013136;8001321;1600270;1695097;339021;266617;994632;6440;1288;507;102;0;1186;7;0;20669261;4133852;16581938;3316388;11846;805618;0;0;0;0;28670582;5734122;18277035;3655409;278463;1800250;2511295;529530;103182;13047;6;0;29013140;1436961
Камчатский край;15309247;15243053;768;2177257;2171520;21715204;231;2864;2859;31449;4;-27097;0;10047423;9999770;49998850;734;0;0;53370;53647;321880;26;71;71;357;1;0;0;0;0;135351;134035;670173;17;1841241;1811439;12256481;317;1012646;1004847;100;1996;1996;1;1078859;1070973;204;64062;64063;71;0;0;0;0;0;0;0;0;0;13521913;13469833;705;9616912;9606581;698;799498;798756;59;3183;3183;4;918826;916939;120;128956;127001;16;2033645;1996478;304;20894;20894;23;0;0;0;0;0;0;223254;223254;16;3477770;3464606;754;0;0;0;122263;120941;3;22861117;998099;199620;153474;30695;13121;155804;0;0;0;0;0;0;0;0;1512326;302465;83003;16602;10731;275132;0;0;0;0;2510425;502085;236477;47297;23852;430936;115504;1784003;0;0;0;0;22861117;223252
Кемеровская область - Кузбасс;128855649;128731736;6398;1972792;1972692;19726913;527;181;181;1993;3;73558;0;91929168;91886482;459432455;6244;1205;0;12985689;12985676;77914050;124;0;0;0;0;0;0;0;0;1068876;1068672;5343363;107;15714085;15713576;95436071;2630;4549828;4521700;1008;80224;81480;14;5109546;5090004;1721;103093;100075;538;0;0;0;659;659;8;0;0;0;125900129;125806014;5935;105089596;105021922;5893;2459869;2459485;185;180494;180457;48;4404636;4385161;965;928739;928739;106;12767634;12761539;2618;69013;68713;103;0;0;0;1079;1079;3;11729295;11723264;97;14822548;14800522;6551;0;0;0;1142495;1142495;63;180727918;12016080;2403216;3374284;674857;347418;1380941;2700;540;70;14;12;514;2;0;13823112;2764623;6078414;1215683;40130;1508810;0;0;0;0;25839192;5167839;9452698;1890540;387548;2889751;5416383;94415;0;0;0;0;180727918;10790262
Кировская область;28090252;28114440;3774;2326466;2326842;23268425;617;3;3;33;2;-15056;1;19352264;19352748;96763931;3669;1839;0;506985;507252;3043514;102;0;0;0;0;0;0;0;0;49170;49170;245848;73;5367432;5369496;33281676;1879;430019;425447;660;2260;2285;5;501134;504509;1054;57894;57812;842;0;0;0;617;576;5;0;0;0;27513895;27538194;3625;21305556;21330197;3606;564627;566280;91;49755;49755;40;493340;566844;607;48506;48506;71;4976482;4900988;1880;75624;75620;60;0;0;0;4;4;1;26024;26436;35;4344307;4335233;4475;0;0;0;142586;142586;17;6682204;4682346;936470;1204032;240804;121610;574056;14;3;14;3;0;0;1;0;10166348;2033269;9470419;1894083;16666;122520;0;0;0;0;14848694;2969739;10674451;2134887;138276;696576;21950973;319091;45;0;1;0;6682204;26265
Костромская область;17771561;17716177;1656;1042103;1040537;10405370;217;0;0;0;0;53189;0;13929262;13924826;69624127;1607;0;0;59943;59864;359181;36;94;94;470;1;0;0;0;0;39936;39936;199685;24;2350658;2348701;14346164;804;180193;181207;286;0;0;0;296492;297533;491;45977;45947;223;0;0;0;117;98;6;0;0;0;15247717;15234536;1580;12145639;12131135;1573;424974;425341;84;74819;73434;36;210689;210878;244;39571;39571;24;2327131;2329283;785;24892;24892;42;0;0;0;51;51;1;19947;19624;24;2809298;2764166;1796;0;0;0;15265;15265;5;3651574;2025148;405030;1229957;245992;9049;149989;0;0;0;0;0;0;0;0;155761090;31152218;92400268;18480055;506864;12165299;0;0;0;0;157786238;31557248;93630225;18726047;515913;12315288;1688453;2611;0;0;0;0;3651574;19640
Курганская область;19628156;19630735;1656;1886445;1872394;18723937;319;140;140;1541;1;-8538;0;13765983;13774053;68870278;1545;0;0;74927;74747;448479;52;0;0;0;0;0;0;0;0;32478;32068;160334;27;2896487;2893247;17967738;656;920347;919623;258;17170;17170;5;980228;978955;423;10608;10371;175;0;0;0;1268;1162;9;6;6;0;16700370;16690511;1535;12334195;12319083;1515;305383;302770;37;92243;92202;35;1275099;1275309;269;32538;32068;27;2646388;2654551;665;11246;11250;26;0;0;0;0;0;1;32889;33195;23;3046126;3047014;1726;0;0;0;56459;56459;4;1729740;4131328;826267;1314017;262803;20350;543114;112;22;0;0;0;22;1;0;233343;46669;12699;2540;425;43704;0;0;0;0;4364671;872936;1326716;265343;20775;586818;57261;73003;2182;129;1;0;1729741;32724
Курская область;43309368;43147650;4122;8719271;8598879;85988808;896;356;356;3917;6;14286;0;24218829;24212768;121063833;3781;0;0;468701;468688;2812135;84;54;54;269;1;0;0;0;0;81194;81150;405753;42;6573508;6558187;47135848;1607;3126720;3121566;559;1537;1537;4;3233167;3227574;863;22698;22689;291;0;0;0;959;959;10;0;0;0;40420094;40299734;3908;29247482;29168919;3872;1639255;1638559;126;154232;152951;96;3447939;3437895;587;82534;79382;40;5828430;5802564;1566;20219;19461;58;0;0;0;3;0;0;527725;527720;24;5422036;5380586;4141;0;0;0;1590444;1590444;13;13265613;4908858;981771;924263;184855;189938;606978;3603;721;215;43;0;678;2;0;4030413;806083;285561;57110;5869;743104;0;0;0;0;8939271;1787854;1209824;241965;195807;1350082;825786;3654;0;0;0;0;13265612;527719
Ленинградская область;132143994;131955240;6512;4923656;4909903;49099021;567;1434;1434;15777;5;22294;4;99552803;99351561;496758485;6333;-24372;0;536801;518259;3109546;135;0;0;0;0;0;0;0;0;219857;219637;1098189;85;20195422;20172369;124403252;3068;6148524;6144295;1195;47535;47535;15;6800723;6731366;1763;1283656;1282672;1074;10629;10629;2;366;366;12;9;6;0;117249896;117174639;6207;82729726;82696945;6148;11955694;11968609;436;432379;431839;123;2753926;2748208;1082;219113;219018;82;17872407;17823651;3017;1286521;1286540;213;36;36;1;901;901;2;2171927;2171263;175;31725392;31539972;7135;0;0;0;5105255;5105255;36;134888660;24745882;4949183;2838837;567771;297231;4084181;74097;14820;72;14;596;14210;5;0;2570291;514057;759441;151889;422;361746;0;0;0;0;27316173;5463240;3598278;719660;297653;4445927;1974587;19239084;541453;4482;7;0;134888669;2227829
Липецкая область;63119579;61447158;4420;8356756;8332772;83327291;563;1019;1019;11200;4;944510;0;39617044;39044744;195043581;4240;4056;0;252395;252752;1516510;86;0;0;0;0;11;11;78;1;49052;49547;247735;46;10671649;10559875;72197731;1821;3068653;3057444;727;20044;14200;11;3222890;3200532;1098;134927;136852;340;0;0;0;307;293;9;1;1;0;64969531;63395056;4227;46830168;45364003;4201;3929823;3929168;134;445925;445721;63;3251079;3246626;660;48433;48928;43;10354408;10249453;1771;111144;111140;80;0;0;0;0;0;0;58257;45025;27;5830868;5738144;4567;0;0;0;1607715;1611645;26;49804949;3465638;693131;1330205;266040;76163;350928;19229;3846;17445;3489;163;194;3;0;5215278;1043055;9228;1846;532;1040677;0;0;0;0;8680916;1736186;1339433;267886;76695;1391605;189216;104842;26408;6196;3;0;49804950;44954
Магаданская область;10341003;10322861;494;209828;209652;2096503;79;0;0;0;0;12963;0;7811193;7801530;39007649;481;0;0;12051;12051;72307;16;363;363;1813;1;0;0;0;0;337436;337436;1687182;13;1373583;1362667;8186098;146;527612;526468;54;151;151;3;583950;581264;129;25635;25635;145;0;0;0;436;436;2;0;0;0;10009960;10010588;451;7835643;7834270;441;130004;130004;10;80;80;2;507233;509229;63;333271;333271;11;1178693;1178699;144;25036;25033;28;0;0;0;28;28;1;2751260;2750432;76;2481631;2467003;541;0;0;0;446441;446441;3;47450576;733270;146655;53836;10766;11469;124420;4;1;0;0;0;1;1;0;1128944;225789;553;111;16;225662;0;0;0;0;1862214;372444;54389;10877;11485;350082;136122;746444;475723;47439;5;0;47450575;2750431
Московская область;1000148313;1001679332;44525;58495338;58588120;585880378;3659;4555;4555;50104;18;16141067;122;742482582;758998296;3794322386;43220;1641;7;4586734;4603864;27648612;663;80325;933;4955;4;54969;134361;671825;3;367281;367357;1836784;236;155575746;155891006;948235849;24894;18010517;17804997;8998;507795;515366;116;22366759;22100495;12774;4440683;4438931;2730;6201;6201;8;5503;5373;48;-177;778;3;883208360;885641099;43051;614576425;615324558;42617;84007368;85097739;3560;6496601;6501658;1115;18933807;18798526;8292;361821;360627;223;154223466;154953532;24635;4418881;4414569;953;139676;139676;4;47005;47800;13;6489399;6488831;549;133229464;132356760;43395;0;1220643;0;6894726;6893764;127;179926184;178329821;35665962;44352581;8870514;2669426;24126022;745916;149183;353028;70606;1684;76893;39;0;153761104;30752223;97086370;19417274;535940;10799009;0;0;0;0;332090925;66418185;141438951;28287788;3205366;34925031;29822421;14219401;1887945;148202;42;0;180662479;4704521
Мурманская область;22864488;22837238;1709;2198193;2198413;21984124;407;0;0;0;0;1032;0;15565311;15548241;77741185;1597;4911;0;134901;134901;809409;43;0;0;0;0;0;0;0;0;76488;76740;383700;24;3782027;3777449;25178948;684;820840;819815;244;140299;140299;3;1101625;1099529;418;383622;381411;623;0;0;0;1043;1043;9;0;0;0;53071748;53072051;1599;45880023;45883520;1581;607539;607539;52;17565;17811;15;2070962;2070698;227;75999;76251;22;4052953;4049524;687;366711;366711;59;0;0;0;0;0;0;974797;974797;27;4373244;4353090;2198;0;0;0;2773810;2787672;8;136259014;5589037;1117807;1112460;222493;116983;778331;0;0;544;109;0;-109;0;0;944685;188937;1385;277;2608;186052;0;0;0;0;6533722;1306744;1113845;222770;119591;964383;2008840;4136839;0;0;0;0;136259015;974699
Нижегородская область;261668268;262126382;18064;12225584;12299803;122998008;1501;630;630;6929;10;197539;44;198159437;198812859;994064419;19654;-111;0;2394324;2385053;14310301;362;422;422;6313;5;0;0;0;0;258873;255643;1278222;105;39070366;37190983;240196519;9216;6094330;6067586;3744;725240;725207;59;9362533;9330955;5512;485798;483762;979;2;2;1;793;793;20;-906;206;1;240690589;241446808;19507;182758878;183630809;19410;13400663;13396794;777;710626;710135;260;7241424;7177358;3527;257413;254158;102;35840295;35815396;9160;481199;461540;297;89;89;2;348619;326557;8;5851774;5852613;245;32035969;31910545;20386;0;0;1;3182352;3182498;37;104341254;67599404;13519882;8629226;1725839;1418305;10375738;132342;26469;46718;9343;714;16412;21;0;9230057;1846013;1398452;279690;22329;1543994;0;0;0;0;76829461;15365895;10027678;2005529;1440634;11919732;7458236;72186534;5972;107;7;0;104365350;5618251
Новгородская область;21406613;21437954;1965;1706102;1708471;17084716;202;156;156;1718;3;-11664;0;16601321;16606829;83054771;1915;2;0;209103;209103;1254610;65;0;0;0;0;0;0;0;0;62650;62650;313249;30;3523715;3533916;21299499;881;206760;207192;314;85166;85190;12;431513;432198;541;95420;95418;194;0;0;0;53;53;3;0;0;0;21076518;21130224;1872;15505898;15558323;1864;1442494;1442332;100;63193;63187;44;371695;371420;316;59573;59573;28;3542325;3544048;906;76417;76419;51;0;0;0;0;0;0;251713;251744;37;3634199;3631511;2008;0;0;0;142149;142138;10;25346208;2880750;576150;365104;73021;74050;429079;0;0;0;0;0;0;0;0;1026965;205393;265950;53190;1669;150534;0;0;0;0;3907715;781543;631054;126211;75719;579613;118064;44423;0;0;0;0;25346214;241496
Новосибирская область;151967376;151550079;20982;15050854;15082482;150828719;2217;3221;4588;50484;17;419544;0;109167383;109236324;546220254;20367;1592;0;635262;633334;3795013;344;0;0;2;0;167;167;837;1;110006;110147;550734;61;21971625;21927618;141236561;9321;3418139;3395981;3782;225156;225156;31;4451461;4414282;5593;209321;209416;685;7;7;2;2337;2328;15;24;308;0;134799925;134619242;20473;102992526;102925305;20347;5594748;5560663;835;974615;977933;255;4119342;4126923;3610;111349;111483;54;20624066;20598895;9267;226070;225589;158;18;18;1;7230;7703;5;5702107;5702339;179;20304886;20052676;20823;0;0;0;530897;533131;19;64355490;33270589;6654123;8365694;1673140;583234;4397749;6286;1257;2040;408;179;670;7;0;31415406;6283082;12691457;2538289;154778;3590015;0;0;0;0;64685995;12937205;21057151;4211429;738012;7987764;10882194;2394571;48105;446;14;0;69825802;5557775
Омская область;69128966;69900565;7060;4519922;4493698;44936966;1004;2987;2953;32479;6;-234322;0;51015763;51417342;257084964;6765;-33;0;183392;189523;1137146;103;32;32;158;2;0;0;0;0;84764;84406;422031;50;9824085;9947227;61686704;2745;3441309;3451297;1136;8626;21251;35;3732348;3758703;1792;133348;133046;387;180;180;1;286;286;8;60;36;0;61717073;62489457;6788;46243722;46850785;6743;964074;988998;148;271380;254733;141;4868378;4903023;1075;85476;85136;48;9197569;9320304;2773;84911;84911;52;1565;1565;2;253;0;1;260055;267847;127;10389960;10369674;7182;0;0;0;3857634;3857634;26;20384602;9305694;1861140;2263691;452737;210271;1198132;62753;12551;0;0;0;12551;5;0;5393728;1078746;3082962;616593;2926;459227;0;0;0;0;14699422;2939886;5346653;1069330;213197;1657359;2515818;599832;4942;4;4;0;20384605;264479
Оренбургская область;76840411;76709746;4808;2970061;2933391;29333978;680;192;192;2113;7;-36071;5;62175194;62089719;310449321;4622;17;0;311093;311054;1866330;102;1615;1615;8075;2;0;0;0;0;198446;184872;924365;42;9425007;9408444;57924418;1982;1343451;1336521;873;125078;125078;12;1791721;1779488;1311;162188;162198;351;0;0;0;938;938;18;-3;0;0;56573565;56533295;4445;44642792;44600448;4417;634509;634511;67;156384;156352;67;1462880;1478544;831;195692;182118;41;9475571;9478670;2027;38598;38600;68;0;0;0;808;684;3;1881728;1882808;74;21747123;21657288;4948;0;0;0;2996734;2996734;18;28624945;7896706;1579343;1364251;272852;162735;1143756;10497;2099;6130;1226;0;873;4;0;31599424;6319887;29317339;5863466;20390;436031;0;0;0;0;39496130;7899230;30681590;6136318;183125;1579787;1280847;504029;3895;280;6;0;28624947;1880798
Орловская область;22689562;22686278;2712;3205112;3205046;32050458;509;164;37;405;1;-32922;0;13443127;13428596;67139721;2526;-833;0;150328;150576;903454;55;0;0;0;0;0;0;0;0;41579;41579;207904;24;6089326;6066090;40980663;1152;1049736;1049816;340;1668;1659;6;1121715;1122586;539;105937;105949;169;0;0;0;933;933;8;0;0;0;20706386;20710455;2559;14092791;14114340;2540;873512;873512;74;119733;119733;58;1320039;1321079;351;40752;40752;20;4156192;4138984;1134;101736;101820;34;0;0;0;0;0;0;62187;62187;21;2801379;2793846;2741;0;0;0;448799;448799;9;4611883;2269933;453986;495919;99185;32271;322530;7749;1550;7741;1548;0;2;2;0;252953;50590;9365;1873;205;48512;0;0;0;0;2522886;504576;505284;101058;32476;371042;485182;8366;7942;0;4;0;4611884;61398
Пензенская область;41505004;41474911;4146;4589590;4586493;45852503;583;646;646;7109;4;-24554;0;28833543;28863079;144319985;3955;751;0;256570;256143;1536846;115;0;0;0;0;0;0;0;0;25642;25341;126711;41;5720306;5650619;36456113;1900;1960103;1952964;737;4967;4967;4;2102528;2089144;1119;14800;14784;302;8;6;2;677;677;10;0;0;0;37597052;37655348;4003;28095568;28471501;3982;893044;895286;135;57836;57903;42;2196289;2202664;681;25600;25299;40;6026041;6000085;1918;11786;11786;52;0;0;0;0;0;0;9967;9959;7;5679021;5597103;4264;0;0;0;506508;506508;16;7045533;4774828;954965;665501;133099;36907;784959;0;0;0;0;0;0;0;0;2097685;419539;1205149;241030;4996;173513;0;0;0;0;6872513;1374504;1870650;374129;41903;958472;661318;153736;0;0;0;0;7045533;9959
