GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86
Чувашская Республика;718980;38035;2773;0;0;0;0;0;0;27598;8128;8128;742130;80649;78936;0;95908;0;297806;57711;512;57009;176837;62509;33956;1015;0;1015;483870;190;113739;410039;945360;227;0;41;579;4977;9029;0;233776;26573;948328;1208971;427769;664575;220598;160;92323;267074;546221;189268;210382;154269;29459;113882;1816623;3104935;1085242;1620890;14993;175333;62649;170;132132;142819;362643;48766;319212;44447;44907;165535;79985;35921;697716;1018436;362819;1536515;2905312;2771990;502711;162773;268466;52604;33;322001;5242
Алтайский край;3599464;258247;33214;32018;624;0;0;181;407712;89206;50;50;2144144;247118;594391;82839;356236;0;241855;7407;34;4937;384354;17597;64951;707600;707552;48;717884;359457;557682;334907;1259834;9273;0;0;635;11805;21336;0;87334;70383;223938;119122;285490;344525;1125994;0;0;297732;1500477;137370;692802;394744;14660;106375;1667763;7465649;2266873;4723248;125726;70099;21323;17716;652921;334441;473889;76857;510505;93903;127636;260570;37245;33918;1002563;1235222;759595;4484529;5782939;6191297;652032;267208;441081;94398;500;438166;1621
Краснодарский край;11471679;67306;146123;173;0;152829;471804;9;119659;253314;1523015;1522798;4830528;612231;589190;785251;811098;81369;273971;73465;4576;61912;213675;274923;138944;1116276;0;1116276;613253;113244;454526;1993767;1612735;514513;0;144;480;8853;32265;564;3980;2944;114105;120953;722763;17217;242174;40632;19541;1244881;2479802;808777;955346;1390986;154822;708084;9985479;45468129;8758185;34918429;162060;3035893;457914;136677;8731716;646628;4208837;1951081;2904177;167360;1375033;3275887;178549;143318;4345742;6750733;3555446;9573433;14705888;17457293;4779241;2323236;1418658;274386;3309;6014930;33153
Красноярский край;2173849;1011988;49657;67727;1047476;426100;372595;22036;4525129;128894;3005717;2998153;1056370;438495;139951;18;109897;118;61269;35654;0;21222;1183416;17793;80474;499819;0;499807;846264;51569;225047;871895;11850484;1801;0;0;0;1357;10481144;483744;166375;27845;594500;183509;360332;263845;1332583;8319;957544;3825953;5482349;93502;1638308;556559;178767;1645945;7848864;9887583;3721275;5154886;5758663;288817;770127;2419312;4077854;512180;1498120;170230;1708908;167676;517303;466993;166626;31054;2604422;7208011;2325607;8388269;13162576;12012612;3050759;1264429;727354;156760;1491;487697;783
Приморский край;896048;553002;3122898;53277;747011;0;0;160;784016;118117;305;255;1127119;317818;160572;250;173848;0;79880;4637;28;4039;599995;16952;71196;1790;0;1790;140967;25959;76738;413364;185984;16188;0;150;12;1314;10846;0;3105;0;206180;135617;174332;91196;2445640;597497;1355390;2440117;2934997;24164;1174974;593183;37015;262636;2143378;10933113;3630943;6398135;230351;317843;914507;407971;5378303;442283;716506;179941;1018993;78113;520876;2853320;163813;30832;1553039;2870575;1068692;8365671;7433290;7519582;1312287;393401;523247;126561;1221;617224;4859
Ставропольский край;5485516;30569;31730;0;0;14919;45758;0;0;37000;179596;179596;1127224;221807;325604;36423;332496;60;213711;48407;19709;25775;27889;46413;46477;5414;0;5414;1250753;141538;113383;517217;559385;1982;175;0;528;1030;35457;0;145502;2400;657539;390185;127189;72356;60883;0;123;521403;2294292;705433;599146;769863;9192;138482;1919169;6383709;2609994;3163368;30363;1181977;57;2965;877432;297938;507572;69391;556296;79866;96818;403785;57420;53165;1112160;2018510;731382;4111877;6067121;7445661;981025;200305;456185;87571;573;590850;2391
Хабаровский край;246692;1584583;975184;655339;0;2880;6;0;2241275;152658;4493;4306;463356;46072;65641;0;55178;0;48381;552;0;521;167353;7106;41817;869623;0;869623;135876;134304;60230;288451;2616799;1977236;47;28;0;766;393044;392703;44844;0;6564;23272;97672;252;3530743;888426;2642245;393046;2887985;297416;1722294;445144;28213;93511;2823776;7486412;3657131;3297851;13010771;1039332;348237;519619;4507023;336976;688477;104725;1416964;61041;892599;373221;109593;27260;1610443;2490724;1407969;9703864;6485209;6764419;1396385;576144;566295;113294;496;549871;5060
Амурская область;1138592;293673;1076;2123;230491;916;0;82;2187639;80223;383;217;462994;45486;121210;0;10425;0;18976;95;28;67;16522;5151;12355;1377;0;1377;165286;102;16892;120075;159339;34;0;0;38;736;0;0;138;0;596;2118;6597;-45;73751;69698;42;180952;1493070;147072;864412;66602;25571;47431;2874976;2444053;728247;1525588;139928;16952;51076;5040;399872;208339;178612;37799;255769;44327;80755;2900586;38351;10874;432587;1260123;524764;3185584;3096209;3633272;420866;116554;196578;30365;251;111626;5049
Архангельская область;419074;995537;551371;0;0;86;0;0;0;843592;62;62;508287;94108;89747;0;66650;0;25431;878;-6;318;908455;1961942;24886;8;0;8;86738;3;27588;109687;102314;0;0;0;0;284;6711;0;34;0;2953;5418;140643;6548;6171001;6112420;57636;4190830;1075148;161881;328053;277661;26430;58768;1178038;3592154;1072192;2133091;20776;374161;395217;396062;1235138;338419;426966;65733;344741;58840;80384;356183;61558;17319;947964;1140256;608540;4182440;4850194;4919887;866404;188231;325806;46176;268;197236;1948
Астраханская область;370689;10251;195715;0;0;471497;2986951;0;0;24113;321081;321081;192870;29020;10667;28;7703;0;48884;26526;203;26199;13905;12313;19484;8094;0;8094;17899;33;50930;118820;56449;5145;0;0;0;191;0;0;7092;28;12590;2174;12078;134;408865;280321;0;330906;787330;194925;134297;269867;17523;126742;1550221;1854746;496297;1198965;196796;224468;242204;182;500939;101911;303650;50561;248253;25798;51617;121026;20343;12974;368623;802715;417425;2370078;2844126;3299152;441923;137461;221231;76705;28;236647;4068
Белгородская область;7278411;38474;30633;0;0;0;0;4725158;0;82253;1975;1975;3016075;492632;499613;222764;138463;164;106986;20670;0;4383;30366;122109;116905;36491;83;36408;275880;88545;173371;953803;3795941;1978665;0;0;540533;95315;15753;2926;34632;34628;127709;90910;466477;193768;10856;366;4596;333347;839588;448296;481612;346114;21958;194534;2413911;5149083;2424359;2239051;27225;52487;58;1490;568831;196230;405362;56412;538617;76567;88511;261556;29777;35399;879344;1726114;816963;3050650;4933544;4356591;985297;328987;380189;71786;59;360706;4383
Брянская область;2585560;96575;1937;0;0;0;0;0;0;9765;3;3;848589;100763;282848;22911;89013;24575;203137;40768;0;33092;165087;229147;36338;1356;0;1356;72272;0;99842;462406;675736;3759;0;0;0;10;13952;0;404917;0;728089;182664;237276;337440;1046485;0;44144;374172;520987;249736;332290;188612;22838;54758;1167560;3035955;1190713;1543938;3261;737826;3602;13887;249555;193107;235536;24737;310790;54610;59578;79031;27224;74865;655151;663300;688315;2343956;2716780;2801306;534384;140360;220572;36588;264;232194;519
Владимирская область;890641;112440;3830;0;0;0;0;0;0;150234;0;0;2262618;684090;149264;0;56451;0;381820;63817;0;25425;475329;66146;52563;30;3;5;341636;525706;541173;1013792;2880789;22598;0;0;28352;9775;49779;0;63313;47748;1281427;883922;783136;127232;342337;839;59555;918277;905207;318415;576447;350926;40525;122893;1095940;4636556;2066393;2223271;16002;98882;2154;1236;313182;149656;358441;49754;422918;35012;100602;122045;96466;29069;1194796;2176484;654506;2440345;3326242;3319788;705752;214522;312693;65445;6203;277183;7187
Волгоградская область;2638713;67012;31170;0;0;53181;89207;0;0;77225;49248;49248;1201510;85868;162864;0;32228;95854;247041;5403;36;1295;27427;25418;77536;810527;0;810527;1717883;17364;500233;1193728;3043419;610706;0;0;1619610;20721;264525;0;3392;2297;204974;85805;906412;94902;91935;20154;30;718364;1593257;397198;512424;437107;48727;186493;2755031;5838505;2354559;2900319;46302;1132124;163523;2046;988095;307098;513391;54410;666734;71396;165631;282040;52469;34564;1197461;3154249;1144300;3903074;5683360;6251523;929582;345970;553994;97617;-169;383713;4971
Вологодская область;1383502;1092706;24437;2;0;0;0;0;294;2645165;38;38;1038997;142237;402537;0;102467;0;53352;1853;0;93;1146840;168493;41429;33764;33696;68;27656;35514;69375;404024;7336914;5769869;0;0;26277;521659;11493;0;5479;4828;35484;26820;459442;17710;68316;6321;0;1013904;1129043;217668;388245;252404;11221;320607;3647502;3833642;1760887;1748926;54412;635680;41911;181642;1010667;189536;382508;42256;638734;69710;58523;481792;82050;27075;774932;1038232;471653;2623812;3571196;3816391;828255;331630;322395;44354;209;86208;1969
Воронежская область;4335253;57120;20558;18;0;-174;0;0;0;278929;147918;147608;2989713;211548;495594;338956;62605;124;111564;10518;0;3893;106180;46316;86718;97;0;97;1174067;17709;295576;661832;1049183;14174;0;586;207669;1390;21012;0;65542;43075;977490;319079;968197;25884;1575483;4467;1110494;853399;2224368;655689;639378;355515;58541;118421;2765187;8482988;3916747;3826382;5219578;330332;726;3706;1489429;350512;444961;60123;899268;117719;169753;412092;110624;27566;1296367;4967287;957919;3494969;6272394;6515196;900965;320966;533321;99517;186;320728;5894
Ивановская область;399895;48473;1042;0;0;0;0;0;0;45729;10234;10234;431238;19203;81515;0;11382;0;1519485;4953;0;1683;121401;16899;21761;1623;0;1623;132212;50445;97539;85793;278590;6477;0;0;0;1249;85;57;17193;16888;126635;71366;154200;156697;14110;0;14110;362576;540808;198268;374252;145174;16241;81575;713554;2251441;973201;1120663;39963;77086;2032;395;122754;126142;202146;40158;243633;29364;65275;127846;52586;14626;559680;632554;325554;1613303;2184104;2246370;386893;120516;227737;44316;249;174673;3149
Иркутская область;1602763;1551114;12410;88318;709435;2213348;182253;503312;2904238;221233;1318146;1318143;761365;81116;40244;0;75285;27;69140;5660;214;4563;1276638;2082071;60004;1795717;0;1795717;1160374;235569;110286;431508;2322182;103675;0;0;2;4135;1834446;39115;10412;10356;9748;270748;213904;48922;2696624;7797;2589080;629547;3460462;39749;849970;426747;33047;235306;3238822;8711848;3261913;4680773;9649570;2215654;278366;413016;3605341;414372;754886;145061;1015787;82233;478262;610986;156183;61899;1479195;5277060;2147797;7271235;10718326;9084871;1391640;428372;725701;118320;2060;465948;898
Калининградская область;687380;22465;623094;0;0;403119;0;0;0;217239;34;34;1399216;376343;50349;49;46300;78622;196710;8251;2346;5105;108263;174950;29524;20;0;20;73415;43459;73138;229494;407127;1638;0;0;14004;3373;11335;0;467;0;233979;61974;133938;367236;970982;947606;165;601518;508325;172111;390706;266021;30400;77419;1986069;5141894;1430491;3263279;641541;57102;87483;32964;1031407;152759;526507;141654;419926;52368;109533;559153;35915;25768;870053;1604063;599498;3216919;3011677;3158398;567218;199889;311186;61685;663;429297;4182
Калужская область;1231667;76372;18908;0;0;0;0;0;74;167076;0;0;1261534;356864;219956;179;119167;22699;167273;42018;0;38041;278431;497277;109377;79307;0;79307;235277;527429;686157;1752750;2088258;338673;0;0;13467;1523;66313;0;136430;109200;2281460;469505;883837;2386152;1100089;153;103;601523;587246;308624;338812;271266;24941;186099;1996788;4112910;1570668;1945196;31757;149653;215;7926;467473;189680;420714;81292;413439;59927;58937;384147;34854;13375;869186;3112830;571104;2537555;3148569;2922743;626435;232629;412684;65089;1012;265964;4021
Камчатский край;197592;69872;4145509;90;10657;869;0;371;762621;27032;14772;14772;2188049;64698;53835;0;55515;0;8026;246;31;214;8603;1484;10425;0;0;0;4666;0;4069;9821;27171;0;0;0;0;431;0;0;0;0;585;28;9485;28;11109;11109;0;394784;1774058;0;385633;253972;6331;57083;700790;1657487;556600;966885;12;68031;104930;167427;783440;126105;150169;45524;150854;17151;18771;137478;17226;2305;457328;848349;450251;3781454;2653011;2470473;611714;207323;141926;21603;200;109724;952
Кемеровская область;910297;71114;9807;22226521;7327;0;0;438551;27146;165970;151206;17435;936192;228282;97298;0;118898;0;89720;4133;141;2342;103960;9649;43297;691411;432567;258793;1480770;140575;111565;494870;5248405;4102202;0;0;141;605;266573;310;5303;1591;80257;245205;997922;38808;236289;719;0;909461;3659619;71070;1244406;599752;55401;423909;3295790;5922359;2681431;2385239;603341;106319;1921;59008;926339;245838;763563;106097;691299;47081;246258;461421;122643;51531;1704333;2692900;1788947;4769932;8085490;8768164;1534955;552710;552995;91612;6479;331971;729
Кировская область;1585923;383588;1557;0;0;2;0;0;0;79625;20062;20041;1012758;244868;277941;156;85845;0;215090;171550;4373;137912;855567;81246;79667;-134;-140;6;694190;46375;503331;89400;1551600;379336;0;-109;12025;696;109019;0;4660;2100;135991;776982;98212;6857;700525;15578;603849;707991;911651;153620;354481;212246;31594;77675;1279727;3861380;1304493;2232936;14437;76545;5964;4453;386954;190727;392975;36115;301845;45157;43362;291358;56762;20176;694052;970446;472454;2436048;3246870;3325946;589254;185829;307846;65236;250;245146;570
Костромская область;436176;164062;14293;0;0;0;0;0;110;16220;0;0;248965;55285;52399;0;45476;0;166534;14353;28;14059;585754;23032;66561;0;0;0;129367;31011;43552;159424;485890;7032;0;0;202263;0;208;208;254;37;16242;79128;285571;142304;63593;60824;0;1112127;451889;202489;281485;121811;24307;29996;494005;1795755;588351;907112;1582;8;1728;17634;245247;94391;163237;34765;215750;24115;77032;3208122;30901;6704;255483;497569;317018;1302820;1740874;1542628;333153;77348;134549;23257;386;154999;119
Курганская область;645491;97818;21248;0;0;4;0;0;69868;28766;995;995;1560327;95041;1192708;0;84611;0;34759;3570;0;1226;51481;7489;11699;11606;0;11606;2170;287020;26625;190737;2304511;19340;0;0;41;2528;0;0;26008;0;6490;30898;823861;513039;29756;0;79;161581;400206;62684;116888;117909;9051;13535;802546;2813850;1386272;1256462;18069;440285;270;441;174452;129056;108846;9906;179849;27376;32729;66219;23683;8571;271604;607651;249763;2194884;2819668;2304696;448476;120443;155152;20901;0;170327;846
Курская область;2581426;26588;9841;0;0;0;0;1933783;0;21246;154;32;1805106;617383;135151;319022;77394;0;159600;84487;0;82265;54622;140132;36548;305;288;17;108111;332779;317163;96773;135298;221;0;0;0;2005;31928;0;4956;4928;427275;554264;196084;60132;79376;0;0;135865;1901799;243970;337230;152448;19070;85500;1278936;2415046;925150;1252244;2237;180505;35;15750;385162;156743;260688;19394;232810;37548;39944;152455;40573;12496;510807;1017749;381274;2043778;3615874;3143022;488222;145126;177962;32735;98;258711;3107
Ленинградская область;2497009;535008;87215;0;0;40186;1;0;362;827006;1526;1526;2054516;430737;89762;0;101183;664858;797743;10168;0;5208;640010;1411581;250158;1914269;0;1914269;1063944;110201;662071;1947888;1685128;105927;0;0;25039;64201;364002;0;252;157;254236;626890;759717;673032;2558183;1004258;0;1046489;2771735;370036;749179;529199;58596;285177;5070570;6063182;2118856;3301751;35698;611442;269368;6119;2653401;3116;522607;85606;414400;70841;107877;104356;7229;94339;2175850;2960366;957103;2621891;5345730;5021500;1240119;537303;552918;88651;1710;299153;1404
Липецкая область;2979122;92112;17936;0;0;0;0;0;0;321040;53;53;1950227;297511;153446;323370;179299;50192;105928;6097;0;5835;22860;47080;30036;2190;0;2190;134163;49430;265169;379417;6781962;6109765;0;6103662;1517;27191;6900;0;185551;183000;16788;722365;570537;2468;70029;58;0;245409;673900;461847;316871;127432;60651;106937;1531712;3257796;1135230;1821157;8619;219250;0;25858;306497;157903;248351;19756;500055;53010;86904;196041;28096;26169;592867;886916;637864;2102016;2904864;3341194;532822;171934;298399;63936;1041;217452;892
Магаданская область;56573;38962;603638;46990;1;0;0;0;4769448;1510;844;0;83144;14450;16582;0;2116;0;2129;222;27;194;2075;0;11521;149;0;149;75536;0;3979;17590;19329;51;0;0;0;0;2935;2935;0;0;1423;63;49173;2;0;0;0;18323;1156931;0;427316;83912;7777;-447;565795;996063;500083;421141;89;0;21076;68186;899917;84044;244956;13336;170300;22300;48776;31817;11457;879;167642;644355;327663;1921786;1256986;1824346;387124;100831;113479;9219;320;94432;2791
Московская область;3976778;678813;59213;13219;60;89484;0;67;6623;624005;292528;291728;11074135;2163024;1260923;866;4063950;701;2345612;227175;9698;167200;823992;1289038;1283754;295953;213045;82908;3574659;3134651;3786375;5505741;11344886;1019970;76;11579;511828;74068;1450722;53871;26976;-936;4156058;2585864;4770097;915081;6388381;26843;4001233;5549937;3091674;2266019;3976794;2148802;246221;1043293;18301562;69777584;33900114;29200348;486968;676552;85843;984768;12596953;1361803;4512973;893305;5445298;326877;1648042;1209410;1078743;664555;16201591;37189383;7233880;17465866;30766198;28199686;6920972;3487133;2868767;425922;7128;4149222;10917
Мурманская область;96661;54643;3059184;2850;0;398557;2700;1195583;167025;425173;81707;81707;343887;15924;38077;0;15936;0;32831;225;28;197;16862;1757;40018;981;0;981;36903;38;14801;64242;3568124;34;0;0;654;0;3422061;0;20189;2869;8110;113;25584;0;58021;51772;205;1292145;2091641;78761;1076250;329094;62246;231804;1323811;2007535;647809;1110652;6788;50204;259434;2091;2074140;148783;426981;88346;303726;39219;64892;80180;27051;16874;844314;1568600;503203;6334595;4090294;4398827;888083;327709;266963;51893;214;171545;504
Нижегородская область;2084013;253540;6225;84;0;379;0;0;259;67652;11823;11823;2059475;270252;356066;43241;2502587;10661;566437;102008;263;19361;537462;554130;149452;720646;0;720646;2731056;760287;1127871;1220240;7678205;381154;0;320;2427467;8632;3493;41;130039;763;3761959;629038;1318602;5385525;3451957;997142;1949549;1542161;2504153;626324;1212432;801877;179346;391503;5168344;17178203;7221603;7667274;7885153;1954912;402541;5773;1748454;603850;1039475;177865;3516684;171194;1778758;2863330;141942;129109;3321430;16078812;2310815;6634591;11101485;9974158;2240764;967740;887634;162588;3098;609899;6316
Новгородская область;593739;264534;10091;0;0;0;0;0;0;31042;0;0;587003;258282;61999;0;112431;0;79688;1322;0;104;674317;159215;90642;34;0;34;1304624;1053;68472;814370;198936;0;0;0;0;1016;2595;0;0;0;385460;195083;287789;42424;56397;42;56118;748333;533034;147240;430151;268751;5021;128463;923223;2787912;754698;1867018;5450;334246;13125;0;223253;106021;406525;77890;162332;31990;26318;100374;45486;11466;448333;843610;187162;1364524;1605615;1720583;443955;91577;178009;24987;156;150417;25
Новосибирская область;2485272;225695;20737;719786;0;51293;0;0;49811;312210;18439;10884;2324539;759788;250666;90;258563;79;313679;49651;1584;33436;239311;197743;285294;88832;0;84067;1037034;722345;460065;1470951;2057710;2249;0;0;102901;51289;442891;46305;93061;86227;2232684;650805;796267;104945;1831701;12721;1242094;872794;2430238;78881;892738;473765;27055;186508;4251941;15608485;7366509;7260595;11496876;122917;16914;2680210;3609376;608649;1031789;137581;3866918;114203;1566922;23009216;123077;536292;3501887;8744609;2474218;5553131;10799109;9458192;2276128;886940;870426;160753;570;726351;8276
Омская область;2146230;107999;15728;0;0;1;4263;0;0;11293;1526;1526;1470062;398844;409306;0;145462;770;98869;19354;24;11488;76498;77085;72923;1077049;0;1077049;789788;9169;654529;308819;753165;3782;0;0;100108;5489;5181;0;83231;3303;1729570;53939;309466;15670;943409;28042;896567;892199;1228225;224776;739405;128712;269217;87702;2673139;6081568;2566728;2963809;71433;1312057;173875;4105;1023145;280287;510622;71048;892847;65129;242327;238433;28748;32305;1466604;3500807;1104398;3696277;6244723;6395934;1206997;485313;416109;81123;414;275561;3122
Оренбургская область;1783042;41311;11072;0;5320;1824803;2476998;213;1484594;689240;1824023;1823887;684318;202137;119014;79;58830;41;51292;27615;0;27233;40723;6130;58846;441824;0;441824;331011;1961;72954;464750;3845847;1655022;0;0;190626;6256;441685;-111;3802;3;3412;117730;372131;92874;240483;46;2;330101;1682510;452856;368438;288636;11769;184140;1490483;3924895;1085458;2448895;257802;605172;102;32241;1017801;289049;433286;48551;461152;66945;109969;367207;49302;31841;997517;1482894;791878;3390215;5297878;5163312;911205;387972;424555;70840;375;354247;1794
Орловская область;1718062;3835;2800;0;0;7;0;1703;0;8400;5;5;581601;21837;32936;136236;14108;0;151692;7007;0;6851;36684;10191;17140;227;0;227;11192;55328;89354;495800;550419;4293;0;0;122;16733;12363;28;131385;116726;445346;71154;648965;224281;2935;0;0;145798;433208;172018;203799;118030;5316;59779;672165;3043194;799363;2006915;11244;134784;128;164;191709;119609;149712;16597;300956;28479;39752;56142;20518;40495;366706;384097;246530;1561713;2656565;2016455;349508;80010;165208;29461;154;0;157
