GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86
Тамбовская область;3000036;95326;4613;-2;0;0;0;0;16;10432;169;169;858948;41175;78505;284378;86909;9504;173162;31300;0;8003;103861;19563;8692;0;0;0;384601;0;40573;183780;242787;70;0;0;0;60402;0;0;8863;0;1170690;59160;231687;6715;514595;112;0;284104;673454;237738;180210;78319;22996;73778;590253;1951306;633502;1147187;1024;658116;137;214;308558;131518;150577;11701;216683;33682;40288;82940;27538;5283;424937;831277;407564;1942717;2430425;2336493;393504;129146;197962;31899;112;166400;179
Тверская область;912068;169004;14127;0;0;0;0;0;2131;70608;36573;36573;952176;259522;136240;986;150620;26;349999;234827;0;122130;541446;136262;258816;963;0;963;187953;39177;467719;384087;719436;9182;0;0;2984;67855;975;8;68737;63886;197825;310979;842787;170307;1766863;10913;94896;499950;1968288;295958;550174;215363;52566;78772;1533381;3682706;1180566;2114911;222121;195019;58757;119624;367409;368667;393536;108270;414331;50878;49963;91945;32248;27067;1028041;1568577;594951;3067517;3387822;3354918;750100;224913;290254;52266;364;237124;1453
Томская область;821918;254245;5669;187;28;1804219;451931;0;0;41171;983433;983410;609542;198635;62445;35;211318;0;30088;23832;0;23696;366771;1163;61367;137244;0;137244;649345;160464;86658;269718;1083664;3610;0;0;170;1975;939609;0;261;0;516930;730777;148889;0;24279;24233;0;694756;1478576;113894;689178;213805;42699;131543;1802666;5263493;2356330;2682892;6876;2075579;213426;95746;383600;173154;420059;37662;822334;30968;263707;225523;44105;18011;706617;3192560;464069;2953700;6309307;4086858;672673;110049;273676;57171;618;170697;266
Тульская область;1317359;14371;2466;0;4203;0;0;0;0;187624;0;0;1399517;165683;178269;29763;153130;0;300210;120745;0;98005;104486;156797;59499;218;0;218;1785030;55982;299170;672551;6438026;1645758;0;7697;2390;44933;140028;0;176502;107419;795629;351753;525586;51283;160984;0;2933;464193;844669;480946;941674;260272;31684;105878;2448300;4759864;2178875;2085187;2533;222622;19298;211;559898;166540;314032;60055;604736;36316;81967;183977;39793;27929;964318;3578372;733081;2326372;4283426;4067240;948967;368134;355679;55709;1119;283580;835
Тюменская область;1848706;194298;27693;0;119;1081183;2;78;43163;127268;494068;494038;575394;134982;73735;0;53227;0;65265;2262;0;2225;185129;51840;39119;1510843;0;1510843;693714;64444;189387;389840;986896;370403;0;0;0;4936;21053;0;98;97;843660;277423;711255;127367;40859;37844;29;1140414;1817879;299095;378104;206498;34714;120581;7525930;5362967;2078301;2523061;98511;3192172;162711;108416;1716639;272696;694841;139000;940872;91398;245696;831382;130929;48941;1353697;6998635;1323978;3580533;6032588;6259264;1324600;532128;1963279;115143;660;392882;71
Ульяновская область;652387;58996;5375;193;0;7511;0;0;0;85580;176785;176785;598062;41565;84130;94850;138851;0;172100;3372;0;3128;286080;35113;149277;33209;0;33209;17597;275;185386;404639;750151;15587;0;0;11602;20533;91123;0;78254;73295;1554939;221414;310512;2136961;1331333;22612;1303440;327240;983276;234201;321169;276325;26768;92734;1022166;2995247;955401;1726282;12051;5675;1223;494816;361327;165768;345536;54822;643875;50149;40814;132392;81965;60302;656594;2226673;476478;2615225;3851346;3502261;620239;223482;244898;43266;514;312817;859
Челябинская область;2818526;132799;24236;2965;13807;1;0;333852;1029110;847440;18022;4834;2260615;209992;309620;797;119441;0;239416;216912;0;207788;160680;88010;99877;191765;191204;500;2716090;112246;502101;2507835;15683787;7553918;541523;0;1363750;656402;729135;451;164480;40058;1072645;589249;2922965;1895835;1161979;2252;756269;3955298;2538012;101138;937519;638876;50252;468333;4698014;11622523;5407325;4922889;6270358;868256;415;77177;1054744;357172;938646;136367;1443678;120383;353656;1381738;193858;83540;2999946;6408686;1682728;5857498;11565991;9848524;2030633;940304;958728;133960;1782;506127;4737
Забайкальский край;206771;205126;1274;1125;312210;0;1735;3527;2705291;87673;5435;0;230329;85673;29103;0;41922;0;18808;2171;0;2142;25802;409;11180;106;0;106;907987;258;13946;66560;131341;994;0;0;0;293;9581;3760;643;643;1396;1438;55216;1417;38568;10702;0;210834;1091091;1058;672138;105658;34131;14767;643854;2437539;686212;1538247;9437827;0;488;25942;443686;142879;209079;23140;229195;30959;95696;170122;45225;5554;546401;1000642;423295;4367087;4132572;3760859;604572;170198;200030;41320;295;151653;887
Ярославская область;1073210;68518;7836;0;0;144;0;0;0;56766;82;81;690402;252533;122204;0;31945;5345;190927;175533;808;76130;137657;220356;117659;705580;0;705580;872949;18936;1015534;386438;683137;4430;0;0;151;2417;3984;0;37289;32757;611536;515163;1084834;899678;2596680;442768;1874008;450663;687798;220944;1427334;440255;22385;102540;1704844;4273769;2159211;1531580;9057500;578679;87436;165;882080;268015;470785;130985;992380;31233;308694;230104;39478;30824;751893;1524028;664237;2502398;4229393;4127668;1119902;532479;410597;61639;314;251560;1674
город Москва;1363218;292858;210494;245496;3226;8225877;80756;5770;215320;753632;9519890;9365519;14202237;2832870;2773815;2435;897234;7557;2814605;702826;347;568714;898487;987259;3164180;1923667;1948;1921212;5348545;4458992;3419724;2371787;10666203;468819;0;387;90610;596736;2693095;92797;131252;34858;14341647;3731726;5886969;2196709;10947873;79731;9392666;15800923;17371061;1328118;5158714;3776439;1047636;2260001;87243977;239023529;151445273;73478041;30329159;3163004;854966;21772347;28088863;5527564;23093123;4340114;104619647;7818491;24911684;126372849;19999862;10820825;43255280;207744250;43943824;45830959;87870695;78182579;25684872;10869807;15093073;5305910;103500;30870272;38778
город Санкт-Петербург;425056;194212;199192;839;0;660714;0;303;1982;80184;813254;809731;5014872;453601;280578;2972;3035655;801562;1064264;234639;120;138157;710998;1321068;1210365;2134696;0;2134695;1806314;1922568;1862900;2119763;7503301;357106;7910;0;350346;66711;110322;9283;152826;4617;8723541;3448662;7745286;2385415;7529252;5363852;1865740;5552532;6392684;879228;2627140;51860;1603713;975469;40950604;83883862;37860758;40183741;14333884;1192493;872531;2814158;14119466;1304119;7572888;1384569;32333452;684480;18954007;22881192;718072;893095;13755119;49713536;11124653;13342575;39125615;30336078;10066604;3304607;3387334;855470;1728;4327143;7247
Еврейская автономная область;37898;55323;788;0;116;0;0;233541;8051;35002;157;157;40872;10794;9978;0;2428;0;9819;3871;0;3871;7286;9989;433;0;0;0;78;0;6488;128260;8982;0;0;0;0;2681;0;0;668;668;0;12611;2;0;0;0;0;17354;115074;15948;117422;41860;991;5256;85920;340912;51682;266533;237;0;10;0;21098;29655;28546;4333;49814;7462;19381;9921;5951;236;100356;85856;58059;678625;691593;673103;102937;25070;51256;6805;0;0;0
Ненецкий АО;121677;198;129710;0;0;545087;0;0;0;1550;5712;5712;74308;41549;6945;0;434;0;1820;0;0;0;336;0;1076;1305;0;1305;0;0;1148;23043;253;0;0;0;0;0;0;0;28;0;0;0;0;0;200;16;0;1507;177890;7461;103468;0;15763;0;195617;181706;46165;130482;0;0;8686;210248;112198;20792;81423;11608;80058;11855;14917;10099;61;104;78948;149510;37162;472696;580463;403515;116755;19241;24364;3460;0;13641;0
Ханты-Мансийский АО - Югра;138844;394169;58200;0;0;41260125;0;795;0;72986;26322278;26322253;326841;84687;5472;0;35386;0;31828;297;0;80;258129;1317;60332;961727;0;961727;125652;554;47208;162006;511720;10171;0;0;0;1670;55;28;29204;0;10162;73644;38634;9580;21313;20617;696;2902594;5098250;111183;1871583;453304;238194;278571;9108625;6051884;1829093;3144230;386283;8634853;283590;2387435;2540467;274315;1009289;148849;1797028;85008;295510;709600;809930;69860;2496206;4450442;3110475;7597726;11984133;11929169;2544710;1168179;871044;192003;4148;341138;5993
Чукотский АО;255711;11635;20251;1920;105525;0;0;689;2288408;-155;3208;0;27183;2448;988;0;848;0;210;0;0;0;60;0;158;0;0;0;0;0;64;0;121;0;0;0;0;0;0;0;0;0;0;0;0;0;143;143;0;2727;1033747;5418;371484;1646;2494;3985;302713;477252;222316;251308;0;0;226489;193255;227430;47063;19107;3825;62317;18896;11295;36595;6799;108;80428;133249;23075;868449;771304;632331;138295;5196;18365;1146;28;12096;0
Ямало-Hенецкий АО;300252;32435;210835;0;0;4340533;18099209;0;439;154198;8392946;8392946;102534;44091;1893;0;8008;0;5852;533;39;493;28875;243;9251;384477;0;384477;16642;0;6114;139942;167254;151669;0;0;0;18;98;0;0;0;1044;21;7547;0;1;0;0;644573;2697700;85954;1995741;71;25714;53052;4626486;4170494;3076928;904896;549868;2829527;108663;1337440;1213946;121087;646212;152667;718969;117289;104596;459673;55777;7268;941971;2908516;1316609;6253364;5296688;4367821;1198936;398089;334640;33929;533;925762;1483
Республика Крым;1152574;79337;29467;0;0;2607;944534;0;1525;211016;17023;2149;362999;105874;54401;20;229973;37137;30093;4142;568;3279;15360;8982;40121;481;0;481;783541;793;54010;281544;81294;1243;0;712;0;3431;141;141;185;74;197090;22945;98114;2999;598408;529140;3946;164885;968709;332896;180290;757954;9533;186882;1509784;5248803;1450709;3513253;887209;1884;116232;28355;940506;382198;1095003;374937;601455;54543;314859;636710;28222;23784;1386860;1185986;657400;3872377;5890066;6154854;960470;244311;375160;74335;484;550311;736
город Севастополь;61509;9877;21888;23;0;14;0;0;0;76236;0;0;66818;4950;4848;0;30914;0;9848;114;0;114;8069;1387;8019;0;0;0;4361;0;8557;114839;43148;0;0;0;0;1155;62;0;28;0;20899;28041;24889;209;324067;323985;82;175064;211899;20987;47146;53589;6913;32132;432002;1283821;364686;843309;32;0;7258;25;239630;1391;228673;44153;189507;9672;30148;80446;3021;5121;423697;448673;172201;2062256;1295349;1242121;294636;91943;134524;23969;85;122229;6
