"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29"
"Республика Адыгея","1751","1275","466","462","0","0","6","0","53843032","3178835","65553457","10173654","63382777","9425142","11568008","0","57422947","45252938","12170009","1078253","912572","166206","202590","150859","0","0","51731","0","0","0"
"Республика Башкортостан","13097","6567","6438","6354","0","0","98","0","548084496","48835971","839954560","248955501","800468498","230981451","83277637","4562020","650230053","561433031","88797022","12949146","11351941","1552007","5016268","3613910","0","0","1402358","57096","0","0"
"Республика Бурятия","2796","1793","975","973","0","0","10","0","191991490","17713176","269326177","66850788","259506372","58348937","7378897","82127","209899080","201152894","8746186","3158875","3194361","32859","1268997","958045","0","0","310952","377","0","0"
"Республика Алтай","1319","918","313","313","0","0","0","0","21498486","116919","49543013","6389768","45315021","3964695","816566","0","41419518","40492130","927388","296556","275045","16051","73384","73384","0","0","0","0","0","0"
"Республика Дагестан","4126","3554","545","524","0","1","15","0","123221416","10412281","200613709","28516674","194011744","26918955","1871973","0","170259648","167523296","2736352","3244125","3215764","20094","593959","387308","0","509","206142","6295","0","0"
"Республика Ингушетия","576","494","74","64","0","0","11","0","14897278","2386852","34402965","8109198","28343159","6268521","1690837","1353999","22185368","21815289","370079","436199","471206","7348","137889","84637","0","0","53252","30644","0","0"
"Кабардино-Балкарская Республика","1551","1165","367","352","1","0","18","4","47435407","370489","78473585","17021861","73825536","15261517","3683098","58265","61560873","57337847","4223026","1428405","1204000","74669","317833","312585","0","0","5248","1664","0","0"
"Республика Калмыкия","1082","753","325","255","0","0","72","0","60115331","16020977","68189222","19899115","61805524","20494359","484677","813","41946052","41075372","870680","544555","740910","3993","439995","101899","0","0","338096","30","0","0"
"Карачаево-Черкесская Республика","1451","1103","344","320","0","0","32","0","38188914","7109969","68217233","24972753","67831447","24940648","1058907","182683","40420374","39716037","704337","849759","840547","5742","525081","488699","0","0","36382","2062","0","0"
"Республика Карелия","2652","816","1826","1518","0","0","751","18","135875512","23614811","193128480","53091951","189758080","50106332","2048495","0","141734962","139551339","2183623","2056703","2024143","28808","1562329","1035990","0","0","526339","10086","0","0"
"Республика Коми","3750","1893","1830","1789","0","0","54","0","947211601","2900109","1248328675","142761109","1214608937","125092485","12281931","0","1101580607","1088817640","12762967","19237872","18981450","241940","2977304","2238167","0","0","739137","0","0","0"
"Республика Марий-Эл","2360","1191","1164","1160","0","0","6","0","84730271","5762935","119471197","26682057","118890680","26018260","0","0","88118860","88118860","0","1587047","1587378","0","725634","446933","0","0","278701","0","0","0"
"Республика Мордовия","3047","1627","1411","1388","0","0","34","0","122157485","30498668","185323870","70084731","182504529","65976977","5957649","1518272","121397074","116488271","4908803","2472431","2346021","93331","1485386","682432","0","0","802954","29914","0","0"
"Республика Саха (Якутия)","4607","2725","1852","1727","0","0","170","11","843882312","139842143","1011447275","254961451","936618911","224126614","7265","0","698435547","698421594","13953","13717373","13700002","121","5032466","2872243","0","0","2160223","0","0","0"
"Республика Северная Осетия-Алания","1916","1571","334","328","1","0","5","0","47059458","103588","98633402","37235241","98786811","37478305","1793875","0","52127319","49745571","2381748","900935","835148","23286","814703","813263","24","0","1416","0","0","0"
"Республика Татарстан","15458","4931","10402","10227","0","0","438","0","1019136917","181851509","1711601730","570254228","1575329943","474080501","95015278","16791","1196548625","1098186233","98362392","22310582","21223528","1164944","11949615","7411284","0","0","4538331","396","0","0"
"Республика Тыва","1315","1150","150","150","0","0","0","0","24487726","520743","35162091","3551700","34233073","3701284","239826","0","24013462","23752966","260496","495417","511056","240","77388","77388","0","0","0","0","0","0"
"Удмуртская Республика","6352","2642","3635","3591","0","0","59","0","212553780","22576956","316096960","82388844","305066882","69875156","17706047","67063","249013538","230714263","18299275","5056043","4576119","306029","1531510","1071184","0","0","460326","1145","0","0"
"Республика Хакасия","1821","980","822","806","0","0","20","0","125251369","6298509","185817046","39739474","180409179","35377207","8560066","226151","134774791","126787545","7987246","2687379","2537105","145855","766950","560013","0","0","206937","2473","0","0"
"Чеченская Республика","1872","1155","711","607","0","0","108","0","70415888","21423339","159937881","54279928","142693493","487060087","3413","0","99485465","96757767","2727698","2142189","1991152","53496","1049181","339589","0","0","709592","832","0","0"
"Чувашская Республика","4098","1601","2488","2386","0","0","136","0","154806957","28653043","213025102","65768568","213456393","63873354","0","0","145384536","145384536","0","2766261","2765135","0","1358878","924587","0","0","434291","0","0","0"
"Алтайский край","8370","4916","3389","3388","0","0","0","0","186030811","9974271","283415822","64919081","272754824","59118754","16745696","138441","230261421","213400806","16860615","4504969","4224784","288489","1276202","1276202","0","0","0","579","0","0"
"Краснодарский край","21542","9124","12195","10300","3","0","2008","19","2261309089","680991342","2946332068","1084452797","2857942321","1042687956","125086968","3691086","1961556593","1815254365","146302228","36082526","33849353","2233173","22672484","12910095","315697","0","9446692","539631","0","0"
"Красноярский край","11430","2794","8620","3862","1","0","4878","0","1161227385","177360770","1620859863","462540241","1524263244","413442072","144549","0","1059872055","1059727506","144549","20161742","19896423","2852","9702809","4750367","54","0","4952388","0","0","21"
"Приморский край","6683","3095","3522","2971","0","0","684","56","624921688","113614857","793148597","208939352","785758618","200765126","23395644","3962672","603040745","583271980","19768765","10061379","9839648","184805","4388981","2850015","0","0","1538966","39851","0","532"
"Ставропольский край","9198","4620","4578","4445","0","0","184","0","314850084","49835044","583337462","212362835","559982550","199457198","14261750","0","382231611","367927625","14303986","7546583","7335211","208541","4446793","3338492","0","0","1108301","0","0","0"
"Хабаровский край","4585","2044","2490","2440","0","0","92","8","585145084","62934105","880885442","193017173","868268882","178132553","7176983","0","695412353","686811784","8600569","12069965","11887775","113009","4423265","2721683","0","0","1701582","0","0","0"
"Амурская область","3318","2067","1207","1128","0","0","92","86","462974943","31629868","535189013","73098659","520520007","65037567","23701405","0","461104217","437007971","24096246","7399796","7091010","222669","1724234","1415105","0","0","309129","170","0","0"
"Архангельская область","3640","1716","1893","1893","1","0","0","25","365437256","20678291","474325369","87695261","456247983","79955035","30510","0","376301273","376270763","30510","6871114","6860871","610","1758108","1752164","5944","0","0","0","0","0"
"Астраханская область","2442","966","1438","735","0","0","718","0","392811802","180078813","478743817","233909216","419365693","182946178","123909","0","236481478","236352575","128903","4508444","4540586","1389","3969638","3362870","0","0","606768","0","0","0"
"Белгородская область","6996","3587","3348","3021","0","0","324","0","270908379","1933906","462750118","116292588","429571994","100402036","50048189","585543","380071533","328895156","51176377","7645513","6836312","902184","2075674","2075674","0","0","0","6046","0","0"
"Брянская область","5262","3728","1508","1486","0","0","57","0","125653241","29665272","237867061","111411838","226845735","104042233","18493363","3604039","141045024","122636915","18408109","2789853","2431623","311202","2284818","1570419","0","0","714399","72081","0","0"
"Владимирская область","5140","2581","2537","2520","0","0","35","0","220161333","35057626","327990000","103018354","320372560","99139099","34435","0","203200456","203166021","34435","3949941","3946446","634","2123639","1610578","0","0","513061","0","0","0"
"Волгоградская область","7634","3472","4118","3876","0","0","393","1","412166715","98117340","636676984","260085477","604885255","238677726","3678859","1708616","366224056","364233242","1990814","7203670","7173126","31687","5232018","2898564","0","0","2333454","19001","0","0"
"Вологодская область","6648","4055","2573","2488","0","0","102","0","1208282398","717028900","1417248865","799544831","1354368296","798617195","33921981","785896","590145211","552872150","37273061","9908266","10061904","526330","2127234","1855876","0","0","271358","17042","0","0"
"Воронежская область","8819","4114","4625","4583","0","0","44","25","391643126","14583570","809758302","199962296","762874462","186429426","9916964","101516","584083946","573832721","10251225","10588532","10560377","67708","3504651","2815476","0","0","689175","72","0","0"
"Ивановская область","3681","1718","1915","1904","0","0","17","0","97640827","697256","133218965","16894555","132698488","15296149","7793319","0","112830361","106245591","6584770","2094728","2070110","61955","321344","294876","0","0","26468","0","0","0"
"Иркутская область","8463","1849","6592","3923","0","0","2970","2","737803094","72616970","1107696650","268761986","1011298857","231312839","92192","0","776832474","776740031","92443","13947343","13821755","1748","5858930","4095965","0","0","1762965","0","0","2410"
"Калининградская область","4739","2731","1979","1708","0","0","309","0","185818098","47128864","297070949","121989998","263584309","96342028","53539535","4156896","242758988","192738386","50020602","3864881","3406820","453500","2128714","2074053","0","0","54661","46974","0","0"
"Калужская область","6108","2410","3646","2145","0","0","1685","0","312948960","86325735","453094124","206292951","431185597","208475057","0","0","221544173","221544173","0","4227381","4191400","0","5004100","1943435","0","0","3060665","0","0","0"
"Камчатский край","1814","970","829","783","0","0","101","1","104994807","17622194","139624977","36719504","132781385","33258211","3753294","27963","103413655","99577684","3835971","1946715","1885941","56606","859644","343407","0","0","516237","310","0","0"
