"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29"
"Республика Адыгея","24","0","0","4","0","0","88914881","82608359","70785766","1532355","114329","0","0","101043","0","14963","0","0","711","0","0","1","0","2899","14894316","14221891","265329","0","0","х"
"Республика Башкортостан","96","0","0","2371","0","0","774137964","735979362","474197547","10188225","551619","0","0","5010048","0","228203","0","0","1039","5","0","26","0","2644","84638200","81918075","1610744","9458","0","11843"
"Республика Бурятия","28","0","0","62","0","0","295929010","268160271","227626993","4123601","204650","0","0","574070","0","735216","0","274773","757","42","0","4","0","2828","11654055","10598056","208292","1858","0","437"
"Республика Алтай","14","0","0","31","0","0","60244598","54535570","28359624","527079","138487","0","0","534099","0","0","0","0","180","0","0","0","0","330","1572633","1532132","29730","0","0","0"
"Республика Дагестан","48","0","0","563","26","0","185554283","181250342","149979890","3203123","343629","0","0","266880","0","70020","0","0","940","0","0","2","0","4826","30376020","28782301","279175","0","0","3786"
"Республика Ингушетия","5","0","0","6","0","0","52453529","51356978","43472575","955412","129104","0","0","31764","0","835","0","0","112","2","0","0","0","883","3929862","3361092","63950","4045","0","0"
"Кабардино-Балкарская Республика","14","0","0","5","1","0","75764378","72914351","57909558","1266920","159059","0","0","2607","0","6833","0","0","500","3","0","1","0","1050","9799393","9117089","189241","407","0","х"
"Республика Калмыкия","21","0","0","8","2","0","75638289","76800936","62925912","1380454","189174","0","0","106348","0","3824","0","0","313","22","0","1","0","871","4029286","3549449","48870","774","0","х"
"Карачаево-Черкесская Республика","30","0","0","11","0","0","82863553","78221146","46702764","1013063","635171","0","0","23756","0","279","0","0","307","29","0","40","0","979","8678234","7976849","72036","17362","0","12723"
"Республика Карелия","44","0","0","24","0","0","194069640","189299075","142742601","2833486","633964","0","0","166072","0","212808","0","0","942","47","0","342","0","2974","23941836","20885888","312743","5055","0","99641"
"Республика Коми","25","0","0","11","0","0","1146523084","1154867542","1129337941","24613242","27058","0","0","498200","0","237198","0","0","698","0","0","577","0","1705","15699144","15232469","273157","0","0","28599"
"Республика Крым","292","0","0","75","0","0","706938712","563498584","387989482","4812135","1786049","0","0","845398","0","0","0","912802","1393","95","0","0","0","4007","46385136","43582177","342534","85392","0","0"
"Республика Марий Эл","42","0","0","8","0","0","92072075","92203473","79326725","1734745","83449","0","0","113931","0","5964","0","0","1098","28","0","0","0","4617","14200344","12475549","246000","2597","0","0"
"Республика Мордовия","114","0","0","24","0","0","203658082","187777469","145097968","3137627","246759","0","0","683133","0","54392","0","0","152","0","0","4","0","258","6561913","6396643","94338","0","0","32113"
"Республика Саха (Якутия)","30","0","0","88","0","0","1979025439","1884856273","1721255492","21054468","1332544","0","0","3055198","15227209","140401","0","273693","59","0","0","316","0","241","14022678","12414277","53602","0","0","217727"
"Республика Северная Осетия - Алания","20","0","0","18","2","0","144602106","140741648","104118749","1937490","551460","0","0","8688","0","6325","0","0","251","16","0","1","40","876","6180129","4671580","62720","389","0","х"
"Республика Татарстан","245","0","0","446","0","0","2002568382","1929069657","1730379990","36725678","2141751","0","0","3287027","0","173201","0","0","405","0","0","0","0","1143","106230086","103525060","2060671","0","0","0"
"Республика Тыва","17","0","0","34","5","0","28433917","28635860","16570807","357456","9002","0","0","160716","0","0","0","0","107","0","0","0","0","504","2134557","1818996","36138","0","0","0"
"Удмуртская Республика","36","0","0","79","0","0","323831208","316134442","283976830","6116485","55615","0","0","601034","0","129424","0","2212","1807","56","0","659","0","6190","74640690","65080317","965284","9508","0","52743"
