GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147
Республика Адыгея;27063651;27092106;2881;3476501;3531593;35315927;395;27850;27628;303900;11;82109;0;18873685;18889073;94445397;2732;-469;0;188434;187826;1126956;111;0;0;0;0;0;0;0;0;34666;34666;173331;59;3671658;3679109;25136960;1380;522479;521940;498;19374;19374;8;709233;710271;771;18709;18697;234;0;0;0;282;282;14;330;184;2;-16;0;0;22818818;22899796;2685;18068640;18132312;2656;713294;726290;139;12265;12265;23;457757;459371;436;33905;33905;53;3519076;3521775;1302;16507;16507;35;75;75;1;0;0;0;47917;47899;26;4786087;4729931;2950;0;0;0;657208;556513;79;0;0;0;1216753;4811805;962362;166848;33371;9085;919906;0;0;0;0;0;0;0;0;1145454;229090;16647;3330;8;225752;0;0;0;0;5957259;1191452;183495;36701;9093;1145658;375289;16455;391744;7106;0;2;2;1216753;47900
Республика Башкортостан;876144409;869885012;63944;26530239;26185350;261853039;5037;4656;4789;52676;29;6886905;0;631660381;628990962;3145104636;61800;-140312;0;7843720;7924430;47546571;1103;8734;12687;108785;14;0;0;0;0;946773;935852;4679269;418;170645314;169955991;1035057007;25456;26734069;27592498;9888;619087;617659;125;31766085;32497645;14754;1160762;1150823;7053;431;431;3;2722;2485;55;94524;39349;77;144;138;22;801122959;795416454;60728;597044357;591331728;60316;7464647;6674296;1101;1444396;1560801;445;28788307;29806689;9740;948845;933870;396;164456167;164131216;23196;948511;953180;713;759;759;12;53515;52291;17;14394271;14951584;404;95159127;94537393;68149;0;0;0;33040038;33839876;704;9656640;9727119;147;539658878;70666515;14133301;18046111;3609225;1303622;9220454;1578273;315655;168184;33636;35242;246777;33;19;65111432;13022286;38344159;7668834;20949;5332503;0;0;0;0;135777947;27155587;56390270;11278059;1324571;14552957;82493630;2609997;85103627;368587;13514;43;25;539658882;14841133
Республика Бурятия;58680769;58120273;4772;5205595;5188907;51889065;924;377;377;4153;8;61403;0;36600412;36510719;182148055;4428;58;0;46619;45837;275033;80;5587;5587;36993;4;0;0;0;0;273610;273610;1368050;35;13290537;12921040;78353568;1540;2821978;2826264;653;156676;148670;8;3202102;3157941;1204;70865;69914;624;0;0;0;402;529;12;6004;3032;11;-10;0;0;56811659;56367988;4318;41630270;41834805;4265;610091;610083;137;58567;58512;31;2618263;2616614;597;309144;273610;35;11539656;10928781;1414;31715;31710;73;0;0;0;152;152;1;5843936;5866795;241;8417544;8247257;4993;0;0;0;12318832;12264569;378;318839;321927;13;91025173;17105266;3421055;3769134;753826;399256;2267973;10;2;0;0;0;2;1;1;1551906;310382;7113;1423;287;308672;0;0;0;0;18657172;3731437;3776247;755249;399543;2576645;2804713;212806;3017519;0;0;0;0;91025174;5863544
Республика Алтай;23674013;23733770;1672;2420055;2448624;24486221;231;2327;2651;29157;6;235;0;17079254;17109323;85543756;1600;-412;0;111965;114355;686127;40;0;0;0;0;0;0;0;0;3384;2402;12011;10;3207018;3208569;22276181;676;826173;821525;325;0;0;0;850217;845543;487;42454;42442;110;0;0;0;186;184;8;3502;3502;2;0;0;0;20917963;21081751;1538;16650069;16812989;1532;244094;243834;37;61610;61537;8;816491;814800;278;3384;2402;10;3120413;3124288;639;22811;22811;17;0;0;0;51;51;1;279590;279590;35;3906207;3786950;1671;0;0;0;1387236;1367333;57;0;0;0;4961720;1634822;326965;189412;37882;6313;282770;29;6;29;6;0;0;1;1;13867854;2773569;3654974;730995;2621;2039953;0;0;0;0;15502676;3100534;3844386;768877;8934;2322723;436108;0;436108;1012842;155889;3;1;4961721;279589
Республика Дагестан;48023159;47150787;6822;2296225;2276324;22763257;651;2267;2949;32444;18;406014;0;38794160;38296315;191481152;6413;627668;0;204263;658011;3948068;131;247;247;5254;1;0;0;0;0;25462;11232;56161;26;4273944;4504927;27531894;1631;1271841;1246036;821;0;0;0;1408178;1387829;1166;15260;15209;129;0;0;0;90;90;2;1019;1190;6;135;68;1;39834181;39315141;6327;34590349;33818027;6203;596226;577767;213;121716;105708;66;1467161;1454492;965;24885;10655;25;3013914;3325227;1297;15319;15303;34;24310;24310;1;0;0;0;64837;69517;26;8642632;8268997;6767;60627;60627;4;480707;415294;72;42042;42045;6;7095525;12525889;2505174;2691467;538292;131403;1835479;10650;2129;348888;69777;1;-67649;16;7;3096871;619375;136085;27217;643;591515;0;0;0;0;15622680;3124533;2827485;565496;132045;2426992;1844240;1500390;3344630;354555;159;15;6;7095526;69517
Республика Ингушетия;7685329;7316627;1535;233555;230914;2304561;58;7;7;79;2;-42490;0;6758461;6445361;32225039;1484;11;0;59179;60716;364302;22;0;0;0;0;9;9;46;1;358;330;1651;2;513854;417128;2507310;150;149685;147708;101;0;0;0;162393;160409;131;634;634;21;0;0;0;0;0;0;177;0;0;-3;0;0;7110964;6808189;1473;6488357;6263103;1460;54714;54714;15;0;0;0;113557;112359;85;358;330;2;449903;375554;117;1945;0;0;0;0;0;0;0;0;7820;7820;3;771981;696897;1494;0;0;0;197203;195317;14;8453;8453;4;99552;624349;124869;562762;112552;534;11783;15147;3029;0;0;0;3029;7;2;10426;2085;109161;21832;0;-19747;0;0;0;0;634775;126954;671923;134384;534;-7964;68369;0;68369;0;0;0;0;99552;7820
Кабардино-Балкарская Республика;28471832;27807898;3685;1886916;1875025;18750244;755;16758;16772;184494;14;554211;0;21409588;21356188;106780939;3272;7297;0;142848;142398;854121;126;-36;0;4031;0;0;0;0;0;17155;17155;85775;24;3653208;3609985;22256655;1011;425429;420260;435;0;0;0;786972;781144;628;12754;11741;112;0;0;0;225;225;3;897;897;4;0;0;0;25615860;25148331;3446;21272212;20821607;3393;845935;858445;154;45856;49310;18;554138;559748;468;16970;17137;23;2866719;2828389;863;11611;11482;19;2;2;1;0;0;0;2286;2286;7;3332015;3216877;3639;0;0;0;627443;542725;71;363;363;2;1942640;5801570;1160313;1156167;231232;11593;917488;7822;1564;1817;363;820;381;8;5;2135057;427011;86519;17304;16677;393030;0;0;0;0;7936627;1587324;1242686;248536;28270;1310518;753278;28983;782261;54572;2286;19;8;1942639;2286
Республика Калмыкия;5500099;5418719;904;232117;240176;2401761;158;4516;4418;48592;6;62055;0;4623387;4596139;22982235;811;-906;0;18188;17195;103171;37;-189;0;0;0;0;0;0;0;2034;2034;10173;12;405769;405985;2569991;244;133144;132721;140;0;0;0;152818;152372;199;20111;20046;115;0;0;0;134;26;4;0;0;0;0;0;0;4357276;4310174;773;3819895;3770606;762;843;843;4;8847;8847;6;129270;130183;112;1990;1990;11;369888;371160;210;19624;19624;15;0;0;0;0;0;0;4553;4553;4;2031819;1997507;966;0;0;0;861875;861934;14;5396;5396;2;95203;699338;139869;149661;29931;328;109610;0;0;0;0;0;0;0;0;39570;7914;2897;579;8;7327;0;0;0;0;738908;147783;152558;30510;336;116937;28976;0;28976;0;0;0;0;95202;4553
Карачаево-Черкесская Республика;26139674;25852828;2445;1491522;1488610;14886096;309;4854;4851;53365;10;288537;0;20731731;20697394;103462572;2259;107;0;62882;68837;413024;80;1064;1064;7382;2;0;0;0;0;54160;47231;236156;28;3041048;3030374;18829517;695;394305;387254;269;786;786;5;464817;501166;436;11040;11041;68;0;0;0;98;98;8;8;0;0;40;40;1;23402907;23249122;2302;19523468;19387390;2269;476030;475886;45;77938;74843;37;636030;634112;285;52493;45564;26;2627253;2621612;615;9750;9771;17;0;0;0;23;0;0;8052;8052;13;2784847;2661092;2448;0;0;0;86813;56708;13;30493;30420;7;1724238;920056;184012;193139;38629;13835;131548;25340;5068;5045;1009;0;4059;16;5;901311;180262;47702;9541;3176;167545;0;0;0;0;1821367;364274;240841;48170;17011;299093;53874;0;53874;7320;0;1;1;1724239;8052
Республика Карелия;60750548;60426943;6593;2313278;2313314;23133144;684;47;2;20;1;280570;0;48418336;48380053;241900216;6363;0;0;240365;239002;1434013;113;0;0;0;0;0;0;0;0;117281;117109;585542;104;6819575;6812843;41643460;2926;2080050;2072494;1116;300754;296885;12;2561095;2550715;1797;100855;99723;1509;27;27;5;231;229;4;11982;2101;4;0;0;0;47914233;47619997;6185;37601724;37393143;6115;1473095;1473312;226;112955;113090;53;2149501;2006923;996;116075;115947;102;6393506;6453911;2739;67379;63672;180;0;0;0;400;47;1;2082677;2087968;288;15813337;15750952;7458;0;0;0;4904524;4911765;557;347855;347855;27;48234679;7854052;1570809;1710325;342066;145129;1083614;0;0;0;0;0;0;0;0;6606949;1321391;6383;1277;1869;1318245;0;0;0;0;14461001;2892200;1716708;343343;146998;2401859;1882627;2716953;4599580;0;0;0;0;48234677;2078005
