GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35
Республика Адыгея;7 236 177;4 412 105;6 843 013;4 034 644;19 152;16 418;6 072 052;7 740 274;763 037;416 226;65 909;20 098;364 323;458 885;106 415;57 595;136 005;111 929;0;0;228 318;346 981;96 382;51 514;24 919;13 065;1 840;4 363;1 026;821;884;1 593;386;342;22;4
Республика Башкортостан;85 660 643;27 952 513;81 780 130;25 742 350;549 533;386 605;40 463 640;48 019 866;5 673 879;2 431 677;1 201 923;162 634;2 427 815;2 808 871;846 774;338 962;870 532;802 805;0;0;1 557 281;2 004 509;685 544;298 913;427 019;103 201;15 187;31 414;12 730;6 176;7 478;9 496;4 347;2 226;374;66
Республика Бурятия;23 215 123;11 107 731;21 844 335;10 489 119;91 174;34 830;10 333 048;10 231 800;1 675 329;933 741;24 550;435;617 900;611 696;249 171;131 774;206 592;186 823;0;0;411 317;424 861;214 042;117 656;95 031;33 458;5 020;6 247;4 270;1 632;2 768;2 235;1 815;526;16;3
Республика Алтай;6 233 330;1 622 789;5 952 990;1 518 375;24 965;1 318;3 280 402;1 723 994;499 568;144 520;175 177;29 469;196 820;92 906;65 670;15 534;63 280;34 735;0;0;133 540;58 170;55 353;13 843;30 616;5 794;1 158;2 415;1 197;803;613;883;529;319;98;30
Республика Дагестан;18 074 029;12 176 406;15 919 875;10 275 961;63 951;51 182;5 643 698;4 738 383;2 630 064;2 097 620;3 932;81;338 622;284 067;263 006;209 754;114 257;73 499;0;0;224 365;210 568;248 257;204 515;40 274;13 505;1 957;3 744;3 251;2 401;706;771;1 082;562;3;1
Республика Ингушетия;2 299 213;448 542;2 060 096;392 593;0;775;938 253;392 909;260 211;55 306;0;0;56 295;23 574;39 032;8 296;12 370;3 168;0;0;43 924;20 406;37 805;8 229;3 750;103;595;267;681;154;368;82;332;29;0;0
Кабардино-Балкарская Республика;13 641 949;6 819 869;11 983 610;5 762 682;62 496;25 754;3 085 779;2 864 281;1 982 539;1 178 527;6 891;1 865;185 151;170 971;136 393;82 795;63 787;41 841;0;0;120 048;129 150;118 085;68 320;55 541;30 246;1 202;2 006;2 241;1 410;551;609;792;412;2;1
Республика Калмыкия;3 619 229;2 723 507;3 303 088;2 413 086;2 315;9 643;1 334 324;1 257 757;369 084;330 967;0;0;76 328;75 469;38 777;33 250;23 732;22 423;0;0;52 597;53 046;32 858;29 808;14 250;7 757;583;1 229;809;596;281;379;342;174;1;0
Карачаево-Черкесская Республика;4 927 535;2 765 105;4 666 224;2 531 005;33 891;0;2 752 677;1 844 079;376 014;269 733;15 115;4 152;164 448;109 430;50 427;35 897;58 037;32 787;0;0;106 415;76 569;43 617;32 313;20 555;10 390;997;1 824;793;585;469;623;302;226;9;1
Республика Карелия;34 604 984;4 227 556;32 093 904;3 859 470;321 922;32 304;12 273 275;9 344 094;3 102 414;434 179;107;0;736 395;560 623;386 935;53 898;248 306;169 414;0;0;488 098;391 216;326 229;47 113;169 107;18 853;5 122;6 526;5 451;1 062;2 789;1 763;2 056;352;2;0
Республика Коми;26 796 971;5 758 691;24 861 770;5 254 633;178 403;35 109;19 138 849;16 274 513;2 374 547;593 023;334 303;5 644;1 148 326;956 414;348 566;87 201;426 371;268 255;0;0;721 956;688 157;298 396;80 702;134 622;21 663;5 297;9 106;3 982;1 320;2 347;2 767;1 327;457;111;7
Республика Марий-Эл;26 218 556;5 113 154;24 443 653;4 543 489;134 958;27 725;9 096 345;7 052 818;1 984 913;629 311;58 752;116 305;545 779;419 643;297 736;76 866;204 255;131 228;0;0;340 657;288 646;246 958;69 621;119 545;14 753;2 805;5 036;3 673;1 390;1 325;1 499;1 278;497;20;18
Республика Мордовия;15 078 195;5 306 628;14 134 129;4 891 477;138 952;24 766;7 513 313;7 643 002;1 129 586;513 556;43 092;0;450 799;457 179;168 348;77 011;176 376;136 665;0;0;274 424;320 518;149 411;70 371;114 014;30 373;2 493;4 839;2 333;1 318;1 187;1 370;1 019;458;23;0
Республика Саха (Якутия);46 140 409;15 290 072;42 184 544;13 386 969;200 684;58 719;18 012 876;17 274 525;4 970 740;2 215 535;635 585;106 610;1 029 302;924 613;498 733;209 973;325 049;212 700;0;0;704 255;711 956;413 327;187 802;237 631;57 693;4 047;9 911;5 661;4 067;1 830;3 509;1 809;1 434;275;197
Республика Северная Осетия-Алания;10 334 688;4 107 496;9 581 914;3 735 192;30 339;14 376;4 322 263;3 524 462;869 262;381 280;0;0;259 332;211 456;130 164;56 409;88 686;54 384;0;0;170 652;157 086;123 353;54 685;18 931;4 625;1 825;3 004;1 601;952;854;1 162;512;352;0;0
Республика Татарстан;141 964 865;30 219 812;129 580 381;26 327 803;768 684;122 621;62 872 859;59 175 325;15 411 307;4 270 959;0;0;3 772 371;3 550 520;1 513 876;419 779;1 371 500;900 559;0;0;2 400 871;2 649 961;1 253 935;377 338;676 802;94 631;17 826;29 390;19 201;7 604;8 062;7 979;6 280;2 648;0;0
Республика Тыва;3 492 518;2 629 842;3 313 387;2 407 675;11 667;60 309;1 317 247;858 123;272 220;213 494;2 017;1 303;78 921;51 086;40 358;31 482;28 479;13 163;0;0;50 443;37 946;33 925;27 166;18 071;10 704;471;768;574;384;202;201;171;86;4;0
Удмуртская Республика;65 638 403;21 053 573;58 687 023;17 609 244;548 682;53 825;16 303 369;19 198 413;7 573 493;3 621 100;471 099;560 049;978 039;1 123 506;676 269;289 181;333 271;319 766;0;0;644 774;803 746;544 824;265 492;337 103;53 924;5 795;12 251;8 793;4 742;2 653;3 685;2 656;1 774;172;108
Республика Хакасия;14 422 592;10 088 474;13 420 286;9 383 573;54 350;22 188;5 735 683;5 403 497;1 203 776;888 741;10 469;1 149;342 551;323 067;167 998;128 858;120 695;109 148;0;0;221 899;222 228;151 034;119 103;55 808;20 884;1 944;4 301;2 349;1 375;885;1 291;815;373;11;7
Чеченская Республика;4 423 395;1 406 478;3 925 585;1 155 895;21 475;5 488;2 966 561;3 191 806;596 368;270 222;0;724;36 577;42 305;30 031;13 653;8 445;16 060;0;0;28 135;26 300;24 368;11 642;29 471;6 853;484;952;856;692;210;316;369;232;0;3
Чувашская Республика;42 684 021;15 003 191;39 740 647;13 751 168;259 930;119 330;14 951 032;16 077 378;3 377 217;1 399 743;34 264;646;897 060;962 668;470 964;198 176;343 759;290 889;0;0;553 303;671 772;372 015;173 577;217 879;49 051;4 947;13 246;6 053;2 956;2 239;3 707;2 018;993;8;2
Алтайский край;77 924 865;15 898 959;72 989 206;14 546 785;364 797;105 744;29 929 357;25 934 866;5 909 115;1 483 975;55 259;10 294;1 795 762;1 552 776;883 590;221 466;587 634;445 136;0;0;1 208 119;1 108 146;763 212;203 159;299 216;39 140;9 719;15 109;10 247;3 244;4 246;3 419;3 026;893;8;5
Краснодарский край;160 404 582;90 108 783;149 892 928;82 950 973;793 890;545 490;115 555 728;170 021 285;13 554 303;8 268 868;218 001;6 453;6 928 143;10 184 322;2 031 312;1 236 506;2 552 980;2 548 131;0;0;4 374 972;7 634 842;1 801 955;1 082 626;686 678;306 490;32 615;84 718;16 964;10 019;15 518;26 937;5 696;3 329;45;7
Красноярский край;94 427 813;23 632 612;89 353 046;21 788 218;495 412;60 635;52 271 801;41 675 650;6 989 996;2 063 525;1 460 604;126 395;3 136 311;2 412 910;1 048 501;290 569;1 111 658;630 400;0;0;2 024 653;1 782 512;876 256;255 687;428 001;81 026;16 392;22 172;13 256;4 548;7 696;6 903;4 584;1 598;389;56
Приморский край;87 258 750;26 053 947;81 300 012;24 428 130;200 703;37 502;55 089 770;40 461 091;7 350 542;2 587 398;45 669;0;3 305 389;2 424 860;1 102 570;387 967;1 169 074;590 407;0;0;2 136 296;1 834 457;963 692;362 128;330 373;56 898;15 154;17 312;10 705;3 461;7 012;5 672;3 641;1 182;16;0
Ставропольский край;69 193 751;40 500 734;63 751 409;36 242 571;206 064;91 637;27 559 143;42 085 568;5 973 275;4 601 573;773 591;658 578;1 653 554;2 478 713;826 911;548 152;608 029;638 547;0;0;1 044 657;1 839 236;697 502;494 847;296 451;105 628;9 083;23 550;7 765;5 570;4 011;7 123;2 604;1 684;100;41
Хабаровский край;66 236 079;14 203 223;61 148 882;12 529 198;301 258;179 526;29 606 730;28 444 952;4 934 017;1 793 219;81 149;104 591;1 776 332;1 702 234;715 556;240 660;596 780;381 906;0;0;1 179 560;1 318 185;591 711;227 082;331 939;33 556;8 924;10 539;8 260;2 273;4 203;3 018;2 685;695;38;19
Амурская область;31 512 056;12 792 914;29 501 735;11 813 764;75 875;20 451;13 298 287;13 084 158;2 389 377;1 167 686;329 260;405;797 898;765 296;357 936;175 055;257 093;190 543;0;0;540 484;574 771;309 801;159 691;134 044;33 290;3 295;6 440;3 559;1 915;1 430;1 776;1 048;563;47;7
Архангельская область;43 541 298;12 965 441;40 367 745;11 962 858;373 322;65 489;22 804 285;25 025 022;3 428 053;1 183 941;299 179;18 126;1 368 256;1 483 561;514 207;174 863;436 967;409 144;0;0;931 284;1 074 447;438 893;155 612;204 829;45 896;6 276;13 892;5 423;2 278;3 135;3 897;1 788;817;156;6
Астраханская область;20 882 241;9 539 819;19 299 679;8 560 286;93 522;56 046;11 951 723;13 129 788;1 977 911;1 048 769;85 355;11 995;716 720;782 234;285 468;144 720;265 719;216 908;0;0;450 995;565 348;251 667;133 213;87 455;23 147;3 895;7 441;3 310;1 991;1 672;2 210;1 110;661;47;13
Белгородская область;36 350 136;15 143 305;34 049 432;13 786 614;359 546;129 430;19 342 787;16 750 774;2 985 279;1 585 595;21 622;26 090;1 141 786;1 003 256;403 130;221 353;457 122;307 273;0;0;684 649;694 754;326 120;197 014;190 563;65 667;5 447;12 102;4 686;3 403;2 269;3 215;1 311;1 134;27;13
Брянская область;26 178 109;9 556 498;24 142 384;8 692 329;166 927;18 289;13 967 843;15 161 990;2 093 803;892 536;12 717;0;826 978;898 538;313 465;133 679;298 421;270 849;0;0;528 551;627 627;269 012;121 064;111 659;26 039;3 740;11 934;3 518;1 576;1 518;2 774;1 170;507;1;0
Владимирская область;45 012 251;14 738 364;41 783 007;13 346 214;249 360;31 174;24 364 855;24 821 413;3 809 888;1 564 383;60 897;7 604;1 405 024;1 453 480;548 436;225 964;529 050;432 471;0;0;875 975;1 021 013;474 791;210 030;190 499;31 842;7 158;12 382;6 128;2 462;3 093;3 033;1 951;694;33;12
Волгоградская область;57 378 553;16 962 937;52 005 091;15 028 547;191 385;30 669;32 413 814;36 339 422;5 632 198;2 042 572;132 992;334;1 944 855;2 170 696;798 677;291 802;718 972;608 076;0;0;1 227 408;1 562 541;703 892;269 854;209 760;40 936;10 593;19 243;8 973;3 690;4 617;4 552;3 173;1 105;69;2
Вологодская область;52 595 880;13 570 502;50 219 763;12 499 182;425 764;60 512;16 172 090;17 034 529;3 430 082;1 282 516;0;0;970 325;1 021 967;514 516;192 382;332 188;345 141;0;0;638 133;676 829;411 634;173 877;272 415;46 349;6 457;12 415;8 194;2 735;3 273;3 496;2 666;1 021;0;0
