GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35
Чувашская Республика;36 227 626;11 769 078;33 722 159;10 673 298;295 835;55 138;13 863 000;12 518 470;2 989 630;1 148 564;6 837;2 070;831 778;750 693;407 205;154 555;336 867;221 721;0;0;494 909;528 974;345 971;135 155;166 210;38 577;4 783;12 334;5 976;2 823;2 084;3 456;1 944;982;3;1
Алтайский край;63 813 829;13 320 023;60 010 407;12 251 092;382 169;97 903;25 936 872;20 488 944;4 746 250;1 219 969;20 837;2 036;1 556 212;1 228 086;705 302;178 903;553 404;362 448;0;0;1 002 808;865 808;623 339;164 937;232 873;34 785;9 658;13 649;10 006;3 057;4 169;2 982;3 004;796;53;9
Краснодарский край;125 291 203;62 068 653;117 896 484;57 171 292;927 799;328 549;106 534 145;142 568 867;10 576 853;5 900 662;126 857;3 853;6 391 567;8 545 818;1 585 362;883 515;2 373 491;2 108 272;0;0;4 017 015;6 435 478;1 419 680;814 664;606 581;164 357;32 690;79 668;16 476;9 313;15 291;24 592;5 710;2 989;124;19
Красноярский край;79 647 744;18 621 527;75 549 066;17 162 643;416 934;54 079;45 429 587;32 909 300;5 729 487;1 639 126;1 201 924;63 295;2 725 775;1 902 441;859 424;236 373;967 698;485 983;0;0;1 758 076;1 416 460;721 895;204 629;366 501;70 264;16 160;20 245;12 523;4 231;7 650;6 167;4 258;1 441;316;47
Приморский край;72 488 987;19 808 065;67 794 399;17 914 644;200 730;47 085;47 337 823;31 830 935;5 988 871;2 037 094;10 264;220;2 840 127;1 908 237;896 691;305 475;1 027 310;475 727;0;121;1 812 808;1 432 314;799 805;289 205;272 650;43 528;14 900;16 180;10 776;3 311;6 937;5 627;3 788;1 181;16;1
Ставропольский край;50 324 069;29 712 805;46 737 371;26 665 298;150 805;95 742;25 180 229;33 430 004;4 334 657;3 280 882;688 641;141 673;1 510 810;1 964 639;620 413;445 792;562 689;512 722;0;0;948 410;1 439 827;541 571;411 273;203 590;70 099;8 970;21 059;7 713;5 654;3 918;5 993;2 676;1 624;107;18
Хабаровский край;57 652 915;11 911 315;53 615 647;10 731 944;1 647 785;175 563;27 641 777;21 296 625;4 392 224;1 260 226;94 937;40 459;1 602 593;1 275 147;621 552;177 455;540 880;300 081;0;0;1 061 717;974 302;513 934;162 017;292 658;36 981;8 968;9 642;8 305;2 180;4 264;2 857;2 699;732;47;19
Амурская область;27 804 578;11 257 576;26 000 217;10 660 963;141 741;36 317;11 627 908;10 551 813;2 029 700;1 062 690;394 380;57 341;697 686;609 702;303 583;150 533;231 652;158 662;0;0;465 772;450 711;264 144;138 289;122 523;28 443;3 196;6 188;3 553;1 935;1 370;1 767;1 058;600;43;9
Архангельская область;38 492 231;12 091 368;36 380 019;11 021 898;581 246;216 796;19 114 315;20 954 005;2 880 217;1 141 861;229 119;98 550;1 146 856;1 242 927;431 463;156 195;397 173;359 098;0;0;749 321;883 918;351 515;138 492;193 360;43 357;6 140;13 739;5 518;2 284;2 990;3 971;1 856;815;151;15
Астраханская область;17 876 693;8 897 934;16 304 213;7 779 802;163 201;51 330;11 493 384;10 834 656;1 746 640;1 225 807;43 938;6 904;689 606;647 277;257 059;143 028;258 855;186 188;0;0;430 748;460 910;231 112;135 030;75 080;36 510;3 977;7 077;3 313;2 005;1 848;2 060;1 152;618;24;10
Белгородская область;31 578 670;12 645 536;28 886 239;11 002 178;434 160;140 296;17 089 593;13 110 607;3 618 232;1 837 928;24 653;45 623;1 025 367;785 970;304 533;154 795;421 905;238 131;0;0;603 461;547 851;239 917;133 548;175 615;49 924;5 348;11 022;4 582;3 185;2 220;2 851;1 298;1 014;47;14
Брянская область;23 482 558;8 208 466;21 986 994;7 503 059;98 152;25 110;12 384 044;12 014 027;1 787 154;764 651;0;0;734 452;709 944;266 392;114 644;268 787;206 979;0;0;465 665;502 923;228 239;103 943;107 720;22 309;3 874;10 662;3 684;1 529;1 640;2 289;1 253;481;0;0
Владимирская область;40 718 602;12 894 722;37 780 822;11 823 610;286 006;65 162;22 313 644;20 884 108;3 326 522;1 233 141;50 419;4 840;1 304 149;1 234 794;483 492;178 638;500 346;357 596;0;0;803 804;877 197;414 267;163 031;176 160;33 715;7 189;11 531;6 241;2 469;3 084;2 765;2 028;720;27;8
Волгоградская область;51 851 367;14 004 184;46 962 487;12 518 757;388 206;36 462;29 296 584;30 325 783;5 143 451;1 567 344;115 035;4 605;1 757 799;1 812 644;717 556;224 915;666 058;481 620;0;245;1 091 779;1 330 835;640 534;210 606;195 091;30 575;10 578;17 560;9 040;3 595;4 643;4 408;3 145;1 133;37;7
Вологодская область;44 868 228;11 235 828;42 681 151;10 269 646;353 301;159 845;14 670 131;13 589 129;2 863 795;987 174;0;0;880 208;815 348;429 569;148 076;320 839;278 068;0;0;559 364;537 280;336 368;127 890;241 791;41 627;6 422;11 530;8 149;2 596;3 322;3 112;2 806;986;0;0
Воронежская область;51 118 555;13 897 538;48 181 473;13 143 999;412 363;127 574;35 188 747;24 249 165;3 789 167;1 157 732;5 736;0;2 111 319;1 453 379;543 756;167 804;780 643;363 329;0;0;1 330 682;1 090 041;455 646;148 530;249 912;49 845;7 984;13 125;7 518;3 012;3 152;3 588;2 325;1 044;4;2
Ивановская область;47 459 126;13 212 998;47 191 808;11 692 964;400 444;47 802;11 140 548;10 513 504;4 150 172;1 627 910;97 796;65 441;673 326;625 960;477 478;191 405;232 260;177 458;0;0;441 063;448 506;397 000;174 319;214 134;33 448;4 667;6 971;7 506;2 744;2 162;2 018;2 496;907;44;31
Иркутская область;78 363 711;17 303 890;73 033 236;15 814 215;1 186 649;126 157;40 011 897;29 953 269;6 282 588;1 640 064;47 552;37 231;2 400 710;1 794 343;885 832;234 083;809 396;438 482;0;0;1 591 316;1 355 863;755 709;212 015;331 753;59 414;12 634;16 278;12 342;4 223;6 119;5 430;4 532;1 595;24;9
Калининградская область;154 412 437;19 116 588;144 141 760;17 545 065;966 815;94 193;27 270 886;22 175 721;12 312 314;1 874 903;197 323;13 418;1 636 320;1 318 263;1 841 343;279 295;480 917;354 767;0;0;1 155 400;963 357;1 673 723;265 516;479 435;39 163;8 716;9 688;18 408;3 455;4 215;3 065;6 632;1 403;85;13
Калужская область;27 080 623;8 076 263;25 150 287;7 230 148;81 031;34 100;18 215 440;15 411 246;2 361 468;866 596;0;1 709;1 092 926;924 426;299 019;104 844;425 722;252 603;0;0;667 204;671 824;252 825;94 148;129 472;24 709;5 149;9 070;4 451;1 889;2 176;2 409;1 547;594;0;2
Камчатский край;27 218 802;7 906 635;23 849 177;6 433 383;82 700;48 716;9 138 871;9 503 888;3 639 853;1 523 785;129 432;9 904;544 040;553 946;365 793;152 045;179 079;120 917;0;0;364 960;432 843;328 263;145 366;102 621;18 504;2 419;3 779;3 165;1 474;1 335;1 349;1 192;620;24;7
Кемеровская область;54 517 587;7 250 324;50 574 515;6 485 946;386 264;54 056;36 064 998;24 152 764;4 464 741;806 228;227 372;12 038;2 156 530;1 432 902;653 969;113 937;806 255;383 211;0;0;1 350 273;1 049 710;576 369;103 662;218 235;21 219;11 751;16 339;9 079;2 405;4 942;4 293;2 961;795;156;20
Кировская область;54 771 182;13 568 896;50 926 460;12 394 695;363 273;35 633;20 474 081;19 754 355;4 087 933;1 322 032;118 605;9 439;1 228 443;1 178 142;594 214;192 305;459 448;391 803;0;0;768 994;786 334;480 484;176 537;269 542;34 787;8 001;15 172;8 683;2 824;3 915;3 797;3 020;872;103;12
Костромская область;28 255 949;13 675 044;26 924 318;12 458 054;308 756;108 191;11 119 229;8 879 415;2 006 311;1 276 227;12 482;542;667 158;531 924;295 267;185 770;252 441;173 313;0;0;414 716;358 618;255 069;173 788;123 174;28 696;3 577;5 595;4 078;1 971;1 708;1 374;1 200;497;9;1
Курганская область;16 428 297;7 094 064;15 353 640;6 610 625;245 448;37 303;7 085 543;6 110 819;1 267 782;598 798;145 204;16 348;425 006;357 930;190 061;89 120;169 018;95 515;0;0;255 974;262 416;158 702;78 382;81 230;25 408;2 798;4 107;3 317;1 529;1 198;934;1 214;402;43;12
Курская область;19 896 611;11 664 531;18 971 708;10 600 303;150 835;31 777;9 741 524;13 061 528;1 375 518;1 108 134;117 356;3 046;584 489;776 662;206 331;165 761;228 006;208 460;0;154;356 482;568 040;175 136;151 745;98 320;30 203;3 328;6 970;3 632;2 001;1 514;1 804;1 356;546;37;9
Ленинградская область;37 582 994;12 268 686;31 815 712;9 130 691;219 320;95 908;16 379 604;16 062 907;6 914 148;3 564 700;114 560;64 398;983 600;957 614;351 818;176 795;365 699;241 085;0;0;617 891;716 080;265 344;152 164;246 823;52 522;5 938;10 139;6 368;3 905;2 940;2 956;2 197;1 322;46;33
Липецкая область;37 500 540;16 099 859;31 159 182;10 813 822;134 597;46 940;5 550 946;4 903 539;6 900 060;5 492 939;41 529;10 817;332 877;291 713;345 009;274 110;138 300;82 385;0;0;194 577;209 705;273 357;255 863;210 051;44 708;1 863;4 249;5 644;3 699;797;1 262;1 541;1 120;5;7
Магаданская область;5 946 619;3 315 511;5 565 831;2 987 310;62 125;4 718;4 983 790;3 528 227;523 730;362 955;731;0;294 234;210 312;71 053;51 577;108 647;45 983;0;0;185 588;164 329;61 083;49 526;25 864;6 222;935;1 894;713;349;418;543;236;101;2;0
Московская область;208 778 038;52 026 927;197 836 973;47 294 887;1 269 184;294 849;173 933 043;176 883 775;16 765 950;5 974 155;1 012 626;113 940;10 436 017;10 579 859;2 481 022;877 227;3 918 625;2 347 367;0;0;6 516 264;8 220 459;2 168 378;817 826;933 693;129 804;46 766;76 434;29 407;12 543;22 818;25 209;9 768;5 085;481;55
Мурманская область;33 738 171;4 171 416;31 350 150;3 722 670;167 107;173 177;12 520 498;7 556 447;2 939 363;501 557;17 292;5 056;751 229;452 351;383 536;66 506;284 086;132 930;0;0;467 145;319 417;362 741;60 937;297 127;14 676;4 101;5 940;4 411;1 209;1 940;1 808;1 491;508;9;3
Нижегородская область;103 185 419;23 942 379;97 284 665;22 225 067;1 166 209;693 525;54 311 410;37 741 769;7 861 485;2 183 648;31 034;1 667;3 258 687;2 262 858;1 179 217;327 292;1 215 931;628 030;0;0;2 042 745;1 634 271;1 006 391;297 452;489 764;71 238;14 715;21 378;15 474;5 453;5 964;5 018;4 779;1 777;20;3
Новгородская область;16 647 632;3 398 499;16 078 068;3 132 400;62 548;29 780;8 526 723;6 212 949;1 075 620;327 422;113 532;6 970;511 638;364 930;155 059;47 508;210 473;112 326;0;0;300 887;252 620;115 870;41 974;99 571;12 463;2 656;4 495;2 748;894;988;1 201;840;262;28;7
