GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156;G157;G158
Белгородская область;479607532;479876362;30863;107121131;107111458;1071114245;4516;8411;7269;79954;23;761;264200594;264569009;1322828773;29335;29;3106593;3105678;18633897;399;3520;770;4311;13;0;0;0;0;819374;817700;4088301;305;77683618;77638619;579463271;14983;25892044;25849340;7332;58795;58793;23;26656495;26614760;10144;539242;531659;1650;1301;1301;5;11459;11458;28;15595;13336;25;163;185;3;429837874;430430215;30134;319579413;320280688;29916;10396221;10396091;1542;1631633;1618438;651;26760829;26731883;6808;814332;812653;298;70179560;70124245;14138;458790;456517;381;0;0;0;16;0;0;1150808;1149490;136;80492453;80157394;31095;0;0;0;31263128;31164006;902;3027336;3026794;114;407431188;9680;23626237;4725249;2990706;598141;202372;3924736;488777;97755;72479;14496;1173;82086;18;10;16547812;3309562;1514480;302897;7190;2999475;0;0;0;0;40174049;8034811;4505186;901038;209562;6924211;3377608;675520;129295;25859;48542;601119;4135;2634;527;0;3608;13;6;926366;4303974;317411;0;19;9;407431188;1149344
Брянская область;188032077;184642892;12413;24197880;24189012;241890120;2065;1395;1408;15486;9;1458;111464128;108180070;540900349;11797;0;2897214;2888730;17332382;277;0;0;0;0;0;0;0;0;331130;330957;1654787;130;38217133;38135401;264700724;6187;10030033;10023269;2475;312508;311895;14;10921736;10916103;3883;260729;250793;1055;635;635;1;974;974;17;8330;3835;7;3;3;1;159075456;159282169;11766;104655789;104891991;11617;4491706;4500913;485;5360570;5355526;1116;10864482;10859961;2273;329438;329265;125;33241960;33214346;5944;133282;133523;232;152;152;1;781;0;0;1075425;1067474;364;33097441;29527999;12504;0;0;0;4904918;4938405;780;2845114;2573271;35;32486931;3829;38098092;7619619;3163348;632670;331962;6654987;9444;1889;0;0;0;1889;3;2;6687501;1337500;54783;10957;1736;1324807;0;0;0;0;44785593;8957119;3218131;643627;333698;7979794;2823264;564653;145736;29147;19837;515669;30999;372;74;20;30905;19;8;476361;3299625;214112;125;34;15;32486931;1056426
Владимирская область;299929949;299562781;17446;33477240;33476778;334734677;2055;41;110;1207;6;-396;203385382;203042153;1015533102;16865;1;1914496;1913785;11482709;353;0;0;0;0;0;0;0;0;267048;266839;1334195;207;54125021;54105965;332591601;9605;5910283;5911594;3991;41336;44839;67;6759039;6755888;5967;1359246;1353619;1403;10005;10005;1;3352;2844;30;47215;42426;18;0;0;0;254262075;254338329;16850;171528670;171624436;16727;25534017;25462215;918;720852;794351;482;8425586;8417739;3742;283933;266229;198;46456095;46465061;9202;1335167;1329733;297;0;0;0;151;151;1;182978;257109;164;53465107;53025117;18089;0;0;0;6590455;6608069;312;375919;375919;50;61565977;5234;22385108;4477019;6855295;1371059;393196;2712764;196;39;56;11;0;28;5;3;16302332;3260467;204311;40862;6555;3213050;0;0;0;0;38687440;7737486;7059606;1411921;399751;5925814;11061796;2212359;133461;26692;18718;2166949;713;98;20;5;688;8;3;2089768;13151564;621;0;1;1;61565977;254527
Воронежская область;585709164;580093766;48549;83481411;83450024;834499899;7098;7575;33809;371894;29;307;347447398;342194190;1710971128;46478;0;4393792;4539360;27236163;682;0;0;0;0;0;0;0;0;520372;514483;2572414;262;119488915;119074903;1100713827;23364;28044464;27956810;10993;79214;79244;27;30373570;30287137;15466;459477;454534;1614;545;545;5;3209;3209;30;8104;4191;28;0;0;0;530642339;527007787;47148;381006266;377860681;46872;12518845;12424541;1310;2679280;2697510;823;32833242;32824710;10429;362734;357594;243;100831884;100381344;21951;447851;444138;367;0;0;0;-35;77;2;1050245;1050762;170;66936683;64996335;48277;0;0;0;12421790;12471502;578;910139;910139;64;103405519;14876;86240089;17248019;16020023;3204004;1149719;12894296;69438;13888;37161;7432;21;6435;22;10;86908604;17381720;52299215;10459843;33022;6888855;0;0;0;0;173148693;34629739;68319238;13663847;1182741;19783151;16933643;3386729;836041;167207;23450;3196072;299823;275736;55147;1665;243011;376;115;3099776;20033419;16734;1411;11;5;103405519;1040525
Ивановская область;142511435;143933013;19628;7040199;7044455;70444543;2038;63;63;695;2;2015;106442311;107938239;539691197;19121;1;2256690;2202315;13213890;339;25977;25977;144544;6;129;129;644;1;151197;151376;756879;73;21963943;21988710;132616573;8074;4136178;4084100;3220;165445;166832;16;4654808;4605640;4588;76788;75855;637;0;0;0;290;290;8;1619;990;14;-4;0;0;129011283;130659434;18832;92125264;93747172;18740;11945380;11944273;981;853218;854109;320;3940259;3950411;3115;150503;150682;71;19957092;19973221;7471;41103;41103;106;0;0;0;0;0;0;556441;556672;49;14687934+CR12;14473509;19625;0;0;0;1651989;1656385;174;65979;65974;16;17478209;6228;15031795;3006359;3396291;679259;180756;2146344;873;175;1200;240;0;-65;1;1;14175417;2835084;1007323;201464;15539;2618081;0;0;0;0;29207212;5841443;4403614;880723;196295;4764425;2126683;425336;241982;48396;2498;374442;0;0;0;0;0;0;0;426111;2552794;39;0;1;1;17478209;555837
Калужская область;406721268;406235159;18409;26628399;26628827;266288046;1877;155;155;1708;5;1154;273654006;273304101;1366526896;17660;19;1998674;2001867;12011205;334;0;0;0;0;136;136;695;2;174891;173994;869968;153;84486044;84365844;512693640;10159;17186016;17095851;4255;1394331;1394053;40;19777922;19759136;6129;1271563;1269925;1204;780;749;7;2253;2242;39;13684;9385;14;0;0;0;352719515;352566711;17430;207831227;207750774;17229;49957927;49951675;1063;1703057;1701646;504;21587034;21557075;3944;152644;151682;147;70301857;70268997;9650;1185771;1184863;412;0;0;0;213;210;1;9078963;9078963;128;64443830;64245366;18622;0;0;0;18259551;18279724;558;1017142;1017142;48;128203010;5555;31735727;6347146;8920511;1784103;443222;4119821;24217;4843;15;3;0;4840;12;5;323147579;64629517;152259670;30451933;95413;34082171;0;0;0;0;354883306;70976663;161180181;32236036;538635;38201992;9447087;1889415;961664;192333;1966;1695116;37794;331;66;1;37727;19;9;1533005;10980092;467716;1894;14;8;128203010;9060007
Костромская область;86716951;86742417;6705;6499775;6499421;64994205;991;134;134;1473;2;1432;64305752;64325006;321625035;6467;0;278051;286464;1718785;124;0;0;0;0;0;0;0;0;203632;203029;1015144;92;13491582;13497193;82483314;3448;1575000;1568233;1475;1222;1222;3;1936593;1929738;2372;440174;439843;737;0;0;0;2115;1728;31;6792;6204;10;0;0;0;73954034;74142423;6380;56255583;56502722;6334;2292139;2263792;310;491025;476926;187;1767320;1764900;1344;199605;201658;91;12528990;12513275;3253;419114;419113;120;0;0;0;58;58;2;63625;63625;56;15071231;14908895;7116;0;0;0;1872023;1874242;115;134545;139936;22;67054037;2103;170281275;34056257;165155296;33031057;69788;955412;0;0;0;0;0;0;0;0;1139195415;227839083;1059403874;211880773;3223642;12734668;0;0;0;0;1309476690;261895340;1224559170;244911830;3293430;13690080;24139151;4827831;51358;10272;2756;4814803;1762;0;0;0;1762;3;3;149;24139300;0;0;0;0;67054037;63004
Курская область;213386562;212828111;14552;45888127;45877352;458773198;3479;4715;4715;51867;14;-5358;116198719;115666875;578333673;13139;0;1236294;1234858;7409147;251;4270;4270;22710;2;0;0;0;0;537012;531293;2656463;156;36949871;36960706;258032034;6508;11516948;11521086;2864;691;691;2;12577580;12552143;4326;150967;150919;950;0;0;0;2085;2108;25;74292;53674;12;-29;2;2;193223222;192826996;13869;141778757;141405231;13785;6010209;6007871;455;1177281;1177741;339;11217235;11209072;2667;527761;522041;155;32443075;32436200;6079;107845;107875;168;0;0;0;807;37;3;3714830;3714766;43;31039521;30884776;14378;0;0;0;14352669;14382090;768;4838795;4838797;47;102208632;4702;21458435;4291686;3620871;724174;687268;2880244;41986;8397;0;0;0;8397;9;3;49209159;9841832;32133904;6426780;3174;3411878;0;0;0;0;70667594;14133518;35754775;7150954;690442;6292122;8142151;1628431;81914;16383;3931;1608117;0;0;0;0;0;0;1;325220;8467371;5172;0;1;1;102208632;3676021
Липецкая область;350632340;350051894;19349;46975897;46971851;469718590;2406;4246;4017;44192;9;21478;211742330;211326709;1057116315;18499;0;2315548;2312225;13873347;271;627;627;8041;2;0;0;0;0;234347;234171;1170853;167;68331442;68201597;461549035;8011;20224037;20233692;3712;6737;6737;13;21006092;20978880;5619;713551;712425;1103;0;0;0;691;691;14;408403;405723;16;0;0;1;374842691;374906941;18602;268141574;268400472;18497;18049067;18022173;549;2000315;2000315;283;20686674;20645959;3416;227472;227295;156;64778070;64663235;7381;950206;950587;293;1198;1198;1;8;0;0;55392;53639;52;32918885;32389588;19622;0;0;0;56038508;56156194;351;5827975;5816847;113;518722714;6409;16381097;3276218;5963571;1192714;119600;1963904;42507;8501;158041;31608;5809;-28916;23;9;15716924;3143384;196147;39230;5421;3098733;0;0;0;0;32098021;6419602;6159718;1231944;125021;5062637;1431725;286345;25325;5064;13650;267631;4546;433;87;210;4249;20;9;259852;1691577;40599;1873;9;3;518722714;27325
Московская область;4950754220;4947076296;176821;318802875;318601476;3186014671;15094;6018;5885;64731;39;303276;3381701941;3379363270;16896820533;171358;-5;19282698;19362346;116174073;2133;18176;34140;172634;24;391364;391364;1957241;14;1789437;1779740;8898702;820;1068501033;1067856893;6466781496;104869;131816108;130902042;44017;13480346;13545024;232;160406920;159795645;60898;17356721;17334206;8919;64260;64260;44;8782;18544;132;4681655;3173233;268;4790;4886;16;4386223555;4385823871;170687;2861282077;2861276073;168884;352259433;351961383;14283;42216967;42020430;5231;174625838;175392984;40660;1753690;1741074;785;937433868;936796484;100451;16262888;16249121;3158;399630;399630;15;1177366;453861;37;47934584;48486808;1410;709886104;705931763;178285;0;0;0;172171177;172726850;2129;13979311;13710012;395;1356576376;53814;765245538;153049109;171825188;34365037;23317686;95366386;90085;18017;87049;17410;0;607;8;5;639977627;127995527;359770048;71954010;1112110;54929407;0;0;0;0;1405223165;281044636;531595236;106319047;24429796;150295793;335047683;67009538;225502296;45100458;729113;21179967;43354252;216556008;43311202;7645;35405;45;22;69324491;404372174;5865475;781307;90;46;1356576376;44806853
