"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G74","G75","G76","G77","G78","G79","G80","G81","G82","G83","G84","G85","G86","G87","G88","G89"
"18","Удмуртская Республика","1872353","1734923","110389","27041","20250350","1157680","178798","550931","0","154353","1062","40187","200397","22735","0","5303","704711","64183","65739","0","0","0","160942","13938","226686","409121","8097888","450978","0","0","15584","3541","4127","0","22480","7824","4729434","1468734","1183275","308821","454709","230","440485","785755","1393172","821215","213510","358447","432663","189141","7049","236473","1194303","4145309","1215458","2447204","2312020","1515011","12496","13243","284855","10089","176419","454810","155691","832386","61597","826581","37501","46733","311767","274509","11968","25290","824857","2091787","1358348","4716","2119879","5544043","4741479","978416","219408","286874","50426","129246","11","38625","0"
"19","Республика Хакасия","146909","115493","27481","3935","2395265","236780","37802","59829","0","255738","0","2621","5595","601","0","264","16162","10751","8667","0","0","0","2724","0","23719","164295","1161950","147568","0","0","50","750","1010374","1297","0","0","467","1242","29938","152868","38796","949","2","282351","731979","613600","0","118379","135404","76705","38683","20016","939444","1036447","243185","680131","567424","339005","75692","3272","0","57","190","181093","47079","153077","42493","140524","26590","28502","77753","65116","9506","3131","216198","283584","429141","1131","1481186","2179638","1650456","277651","67097","74741","11039","30409","0","13207","0"
"20","Чеченская Республика","139385","113647","25279","459","246227","21492","5995","2788","0","13883","0","4704","12121","11985","0","11492","8113","615","1868","144","0","144","2333","0","12984","75349","14216","318","0","0","2659","0","0","0","0","0","824","1737","6051","30954","50","0","0","26804","533006","283358","201502","48146","113901","84636","6691","22574","1467996","1297170","395807","839023","613342","406497","3281","9368","97215","1008","21","61713","144103","139469","19947","163586","18079","46338","177942","15010","0","162932","128804","276093","187313","3361","1611069","4777695","2454877","431577","165751","70767","9995","17661","50","13062","0"
"21","Чувашская Республика","818665","785341","28928","4396","9902972","976926","105203","100067","0","96897","0","81462","279572","59079","0","58654","235479","67385","44667","234","0","234","546654","1133","126704","443546","1517313","157","0","58","1607","6042","0","0","358447","27823","1183427","2037361","560050","840960","354200","92","96059","449923","832553","619562","138459","74532","287706","149739","38493","99474","1683383","2766385","1133745","1301380","950663","666871","5337","21900","109662","54557","125","110262","118848","482401","45379","434416","20466","25253","88990","49931","18342","20717","558507","1086820","385775","4492","1388215","3168493","3182011","408221","82920","192568","33966","88869","66","22854","0"
"22","Алтайский край","3474720","3268841","190884","14995","11863282","2399274","256740","597528","109748","405339","0","233314","45114","9789","0","4568","251670","46609","58740","675854","511945","163908","373045","419958","761748","398111","2249375","19814","0","0","383","5080","23186","0","59894","29153","157777","187717","700880","734279","1427178","14018","50","327511","2187651","1609759","92797","485094","468891","315499","11154","142238","1854321","6836587","2300753","3971393","2003718","1201226","67896","9768","54035","12227","0","568689","221576","705274","117157","531044","46733","85965","129409","112233","343","16833","766141","1303648","764358","7270","4128918","6777473","6268783","684995","157885","285326","49118","139619","243","56282","0"
"23","Краснодарский край","10103596","9892068","80839","130689","16968989","5555597","543344","802453","733999","941327","8014","119744","243413","77171","1109","71833","104498","291827","192794","1173128","0","1173128","585770","194281","529503","1620700","2646545","1040981","0","0","13454","96404","65155","52","4486","2284","107053","186817","943166","30749","408240","79500","2995","1008652","4177740","2490364","854128","833248","2494526","1352501","117833","1024192","12343836","52559664","7706739","43005268","18676735","7182917","176751","67326","2950586","176918","131963","10620337","564600","5848635","2661366","3458468","107487","1272663","1755700","1407506","123994","224200","4285968","8365808","3881593","41120","8945240","17617007","18848001","4355732","1719022","1127100","219114","559296","460","262746","0"
"24","Красноярский край","3464060","2173193","1227768","63099","28367166","920491","225542","195642","50","100432","0","46607","51118","17307","0","16261","1113241","17287","48660","638888","0","638888","738072","72810","209137","1076906","16160961","2728","0","0","188","84499","14777048","885085","25583","24644","706856","338658","403335","390053","1529437","27844","779600","3786910","8061191","6975444","107228","978519","2037154","531172","279701","1226281","7615310","10894276","4109535","5644391","18272786","9551317","4333229","211784","415593","998722","1542564","5781491","398692","1976506","266808","1676470","126494","356182","258749","227085","4708","26956","1751270","7710998","3665294","23901","8797991","14950999","13138443","3097729","1099834","558762","107116","231559","2210","76376","0"
"25","Приморский край","3695653","609839","519278","2566536","8302656","1232448","425584","82373","50","116001","21","36205","25673","2028","0","1742","451813","34147","52762","254","2","251","323173","48570","73710","602423","267413","30997","16290","0","49","3385","11749","0","95462","0","258170","24894","181602","79608","2378910","875471","1196272","2112831","2850622","1834772","11196","1004653","699804","488373","19407","192024","2663431","13408754","3388709","8804492","9933329","1491069","157354","19876","347132","804815","332599","6966118","338728","876392","187136","1440521","31553","412863","1534878","1476837","29087","28954","1402187","3514789","1465502","13312","7468044","7903248","7827019","1292037","359828","384670","73584","170768","477","65052","0"
"26","Ставропольский край","5745082","5684644","35792","24646","6458794","969105","130529","310518","34938","413625","680","33766","167142","54307","8680","41103","20614","14801","133609","666","0","666","1415627","154856","185274","409605","640943","47463","955","0","3957","1985","12258","0","1965","1916","556186","450576","164011","103659","111358","0","1535","458384","3033446","1901892","619308","512246","895082","714084","4606","176392","2558304","5914859","2337142","3020785","3416187","1840735","1794","28413","773338","225","1902","1301016","272309","871474","122780","472822","34163","76122","217183","145350","2842","68991","917065","1568624","928074","11009","3849109","6212045","8507027","836731","205417","343940","59455","154456","208","98680","0"
"27","Хабаровский край","1910789","185297","583202","1142290","8257427","507177","137689","34273","0","29760","0","5404","24201","351","0","298","181761","7380","23706","998689","0","998689","132024","136150","112835","428697","1128767","485471","0","50","3303","513","362661","362661","42616","0","3396","6096","43981","17006","4152889","727600","3421831","317157","4573098","3804257","270273","498568","706332","456664","23270","226398","4075094","6882931","2822744","3569746","17581430","13405596","11079228","9758","1203952","162040","392336","3389504","231954","655604","88067","882671","31709","468089","93416","72872","4716","15828","1024834","2708057","1816181","8428","7639301","5861307","5950253","1088725","400634","369292","49911","167813","99","45421","0"
"75","Забайкальский край","360158","139194","219476","1488","2618981","159655","53128","15701","0","24489","0","2314","3407","910","0","712","15210","84","5929","0","0","0","1125125","204","11516","103437","915225","632","0","0","119","1435","837787","2640","2507","0","198","640","15876","0","92929","48","0","141833","1337359","947497","2017","387845","188137","111322","13831","62984","2154202","1911565","474586","1243837","9208261","8023635","7559516","6881","0","184","21607","1044257","118578","393464","37982","217463","12222","73220","144273","119893","22420","1960","457087","1549055","687367","7359","3993235","4634585","4231966","544786","89288","164022","20661","49944","135","23078","0"
"28","Амурская область","1332414","1127785","204224","405","1954969","554132","78619","237904","0","13284","0","2486","3828","20","0","0","12808","4714","3914","512","0","512","789851","0","22611","118256","173950","310","0","0","53","683","0","0","50","0","593","6722","3540","62","121575","71790","0","122111","1774407","954200","12855","807353","165481","70961","11315","83205","3882751","2342628","682381","1406931","1495960","912603","291952","6347","171801","42780","22426","398814","119337","248600","37466","190496","9503","50612","1165930","1156807","1184","7939","431702","2339038","574570","1892","2856118","3259959","3269910","387951","77114","138999","18353","72021","116","18041","0"
"29","Архангельская область","1635251","230252","992821","412178","13248444","341167","69461","55722","0","45905","0","7037","12286","356","0","141","1280888","2030059","17543","91","91","0","86724","29495","15600","82921","201250","0","0","0","0","172","5739","0","14882","0","146965","4904","173726","884","8479208","8417673","60569","291435","1225903","736369","125403","364131","329732","233125","22478","74129","1173397","2149979","539845","1368486","3014430","843072","53926","8071","250599","367422","488106","1137439","178391","506288","51735","343303","33329","75411","281285","265599","252","15434","724145","975794","436989","1811","4110307","4686260","4659827","745721","127059","228782","35515","113693","0","20797","0"
"30","Астраханская область","611152","470419","4897","135836","1396343","156529","15280","2728","50","7112","0","54527","13856","25834","0","25605","5102","10108","10983","679","0","679","13927","0","33249","73709","136508","4985","0","0","76821","0","0","0","7276","0","4547","99","1036","0","654903","555231","752","193635","732451","554872","16966","160613","314804","213973","4465","96366","1001862","1572547","394471","1060859","1327186","483656","148278","21738","155741","161999","0","589445","92086","309175","50535","196831","9752","37575","58898","51112","936","6850","260542","683238","393001","4359","2017005","2538555","2866102","399563","136242","127954","24349","55394","119","29512","0"
"31","Белгородская область","8302795","8248328","28230","26237","11028341","3097577","501433","488176","256443","72011","247","61512","37229","12816","0","2741","28181","240714","148247","436","0","436","237667","143879","170013","1027254","3199087","1846642","0","0","224","25490","7598","1693","6475","0","243290","87325","1482826","228482","67449","87","56456","442099","1512241","805436","313734","393071","466925","262863","8806","195256","2836569","3966139","2007990","1545408","2276434","1707508","14631","20668","42875","85","50","420065","148726","496369","64056","712603","46794","62030","204461","167372","1860","35229","679716","1714024","981430","2038","2428394","5354748","4091260","927846","185863","262101","44126","94532","99","37991","0"
"32","Брянская область","2886467","2805682","79335","1450","6814987","1009026","55110","500521","26754","89781","88907","18073","138441","13964","0","12553","137631","257473","16487","153","0","153","221766","88","119461","637249","1512144","0","0","0","2048","187","24944","0","427778","4866","58404","223441","345180","581599","896407","50","47508","449312","998443","474418","215355","308670","249582","174543","11606","63433","1067092","3070745","1076764","1617471","2016148","1666471","3939","14296","904947","37","0","202272","147368","325035","45431","316506","24644","21752","73937","68442","451","5044","505032","496133","705902","1967","1746864","2837293","2946408","454267","146054","178764","32292","84172","50","22924","0"
"33","Владимирская область","1048806","913535","130163","5108","16531699","3502590","1699824","123590","0","72579","0","383115","221425","28956","0","23235","555395","85854","69228","425","0","425","376012","929095","731667","951484","3385664","264","0","0","77651","18917","50244","50","78823","65903","606469","918888","1440267","444979","706837","4824","147193","1120770","1367493","776811","249828","340854","429020","255035","50658","123327","932522","3847359","1441567","2034259","2271596","1756938","9962","23186","74604","1304","982","386146","126226","442705","93341","417853","24139","71089","111936","65994","15526","30416","1031286","2651250","610532","4763","2343825","3663488","3763170","686108","154521","241070","51444","97425","3610","31064","0"
"34","Волгоградская область","2467522","2374193","63471","29858","12894444","1205890","59326","217540","0","30034","85361","189125","33898","3950","0","498","22262","22666","75535","579916","0","579197","3164778","23986","610064","1278248","3752849","920571","0","0","1657804","3170","417627","0","33100","325","137204","69904","960470","129443","40958","33644","0","477903","2242449","1318112","492164","432173","571226","387294","24671","159261","1955259","4179680","1498105","2081808","3686195","2353178","26082","18961","964986","41877","515","1054885","235740","820772","56019","839922","41659","95445","142486","118671","3587","20228","957254","3634818","1166041","8324","3845058","5315246","6461258","717214","192933","366814","60969","147923","67","83275","0"
