"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G74","G75","G76","G77","G78","G79","G80","G81","G82","G83","G84","G85","G86","G87","G88","G89"
"45","Курганская область","725432","637811","74957","12664","9702700","1652334","121552","1202365","0","57521","50","6598","32757","2060","0","311","93384","35687","12750","4702","0","4702","8543","335242","17234","300355","2539848","28102","0","0","0","1767","5977","0","31342","2265","9770","84155","875153","841548","2613087","0","0","179922","440757","442","104834","335481","205625","151929","2974","50722","757389","2324613","1037994","1110982","804138","592017","18119","4293","353457","480","0","119889","91752","220402","19533","375659","17205","26854","70290","58892","3843","7555","246032","1000751","252621","2148","1837509","2600743","2273982","347793","83323","112273","16858","42632","0","19073","0"
"46","Курская область","1911602","1894423","12202","4977","5246638","1672093","413810","106616","302293","35643","3960","96216","52619","70465","0","68938","39504","197982","47449","402","402","0","122081","327244","580891","101228","212010","9615","0","0","0","267","27395","0","678","678","537515","543698","225339","83906","190225","0","1985","106168","3042348","2576170","218617","247561","185037","119112","18588","47337","909568","2181960","918665","1124539","1241699","853879","1340","9868","134630","50","50","264275","123445","252176","36315","303144","20357","44821","40082","33147","309","6626","363310","937057","440523","2175","1944890","3640866","3117011","419509","98566","153759","26417","50869","0","29719","0"
"47","Ленинградская область","2861396","2455587","312594","93215","23683804","2487783","571495","117532","324","92861","825277","383542","103737","9753","0","3915","497219","1855803","148287","1797786","0","1797786","2815011","60952","1216258","2215471","2387780","93654","0","0","384","85529","423104","167","16606","9677","392040","706643","1034913","245770","2763415","886559","12811","1643503","3343530","2251378","366735","725417","1115018","681485","37207","396326","6032764","5730854","2385562","2358724","5864153","1782645","20295","31777","495550","60628","13254","3989747","17879","963650","167406","595197","34919","87194","128407","94471","1978","31958","1827240","2782182","1592235","9232","2465971","5845549","6016038","1455048","620325","469295","62510","245507","1024","61662","0"
"48","Липецкая область","5332982","5249335","77595","6052","15212105","2521624","412784","126681","339280","260311","57546","10697","90804","6475","0","6376","27957","355420","36196","0","0","0","322359","93330","333251","375049","8263354","7183279","0","7182894","2554","77092","7143","0","209884","208492","45483","1047267","775748","92723","201206","0","0","295305","1003181","476582","245689","280910","455524","224647","10364","220513","1881931","2175873","886025","1049801","1376767","1015010","6656","9902","142846","64","76","256818","104799","288363","25559","728325","35622","52402","64562","47967","50","16545","442460","1068805","734962","2120","1872550","3185858","3358248","551290","184036","182345","29469","73798","259","28380","0"
"49","Магаданская область","409922","30957","50567","328398","246888","60846","9620","7877","0","2638","0","478","359","0","0","0","115","0","4939","0","0","0","114509","0","2183","3626","9796","50","0","0","0","0","7190","7190","0","0","171","0","21385","50","0","0","0","25793","1395086","1042466","0","352620","110061","90957","0","19104","619887","1031948","584580","333170","1091582","274951","495","3175","0","16081","108529","649544","42477","77437","14804","182273","15785","36334","19073","18521","50","502","128379","596406","328258","489","1737344","1287326","1573697","337852","83642","63532","6036","34362","216","6615","0"
"50","Московская область","4355322","3699339","610482","45501","95084084","15723021","2549302","1705926","4392","5009781","17265","1712464","1882685","284698","2471","234410","897616","2467663","1153761","527404","134206","393199","5489792","3913690","5034399","5861407","16575484","992779","42","41","921221","569289","1142882","33328","53521","32012","4584298","3251769","6152633","1853574","6585615","24322","3901481","6105065","10593434","3273128","2479760","4840546","3896061","1144245","226216","2525600","22018631","108181234","33130706","68546464","33728585","16953302","450009","310424","574451","49928","319352","15191236","1214767","6043256","1362330","8564689","123176","1084805","4947028","1395444","2771990","779594","9451480","36396259","9780772","91424","15054935","27297298","30205439","6799691","2417989","2601084","335290","1578924","15591","1386825","0"
"51","Мурманская область","2927936","72697","68337","2786902","4641208","319188","2746","20448","0","6698","0","12054","7433","80","0","0","3444","2625","29363","685","0","685","75208","27","13453","60811","2968246","0","0","0","114","0","2892816","0","8980","41","1783","366","10387","13","623882","623141","741","505462","2493489","1604507","67987","820996","409318","291271","24730","93317","1298185","1472493","507056","781640","3509080","799506","208","8283","51527","201802","4495","2388229","115048","559247","104579","287442","30886","69860","99535","90208","391","8936","722163","1348287","506522","3781","5616408","4178027","4476265","780788","313852","188592","24562","78709","99","20435","0"
"52","Нижегородская область","2115451","1878849","217791","18811","40601689","2197554","382287","466812","60818","130957","27429","264023","455937","68915","262","19923","535078","877612","132577","683037","0","683037","4537153","698245","1634198","1305580","10598179","651384","0","0","3578018","17356","25825","50","259390","588","3086694","786378","1616255","5614758","3619701","1069362","1269021","1731429","3593635","1945168","604394","1044073","1210541","625482","172801","412258","7242690","21579767","7606795","10753772","15353524","12560680","5570517","29993","1635208","543653","1955","1878357","368879","1408038","206743","3487819","83777","1726709","604496","496536","12090","95870","2407843","14907244","2585727","18057","6409305","11835399","9922723","2592995","1058036","696191","135080","245552","570","95290","0"
"53","Новгородская область","595603","457883","120102","17618","5708259","577557","250766","77524","0","24576","0","14725","36738","1486","0","0","578310","174136","179160","0","0","0","1603642","1024","104175","813240","347960","50","0","50","0","840","116523","0","521","0","69266","223837","348104","79410","75394","86","72777","455519","754343","381159","120525","252658","251675","209973","648","41054","660033","1880781","970753","798564","844246","598575","255","6577","258551","434","0","167217","78020","262685","83684","161539","24642","24624","82560","73394","0","9166","451639","616206","254999","1666","1187143","1572432","1754129","378169","62835","99991","18513","41438","0","15048","0"
"54","Новосибирская область","2638445","2334220","288446","15779","20003224","2907569","744134","271392","63","256058","175","119767","259622","27696","4079","10594","227737","245029","241563","120834","0","120633","1356485","874916","684970","1982187","3449105","8817","0","0","295852","228344","388188","28034","76295","57099","1589548","1013800","849573","82218","2642553","9283","1879870","1071819","2959817","1686411","78008","1195398","733967","464785","59865","209317","5152631","13800736","7222752","5048121","19281954","12746441","8955105","29260","91149","8723","2008447","2973058","1545285","1543432","178597","4086708","65172","1130273","4992061","4346715","55518","589828","2690086","8757003","3384391","20805","5189908","12595629","10874249","2346721","767440","679242","120387","337475","199","79473","0"
"55","Омская область","1820449","1738087","71897","10465","10498395","1335692","340687","273131","0","117182","5992","26419","75436","18119","50","10603","37663","88073","60225","1218368","0","1218368","856934","7690","799783","298202","1243683","6910","0","0","184420","21147","22","0","29444","3791","1010816","70093","338006","11710","1338641","22677","1314554","1539668","1777834","991887","209313","576634","495113","129518","242499","123096","2579128","4680703","1737554","2462965","6285855","5003911","78869","12344","1622748","128494","22444","925039","205967","804053","85955","891672","32372","72101","90328","74561","2228","13539","1209586","3435717","739625","8976","3203556","6704932","5980400","1083348","441471","299463","57557","114290","94","46173","0"
"56","Оренбургская область","1734926","1691451","37044","6431","10162476","718551","219686","168882","118","50979","0","19842","35212","13343","0","13077","26355","7672","18194","561745","0","561745","356467","617","89761","649557","6541624","1878218","0","0","444997","11967","466505","0","5335","0","12825","119352","322581","181463","160354","58","564","275982","2166784","1473855","424137","268792","525102","263294","14856","246952","1891136","3479365","847287","2241280","3263264","2067814","260087","16632","499617","300","0","995706","199444","556443","44808","400094","37434","127566","227549","205854","3681","18014","750488","1285266","923649","8337","3193629","5684087","5180635","761783","249025","260796","36262","111335","154","51923","0"
"57","Орловская область","2001500","1998178","1253","2069","3928679","659128","64418","17586","171960","13534","0","22707","85973","5836","0","5836","14931","17935","8013","696","0","696","14525","52739","128369","606671","687069","24213","0","0","172","4300","58426","21478","136105","122347","351503","148233","703458","274871","2700","0","0","129788","674072","312012","122595","239465","211077","111898","3200","95979","632799","1932201","904668","870399","811697","452955","1188","6674","87026","89","0","266543","92110","193768","22474","180154","17912","24534","49473","41041","99","8333","260056","364022","238731","1021","1371812","2383895","2051327","283450","55617","111200","16713","46682","50","21150","0"
"58","Пензенская область","2147279","2112444","29882","4953","7883554","1140086","26215","138277","188853","387634","815","20442","61913","36537","0","17217","165692","398758","54763","41","0","41","110248","96922","68144","317907","1290480","14","0","0","0","2016","7585","0","165225","27900","1614038","143841","723878","141294","39291","0","0","1070830","992213","605743","237770","148700","301424","155390","19848","126186","1308106","3799143","1222273","2334590","1227772","844985","1379","16507","97472","43","30","248323","134391","279854","34951","367904","20806","27749","87956","75632","3794","8530","586148","1126047","3383564","2787","2078766","3310263","3285383","556984","166967","198603","28635","95153","309","32468","0"
"59","Пермский край","1522230","1161249","356455","4526","32958985","1223142","223911","507906","791","103585","1229","149666","193564","39876","6","37648","539756","926732","530961","915764","210456","705308","7660896","187081","568482","1263060","5989178","556453","0","0","14242","97166","797052","0","151244","91975","1233001","1036150","3855066","51798","4249691","33967","3997795","2240307","2918130","2124115","399989","394025","837956","542503","31168","264285","4514397","8515041","3201965","4393591","4463704","3201013","66977","27450","907489","134037","316","874205","254133","1231927","177587","2917753","39120","1653064","344822","244560","40458","59804","1385941","4377018","1451448","11291","4646898","8079186","7673132","1193005","371918","476081","94550","177166","419","71571","0"
"60","Псковская область","1039808","899800","129401","10607","3488167","982881","680726","99661","0","10357","0","20409","122439","87441","0","82209","123555","10446","40574","0","0","0","29164","4237","181559","91439","156133","809","0","0","6400","0","135","0","5987","50","40681","831584","309199","9424","36035","642","50","400610","709524","344387","61058","304079","288783","126450","1285","161048","466494","1312766","368240","827606","912455","558856","654","5767","175074","3421","18","259235","90925","245599","59565","174061","12004","42904","38141","34626","361","3154","242902","313021","199307","1365","1284199","1461184","1857315","312380","53469","104632","16291","42250","0","14108","0"
"61","Ростовская область","5102215","4952302","40599","109314","24696444","2366374","247110","295830","28","124969","125812","440774","877650","111093","99","105603","154683","343401","110760","328156","0","328136","887522","58081","1126798","1238608","6599445","188142","0","0","1120998","91619","488383","469","174716","160971","721010","749660","3119520","352054","3618224","10727","2567915","1241850","4697643","3175580","774074","747989","1747167","1294549","70456","382162","5692676","14666060","6680595","6383108","14344514","10148146","7127877","42562","219490","251577","334369","3148346","462076","1560938","222476","1667467","112041","289982","1050560","981194","21881","47485","2171365","5089811","3070382","15637","7341989","11502707","10780247","1946333","565461","709554","142101","312413","686","160217","0"
"62","Рязанская область","1764331","1672272","80006","12053","9199288","968305","55494","233079","9357","61973","0","158833","130785","146744","0","2201","234033","24729","80918","656333","0","656333","260539","218184","560347","1119536","1211259","2188","0","0","3977","97458","142942","116548","101057","26938","1090144","157610","839921","428597","68777","85","1184","781721","1442002","894915","282200","264887","284827","142909","23472","118446","2483416","3578465","1426298","1798957","1549645","950950","27806","14148","363155","67316","924","402565","127890","331430","48397","1031282","17006","589710","190939","161920","3641","25378","675675","920156","463953","2395","2080082","3630720","3153935","670059","139412","189060","36255","85531","4220","31350","0"
"63","Самарская область","1755327","1647738","78664","28925","28994594","2682332","369801","243164","86","468101","6442","123169","57000","21126","0","17656","72348","149600","54303","2032003","0","2032003","3750479","530811","934999","1135728","4113491","13651","13601","0","36628","18618","745447","138","56266","4416","236022","1391639","1683831","5851858","2808976","101224","2616588","890336","3206346","2181482","569006","455859","991880","514420","42460","435000","6619921","11712677","5160777","4782341","13978907","10706722","5916460","23842","1868200","200092","327","2621215","450551","1827787","201687","3003163","57622","817033","34612394","34362628","217175","32591","2063248","6870700","3014902","18792","5465526","9219507","9413690","1625552","810376","701178","102395","264998","237","116705","0"
"64","Саратовская область","2565585","2505973","46154","13458","11968570","1693571","692180","142650","55326","18914","50","81832","173884","3077","0","787","38468","69088","38731","346898","0","346898","359836","175899","428156","680324","2105463","638229","0","0","18107","12212","388","0","4880","344","1300276","417932","1271677","241666","1476854","16460","708376","1045974","3367742","2748651","368652","250440","591202","408288","25090","157824","2603862","4801834","1967466","2330254","7673694","6149291","4198339","20502","846988","40815","0","1256976","226612","755245","69521","817930","29365","57011","218571","142530","2474","73567","1042672","1857220","1043112","5379","3428106","6687668","6147740","894469","243729","372812","69668","163010","99","71063","0"
"65","Сахалинская область","2746283","449057","96438","2200788","941306","423690","23064","42447","0","47502","0","821","6678","78","0","0","21788","99","18498","49","0","49","35929","0","14047","90194","50917","0","0","0","0","1690","0","0","0","0","6636","200","218","262","1580","1100","480","222120","1895548","825530","97901","972116","395587","279593","745","115249","3091729","2118778","919901","1036863","3515107","1381352","776","54342","406570","310489","417144","1290257","115865","526075","99158","357280","60325","59054","1105278","1102751","1005","1522","800774","1731926","590573","3933","4028276","4601855","4242303","849595","236406","162852","19256","100116","50","20657","0"
"66","Свердловская область","2964586","2395288","565027","4271","62165973","2340928","379412","707252","50","196559","1836","128269","268088","21187","0","10653","927265","190225","220879","465","184","241","3249362","264222","1245939","3725144","26885472","5167509","0","306502","4449087","151640","8966163","133516","414485","47299","2822820","1990369","4108874","240585","8409348","8507","696194","4928137","6140562","4124199","589172","1427191","2214612","973850","168334","1072428","11157176","27381026","12533384","13187341","20794240","14291964","9268933","44962","1075787","3022","1411777","4579574","507903","2942204","362252","5085052","126904","1326270","2022735","1859282","50716","112737","3595919","12024314","4442321","46096","9410461","19359811","15614510","3406181","1249975","1088899","166157","491582","1249","134504","0"
"67","Смоленская область","539904","449113","72701","18090","7913686","1123421","534694","101028","0","26997","50","87075","357923","11248","0","11061","305113","10770","42652","1138","0","1138","928293","10551","610928","460143","1888843","166271","0","0","67","25484","21764","0","24153","3322","651298","316182","226487","260900","146683","0","0","446991","2242008","1745100","125697","371211","333937","196828","3982","133127","1079165","3235453","1570633","1194729","1844118","1402463","6197","10194","128580","0","57","331014","110584","258622","27544","318758","45731","28009","106386","36890","44150","25346","379618","621516","503391","3063","1605887","2447812","2697462","409135","101696","151906","22667","61756","397","20917","0"
"68","Тамбовская область","3561521","3466941","90751","3829","5737751","1213225","98600","51278","396233","64436","0","108093","82063","44803","0","5599","87674","15213","6502","0","0","0","823760","0","34831","152515","428915","187","0","0","212711","0","0","0","29438","50","1402002","117819","243077","444","511848","132","163","400531","955955","598987","180611","176358","130776","63239","10781","56756","793187","1807505","631659","994604","1291980","847183","694","9492","503519","0","0","349065","95732","209872","16864","271750","5363","44289","37613","30111","488","7014","319183","753724","497765","2903","1632392","2279783","2420278","317532","91667","128694","19598","54084","6569","24836","0"
"69","Тверская область","1253078","1090072","149151","13855","10391312","1012285","365002","140626","151","216390","50","117181","196726","161292","0","87042","558966","182460","244792","11772","0","11772","221323","44923","300286","332114","2688625","14586","0","0","2814","5241","12167","44","39673","37525","257137","391918","968716","198923","1901224","17494","278155","384209","2629955","1776184","254905","598866","379466","186958","39981","152527","1361915","3753124","1792706","1544255","2150237","1416744","21642","23785","158051","27630","149209","342486","214168","573396","235012","622660","28868","46657","128773","109961","608","18204","797734","1204274","733759","5090","2598534","3800634","3766041","697368","150997","235394","34244","114396","182","32234","0"
"70","Томская область","1169979","931377","233932","4670","5430856","708079","241019","138642","0","209400","0","3529","31269","29658","0","29187","497957","2435","91737","115817","0","115817","486696","151566","54407","213613","1090576","3470","0","0","1","0","857377","0","28473","0","-40485","835106","289081","-341","56333","26610","99","604423","1669096","1134778","97021","437298","325220","193333","28330","103557","1812213","6936185","2214866","4502379","2811971","2185831","7693","10527","993746","149505","21329","331525","123781","524477","28008","710016","12310","71887","118625","108321","2926","7378","540347","2844594","378660","21026","2333488","6030695","3925753","571119","59263","219791","31824","92315","2404","25326","0"
"71","Тульская область","1429786","1414064","12336","3386","22089012","1825902","337190","304177","322","228910","1700","97215","172856","92973","0","73956","101345","210509","48472","71","9","62","3122576","154686","388311","1054902","10409296","2426996","108","0","21004","152243","160963","0","201912","194752","1169066","499817","678867","889110","271556","557","1841","670872","1762925","673381","483947","605597","428622","278182","39297","111143","2120147","3974870","1674434","1646060","2116775","964588","1851","21414","105557","7845","88","1022393","121861","474906","68440","681140","21726","58526","162342","142939","1812","17591","725674","4763242","1072629","4250","2413718","5132564","4663729","1102112","433321","296765","49589","127401","1020","33093","0"
"72","Тюменская область","2185743","1859045","273660","53038","8923281","626102","114014","133455","0","64162","0","12370","35848","976","0","779","139084","59439","32973","474135","0","474135","1557444","156093","274037","493585","1376663","320471","0","0","6471","114997","35010","0","164","164","777901","278600","1085663","147409","25843","22081","377","1304954","2395254","1781355","210684","403215","645188","245740","14529","384919","7464123","4880606","1690626","2351322","7323313","5349727","55568","18869","3672658","185701","170292","1422318","195275","1000941","118834","1151713","55700","118723","231446","168634","3303","59509","1257620","6053432","1148962","15937","3431245","6070724","6805960","1158763","517639","352789","88168","149553","115","48624","0"
"73","Ульяновская область","665923","606518","53761","5644","6085881","586278","37632","117371","79387","48186","0","69418","78683","4315","0","3909","134762","47114","96511","57790","0","57790","42047","553","218571","418558","978895","24999","0","0","9203","11969","54151","0","175452","120501","498944","292081","357867","1459925","218401","37312","153945","476982","1201324","768600","202861","229863","396464","268204","16920","111340","959313","3337242","759031","2314233","1637521","958810","11805","9554","38","2057","297747","249609","129298","375949","34160","741750","32245","25741","100233","62064","6503","31666","481668","4383620","509716","11644","2046546","3868875","3507706","497375","187274","159834","26216","72773","0","30488","0"
"74","Челябинская область","2523757","2420157","91596","12004","50572918","2938926","260611","420044","0","128759","28","151842","132562","84209","0","77411","122378","145847","81918","188878","188090","788","2422082","153454","696522","3258355","19490927","7934302","723752","0","1322707","640287","1094954","6","343674","35506","1431548","837496","4648298","7695896","1482920","1371","731227","4480073","3005938","1555595","335154","1115189","1421931","738066","26975","656890","5293875","9667997","4549404","3541063","9359232","8049664","4605556","28276","496024","184","4554","991073","313757","1293473","144629","1587625","71658","261982","1549163","1451419","25123","72621","1803685","6513208","2242791","10099","5781065","11817408","9991856","1851036","765815","751111","97103","256379","1232","94235","0"
"76","Ярославская область","1171373","1107258","59840","4275","13213145","577053","165150","160393","0","70295","42974","101963","154821","151994","262","72233","134923","314880","88614","686621","0","686621","1059108","74145","1309261","421693","763173","3760","0","0","200","152","1376","0","42505","32516","383470","751437","1178454","1105405","3282936","383266","2654853","559925","1907751","697535","169539","1040678","631273","418606","31942","180725","2013509","3710869","1905976","1272456","8688883","7932122","6622849","10155","475993","62187","50","563253","131271","780087","171815","1028532","21511","150492","5034895","5019642","297","14956","626022","2010300","1071089","3153","2230663","4259999","3963693","855423","307814","320064","40380","151648","0","34811","0"
"77","г.Москва","1384866","1120643","123668","140555","131465193","16534897","3281486","3513712","13323","2455188","32451","1194024","2901714","880138","0","788651","1181310","1725359","2313731","2264387","0","2264387","7211139","6190161","4533272","4489831","13036205","459405","36","0","117429","91397","2296798","68035","167073","23164","11477374","5308802","8134419","1973945","16779201","113874","14077356","20847645","29332473","23186193","1714748","4431533","10609591","4334996","1629238","4645357","126098730","275894775","149419968","105611646","120403179","64126344","21814398","587106","1975455","1228181","14339663","34847943","5861048","31578456","4286036","153083935","4961956","22844610","218715471","182126753","21160975","15427743","45557137","221023022","55661049","827530","53249195","88182026","84605549","26576626","10446876","13560506","2845625","3938566","95709","4029369","0"
"78","г.Санкт-Петербург","562894","309841","182299","70754","78474159","4352760","540743","393144","2764","3337505","729028","856508","2001081","219758","50","136860","726497","1251535","1198454","4095545","0","4095495","2205101","4294250","2053185","2622128","8293573","337712","294","0","188422","167399","40478","2767","412631","254865","10043392","3474588","10259105","1221794","9671854","6466501","2684987","5566518","9248194","5326328","1354239","2567627","2773994","42360","1527119","1204515","43310013","103890247","43469363","54863061","53720784","30300733","12764156","289566","1424007","1356774","4573788","15447146","2042343","9839028","1425357","32998484","420268","15630479","33965743","32846958","190219","928566","12599278","50627042","14740926","152744","12540036","42843798","35192308","9756040","2805729","2866751","427876","1309503","48889","479603","0"
"92","г.Севастополь","132438","85506","10989","35943","692814","80358","7235","9634","0","33422","0","2857","7826","2222","0","2173","4579","2924","5103","0","0","0","3576","0","17343","49357","44728","0","0","0","0","119","0","0","50","0","4604","8861","10099","54","296328","296328","0","118573","339918","215573","73626","50719","100846","44324","2161","54361","1149328","1401064","269343","1051260","547983","350312","50","2442","0","8306","29","186830","2506","268199","34331","225760","3036","18074","41262","30397","2691","8174","396918","486056","248530","1891","1748128","1397005","1291000","315939","78304","103876","19108","58802","0","18649","0"
"79","Еврейская автономная область","62555","33900","28655","0","257578","18503","7412","648","0","1786","0","0","4607","2347","0","2347","24199","4184","451","0","0","0","2153","0","6576","167816","7514","0","0","0","0","128","0","0","507","507","50","0","12135","0","1179","0","0","4078","300528","75651","11555","213322","19739","8236","0","11503","80095","240567","34281","189552","127951","88130","2620","962","0","0","0","18584","21237","26801","4316","39873","6067","15847","10510","10159","99","252","82398","79843","21789","198","556079","602773","706163","93891","25066","24095","2797","12704","0","3133","0"
"83","Ненецкий автономный округ","168599","91424","50","77125","84358","54059","35265","50","0","172","0","50","718","0","0","0","550","0","1098","0","0","0","3322","0","420","18413","384","0","0","0","0","0","0","0","50","0","50","0","73","0","83","34","0","4966","239901","147480","15298","77123","21466","0","5899","15567","102419","141232","38796","95404","349898","51356","78","444","0","12195","178563","90237","17547","77146","6224","68547","8010","15061","22997","22777","0","220","44512","102478","39518","118","367406","482104","338019","73084","2035","28178","1680","13615","0","311","0"
"86","Ханты-Мансийский автономный округ - Югра","446114","71386","346989","27739","4604473","259848","77723","5807","0","20123","0","5713","8758","306","0","91","269050","345","23919","963969","0","963969","45145","72","20684","226965","557167","1040","0","0","481","5696","0","0","0","0","8368","9022","145332","25072","18078","15436","598","1996537","5556573","4455088","61232","1040254","875842","342264","255177","278401","6980294","3456406","969977","1703207","15825458","11559736","323274","30844","6593636","247698","2161017","1698817","158190","1119170","75998","1351411","53773","88715","1269472","452594","765716","51162","1366945","2575510","2839125","21375","7261857","11969539","11185357","1750444","540348","573515","71219","166326","3510","43251","0"
"87","Чукотский автономный округ","242430","221010","5750","15670","211778","38915","5965","10369","0","706","0","7","248","0","0","0","43","0","149","0","0","0","50","0","99","21","273","0","0","0","0","0","0","0","0","0","0","0","0","0","1051","1051","0","170216","1540022","1175608","21665","342749","8046","2210","3444","2392","488887","447180","249915","191162","578878","42813","0","1645","0","97096","148887","258485","31597","112776","8711","43593","11464","3176","23159","21511","1648","0","40636","190184","50315","41","930464","764472","583092","132405","9509","23790","857","9237","0","1212","0"
"89","Ямало-Ненецкий автономный округ","273848","145076","20538","108234","1511839","133180","73322","337","0","7283","0","1229","2804","525","0","525","5592","50","5072","400942","0","400942","16123","50","3178","189330","112635","104238","0","0","0","0","0","0","0","0","112","106","12050","410","50","0","0","621118","5060061","3268929","67353","1723779","102727","1287","22260","79180","3877788","4277407","3629105","460916","6946332","4477372","431207","15293","2167735","68677","750473","1567030","82780","736754","111907","479329","38977","46379","378508","359704","15725","3079","760196","3475499","1791693","3705","5470435","5830715","4269709","881168","253017","329387","19343","90394","190","13275","0"
