"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29"
"Республика Адыгея","24","0","0","5","0","0","94201758","90585112","76443833","1647094","118468","0","0","168571","0","14120","0","0","659","1","0","2","0","2823","25781377","23827692","474562","Х","0","1033"
"Республика Башкортостан","124","0","0","2551","0","0","901616936","809442061","482870785","10363357","823220","0","0","6168303","0","240337","0","2441","1079","5","0","27","0","2798","108491597","104189551","2034624","12036","0","19174"
"Республика Бурятия","27","0","0","73","0","0","359406445","313905547","250509480","4551946","187344","0","0","924946","0","778397","0","339905","790","47","0","2","0","3381","22368136","19469569","383513","4361","0","961"
"Республика Алтай","8","0","0","32","0","0","85872115","76627771","34223722","709656","128755","0","0","837483","0","0","0","0","290","0","0","0","0","1034","6596651","6069868","121274","0","0","0"
"Республика Дагестан","24","2","0","662","22","0","200235770","196076537","150718975","3238458","369427","0","0","991413","0","73258","0","0","967","0","0","0","0","4858","37036150","35022756","346450","0","0","0"
"Республика Ингушетия","9","0","0","11","1","0","58546859","55824905","47073711","1034759","124528","0","0","67824","0","757","0","0","121","4","0","0","0","805","6431017","5000835","97223","3261","0","0"
"Кабардино-Балкарская Республика","21","0","0","3","4","0","83673569","81705472","60781998","1330047","287474","0","0","10140","0","6634","0","0","911","8","0","0","0","3190","22309543","18920823","375835","619","0","0"
"Республика Калмыкия","28","0","0","8","1","0","71464650","71339553","60146801","1319082","199558","0","0","31692","0","4094","0","0","300","23","0","0","0","841","2631756","2371400","34911","790","0","0"
"Карачаево-Черкесская Республика","69","0","0","12","0","0","88172123","85902848","55362651","1201055","613020","0","0","30817","0","270","0","0","318","36","0","48","0","1655","21807300","17509080","130732","15208","0","19794"
"Республика Карелия","48","0","0","27","0","0","221217263","208727703","147608665","2969026","683591","0","0","397317","0","217236","0","1453","1021","50","0","367","0","3035","33489021","31481194","489791","5430","0","133312"
"Республика Коми","29","0","0","12","0","0","1132679686","1124549659","1098889180","23929002","27284","0","0","516109","0","239905","0","0","725","0","0","0","0","1833","19842812","19468815","386670","0","0","0"
"Республика Крым","293","0","0","84","0","0","746003612","714520301","404404640","5495461","3627628","0","0","1012722","0","0","0","532280","1717","117","0","0","0","5013","71906667","69234831","576609","103536","0","0"
"Республика Марий-Эл","43","0","0","8","0","0","95494033","92208523","79012336","1728189","83295","0","0","126100","0","5796","0","0","1058","28","0","845","0","4522","36672585","32581427","338469","4145","0","307197"
"Республика Мордовия","112","0","0","72","1","0","212922266","206520593","158881507","3438297","236847","0","0","803987","0","56647","0","0","146","0","0","126","0","246","17894361","17574327","133840","0","0","218450"
"Республика Саха (Якутия)","34","0","0","87","0","0","2415005687","2040665089","1870657422","21942150","1360757","0","0","3783199","17046060","144195","0","247756","344","0","0","393","0","1006","23836915","16751833","192922","0","0","266002"
"Республика Северная Осетия-Алания","18","0","0","23","5","0","151200678","146949941","112021348","2050060","536361","0","0","8123","0","6982","0","0","251","19","0","2","25","740","10914289","8627850","127763","1097","0","152"
"Республика Татарстан","261","0","0","461","0","0","2172539619","2062023059","1837217330","39085743","2064061","0","0","3935824","0","173387","0","0","410","0","0","0","0","1153","146174652","144460427","2896347","0","0","0"
"Республика Тыва","8","0","0","35","0","0","32793977","32692369","19684997","432964","8346","0","0","271666","0","0","0","0","132","0","0","39","0","605","6180365","5288271","99532","0","0","8959"
"Удмуртская Республика","30","0","0","85","0","0","341022599","328645460","291499214","6278004","47983","0","0","722801","0","131635","0","1618","1813","60","0","320","0","6321","79372559","69758101","985990","11440","0","80226"
"Республика Хакасия","15","0","0","1","0","0","152600255","152600279","131851596","2693754","62343","0","0","Х","0","133896","0","102724","587","28","0","429","0","2727","19195629","15788819","282069","2518","0","46647"
"Чеченская Республика","6","0","0","49","3","0","223232712","228660271","203370010","3647325","544565","0","0","789069","0","6286","0","0","185","0","0","0","0","2593","21449914","17979866","264652","0","0","0"
"Чувашская Республика","83","0","0","48","4","0","179440962","162348819","140795637","2984337","200486","0","0","250082","0","37737","0","0","1319","36","0","1323","1","5513","40625587","38056231","492982","3371","0","270454"
"Алтайский край","61","0","0","8","0","0","268159889","248661151","229890916","4888738","331249","0","0","65359","0","168878","0","0","2261","41","0","116","0","8590","71157036","60170504","1196800","5562","0","13780"
"Краснодарский край","158","2","0","149","0","1","3117732014","2919056687","2375774819","43046042","8865221","1709090","0","7618062","0","1745431","Х","536024","6728","163","0","16","0","45089","394041431","345161439","6705046","31415","0","50391"
"Красноярский край","37","0","0","3216","0","0","2571077261","2540789401","1365809356","27802636","279792","0","0","7181979","0","626098","0","221030","1819","32","0","158","0","11934","76842255","63921437","1155807","4156","0","73700"
"Приморский край","79","0","0","275","154","0","890186695","856837118","801364429","13631817","813854","0","0","3825051","0","352289","0","87172","2588","48","0","158","76","10665","183625767","164987619","1898936","5467","0","672885"
