GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156;G157;G158;G159;G160;G161;G162;G163;G164;G165;G166;G167;G168;G169;G170;G171;G172;G173;G174;G175;G176;G177;G178;G179;G180;G181;G182;G183;G184;G185;G186;G187;G188;G189;G190;G191;G192;G193;G194;G195;G196;G197;G198
  Омская область;2237060;20379597;0;1738006;0;0;0;42246;33405;333999;17;7685;0;2809;32414359;441237;1000842;5004;0;0;691876;0;0;0;49646568;-5;0;0;0;0;0;91160;53701589;9005;0;37683741;300402;0;0;7570644;7399094;0;380;0;0;-296223;0;0;4005678;0;0;0;0;0;0;0;0;0;1291694;438;0;0;0;0;0;0;0;0;0;9008;0;0;0;0;0;0;0;0;0;334774;0;0;0;0;37298;25387;4341738;52083;254973;1462508;2608;0;575690;0;0;0;0;138159;12582;0;177413;0;0;0;267493;10898;0;524053;289;43;9145;212;0;0;0;0;0;0;0;66284;1762;0;605;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;1;0;0;10;0;0;6;0;0;0;0;0;0;0;-8;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1699;0;42;39899;28;0;5618;0;0;0;0
  Оренбургская область;6076115;38359925;0;6190394;0;0;0;1132753;30284;29479;0;24358;0;70994;30777561;332099;425190;2392;0;1;1220163;0;0;0;101094636;162660;0;0;0;0;0;0;3200682;8;0;5969355;0;0;0;403301;562962;0;2849;0;0;0;-222713;0;0;0;0;0;0;0;0;0;0;0;1170992;0;0;0;9;0;0;0;0;0;0;147;0;0;0;3903;0;0;0;0;0;309399;0;0;0;0;64805;0;9811112;1013341;391604;1010132;4039;0;781822;0;0;0;0;240360;0;0;232153;0;0;0;270897;0;0;264278999;12369275;877533;76266;378063;0;0;0;4342241;0;0;0;104712;1197;0;168;0;0;22197158;15101355;0;39936174;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;111;0;0;0;251;0;0;0;0;0;0;136;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;133;0;0;41246;6;200135;46011;0;0;915;0;0;0;0
  Орловская область;841682;6438737;2;1371364;0;0;0;7499;29607;409843;0;517;0;93;11331315;172635;152052;-17;0;0;453283;0;0;0;9854556;0;0;0;0;0;0;0;0;-1167;0;0;0;0;0;20797;18341;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;738386;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96508;0;0;0;0;34050;10941;2156556;63191;135936;858661;1750;0;265960;0;0;0;0;219132;24908;0;75722;0;0;0;137264;16995;0;0;0;0;26093;708;0;0;0;0;0;0;0;20405;233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2;1;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;17595;25359;0;0;11437;0;0;0;0
  Пензенская область;1395684;9890173;70;946919;0;0;0;1826;92667;-19733;0;9039;0;3201;17647901;471039;313996;24;0;8;377320;0;0;0;24614399;40700;0;0;0;5622;0;0;0;0;0;0;0;1333345;0;2205453;6302143;0;50013;250044;0;0;0;0;0;0;0;0;0;0;0;0;0;0;568747;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;608224;0;0;0;0;84879;75718;3565262;152554;219855;1441884;4284;0;454980;0;0;0;0;241189;72513;0;154312;0;0;0;158272;39756;0;330126;0;0;22184;23381;0;0;0;4422;0;0;0;18347;1022;0;0;0;0;0;0;0;10101;0;158;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;732;28;1734;0;0;937;0;0;0;0;0;0;0;0;0;39;84;1;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;1;0;0;0;0;0;0;571;0;54009;39742;5;0;0;0;0;0;0
  Пермский край;11689210;75173438;-1;6819276;0;0;0;33795;177164;1142179;5135;24147;0;6405;51438647;663060;1341648;63;0;134;2363490;14999;0;0;123161318;-4015;0;0;0;0;0;0;21467154;-659862;0;24368107;475316;0;0;44810;6227774;0;1;0;0;-561031;0;0;-139949;0;0;0;0;989;1396328;0;0;0;1610585;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1513663;0;0;52888;0;84075;0;9421289;1602993;586164;2822690;4672;0;2541630;49812;0;0;0;122386;0;0;479474;0;0;0;155717;0;45911;223319489;326057;0;152698;146655;0;0;0;1621632;0;0;0;71787;0;0;165;0;0;104790;0;0;23808948;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;-1516;0;0;0;0;0;0;0;0;0;0;1;497;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8608;0;4608;44052;85;0;92923;0;0;0;0
  Псковская область;421924;4021679;0;588737;0;0;0;288;3312;10718;0;8;0;821;10535478;74276;109503;0;0;11;100093;0;0;0;4180838;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11161;0;0;750;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;602619;0;0;0;0;0;0;0;0;0;34;10906;0;0;0;0;0;0;0;0;0;98019;0;0;0;86;19855;22047;1346872;100290;161863;778464;504;0;132779;0;0;0;31;78199;46679;0;33521;0;0;513;165097;45784;0;0;0;0;31205;1055;0;0;0;0;0;0;0;15147;1325;6;643;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;4;0;0;0;22;5;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;34022;12818;3;0;0;0;0;0;0
  Ростовская область;6396121;50656199;3;6247551;0;0;0;222592;319673;729115;239;5857;4895;46120;70442321;1304098;1437424;31;0;5;3005672;5000;0;0;12408457;19091;0;0;9;0;9934;43273111;0;-4306;0;685;58;1091;47890;5209334;0;0;1305;0;0;0;-429897;0;-900297;0;0;0;0;0;-13077642;0;0;0;4272778;0;0;0;0;0;0;0;0;0;0;4965;0;0;0;0;0;0;0;0;0;961568;0;0;0;0;166078;84665;13332881;2038871;638423;3387409;151349;0;4356498;0;0;0;0;533170;301762;0;1060990;0;0;0;943829;204996;0;0;248377;9829;226360;44114;0;0;551355;0;0;0;0;39394;913;919;1319;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;720;2;328;0;0;3;0;0;0;0;1;0;0;0;0;11;2;0;0;0;1;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;5026;0;8464703;84799;11735;0;1327;0;0;0;0
  Рязанская область;1970461;14108254;0;2091658;0;0;0;9205;97949;126731;257;8097;0;867;20458947;359404;684639;1812;0;13;457482;0;0;0;31993637;0;0;0;0;0;0;0;32399307;596089;0;21600068;88668;0;0;1277828;0;0;3142;0;0;0;0;0;13522;0;0;0;0;0;0;0;0;0;998946;0;0;0;0;0;0;0;0;0;333;0;0;0;0;0;0;0;0;0;0;762522;0;0;0;0;130156;114563;3712501;698825;225050;995267;451;0;927920;0;0;0;0;262050;129178;0;131187;0;0;0;235742;55553;0;0;0;0;67052;53655;0;0;62;14615;0;0;0;28737;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;5;0;0;0;0;9;0;-14;0;1;0;0;0;0;0;104;0;0;1;0;0;0;4;0;16;0;0;0;0;0;0;0;0;0;0;2;0;0;6;0;0;0;0;0;1;0;0;3395;1;103749;57970;5;0;0;0;0;0;0
  Самарская область;12527350;79063548;-2;6390977;0;-11;0;42393;420483;345382;867;99161;0;59531;65679181;311528;1193998;1840;0;6;3552974;0;0;0;182140563;3264;0;0;0;0;0;55801;38012291;-179281;655976;28658980;167074;10131;38;9889053;1503055;0;16495;0;0;-1285239;0;0;2175512;0;0;0;0;0;0;0;0;0;2758764;0;0;0;0;0;0;0;0;0;0;284;0;0;0;0;0;0;0;0;0;1102264;1500121;0;0;0;252131;67686;16045816;115261;833329;3825428;7296;0;1291410;0;1737545;0;0;384626;90020;0;194470;241484;0;0;397020;61124;0;239698814;0;0;103149;17505;0;0;0;0;0;0;0;82730;890;1;384;0;0;0;0;0;47475671;0;0;3;0;0;0;0;0;0;0;0;0;185;0;0;0;0;0;0;4;0;10;0;0;18;0;0;0;2;0;17;0;0;0;808;2;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;1;1;0;0;0;0;0;18692;0;69556284;71493;100;0;2305;0;0;0;0
  Саратовская область;2834596;24102250;0;5619903;0;0;0;274296;65132;40850;2307;21341;0;75609;36328143;513594;559324;0;0;0;848923;0;0;0;48464132;0;0;0;0;0;0;720;15688793;48;0;11132921;0;0;0;513769;0;0;3004;0;0;0;0;0;-13566;0;0;0;0;0;0;0;0;0;703346;0;0;0;0;0;0;0;0;0;3;0;0;137;0;0;0;0;0;0;0;621587;0;0;0;0;98698;353679;6945369;908141;463016;2353921;5957;0;286437;0;0;0;0;176751;277011;0;80609;0;0;0;320546;183916;0;16195063;616928;290847;70026;98;0;0;0;0;0;0;0;14338;1709;0;657;0;0;0;0;0;429331;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1123;0;74;0;0;1;0;0;0;0;0;0;0;0;0;12;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;-6;0;0;34773;0;49073;52779;-57;0;74;0;1945;0;0
