GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31
Республика Адыгея;16786407;16742937;2220;48344;48349;245;972;215;2;14336140;14343307;2005;2950;3114;2;41748;40774;39;2617135;2566807;2324;1558045;4288318;771900;302663;54479;28100;689321;1073030;27944;1558045;40721
Республика Башкортостан;529169733;528806607;46654;1252106;1228014;7964;268998;16958;48;462440201;463408838;44249;129620;82533;10;35657342;35652024;597;58337358;57414724;52130;460573318;127611110;22969998;57799123;10403838;1388051;11178109;112151310;1590156;460573318;35608003
Республика Бурятия;36307057;36222963;3518;15417;15223;610;1063;241;3;32058748;31934942;3186;270;37;2;3198324;2925186;236;5097153;5126563;3855;43196084;14934598;2688230;2228284;401090;229048;2058092;1384641;11587;43196083;2904065
Республика Алтай;18755180;18623076;1578;4541;3899;69;0;0;0;16969065;16897065;1467;0;0;0;396956;394346;31;1937444;1875074;1567;5221704;8671968;1560954;729773;131358;30101;1399495;326238;0;5221704;394345
Республика Дагестан;26383715;26012557;4373;33007;32820;110;578;296;3;22536078;22392951;4039;0;0;0;66432;69251;30;4221621;3986210;4324;2502965;9847667;1772583;2097881;377617;93095;1301871;1869305;739;2502965;66493
Республика Ингушетия;5469386;4836098;887;6189;7342;6;0;0;0;5135249;4513017;813;0;0;0;70;70;1;467963;448039;868;20798;621198;111816;502625;90473;544;20799;0;0;20798;70
Кабардино-Балкарская Республика;20472501;19602059;2504;93158;93089;126;5161;5161;9;18931194;18306064;2300;43;43;1;3715;5970;13;1788221;1619813;2512;934267;3966629;713993;495114;89121;65058;559814;307307;69334;934267;5272
Республика Калмыкия;5510595;5352305;761;5292;5225;118;45;0;0;4439682;4285121;640;0;0;0;863;863;3;1238709;1234729;845;29042;642157;115590;357937;64430;3573;47587;47140;0;29042;818
Карачаево-Черкесская Республика;22251590;22117990;1711;2242;2286;62;1420;924;4;20644546;20574550;1582;146;146;2;26867;21394;24;1676796;1630047;1711;1054534;2500641;450115;1048200;188675;14632;246808;101261;0;1054534;20983
Республика Карелия;35080752;34922622;5567;102216;100439;1756;5211;567;3;29559070;29349856;5161;523;346;2;3078208;3078027;275;5859333;5864954;6823;49868273;8633756;1554077;1651307;297233;152078;1104766;1533692;516886;49868273;3073976
Республика Коми;107210189;107099447;4588;300184;287045;3164;13327;0;0;84962614;84931637;4175;92;0;0;17913741;17871313;155;17463298;17373136;7410;307968671;38754669;6975839;2682232;482807;160588;6332444;3629574;34675;307779548;17827036
Республика Марий-Эл;58565631;54448681;5789;23898;23984;635;4051;131;4;52561556;48474637;5369;673;0;1;696124;695539;88;6122510;6097201;6228;8960847;12044895;2168078;5033660;906057;211706;1050315;2338593;421709;8960847;695557
Республика Мордовия;56292510;56407353;6442;40439;40316;762;69;41;3;50611209;50790361;5904;0;0;0;394172;408877;62;6843263;6757105;6809;10012331;28457956;5122428;13725051;2470509;240793;2411126;1486693;24262;10012331;408868
Республика Саха (Якутия);68586872;68269854;4043;219743;243107;955;3000;0;0;59650177;59152109;3639;0;0;0;13418471;13933673;133;14115228;13889815;4615;279230055;63006223;11341122;17726908;3190843;380701;7769578;24551092;850066;279230055;13460417
Республика Северная Осетия-Алания;13511492;13720446;1937;8927;7415;186;2480;0;0;11695995;11855834;1765;-191;0;0;92576;90022;64;2040371;1946703;2055;1575987;3275661;589619;770623;138714;70903;380002;93032;4641;1575987;91808
Республика Татарстан;874930553;872139387;73131;2044750;2121775;1893;112936;60042;81;769143706;767027853;70422;51092;22889;12;43830499;43602490;624;101830211;101863089;72238;628376885;465638513;83814934;202012614;36362276;1384821;46067837;18271426;2929477;628376885;43529838
Республика Тыва;4141738;4140142;368;22033;22076;52;0;0;0;3102375;3124942;302;0;0;0;769067;773627;12;781965;742508;379;14861249;990123;178221;130781;23541;10566;144114;576;0;14861250;773627
Удмуртская Республика;165691737;166254108;21856;207022;207587;1007;15386;12635;19;132750657;133236228;21115;239;12;4;2574934;2571131;229;32563653;32586017;22262;95185323;58472930;10525133;20954320;3771779;581370;6171984;4128096;215421;95185323;2570394
Республика Хакасия;34155152;34094048;2971;229453;230411;511;362;131;1;30701381;30647369;2611;320;116;1;3700327;3695475;53;3668218;3672918;3385;40309611;6967939;1254228;1433957;258114;143451;852663;1000415;0;40309611;3695444
Чеченская Республика;23284946;22866414;2118;-7299;8443;31;0;0;0;23644259;23127143;2020;0;0;0;3607;3607;3;1284613;1319195;2032;81516;1863083;335358;628698;113166;21220;200972;229111;11668;81516;3607
