GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156;G157;G158;G159;G160;G161;G162;G163;G164;G165;G166;G167;G168;G169;G170;G171;G172;G173;G174;G175;G176;G177;G178;G179;G180;G181;G182;G183;G184;G185;G186;G187;G188
Приморский край;4194796;25138607;0;1287006;0;0;0;132394;120513;264840;10;45896;0;5446;47159492;471615;2681959;0;10912253;0;0;0;0;0;5;0;1398657;-1466;0;1;1869156;2563846;1138;0;0;8;0;-491298;0;0;0;0;0;0;-2835977;277371;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;614419;0;0;78;62297;37122;9351393;1992670;359721;1787180;129335;32;1620420;260;0;12841;190527;87390;0;412933;0;0;1091;154137;36343;0;0;0;84349;273944;0;0;154107;0;0;0;0;19417;13111;336606;768;0;0;0;0;0;9;0;0;1;0;2;8;0;0;0;0;0;0;0;0;0;133;3;98;0;0;85;0;2;0;2;0;0;1;0;8;1;4;0;0;0;0;0;0;0;0;12;0;21;0;0;0;0;0;0;0;2156;77;3332428;16894;0;1566;0;212;68372;6381;196;0;0;1005;637;3486;338;1220;3822;0;0;111;0;0;7;58;16
Ставропольский край;2065815;15338858;0;4247548;0;0;0;22761;29645;22997;0;2587;0;580906;29657730;328779;502416;1;31281669;21190;0;0;0;45224;0;-5293924;363;11;0;1723373;867925;6891696;270;0;0;0;0;0;0;0;0;0;0;0;0;1460849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;920851;0;0;0;148659;49634;6458963;1013720;283627;1627100;34946;0;1286916;0;0;0;222042;80506;0;698037;0;0;0;431155;66492;8658293;214519;7795;26561;43399;11;0;0;0;0;0;0;19285;124;0;92;0;0;0;0;0;3;0;0;1;0;0;31;0;0;63;0;0;0;0;0;0;7;0;1;0;0;29;0;0;1;0;0;0;0;0;0;4;9;0;0;0;0;0;0;0;0;9;0;2;0;2;0;0;4;0;0;15316;0;27570;32224;0;2867;0;325;1147;8769;167;0;0;639;2;701;800;10;0;0;0;6;0;0;0;2;0
Хабаровский край;1961023;16488393;0;1343853;0;0;0;103996;276129;730420;0;4374;0;325366;39166805;233826;421675;-12;13724640;0;0;0;3058;0;14096178;19;-170;14448269;0;0;3706006;1458338;4230;0;0;-31556;0;4217329;0;0;0;0;0;0;0;3459269;0;0;0;0;0;0;0;0;0;539;0;0;0;0;0;0;0;0;0;414571;0;0;137;35970;54107;9710838;2403306;372307;1442315;3694;0;725537;0;0;19147;136986;81690;0;161354;0;0;78;57274;16398;0;0;0;81444;3596692;0;0;299188;0;0;0;0;26116;14178;159606;12349;0;0;0;0;0;0;0;0;1;0;0;0;0;0;17;0;0;0;0;24;34;27;21;27;1;0;102;0;175;0;2;0;0;0;0;2;121;1;17;0;0;0;0;0;0;0;1;0;24;0;0;0;0;3;0;0;33103;0;75;2756;3;354;0;0;9835;2021;43;0;0;84;0;108;379;-1923;0;28336;0;0;0;0;0;0;0
Амурская область;739107;10608466;0;1533230;0;0;0;12;6082;262307;35;642723;0;29359;21755122;216579;220306;0;-37027308;3844;0;0;0;0;0;0;0;0;0;0;18533;0;282;0;0;0;0;0;0;0;0;0;0;0;0;376342;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;390185;0;0;70;53180;28286;8602234;0;195483;842126;1204;0;393019;0;0;42117;-420447;37360;0;156481;0;0;42;77781;11996;0;0;0;80994;2390576;0;0;71516;0;0;0;0;12130;9039;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9505;31;12524;5869;0;911;0;0;8241;633;65;0;0;260;0;1256;287;-6288;0;0;0;0;0;0;0;0;0
Архангельская область;1743940;13586522;0;803537;0;0;0;5108;6205;53897;11;8;0;0;26785667;111774;304568;0;23161051;0;0;0;0;0;0;0;0;0;0;0;50964;4821586;56;0;0;-250316;0;-200645;0;0;0;0;0;0;0;120555;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;230443;0;0;0;32700;38624;5077693;2960356;234444;1034212;3025;0;498659;0;0;0;79509;85616;0;66477;0;0;0;66793;47016;0;0;0;70685;33657;0;3239436;0;0;0;0;0;11626;7785;47845;207;0;0;0;0;0;-3;0;0;0;0;0;0;0;0;1;0;0;0;0;21;25;1;7;19;0;0;1;0;0;1;7;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;3;0;1;0;0;0;0;0;4300;8;362;8841;0;820;0;51;859;204;268;0;0;548;2115;695;869;823;0;0;0;601;0;0;0;1;0
Астраханская область;19205052;6940898;0;8929464;0;0;0;647822;14100;10016;0;14482;0;4764;13529049;62097;144592;0;12712805;0;0;0;0;0;11959875;89934;0;5676722;0;0;14334;0;0;0;0;0;0;-33973;0;0;0;0;0;0;0;90104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;250516;0;0;0;43009;11590;4642997;1785583;147796;834139;6374;0;195285;0;0;0;387738;131866;0;68551;0;0;0;108122;30245;34203457;17654858;33965596;9197;17907;0;0;0;0;0;0;0;-2777;0;2835;2511;0;0;0;0;0;11;0;0;-17;0;0;30;0;0;0;4;0;0;0;0;0;181;1;9;0;0;5;0;0;-234;-22;0;0;0;0;0;9;20;0;0;0;0;0;0;0;0;32;0;12;0;1;0;0;4;0;0;28059;20910;0;4132;0;287;0;113;10619;1376;94;0;0;-38;601;335;71;0;0;0;0;-296;0;0;0;0;0
Белгородская область;4217414;26864369;0;4806249;0;0;0;7395;43519;57092;24;15485;0;0;26071071;327121;1795441;1412;30371866;6;0;0;0;1;0;6059;0;0;0;0;144017;1804860;346;-494;0;0;0;0;0;0;0;0;0;0;0;1390753;0;0;0;0;0;0;0;0;0;130;0;0;0;0;0;0;0;0;0;815186;0;0;0;163247;142434;8344108;30133;369686;1480040;8960;0;3102706;0;0;0;254245;159585;0;513340;0;0;0;227668;81940;0;0;0;324675;1911341;0;0;0;0;0;0;0;69608;381;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;59;0;51083;26340;0;1148;0;1475;1328;194;91;0;0;20;4590;33;320;0;83;0;0;4;0;0;0;0;0
Брянская область;649840;5375607;0;967088;0;0;0;1680;3948;1056;0;0;0;0;14734004;113266;212879;0;12828480;38;0;0;0;1808250;0;0;0;0;0;0;496110;1953747;154311;0;0;0;0;0;0;0;0;31;0;0;0;3677611;0;0;0;362;0;0;0;0;0;6464;0;0;0;0;0;0;0;0;0;439615;0;0;0;65084;128335;2716364;64111;138208;846921;46105;0;424468;0;0;0;135005;160044;0;100432;0;0;0;131948;84405;0;0;0;13076;14245;0;0;0;0;0;0;0;23527;710;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;8;0;165;4;112;0;0;188;0;0;129;0;0;0;0;0;45;10;0;0;0;1;0;0;0;0;0;1;0;17;0;18;0;0;1;0;0;105;0;1873018;7315;0;235;1;478;6005;1647;518;0;0;604;2260;7284;455;-16661;0;18;0;15;0;0;0;0;0
Владимирская область;2364623;15382129;0;687084;0;0;0;32416;314927;689021;55;755;0;497;21509561;189473;271255;72;29230830;0;0;0;0;0;0;0;0;0;0;0;563067;165152;20304;0;0;0;0;0;0;0;0;0;0;0;0;408885;0;0;0;0;0;0;0;0;0;7417;61;0;0;0;0;0;0;0;0;154013;0;0;0;55606;74578;3839038;326832;194949;1425142;3760;0;921971;0;0;0;284767;470552;0;190747;0;0;0;333903;188804;0;0;0;100849;8129;0;0;0;0;0;0;0;44540;1031;0;0;0;0;0;0;0;1;0;0;26;0;0;0;0;0;13;0;0;0;0;0;0;6;12;12;0;0;4;0;0;695;1;0;0;0;0;9;102;19;0;0;1;0;0;0;0;0;0;0;22;0;0;0;0;53;0;0;67;0;199988;4839;0;-32;0;240;1071;802;1;0;0;289;680;644;469;104;0;84;0;70512;0;0;0;432;0
Волгоградская область;838093;10760009;0;7646468;0;0;0;3325;14992;110375;0;2482;8;604;31480193;601161;462892;0;3752374;56;0;0;1;45528347;22836566;-259214;0;10644703;180401;387;1851189;4557;3189;0;0;0;0;1051870;0;0;0;0;0;-22082739;0;1539177;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;385271;0;0;0;28239;32595;6703135;860523;282976;1810162;11444;0;1433017;1;4;0;395451;115162;0;261040;0;0;0;356199;112808;24940413;258197;535547;35436;238284;0;0;0;0;0;0;0;17571;53;0;530;0;0;0;0;0;-1;0;0;-1;213637;0;0;0;0;0;0;0;0;0;0;0;16611;27;2790;0;0;17546;0;0;-1;-10;1;0;0;0;41;-98;255;-33;0;0;0;0;0;0;0;21;0;-6;0;0;0;0;86;0;0;28769;0;198574;25970;1;2294;0;1835;968;631;983;0;0;3;60;1009;394;0;0;0;2;3784;0;0;0;2;3
Вологодская область;2871409;11806464;3838613;14265766;0;0;0;15301;89261;455313;448;14706;1286411;8362;21999184;462588;176884;11239;-2243980;0;0;0;0;0;4554;0;0;0;0;0;36728;8820935;0;0;0;-59437;0;-11815;0;0;0;0;0;0;0;2235100;0;0;0;0;0;0;0;0;0;36;1;0;0;0;0;0;0;0;0;714119;0;0;0;78272;107047;5299821;5981878;250320;1245006;1099;1;817540;0;0;0;120477;36629;0;87234;0;0;0;108303;24814;0;0;0;37980;15353;0;0;0;0;0;0;0;7724;6443;13;389;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;12;4;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;2;408091;5555;0;820;0;238;2137;543;64;0;0;217;0;423;424;0;0;0;0;16;0;0;0;0;0
Воронежская область;1917033;18416141;0;5148598;0;0;0;57516;141622;101327;51;291;0;0;36111328;324796;338283;0;33418730;-3824;0;0;24;0;0;0;0;0;0;0;1930599;272175;2121;0;0;0;0;0;0;0;0;0;0;0;0;1964701;0;0;0;0;0;0;0;0;0;270;0;0;0;0;0;0;0;0;0;416740;0;0;0;107503;99344;9519017;539123;389331;2665917;9233;0;1238281;0;0;0;641394;550992;0;294545;0;0;0;617818;195738;0;0;0;161473;28257;0;0;0;0;0;0;0;96405;670;0;0;0;0;0;0;0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;2;111;0;0;0;0;0;5;0;5;0;0;0;-1;112;0;0;0;0;0;0;0;0;0;5;0;5;0;0;0;0;0;0;0;379;0;28986;50164;2;261;0;974;4050;652;0;0;0;65;5;0;903;0;0;0;0;0;0;0;0;0;0
Ивановская область;457235;4465049;0;426976;0;0;0;221;9412;80578;0;2050;0;0;11006808;110958;119793;7483;7567350;-1;0;0;0;0;0;493;0;0;66;0;1111936;418738;0;0;0;0;0;0;0;0;0;0;0;0;0;547163;0;0;0;0;0;0;0;0;0;668;0;0;0;0;0;0;0;0;0;181041;0;0;0;17088;30560;1804508;361629;82210;717189;1946;0;630897;0;0;0;75538;52979;0;125706;0;0;0;70492;23919;0;0;0;19415;38;0;0;0;0;0;0;0;13449;687;0;19;0;0;0;0;0;21;0;0;28;0;0;0;0;0;70;0;0;0;0;13;3;18;0;17;0;0;4;0;301;0;0;0;0;0;0;24;16;110;0;0;2;0;0;0;0;0;34;0;19;0;3;0;0;51;0;0;67;0;24150;29616;0;276;0;37;1083;968;0;0;0;84;156;8;478;0;0;0;0;4;0;0;0;0;0
Иркутская область;8835925;61298583;0;3164923;0;0;0;201671;77296;1405162;145;3909;16177;3122;54694946;371662;450412;63933;89535035;0;-7204;0;0;0;8061302;471270;449;13536816;171257;0;2113951;0;126;0;0;-255197;0;1126156;0;0;0;0;0;0;0;434179;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;666240;0;0;65;66191;143431;14076888;309684;548400;2020597;882;209;1331834;155;0;36406;239368;260318;0;293837;0;0;490;203264;103807;170164277;16174;263673;153543;3337232;0;0;438445;0;0;0;0;87898;16357;49;132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;23;5;1;0;0;0;41;0;0;0;0;0;0;0;0;0;5;7;0;0;0;0;0;0;0;0;16;0;1;0;0;0;0;0;0;0;292226;1;3105;58618;3;4235;7545;158;10890;936;12;0;0;185;2214;258;1149;477;300;0;0;0;0;0;0;0;0
Калининградская область;1077276;8733063;0;1559078;0;0;0;54702;101164;376599;8121;47142;1;67120;18741688;68267;433392;-29;84685387;4848;0;0;0;9316169;0;2852;8882956;0;0;1461;66713;2386846;409;380;0;-8498;0;-304243;0;0;0;0;0;0;0;2466538;8453;0;0;0;0;0;0;0;84;17938;1;0;0;0;0;0;0;20;0;423289;0;0;0;4;-95;4504379;1005728;279881;1173048;125568;50;680153;0;0;5;85;1249;0;306629;0;0;0;7;53;3054633;0;0;77588;190068;2860773;0;0;0;0;0;0;24228;735;7270;95;0;0;0;0;0;16;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;79;1;157;0;0;134;0;0;0;0;0;0;0;0;2;21;119;1;0;4;0;0;0;0;0;55;0;0;0;22;0;0;0;0;0;2706;378;21132502;9579;-10;316;0;50;2144;851;2;0;0;4;10;9;688;0;0;0;0;0;0;0;0;0;0
Калужская область;2999386;19054285;0;411764;0;0;0;404737;19852;91950;0;10286;0;3518;21846311;114576;225394;2105;29897425;0;0;0;0;6105332;0;0;3021289;0;196114;0;6764835;672329;0;0;0;-69023;0;0;0;0;0;0;0;-234747;0;1212941;0;0;0;0;0;0;1267;0;0;0;0;0;0;0;0;0;0;2;0;108752;0;0;0;40745;61458;4514582;219049;131450;999210;1010;0;389430;0;0;0;333765;206091;0;105304;0;0;0;328384;70635;0;0;0;104863;42879;0;0;0;0;0;0;0;33299;1209;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;12;0;21;1;10;0;0;5;0;0;634;9;0;0;0;0;0;0;376;0;0;0;0;0;0;0;0;1;0;29;0;0;0;0;96;0;0;201;0;23635350;5665;3;69;0;272;5072;1006;4;0;0;12;1030;479;735;0;0;51;0;0;0;0;0;0;0
Камчатский край;697143;4744603;0;214812;0;0;0;104191;35077;0;0;3881;0;0;20253414;80763;195792;-3;2653792;0;0;0;0;0;0;0;0;0;0;0;206037;0;0;0;0;-10420;0;-328981;0;0;0;0;0;0;0;8628;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;113482;0;0;506;6326;22057;2305747;-24927;107108;794749;1479;103;206614;0;0;7685;42689;26365;0;35565;0;0;1292;10799;9650;0;54345;19466;28856;318874;0;0;395;0;0;0;0;18102;6974;639935;28101;0;0;0;0;0;-20;0;0;-8;0;0;0;0;0;0;0;0;0;0;0;0;-13;-9;-427;0;0;-110;0;-52;0;0;0;0;0;0;-49;0;0;0;0;0;0;0;0;0;0;12;0;1;0;59;0;0;0;0;0;4117;0;0;1863;0;0;0;55;95;270;0;0;0;52;155;0;101;28073;0;0;0;0;0;0;0;0;0
Кемеровская область - Кузбасс;6070120;43214980;0;944912;0;0;0;49039;540664;533568;42;19481;14028;7116;52516279;171542;804835;0;-15312029;-7718;-3958;0;18;0;167;36376;0;-107984;0;0;579587;3486976;36;0;-908641;-189;0;4026134;0;0;0;0;0;-2092469;0;617637;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;449622;0;0;0;40429;24581;10590606;79141;508128;1753546;6073;2;2361594;1;0;0;397881;170369;0;173115;0;0;0;92707;33630;0;0;0;96397;565864;0;0;11839285;0;0;0;0;38588;1736;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;-6;0;0;0;0;0;0;0;0;0;-2;-1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;5987;-4;73;29110;0;1435;0;244;2146;663;197;0;0;210;1176;341;475;229;0;0;0;0;0;0;0;0;0
Кировская область;579796;7241373;0;452037;0;0;0;18462;6702;493;0;29578;0;60173;16906183;136215;170070;-17;12604536;57081;192398;0;-288;0;0;0;0;0;0;0;557729;1051815;200;0;-125;-192;0;0;0;0;0;0;0;0;0;205776;0;0;0;0;0;0;0;0;7188;0;0;0;0;0;0;0;0;0;0;325977;0;0;0;29438;52604;2798349;344591;190244;1133194;3976;0;141377;0;0;0;49313;50673;0;63602;0;0;0;67428;31022;69670;0;0;46845;392;0;0;0;0;0;0;0;12683;3674;0;19;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;16;401;0;0;0;0;0;0;0;3;0;0;0;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1014;0;31333;11148;0;331;0;59;2650;1058;294;0;0;0;126;394;1311;0;0;0;16;-150;0;0;0;0;0
Костромская область;1836594;5358661;0;415056;0;0;0;82224;3541;30763;2552;656378;-2612;616619;9132038;83534;149746;0;8791515;0;0;0;0;0;0;0;0;0;0;0;12783;262276;0;0;0;-3048;0;0;0;0;0;0;0;0;0;344787;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211668;0;0;0;33361;25647;1491160;27210;103890;623718;1478;0;348279;0;3;51;100265;32138;0;116703;0;0;0;51557;18683;0;0;0;16191;66;0;0;0;0;0;0;0;17172;2524;0;76;0;0;0;0;0;29;0;0;67;0;0;0;0;0;84;0;0;0;0;104;112;51;13;29;0;0;0;0;0;304;0;0;0;0;0;40;263;0;0;0;4;0;0;0;0;0;1;0;21;0;0;0;0;13;0;0;21;0;305;8701;5;165;0;203;480;715;30;0;0;87;515;286;496;370;0;0;0;0;0;0;0;0;0
Курганская область;377127;3808759;0;845537;0;0;0;477;10442;406;0;0;0;0;9984780;102754;78764;0;8710137;0;0;0;0;0;0;0;0;0;0;0;348453;1950;0;0;0;0;0;0;0;0;0;0;0;0;0;332961;0;0;0;0;0;0;0;0;0;508;0;0;0;0;0;0;0;0;0;210139;0;0;0;33572;25141;2113110;109284;109320;692010;1484;0;258586;0;0;0;55146;42589;0;37071;0;0;0;131296;16547;0;0;0;13509;80784;0;0;0;0;0;0;0;5812;531;0;1112;0;0;0;0;0;0;0;0;7;0;0;4;0;0;18;0;0;0;0;3;0;1;0;0;0;0;0;0;0;695;1;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;32;0;35;0;0;0;0;0;0;0;754;0;310941;10497;1;245;0;228;13;625;83;0;0;8;604;95;125;0;0;1;550;0;0;0;0;0;0
Курская область;2719136;17317259;0;3051635;0;0;0;1017;25862;39322;0;19619;0;0;16109534;198462;125822;0;13526190;74636;0;0;1647;0;0;0;0;0;0;0;103560;2;5223;0;0;0;0;0;0;0;0;0;0;0;0;744286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;251458;0;0;0;38044;24116;4368665;68407;212547;578227;5264;0;775963;0;0;0;284061;57847;0;93733;0;0;0;195892;26718;0;0;0;39627;636270;0;0;0;0;0;0;0;35163;34;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;1;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;35;0;6944;11427;0;617;0;84;778;596;70;0;0;220;1150;1023;233;2530;0;0;0;0;0;0;0;1;1
Ленинградская область;6624231;41190805;3104559;14970469;0;0;0;190801;535766;1641176;0;49;0;0;42667357;276305;601269;5330;33910412;-6703;0;0;0;124615563;11263792;121;50121;9749091;0;1726241;125085;150360;669;0;-41568;44;0;98807;0;0;0;0;14713076;-3694545;0;1869642;0;0;0;0;889;0;7;0;0;1419;368;0;0;0;0;0;0;0;0;14483;0;0;0;137804;273002;16717692;4046858;321656;2792878;34309;0;101996;427;0;0;1020996;1872664;0;15856;0;0;0;868363;598662;0;0;0;414663;61858;0;0;0;0;0;0;0;38159;92;603;186;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;-1346;-280;-565;0;0;0;0;0;10;-641;0;0;0;0;-1;0;-896;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;-343;0;340312;10291;0;497;0;128;6085;4272;61;0;0;1380;149;274;155;4284;0;9;0;0;0;0;5;0;5
Липецкая область;926641;7611504;3413349;12046674;0;0;0;131792;22857;6017383;0;313;0;0;18754063;150095;173265;1078286;-9183985;0;0;0;0;2002153;0;0;2278;137602;277;0;731578;0;95;0;0;0;0;0;0;0;0;0;0;0;0;1943849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;153814;0;0;0;26150;16304;4687843;123022;250727;942894;41606;0;1025754;0;0;0;234918;70514;0;128305;0;0;0;228691;25895;0;0;0;42829;55989;0;0;0;0;0;0;0;64204;60;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;78;0;33690;15225;0;2927;1200;2;705;2373;813;0;0;353;1;365;353;0;0;0;0;0;0;0;0;1;85
Магаданская область;396493;7330709;0;6235;0;0;0;5083;7278;6860;0;0;0;0;9968103;82799;321109;0;-10596960;0;0;0;0;0;-170;0;0;0;0;0;2180;0;0;0;0;-7152;0;0;0;0;0;0;0;0;0;5334;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34154;0;0;0;0;0;2574863;0;105094;144608;1263;0;31983;0;0;0;0;757;0;14977;0;0;0;0;0;0;0;0;38025;1464921;0;0;10600;3565928;0;0;0;6109;2650;58265;1183;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;2;0;0;0;0;0;23425;0;0;4484;0;101;0;69;107;20;8;0;0;0;30;0;65;264;0;0;0;0;0;0;0;0;0
Московская область;28423233;161734183;19;5328300;0;0;0;909069;2033681;8326797;21734;364971;176348;236387;230634226;949890;11674086;757003;376320037;-4891;-2133;0;34493;41563;0;0;3923204;0;214882;1553101;12761996;45605147;333741;966160;0;-843485;0;-31419;0;0;0;0;0;-34935;0;26783156;0;0;0;104;0;0;84;0;7485;48803;0;0;0;0;0;0;0;0;0;4491605;0;0;0;849488;1045711;44389452;607834;1914195;13630166;81879;4856;16151366;0;0;107;4459805;3513107;0;5895305;0;0;0;2690488;1480441;0;0;0;470862;47529;0;0;0;0;0;0;0;289737;255;11;11;0;0;0;0;0;954;0;0;52;0;91;0;0;0;2127;48;0;0;0;456;10;12110;30;5910;0;0;551;0;0;8;-2150;3;0;0;2;224;-27;167;5;0;1;0;0;0;0;0;64;0;20;0;19;0;0;29;0;0;579;0;2020267;59557;1;822;0;3981;181524;20601;31;0;0;9300;4250;2690;4428;101468;0;0;11;150;0;0;0;0;0
Мурманская область;1229585;13554210;0;17936228;0;0;0;55449;130813;115152;0;0;0;0;33221366;49294;169918;0;-20091840;0;0;0;0;0;0;0;0;0;0;0;52056;0;0;0;0;0;0;-398384;0;0;0;0;0;0;0;67016;0;0;0;0;0;0;0;0;0;760;0;0;0;0;0;0;0;0;0;307745;0;0;0;1714;36429;5565941;0;96146;491652;4684;0;655380;0;0;0;4726;80027;0;16495;0;0;0;1448;8763;0;0;0;29723;2479660;0;0;0;0;0;0;0;9825;90;320349;387;0;0;0;0;0;-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;320;604;10;10576;0;383;0;475;365;182;37;0;0;44;440;813;117;0;0;0;0;547;0;0;0;0;0
Нижегородская область;6232419;41536760;0;6932158;0;0;0;-122104;132767;370736;628;34417;-14850;58572;68996598;717769;2618708;17036;57137083;12156;0;0;82602;753106;44426163;9400;1451688;16504920;1641;46683;7252497;5512113;23;0;-6245;0;0;1273833;0;0;0;0;0;-30858537;0;2469075;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1194803;0;0;0;150744;237174;10109792;1046255;607346;3785601;43690;0;1473749;0;0;0;213118;277249;0;394405;0;0;0;382702;152148;0;0;0;78050;5743;0;0;0;0;0;0;0;57868;2014;2;107;0;0;0;0;0;24;0;0;71;0;0;3;0;0;5;0;0;0;0;0;0;1;62;251;0;0;240;0;0;2;0;0;0;0;0;72;457;123;0;0;0;0;0;0;0;0;23;0;4;0;25;0;0;0;0;0;190;0;23870912;20493;0;665;-2585;531;2275;2736;10;0;0;1428;0;258;5237;15363;24;253;0;0;0;0;0;0;0
Новгородская область;991739;6625111;0;1116838;0;0;0;116431;447110;2151917;0;4681;1172;0;9966635;47508;118356;-1;1587378;0;0;0;0;0;0;0;0;0;0;0;180063;161853;4617;0;0;0;0;0;0;0;0;0;0;0;0;280535;0;0;0;0;0;0;0;0;0;1766;0;0;0;0;0;0;0;0;0;85299;0;0;0;38156;56180;3205341;426356;109901;697375;1743;2;254658;0;0;0;76731;84991;0;31086;0;0;0;120674;125144;0;0;0;24575;8656;0;0;0;0;0;0;0;2070;1059;0;226;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6;1;1;0;0;1;0;27;0;0;8;0;0;0;0;13;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;649;0;45525;6950;5;137;0;97;1597;1459;113;0;0;392;357;639;20;0;0;0;22;0;0;0;0;0;0
Новосибирская область;5184354;39478826;0;896131;0;0;0;109059;321243;632702;1060;95549;5833;41836;55610841;355224;1013103;-33;42479508;26948;0;0;73;2619;0;2727;0;1821;0;511;7742343;3376689;13930;1063;0;-2400776;0;88337;0;0;0;0;0;-418790;0;3713732;241;0;0;11;0;0;0;0;3272;14;0;0;0;0;0;0;0;151;0;801243;0;0;0;54490;60360;11335350;187177;453286;2313181;9502;3;2746338;26;0;0;313284;253183;0;242440;0;0;0;196609;59710;1438177;0;0;186655;59439;0;0;1653437;0;0;0;0;27754;4186;42;1289;0;0;0;0;0;188;0;0;37;0;46;0;0;0;0;0;0;0;0;42;0;52;18;8;2;0;58;0;0;-125;7;1;0;0;0;1;27;0;1;0;5;0;0;0;0;0;47;0;23;0;9;0;0;2;0;0;2950;0;30974;29505;0;562;0;889;20330;2772;22;0;0;527;0;760;1073;8125;0;0;0;0;0;0;0;0;0
