GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156;G157;G158;G159;G160;G161;G162;G163;G164;G165;G166;G167;G168;G169;G170;G171;G172;G173;G174;G175;G176;G177;G178;G179;G180;G181;G182;G183;G184;G185;G186;G187;G188
Республика Северная Осетия-Алания;118845;1463412;0;255895;0;0;0;0;3252;0;0;0;0;0;6439775;23800;51575;282;2296072;64751;0;0;1;52429;173;0;0;399;0;878190;378320;507605;423;131618;0;0;0;0;0;0;0;0;0;0;0;39096;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;102733;0;0;0;28883;18056;694063;203579;29946;515334;52346;3;176138;0;0;6191;12744;43623;0;36842;0;0;5;54970;23822;0;0;0;17058;964;0;0;3;0;0;0;0;56814;28;0;0;0;0;0;0;0;4;0;0;0;0;15;0;0;0;28;0;0;0;0;0;0;15;0;4;0;0;79;0;0;2;0;0;0;0;0;1;0;7;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;70;0;0;6473;2;37;0;0;270;560;8;0;0;30;0;0;1;0;0;0;0;0;0;0;0;0;0
Республика Татарстан;8137277;51626773;8234626;51703163;0;0;0;177535;12162705;519197;468;361520;1;555173;75322742;345215;2320279;11362;132913603;11987;-22665;0;0;4998;15157594;-17955205;583818;23278313;2559;1911;9466439;22147366;0;20220;-2285435;-72395;0;8033594;0;0;0;0;89308;-28397513;0;2919250;0;0;0;1513;0;0;0;0;0;2105;0;0;0;0;0;0;0;0;0;1263324;0;0;0;184902;484121;24769952;231118;1202178;4182457;34983;110;3637581;0;0;2;1173899;2112316;0;473289;0;0;0;380693;255162;373250187;0;0;63095;13802;0;0;0;0;0;0;0;34178;263;0;538;0;0;0;0;0;496;0;0;16;0;0;0;0;2;1;0;0;0;0;1;0;18;23;8;0;0;29;0;0;138;-39;0;-1;0;0;48;15;1;0;0;1;0;0;0;0;0;29;0;11;0;29;0;0;2;0;0;19817;0;28650472;121541;0;393;0;559;14909;2704;45;0;0;379;62;2260;3044;408;262;0;1;0;0;0;13;0;4
Республика Тыва;56978;522206;0;6586;0;0;0;0;206;68616;0;0;0;0;4148465;1355;23331;0;251701;1;0;0;0;0;0;0;0;0;0;0;0;3086;0;0;0;0;0;0;0;0;0;0;0;0;0;41477;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28272;0;0;-11;5331;3997;400831;1;26094;148209;156;0;47136;0;0;0;10859;4141;0;45083;0;0;-1;11150;6512;0;0;0;11427;221641;0;0;47851;0;0;0;0;6921;1396;0;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2253;153;0;1595;0;36;0;0;700;670;0;0;0;-72;315;0;11;0;0;0;0;0;0;0;0;0;0
Удмуртская Республика;2824492;18674606;0;1693481;0;0;0;4077;94547;14723;0;17382;0;104031;23955686;138255;290210;-368;45420517;7347;0;0;0;0;0;0;664615;0;0;0;361910;5404806;0;0;0;-42949;0;379;0;0;0;0;0;0;0;271084;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;319861;0;0;0;53849;666;4715329;514936;241229;970444;3076;0;740430;0;0;0;132423;2875;0;140145;0;0;0;120915;373;115792481;0;0;26315;93;0;0;0;0;0;0;0;23249;255;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;40;43;0;0;1;0;0;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;4621;0;1208;62809;0;2532;0;541;282;745;175;0;0;88;1040;1733;874;8663;0;0;5;1;0;0;0;0;0
Республика Хакасия;343482;6008449;0;21605;0;0;0;19639;1422;9250;0;1276;0;0;8069665;90623;128391;0;-1381114;0;0;0;0;0;0;0;0;0;0;0;1454662;0;1268;0;0;0;0;0;0;0;0;0;0;0;0;478235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;185285;0;0;20;26874;3946;2584584;0;63728;381227;853;0;334019;0;0;7161;85221;11551;0;110182;0;0;83;51277;4741;0;0;0;9663;558092;42;0;795127;0;0;0;0;16064;1295;0;110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;8;0;3;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;2;0;2;0;0;0;0;0;1527;1;10;1194;0;566;0;0;42;-3090;34;0;0;85;357;15;156;1360;0;0;0;0;0;0;0;0;0
Чеченская Республика;100575;934001;0;30474;0;0;0;2096;1;0;0;2;0;0;9759425;18194;24810;0;977951;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64787;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58745;0;0;3171;45020;10107;2355063;278377;35415;546661;0;0;147452;0;0;527;24211;7615;0;25464;0;0;5064;68073;9516;756031;1392;0;6106;9;0;0;0;0;0;0;0;10526;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;11;1;124;0;0;13;0;0;370;1;0;0;0;0;0;0;130;4;0;0;0;0;0;0;0;0;0;0;0;47;0;0;11;0;0;1150;0;0;4272;0;363;0;0;348;310;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
Чувашская Республика;891848;7747084;0;589792;0;0;0;3040;110554;3670;5;3236;0;92;13340685;145707;159872;0;17920161;-8391;8017;0;0;0;0;0;0;0;0;0;1189976;2185664;0;0;0;0;0;-3639;0;0;0;0;0;0;0;136747;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;230784;0;0;0;71937;18454;2541817;161777;153900;913813;3405;0;366850;0;0;0;42111;19042;0;72773;0;0;0;130364;12663;0;0;0;25179;30;0;0;0;0;0;0;0;7096;137;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;1;0;7;0;0;0;0;0;0;0;41;0;468297;8952;0;5174;0;55;234;860;386;0;0;47;1798;3941;1445;-4;0;0;0;1418;0;0;0;3;0
Алтайский край;1721398;13592073;0;863067;0;0;0;71348;89094;46446;0;0;0;0;26336664;269891;210405;0;22828199;1447;90;0;0;0;0;0;0;0;0;9684;4009226;939722;44304;0;0;-1886;0;0;0;0;0;0;0;0;0;2964526;0;0;0;0;0;0;0;0;0;262;0;0;0;0;0;0;0;0;0;510261;0;0;0;116572;24934;4399899;153564;362235;1869249;34550;0;898408;0;0;0;244298;41434;0;196634;0;0;0;432046;22119;0;0;0;83615;487600;0;0;1225;0;0;0;0;36542;2639;0;2942;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;1;8;0;0;-3;0;0;101;0;0;0;0;0;26;59;0;0;0;0;0;0;0;0;0;8;0;4;0;3;0;0;0;0;0;991;0;165678;10145;1;344;0;34;15358;581;2;0;0;388;1235;51;103;790;0;0;1;0;0;0;0;0;0
Краснодарский край;9273660;57652072;0;6541042;0;0;0;1048391;726817;737914;596608;169088;0;2136788;85456518;841333;24984885;-2632868;56843710;511;0;0;1;35304804;32;165186;0;31860;0;4181621;2242180;1802991;59865;9;0;-1508;0;-590947;95908;161672;0;0;0;-3106483;0;5218753;0;0;0;0;0;0;0;0;0;197;0;0;0;0;0;0;0;0;0;1968948;0;0;0;791081;612757;32352340;5686084;1023531;6842499;474261;0;2953858;2;0;0;1030110;736592;0;1437725;0;0;0;1370336;466388;8024595;1359630;189545;110713;78712;0;0;0;0;0;0;0;283711;2366;4210;158;0;0;0;0;0;97;0;0;240;0;0;4;0;0;17;0;0;0;0;2;8;174;4;81;42;118;40;0;0;355;9;1;0;9;0;7;-91;111;38;0;2;0;0;0;0;0;120;0;46;0;186;0;0;-282;0;0;7201;934;888858;38830;2;2066;1;521;13879;957;693;0;0;20;14451;9239;2285;0;107;-51;0;16;0;0;58;0;0
Красноярский край;12294910;65511395;15234705;70492353;0;0;0;78999;236523;5320686;0;1593;0;528;72168504;303446;1016508;0;135566375;-2571;0;0;0;0;10577956;374233;0;15022513;0;0;574730;1660228;2041;170;0;-1382579;0;337569;0;0;0;0;0;-14173;0;505261;0;0;0;0;0;0;0;0;0;1317;0;0;0;0;0;0;0;0;0;726738;0;0;894;87761;69701;20527997;2;589500;2226329;9432;22;852631;1;0;3143;194782;65055;0;205225;0;0;573;284343;63652;247636292;260580;142083;515690;24335392;0;0;762733;0;0;0;0;136151;32379;0;1887;0;0;0;0;0;-171;0;0;16;0;0;2;0;0;7;44;0;0;0;3;0;-21;4;18;1;0;7;0;0;148;1;5;0;0;0;-35;0;99;0;0;0;0;2;0;0;0;31;0;26;0;0;0;0;26;0;0;184388;0;21;35014;0;3405;0;23;8055;9142;96;0;0;1016;1550;2149;1181;3576;0;23855;0;610;0;0;0;0;0
