"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31"
"Московская область","24273","21128","505","296","0","0","213","0","2149220160","427386302","2049426108","390416925","589281224","560173","2249016157","1636966159","612049998","45654075","35085923","8298158","7880175","3335516","0","0","4544659","9335","1502","0","0","7833","0","0"
"Мурманская область","2120","1794","259","40","0","0","217","1","297448748","109821012","284897914","106009671","13263252","10116","185351979","170215689","15136290","3836253","3618588","215909","2374789","1989098","0","0","385691","39841","0","0","0","39841","0","128"
"Нижегородская область","14442","11479","1035","249","0","0","714","0","567429210","126436610","540551215","115732658","80708879","2653570","488381305","410960299","77421006","10991262","8810446","1379036","2545129","317975","0","0","2227154","51506","2936","0","0","48570","0","0"
"Новгородская область","2510","1970","62","58","0","0","0","18","194307053","10573379","189075590","10514724","5025396","10240","178699360","172536927","6162433","3407434","3308980","97846","218871","218871","0","0","0","242","242","0","0","0","0","3343"
"Новосибирская область","9163","7761","135","82","0","0","49","0","475521244","46092492","466314194","47508068","83992990","215990","494611841","407920690","86691151","11283327","8720292","1580385","1091892","626003","0","0","465889","4340","0","0","0","4340","0","0"
"Омская область","3583","3551","32","26","0","0","6","0","236741115","3225095","232171976","3307728","23488995","1019083","236007234","211555410","24451824","4369616","4192736","176880","72770","28372","0","0","44398","6901","0","0","0","6901","0","0"
"Оренбургская область","4648","3899","156","58","0","0","98","0","519438853","15719033","504556595","14436842","202197","0","487194277","486987328","206949","10252599","10249641","2958","549757","43537","0","0","506220","0","0","0","0","0","0","4308"
"Орловская область","2695","1286","1098","47","0","0","966","0","118212342","30405781","115747168","27043772","3057","0","88340626","88337569","3057","1785620","1772898","61","665668","71948","0","0","593720","0","0","0","0","0","0","0"
"Пензенская область","3370","3174","127","112","0","0","16","0","179685328","10136757","170720340","9909588","14726318","66791","175951294","160443788","15507506","3378861","3077169","277198","618707","217825","0","0","400882","1382","46","0","0","1336","0","0"
"Пермский край","8123","7100","609","226","0","0","369","86","716027566","77185577","662222655","79471483","76490333","1209196","653950122","581529692","72420430","11020582","10010385","1004551","1764795","303392","0","0","1461403","18161","2851","0","0","15310","0","0"
"Псковская область","2052","1787","214","93","0","0","116","0","92095832","8486318","92572074","8727907","7687929","10083","91006130","83803674","7202456","1469770","1346631","131803","502114","155766","0","0","346348","5766","0","0","0","5766","0","0"
"Ростовская область","11063","9183","240","180","0","0","58","0","792822083","80977302","798795574","81392806","41444","0","715087524","715046080","41444","15448939","15194768","829","1601213","245026","0","0","1356187","0","0","0","0","0","0","5336"
"Рязанская область","4931","4293","354","191","0","0","161","0","221144481","36921077","218992299","35554171","38819005","787625","221335088","182524521","38810567","4559113","3757778","618974","832131","323904","0","0","508227","21725","1422","0","0","20303","0","0"
"Самарская область","10575","10308","267","141","0","0","126","0","760763426","86813001","723345743","139771608","137758111","1068091","722299782","583574090","138725692","15329528","12838630","2490898","2189569","455684","0","0","1733885","24270","4857","0","0","19413","0","0"
"Саратовская область","5671","5269","179","145","0","0","34","0","381844280","16280861","375685792","16401260","17784985","702801","378819422","359400230","19419192","7555464","7213729","341633","728346","360198","0","0","368148","12688","12688","0","0","0","0","4184"
"Сахалинская область","2344","2161","25","18","0","1","6","7","935557831","574697687","961221978","608983796","14681734","0","366009329","351262478","14746851","6845393","6636957","203534","13294582","32929","0","13238334","23319","0","0","0","0","0","0","0"
"Свердловская область","11877","9394","827","147","0","0","656","0","1051129526","109033217","1035305964","95207992","66657638","939443","1010331508","939055399","71276109","19814318","19486545","1269279","2129694","309095","0","0","1820599","21706","754","0","0","20952","0","4951"
"Смоленская область","3079","2992","87","72","0","0","15","0","206778780","12182873","201263006","11585000","10537590","26875","198097539","189678006","8419533","3912184","3844925","67256","427956","211437","0","0","216519","215","215","0","0","0","0","0"
"Тамбовская область","2937","2175","110","43","0","0","25","0","161186837","35449724","149467040","28966500","21028696","464250","139209204","120361940","18847264","2816212","2579187","231330","637448","176556","0","0","460892","4815","4250","0","0","565","0","133"
"Тверская область","5202","3404","528","86","0","0","449","0","374325691","60741117","367590935","55179396","5475383","0","310214202","304800710","5413492","6334409","6393082","50851","1236553","647541","0","0","589012","0","0","0","0","0","0","0"
"Томская область","3204","2406","161","58","0","0","105","0","289902214","24263506","324634587","31762931","6879367","1469","297918394","292663212","5255182","6971173","5931187","101766","852043","63464","0","0","788579","1290","29","0","0","1261","0","0"
"Тульская область","6839","5665","304","95","0","0","211","4","304948925","15812913","279641762","15707686","34414655","183802","292266872","261498168","30768704","5338914","4780944","557379","1207614","327033","0","0","880581","3547","0","0","0","3547","0","0"
"Тюменская область","3962","2503","1363","78","0","0","1289","19","833921660","225500714","769155963","231245266","32186326","656650","543101489","517094316","26007173","11265606","10792631","473589","5628232","286704","0","0","5341528","11545","181","0","0","11364","0","17335"
"Ульяновская область","4490","2589","1242","60","0","0","1188","37","172777306","38588162","168627227","31574636","33147202","3455705","168107888","136955462","31152426","3099682","2602459","485727","1005563","176344","0","0","829219","67240","10721","0","0","56519","0","0"
"Челябинская область","8971","8496","188","151","0","0","37","56","561024605","30720330","543711051","32135652","47928214","0","560323392","512079604","48243788","10946559","10293556","653004","718693","243016","0","0","475677","1952","1578","0","0","374","0","50"
"Забайкальский край","2636","2167","469","40","0","0","430","0","286301575","21067309","250298379","21458045","9975248","974659","237840923","228840334","9000589","4017633","3837627","180006","629283","471989","0","0","157294","19492","143","0","0","19349","0","5889"
"Ярославская область","3653","3488","165","39","0","0","126","17","329964705","47284451","324680722","46792264","15252749","14318","277918295","262412249","15506046","5286973","5046315","141683","981079","392191","0","0","588888","77","0","0","0","77","0","0"
"город Москва","38655","24238","1536","281","5","0","1250","0","4748770448","1764066733","4464259765","1667919845","5389327568","200390987","9307105131","2782072900","6525032231","150747537","59485121","91262416","43185801","3734572","26450","0","39424779","7078491","901269","7764","0","6169458","0","72070"
"город Санкт-Петербург","19182","10425","2876","158","1","0","2726","0","1916379018","769573795","1839015136","732605001","698213974","5536807","1961325798","1091995119","869330679","34005963","20778501","7409737","19216143","3663831","6922","0","15545390","82911","44727","0","0","38184","0","0"
"Еврейская автономная область","589","415","71","15","0","0","55","1","103265779","10854593","99470456","10883242","1085153","37698","87741382","86687711","1053671","1582728","1538562","19420","264997","193655","0","0","71342","391","0","0","0","391","0","0"
"Ненецкий АО","269","255","14","2","0","0","12","0","268032745","920126","264802545","951416","0","0","263642933","263642933","0","5800144","5800144","0","20931","2018","0","0","18913","0","0","0","0","0","0","0"
"Ханты-Мансийский АО - Югра","6208","5108","544","55","0","0","489","3","3195625350","158877229","3113609301","161289322","72504818","2507671","2995123202","2926000439","69122763","68317511","63095377","1190229","5127984","261748","0","0","4866236","8879","1310","0","0","7569","0","0"
"Чукотский АО","346","275","22","12","0","0","10","1","53908698","1023765","46538047","1032143","1692","0","45507595","45505903","1692","1001498","993869","34","22189","4131","0","0","18058","0","0","0","0","0","0","0"
"Ямало-Hенецкий АО","1978","1708","125","17","0","0","115","1","5140822921","1704006125","5048006094","1684377298","4003064","2175271","3365602971","3363453703","2149268","77985958","71151972","42296","38799523","11347","0","0","38788176","43505","0","0","0","43505","0","2264"
"Республика Крым","3958","3577","381","289","0","0","92","0","432113636","104493015","310469372","95131484","0","0","215337940","215337940","0","2063622","2063618","0","948390","803833","0","0","144557","0","0","0","0","0","0","89492"
"город Севастополь","615","539","68","66","0","0","2","0","57215123","7856809","51231924","5710568","0","0","45521356","45521356","0","455344","455344","0","57123","55541","0","0","1582","0","0","0","0","0","0","0"
