GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147
Республика Адыгея;26731451;26762460;2844;3476362;3531452;35314520;392;27676;27454;301992;10;78444;0;18666704;18682414;93412074;2696;-94;0;188434;187826;1126956;112;0;0;0;0;0;0;0;0;33426;33426;167134;58;3562589;3571173;24491617;1372;510448;509928;487;19374;19374;8;698300;699487;756;18721;18709;232;0;0;0;286;286;14;330;184;2;0;0;0;22554091;22631435;2663;17913104;17972471;2635;708756;721731;134;12265;12265;23;453348;455709;432;32666;32666;52;3420076;3422715;1290;16507;16507;35;75;75;1;0;0;0;48441;48424;27;4727257;4677238;2907;0;0;0;666315;565620;88;0;0;0;1219491;4856947;971390;281642;56329;9085;905976;0;0;0;0;0;0;0;0;1132453;226490;14191;2839;8;223643;0;0;0;0;5989400;1197880;295833;59168;9093;1129619;363401;16455;379856;7106;0;2;0;1219491;48385
Республика Башкортостан;865675857;862794481;63383;25944390;25613244;256125087;5011;4557;4745;52185;26;4695723;0;624875471;623194714;3116393755;61358;-159591;0;7009846;7433092;44598542;1080;8789;12742;109058;15;0;0;0;0;945841;935290;4676449;414;170477185;169779093;1033038031;25196;26886518;27578096;9787;1439209;1439842;124;31883989;32445812;14594;1151803;1145296;7071;431;431;3;2649;2475;51;77771;31756;59;173;139;23;787989154;788844690;60442;587333335;584689034;60021;7002543;6676855;1094;1424636;1541038;445;29109767;29946791;9681;943754;929147;394;164446289;164111355;23030;968478;973250;707;864;864;14;47895;46672;15;14940851;14962661;404;94445057;93848569;67622;0;0;0;33916757;33766864;757;9651242;9721691;146;539384904;68582009;13716400;17295487;3459098;1324441;8932861;1577819;315564;167929;33586;34985;246993;31;0;64337906;12867581;38203890;7640778;24468;5202335;0;0;0;0;132919915;26583981;55499377;11099876;1348909;14135196;82398163;2617445;85015608;357013;13514;41;0;539384904;14852531
Республика Бурятия;58388259;58099652;4718;5194282;5185546;51855450;910;400;399;4390;12;44610;0;36620555;36534860;182267850;4376;58;0;54076;52273;316552;89;27091;27091;140394;5;0;0;0;0;273610;273610;1368050;35;13006815;12882607;78114273;1529;2824001;2821239;642;143345;143345;8;3177785;3132444;1192;70760;69830;610;0;0;0;402;529;12;3936;994;4;-10;0;0;56736603;56507796;4288;41531839;41735655;4238;704850;704927;136;139350;139295;31;2704883;2682951;597;300307;273610;35;11295845;10925705;1412;45566;31770;74;10;10;1;152;152;1;5845021;5867809;239;8371763;8231200;4917;0;0;0;12512400;12458001;385;318839;321927;13;91174112;17568623;3513728;3292182;658436;401000;2454292;9525;1905;0;0;0;1905;2;0;1583474;316695;7113;1423;287;314985;0;0;0;0;19152097;3830423;3299295;659859;401287;2769277;2800830;212806;3013636;0;0;0;0;91174114;5865921
Республика Алтай;23656180;23715612;1671;2420118;2448687;24486852;231;2327;2651;29157;6;213;0;17062738;17091638;85458192;1601;-412;0;120334;122723;736340;43;0;0;0;0;0;0;0;0;3384;2402;12011;10;3205871;3207467;22269554;677;815351;811711;322;0;0;0;840333;836435;485;42370;42358;99;0;0;0;186;184;8;3502;3502;2;1305;1305;1;20949265;21087653;1543;16685192;16821767;1537;243701;243441;35;61610;61537;8;811382;809691;279;3384;2402;10;3122186;3127005;642;22811;22811;17;0;0;0;51;51;1;279590;279590;35;3847800;3750500;1659;0;0;0;1374758;1355649;57;0;0;0;4728668;1631476;326295;189487;37897;6313;282085;29;6;29;6;0;0;1;0;12957989;2591596;3654974;730995;2621;1857980;0;0;0;0;14589465;2917891;3844461;768892;8934;2140065;436355;0;436355;1012842;155889;3;0;4728669;279589
Республика Дагестан;46115653;45289475;6453;2156772;2138742;21387458;602;2188;2870;31571;16;367048;0;37328186;36836744;184183702;6059;626326;0;217255;670988;4025914;132;247;247;5254;1;0;0;0;0;25706;11476;57382;27;4066825;4320102;26325917;1560;1203260;1168607;770;0;0;0;1317380;1290436;1095;15079;15004;127;0;0;0;90;90;2;1019;1190;6;147;80;4;38062523;37547966;6008;32961721;32226014;5889;608607;568223;207;121053;105045;63;1411612;1391485;911;24711;10085;24;2894725;3206710;1240;15198;15214;33;24308;24308;1;0;0;0;63964;68039;22;8268235;7955809;6395;11598;11576;17;243414;237779;66;53882;45951;15;3470420;12525957;2505188;2635850;527170;113218;1864800;10500;2099;348738;69747;1;-67649;15;0;3102598;620521;136085;27217;643;592661;0;0;0;0;15628555;3125709;2771935;554387;113861;2457461;1490497;1500390;2990887;354555;159;15;0;4284251;68039
Республика Ингушетия;7295340;6989825;1445;224084;221443;2214434;54;7;7;79;2;-65230;0;6430974;6157721;30788597;1397;11;0;58804;60341;362045;21;0;0;0;0;9;9;46;1;168;140;699;1;484555;389125;2339300;150;161957;159973;123;0;0;0;161957;159973;123;258;258;1;0;0;0;0;0;0;0;0;0;-3;0;0;6738544;6493235;1384;6116355;5970466;1371;54714;54714;15;0;0;0;106299;105454;79;168;140;1;457032;360435;110;1945;0;0;0;0;0;0;0;0;7820;7820;3;745863;682883;1409;0;0;0;194837;192892;12;8453;8453;4;99552;622934;124586;562762;112552;534;11500;15147;3029;0;0;0;3029;7;0;10506;2101;36824;7365;0;-5264;0;0;0;0;633440;126687;599586;119917;534;6236;19837;0;19837;0;0;0;0;99552;7820
Кабардино-Балкарская Республика;28812656;28151999;3624;1873747;1863081;18630820;741;16758;16772;184494;14;557860;0;21362738;21314499;106572531;3224;7297;0;559327;558877;3352751;126;-36;0;4031;0;0;0;0;0;17155;17155;85775;24;3648248;3605675;22230252;1002;409241;403964;420;0;0;0;772645;766709;606;12782;11734;109;0;0;0;225;225;3;897;897;4;0;0;0;26028999;25521885;3396;21729464;21239246;3341;821551;833985;152;51489;54943;19;531513;536847;454;16970;17137;23;2863982;2826032;859;11611;11482;19;2;2;1;0;0;0;2286;2286;7;3253199;3165804;3572;0;0;0;605671;520967;74;363;363;2;1942080;5726197;1145239;977352;195469;10464;939306;7822;1564;1817;363;820;381;8;0;2113428;422685;61425;12285;16677;393723;0;0;0;0;7839625;1567924;1038777;207754;27141;1333029;753339;28983;782322;54572;2286;19;0;1942078;2286
Республика Калмыкия;5407482;5415209;882;234422;242481;2424812;156;4516;4418;48592;6;-27016;0;4618802;4591587;22959473;793;-906;0;18187;17194;103165;36;-189;0;0;0;0;0;0;0;2034;2034;10173;12;405369;405585;2567591;238;132401;131978;138;0;0;0;152074;151627;194;20104;20041;112;0;0;0;133;26;3;0;0;0;0;0;0;4265072;4307664;765;3728019;3769209;755;843;843;4;8999;8999;7;129252;129324;112;1990;1990;11;369422;370753;207;19624;19624;15;0;0;0;0;0;0;4553;4553;4;2032770;1997873;943;0;0;0;863246;863305;14;5396;5396;2;95202;698236;139648;148631;29726;328;109594;0;0;0;0;0;0;0;0;36483;7297;1897;379;4;6914;0;0;0;0;734719;146945;150528;30105;332;116508;27288;0;27288;0;0;0;0;95202;4553
Карачаево-Черкесская Республика;26218901;25911308;2407;1486008;1483096;14830958;303;4854;4851;53365;10;251411;0;20842545;20796947;103984738;2228;107;0;62904;68859;413159;76;1064;1064;7614;2;0;0;0;0;51956;45027;225139;27;3022668;3011304;18716340;695;379645;372842;261;786;786;5;500418;486770;426;11027;11028;66;0;0;0;85;85;6;8;0;0;40;40;1;23542512;23353306;2276;19655803;19523588;2246;474714;474570;46;77938;74843;37;624587;622678;276;50290;43361;25;2649397;2604461;609;9835;9856;18;0;0;0;23;0;0;8052;8052;13;2725609;2616752;2406;0;0;0;87571;61161;14;30494;30420;7;1719966;893273;178655;197115;39425;13834;125396;25335;5067;5045;1009;0;4058;15;0;901298;180260;47701;9540;3176;167544;0;0;0;0;1794571;358915;244816;48965;17010;292940;53565;0;53565;7320;0;1;0;1719967;8052
Республика Карелия;60606442;60414721;6567;2314476;2314512;23145122;687;47;2;20;1;147648;0;48397830;48361228;241806936;6330;0;0;240729;239407;1436436;120;0;0;0;0;0;0;0;0;125709;125536;627679;104;6819588;6812643;41656206;2913;2079243;2070963;1116;300954;297085;13;2560411;2549309;1798;103904;103408;1496;25;25;3;4619;4617;5;10259;437;4;0;0;0;47910901;47698570;6167;37584851;37461957;6096;1473968;1474117;226;112954;113090;53;2149069;2006513;995;124502;124374;102;6398272;6458280;2738;67291;63669;180;0;0;0;14933;14580;1;2070057;2074857;286;15708869;15693525;7422;0;0;0;4988504;4947132;558;347856;347856;27;48556239;7129491;1425898;1717387;343477;144624;937797;0;0;0;0;0;0;0;0;6607430;1321487;6383;1277;1848;1318362;0;0;0;0;13736921;2747385;1723770;344754;146472;2256159;1818573;3381219;5199792;0;0;0;0;48556238;2070441
