GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156;G157;G158
   Республика Адыгея;36271865;36260583;3191;3800184;3799384;37996048;441;39327;38597;424564;17;1008;25205813;25203073;126014988;3002;0;632752;640007;3840045;132;0;0;0;0;0;0;0;0;60038;60038;300191;55;5530662;5519577;35868004;1643;867559;868778;715;0;0;0;1002082;998896;1054;15579;13677;194;0;0;0;749;749;15;481;9;1;0;0;1;30052399;30104245;3022;22888615;22953168;2980;783887;783091;149;20944;21832;35;890598;895504;660;58899;58899;45;5400211;5384408;1542;9246;7344;28;0;0;0;0;0;0;107072;107072;28;7122786;7063137;3229;0;0;0;981169;987023;100;29229;29229;4;2336376;0;6778020;1355605;375979;75196;50803;1229606;3110;622;0;0;0;622;3;0;558772;111754;12361;2472;10172;99110;0;0;0;0;7336792;1467359;388340;77668;60975;1328716;526461;105292;4;1;0;105291;234;4;1;0;233;1;0;147;526608;5430;0;1;0;2336376;107061
   Республика Башкортостан;1161143183;1158016907;58771;43356988;43333578;434611628;5318;4121;4121;45331;31;412819;795421083;792629418;3962803565;56928;1;6391192;6371013;38242132;998;13061;13434;87761;28;624;624;3121;3;1239165;1218986;6094929;366;260174287;260377800;1593076340;26759;49199952;49016162;13014;446041;433165;101;54226632;53937484;19057;1173728;1159194;6715;406;406;4;1661;1647;56;394431;358707;51;1121;1121;13;1076420341;1073809281;56553;763644515;761267459;56173;9308761;9302565;1105;2747071;2746976;530;58294166;58258337;12584;1198032;1191196;357;240158919;239970599;24510;1055228;1050165;735;20937;22275;10;6925;3171;9;20861027;20867350;273;123922601;123299413;62982;0;0;0;58364167;58325618;773;26957864;27015489;135;806215839;0;93111113;18622228;30587784;6117558;1960916;10543754;315433;63087;81080;16216;319;46552;34;0;130839676;26167934;98743441;19748688;32064;6387182;0;0;0;0;223950789;44790162;129331225;25866246;1992980;16930936;99068581;19813715;1012040;202409;20106;19591200;189519;58548;11710;13834;163975;31;0;3897335;102965916;196109;10021;32;0;806215839;20819443
   Республика Бурятия;76051476;75969425;4895;7425203;7422918;74229141;950;-142;0;0;0;137;48143680;48078805;240394079;4543;0;109067;110328;661966;91;72;72;365;1;37;37;187;2;141771;141771;708856;48;16531088;16539868;100684259;1712;3086101;3074770;872;343041;396204;6;3700672;3675600;1587;144372;144051;657;0;0;0;495;231;12;38021;32822;7;0;0;0;73495816;73352727;4640;53244979;53194474;4580;1325129;1324729;147;223275;223275;39;5143655;5078458;807;139775;139775;46;13255258;13242186;1557;166636;152793;93;0;0;0;1504;1504;1;5350959;5368621;204;10777132;10704638;5081;0;0;0;13369135;13259598;444;257140;257140;9;169350885;0;18275860;3655169;4303086;860617;485458;2309094;4097;819;1110;222;1110;-513;6;0;2565929;513185;5432;1086;231;511868;0;0;0;0;20841789;4168354;4308518;861703;485689;2820962;2125658;425133;18591;3718;251;421164;0;0;0;0;0;0;0;499934;2625592;0;0;0;0;169350885;5333726
   Республика Алтай;35981164;35937786;1454;3971241;3968598;39685914;227;54;54;594;2;83;23369741;23358423;116800861;1384;0;245777;245777;1474531;54;0;0;10584;0;0;0;0;0;439;439;2194;6;6481301;6480330;45628419;620;1755441;1751988;307;0;0;0;1908158;1879715;503;23686;23700;81;0;0;0;101;101;7;3454;3454;4;0;0;0;34358621;34364715;1349;25732555;25743450;1342;104459;104460;18;83900;83900;18;2531786;2530244;286;306;306;5;5897770;5894511;562;7844;7844;22;0;0;0;526;526;1;252438;252438;37;4842131;4795214;1420;0;0;0;3453285;3447343;81;0;0;0;15132121;0;1900615;380122;142200;28440;8844;342838;0;0;0;0;0;0;0;0;2180092;436018;688970;137794;3121;295103;0;0;0;0;4080707;816140;831170;166234;11965;637941;494827;98965;7072;1414;26;97525;0;0;0;0;0;0;0;1426888;1921715;0;0;0;0;15132121;252520
   Республика Дагестан;63057027;62575461;7704;4610838;4477220;44772208;809;57052;57112;628236;20;-4287;48216329;47987715;239938571;7233;-1151;286230;279801;1678807;132;9549;7775;89976;13;46;46;230;2;49574;49567;247835;42;7710529;7635403;46687226;2271;1939784;1895202;1293;75;75;1;2131895;2086087;1790;63013;62579;120;0;0;0;0;0;0;463;448;4;0;0;0;53202499;52932812;7234;43163145;43037510;7127;853126;867508;266;221448;220989;68;2440820;2382279;1467;45046;45038;40;6453801;6354385;1840;27151;27140;35;0;0;0;0;0;0;46499;49168;28;10958437;10740663;7524;0;0;0;1075141;1055776;98;2354;2354;2;10206055;0;15470331;3094070;4435275;887057;175406;2031607;251984;50397;680943;136189;54;-85846;21;0;3069333;613866;5073;1014;306;612546;0;0;0;0;18539664;3707936;4440348;888071;175712;2644153;2013813;402763;396552;79309;64553;258901;34245;17638;3527;1397;29321;37;0;34363;2048176;24749;0;6;0;10206055;49169
   Республика Ингушетия;11628555;11188348;1429;629208;630270;6302698;77;52;52;569;6;143;9324319;8960004;44800021;1356;0;232848;231692;1390152;32;337;337;1695;1;1001;1001;2153;4;2044;2044;10218;3;1078676;1010244;6061467;233;348509;342097;175;0;0;0;361265;353966;221;3520;3520;19;0;0;0;3003;3003;4;0;0;0;0;0;0;10453814;9992941;1373;9228346;8790600;1363;105652;105296;20;547;547;1;447395;428889;192;1535;2044;3;670456;665684;190;40;40;1;0;0;0;0;0;0;9907;9895;6;1293422;1289482;1388;0;0;0;116551;84266;9;4087;4087;4;74758;0;330679;66136;90437;18088;528;47520;74728;14946;6525;1305;0;13641;11;0;0;0;0;0;0;0;0;0;0;0;330679;66136;90437;18088;528;47520;162227;32446;13409;2682;0;29764;27904;0;0;0;27904;4;0;0;162227;0;0;0;0;74758;9894
   Кабардино-Балкарская Республика;34955106;34771945;3827;3251350;3260994;32610889;950;52077;52077;572846;27;31;25464428;25314824;126574235;3237;0;76320;63123;378737;94;1315;1315;3923;3;0;0;0;0;47704;47693;238465;25;4815598;4800070;30136448;1216;1124336;1112051;631;302;302;2;1247596;1233131;860;7168;7168;117;0;0;0;-316;-316;6;94;0;0;2;2;1;31533374;31565896;3583;25104802;25138867;3548;1058942;1062301;152;76431;76431;22;1345601;1335505;645;47654;47643;24;3897254;3902457;1000;3540;3540;12;-1;0;0;0;0;0;7391;7355;11;4769594;4557580;3743;0;0;0;1332030;1331125;85;13274;13274;2;1901823;0;7443456;1488692;1078359;215672;16160;1256860;18171;3634;17791;3558;0;76;6;0;726109;145222;9343;1869;7745;135608;0;0;0;0;8169565;1633914;1087702;217541;23905;1392468;3931417;786283;1257634;251527;28696;506060;31565;29618;5924;0;25641;5;0;102281;4033698;39980;4387;7;0;1901823;7408
   Республика Калмыкия;7325150;7283675;934;815276;803560;8035598;196;42739;40068;437145;21;2;5412410;5388429;26942189;825;0;15639;16667;100000;47;0;0;0;0;0;0;0;0;9771;9771;48855;8;792823;790174;5036133;303;229271;227788;176;0;0;0;236490;235005;247;6639;6618;152;0;0;0;553;553;4;216;158;1;0;0;0;4592828;4588862;809;3705491;3701658;800;907;907;4;11677;11677;8;250500;250846;151;9771;9771;8;614310;613832;279;173;173;12;0;0;0;0;0;0;6169;6169;5;2968701;2931232;1065;0;0;0;189827;189955;11;37037;37037;5;123716;0;1339683;267938;227055;45411;1541;220986;5440;1088;5440;1088;0;0;3;0;144881;28976;2591;518;0;28458;0;0;0;0;1484564;296914;229646;45929;1541;249444;29008;5802;1981;396;396;5010;0;0;0;0;0;0;0;18174;47182;0;0;0;0;123716;4274
   Карачаево-Черкесская Республика;28299253;28338786;2353;1775868;1774435;17743066;308;3196;3655;40205;8;36261;20729147;20804461;104023083;2175;0;157873;156528;939169;65;-217;0;1360;0;0;0;458;0;84056;84011;420056;16;4510988;4497294;27643196;751;934577;907669;357;0;0;0;1001863;977743;553;4968;4920;65;0;0;0;154;154;9;235;235;2;0;0;0;24948483;25436421;2160;19897694;20395131;2137;274479;273765;46;83343;83224;27;831556;839584;366;84058;84011;16;3774304;3757674;647;3048;3031;10;0;0;0;0;0;0;869;869;6;3793281;3325254;2360;0;0;0;438709;419139;13;29813;29813;8;2746877;0;1330551;266110;240437;48086;11868;206156;25107;5021;3747;749;0;4272;15;0;1163061;232613;1011307;202261;809288;-778936;0;0;0;0;2493612;498723;1251744;250347;821156;-572780;398020;79605;211847;42370;26067;11168;0;0;0;0;0;0;0;27027;425047;0;0;0;0;2746877;1693
   Республика Карелия;80130520;80030197;6324;3594996;3592779;35927792;698;17;17;191;1;42;62755437;62689688;313448472;6103;0;185260;183122;1098731;106;2461;2461;12362;5;0;0;0;0;248720;242080;1210399;126;10922014;10920797;68514230;3061;1922847;1915256;1278;173781;175200;12;2423705;2401556;2014;134637;133368;1437;0;0;0;179;179;6;10995;3758;6;220;0;0;67826071;67790086;6039;53460476;53447820;5980;1374139;1373898;225;628805;628805;69;2261999;2264236;1161;246959;240319;122;9774865;9756283;2861;79755;79652;198;0;0;0;102;0;0;2429921;2428176;215;19111948;19038826;7103;0;0;0;9143478;9064729;573;567212;611463;21;110203402;0;12150932;2430186;3771510;754300;435292;1240594;0;0;0;0;0;0;0;0;5748453;1149691;687100;137421;22250;990020;0;0;0;0;17899385;3579877;4458610;891721;457542;2230614;1947294;389458;77218;15444;4587;369427;5885;27459;5492;409;-16;4;0;5654748;7602042;0;0;0;0;110203402;2420011
