GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156;G157;G158
   Республика Коми;215828266;215697117;4478;1872949;1834401;18344006;542;1245;1245;13692;6;225;183774053;183683462;918419914;4348;1;541022;539574;3237443;95;80;58;291;2;0;0;0;0;567281;567107;2835534;105;23872789;23875323;143719344;1998;4138347;4135188;726;4482;4540;4;5198703;5194652;1386;221500;220252;2661;0;0;0;2907;2907;28;479;248;1;-3;0;0;144320522;144290031;4159;113736777;113697743;4118;1392974;1393113;79;90326;90274;31;5156150;5164123;626;565171;564998;102;23198802;23199781;1931;180391;180070;202;0;0;0;33;0;0;17025230;17031423;83;59643957;59542349;6708;0;0;0;4917483;4924856;260;3351809;3352618;43;559980656;577;12319119;2463826;2036752;407353;217678;1838795;24554;4911;6394;1279;626;3006;19;0;53663787;10732758;10007;2002;135;10730621;0;0;0;0;65982906;13196584;2046759;409355;217813;12569416;2745502;549100;840276;168054;96859;284187;418;0;0;0;418;4;0;212841;2958343;1200;0;2;0;559980656;17020295
   Республика Крым;182264688;181835955;17505;15724210;15715711;157157027;2653;5864;5864;64505;11;-1025;121524273;121150214;605750296;16702;-11;114068;114095;684567;190;3352;3352;15353;6;-257;37;185;1;382582;368577;1842884;186;35008023;35031966;216724080;10369;8897495;8850863;4597;647;647;8;9505846;9447833;6318;236683;234496;2589;6;6;2;2170;2166;48;0;0;0;58;58;1;157039253;157308735;16641;115585573;115979521;16388;254656;253356;49;235465;235020;143;10007611;10003569;4465;373369;355060;177;30430732;30330360;9714;142893;142894;211;1;1;1;0;0;0;221328;219566;30;27965302;27508476;19474;0;0;0;2711932;2884602;94;234122;222081;26;7797949;0;48439787;9687960;6529847;1305971;7163179;1218810;32253;6451;458;92;111;6248;25;0;136592529;27318506;98121818;19624365;517885;7176256;0;0;0;0;185032316;37006466;104651665;20930336;7681064;8395066;7424039;1484808;20354890;4070978;113597;-2699767;18809;55701;11140;19;7650;10;0;73798;7497837;1849;0;2;0;7797949;219564
   Республика Марий-Эл;87546526;88557722;6398;9431618;9358067;93580682;925;2253;2255;26744;11;13071;51026213;52116232;260580226;6119;-3;1306695;1307332;7873990;174;602;602;6623;1;0;0;0;0;293440;300219;1501091;114;21933982;21910082;137441552;3486;3303923;3289548;1288;-15;0;0;3556448;3549759;2046;47419;47057;636;1888;1888;2;1148;1148;32;3065;745;4;0;0;0;75012474;76037423;6041;50294120;51375114;5995;1458194;1458181;181;131851;131851;98;3761480;3751129;1234;293440;300219;114;18959855;18928617;3296;111949;110528;70;0;0;0;0;0;0;2518;2518;8;13712527;13668728;6857;0;0;0;1074050;1078750;101;441030;434941;10;14373620;0;17876378;3575278;2228512;445701;242722;2886855;2010;402;0;0;0;402;2;0;5417905;1083581;3631674;726335;16207;341039;0;0;0;0;23294283;4658859;5860186;1172036;258929;3227894;2577258;515451;50212;10043;1282;504126;829;0;0;0;829;2;0;441939;3019197;2404;0;2;0;14373620;832
   Республика Мордовия;124411754;124254295;7711;22105115;22068717;220686676;1380;16110;6593;72522;15;396;65729098;65620095;328093196;7335;0;6510544;6510606;39063631;231;294;294;1568;4;-27;0;0;0;175042;175043;875223;129;24467825;24471659;157322032;3901;5027647;5020132;1511;39;39;2;5407625;5401578;2566;84491;82809;559;1988;1988;6;189;189;6;2741;2191;3;0;0;0;110335230;110207543;7262;80237959;80168457;7212;1686770;1679379;187;283764;286185;142;4960280;4957794;1437;174129;174091;128;22934095;22883828;3758;54999;54999;118;44;19;1;0;0;0;74526;74526;9;18309365;18269843;7873;0;0;0;4206740;4199614;218;295741;291474;32;22641836;0;14505554;2901110;1039415;207884;189190;2504036;3005;601;0;0;2;599;4;0;2273926;454785;427972;85594;9;369182;0;0;0;0;16779480;3355895;1467387;293478;189199;2873218;2839391;567880;29400;5880;1849;560151;514;0;0;0;514;9;0;225922;3065313;0;0;0;0;22641836;74050
   Республика Саха (Якутия);195364133;195567551;5424;3219417;3187233;31872318;757;9433;9380;103183;11;1323;152953982;153136725;765683623;5206;1;171544;177660;1065960;115;0;0;0;0;0;0;0;0;2196058;2187567;10937833;128;26217620;26324049;159497443;2271;8890428;8895674;1084;0;0;0;10596857;10546769;1852;477228;476308;793;117;117;1;34;34;2;0;0;0;0;0;0;141004766;140803485;5064;104204672;104139923;5002;580797;517578;77;15907;15907;19;9484078;9352032;1032;2182562;2174071;122;24202381;24268102;2092;336308;335873;178;0;0;0;0;0;0;43384987;43385999;192;66185616;66357448;5623;0;0;0;54662549;54432108;593;4230906;4230865;57;664951516;0;19322628;3864525;5063240;1012644;532048;2319833;15643;3129;1546;309;1645;1175;10;0;84482522;16896506;13014682;2602937;201025;14092544;0;0;0;0;103805150;20761031;18077922;3615581;733073;16412377;2723300;544659;205754;41150;1562;501947;139072;0;0;16;139056;16;0;4261557;6984857;0;0;0;0;664951516;43397140
   Республика Северная Осетия-Алания;27119856;26722991;3170;2369373;2372757;23653827;493;10603;10387;114252;13;74;18582177;18249156;91258746;2801;0;427671;462848;2777087;152;-1002;45;6600;1;0;0;0;0;35685;27659;138297;33;4698754;4617620;28782631;1067;916471;892187;552;-7856;635;2;995516;982491;748;12997;12791;147;0;0;0;1480;1429;6;1327;111;1;4;0;0;24234181;23946926;2903;18980711;18779085;2871;438379;433803;103;52168;51151;39;1161794;1143686;570;25891;24371;31;3571806;3509663;935;6620;6740;22;0;0;1;0;0;0;89381;101234;46;4001693;3880079;3244;0;0;0;1164152;1159395;123;226688;226688;7;4777264;0;5148338;1029667;1519749;303951;212712;513004;77782;15556;718;144;0;15412;12;0;1155344;231069;76547;15309;6380;209380;0;0;0;0;6303682;1260736;1596296;319260;219092;722384;2959662;591933;37052;7410;3180;581343;2943;8000;1600;1911;-568;11;0;14339;2974001;82198;9714;21;0;4777264;101234
   Республика Татарстан;2214573909;2211779256;106318;65896150;65880541;658805391;8206;50822;50796;558759;88;28433;1531793953;1529554406;7647772026;102725;-39;8033485;8044766;48268570;1504;0;0;0;0;0;0;0;0;1097354;1061769;5308845;467;507442216;507021631;3091834758;59974;91408873;91299588;33344;3614415;3616348;68;100230743;100134389;42238;2468502;2493463;1769;301935;301975;10;5137;4825;74;287170;220417;50;431;540;7;1953267533;1950637385;103636;1334548574;1332813819;102903;52919325;52904403;2606;4041277;4035560;945;116648429;116351718;31398;1049817;1016759;439;442193246;441612574;56327;1870002;1883877;701;0;0;1;18538;12457;9;14593864;14598667;355;320615389;320084990;104138;0;0;0;70998820;70692454;1435;28297541;28254040;223;1081462883;0;154238405;30847682;55523616;11104722;2214531;17528429;677908;135582;47628;9526;969;125087;76;0;673386845;134677370;320500035;64100008;222074;70355288;0;0;0;0;827625250;165525052;376023651;75204730;2436605;87883717;37233745;7446748;3103023;620604;172238;6653906;659415;28776;5755;501;653159;55;0;9189475;46423220;1045084;25;31;0;1081462883;14375612
   Республика Тыва;6110074;6076544;389;146725;146718;1467180;47;195;195;2149;1;58;4685295;4657101;23285505;379;0;473;559;3352;8;0;0;0;0;0;0;0;0;100643;90364;451818;20;897528;892245;5354538;124;225012;227798;60;0;0;0;278913;289060;115;95788;95788;42;0;0;0;1;1;1;0;0;0;243;243;1;4718596;4717215;342;3481629;3497954;338;256842;256842;4;27036;27036;4;131897;128654;62;100615;90336;19;626301;623268;101;93126;93124;21;0;0;0;0;0;0;1337791;1338307;22;2009061;1980980;409;0;0;0;1855033;1859605;38;1381;1381;2;22827957;0;2094226;418845;55778;11155;11787;395903;15850;3170;0;0;0;3170;2;0;4989590;997919;5081;1016;10449;986454;0;0;0;0;7083816;1416764;60859;12171;22236;1382357;17381;3476;0;0;0;3476;734;0;0;0;734;1;0;0;17381;0;0;0;0;22827957;1338308
   Удмуртская Республика;329543659;327561426;29220;16775104;16775426;167754313;3105;1081;1050;11555;5;1002;223627787;221718860;1108974292;28361;15;873635;885403;5313019;421;-591;61;14435;2;0;0;230;0;484363;484201;2421005;271;77205661;77162541;470406460;14958;9203547;9177891;6983;58897;57211;26;10575099;10533725;9816;290922;284015;1055;0;0;0;5696;5643;70;10649;6609;25;0;0;0;251781420;250029846;28614;172230162;170560152;28452;3301191;3295458;569;421536;423084;303;17492971;17496294;6571;482404;482019;257;57735636;57652563;14135;123745;123086;196;0;0;0;0;0;0;5753128;5754975;158;76062156;75811787;29206;0;0;0;3751001;3706087;513;2433423;2432175;81;220391587;0;35933004;7186601;5802728;1160546;964762;5061293;49050;9810;32038;6408;32;3370;15;0;70866913;14173382;34331008;6866201;13108;7294073;0;0;0;0;106799917;21359983;40133736;8026747;977870;12355366;6604396;1320878;268010;53602;7659;1259617;63;113;23;0;40;3;0;697671;7302067;3754;0;2;0;220391587;5748922
   Республика Хакасия;73810171;73772264;3721;1976026;1971037;19710375;626;2847;2847;29096;10;5;59210066;59183900;295919567;3526;0;158162;155957;935744;80;0;0;0;0;0;0;0;0;325049;325100;1625497;63;10234065;10234022;61744108;1626;1444499;1440247;780;8979;8302;9;1904195;1899595;1217;53348;53283;549;0;0;0;14785;14785;19;9937;8937;3;3;3;1;61729951;61720641;3441;47461739;47469013;3422;1936497;1925277;75;324112;324112;38;1755492;1754145;729;318267;318318;60;9904970;9900901;1503;28874;28874;53;0;0;0;1503;1445;3;8236392;8235941;83;12060298;12028072;4078;0;0;0;8145917;8142764;129;447298;448534;23;126266820;0;6306221;1261242;1258844;251767;102726;906749;0;0;0;0;0;0;0;0;2401242;480248;78;16;78;480154;0;0;0;0;8707463;1741490;1258922;251783;102804;1386903;2740681;548137;72705;14540;855;532742;363;0;0;0;363;3;0;2903;2743584;1500;0;1;0;126266820;8233871
   Чеченская Республика;71997261;63387389;4250;3287605;3285512;32855116;472;46028;46028;506308;4;31199;60127722;51823432;259084932;3957;0;1078465;1069342;6416050;110;0;0;10137;0;0;0;0;0;2992;2992;14959;8;5956723;5765707;34378349;794;1260446;1212468;498;1433;1433;1;1464332;1393348;688;32018;32018;62;0;0;0;723;723;2;8399;1732;2;288;288;2;69336929;61152346;4069;62492752;54474470;4043;229122;233227;68;127186;127338;30;1696351;1696900;506;2992;2992;8;4783107;4605213;641;14196;14196;21;0;0;0;0;0;0;13276;16011;5;2952394;2926005;4131;0;0;0;255781;662336;21;0;0;0;1657643;0;11579219;2315842;7992450;1598492;297596;419754;920065;184013;3633310;726662;224874;-767523;31;0;18495;3699;0;0;0;3699;0;0;0;0;11597714;2319541;7992450;1598492;297596;423453;378821;75764;36167;7233;11174;57357;34137;36167;7233;11174;15730;23;0;0;378821;372022;15953;7;0;1657643;16012
   Чувашская Республика;152232622;152228473;13832;6373180;6371702;63717389;1493;5839;5464;60102;9;32052;100643998;100671278;503360332;13315;0;809814;809908;4859091;254;7;7;35;1;0;0;0;0;196777;192019;960094;176;38414849;38405252;233206095;8330;5012359;4996351;3442;147500;147567;17;5756112;5740933;5087;100350;99078;1153;0;0;0;5424;5425;31;5929;3827;14;0;0;0;128030264;128086099;13367;87433642;87386960;13287;2708096;2707961;457;260211;259408;222;5719108;5843389;3157;195955;191254;172;31654034;31637844;8008;59218;59283;168;0;0;0;0;0;0;16404;15508;34;27606368;27538988;14351;0;0;0;3278810;3274304;225;70241;70241;22;16898887;0;20085733;4017146;3014619;602923;137741;3276482;102;20;102;20;0;0;1;0;5713038;1142609;407274;81455;4727;1056427;0;0;0;0;25798771;5159755;3421893;684378;142468;4332909;10754633;2150926;430332;86067;19707;2045152;4;0;0;0;4;2;0;145455;10900088;4554;0;2;0;16898887;13924
   Алтайский край;373458344;363546961;34206;54332629;54237159;542375454;7574;33035;41475;456223;57;10049;244371341;234752385;1173773467;31547;222;1638775;1639423;9836595;477;1648;1648;10268;8;50;50;250;1;507955;503597;2517984;304;58610410;58555546;388049851;15707;12057092;11970223;7491;1157624;1158167;50;13939757;13795893;11494;171724;172136;1494;39;39;1;651;650;37;15760;8126;27;1355;1375;6;335390431;325779083;33297;259766283;250262529;33131;4928215;4926698;912;2414266;2403097;588;13175730;13159471;6864;444958;440282;291;54579439;54501785;14820;111874;111708;240;1869;1869;8;1308;719;2;2262418;2258391;309;47722443;47427043;33839;0;0;0;11687231;11684599;1425;941812;942282;60;107234917;0;39865551;7973111;9456857;1891370;703097;5378644;7971;1594;301;60;0;1534;18;0;7082062;1416413;2466262;493253;2925;920235;0;0;0;0;46947613;9389524;11923119;2384623;706022;6298879;7950067;1590013;325082;65017;5819;1519177;1399;630;126;0;1273;21;0;626028;8576095;37632;0;2;0;107234917;2249064
   Краснодарский край;1613987624;1612789096;77975;249372643;249262330;2492506482;12059;68975;71923;791153;96;52815;975319287;974804980;4874145726;73320;112;23123203;23079615;138478976;1548;1567;1630;18852;8;-3101;0;0;1;1374338;1339910;6699549;863;285920515;285638164;1886278697;44451;72387711;72214435;21199;200731;204929;62;78747899;78530270;29306;1368115;1364351;2245;31467;31474;15;10948;10508;162;154708;25990;49;1295;753;11;1467530815;1468299931;74642;1062469993;1063570772;73765;60756532;60760147;3742;7165850;7190881;1111;80651180;80532668;19722;1345939;1308757;818;254045032;253957056;41839;1070456;974005;670;4302;4358;8;1543;1534;6;20370911;20344480;818;220329088;218321348;77102;0;0;0;92465998;92531780;1939;10211158;10218868;183;883965095;0;296418107;59283619;41517409;8303483;4710164;46269972;807151;161430;160413;32083;3063;126284;88;0;250557970;50111594;107755616;21551125;197015;28363454;0;0;0;0;546976077;109395213;149273025;29854608;4907179;74633426;63225631;12645127;21545785;4309158;260113;8075856;171239;93184;18637;18134;134468;111;0;25235985;88461616;199645;2342;47;0;883965095;20116432
   Красноярский край;1099156227;1097933754;45619;36114549;36075899;360758935;5229;8593;9770;108005;61;21008;849290774;848815276;4244074269;44003;14;2407729;2388272;14329595;751;2892;2877;27668;3;13936;13790;68950;2;2477728;2472546;12362727;356;155875658;155652182;956352322;21721;49722517;49435396;11016;42880;43100;26;52965360;52491592;16048;1078718;1076681;2934;5769;5769;5;628;649;19;38557;8662;26;753;792;7;950047813;949742073;44170;705511777;705271708;43898;21711053;21695106;1131;792450;792354;345;75621024;75516178;10290;2464990;2459360;343;143059662;143142212;20517;899177;882631;622;161;161;2;723;696;4;18979446;18945627;465;267368766;266508036;45610;0;0;0;135992101;136054500;1674;48766070;48778291;195;1001817265;0;92558926;18511783;26886285;5377259;2044169;11090355;772456;154491;8480;1696;1179;151616;33;0;47669895;9533978;4214303;842861;18015;8673102;0;0;0;0;140228821;28045761;31100588;6220120;2062184;19763457;58081949;11616388;1810321;362066;152949;11101373;206238;20702;4140;1338;200760;40;0;3369251;61451200;59486;135;6;0;1001817265;18883118
   Приморский край;691443443;689112543;35146;35601531;35654095;356540969;5566;56265;55425;609675;28;2631;497996913;496056465;2480407008;33652;719;2601247;2332685;14004641;450;31197;27239;137070;17;1671;615;3077;3;572039;559457;2797281;200;123968746;123984589;765658730;15992;28136455;28042950;7145;574027;574027;37;30643140;30466982;10214;1166417;1128315;1894;14934;14934;6;-108;72;6;70714;65260;22;179;179;4;643597559;642204910;33820;404057475;402834213;33198;90196476;90022865;5464;3445080;3444025;170;38528323;38582282;6697;535312;522726;195;106032219;105996287;15050;813521;812639;401;39;39;2;1934;1876;7;14993018;14632060;1121;82484417;81800756;34494;0;0;0;48270787;48196341;1887;22125536;22131239;109;518753908;0;77109805;15421963;15609199;3121837;1998642;10301484;606573;121314;1417;283;0;121031;23;0;411890093;82378019;474180396;94836079;299989;-12758049;0;0;0;0;488999898;97799982;489789595;97957916;2298631;-2456565;48897025;9779408;15121056;3024213;171137;6584058;2722965;14230522;2846105;572;-123712;25;0;24697039;73594064;73282;183;15;0;518753908;14524281
   Ставропольский край;379061216;378076719;24892;43558686;43279366;432793661;4843;24313;24345;267756;28;9732;241380306;240878853;1204409821;23333;0;1082681;1079407;6476439;429;105;105;7369;4;6;6;38;1;493018;492690;2463448;323;75890547;75737349;500262713;12545;15640839;15588612;5529;55152;52377;17;16621896;16575094;8235;278718;275349;948;3;3;1;20135;20019;90;13323;1381;10;-2;0;0;335443316;334859260;23656;240643919;240256381;23433;8209193;8190607;834;1744715;1745148;346;18537841;18486711;5148;489197;488677;312;65747609;65546734;11644;162997;162264;236;70;70;1;4992;0;0;549719;549743;77;54242058;53815618;25020;0;0;0;10793375;10786318;522;3443719;3445615;72;130757236;820;57545959;11509194;8447531;1689508;1198995;8620691;632827;126565;492625;98525;488;27552;66;0;16967999;3393600;4466008;893202;5346;2495052;0;0;0;0;74513958;14902794;12913539;2582710;1204341;11115743;9278996;1855798;345916;69183;14368;1772247;370359;83745;16749;13924;339686;34;0;1765067;11044063;669144;59076;12;0;130757236;541283
