GA;GB;G1;;;
Белгородская область;257 434 661 510,00;32 485 545 689,00;;;
Брянская область;131 305 493 734,00;16 369 629 663,00;;;
Владимирская область;201 085 952 387,00;25 392 431 392,00;;;
Воронежская область;428 870 023 267,00;44 592 267 894,00;;;
Ивановская область;95 619 773 579,00;11 963 097 061,00;;;
Калужская область;202 292 562 449,00;25 326 915 680,00;;;
Костромская область;82 198 589 454,00;10 247 634 739,00;;;
Курская область;154 527 920 795,00;19 560 998 246,00;;;
Липецкая область;190 161 245 738,00;22 304 343 058,00;;;
Московская область;2 045 830 225 473,00;261 543 948 716,00;;;
Орловская область;90 878 439 825,00;11 438 337 814,00;;;
Рязанская область;168 104 410 942,00;21 263 832 370,00;;;
Смоленская область;128 413 197 326,00;16 344 339 818,00;;;
Тамбовская область;106 477 052 800,00;13 413 362 987,00;;;
Тверская область;184 005 197 434,00;23 323 891 883,00;;;
Тульская область;240 063 030 705,00;30 688 912 445,00;;;
Ярославская область;234 697 087 609,00;28 565 921 280,00;;;
город Москва;23 242 871 715 225,00;1 111 232 368 623,00;;;
Республика Карелия;116 517 843 141,00;14 803 797 810,00;;;
Республика Коми;217 335 755 436,00;27 683 413 012,00;;;
Архангельская область;241 298 812 321,00;30 421 399 607,00;;;
Вологодская область;231 292 859 927,00;27 940 037 797,00;;;
Калининградская область;195 330 983 532,00;22 545 394 561,00;;;
Ленинградская область;387 564 295 256,00;49 408 716 097,00;;;
Мурманская область;266 478 922 847,00;34 327 594 361,00;;;
Новгородская область;90 127 757 283,00;11 311 823 478,00;;;
Псковская область;75 984 049 332,00;9 550 354 786,00;;;
город Санкт-Петербург;6 109 598 338 882,00;303 363 891 139,00;;;
Ненецкий АО;35 446 344 331,00;4 577 049 995,00;;;
Республика Дагестан;107 070 694 403,00;12 666 498 244,00;;;
Республика Ингушетия;17 479 476 355,00;1 955 459 746,00;;;
Кабардино-Балкарская Республика;44 484 310 158,00;5 499 906 857,00;;;
Карачаево-Черкесская Республика;28 562 179 214,00;3 518 095 241,00;;;
Республика Северная Осетия-Алания;39 752 342 637,00;4 956 218 379,00;;;
Чеченская Республика;59 432 319 822,00;6 907 002 326,00;;;
Ставропольский край;278 267 653 432,00;33 146 147 146,00;;;
Республика Адыгея;41 695 726 806,00;5 230 214 288,00;;;
Республика Калмыкия;21 415 892 518,00;2 650 393 924,00;;;
Республика Крым;210 745 414 077,00;26 767 420 501,00;;;
Краснодарский край;868 503 644 761,00;95 213 473 052,00;;;
Астраханская область;147 648 241 780,00;14 867 583 362,00;;;
Волгоградская область;312 288 514 509,00;37 247 481 283,00;;;
Ростовская область;579 945 127 819,00;69 295 623 635,00;;;
город Севастополь;66 049 060 525,00;8 446 355 118,00;;;
Республика Башкортостан;594 794 586 818,00;67 168 609 556,00;;;
Республика Марий-Эл;76 898 048 904,00;9 555 964 802,00;;;
Республика Мордовия;87 715 179 676,00;11 025 946 725,00;;;
Республика Татарстан;793 012 268 254,00;90 333 614 472,00;;;
Удмуртская Республика;244 953 585 897,00;28 663 197 146,00;;;
Чувашская Республика;176 476 801 157,00;16 696 455 209,00;;;
Кировская область;161 664 497 152,00;20 212 050 270,00;;;
Нижегородская область;639 236 499 553,00;77 949 141 810,00;;;
Оренбургская область;259 092 018 737,00;31 439 674 375,00;;;
Пензенская область;152 840 429 694,00;18 028 776 193,00;;;
Пермский край;476 773 650 461,00;55 552 978 400,00;;;
Самарская область;600 428 181 193,00;70 365 963 277,00;;;
Саратовская область;304 963 894 627,00;37 092 969 526,00;;;
Ульяновская область;161 277 248 697,00;18 795 747 035,00;;;
Курганская область;92 277 978 350,00;11 554 165 822,00;;;
Свердловская область;973 385 681 782,00;116 769 208 323,00;;;
Тюменская область;361 989 753 034,00;41 660 034 531,00;;;
Челябинская область;642 854 604 416,00;77 677 928 541,00;;;
Ханты-Мансийский АО - Югра;810 928 623 025,00;100 488 625 976,00;;;
Ямало-Hенецкий АО;498 642 362 726,00;64 234 271 131,00;;;
Республика Алтай;24 337 125 051,00;3 015 178 958,00;;;
Республика Тыва;36 624 153 167,00;4 531 366 916,00;;;
Республика Хакасия;73 349 536 559,00;9 226 611 872,00;;;
Алтайский край;253 596 235 136,00;30 978 415 559,00;;;
Красноярский край;683 544 329 884,00;84 897 629 356,00;;;
Иркутская область;506 049 347 152,00;62 020 364 131,00;;;
Кемеровская область - Кузбасс;488 584 933 131,00;57 293 113 969,00;;;
Новосибирская область;632 217 298 137,00;67 611 793 932,00;;;
Омская область;300 565 105 342,00;33 564 821 145,00;;;
Томская область;219 568 331 742,00;25 748 181 836,00;;;
Республика Бурятия;121 210 605 742,00;135 371 102 759,00;;;
Республика Саха (Якутия);356 461 442 241,00;45 835 679 769,00;;;
Приморский край;390 585 872 355,00;49 688 367 114,00;;;
Хабаровский край;318 327 734 959,00;40 716 738 441,00;;;
Амурская область;195 215 079 057,00;24 706 977 949,00;;;
Камчатский край;150 907 893 530,00;19 475 863 162,00;;;
Магаданская область;94 605 042 597,00;12 187 311 448,00;;;
Сахалинская область;245 609 199 046,00;31 846 105 717,00;;;
Забайкальский край;165 411 532 493,00;20 979 742 719,00;;;
Еврейская автономная область;25 002 129 266,00;3 185 127 268,00;;;
Чукотский АО;44 725 176 990,00;5 787 702 549,00;;;
