GA;GB;G1;;;
Белгородская область;215 470 655 580,50;27 085 832 433,00;;;
Брянская область;116 146 220 544,13;14 516 396 448,00;;;
Владимирская область;173 867 683 582,65;21 684 100 960,00;;;
Воронежская область;296 191 825 610,63;36 692 574 155,00;;;
Ивановская область;83 477 897 796,96;10 372 015 800,00;;;
Калужская область;172 970 041 313,15;21 659 499 191,00;;;
Костромская область;97 447 788 834,89;9 069 038 401,00;;;
Курская область;131 035 250 218,92;16 717 620 844,00;;;
Липецкая область;153 376 087 572,96;18 659 745 179,00;;;
Московская область;1 732 328 464 085,44;221 810 284 957,00;;;
Орловская область;79 776 422 463,12;9 977 315 481,00;;;
Рязанская область;148 367 462 598,22;18 665 712 638,00;;;
Смоленская область;115 840 226 949,77;14 643 053 347,00;;;
Тамбовская область;92 609 132 549,54;11 599 315 932,00;;;
Тверская область;160 731 112 362,94;20 226 747 644,00;;;
Тульская область;205 445 525 107,65;26 089 039 351,00;;;
Ярославская область;195 124 329 556,35;24 441 768 841,00;;;
город Москва;11 705 353 300 442,80;1 299 753 408 522,00;;;
СЕВЕРО-ЗАПАДНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;4 261 762 927 410,95;450 875 652 014,00;;;
Республика Карелия;100 982 371 159,06;12 678 568 517,00;;;
Республика Коми;202 403 672 043,25;25 698 427 833,00;;;
Архангельская область;214 253 410 122,24;26 976 334 315,00;;;
Вологодская область;183 309 068 249,10;22 991 456 273,00;;;
Калининградская область;149 716 116 458,61;18 057 415 303,00;;;
Ленинградская область;331 130 725 223,94;42 210 134 993,00;;;
Мурманская область;219 017 023 944,31;28 144 319 819,00;;;
Новгородская область;84 242 100 988,79;10 562 239 345,00;;;
Псковская область;67 117 696 458,27;8 385 888 224,00;;;
город Санкт-Петербург;2 676 412 853 575,38;250 891 928 667,00;;;
Ненецкий АО;33 177 889 188,00;4 278 938 725,00;;;
СЕВЕРО-КАВКАЗСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;486 232 923 897,18;59 004 641 071,00;;;
Республика Дагестан;88 825 005 927,17;10 292 464 130,00;;;
Республика Ингушетия;14 880 495 295,63;1 639 944 409,00;;;
Кабардино-Балкарская Республика;39 471 909 850,65;4 816 618 895,00;;;
Карачаево-Черкесская Республика;24 200 735 855,26;2 970 717 996,00;;;
Республика Северная Осетия-Алания;37 291 846 276,26;4 616 010 808,00;;;
Чеченская Республика;49 835 848 521,92;5 680 736 424,00;;;
Ставропольский край;231 727 082 170,29;28 988 148 409,00;;;
ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;1 812 892 968 837,43;228 498 065 208,00;;;
Республика Адыгея;34 372 574 930,95;4 240 951 348,00;;;
Республика Калмыкия;17 051 058 141,63;2 081 836 977,00;;;
Республика Крым;188 878 164 397,76;23 898 710 644,00;;;
Краснодарский край;671 128 451 970,61;84 626 352 687,00;;;
Астраханская область;105 351 817 359,94;13 239 497 055,00;;;
Волгоградская область;260 398 518 099,16;32 671 328 080,00;;;
Ростовская область;480 113 013 495,62;60 650 559 946,00;;;
город Севастополь;55 599 370 441,76;7 088 828 471,00;;;
ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;4 094 950 166 653,70;491 174 156 578,00;;;
Республика Башкортостан;493 662 571 378,78;59 281 211 839,00;;;
Республика Марий-Эл;67 710 220 126,81;8 374 222 917,00;;;
Республика Мордовия;77 558 188 568,13;9 656 175 169,00;;;
Республика Татарстан;648 667 843 301,98;79 422 668 182,00;;;
Удмуртская Республика;206 768 035 700,60;25 850 382 990,00;;;
Чувашская Республика;129 415 196 688,08;14 489 137 326,00;;;
Кировская область;144 635 650 275,87;17 863 197 854,00;;;
Нижегородская область;570 008 491 830,69;72 180 303 259,00;;;
Оренбургская область;221 482 954 350,54;27 779 043 804,00;;;
Пензенская область;123 653 586 644,96;15 505 254 366,00;;;
Пермский край;513 645 454 053,49;48 830 110 814,00;;;
Самарская область;508 291 145 866,91;62 952 046 500,00;;;
Саратовская область;255 866 663 888,44;32 208 902 616,00;;;
Ульяновская область;133 584 163 978,42;16 781 498 942,00;;;
УРАЛЬСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;2 897 130 890 472,85;482 382 247 415,00;;;
Курганская область;80 549 842 057,31;10 005 133 622,00;;;
Свердловская область;814 061 345 114,08;102 534 653 331,00;;;
Тюменская область;299 246 850 952,98;37 904 490 771,00;;;
Челябинская область;545 490 899 112,99;68 334 014 127,00;;;
Ханты-Мансийский АО - Югра;724 388 830 318,33;207 831 536 076,00;;;
Ямало-Hенецкий АО;433 393 122 917,16;55 772 419 488,00;;;
СИБИРСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;3 434 082 264 856,76;328 463 195 226,00;;;
Республика Алтай;20 943 361 745,74;2 555 562 012,00;;;
Республика Тыва;30 581 851 880,37;3 743 184 196,00;;;
Республика Хакасия;65 017 970 776,33;8 105 806 972,00;;;
Алтайский край;216 674 239 733,93;26 193 194 153,00;;;
Красноярский край;565 548 962 750,64;71 900 725 633,00;;;
Иркутская область;420 717 754 807,34;53 389 357 672,00;;;
Кемеровская область - Кузбасс;418 492 063 714,57;52 530 567 476,00;;;
Новосибирская область;1 244 966 831 307,47;58 631 916 105,00;;;
Омская область;272 932 357 907,82;28 777 651 940,00;;;
Томская область;178 206 870 232,55;22 635 229 067,00;;;
ДАЛЬНЕВОСТОЧНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;1 769 011 840 780,83;226 661 180 607,00;;;
Республика Бурятия;104 970 157 345,54;13 165 348 399,00;;;
Республика Саха (Якутия);317 420 422 503,60;40 778 853 388,00;;;
Приморский край;320 852 592 583,28;41 189 920 433,00;;;
Хабаровский край;280 541 296 508,56;35 901 779 653,00;;;
Амурская область;148 767 112 767,40;18 964 426 357,00;;;
Камчатский край;127 208 697 173,63;16 385 740 153,00;;;
Магаданская область;74 878 165 932,56;9 582 258 230,00;;;
Сахалинская область;195 795 832 464,88;25 408 523 859,00;;;
Забайкальский край;141 371 781 318,80;17 930 619 397,00;;;
Еврейская автономная область;21 600 532 791,46;2 762 680 057,00;;;
Чукотский АО;35 605 249 391,12;4 591 030 681,00;;;
