GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125
Республика Адыгея;28133143;27807325;2926;2791682;2784328;27843277;371;23923;24172;265893;8;5960639;5738138;31878545;796;14801397;14801397;74007088;2035;17646;19134;125436;33;140972;140972;845835;88;546;546;3028;6;0;0;0;0;23598;23598;121386;45;3629148;3549170;23926923;1326;574739;556021;452;1034;1485;5;745707;726357;682;27763;22952;282;136;136;5;2;2;1;103;103;10;326;43;2;16;16;1;24144001;23923067;2678;19401282;19276378;2660;722830;723186;133;9845;9958;21;476127;490469;403;21568;23311;41;3500470;3385420;1236;12377;14346;36;0;0;0;-2927;0;2;54280;52170;40;4480343;4379537;3088;14099;6581;3;1541534;5435370;1087073;109348;21870;13640;1051563;7153759;1430751;370770;74154;14286;1342311;1847708;6619;1559836;49201
Республика Башкортостан;888666721;875420403;65922;22824421;22096757;220954998;5073;70577;70951;780317;44;182115541;171404543;952233467;18860;462344859;462344861;2311737184;46386;1991699;1425981;9372218;481;4659080;4659080;27981422;880;9642;9642;68017;24;0;0;14;0;883443;845332;4390991;400;180809407;179604639;1123460328;25228;28410769;28295322;8726;1840579;1845323;178;32988903;32823153;12254;1286272;1258225;9896;4779;3557;17;337;337;6;3092;3012;63;516079;468804;70;3611;3450;18;807162622;796802791;62960;580095190;571294805;62560;6355675;6276676;1048;1657189;1483406;456;30063562;30282975;8600;875363;837262;374;176863036;175720101;23292;1172627;1135116;919;1101;1101;5;108231;83622;20;51855946;52033087;601;89370506;85655645;73108;8015834;7895688;158;762067092;65285026;13057003;15137459;3027495;1720616;8308892;131975389;26395075;47412424;9482488;1788722;15123865;187080043;4903234;762067094;51750837
Республика Бурятия;58605584;58267718;4936;4402832;4383398;43833969;943;107;107;1175;9;10974493;10654976;59194309;1487;27077880;27077880;135390618;3255;10309;14332;93959;41;42661;42661;255969;81;3172;3172;17147;4;0;0;0;0;60509;61122;327944;41;13078393;13009693;80490132;1553;2693229;2678638;617;10795;18354;11;2959313;2940732;1071;70625;68849;766;249;244;15;0;0;0;486;252;16;15213;4642;7;18;18;4;53233342;52891710;4493;36604360;36557773;4425;906261;908271;140;97439;97800;28;2533227;2601868;549;60513;61072;42;13005995;12650840;1423;11951;11499;73;165;165;2;3883;3883;32;3954006;3953383;319;7852091;7716310;5405;241566;241566;22;77035574;15832971;3166593;2161987;432397;338568;2395628;17842941;3568587;2429523;485904;341261;2741422;1747521;38547;77035574;3939094
Республика Алтай;26693840;26645402;1898;3347202;3269575;32695750;242;2010;2010;22115;8;5080202;5115269;28418161;577;12448791;12448791;62243955;1292;53098;51031;334540;18;179470;179470;1076628;38;0;0;0;0;0;0;0;0;238;238;1207;8;4265524;4265338;32507277;741;1181455;1180489;334;69;69;1;1235748;1232124;490;9473;9489;116;0;0;0;0;0;0;39;39;6;5674;48;1;0;0;0;24054215;24091776;1760;18463800;18504733;1750;322562;322562;47;1986;1986;9;1164660;1162723;305;238;238;8;4095294;4091659;688;5675;5675;21;0;0;0;3206;0;0;425501;423633;47;3342728;3260719;1907;0;0;0;5712509;1708290;341659;296586;59319;5952;276388;13230202;2646042;8922946;1784591;14956;846495;259015;0;5712509;421213
Республика Дагестан;46143192;42700423;6389;1711622;1705086;17050991;558;2535;2620;28824;23;13473719;11233984;62411321;1973;23982161;23982161;119910815;4206;354968;36878;241764;80;561584;561584;3369503;146;390;389;3737;4;0;0;0;0;36995;34988;177895;29;4802488;4016316;25233573;1378;1100126;1017465;644;1154;14;1;1215126;1126655;787;27611;24587;251;35;35;12;0;0;0;0;0;0;3697;3518;5;124;124;2;38799341;35875537;5983;32438282;30387330;5880;600693;565208;196;69028;68552;55;1347345;1272565;753;36743;34736;28;4247113;3495769;1142;50085;49475;26;0;0;0;0;0;0;66873;61415;37;7710329;7180171;6394;91656;91644;6;4033445;13346687;2669149;2252735;450546;775404;1443199;15982373;3196286;2369643;473929;827147;1895210;1591143;111081;4052333;49471
Республика Ингушетия;9779838;8917213;1506;80152;73375;733741;44;8;8;92;2;3854108;3039735;16887414;481;5049926;5049916;25249584;1008;-2613;1118;7330;5;38168;38168;229008;20;0;0;0;0;0;0;0;0;1053;1053;5267;1;513914;475105;2976383;144;245059;238747;108;0;0;0;245059;238747;108;28190;28187;8;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;9166480;8358041;1391;8135757;7332498;1384;168336;176333;20;0;0;0;229358;216090;87;0;0;0;642676;602770;113;30352;30352;4;0;0;0;0;0;0;914;838;3;822545;776915;1502;13277;13277;2;16005;280606;56121;129943;25988;1161;28972;280832;56166;129943;25988;1161;29017;0;0;29814;838
Кабардино-Балкарская Республика;30032989;29498274;3739;1338432;1336090;13360901;591;28882;29549;325040;22;8178019;7870714;43726188;1078;15520447;15520851;77604251;2460;438863;362126;2373941;49;945399;945399;5672393;89;1371;1371;7181;4;0;0;0;0;7373;7373;37979;21;3004294;2872362;18168563;958;494179;477917;373;-55;1;2;570490;554030;538;12441;11791;146;13;13;1;0;0;0;185;185;4;2487;2487;7;0;0;0;26151116;27034562;3493;22244062;23201734;3459;671687;663300;131;14506;12016;19;590542;618350;412;7105;7105;20;2616120;2525212;805;7077;6830;26;0;0;0;23;23;2;-47773;4709;12;4280098;2803450;3725;4686;4686;4;1025851;3672713;734543;888200;177639;19455;537449;5967848;1193570;929960;185991;38088;969491;1099350;1661;1025851;4710
Республика Калмыкия;7479311;7414276;966;83926;126691;1266914;135;1659;1635;17989;5;2929894;2837225;15221506;275;3693129;3693129;18465651;623;3973;2460;16124;12;3940;3940;23642;27;338;338;1688;2;0;0;0;0;3191;3191;16615;11;624689;621301;3939319;241;125023;103662;116;0;0;0;135146;124947;170;27314;27268;146;36;36;3;0;0;0;86;86;2;0;0;0;-17;0;0;5790189;5778775;835;4969126;5033025;831;5318;5318;1;0;0;0;69462;83303;90;3191;3191;11;643953;627137;211;26293;26327;13;2;2;1;0;0;0;4549;4549;4;1960706;1911058;1084;6145;6145;3;255290;760992;152199;201087;40216;2686;109297;804938;160988;203154;40629;2714;117645;27885;0;255291;4532
Карачаево-Черкесская Республика;23164579;22749339;2409;1346116;1334880;13348799;282;6931;6931;76245;14;5212935;4909032;27272398;675;13096627;13096627;65483134;1596;8296;13639;89406;47;33239;33239;199440;76;190;190;952;1;0;0;0;0;88266;88364;474057;26;2856728;2776543;17680577;645;461073;429125;262;1276;1298;7;515355;490137;387;11274;11134;82;0;0;0;0;0;0;86;86;12;940;149;1;0;0;0;21413334;21137250;2289;17658966;17456829;2267;467809;468231;49;59067;58757;36;445707;422450;232;88266;88364;26;2684057;2633155;562;9462;9462;20;0;0;0;39;39;1;27924;27920;22;2026890;1892543;2445;137282;137173;11;1650976;761782;152356;170828;34165;16559;101632;2784491;556898;296211;59241;29117;468540;58688;0;1650975;26510
Республика Карелия;63256827;62934585;7125;1631351;1583288;16164928;679;0;0;0;1;11725468;11603521;64464001;2031;39646523;39646523;198232382;4966;14865;14592;95660;44;115198;115198;691197;112;8;8;39;2;0;0;0;0;174247;174247;905367;103;6442882;6339160;39478553;2950;1624363;1623714;1087;223898;227060;11;3487473;3438722;1591;101818;101423;1880;678;656;52;20;20;2;124;349;12;4195;1236;8;0;0;0;47361725;47211961;6740;38204313;38166248;6651;1337259;1331979;234;55105;54606;47;1332243;1329365;907;176588;176588;97;6214104;6107006;2765;63350;63288;186;0;0;2;-2572;318;7;2784260;2778630;321;19701173;19528871;8448;525650;525538;29;59760632;8366215;1673245;2434136;486823;135050;1051372;20992349;4198470;10646166;2129229;143742;1925499;9828153;2871718;59760632;2772093
Республика Коми;160731987;160264108;5799;1404987;1388484;13884847;568;31887;512;5632;8;34106710;33751579;187508825;1822;107135357;107135377;535676717;4032;16067;18215;119401;61;175615;175615;1053642;99;8;8;40;3;0;0;0;0;363904;363540;1868444;140;14165103;14135927;87151667;2313;2935381;2957719;801;16382;8557;12;3326336;3288836;1424;492963;441364;3843;177;116;6;77;77;4;8125;8125;31;16322;10494;8;6014;6014;7;122675836;122417017;5346;103918993;103687532;5292;1767589;1767589;70;58411;58411;35;1861003;1861087;685;363693;363230;137;14325284;14298376;2238;380864;380794;223;0;0;1;12282;12476;9;22494427;22471608;150;30364477;30124825;9328;2967291;2967302;47;487899558;8031352;1606272;1739515;347903;108725;1149644;45060250;9012053;1862692;372540;109156;8530357;1914435;1019401;487899558;22468703
Республика Марий-Эл;92253457;81785665;7460;6753417;6398656;63986551;828;5758;5759;63356;13;26415284;16466068;91478168;2142;43945483;43945483;219727436;5219;134924;136151;892542;48;761457;761457;4568741;140;0;0;0;0;0;0;0;0;200002;194145;998422;126;12392327;12251038;76638785;3282;1470971;1457021;947;8053;8148;10;1643409;1625510;1479;47072;42850;743;3;3;2;0;0;0;1381;1382;38;10468;4107;9;0;0;0;82560505;72152699;7029;67276938;57009650;6971;1091546;1066938;172;79967;78068;76;1557166;1573822;857;197667;191810;124;12327455;12202714;3107;29765;29697;80;0;0;0;1940;959;4;1595985;1595464;45;10122818;10039351;8016;206339;206339;15;19339825;8221763;1644355;2338673;467736;215288;961331;13944579;2788917;5868497;1173701;227189;1388027;2118028;837727;19739115;1596506
Республика Мордовия;86898516;86336614;8546;12509208;12453457;124534575;1380;4278;4551;50059;11;13302603;13026341;72367481;2385;38019880;38019880;190098230;5949;1125695;1089861;7144637;63;2173446;2173446;13040676;160;32;32;158;2;0;0;0;0;112915;114403;586906;118;15204945;15034639;98565509;3826;4141735;4168274;1171;97067;118;14;4445544;4420019;1885;71824;65884;853;45;45;3;0;0;0;1861;1815;20;3124;1554;6;0;0;0;80251033;79897723;7914;59195191;59015683;7846;2046387;2046374;196;263994;305565;133;4414546;4357909;1022;111239;112700;113;14172338;14009688;3630;45887;45812;145;0;0;0;77;0;0;101172;100967;30;11010295;10773875;8962;1226090;1200812;51;16915964;12139117;2427817;1925610;385122;230374;1812321;22998620;4599719;8220740;1644149;254885;2700685;2493280;35038;16915966;100973
Республика Саха (Якутия);115769258;110087560;5393;1826445;1799000;17960122;595;-7586;4296;47253;17;25661772;21961467;112932118;1722;62740758;62740758;315621063;3681;28672;19246;126465;46;66693;66693;400166;84;0;0;0;0;0;0;0;0;2674799;2653032;13568982;134;17918085;16195246;101253892;1955;3453901;3420353;729;215243;215383;7;4894919;4683037;1250;414504;351514;1186;416;416;8;12;12;1;526;525;8;45827;45059;5;0;0;0;105488949;100000603;4941;80365005;76376285;4876;861843;868237;92;49320;49028;19;4176261;4158510;665;2673654;2651887;131;17155083;15688171;1827;207677;208705;151;0;0;0;13437;12923;4;24326187;24470879;228;22710733;21540228;6223;3593162;3516184;34;486702710;15878094;3175619;2558901;511780;442168;2221671;87189865;17437973;24514947;4902989;582750;11952234;288309689;1399323;486702708;24567873
Республика Северная Осетия-Алания;20434884;19528586;2952;799823;791938;7919378;289;7976;7867;86534;13;5308479;4495366;24974216;817;10611651;10611651;53058140;1896;222814;229518;1504611;78;352922;352922;2117539;146;281;281;1407;2;0;0;0;0;7280;7280;37929;22;2575837;2500347;16044749;828;454083;431964;307;28847;28847;15;554883;532429;460;11774;10582;229;31;31;2;0;0;0;602;602;6;11806;4722;9;0;0;1;18334300;17480681;2761;15175482;14380107;2714;398955;397884;110;18408;18434;41;489401;482084;304;5991;5991;20;2202847;2053060;708;4798;4798;26;7;7;3;2219;234;3;119741;119537;79;2556937;2412568;3053;1373;455;2;2635259;2735399;547080;727421;145484;283040;118556;3801435;760286;836020;167203;285340;307743;171060;28787;2639862;104126
Республика Татарстан;1365820171;1345668081;103675;43188695;42613595;426135964;8078;89759;80087;880951;97;283462518;268694868;1492749753;28893;686972625;686968712;3434843557;72892;1253859;1210390;7934773;654;3616699;3616699;21700198;1417;7617;7617;39079;22;0;0;0;0;710942;710740;3731809;495;284852247;281613046;1771258865;54119;55448686;53962073;22487;1625588;1623077;159;61705842;60153359;27946;4673791;4509641;2252;27371;26861;39;431;435;20;3558;3571;89;96202;37471;106;898;898;11;1203631484;1185481635;100858;828018978;817331068;100056;38846412;38716929;2248;2951584;2790737;753;59843451;57574747;20960;710273;706511;488;268426680;263598988;51153;4830469;4760902;819;0;0;5;79112;1647;16;41125035;41153664;605;189611264;186856254;103152;16131028;16122242;251;895597884;110352219;22070447;39121806;7824357;1611629;12634461;692817370;138563478;298623946;59724785;2266279;76572414;32102466;6062121;896033544;41152767
Республика Тыва;6135577;6039196;508;80857;66601;666007;36;1;1;11;1;1811983;1732303;9623906;183;3693082;3693082;18465412;342;194;135;886;4;975;975;5850;8;260;260;1312;4;0;0;0;0;128217;128217;658075;22;350543;349617;2166747;111;57449;56085;48;0;0;0;69752;68245;94;143000;142924;66;0;0;0;0;0;0;0;0;0;18186;0;0;0;0;0;4886487;4833103;407;4040017;3989231;403;199137;199137;4;53565;53565;4;14794;36728;47;128065;128065;20;303402;278872;100;147508;147508;25;0;0;0;9589;0;0;1287594;1289400;22;1588660;1533972;538;4278;4278;3;15511406;633756;126752;69948;13990;18520;94242;5837987;1167598;155360;31073;21294;1115231;403817;0;15511308;1280790
Удмуртская Республика;243728483;244154330;29429;10061456;10021486;100196203;2666;712;712;7829;11;52018540;52599386;292218800;8305;128999428;128999428;644963831;20729;148907;138589;911923;128;551470;551470;3314855;320;0;0;0;0;0;0;0;0;318971;316625;1639487;235;44001186;43842303;272017187;13944;5259729;5502535;5285;67474;71585;66;7629135;7685637;6983;262813;244929;1274;147;112;10;30;30;2;1212;3794;50;9738;5094;42;0;0;0;197486094;196889630;28652;141942310;142793187;28433;4672500;4673742;489;234497;235073;248;6426001;6425802;4996;317007;314235;230;41481447;41154619;13266;185026;184497;241;0;0;0;18969;18923;17;3967275;3969726;236;47245567;47114877;30067;2123945;2128488;106;175590160;27979403;5595882;6586765;1317352;622008;3656522;114636319;22927263;62822528;12564505;629482;9733276;4849397;232051;175672822;3972723
Республика Хакасия;45662061;45043547;3938;1073435;1042440;10424395;548;3089;3089;33981;13;8091460;7629245;46631249;1129;24928885;24928885;124650142;2717;32800;23806;156061;25;95772;95772;574630;66;0;0;0;3;0;0;0;0;142050;139001;729158;67;7509109;7442347;47178939;1463;3341737;3293849;532;4745;2942;8;3447277;3402392;856;240321;64320;598;234;171;8;6;6;4;3964;2529;16;1166;1025;3;0;0;0;40955768;40445334;3536;28730945;28325447;3491;799306;798849;60;324604;324320;36;3159382;3119008;456;139749;136724;66;7729188;7668667;1399;38844;38568;44;0;0;0;120;2;3;6431748;6438649;59;5575939;5296726;4433;194114;194114;34;72993741;4510513;902103;480665;96132;72511;733460;7454165;1490833;484423;96884;73408;1320541;1863823;10872;72993742;6438649
Чеченская Республика;51821536;44491221;3680;1571498;1550315;15503966;421;11495;10968;120648;5;19150264;11954736;66419654;1029;27228359;27228359;187988330;2457;443229;444060;2911059;61;266476;266476;1598855;97;0;0;23536;0;0;0;0;0;805;738;4098;2;2450134;2422979;14656327;436;548176;471232;240;0;0;0;698920;607878;335;23089;20445;38;0;0;0;0;0;0;0;0;0;4913;0;0;0;0;1;50300860;43736625;3546;47111456;40609138;3514;656450;652264;49;66646;67116;15;922129;904568;284;738;738;2;1539744;1498618;332;2470;2470;15;0;0;0;4864;0;0;6480;6480;4;3059464;2367993;3543;-3067;6583;6;196296;2929246;585849;1357835;271569;22626;291654;3016430;603286;1379420;275886;22777;304623;911246;1355;197446;6480
Чувашская Республика;106837436;106424192;14773;3681000;3680679;36806786;1403;6474;5005;60435;32;21719881;21370266;118721847;4117;56767074;56767074;283835169;10339;137832;131813;864104;102;492422;492422;2954237;224;138;138;689;1;0;0;1;0;147889;146061;764017;175;21192069;21157225;131633763;8147;2408024;2394550;2491;28017;27535;53;2692438;2673497;3529;110866;111115;1678;180;180;9;7;7;2;2188;3252;41;6578;2531;28;210;2;2;89296977;89032978;14212;65353632;65115081;14089;2002654;2014875;435;135510;133956;198;2679720;2669294;2318;147019;145298;162;18882894;18856924;7784;95542;97115;214;0;0;0;-169;20;3;64489;65509;103;19416883;19246396;15923;239493;239493;25;9793984;16756392;3351282;1662450;332488;82835;2935959;24423531;4884710;3631779;726353;95308;4063049;1317233;103500;9793984;64051
Алтайский край;270707044;255549921;37097;31138368;30933403;309317263;7183;15538;19617;215798;51;57623657;45253750;251409085;9903;131973366;131973366;659871343;25438;212448;199706;1309180;154;854269;854269;5125622;381;23;23;458;4;0;0;0;0;333639;295253;1527372;286;40009351;37984894;247284203;14339;6572131;6224418;5156;1236134;1089136;108;8531335;8021481;7886;272245;237942;2465;348;308;16;29;29;3;4417;4682;46;92866;15339;40;2224;2408;2;243624025;229869262;35828;191298653;179866645;35652;3341236;3322000;857;2827919;2824275;492;7012404;6820485;4717;331555;290472;279;38650296;36635948;13560;166616;163685;274;38;38;5;35122;5320;12;5695703;4979822;650;28254013;27474551;37715;720578;649389;89;77454301;30563150;6112630;8085483;1617098;834731;3660801;35765282;7153057;8837097;1767420;852312;4533325;7584850;236546;77474540;4943209
