GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156;G157;G158;G159;G160;G161;G162;G163;G164;G165;G166;G167;G168;G169;G170;G171;G172;G173;G174;G175;G176;G177;G178;G179;G180;G181;G182;G183;G184;G185;G186;G187;G188;G189;G190;G191;G192;G193;G194;G195;G196;G197;G198;G199;G200;G201;G202;G203;G204;G205;G206;G207;G208
  Ставропольский край;4711439;28121122;34;6118063;0;0;0;64932;250075;79403;-305;6498;0;342;37051873;373629;1080064;3;0;606;2637559;0;0;0;44893367;-65553;0;0;0;16550;0;152;80470;8075;0;-9006702;0;548;334;387369;22296;910174;6137824;19405;1312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2217692;0;0;0;2693;0;0;0;1040;0;0;0;0;0;0;0;0;0;0;0;0;1701254;0;0;356502;0;0;0;7214251;716539;478159;1975880;15977;0;1378721;426286;0;0;0;0;0;0;742239;0;0;0;0;0;536592;9936496;90361;0;40875;0;0;0;0;0;0;0;0;63833;0;0;0;0;0;0;32921;166;5;84;0;0;4371841;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;-3;0;0;0;0;0;0;3;0;2;0;0;2;0;24;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;1;0;0;1;0;0;0;26566;0;63098;107536;-1696;0;546193;0;117;0;0;0
  Хабаровский край;3357930;23557724;0;728557;0;0;0;184946;214104;165076;0;1203;0;3326;48171243;231796;664156;0;0;243;3366299;0;0;33;16473807;0;0;0;0;245435;0;0;0;0;15365643;113678;0;16837932;0;0;0;4420637;0;0;6627;0;0;0;-126220;0;4102186;0;0;0;0;0;0;0;0;0;4350210;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;578142;0;0;0;109;42824;61104;11717223;2280113;402369;1322290;1248;0;555051;0;0;0;13501;115639;77767;0;150704;0;0;93;69834;20864;0;0;0;0;237891;0;0;0;1318176;0;0;0;0;6252864;0;317210;-20525;0;0;0;42725;13676;258459;10103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;74;0;0;-107;0;1;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-25;0;0;0;0;0;-3;0;0;29115;-187;11333;76418;35;0;149146;0;440;0;0;0
  Забайкальский край;626189;7607136;0;1298109;0;0;0;1953;760112;11441;0;0;0;0;26698975;119807;252835;0;0;17;1112148;0;0;0;-7960300;0;0;0;0;0;0;0;0;0;828;0;0;127;0;0;0;35064;206;0;0;0;0;0;-20723;0;0;0;0;0;0;0;0;0;0;0;37198;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;315828;0;0;6386;1;29337;75412;7663269;0;121493;642129;1610;0;170818;6295;0;0;28;71042;96629;0;67889;0;0;11;62928;54114;5953;0;0;0;109375;0;0;0;0;0;0;0;0;3479800;0;681752;1848659;0;0;0;39224;19373;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13310;8;8625;14575;0;0;22830;0;0;0;0;0
  Амурская область;1441809;13398645;0;2799160;0;0;0;27683;3279;225000;0;231180;0;1504;30469113;209425;368820;-1;13;50;1393669;0;0;0;-24110754;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40733;0;0;361;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;133377;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;565969;0;0;31921;288;50854;24633;11796592;-2685552;246146;825221;427;0;267332;126983;0;0;2845;98620;13912;0;104317;0;0;48;47105;5516;18361;0;0;0;414159;0;0;0;0;0;0;0;0;4737341;0;147184;0;0;0;0;18815;10169;0;222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17270;128;5165;12665;0;0;185990;0;0;0;0;0
  Архангельская область;2660738;17674792;21;1362206;0;0;0;9161;25020;97695;1;101;0;8;32830959;434780;103132;0;20;66;1555089;0;62;0;24008563;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64056;9231392;0;944;0;0;0;-2314140;0;-353910;0;0;0;0;0;0;0;0;0;148531;0;0;0;0;0;0;0;815;0;0;0;0;0;0;0;0;0;0;0;0;302017;0;0;24236;0;33631;42108;5515735;2701159;284673;1113939;1598;0;218759;14662;0;0;0;19337;19162;0;53114;0;0;0;48927;24285;18299;0;0;0;135272;0;0;0;0;0;0;0;0;35893;3980628;0;25524;0;0;0;11766;23858;64327;101;0;0;0;0;0;0;0;-39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;3756;0;379;20972;85;0;277033;0;0;0;0;0
  Астраханская область;48058955;6903320;3;13514867;0;0;0;165113;3452;11833;10;3725;0;0;16350045;89018;251774;0;0;56;543619;0;38;0;17981714;0;0;0;0;0;0;0;0;0;9194588;25758;0;4534990;0;0;0;23096;0;0;0;0;0;0;0;0;-60283;0;0;0;0;0;0;0;0;0;218951;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;223884;0;0;0;0;91143;30903;6665921;1379342;172996;936668;3381;0;118359;0;0;0;0;300994;35508;0;67494;0;0;0;92258;26492;0;49142134;20070443;54640265;14943;0;0;0;0;0;0;0;0;489;0;0;64698;0;0;0;408;26;3633;3597;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;4;0;0;0;24;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;37233;22323;12;26845;410;0;3755;0;0;0;0;0
  Белгородская область;5624596;35017431;-1;2713852;0;13443;0;18075;108922;82255;2;12855;327;4033;33638356;193403;556123;6;0;2565;5144750;650;0;4350;49417728;16492;0;0;2589284;0;0;0;0;0;0;1;0;0;0;0;0;177921;1607050;0;201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1891910;0;0;0;0;0;0;0;413;0;40;0;0;0;0;0;0;0;0;0;0;1174292;0;0;0;0;222964;176044;8241720;23313;512816;1697934;4767;0;3508981;0;0;0;0;326137;185730;0;525934;0;0;0;257869;90399;0;0;0;0;529376;21113586;0;0;0;0;0;0;0;142127;0;0;711261;0;0;0;97017;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77;0;49667;75427;33;0;132304;0;0;0;0;0
  Брянская область;1344783;8904174;2;1435246;0;0;0;20099;3905;38065;347;0;0;151;19531818;180440;277516;46;0;73;1611437;0;0;0;25821516;0;0;0;0;18288;0;0;0;2747864;0;0;0;0;0;0;0;430013;2153388;0;243104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7026610;0;0;49;164;0;0;0;13538;76172;1183;3769;0;0;0;0;0;0;0;0;0;608085;0;0;25930;0;84437;157611;3442854;51703;240086;897409;38814;0;410759;39682;0;0;0;164295;157478;0;105036;0;0;0;128605;69330;20534;0;0;0;19988;0;0;0;0;0;0;0;0;18388;0;0;0;0;0;0;34792;437;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;1452515;13990;10;0;85543;0;384;0;0;0
  Владимирская область;3856339;22092044;0;1138133;0;-21;0;33872;229667;2079102;420;1418;0;5659;27578934;190096;590442;0;3;101;2090711;0;2215;0;47511298;0;0;0;0;0;0;0;0;205;0;0;0;0;0;0;0;380364;0;0;3448;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;944454;0;0;0;0;0;0;0;0;0;1;6750;55;0;0;0;0;0;0;0;0;203750;0;0;0;0;82669;102162;4498560;274515;259290;1546280;1456;0;906429;0;0;0;0;270531;460124;0;209547;0;0;0;347519;197350;0;0;0;0;324114;0;0;0;0;0;0;0;0;8442;0;0;5428;0;0;0;58035;1217;0;0;0;0;0;0;0;0;0;0;0;0;0;89;0;0;0;0;0;0;30;0;0;0;0;0;0;8;2;2;0;0;0;0;0;0;2607;0;4;0;0;0;129;315;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88;0;0;0;0;0;1;0;0;88;0;109373;22106;-2733;0;232465;0;0;0;0;0
  Волгоградская область;2709690;22048722;0;11079825;22;0;0;19755;106148;372970;238;628;0;165;37697973;253195;772759;-9;-1;1365;3678924;650;796;4395;59381281;4;0;0;18587;401271;0;0;0;47262821;26417090;36308;0;20188076;145931;0;211;2735097;7067;0;475;0;0;0;0;0;448775;0;0;0;0;0;-420112;0;0;0;1992623;0;0;0;0;0;0;0;2005;0;0;0;0;0;0;0;0;0;0;0;0;261140;0;0;0;0;34856;37742;7662401;753710;372514;1995577;4502;0;768512;0;0;0;0;161140;65580;0;215451;0;0;0;306808;83414;0;1949763;286439;527588;78531;0;0;0;0;0;0;0;0;84106;0;0;89385;0;0;0;29445;674;0;922;0;0;0;0;0;919592;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1891;0;156;0;0;1830;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28397;0;486290;111631;250;0;17941;0;0;0;0;0
