GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35
Республика Адыгея;7 906 902;4 972 583;7 258 458;4 539 776;16 260;3 486;6 536 574;9 822 861;780 137;462 799;0;0;393 867;589 066;117 090;69 772;145 143;156 928;0;0;248 725;432 138;109 998;64 678;23 549;9 089;1 718;4 432;947;763;791;1 349;321;195;0;0
Республика Башкортостан;105 005 538;36 043 306;99 439 025;33 514 728;620 424;316 506;46 465 114;60 930 781;6 990 360;2 814 307;1 222 443;45 575;2 787 897;3 582 475;1 043 822;417 157;1 028 167;1 065 400;0;0;1 759 892;2 517 119;840 654;364 637;529 348;133 486;15 034;34 553;12 773;6 675;7 262;9 322;4 049;2 246;311;46
Республика Бурятия;28 888 369;12 178 535;26 990 774;11 151 055;50 041;22 418;11 800 159;11 672 511;2 119 739;1 096 862;34 758;1 725;706 476;697 921;316 421;154 265;233 855;226 095;14;129;472 548;471 726;277 568;143 421;107 688;26 331;5 247;6 503;4 378;1 693;2 328;2 539;1 621;492;18;6
Республика Алтай;6 177 033;1 788 181;5 754 683;1 668 617;21 093;3 161;3 989 251;2 184 696;547 170;124 762;97 224;1 951;239 314;123 290;73 974;16 908;80 028;43 810;0;0;159 064;79 432;59 752;14 854;31 960;6 841;1 160;2 539;1 195;788;616;839;534;310;52;19
Республика Дагестан;20 175 895;15 045 199;17 357 912;12 573 853;62 965;97 235;6 631 225;6 013 422;3 151 335;2 399 273;11 124;0;397 873;360 138;315 133;239 927;126 788;90 689;0;0;271 085;269 449;303 946;232 305;61 416;29 134;1 835;4 102;3 201;2 493;677;756;1 013;546;6;2
Республика Ингушетия;3 149 594;585 086;2 937 544;526 951;12 586;4 105;921 523;560 857;338 649;60 190;1 303;0;55 291;33 573;50 798;9 028;16 989;4 809;0;0;38 303;28 764;49 862;8 746;2 841;1 346;554;311;625;189;345;99;257;54;1;0
Кабардино-Балкарская Республика;16 329 253;8 835 383;14 617 828;7 665 324;64 864;73 767;3 391 299;3 537 604;1 967 858;1 207 190;23 358;14 444;203 590;210 005;173 102;103 455;70 850;52 738;0;0;132 737;156 842;150 662;88 147;60 905;32 283;1 216;2 100;2 341;1 578;547;501;806;403;10;12
Республика Калмыкия;4 118 480;3 529 284;3 784 548;3 145 879;2 032;2 525;1 200 194;1 558 904;405 568;375 527;0;135;67 398;93 142;41 479;37 740;22 794;26 615;0;0;44 604;66 594;34 907;31 556;17 660;12 734;565;1 282;769;618;268;348;312;177;0;1
Карачаево-Черкесская Республика;6 410 892;3 021 357;6 132 687;2 648 570;38 131;4 330;3 563 710;2 697 072;451 992;380 778;2 412;11 220;213 551;158 244;64 177;50 310;72 049;44 201;0;0;141 516;114 010;57 246;45 549;25 264;7 334;1 012;1 931;797;580;454;576;273;208;7;3
Республика Карелия;39 570 043;5 454 350;36 546 187;4 752 890;263 771;86 599;13 891 346;11 931 403;3 473 925;665 709;20 836;0;833 478;714 494;432 733;83 209;283 219;218 553;0;0;550 256;495 867;349 856;74 324;199 638;19 297;5 126;7 299;5 461;1 099;2 835;2 001;2 035;351;17;0
Республика Коми;28 475 351;6 516 300;27 551 436;5 892 108;177 038;60 236;19 977 206;17 819 848;2 357 196;718 893;300 141;16 965;1 198 634;1 051 183;335 249;102 772;474 725;319 100;0;0;723 909;732 082;277 258;92 921;156 223;25 707;5 122;9 416;3 799;1 281;2 286;2 702;1 225;398;123;10
Республика Марий-Эл;28 237 585;6 237 534;26 418 244;5 698 266;130 413;19 190;10 134 065;8 920 945;2 130 646;586 363;41 340;26 508;608 042;533 427;319 556;83 088;234 571;170 981;0;0;373 359;361 639;268 366;74 237;128 395;20 167;2 783;5 518;3 496;1 365;1 215;1 475;1 193;418;17;21
Республика Мордовия;16 409 261;6 649 442;15 285 493;6 854 156;113 186;30 728;8 187 837;9 670 676;1 365 045;533 247;52 033;0;492 071;577 290;203 876;79 983;198 869;181 047;0;0;293 205;396 064;174 839;67 921;78 057;23 791;2 466;5 242;2 277;1 255;1 149;1 314;845;340;34;1
Республика Саха (Якутия);53 068 457;18 811 801;48 289 498;16 517 327;272 722;155 197;19 482 513;19 253 108;5 661 997;2 508 649;787 842;232 641;1 100 676;988 169;565 356;225 756;357 304;266 307;0;0;741 403;720 994;468 874;197 577;260 939;70 652;4 017;10 197;5 779;4 185;1 953;3 273;1 926;1 404;321;247
Республика Северная Осетия-Алания;12 771 525;4 545 964;12 008 967;4 092 705;63 355;16 011;5 084 901;4 509 519;960 034;438 895;128;348;305 094;270 565;141 488;65 061;105 240;74 567;0;-18;199 854;195 904;134 446;64 019;32 316;3 793;1 753;2 875;1 606;848;831;881;552;255;1;4
Республика Татарстан;163 738 664;41 297 388;147 919 815;36 168 247;1 050 254;164 884;72 439 965;78 697 725;18 026 629;5 632 884;0;0;4 346 398;4 721 863;1 753 453;550 669;1 584 708;1 285 656;0;0;2 761 690;3 436 207;1 445 239;482 895;804 432;137 344;17 797;33 986;19 088;8 073;7 799;8 085;5 853;2 505;0;0
Республика Тыва;3 634 871;3 209 664;3 268 605;2 994 560;4 632;3 334;1 490 387;1 103 585;365 783;222 319;1 043;353;89 269;65 866;42 008;35 097;29 826;18 551;0;0;58 575;48 480;33 474;29 831;18 303;13 763;499;853;557;404;220;223;169;72;4;2
Удмуртская Республика;76 141 897;24 574 252;68 781 443;21 745 398;611 881;121 997;17 413 930;23 854 231;8 276 039;3 242 415;293 376;157 704;1 043 850;1 408 194;920 704;387 707;380 021;432 957;0;0;667 070;974 992;782 520;353 733;355 562;67 153;5 506;13 505;8 768;5 027;2 380;3 892;2 480;1 774;145;112
Республика Хакасия;16 394 339;11 494 098;15 206 163;10 486 945;58 554;91 908;5 951 749;6 114 098;1 309 719;967 349;25 995;12;356 143;364 394;185 225;141 254;130 391;121 623;0;0;225 730;242 786;164 720;131 712;63 635;20 815;1 825;4 235;2 228;1 265;794;1 122;731;309;11;5
Чеченская Республика;4 964 844;1 585 028;4 315 955;1 314 762;39 560;28 111;5 502 138;8 243 653;645 312;251 769;0;0;60 383;88 129;32 078;16 133;13 795;32 773;0;51;46 588;55 307;22 811;13 944;32 647;5 428;647;1 411;756;548;256;399;319;192;1;0
Чувашская Республика;48 297 097;18 023 525;45 121 792;16 566 149;249 699;79 558;16 456 737;20 672 325;3 726 318;1 602 138;15 255;0;987 404;1 239 507;528 632;229 206;388 417;392 795;0;0;598 991;846 717;438 091;201 213;223 418;56 758;4 895;14 690;5 920;3 128;2 146;3 704;1 941;954;6;0
Алтайский край;92 944 620;19 787 929;87 211 838;18 048 291;463 803;131 864;32 939 876;34 113 627;6 808 573;1 744 622;18 284;3 381;1 974 146;2 042 111;1 013 932;259 570;690 490;614 260;0;0;1 283 458;1 431 388;871 031;240 610;372 399;43 297;9 567;16 831;10 059;3 495;4 011;3 205;2 739;849;8;6
Краснодарский край;190 513 951;115 815 826;179 364 958;105 932 360;811 499;1 062 650;130 093 807;223 830 103;15 598 723;10 421 609;4 652;940;7 802 483;13 433 144;2 337 791;1 556 099;2 843 431;3 416 868;0;0;4 958 608;10 003 393;2 025 056;1 360 651;803 436;382 131;32 273;94 165;17 302;10 975;14 794;26 333;5 291;3 036;2;0
Красноярский край;114 469 237;28 867 164;111 847 560;26 401 205;365 879;109 376;60 842 280;52 880 155;8 753 019;2 703 540;1 664 506;157 487;3 650 537;3 072 941;1 312 949;381 908;1 293 605;837 671;0;0;2 356 931;2 235 267;1 103 479;338 178;504 949;96 421;16 252;24 943;12 924;4 705;7 304;6 672;4 122;1 412;472;86
Приморский край;105 896 731;38 699 372;96 940 404;34 857 696;198 664;47 252;63 215 336;51 150 819;9 905 709;4 071 558;55 994;89;3 796 651;3 062 411;1 481 364;610 573;1 348 839;792 330;0;0;2 447 801;2 269 946;1 339 710;575 921;378 073;80 078;14 938;19 122;10 603;3 582;6 833;5 947;3 418;1 006;18;3
Ставропольский край;76 506 399;52 918 315;70 790 267;46 975 106;124 402;130 650;30 880 222;51 427 523;6 809 485;5 670 011;945 697;468 219;1 852 728;3 023 919;948 034;694 983;691 825;835 040;0;0;1 160 902;2 188 795;815 193;629 607;323 482;125 507;9 168;25 702;7 632;5 730;3 937;7 032;2 353;1 547;54;31
Хабаровский край;79 316 022;17 301 699;74 392 035;17 662 048;528 780;239 597;33 010 487;37 102 917;6 023 698;1 736 600;109 791;5 156;1 980 511;2 221 241;869 369;255 235;684 641;557 231;0;0;1 295 873;1 663 595;710 987;236 657;384 814;47 896;8 885;12 276;8 188;2 345;4 014;2 999;2 448;674;44;18
Амурская область;37 138 387;15 796 692;34 395 215;14 415 325;225 714;30 352;15 508 440;17 013 900;3 016 091;1 431 564;117 476;3 418;930 508;1 013 760;452 447;214 183;299 615;260 294;0;0;630 875;753 469;399 270;198 058;146 428;36 591;3 169;6 840;3 563;1 813;1 338;1 736;1 037;468;30;11
Архангельская область;48 440 656;15 304 996;45 072 131;14 510 432;356 655;95 923;25 901 203;30 916 221;3 781 158;1 386 210;262 288;25 895;1 554 053;1 836 889;567 119;204 157;494 353;530 267;0;0;1 051 748;1 302 087;469 090;184 851;243 933;48 341;5 975;14 715;5 260;2 165;2 860;3 912;1 650;686;122;11
Астраханская область;23 574 193;12 590 107;21 424 269;11 628 634;111 784;109 879;13 719 592;14 922 394;2 355 170;1 354 927;84 885;8 434;822 997;887 777;342 620;195 895;311 479;266 803;0;146;511 518;620 930;310 517;176 358;91 886;36 981;3 823;7 858;3 213;1 951;1 586;2 071;1 006;505;36;14
Белгородская область;43 108 417;19 195 943;40 977 317;17 784 381;616 728;105 399;22 222 951;21 519 952;2 857 355;1 639 351;38 608;12 613;1 295 853;1 288 908;410 545;240 643;501 046;393 314;0;0;794 747;896 602;322 870;206 276;240 332;72 378;5 332;13 008;4 637;3 443;2 173;2 997;1 244;1 001;9;9
Брянская область;30 892 253;12 189 692;28 836 107;11 014 374;81 110;22 006;15 891 186;21 339 259;2 362 924;1 225 864;9 591;0;938 780;1 258 116;353 208;183 912;345 390;376 896;0;0;593 393;880 759;303 619;168 430;137 137;29 063;3 751;12 956;3 496;1 669;1 441;2 890;1 076;486;2;0
Владимирская область;51 466 241;18 555 530;47 738 015;17 073 636;283 269;61 038;26 982 781;32 124 615;4 139 676;1 713 984;85 153;18 967;1 535 355;1 882 079;593 790;245 523;583 213;561 615;0;0;952 138;1 320 474;507 043;223 088;222 778;46 536;7 363;14 278;6 091;2 624;3 029;3 018;1 846;647;47;17
Волгоградская область;63 486 479;20 924 743;57 586 423;18 434 938;199 908;58 858;35 527 165;44 943 482;6 378 617;2 506 395;181 841;27 504;2 130 961;2 687 729;903 499;360 785;793 071;775 563;0;0;1 338 702;1 907 502;798 839;350 697;230 109;37 784;10 774;21 728;8 120;3 711;4 252;4 751;2 459;1 078;76;17
Вологодская область;62 015 684;16 035 034;58 722 389;14 711 954;374 490;121 371;18 737 923;22 873 764;4 124 138;1 422 168;0;0;1 124 266;1 372 371;618 574;213 987;390 278;444 172;0;0;733 986;927 901;484 977;185 521;332 406;61 370;6 375;12 847;8 470;2 924;3 087;3 235;2 687;1 038;0;0
Воронежская область;91 502 001;26 949 894;86 542 026;24 849 112;603 829;185 050;43 166 201;46 010 441;6 486 927;2 445 366;17 741;29;2 586 807;2 759 584;951 741;354 880;945 562;713 325;0;0;1 641 248;2 046 269;753 872;297 679;459 244;116 572;8 099;17 222;8 044;3 504;2 982;3 935;2 119;980;10;2
Ивановская область;66 132 115;20 161 335;61 221 499;17 334 068;290 267;92 174;13 376 597;17 301 799;5 618 498;2 744 453;172 884;160 551;778 712;1 011 014;630 296;272 219;277 089;278 884;0;0;501 618;731 808;504 485;245 644;314 157;47 103;4 665;8 191;7 528;3 217;2 119;2 328;2 350;1 091;72;59
Иркутская область;108 479 790;26 387 197;100 301 730;22 804 417;631 282;147 607;54 517 687;49 479 875;9 572 178;2 378 225;234 929;30 914;3 271 061;2 954 697;1 326 648;335 733;1 089 890;783 177;0;0;2 181 175;2 168 586;1 167 162;303 496;439 549;75 422;13 410;21 709;13 108;4 790;6 361;6 650;4 896;1 922;102;23
Калининградская область;170 645 766;25 997 959;158 503 318;23 360 267;869 210;164 170;36 448 768;31 273 306;14 384 060;2 847 775;440 516;492;2 181 906;1 840 237;2 155 373;423 017;674 820;537 419;0;0;1 507 089;1 302 895;1 976 946;407 160;472 001;41 694;8 814;11 966;16 985;3 557;4 076;3 369;6 046;1 285;105;7
Калужская область;36 398 131;14 409 311;33 999 069;12 834 717;155 333;56 176;21 510 675;24 148 243;3 090 030;1 668 376;21 673;0;1 290 591;1 445 459;395 485;208 085;469 195;413 800;0;0;821 396;1 031 659;328 439;189 202;179 223;42 197;4 905;11 080;4 270;1 877;1 944;2 578;1 319;493;7;1
Камчатский край;35 568 514;11 015 212;30 739 290;9 157 648;236 331;102 715;10 295 986;13 534 256;5 228 420;1 905 898;223 352;13 433;612 988;777 760;524 349;189 091;209 222;174 264;0;0;403 762;603 516;473 951;175 539;127 432;28 189;2 440;4 211;3 174;1 542;1 385;1 408;1 142;601;75;16
