"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G74","G75","G76","G77","G78","G79","G80","G81","G82","G83","G84","G85","G86","G87","G88","G89","G90","G91","G92","G93","G94","G95","G96","G97","G98","G99","G100","G101","G102","G103","G104","G105","G106","G107","G108","G109","G110","G111","G112","G113","G114","G115","G116","G117","G118","G119","G120","G121","G122","G123","G124","G125","G126","G127","G128","G129","G130","G131","G132","G133","G134","G135","G136","G137","G138","G139","G140","G141","G142","G143","G144","G145","G146","G147","G148","G149","G150","G151","G152","G153","G154","G155","G156","G157","G158","G159","G160","G161","G162","G163","G164","G165","G166","G167","G168","G169","G170","G171","G172","G173","G174","G175","G176","G177","G178","G179","G180","G181","G182","G183","G184","G185","G186","G187","G188","G189","G190","G191","G192","G193","G194","G195"
"Республика Адыгея","47882306","47837901","3355","559597","559597","11192581","482","19930","19930","418521","28","74286","74286","1061223","20","0","0","0","0","0","0","0","0","5472849","5471115","54711145","451","37938","37938","417315","13","16","31866199","31790667","158952869","2643","0","0","0","0","0","480466","480439","2882632","93","2381","2381","11911","3","0","0","0","0","52020","54902","274510","43","7193671","7150453","49301685","1669","1998590","1996587","737","0","0","0","2124068","2197292","1094","21645","21586","104","0","0","0","1021","1021","11","31","31","1","239","239","4","1","1","1","40237686","40351182","2831","27587334","27741628","2701","2832101","2836899","100","256892","256892","57","2799520","2798751","667","52095","54332","39","6692881","6645817","1507","16863","16863","23","0","0","0","0","0","0","72927","72927","17","10049010","9890266","3379","0","0","0","0","0","0","2432583","2433073","71","55092","54559","46","2336005","0","15001428","3000285","1724859","344973","25450","2629862","0","0","0","0","0","0","0","0","1259350","251870","36842","7368","29827","214675","0","0","0","0","0","0","0","0","0","0","16260778","3252155","1761701","352341","55277","2844537","1555150","311029","33554","6710","1646","302673","6087","1217","0","0","0","1217","7","0","0","1555150","0","0","0","0","2336005","72788"
"Республика Башкортостан","1151263755","1141481320","48906","3192753","3192753","63855976","3109","87845","87845","1844495","185","271299","271299","3875706","96","8503","8503","129973","4","0","0","0","0","46495979","46497443","464974252","4442","21128","21128","232416","40","218","775169126","765703908","3828495647","43820","0","0","0","0","0","5283639","5285936","31715615","823","26644","26899","308283","15","0","0","0","0","1501546","1496056","7480416","259","257441915","257432950","1620999304","23230","58426447","58028937","13366","388972","389558","41","61820744","61485067","19042","726106","674974","4080","0","0","0","679","625","27","1585","1585","7","334042","330925","70","266","272","3","1045264117","1037995951","44800","728879908","721751827","43940","12782153","13032507","1026","2528937","2528856","512","60335548","60208323","11777","1504549","1499227","249","238755534","238474644","21236","585952","529016","520","-1095","263","3","2087","2087","7","17922964","17935429","137","146455263","143607614","51199","0","0","0","0","0","0","56770429","56593512","434","12864234","12837252","468","601521131","0","135760994","27152196","29981494","5996299","3222338","17933559","5122","1024","0","0","0","1024","2","0","43256571","8651314","16568848","3313771","15795","5321748","0","0","0","0","0","0","0","0","0","0","179017565","35803510","46550342","9310070","3238133","23255307","55836841","11167367","1097417","219483","21932","10925952","123780","24756","33700","6740","0","18016","2","0","1684909","57521750","0","0","0","0","601521131","17811562"
"Республика Бурятия","89767639","89613556","6424","2212419","2212419","44248740","1923","71493","71493","1501349","95","120884","120884","1726915","39","0","0","0","0","0","0","0","0","7777760","7778819","77787523","946","18511","13921","153136","5","0","54900303","54904100","274504756","4105","0","0","0","0","0","69998","73728","448086","86","0","0","0","0","0","0","0","0","181807","181807","909037","40","16037922","15889808","98367382","2119","7363305","7352489","845","269873","269873","10","8377949","8366463","1660","21807","21629","455","0","0","0","228","228","7","0","0","0","4556","3","2","113","113","2","83721178","83538222","4817","60528509","60623996","4550","1449939","1453598","178","291334","291334","38","7987554","7818091","694","181355","181355","38","13273349","13159001","1731","9843","9843","58","0","0","0","-127","1","1","4548990","4551112","50","15862043","15705683","6512","0","0","0","0","0","0","14308165","14131091","268","329903","586131","42","95386917","0","30655543","6131110","5730573","1146116","836366","4148628","0","0","0","0","0","0","0","0","11279748","2255950","27855","5571","14478","2235901","0","0","0","0","0","0","0","0","0","0","41935291","8387060","5758428","1151687","850844","6384529","2084721","416944","87698","17540","168","399236","19286","3857","0","0","0","3857","1","0","48005","2132726","0","0","0","0","95386917","4545608"
"Республика Алтай","29101407","29091898","1452","204981","204981","4099543","221","4400","4400","92396","16","20700","20700","295712","8","8","8","117","1","0","0","0","0","1161809","1155902","11573192","201","45","45","500","3","0","19845873","19837588","99187967","1162","0","0","0","0","0","101912","102020","612123","26","0","0","0","0","289","289","5922","2","5960","5960","29867","12","5949153","5955812","36408912","569","1755105","1754042","300","0","0","0","1805475","1803391","487","10521","8491","48","0","0","0","7","7","1","0","0","0","3921","3921","4","1092","1092","2","29854007","29973558","1166","22252610","22384697","1122","139708","139708","18","45926","45926","12","3338956","3338203","255","5039","5039","10","4052927","4052290","481","18877","7731","17","0","0","0","0","0","0","470474","466247","31","5113605","5037106","1405","0","0","0","0","0","0","6308539","6362507","77","95078","95566","33","12991179","0","2112145","422432","353952","70789","24862","326781","0","0","0","0","0","0","0","0","1254382","250876","15823","3164","1130","246582","0","0","0","0","0","0","0","0","0","0","3366527","673308","369775","73953","25992","573363","1702272","340455","167780","33556","634","306265","529","106","1700","340","0","-234","2","0","2356219","4058491","71137","0","1","0","12991179","466245"
"Республика Дагестан","82482736","81503732","9100","1942043","1942043","38840471","1863","123222","123222","2587374","144","44264","44264","632342","15","0","0","0","0","0","0","0","0","5287497","5229338","52293596","854","49914","48006","528063","29","31","58856242","58555560","292830966","6611","0","0","0","0","0","283526","242131","1452784","160","14691","14561","99944","12","2368","1927","10255","4","74442","74442","373190","34","11626402","11239613","70310936","2646","3804354","3658487","1494","0","0","0","4196248","4004793","2087","102841","88309","135","0","0","0","0","0","0","16","16","1","687","277","5","1181","1190","10","69297767","68965922","7086","53681620","53715627","6843","1217345","1210055","230","213708","217041","71","4327861","4236742","1483","72301","72301","30","9723914","9449241","2171","48884","46451","47","355","355","1","0","0","0","47052","47146","19","14528924","14091554","9130","0","0","0","0","0","0","1308473","1476770","29","284732","261561","38","14301171","0","32305422","6461083","10597265","2119453","692056","3649574","12747","2549","337771","67554","450","-65455","8","0","1442622","288524","916276","183256","12160","93108","0","0","0","0","0","0","0","0","0","0","33748044","6749607","11513541","2302709","704216","3742682","1452795","290558","85004","17001","576","272981","216475","43295","65868","13174","411","29710","22","0","145240","1598035","2044","0","3","0","14301171","47145"
"Республика Ингушетия","12659313","12316749","1458","159755","159755","3179613","131","4551","4551","95574","4","2410","2410","34423","1","0","0","0","0","0","0","0","0","813720","813280","8132798","97","79","126","1391","4","0","8692211","8447804","42261493","1220","0","0","0","0","0","301673","300674","1804045","34","28353","28353","203784","4","0","0","0","0","11016","11016","55080","3","1906762","1853146","14029529","358","755938","712880","230","0","0","0","767073","723948","306","1783","1783","12","0","0","0","411","411","2","0","0","0","0","0","0","63","37","2","11096996","10838834","1293","8822659","8647202","1257","71583","82820","20","347","347","1","672837","668525","205","11016","11016","3","1517344","1426046","267","679","679","1","0","0","0","0","0","0","11249","11244","4","1636719","1564853","1438","0","0","0","0","0","0","84700","96368","10","12494","12561","5","480015","0","588200","117640","203718","40743","2870","74027","15329","3066","0","0","0","3066","3","0","26","5","0","0","0","5","0","0","0","0","0","0","0","0","0","0","588226","117645","203718","40743","2870","74032","373771","74754","61002","12200","0","62554","177114","35423","0","0","0","35423","3","0","193","373964","6985","0","1","0","480015","11244"
"Кабардино-Балкарская Республика","40938272","40763064","4136","255266","255266","5126475","278","16221","16221","340454","30","26942","26942","384887","15","0","0","0","0","0","0","0","0","5528997","5502985","55031593","1091","9999","9999","109985","20","-8","28199011","28095579","140478208","3177","0","0","0","0","0","89510","87985","527908","82","0","0","0","0","3764","3764","33883","1","26717","26717","133593","8","5136016","5109912","33549229","1298","1466253","1450282","807","0","0","0","1649517","1631425","1086","10266","10266","48","0","0","0","1326","1326","4","6315","6315","3","1254","1254","6","1","1","1","35560235","35631279","3572","28760626","28868073","3490","705364","702790","103","86942","85314","36","1847689","1839408","781","26706","26706","7","4129984","4105906","1050","5538","5538","7","0","0","0","0","0","0","5451","5451","13","6644181","6321963","4092","0","0","0","0","0","0","1244389","1168474","67","190103","190049","37","2573919","0","9089036","1817805","585701","117139","126384","1574282","30895","6179","9246","1849","1444","2886","6","0","836395","167279","15143","3029","10641","153609","0","0","0","0","0","0","0","0","0","0","9925431","1985084","600844","120168","137025","1727891","944712","188942","38668","7734","447","180761","0","0","32819","6564","0","-6564","0","0","1760","946472","1168","0","1","0","2573919","4657"
"Республика Калмыкия","23543073","23495199","10265","10819900","10819900","216404092","8358","407744","407744","8561195","423","497316","497316","7104521","138","3693","3693","56458","3","0","0","0","0","985574","989466","9889583","407","40134","35617","391783","14","0","8690394","8653947","43280106","1322","0","0","0","0","0","40706","40720","245514","48","0","0","52244","0","3779","3779","76045","2","4168","4168","20827","8","1650085","1638934","20534936","2405","378449","378447","255","0","0","0","403357","403694","470","42099","38271","211","0","0","0","363","363","9","1356","1356","4","97","97","4","0","0","0","8827068","8814508","4815","6535919","6520414","4148","610028","610466","62","39394","39394","25","453865","455431","241","4165","4165","7","1178386","1179416","1515","5066","5064","22","0","0","0","0","0","0","2990","2990","8","14950271","14909859","10498","0","0","0","0","0","0","140795","139169","13","123604","123604","11","883635","0","12067007","2413401","1873899","374782","65486","1973133","4","1","0","0","0","1","1","0","564164","112832","37189","7438","121","105273","0","0","0","0","0","0","0","0","0","0","12631171","2526233","1911088","382220","65607","2078406","3696883","739377","290031","58006","157","681214","36338","7268","386","77","0","7191","11","0","17742","3714625","2825","0","2","0","883635","2990"
"Карачаево-Черкесская Республика","27779981","27275708","2441","348206","348206","6994674","376","30521","30521","640939","30","23180","23180","331147","6","6889","6889","105298","1","0","0","0","0","2504990","2491212","24911121","296","9583","6353","69884","7","2","18321026","17954130","89772340","1860","0","0","0","0","0","105917","32076","192458","54","18","18","1664","2","0","0","0","0","89648","89648","448239","18","5334420","5294917","35979427","747","927980","920302","409","0","0","0","1005594","998568","631","4363","4075","45","0","0","0","14","14","3","107","107","3","0","0","0","7","7","1","24783228","24364877","2060","18879933","18517242","2019","334908","336020","36","71011","71011","34","1131506","1119772","389","89648","89648","18","4279773","4234735","629","3271","3271","17","0","0","0","0","0","0","3358","3358","9","3416370","3309905","2452","0","0","0","0","0","0","413667","390456","22","114275","85314","26","2662138","0","3194428","638887","596005","119200","75652","444035","36725","7345","2487","497","0","6848","9","0","1112503","222501","0","0","0","222501","0","0","0","0","0","0","0","0","0","0","4306931","861388","596005","119200","75652","666536","930053","186011","14064","2813","4225","178973","5","1","0","0","0","1","1","0","0","930053","42660","0","4","0","2662138","3332"
"Республика Карелия","69745081","69665326","5686","806920","806920","16138359","975","16291","16291","342101","26","92379","92379","1319696","23","0","0","0","0","0","0","0","0","3378761","3379314","33793268","619","4732","4732","52052","3","0","53166263","53128982","265647628","4478","0","0","0","0","0","175911","167422","1004534","85","0","0","0","0","0","0","0","0","160516","138121","690603","102","8220579","8213068","52297347","2856","3503141","3498988","1088","12283","12150","10","3722528","3717896","1850","74237","69168","1137","0","0","0","150","150","7","336","336","3","13078","13182","8","1","1","2","56986721","56929261","4863","43926590","43895838","4563","533218","532012","118","744750","744750","76","3701345","3705137","904","155465","133403","94","7856386","7851234","2521","68964","66888","142","0","0","0","0","0","0","453570","452586","111","18306926","18273160","6417","0","0","0","0","0","0","5889921","5884360","337","725743","725170","83","47330960","0","19633955","3926790","3653071","730616","442228","2753946","0","0","0","0","0","0","0","0","8972773","1794554","3661473","732294","16496","1045764","0","0","0","0","0","0","0","0","0","0","28606728","5721344","7314544","1462910","458724","3799710","904338","180867","62984","12597","5446","162824","0","0","45","9","0","-9","0","0","3879468","4783806","117","0","1","0","47330960","448487"
