"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G74","G75","G76","G77","G78","G79","G80","G81","G82","G83","G84","G85","G86","G87","G88","G89"
"1","Республика Адыгея","486251","449614","32483","4154","1803214","898812","6130","542759","0","145880","37","13452","11933","1142","0","1127","112042","138366","13659","718","0","718","19692","0","62399","70181","84956","0","0","0","0","0","21007","0","74","74","12589","35495","107854","2075","1492","47","1395","70440","288639","155102","104871","28666","170493","75005","6487","89001","647654","1974649","1083656","564670","700450","579478","1416","5849","351082","100","7663","50927","62282","188266","49124","166341","38591","43466","48448","31061","458","16929","237907","435017","521884","1354","1121552","2125549","1611566","400077","101375","93336","24271","30391","29","21459","0"
"2","Республика Башкортостан","3835386","3569025","250743","15618","36430192","2241452","465741","508003","209559","409966","10156","255746","410324","24183","188","11007","434200","229651","89046","2885277","0","2885277","5352064","715305","1087965","2117566","2708131","5451","0","0","10702","888369","40995","26834","8977","4900","939264","1149347","3367964","1675277","8391465","45039","8099865","1935843","6641744","3721823","1457477","1462444","1581611","881866","116026","583719","10424101","18048296","7460509","9238359","14985696","11995522","188957","34600","4140958","110855","22104","2313534","543681","2214019","218938","4111637","271763","1114869","561274","390068","23769","147437","2568188","8166318","3068370","22632","8658757","18805107","15994073","2967517","990927","1033185","220106","452164","538","133192","0"
"3","Республика Бурятия","728956","262050","430161","36745","5018545","518393","188295","28638","0","17885","0","8130","25082","2442","0","1631","62517","266422","25813","0","0","0","30871","5951","37249","263160","166094","12","0","0","50","2797","0","0","0","0","261034","2698","5184","572","3193415","24","1798118","125633","1785340","1352850","0","432490","321681","186526","18794","116361","988183","3799452","699334","2674789","1425958","894255","11170","5429","0","2761","109203","270439","149300","547781","148771","313058","32596","123855","83428","51107","316","32005","395287","982482","850826","6119","3364289","6085986","4986757","934533","320037","222606","27573","97998","151","26914","0"
"4","Республика Алтай","231445","168571","60291","2583","327294","64936","9125","23364","0","2896","0","852","30116","128","0","8","13765","0","4002","3790","0","3790","5433","154","958","42126","65087","0","0","0","0","0","6451","0","0","0","6","642","340","27399","52","52","0","64612","161471","46759","25077","89635","70441","49361","2573","18507","660504","670096","228561","396156","453317","116525","17287","736","0","2625","63855","219447","50865","642169","502541","102164","14810","54906","11039","10149","0","890","106082","243568","111614","765","1308042","2042106","1283273","635848","445836","39183","4748","11134","0","7499","0"
"5","Республика Дагестан","735291","610364","49836","75091","2050955","100527","22031","5885","248","442018","0","13504","21552","53106","50","52259","17377","5491","9329","38655","0","38655","10674","11634","32593","321168","242249","0","0","0","83","38","99","99","341","237","50437","50626","90577","579","347984","363","336022","190875","1613724","920144","53633","639947","161575","80061","27059","54455","1504163","3446791","818548","2485436","2108136","1249126","5069","42699","708137","37718","5655","578795","236842","432548","72968","417893","98832","116778","121400","93696","2124","25580","347716","929088","683003","5714","4300880","11907341","7599483","1097854","437975","182074","22809","71930","325","53583","0"
"6","Республика Ингушетия","186611","170304","16186","121","89416","35893","29442","295","-17","3082","0","32","5456","-51","0","-51","6321","70","851","0","0","0","2830","0","714","5927","22416","0","0","0","0","4","11221","0","2144","0","40","0","870","0","0","0","0","4965","141354","87615","52014","1726","62098","58947","1019","2132","245101","324419","93638","213421","134272","65157","248","5077","0","265","27","31088","37735","31364","10772","127439","8819","24263","5253","5092","0","161","27993","114931","125361","539","794987","2159092","1104118","259915","103877","25108","1149","9227","0","7271","0"
"7","Кабардино-Балкарская Республика","557436","520840","15839","20757","925226","198645","7446","71089","155","122460","1628","10453","165618","3023","164","2636","6823","25758","3706","94","0","94","37558","1935","14084","94752","85710","187","0","138","1011","0","16646","0","0","0","19081","44681","34025","12016","82","62","0","43094","887033","477600","249908","159526","136117","123124","3741","9252","360973","1014403","404800","567427","359531","178025","1270","6824","22","0","14","80444","101048","191050","47761","163484","11893","19243","30458","22850","281","7327","117017","371733","291670","1419","1800612","3410412","2505848","316994","105352","109309","8055","34674","59","22779","0"
"8","Республика Калмыкия","484675","450621","29034","5020","495961","90240","24917","1001","0","22682","0","18639","105134","10997","0","9865","20555","4543","22901","1743","0","1743","12136","434","13631","33755","22966","0","0","0","0","0","368","0","0","0","43514","992","7118","0","945","0","327","63036","331790","222726","70288","38777","109376","62625","21131","25620","500245","3979967","443419","3423797","471899","246124","1183","20813","30870","7440","199","153606","64530","451066","55918","209950","19695","27478","50120","24066","377","25677","408172","463770","657182","10098","1032142","1617055","994567","218268","87812","91234","23539","46981","0","10849","0"
"9","Карачаево-Черкесская Республика","430596","416120","13542","934","1118248","180647","73151","66266","1417","232005","0","61579","148323","3541","58","3381","9316","771","4119","0","0","0","2471","12390","93092","308114","3607","0","0","0","0","0","0","0","0","0","5930","21453","7782","669","0","0","0","22439","558196","323908","145005","89283","88645","60633","10017","17995","270323","620762","203474","387807","234941","140285","766","1904","7354","0","0","45216","49440","153436","85447","91746","14071","18705","22496","12714","50","9732","68756","277281","116009","366","1124834","2063626","1247971","184230","50441","39079","5842","10558","0","22834","0"
"10","Республика Карелия","1462676","213070","598846","650760","4418056","334835","6901","97444","0","37914","0","4850","33074","1948","0","1576","524314","1784105","12363","0","0","0","45112","80","17699","379679","691827","0","0","0","0","30541","22475","0","141052","0","8775","12568","69963","17906","170257","157330","0","270787","1325312","928751","86206","310355","319585","214950","9084","95551","998664","1765989","451959","960954","1397377","662358","4494","7147","0","45510","1013","552273","136223","659888","161961","425908","21494","96094","47414","22415","14625","10374","643692","834868","415533","3241","3015085","4081596","3634408","672390","123402","211590","32120","97135","0","21795","0"
"11","Республика Коми","1008169","669921","334411","3837","5720592","292132","12592","58803","50","208090","0","159410","14841","4970","0","4914","1553274","1704314","21418","300203","0","300203","5252","0","106339","98339","52009","9406","0","0","39","0","0","0","0","0","895","21938","46153","782","2824","2101","586","1127409","2911409","1386032","214201","1311176","741785","562664","1503","177618","1261725","2070638","567106","1220018","8378740","7297851","43174","12145","5500292","56862","391473","426947","205607","779501","48131","380765","34911","99452","82658","72541","1560","8557","859144","1605724","1659730","7828","4635552","6761220","6146105","1056931","221572","306639","56157","110421","0","22317","0"
"91","Республика Крым","1575690","1431436","106143","38111","4875102","729706","253594","162560","0","449967","50830","24339","36081","3270","83","1782","20417","16376","61062","1994","0","1994","1035067","385","99106","409362","174809","0","0","0","346","6320","50","0","264","0","410036","54420","70488","1712","876927","807068","9693","348748","2151511","1567488","385125","198897","1189297","874027","10508","304762","3361176","8250314","2505923","5244554","5129916","3251599","1768058","15058","43","31560","22520","1438493","385744","1881831","471877","1083968","37393","592460","1268683","1219468","33730","15485","1878117","2015431","1765297","17754","4936403","8014220","8317788","1154655","272051","429935","73642","210185","447","78337","0"
"12","Республика Марий-Эл","1715016","1580227","133430","1359","8338158","1337782","805000","221944","0","22651","0","44068","51443","178749","0","178406","223127","693456","56522","285733","59","285675","216056","46162","57465","127119","1242498","0","0","0","0","1240","0","0","182","182","1307927","687198","1084962","331313","10728","1492","64","333199","845807","286907","140659","418241","266995","183509","19164","64322","884503","1949988","726114","1099014","1163663","869873","388","8357","447104","30063","50","172184","91493","427773","29358","367813","31803","42779","109474","104396","233","4845","391504","541006","285533","3899","1939637","3045425","2571688","519226","129439","154199","24902","70912","0","19597","0"
"13","Республика Мордовия","3433796","3369325","62229","2242","8591161","1918163","918700","291320","178972","279609","49","32381","82920","16867","0","3088","140333","35344","12474","0","0","0","38364","379228","254379","740967","1478824","555","0","0","3673","0","56125","0","878054","0","611366","999965","60454","98985","1180987","7","141","229502","816110","709271","115","106725","275782","154819","7957","113006","1170577","2723627","727453","1827164","1449648","1178787","822","11754","370593","0","0","137060","133801","374787","61532","317695","40983","35548","115081","81204","359","33518","635291","940781","571539","6324","1915426","3267976","2844975","600316","187674","192476","35076","82300","48","23839","0"
"14","Республика Саха (Якутия)","1326662","703245","565249","58168","2038017","513457","103059","182149","0","60282","6","2772","16287","22677","0","4876","66424","1009","36930","0","0","0","158894","0","32781","444815","402385","32","0","0","25","2284","343026","341449","0","0","123","2061","5584","6832","18279","16997","973","246419","7616728","3258815","20297","4337616","670807","454011","79615","137181","2806302","3951260","819972","2895124","9958014","4322469","663872","21877","1670373","959669","1303394","3105484","266998","644313","63175","932571","170147","135470","635672","556776","55445","23451","991684","3580204","1056227","4031","7285887","17978034","11672767","3011463","407382","329726","31134","82841","325","78117","0"
"15","Республика Северная Осетия-Алания","439147","340343","6865","91939","894925","150289","62863","8670","124","159307","4717","13944","28122","379","58","63","3588","3120","8248","720","0","720","12737","418","31155","122510","174869","54","0","0","0","0","158820","0","120","0","97695","20880","2377","278","27268","0","44","32304","633044","426038","182684","24323","404936","357932","17926","29078","505735","970782","269796","633994","485933","293408","6261","4275","123460","37","97","105466","86925","251418","38486","210781","26573","54002","43261","32955","218","10088","164742","294929","311041","1529","1457622","2969364","2624570","465107","120379","96708","15577","38610","1137","27839","0"
"16","Республика Татарстан","6221957","5926445","273700","21812","67818520","4479194","788281","1252034","236858","870102","8015","225986","342230","68310","0","50545","662345","1231126","125084","3300375","0","3300357","11143866","254687","5977879","1959860","6252433","121258","0","0","460724","161828","4987","20","190032","43031","1976522","3842548","3447175","14085176","3473975","1136968","2260900","4091632","6619921","5613541","42225","964155","1807876","1228333","42256","537287","24312413","27022308","9833788","10614893","21261453","16124763","300481","46430","5381896","333063","779323","3265710","758594","3586090","659185","9320981","318641","1116155","4660784","4062875","399310","198599","4466700","13964862","6245784","212930","8813065","29077649","20158255","4689517","1809459","1440040","173789","593174","188","136249","0"
"17","Республика Тыва","152749","85667","66659","423","106687","21819","3543","131","0","863","0","2992","866","565","0","466","6990","50","3828","0","0","0","261","0","203","61465","1028","0","0","0","41","0","0","0","0","0","2175","0","50","66","0","0","0","3466","421623","231861","169","189593","73427","41731","51","31645","441205","429844","32583","371489","286570","115943","317","1255","0","0","49274","65153","56200","77958","5826","187853","16423","104971","28353","27052","0","1301","99888","378019","145851","154","2009306","3713136","2253699","457937","145515","61858","5444","23766","36","12615","0"
"18","Удмуртская Республика","2928418","2723322","167950","37146","31672909","1805015","282428","858021","0","239166","1789","67924","336820","37971","0","9870","1027282","97770","102932","0","0","0","259044","20396","354073","626338","12718349","685278","0","0","26943","6436","6023","0","33332","13317","7682510","2194677","1769837","458570","670190","284","646233","1202256","2113001","1219247","344723","549031","662650","288802","11231","362617","1979543","7591588","1993716","4818526","3590757","2366940","18687","21267","492224","12050","271323","704248","236196","1349342","105138","1317134","57418","73409","483341","416169","19481","47691","1511645","3334198","2123454","10146","3172745","9047327","7259415","1458643","344303","445141","84793","198042","17","52031","0"
"19","Республика Хакасия","223228","173748","43545","5935","3641418","368052","60387","89033","0","366805","0","3934","7953","887","0","298","26860","17285","13472","0","0","0","4435","0","38526","248349","1775974","220581","0","0","71","1404","1526390","1945","0","0","1290","1962","44258","221353","62421","1724","7","437602","1150519","964407","0","186112","204905","116470","59742","28693","1331197","1589149","388958","1026334","887401","541942","128368","4187","0","65","281","274088","71025","243602","66630","213175","39938","43516","121122","101075","14682","5365","355030","432773","655486","2007","2219282","3592958","2562752","427251","101692","108606","15775","43213","0","17808","0"
"20","Чеченская Республика","203537","163128","39632","777","435113","35740","10358","4239","0","24080","0","10543","27651","25577","0","24083","16659","875","3783","173","0","173","6120","0","20459","117786","24146","476","0","0","4061","0","0","0","0","0","1924","3380","10239","45564","215","0","0","60199","794719","424973","303627","66119","176599","131092","10728","34779","2393060","2632849","692291","1829989","1018953","687005","5669","15353","167931","1712","43","107807","222386","265783","45551","271918","28088","76299","264875","23593","0","241282","303370","469022","329223","7683","2361727","7573062","3642953","658871","255801","112370","18376","29465","327","14178","0"
"21","Чувашская Республика","1297413","1247099","44797","5517","14994667","1463016","165651","157214","0","157024","0","120463","447397","90463","0","89884","365747","109233","70644","500","0","500","868660","230","201937","665213","2359763","159","0","58","2481","9765","0","0","506075","42831","1737538","3062433","842580","1225345","507690","158","135846","698791","1288863","969846","207504","111513","439428","215221","71638","152569","2667618","4181064","1753930","1933769","1454764","1016151","7549","27393","194028","90391","139","170521","177562","762786","73484","674502","32848","38327","137799","77893","28296","31610","873355","1670349","610018","6657","2090894","5165461","4862286","625011","125431","279391","46233","128541","96","30601","0"
"22","Алтайский край","5522143","5193274","304496","24373","18264988","3697703","401089","935180","142711","637399","0","308956","71357","14497","0","6926","392717","76263","92857","980843","753878","226965","571887","654945","1148216","605556","3484350","31074","0","0","624","8459","34972","0","92186","45255","375608","284937","1114090","1090004","2148126","23151","50","514677","3396253","2567030","142697","686526","734181","494630","15823","223728","3094167","10509806","3593716","6036122","3117334","1862747","103363","12630","100846","22484","0","901298","330805","1138401","195305","816744","71986","129359","201026","174355","465","26206","1272901","1997645","1242742","11370","6275573","10991342","9686574","1061817","251830","418793","69347","206780","382","72861","0"
"23","Краснодарский край","15350701","15026579","128366","195756","26354675","8433523","836349","1245118","1030882","1508582","10313","193692","393361","140174","1597","131071","174598","454550","301928","1871455","0","1871455","902905","302777","835164","2530956","4083774","1552739","0","0","20886","149153","102226","62","7079","3630","169865","286553","1453836","45988","637652","125709","5266","1623029","6422797","3893936","1291513","1237348","3904693","2091871","188160","1624662","19482893","81198337","12139569","66297823","29327091","11515198","283817","91215","5129540","269222","233111","16464865","844695","9192250","4137896","5441341","165144","1868490","2742897","2197802","200373","344722","7263234","12933577","6183151","55630","13340047","29019901","28979584","6661410","2692130","1679543","329405","816691","534","340874","0"
"24","Красноярский край","5339935","3381388","1859974","98573","43323732","1466068","366179","327840","50","159898","0","73111","80285","26492","0","25079","1677383","26372","77866","934083","0","934083","1193647","115160","319587","1633054","24112108","4751","0","0","465","138311","21927854","1300410","39090","37831","1058167","517218","716681","608285","2393382","48034","1197933","6134885","12850752","11210550","169117","1471085","3180785","808781","431687","1940317","12009043","16925955","6355705","8783116","28444988","15088399","7139927","320794","609226","1541163","2423905","8802626","588895","2912325","409298","2587077","192430","547728","407797","356066","8174","43557","2797574","11758336","5563442","38989","13463109","24807581","20560550","4813552","1671467","826252","148752","331635","3347","105165","0"
"25","Приморский край","5811332","928192","779053","4104087","12938718","1906989","645443","125952","51","179388","27","57328","39781","2879","0","2560","687230","58213","84079","288","18","271","496939","73093","117301","913130","413531","58267","35964","0","49","5167","17858","0","132422","0","388989","38894","286661","118928","3716322","1372636","1868485","3358728","4306965","2786096","16640","1504230","1078658","746084","31078","301496","4272382","20310539","5288022","13114675","15400423","2503475","256000","25971","669361","1225514","514733","10649780","506921","1386696","299965","2193108","49214","608464","2254177","2163570","46139","44468","2278223","5333231","2316864","23832","10986878","12869561","12049740","1993517","565850","567171","108001","249790","859","90378","0"
"26","Ставропольский край","8690560","8598932","56759","34869","9976146","1489153","204393","478652","51275","663648","1299","53435","281708","90303","13236","69546","33247","22361","210871","520","0","520","2183233","242080","289095","615595","982286","71502","1397","0","6083","2921","18800","0","4166","4039","834198","691728","253965","151666","167392","0","2823","718363","4664566","2972474","945091","747002","1368227","1089281","7521","271425","4127666","8867830","3642744","4379877","5343677","2898251","2530","37460","1364376","323","2990","2035817","406296","1358430","210761","781318","53309","117276","336397","222507","4260","109630","1494440","2398970","1466590","19412","5656796","9958712","13053208","1273000","315536","492505","82971","216850","208","119938","0"
"27","Хабаровский край","3177593","282947","930394","1964252","12644606","746527","214322","48787","0","49160","0","9370","39176","467","0","414","281755","11577","37738","1495682","0","1495682","206583","207273","176429","664752","1694284","736981","0","70","5389","831","522097","522097","65131","0","7513","40969","67907","25180","6388229","1129233","5253018","494035","7048958","5883992","414229","750737","1069841","683157","36130","350554","6364607","10850878","4500226","5576054","28701579","22272213","18171402","14430","2337763","262708","607673","5205029","353956","1042382","143298","1315595","48128","691044","145300","112200","7181","25919","1665335","4222623","2778957","16597","11137761","9658508","9188518","1619236","572807","560691","75811","255963","99","60260","0"
"75","Забайкальский край","575142","200712","372457","1973","4053897","245132","82917","23966","0","37977","0","3286","4977","1185","0","847","24553","108","9227","0","0","0","1769522","302","19312","156364","1397036","1003","0","0","180","1929","1275342","4898","3937","0","206","1005","25156","0","138669","109","0","219880","2049353","1476865","2711","569777","281231","164657","22911","93663","3386497","2907236","744964","1865018","15086106","13277190","12547158","7626","0","300","36613","1593344","178659","615656","63350","324987","17794","112299","217753","178752","35359","3642","722855","2441373","1062284","11186","5933688","7737580","6355844","810695","137955","244090","27260","73443","186","29593","0"
"28","Амурская область","2074323","1746016","327778","529","3018421","855708","123451","372019","0","21537","0","3886","4831","20","0","0","21599","7289","6344","779","0","779","1219864","0","35903","184997","268201","459","0","0","84","1125","0","0","50","0","1019","9474","6235","463","181114","105400","0","189158","2682962","1476426","20223","1186312","257168","107049","16880","133239","6036825","3627214","1080268","2155552","2367122","1456062","495140","7628","299832","65893","38351","625558","181258","400745","60478","284458","15294","76140","1897654","1884806","2004","10844","686408","3646329","914521","3447","4235827","5382046","5011245","593730","120217","192313","25669","100904","120","23998","0"
"29","Архангельская область","2516260","354803","1524703","636754","20849095","529402","109658","84051","0","69224","0","10197","18613","695","0","378","1980135","3150393","27554","124","124","0","137537","44259","24806","126263","264472","0","0","0","0","333","7824","0","22138","0","225155","7961","278448","1331","13489900","13394698","92915","462626","1896687","1149039","195236","552412","533053","376260","35569","121224","1891456","3336112","824838","2136809","4657801","1338652","81764","10389","444595","593839","753898","1706624","264788","812211","87291","525096","51282","109823","441856","418325","294","23237","1136892","1477118","698553","3150","6075462","8174175","7141300","1138249","194893","332044","47661","163537","0","30338","0"
"30","Астраханская область","978569","749796","9358","219415","2196135","253837","23677","3983","69","11534","0","77911","19961","41157","0","40822","7499","16052","17618","979","0","979","21884","0","52674","112879","211720","7813","0","0","114087","0","0","0","11148","0","7277","108","1657","0","1028149","871020","1580","313239","1134036","871703","26067","236266","478733","324832","7089","146812","1552194","2425095","624375","1625259","2059110","780150","249068","29279","270672","245472","0","893030","140458","476283","81651","304925","14690","57314","88732","76706","1324","10702","423641","1070549","631942","19465","2952379","4143967","4344314","617907","208790","184895","34973","77311","131","39234","0"
"31","Белгородская область","12431746","12348968","43638","39140","16658486","4650734","755808","751275","373710","113154","298","96988","60484","20514","0","3858","43902","357153","230023","632","0","632","358279","220204","267471","1577423","4858070","2759119","0","0","3292","48984","11965","2613","9837","0","364276","132439","2195738","328010","107344","125","91299","675350","2252124","1181008","477384","593732","705900","397262","13409","295229","4434018","6042854","3094027","2321438","3381543","2521567","21727","26950","73110","120","57","637629","222170","782041","102665","1121047","70016","94835","317229","258998","2869","55362","1084347","2619408","1522563","3241","3731143","8792537","6416272","1400016","289423","373544","59056","128775","99","48380","0"
"32","Брянская область","4460074","4333136","124987","1951","10627043","1544128","85536","768077","37745","139721","126876","28175","218944","20822","0","18686","220393","376800","28072","226","0","226","372148","108","181886","1004828","2317132","0","0","0","4101","197","39695","0","605802","6821","142751","335817","544597","880748","1419868","50","67325","723003","1484539","699668","323183","461688","380574","264803","18401","97370","1732676","4716099","1686069","2456815","3327229","2798471","6347","18785","1665950","88","0","307587","221083","517244","74917","477398","36556","31717","113429","104690","737","8002","798318","772552","1101230","4187","2608124","4705697","4464025","702958","228246","267787","46696","127269","50","30515","0"
"33","Владимирская область","1597431","1386295","202970","8166","25578593","5394340","2676543","190609","0","118462","0","595187","349917","44741","0","35033","869264","130755","114145","660","0","660","573588","1398468","1126018","1500236","5175024","617","0","0","120257","29192","73667","50","116221","96407","1208998","1349887","2244207","674709","1073461","9119","229503","1636526","2125893","1215078","383959","526857","655611","390981","77069","187561","1507291","5844016","2263962","3018946","3422252","2642645","19738","29559","130604","2447","1375","586491","189294","697012","149838","657186","37326","106390","177780","109194","22745","45841","1624716","4028530","959245","8197","3480765","6094921","5714266","1054013","239055","340330","71061","134637","5442","41056","0"
"34","Волгоградская область","3778973","3637241","96699","45033","19571199","1877915","90978","346969","0","47676","127138","286867","51346","6795","0","1203","35435","44700","120172","933808","0","932629","4831927","37489","921869","1906330","5531115","1340369","0","0","2421018","5168","638320","0","47956","550","203933","103837","1464597","194902","76654","54840","10065","766694","3407045","1972525","776681","657839","861554","585724","38212","237618","3104367","6259896","2332863","3023904","5780534","3767554","40506","23821","1665579","62892","869","1599104","350115","1306471","93004","1317821","61905","143463","219327","180642","5330","33355","1540856","5842343","1819187","13446","5759384","8607593","9762219","1113520","311313","545973","87533","213896","67","103306","0"
"35","Вологодская область","3369599","1672108","1648182","49309","27591271","1415783","132861","594386","0","85789","0","22644","40934","2262","0","147","1570110","451770","42310","54130","54111","19","7965332","73121","124579","378236","12258179","9525488","0","0","76695","817955","23186","0","9621","7513","110388","73896","680607","148900","39111","30618","236","2053190","2215798","1377327","290691","547781","679116","350503","19086","309527","3054787","6102297","3312935","2152712","4018259","1837394","71756","10390","760440","46784","332646","1588690","212745","864442","68333","1747584","79875","68016","655472","625072","1665","28735","956800","2193782","1006378","4835","3574636","5770954","5801324","1136168","460051","377808","54861","206779","20","51807","0"
"36","Воронежская область","7801505","7665391","115578","20536","19056758","6412269","415116","1267465","455218","214503","1122","33251","156988","14006","0","8382","103826","94434","175958","0","0","0","1592583","28304","533945","1642877","2241088","17771","0","1513","386491","434","114813","0","163916","98738","798040","975116","1859627","16572","1304207","9139","613292","858042","4846921","3358157","611899","876865","777613","546748","27756","203109","4594918","12674753","6634179","4702442","11586828","9363587","6474635","20282","434092","1348","1794","1888570","331529","1239517","158787","1601505","90546","306237","400868","203381","89275","108212","1976828","7439227","3114582","13979","5252779","12001005","11350563","1486542","522098","686102","138709","258633","182","106597","0"
"37","Ивановская область","611189","544461","66044","684","7936270","692509","34291","96653","0","16212","55","2399837","1279548","6651","0","3544","287514","16915","51298","0","0","0","263487","86670","306113","146741","703995","15171","0","0","0","4061","4530","0","90509","88878","227921","169496","471892","262166","483","15","15","546767","1454779","715906","264720","474153","412163","223127","22220","166816","1210349","3004493","1367285","1406722","1537608","1051045","472788","15919","98100","3565","0","331642","151356","391115","72922","404625","34737","87769","123906","77746","21341","24819","688023","1107933","604195","2227","2309562","3694138","3558349","588013","174706","238501","35203","141526","101","29947","0"
"38","Иркутская область","4330786","2323156","1998293","9337","24986581","989514","115206","62928","0","161513","4099","17826","72981","14840","298","13768","2184985","2977322","58972","1985625","0","1985625","3324271","716302","243760","882890","5117833","179901","0","0","0","1421","4342990","375370","15995","15995","45152","617849","458890","186255","3897869","4396","3886554","1027833","7393502","6165698","33469","1194335","1164886","759894","37948","367044","6766576","11220631","4292557","5611618","27729365","22372120","14469640","22546","5017779","274009","947922","3716003","419311","1764827","422164","1214239","72503","282548","508483","451064","8197","49222","1907120","6720466","3597891","18964","11146354","21037742","13579535","2031619","495440","647544","95298","249231","315","97899","0"
"39","Калининградская область","2045095","1271526","16295","757274","6952205","2222598","669392","164712","64","113379","96349","118471","39075","14034","0","12027","54708","170368","28083","0","0","0","172011","116195","143742","346771","729380","1586","0","0","20431","8214","788","0","2391","0","119369","160619","201160","256657","1265032","1249851","233","584204","1303338","620152","245586","437599","597213","425096","58030","114087","3040623","7268604","1914441","4761458","4119848","2115441","730713","14088","74895","304375","1676","1463839","234517","1404457","281006","971097","33469","86043","3159801","3119688","3234","36879","1168248","2482365","1288625","19465","3831113","4673469","4908949","962350","343934","388525","66805","169142","1","54265","0"
"40","Калужская область","2520082","2399961","114921","5200","23841237","3306675","1788984","325150","0","73945","76247","96529","335965","30067","0","28452","457090","1518187","30506","78990","0","78990","542678","715863","1187541","2538510","4579449","465848","0","0","6997","6705","108718","0","231754","211727","2266124","645194","1588160","1901339","1267888","94685","339709","604290","1570000","665030","436815","468154","577311","326382","26970","223959","2762138","5064075","2830063","1641293","2196373","1343626","31603","26928","170714","99","66943","596256","189449","705491","114694","847288","58155","74368","545240","522470","3681","19089","1137118","3497511","1085987","26421","3342917","5001686","4051039","808617","222585","285364","42366","122647","60","31217","0"
"41","Камчатский край","8361861","233631","105689","8022541","1699405","1025151","50026","87736","0","47783","0","2489","2201","51","0","0","5143","264","6903","0","0","0","1756","0","6446","31826","32112","122","0","0","0","2574","0","0","84","0","69","168","18802","0","11615","11615","0","506626","2716136","2198665","10297","507174","557079","426560","5444","125075","859314","1910491","719572","1048916","2318233","625669","99","4151","105529","88342","311253","1164739","128230","439314","180923","263498","12100","78715","87873","85457","0","2416","402706","1621485","556186","3255","5586349","4536466","4160112","807255","214986","144818","20242","61479","0","12766","0"
"42","Кемеровская область - Кузбасс","1864129","1739961","110991","13177","21293149","1549422","476298","120199","0","108378","62","24418","104823","5057","52","2286","107589","81724","41681","1097634","713962","383672","2779981","300133","190566","898037","10454114","8296254","0","0","326","649","561172","8","7173","3327","96283","188812","1114409","44107","365461","2816","928","1740458","6533985","4788562","58814","1686609","1402910","765592","55410","581908","7784264","11618948","4541734","3200706","9568218","7799188","906958","20392","149661","2877","2551","1474518","289084","1428212","216055","1359101","33934","352425","426128","344337","17923","63868","1942712","4546526","2958486","14399","7285382","14050382","13230416","2077783","683405","592762","77666","235171","1476","97794","0"
"43","Кировская область","2878999","2360109","514947","3943","16821738","1862409","316957","425492","0","139085","0","16074","363604","244496","100","166485","1468113","147606","115192","0","0","0","1616841","322040","749161","152351","6521444","709579","0","0","54939","11099","288122","0","1040","993","106401","1522093","292393","58919","386461","23389","207311","737055","1963147","1280562","254638","427947","511336","293220","39677","178439","1948175","4634903","1514385","2775286","2265899","1444381","19006","10332","105934","4630","6335","604525","206028","930529","61540","416967","40462","43008","297795","281456","5714","10625","756379","1697153","786093","4432","3379995","6063369","5901368","839552","173147","282785","54688","98465","0","33340","0"
