GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147
Курганская область;48812358;48799567;4873;5229286;5227633;52276320;953;1431;1619;17808;8;791;0;33606934;33622906;172378436;4548;0;0;250490;247755;1486303;153;256;256;1279;1;0;0;0;0;56145;55818;279086;85;6841547;6826866;42686267;2073;2667138;2669235;842;61435;61435;16;2827690;2816276;1290;37161;32264;511;0;0;0;3612;3508;30;745;14;2;0;0;0;41383992;41503878;4572;31009770;31083445;4528;733247;733278;102;221072;221439;95;2769626;2771593;803;56188;55800;82;6628996;6645799;1957;17113;17117;77;0;0;0;0;0;0;70217;70250;51;7966778;7822603;5058;0;0;0;602388;593054;172;59994;75587;12;4734027;8417807;1683561;1814705;362941;66010;1254610;262;52;0;0;0;52;3;0;2396287;479259;45067;9013;1568;468678;0;0;0;0;10814094;2162820;1859772;371954;67578;1723288;298939;264852;563791;7202;398;6;0;4734026;69780
Курская область;116867265;116161166;12202;22515686;22715170;227151691;2591;660;660;7258;14;396648;0;64648509;64511721;322559875;11160;140;0;1040870;1040870;6245219;226;-60;60;597;3;0;0;421;0;239490;237071;1185355;116;17134085;17128620;121760617;4888;10083490;10136199;1733;2504;2537;6;10499805;10507836;2605;60108;59250;846;0;0;0;1768;1770;23;5516;1377;8;0;0;1;109684991;109220118;11643;80264748;79821859;11546;3644660;3644619;388;431424;441799;263;9151150;9144572;1610;236146;231606;112;15911113;15890266;4528;44302;43255;148;0;0;0;20;19;3;1432222;1440659;58;14930128;14644842;12170;0;0;0;9107307;9078613;581;4907886;4907886;33;31924813;12016856;2403375;1579065;315815;340432;1747128;9538;1908;215;43;0;1865;5;0;10595800;2119160;464077;92815;11471;2014874;0;0;0;0;22612656;4522535;2043142;408630;351903;3762002;2450770;3828;2454598;643;0;1;0;31924570;1438723
Ленинградская область;330881505;329046886;19639;13695862;13700791;137007887;1656;9908;9908;108977;14;1059348;0;247428623;247394154;1237086214;19012;-861;0;1549806;1542177;9252072;375;4;4;39;1;0;0;0;0;547028;546720;2733591;226;54504986;54462433;337955981;9399;11093940;10123343;3545;54184;52320;37;12355308;11326518;5203;3552024;3546513;3039;51144;51144;7;564;564;28;3809;3312;13;6;6;1;294460621;292577583;18772;202501339;200119731;18588;32716265;32715438;1268;1296969;1296220;344;6873216;6852042;3283;545821;545638;221;47625673;47523154;8902;3520084;3519287;576;36;36;1;863;863;2;5580368;5590774;499;80012371;78566879;21275;0;0;0;42143965;42049609;631;6031651;6100418;93;335777695;50270050;10054007;6919806;1383958;663002;8007047;107711;21542;1260;252;2776;18514;16;0;7608662;1521732;1133279;226657;1324;1293751;0;0;0;0;57878712;11575739;8053085;1610615;664326;9300798;8394403;62929757;71324160;1322626;9972;26;0;335777690;5599754
Липецкая область;168718629;167887443;13451;24191072;24194807;241948115;1703;2026;2026;22280;7;137018;0;105263606;104615773;523588656;12848;18;0;714723;714812;4288867;224;0;0;0;0;11;11;78;1;664101;664602;3323010;134;29072105;29031155;192766295;5464;8200221;8193382;2144;33822;28188;32;8573302;8557590;3248;698963;592125;941;-4;0;0;375;423;13;17049;695;5;2;2;1;176615684;175920463;12851;126721585;126029695;12771;10410523;10431816;425;1134648;1135157;177;8452991;8457995;2029;660193;660694;126;27951980;27922183;5093;430382;430255;239;-13;0;0;180;180;1;90883;86147;76;16345073;15977016;13762;0;0;0;23706409;23507864;295;4112011;4014092;89;175882421;8177510;1635504;2852288;570455;136600;928449;29592;5918;28208;5642;597;-321;9;0;12928567;2585713;90430;18087;3068;2564558;0;0;0;0;21106077;4221217;2942718;588542;139668;3493007;745304;283181;1028485;43409;3143;6;0;175882418;70528
Магаданская область;30307624;30299094;1416;743650;742152;7421524;232;0;0;0;0;34004;0;22964878;22961249;114806251;1372;0;0;28535;25685;154109;35;363;363;1813;1;0;0;0;0;703509;703509;3517545;39;4240345;4232139;25430589;431;1430177;1429929;192;168;168;3;1592704;1589264;387;98615;98317;403;0;0;0;5;5;2;0;0;0;0;0;0;31661128;31596737;1346;24864220;24824656;1319;453898;438107;38;2910;2910;5;1610902;1622927;184;696233;696123;37;3935791;3914930;419;97158;97083;69;0;0;0;0;0;0;7275097;7357089;167;6121800;6108912;1548;0;0;0;14631510;14659145;358;1084573;1084573;14;125106223;1588192;317638;205106;41021;32605;244012;32;6;0;0;0;6;2;0;2972122;594424;13524;2705;44;591675;0;0;0;0;4560314;912062;218630;43726;32649;835687;293974;2288953;2582927;883080;175503;6;0;125106224;7357089
Московская область;2556507964;2557720681;131442;169515166;169557738;1695552185;10894;7526;7507;82582;46;1003202;306;1897788638;1899233094;9496027258;126848;-33336;7;9395175;10153621;60921002;1838;175992;175934;893326;29;155121;155268;779702;10;723738;711085;3555420;616;444720727;414810688;2522429040;73843;47072395;46321015;26395;776012;785370;302;57801983;56936101;36685;11296445;11225951;7540;8185;8185;17;11565;11793;126;775280;691302;205;1536;2533;22;2261000405;2263826439;126796;1553956629;1557381093;125353;229493505;229653729;10305;19381905;19334919;3234;51423122;51683115;23993;709863;698476;583;395060738;394379892;70832;10503816;10391348;2558;336201;336201;13;82924;82513;32;12685898;12734063;1441;345322523;342110568;133358;0;0;0;49795873;48998255;1776;13248643;12916596;449;461146355;376263443;75252689;96026066;19205213;7222428;48825048;1479441;295888;906538;181308;3266;111314;118;0;425809101;85161821;294375183;58875036;865275;25421510;0;0;0;0;802072544;160414510;390401249;78080249;8087703;74246558;70265233;37833020;108098253;2317815;325934;117;0;464911967;10592147
Мурманская область;74662554;74624264;4988;5270103;5270369;52703684;1193;0;0;0;0;12571;0;48452384;48442586;242212912;4632;-2216;0;348200;348191;2089150;111;0;0;0;0;0;0;0;0;221336;221588;1107939;54;13006679;12993033;83241616;2067;2750782;2747369;752;219632;218565;9;7353499;7346734;1257;1133991;1124962;1780;0;0;0;1438;1438;21;991;0;0;0;0;0;144253539;144270820;4671;124893392;124920794;4628;2266541;2264966;153;44448;44832;36;5076941;5075540;706;220562;220814;51;10651371;10643297;1976;1100360;1100408;168;0;0;0;0;0;0;3086149;3085933;81;14809381;14758949;6345;0;0;0;86335958;86346728;325;7689032;7703829;23;390831697;14040602;2808118;2270236;454046;284676;2069396;32892;6578;1551;310;290;5978;5;0;2208211;441642;13643;2728;6618;432296;0;0;0;0;16248813;3249760;2283879;456774;291294;2501692;7270385;28398668;35669053;0;0;0;0;390837483;3044474
Нижегородская область;729274756;726904665;59512;37307685;37358043;373580406;4522;4180;4180;45987;23;2616776;100;555918676;556201589;2693844326;58046;-712;0;8759289;6494222;38965312;1002;0;0;0;0;0;0;0;0;593563;596047;2540217;294;100453595;100189756;608740444;27535;18197631;17067032;10906;1701155;1703764;169;25789991;25674921;15790;6540978;6531712;2705;620;391;3;1679;1674;44;2148234;1292408;54;-627;279;23;663715631;662762105;57726;521091232;520045122;57396;31906887;31919314;2254;1813930;1811544;749;17532247;17477721;10315;588329;589389;279;89257807;89339160;26268;1342546;1352325;786;57;57;3;1205663;1176376;15;15770576;15709611;674;94493132;92702351;60275;0;0;0;37704765;37899669;879;7182860;7186923;94;292003585;108143019;21628605;17147350;3429459;3122174;15076972;367264;73453;90903;18181;33999;21273;52;0;30790309;6158064;7750746;1550148;64889;4543027;0;0;0;0;138933328;27786669;24898096;4979607;3187063;19619999;14962403;124489222;139451625;25934;173;24;0;292003589;14977593
Новгородская область;60287388;60423143;5857;4847632;4843152;48431503;619;290;290;3180;10;-70986;0;42589130;42619232;213096233;5654;-1194;0;586370;586364;3518172;178;0;0;0;0;0;0;0;0;207443;207322;1036616;79;10646665;10688785;64679997;2552;763703;754601;934;342954;335840;28;1482001;1475628;1567;239423;237252;526;0;0;0;277;285;14;25040;17089;5;0;0;0;57802979;58015687;5546;41652859;41812608;5508;5022649;5038689;287;182992;182789;119;971846;965145;902;204894;204774;77;9515156;9558757;2509;207929;208271;135;0;0;0;0;0;0;718347;718387;107;8994486;8913281;5976;0;0;0;6956562;6947598;175;536885;536874;24;62369823;7433908;1486784;865441;173085;234237;1079462;578;116;0;0;0;116;1;0;9018482;1803697;609537;121907;5160;1676630;0;0;0;0;16452390;3290481;1474978;294992;239397;2756092;624263;168631;792894;71576;1139;1;0;62369825;698123
Новосибирская область;414265680;406025919;62323;42906651;42839899;428401750;6630;15229;16600;182600;48;7517239;0;291136952;290754356;1453753416;60327;15660;1;1646745;1626903;9763401;941;2795;2792;26776;7;167;167;837;1;303304;302508;1512545;173;58844654;59318694;392059112;28292;9744995;9354009;11331;556674;546745;99;11739857;11656787;16412;499516;492107;1923;301;277;9;11975;11823;38;139554;44295;60;142;134;7;368688610;361087993;60730;283371388;276060404;60354;14976516;14936903;2431;2822967;2829475;766;11588280;11603002;10664;295441;294678;154;55018972;54869315;26785;468923;467716;392;0;0;0;87811;36906;18;13115891;13145635;464;53447802;52691279;61628;0;0;0;20976778;20374640;1067;1028637;1021535;58;172334779;79412216;15882450;25239854;5047970;1485688;9348792;57829;11564;19376;3875;388;7301;27;0;115660951;23132188;51814953;10362990;483597;12285601;0;0;0;0;195073167;39014638;77054807;15410960;1969285;21634393;79117310;5500917;84618227;104609;6409;42;0;172334413;17957343
