GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147
Омская область;193201599;193498176;20953;12748150;12709072;127081748;3004;416;885;9727;15;-166423;0;140164587;140397616;702027235;20044;-6718;0;247991;266228;1597369;235;1087;506;2529;1;0;0;97;0;178676;176405;882032;137;28537370;28495682;177027123;8309;10540969;10498373;3359;36514;41758;66;11497523;11443354;5117;232891;232526;1078;180;180;1;449;449;21;13329;2487;11;21;1;2;163254885;163706875;20127;123578376;124119084;19973;2555490;2549385;434;692847;696388;367;10558435;10542127;3144;178316;175932;132;25460529;25411193;7853;220439;211312;162;0;0;0;558;0;0;461077;465851;338;35889965;35734819;21071;0;0;0;6163724;6150782;572;8663381;8666132;62;47838950;22792970;4558592;5273070;1054616;703644;2800332;2553;511;0;0;0;511;2;0;10288527;2057704;7528048;1505609;4590;547505;0;0;0;0;33081497;6616296;12801118;2560225;708234;3347837;12880181;1461515;14341696;336;18;2;0;47838948;461413
Оренбургская область;188558547;188355558;14322;8580508;8356984;83569833;2036;331;325;3575;13;-91683;0;152155341;152152690;760763299;13659;-516;0;1088172;1089682;6538083;280;4141;4141;20701;4;-15;0;0;0;523740;500822;2504116;112;21843443;21780879;136100432;6055;3637407;3638206;2601;174289;174282;21;4482345;4467620;3882;271494;271044;974;0;0;0;1361;1361;34;12726;10007;14;128;3;3;139366616;139564175;13235;111384186;111615055;13120;2391786;2390474;213;425196;424732;182;3702246;3711080;2336;519526;496607;108;20844193;20806814;5697;166643;166636;199;0;0;0;9927;8405;6;3974731;3975541;199;52674006;52279628;14626;0;0;0;7325531;7163630;418;7079926;7080594;54;72347633;17406459;3481289;3814427;762890;368428;2349971;25479;5096;14794;2959;0;2137;6;0;91914677;18382935;85941333;17188264;45276;1149395;0;0;0;0;109321136;21864224;89755760;17951154;413704;3499366;6271203;1581189;7852392;9292;1030;16;0;72347635;3971847
Орловская область;62477206;62623018;8002;8167019;8180331;81803304;1434;241;37;405;1;-107787;0;36914545;36974470;184872611;7416;-835;0;672923;673154;4038896;169;0;0;0;0;0;0;0;0;110224;110434;552169;63;13264466;13243975;88641853;3447;3291119;3272230;1075;3481;3472;13;3454929;3437558;1627;175986;173986;466;8;8;1;2472;2456;22;4314;700;7;0;0;0;57336189;57508413;7578;38699829;38895808;7525;2538037;2531103;221;311684;311032;157;3336740;3334212;1055;108907;108850;55;12186119;12172271;3233;154287;154908;86;0;0;0;0;0;0;95356;95356;50;8000636;7968192;8079;0;0;0;2749861;2767983;270;742631;742631;22;11340500;6697037;1339407;1626625;325323;113625;900459;387667;77533;20252;4050;18965;54518;9;0;1105209;221042;59298;11859;663;208520;0;0;0;0;7802246;1560449;1685923;337182;114288;1108979;1374307;14350;1388657;23161;0;10;0;11340504;92415
Пензенская область;109280644;109373336;12322;12883923;12891299;128906985;1755;218;260;2859;4;-131095;0;73683027;73705132;368519082;11695;3008;0;712254;712875;4277237;330;0;0;0;0;0;0;0;0;51115;51057;255288;115;16356063;16292840;104897540;5772;5466113;5452909;2131;6139;5970;10;5722186;5715901;3210;94376;93357;969;10;8;4;2167;2134;34;6358;1934;14;0;0;1;97057952;97504983;11833;74043403;74471134;11746;2440339;2445123;360;253477;253839;132;5702393;5715586;1979;50670;50613;112;14496752;14497710;5520;70787;70563;141;0;0;0;601;155;2;11093;11426;17;16403461;16038466;12725;0;0;0;4131668;4124230;254;1235735;1235363;42;15949691;10928944;2185789;1354205;270841;86049;1828899;0;0;0;0;0;0;0;0;5440848;1088170;1906663;381332;12072;694766;0;0;0;0;16369792;3273959;3260868;652173;98121;2523665;1842323;654099;2496422;0;0;0;0;15949691;11410
Пермский край;376267352;377068574;35577;12548549;12536634;125366343;3218;5562;5562;61195;11;-409263;0;284593310;285066290;1425332529;34769;-3555;0;2710803;2710762;16262299;745;4811;4811;24055;15;0;0;0;0;1165193;1164488;5822448;274;58329240;58121138;352912121;16425;12118722;12098532;7144;106789;106970;44;17323979;17272862;10236;642674;636425;2354;1147;1147;4;1066;1091;40;9302;2489;18;1384;1384;7;327490190;328593084;34144;248297338;249408509;33866;6875463;6874541;859;1004935;1012712;333;13801217;13804776;6601;1166801;1163149;267;55742983;55737595;15732;585510;581544;317;0;0;0;72644;8653;2;4984315;4989005;255;67608124;67340137;36853;0;0;0;23214046;23165504;477;6161904;6184440;122;344554848;54861960;10972392;13708732;2741745;868622;7362025;82296;16459;40038;8008;20024;-11573;36;0;57421281;11484257;15491213;3098243;48732;8337282;0;0;0;0;112283241;22456649;29199945;5839988;917354;15699307;57691944;3589694;61281638;79080;5612;15;0;344554852;5040708
Псковская область;38623329;38081553;6413;7063964;7070203;70702036;714;7303;7303;80326;6;246503;0;25368773;25099701;125499505;6218;0;0;398164;399076;2394454;153;1951;1395;7386;1;1229;266;1332;1;48206;48206;241027;54;4651381;4661301;29380267;2498;566863;538597;858;1036;1036;11;839524;795276;1334;129545;124328;602;0;0;0;7206;7206;5;1226;518;7;0;0;0;34840260;34392876;6143;27072638;26611276;6081;1799963;1801862;373;618282;618369;246;688946;693730;786;47947;47947;53;4577441;4568853;2329;32983;50775;76;14;14;1;404;15;1;737847;747215;283;4939386;4847618;6519;0;0;0;1919180;1850628;516;231028;231028;9;13593808;4143949;828790;933792;186754;61797;580239;108800;21760;0;0;0;21760;1;0;678255;135651;506095;101219;2635;31797;0;0;0;0;4822204;964441;1439887;287973;64432;612036;997771;188488;1186259;4564;0;2;0;13593808;747631
Ростовская область;461775057;460393446;44888;35744620;35707400;357074003;5772;71953;42280;465074;49;431279;8;304736831;304397398;1526090399;42290;2218;0;4854589;4802147;28812915;881;38;30;2281;5;0;0;0;0;587737;560467;2802434;310;91207975;91007229;581045197;24785;18398401;18311417;8870;481428;481233;110;24134695;23750568;12649;361068;358062;1630;1234;1234;3;3622;3106;76;32839;21766;36;49210;49210;5;424444900;423556711;42768;293486662;293588353;42241;20264318;20246247;2748;2027006;2035912;750;21135489;21105091;8286;583856;556520;294;86144884;85762571;23432;292675;290979;416;162;162;1;4079;3295;9;16146474;15928807;702;61806713;61072956;43922;0;0;0;40050217;39940453;2257;1261570;1330948;75;381712250;56234085;11246815;15168249;3033650;1330665;6882500;351542;70308;291914;58383;98;11827;32;0;40339746;8067947;3074181;614836;60004;7393107;0;0;0;0;96573831;19314762;18242430;3648486;1390669;14275607;15585346;19006957;34592303;206514;7455;27;0;381713188;15885648
Рязанская область;153167611;153949024;16167;11346361;11356404;113564042;2043;1881;4382;48208;22;-298223;0;108777087;109277354;546386776;15362;3808;0;1592519;1552353;9314120;372;230;230;1152;1;0;0;0;0;63039;63039;315188;98;24448313;24426600;149922093;7055;6359339;6381022;2730;19333;22460;31;7231812;7243010;3879;100539;101581;860;0;0;0;3608;3608;23;20346;2403;15;283;283;2;124851877;125902782;15509;91033228;92089000;15386;4640882;4633971;483;540336;540124;188;6806283;6795966;2446;54319;54331;92;21668973;21679151;6741;105962;108349;174;0;0;0;497;470;4;566711;568964;130;30417229;30129769;16496;0;0;0;2741888;2541480;194;186472;186472;24;23427481;8286697;1657342;1655484;331097;175589;1150656;1580;316;58;12;0;304;5;0;7004217;1400846;1376316;275265;57666;1067915;0;0;0;0;15290914;3058188;3031800;606362;233255;2218571;1898175;198943;2097118;1218;154;3;0;26524871;548513
Самарская область;625161552;627545910;66637;23959864;24061427;240614215;5278;3998;3977;43735;24;480759;0;463806519;466389315;2332711283;64812;5488;0;6264210;6259442;37596716;805;14035;14007;77684;12;34;34;285;2;408712;400256;2001276;228;93718108;93828627;580657955;27523;19963871;19914169;10340;202608;203247;90;21526728;21480485;14681;2180451;2157578;1930;822306;822306;7;2946;3480;41;27955;7589;45;-3;3;4;514723739;517195809;64223;382351547;386312983;63798;20712223;19129724;1546;1725259;1731603;511;20581930;20647520;9912;406883;398584;224;87825181;87843193;26017;1126100;1130215;586;53;53;1;4607;4030;6;5273182;5283667;549;104256836;104135888;66120;0;0;0;11858600;11796855;614;9746005;9763915;154;202398318;71869596;14373922;17505593;3501124;1717734;9155064;1017333;203465;562506;112501;1803;89161;30;0;109874451;21974889;47381649;9476327;87335;12411227;0;0;0;0;181744047;36348811;64887242;12977451;1805069;21566291;32618086;2128307;34746393;113378;13889;28;0;202398331;5257170
Саратовская область;195272522;194532035;24132;14247646;14447503;144475028;3051;752;752;8266;11;6959;0;133486267;132817070;664137082;22935;282;0;2915905;2923312;17539864;471;0;0;0;0;0;0;0;0;255761;255836;1279182;138;34707672;34614497;216467607;11966;7721954;7715360;4652;874964;868228;60;9452123;9412926;6435;140167;153812;826;0;0;0;5602;5602;24;5803;2575;17;0;0;0;166328621;165793484;23255;120457365;119936813;23071;3460247;3458631;456;404187;407790;268;8247747;8251340;4347;253475;253549;128;33309481;33290191;11214;171539;171630;189;0;0;0;148;148;6;1045159;1045287;216;31928832;31726957;23934;0;0;0;3962299;3935840;571;1518816;1522830;33;31986200;21115116;4223022;4776689;955338;793484;2474200;843;169;0;0;0;169;6;0;10221249;2044251;986926;197385;9291;1837575;0;0;0;0;31336365;6267273;5763615;1152723;802775;4311775;12858430;370355;13228785;4069;37;5;0;31986198;1041228
Сахалинская область;66241502;65485948;3834;3676100;3641588;36415881;612;18;18;202;3;10244;0;51353956;50947969;254739845;3717;-1727;0;351593;346379;2078280;42;150;150;900;1;0;0;0;0;90672;90314;451569;50;8859511;8562752;53693096;1626;1585518;1566554;535;117511;117511;10;1901136;1883337;1008;1071613;1032070;602;0;0;0;0;0;0;137;2;3;0;0;0;65407457;62112372;3578;52723068;49839665;3524;2337937;2306799;347;1280;5958;13;1995451;2000211;535;90678;90314;49;7210957;6857689;1605;1044586;1008238;203;0;0;0;0;0;0;3649092;3660583;107;20496966;20214174;3934;0;0;0;22317134;19457617;371;179299;180397;13;70987541;8844771;1768954;849358;169871;158706;1440377;4249;850;3610;722;36;92;8;0;3544942;708989;301762;60352;25907;622730;0;0;0;0;12389713;2477943;1151120;230223;184613;2063107;4114099;11691737;15805836;78080;0;3;0;70987542;3634247
Свердловская область;967422353;958546428;86787;32183885;32089051;320891151;5986;45571;45571;501287;41;8161088;0;661472963;667556518;3337811924;84573;87207;0;62309100;55524183;333143576;1786;5861;5831;37183;21;145591;145591;812178;3;1330913;1327189;6630453;435;162883250;162598230;992935955;45864;34401742;34210068;19493;1239702;1240068;204;39237535;39053081;25905;1291407;1261554;4649;76;76;4;21561;21533;115;170344;75991;78;0;0;0;882000623;874303128;84009;642241269;634813325;83346;33780814;33616272;3334;10159178;10187283;974;35765280;36015001;17692;1310038;1306267;422;157821700;157436245;44089;844452;831126;1040;29936;29539;6;49314;9278;19;14658096;14523914;883;126659312;125465160;88397;0;0;0;50655463;50009856;1105;6522197;6519462;219;494176552;141159099;28231816;37044553;7408911;4812653;16010252;54744;10949;12024;2405;32;8512;30;0;394358220;78871643;209270642;41854130;494605;36522908;0;0;0;0;535517319;107103459;246315195;49263041;5307258;52533160;45292024;4440444;49732468;174737;7826;49;0;495879691;14222284
Смоленская область;112104230;111840465;15614;7972861;7941122;79411223;1913;-736;2453;26994;19;586411;0;76297919;76924743;384657006;14727;25693;0;2507871;2392643;14355862;429;0;0;0;0;0;0;0;0;58689;57585;287919;77;20792114;20676782;126937471;6091;2230898;2213809;2066;486961;486270;55;3865102;3839193;3138;309905;306624;1457;0;0;0;286;286;15;8032;4429;29;0;0;0;103608347;103708483;15568;64037824;64261405;15167;4256888;4376513;770;12441881;12317691;3567;2466134;2467274;2011;56897;55501;77;19930030;19812065;5725;280910;280460;425;0;0;0;5565;2917;8;4295699;4173588;1282;11956447;11849587;14125;0;0;0;7644847;7578416;3466;77339;77339;7;77194366;9158840;1831772;1373442;274689;177807;1379276;17987;3598;0;0;0;3598;6;0;4265312;853064;670388;134079;9426;709559;0;0;0;0;13424152;2684836;2043830;408768;187233;2088835;43584649;4635305;48219954;1830364;161277;250;0;77194364;4167074
Тамбовская область;90155914;88775996;8600;17781225;17813241;178130152;2086;1055;2190;24086;8;1006596;0;48559673;48166951;240837833;7912;-937;0;178649;210334;1262008;128;-45;0;753;0;0;0;0;0;84433;83431;417153;95;15814487;15796170;117386447;3436;6078612;6046266;1172;434473;434486;13;6730759;6695925;1849;67620;66593;869;12;12;3;2333;2333;29;8236;3908;5;-1;0;1;85873680;84651131;8195;63563343;62390696;8143;1497209;1497693;108;271595;271571;73;5602669;5602348;1091;83717;82657;93;14802891;14754569;3228;53359;52866;145;0;0;0;5038;2029;1;457270;457270;22;9818917;9670507;8990;0;0;0;5920224;5922650;205;315395;316415;26;17356054;7477343;1495472;1068819;213763;225168;1056541;7275;1455;70;14;0;1441;4;0;10397733;2079547;8586125;1717225;3236;359086;0;0;0;0;17875076;3575019;9654944;1930988;228404;1415627;1700621;199536;1900157;9126;0;4;0;17356053;455529
Тверская область;120605517;120282366;15251;6955028;6932042;69320299;1610;1596;1596;17551;14;121285;1;89213585;89108769;445542024;14788;21560;1;3203033;3168738;19023100;351;1063;40;751;4;8;8;41;1;79221;79024;395122;110;18192348;18191301;114230525;6720;2168931;2135952;2347;25519;25518;45;2817517;2774446;3632;211546;210483;1845;-68;18;1;346;346;19;2148;959;12;5;5;1;105586698;105460580;14283;79250893;79213484;14166;5685092;5684170;493;328291;328189;201;2461106;2434200;2196;78722;78525;108;17597714;17537865;6370;181995;181994;218;3;3;1;387;298;2;1134401;1131067;160;18017677;17824090;16479;0;0;0;3917104;3910746;279;820574;823565;42;25764969;13325165;2665034;2034587;406917;201788;2056329;826;165;0;0;0;165;1;0;8713535;1742707;2549603;509920;5816;1226971;0;0;0;0;22038700;4407741;4584190;916837;207604;3283300;2050374;2576772;4627146;410;0;1;0;25764967;1129662
Томская область;182016275;182179236;12698;10543743;10541448;105414473;1333;5841;5841;64242;6;-461;0;142698771;142809223;714051021;12337;22;0;527542;516724;3100338;210;1304;1304;6520;2;726;726;3628;2;71822;71572;369801;81;24651521;24651711;148605785;5354;2867555;2927212;2212;189976;189970;7;3514730;3575762;3236;97816;97603;1173;0;0;0;1150;1150;9;13350;5458;6;98;100;1;145137087;145363733;12158;115987502;116176614;12076;1888336;1880913;241;123087;120706;94;2619997;2679246;2003;71812;71562;80;24365630;24364019;5090;78070;68017;150;29;29;1;0;0;0;522359;570776;68;38200154;38117475;13325;0;0;0;1801014;1763256;274;4505252;4505337;52;17842186;22754673;4550933;3708558;741712;323778;3485443;7348;1470;4875;975;975;-480;5;0;7087552;1417511;374857;74971;10099;1332441;0;0;0;0;29842225;5968444;4083415;816683;333877;4817884;4195431;848664;5044095;1027523;54613;9;0;18085272;569486
Тульская область;218792804;216638231;18925;14738251;14745958;147485129;1889;108;105;1164;7;1456702;0;148184210;147453148;737275623;18300;153;0;1487086;1485987;8912531;293;6745;7955;50728;3;10;10;95;1;256994;227942;1139708;183;37755311;37766676;250911153;8484;12892910;12853842;3148;698368;697807;41;14911629;14897526;4489;594927;593641;1296;76;76;2;395;567;31;27662;12017;19;327;340;2;209956127;207902305;18081;151366773;149710292;17938;9282599;9300192;631;623479;622715;252;11500063;11292018;2920;249442;220389;182;36370369;36197584;8141;559218;554457;256;215;215;1;96;0;0;1136529;1135153;119;26837040;26723438;19405;0;0;0;18511357;18471743;357;2490469;2274307;86;183723331;23796469;4759297;7315309;1463059;528723;2767515;6228;1246;6123;1225;337;-316;12;0;6118284;1223655;409435;81887;7439;1134329;0;0;0;0;29914753;5982952;7724744;1544946;536162;3901844;7661317;2198796;9860113;156908;0;10;0;183723331;1134579
Тюменская область;365562064;366073661;20736;7990067;7986681;79868700;1970;594;594;6526;21;-332364;0;273070591;273429092;1367230408;19995;-15309;0;1076657;1096748;6580491;395;14;14;1856;3;1;1;4;1;431256;430364;2151815;133;65262124;65190867;394955521;9317;16573149;16467695;4189;219260;219211;39;18079018;17923362;6161;3796492;3761828;1452;3;3;1;1005;1005;23;9150;543;3;127;3;1;311237393;312267050;19784;223860549;225257716;19606;6419036;6143228;282;213619;211920;108;12687050;12790520;3944;425144;424230;127;63740458;63564195;8812;3889264;3871209;288;-3;0;0;0;0;0;295971;297591;65;86206767;85603772;21230;0;0;0;28427189;28294353;412;12573956;12490848;55;122619594;50454075;10090813;9935714;1987143;1186036;6917634;69546;13909;13177;2635;296;10978;21;0;58664389;11732879;11988098;2397620;596678;8738581;0;0;0;0;109118464;21823692;21923812;4384763;1782714;15656215;40132893;5967314;46100207;0;0;0;0;122619593;267023
Ульяновская область;110339298;109029134;14962;6847172;6865567;68655666;1517;364;479;5274;11;631266;0;79872511;79566660;397833022;14404;2646;0;1306952;1305143;7830525;280;646;646;3374;7;134;134;669;1;45659;45284;226420;116;16379522;16387751;102878470;6333;4401911;3962107;2325;62748;62748;17;5252922;4786133;3528;130346;129623;1071;267;267;3;465;465;6;4521;396;10;-85;0;0;97634033;96508007;14370;70416323;69269761;14265;5939465;5947644;329;347419;316151;147;3837957;3868217;2239;44888;44246;109;16936134;16960755;5922;111691;101080;213;64;64;2;16;0;0;533945;532989;72;14567365;14374161;15374;0;0;0;2356034;2270879;212;330704;113962;17;17378852;21028610;4205723;4975260;995052;454920;2755751;8035;1607;85;17;0;1590;5;0;4060411;812081;159168;31833;5755;774493;0;0;0;0;25089021;5017804;5134428;1026885;460675;3530244;1505351;10727418;12232769;0;0;0;0;17378849;532330
Челябинская область;556345380;554700985;60421;21580085;21550839;215508483;3388;8443;8443;92859;29;2194509;0;407256623;408053997;2040244222;58838;-57869;0;7487291;7506028;45036215;1148;-58026;4224;22470;15;-120;0;82;1;567777;565146;2825724;328;99878531;99718930;617982037;29174;15159049;15044157;11898;415971;288840;111;17430566;17240487;15857;714899;715650;2899;359;359;5;8214;8207;79;55365;29949;89;24;60;8;503376461;502037737;58494;366523533;365579498;58099;16768105;16774568;1744;8944841;8950458;737;14046030;14002222;10873;467777;464056;314;95788173;95393358;27721;589141;590877;553;276253;276239;5;4359;2155;13;4524369;4535223;911;65760591;65441282;60746;0;0;0;16635145;16514482;1563;3178846;3804107;126;194944168;66718124;13343627;15831448;3166290;863593;9313744;73144;14629;122723;24545;3468;-13384;41;0;144439587;28887917;57056022;11411204;119729;17356984;0;0;0;0;211157711;42231544;72887470;14577494;983322;26670728;11371108;1990034;13361142;447913;20093;74;0;195018851;4513002
Забайкальский край;35601668;35482808;3427;2302373;2298678;22986793;616;308;438;4817;8;177087;0;27392509;27374622;136873601;3235;-42;0;53750;52916;317298;95;202;266;1488;3;0;0;0;0;298465;307796;1538981;55;4499820;4490814;27080021;1103;730642;708395;424;8970;8970;4;877220;853863;776;178996;177851;1289;-557;0;0;-654;105;5;8503;82;2;-136;4;1;31780460;32304601;3014;25129403;25071609;2959;608875;1184436;238;2003;2003;12;1225027;1230517;338;247703;257034;54;4418294;4409962;1054;149155;149035;111;0;0;0;8464;0;0;6213714;5782255;175;6605566;6540164;4249;0;0;0;8866560;8918720;486;189090;189090;17;66810945;8142254;1628452;1276148;255231;30668;1342553;14556;2911;5111;1022;0;1889;9;0;14242605;2848521;57315;11463;17432;2819626;0;0;0;0;22384859;4476973;1333463;266694;48100;4162179;8225362;7500;8232862;3236;54;5;0;66810944;5779314
Ярославская область;187131901;187194356;25592;6221994;6216505;62164992;1859;0;0;0;0;308229;0;138385901;138660261;728047777;25017;66;0;692717;693311;4159021;356;348;348;1768;5;223;223;1113;3;132395;132399;661993;121;33102353;33200397;201308855;11157;6996574;6985645;3936;308835;308742;66;8294001;8281423;5792;222078;220596;966;207;207;4;11008;11009;35;1806;916;9;0;0;0;168178635;168622407;24451;116368847;116790977;24291;5812453;5819436;649;285358;278480;283;13521876;13539946;3731;131994;131990;121;31896018;31874615;10620;185809;186035;270;54;88;1;200;0;0;701562;704648;186;29682690;29320349;25774;0;0;0;11211672;11212870;446;1314885;1314909;32;54379570;36496795;7299359;5990634;1198126;731264;5369969;16613;3323;26;5;0;3318;9;0;8677900;1735581;3083450;616690;15405;1103486;0;0;0;0;45174695;9034940;9074084;1814816;746669;6473455;101153688;292148;101445836;303507;19388;25;0;54379567;701364
город Москва;12313453048;12176177656;478476;469662749;470722121;4707590377;38264;1295821;1251956;13771003;203;133230001;1046;8587107311;8585072821;42925754577;464674;1690195;0;52352783;51296277;307779199;5693;1491783;1683702;8544570;88;840659;840201;4216301;109;17419835;12348579;61744761;756;2452478882;2450309643;14863729551;243917;410860267;411731405;83807;119553423;118571490;882;599631609;598547756;116090;70332224;64586701;22665;159609;158086;201;10902;15614;108;2474560;1772485;880;2115;2162;40;11043026280;10845031455;462879;7219245695;7084718043;457640;893750176;893241181;43627;54507201;54467657;7894;454022006;458332148;77035;17571199;12515208;715;2297822143;2293765736;234863;50305945;50226406;12082;779450;764260;118;674643;439031;116;621555015;624357272;5223;1677566115;1668659976;473179;71369553;71006651;3673;898430089;896333959;4912;211443056;210959232;613;8065492212;2529840201;505968044;783821788;156764355;68288540;280915149;22940920;4588184;10991205;2198241;262825;2127118;535;0;103382258004;20676451601;92482203579;18496440714;84986026;2095024861;107717717;21543543;587;0;106019815922;21203963188;93266025367;18653205069;153274566;2397483553;7394177148;85370687978;92764865126;33042303;1396589;302;0;8065494744;622173260
город Санкт-Петербург;3394989644;3365295924;218772;166881782;167276360;1672762230;14999;23209;23913;263057;82;71170230;6;2414375970;2450070992;12253619213;213449;39015;0;13354117;14462540;86760989;2839;142498;144556;772183;34;319197;317168;1585841;11;1803437;1787432;8934808;349;629165247;633125153;3840782796;114834;86213519;85784370;44648;2347253;2192606;346;97610547;96861780;59386;10296783;10261220;7742;19535;19502;44;2143;2456;89;167849;105340;211;3353;3627;22;2987439880;2966223577;213473;2150774478;2095552861;211582;174338489;175476768;16504;7144678;7195487;3230;103395963;104454625;41436;1802539;1784173;335;572476655;574413932;110152;8466419;8473342;3162;95521;95829;10;34861;8011;29;75908366;75920211;2884;488985104;489209829;217040;0;0;0;148402306;146744792;3181;30501125;30380998;252;1024206528;572596365;114519277;219481819;43896369;11277803;59345105;1822502;364501;1196505;239299;7776;117426;161;0;3411069628;682213925;2568682532;513736501;8863484;159613940;0;0;0;0;3983665993;796733202;2788164351;557632870;20141287;218959045;197257624;216717687;413975311;898693;31652;124;0;1024206533;74738936
Еврейская автономная область;3993389;3986485;477;409637;409628;4096279;86;391;391;4298;3;75;0;2727061;2724631;13623156;438;1;0;125;120;722;4;0;0;0;0;0;0;0;0;52818;49579;247895;8;674605;673724;4083748;159;120796;120780;51;0;0;0;128678;128411;100;16184;16094;441;0;0;0;102;102;3;0;0;0;0;0;0;3281191;3287114;459;2422550;2431252;444;120910;121410;56;893;893;3;109779;109723;43;52818;49579;8;563284;563299;142;10957;10957;22;0;0;0;0;0;0;508691;500153;21;580878;577257;856;0;0;0;355224;355821;81;0;0;0;7233403;462685;92538;110125;22026;6861;63651;39;8;0;0;0;8;2;0;42251;8450;758;151;0;8299;0;0;0;0;504936;100988;110883;22177;6861;71950;113972;64;114036;0;0;0;0;7233403;505937
Ненецкий АО;6671013;6622617;212;94262;93467;934674;34;0;0;0;0;4365;0;4990585;4949152;24745481;205;0;0;48475;48475;290853;8;0;0;0;0;0;0;0;0;3660;12556;62780;21;1455372;1456749;8756961;98;37206;37192;37;0;0;0;74293;62215;67;1476;1476;14;0;0;0;3;3;2;0;0;0;0;0;0;9434296;9444396;191;7986446;7988166;185;0;0;0;0;0;0;38880;38041;36;4331;12384;20;1404525;1405480;92;327;327;9;0;0;0;0;0;0;2593171;2593131;12;1003088;988400;199;0;0;0;6359505;6392395;27;2682323;2682325;8;34446030;203582;40717;147007;29402;18206;-6891;0;0;81633;16327;0;-16327;0;0;3422205;684441;10307;2062;7882;674497;0;0;0;0;3625787;725158;157314;31464;26088;667606;472;291375;291847;0;0;0;0;34446030;2593116
Ханты-Мансийский АО - Югра;737573924;737240804;15735;3001313;2997637;29976405;789;5544;5540;60929;12;12307;0;617814788;617590502;3087965578;15487;470;0;520050;528466;3170794;292;607;607;2251;2;0;0;0;0;24128315;24125774;120628877;160;67756331;67679141;411617630;5225;23958220;23945869;2305;31309;26289;20;25146015;25108904;3756;625217;619570;1609;62;0;0;20;20;8;1226;956;5;6;6;2;499362339;499334010;14608;393805593;393867929;14509;2159079;2150757;146;313905;313905;62;25773467;25703977;2069;12882174;12879460;154;63960104;63942942;4985;469748;473584;414;0;0;1;449;449;5;35155021;35152027;78;218230502;217946332;16682;0;0;0;13791102;13583734;241;44417727;44438894;110;987197255;37911270;7582252;11512798;2302561;932933;4346758;28275;5655;31021;6204;28120;-28669;11;0;54159944;10831989;17307345;3461470;60738;7309781;0;0;0;0;92071214;18414241;28820143;5764031;993671;11656539;6493334;4834459;11327793;1226;0;1;0;988727044;34687183
Чукотский АО;7437362;7422954;293;208726;208693;2086929;61;466;466;5125;1;6242;0;4950748;4946467;24732338;283;0;0;5314;5314;31882;6;0;0;0;0;0;0;0;0;225236;224859;1124294;18;1219179;1210136;7349623;111;712674;712730;43;0;0;0;821451;827296;91;843238;842900;707;0;0;0;29;29;2;0;0;0;0;0;0;10186657;10182971;287;7324753;7327233;284;27860;27670;4;2770;2770;1;732378;732457;33;225236;224859;18;1330983;1325303;109;542124;542124;80;0;0;0;0;0;0;2856579;2856579;16;1954312;1954916;849;0;0;0;6715813;6727507;124;87320;87747;9;58647195;354623;70923;103327;20666;62310;-12053;182;36;150;30;18;-12;2;0;365754;73151;8927;1785;8927;62439;0;0;0;0;720377;144074;112254;22451;71237;50386;196944;49708;246652;0;0;0;0;58646137;2856580
Ямало-Hенецкий АО;558815921;558743558;3246;507573;506026;5060258;236;899;899;9892;4;174965;0;450200689;450338522;2251701764;3177;1962;0;60724;57554;343928;90;159;41;207;1;0;0;0;0;190690;178727;893633;89;81113028;81090231;486911471;1287;26104946;26132390;578;0;0;0;26458564;26469516;877;10993369;10986260;683;0;0;0;634;396;5;0;0;0;-247;0;0;404738850;404691516;2883;290554137;290954026;2856;1517284;1516453;39;960;1018;4;36224299;36220428;550;191800;179538;88;65351116;65033443;1211;10797397;10788324;216;0;0;0;0;0;0;8733244;8733266;26;227650565;227555053;3675;0;0;0;71488750;71220793;94;58210607;56571051;79;453083296;14536182;2907236;7813544;1562709;237770;1106757;34678;6936;49990;9998;125;-3187;18;0;28229619;5645923;2688441;537688;5221;5103014;0;0;0;0;42765801;8553159;10501985;2100397;242991;6209771;51461017;288904;51749921;17743;0;3;0;453083295;8733130
