GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49
Белгородская область;92 424 899;56 399 267;84 871 276;50 706 750;456 912;139 749;39 187 864;74 089 315;8 195 798;5 890 498;2 276 449;4 418 381;1 192 105;875 833;816 721;1 235 155;0;0;1 459 659;3 183 266;1 036 241;802 357;355 319;133 495;26 185;5 823;95 566;36 640;49 799;15 082;13 041;1 869;5 356;25 048;4 723;4 508;2 211;7 726;1 086;1 293;72;14;36;124;117;41;17;20;56;30
Брянская область;65 182 697;34 206 973;59 300 025;30 418 772;144 406;31 775;28 433 603;65 502 872;5 999 024;4 077 670;1 654 545;3 902 685;898 434;617 458;610 476;1 132 185;0;0;1 044 066;2 770 392;774 286;593 288;239 630;52 467;11 004;4 789;76 613;30 764;11 271;0;0;0;3 314;18 607;3 190;2 056;1 204;4 834;650;542;34;0;34;16;18;4;16;16;39;16
Владимирская область;99 144 662;43 501 091;91 453 046;38 551 016;252 795;70 383;47 137 580;92 836 537;8 668 236;4 933 529;2 664 187;5 411 051;1 262 458;738 780;949 416;1 454 259;0;0;1 714 747;3 956 838;1 101 957;706 714;380 518;62 495;13 125;4 213;187 603;154 788;38 651;22 708;24 392;5 760;6 835;21 582;5 669;3 029;2 702;5 758;1 386;826;100;14;426;573;216;72;16;16;44;15
Воронежская область;170 816 332;85 173 775;157 290 639;76 613 820;668 170;208 956;85 066 052;161 301 934;14 905 501;8 744 749;5 097 738;9 726 565;2 260 010;1 307 627;1 745 502;2 479 828;0;0;3 352 237;7 246 737;1 946 222;1 184 066;692 972;233 491;28 306;21 510;128 539;18 791;12 235;21 857;1 912;234;7 769;36 045;7 901;4 916;2 596;11 788;1 702;1 399;24;2;36;18;22;24;64;56;109;55
Ивановская область;145 233 774;88 791 643;130 723 117;74 865 429;393 495;146 766;23 074 028;68 672 203;15 421 512;13 683 328;1 335 036;3 668 804;1 617 897;1 259 374;427 700;938 617;0;0;907 336;2 730 107;1 371 295;1 162 473;560 056;171 086;25 719;11 761;58 114;173 634;654 690;588 443;301 827;200 324;4 180;14 250;7 156;4 638;1 697;3 884;1 714;1 312;408;147;150;466;733;515;10;20;95;63
Калужская область;78 085 233;41 967 276;72 115 689;37 197 572;201 289;65 341;34 928 637;71 050 048;7 223 719;4 884 949;2 067 546;4 268 783;951 477;632 594;688 642;1 110 519;0;209;1 378 904;3 157 798;801 564;583 643;339 103;89 541;5 474;1 306;48 874;6 354;119 852;101 435;6 134;501;4 889;17 628;4 309;2 626;1 987;4 598;1 044;705;6;1;22;5;258;116;18;14;43;30
Костромская область;63 862 767;33 452 960;58 664 855;29 774 399;762 592;167 177;24 273 259;45 269 363;5 265 526;3 724 618;1 471 287;2 701 162;769 663;556 884;501 597;817 239;0;0;969 690;1 883 923;675 395;539 916;260 347;45 204;57 118;15 397;22 264;14 877;24 083;7 320;8 959;231;3 153;9 755;3 759;1 879;1 399;2 076;987;441;34;4;25;57;64;23;17;8;35;19
Курская область;45 774 180;40 666 525;42 040 137;36 232 873;107 504;41 755;22 763 966;57 481 747;4 142 381;4 629 161;1 363 212;3 431 446;623 775;695 098;470 801;964 694;0;0;892 412;2 466 496;548 580;662 184;183 270;62 915;10 406;3 273;22 374;12 185;13 870;5 728;30 342;1 993;3 133;16 387;3 089;2 226;1 308;4 605;828;551;101;12;21;34;22;14;12;15;27;29
Липецкая область;76 443 865;38 233 109;69 426 681;33 191 241;250 859;191 130;18 488 841;47 632 659;7 468 168;5 163 586;1 075 043;2 834 038;1 006 181;635 852;367 394;804 362;0;169;707 648;2 029 507;864 871;604 589;310 461;59 511;14 226;8 748;56 382;14 416;109 668;118 747;18 736;3 529;2 291;15 567;4 501;3 530;750;5 109;963;1 170;57;13;28;38;262;246;14;11;38;16
Московская область;678 675 552;280 661 831;617 197 907;245 135 910;2 016 764;972 029;473 009 413;1 135 454 268;68 068 748;36 595 756;28 522 065;68 206 723;10 240 141;5 493 496;9 024 550;15 326 346;58;3 687;19 497 189;52 871 919;9 263 694;5 234 147;2 179 798;530 442;141 825;55 903;368 462;119 605;135 779;18 892;533 095;32 874;52 567;197 533;33 419;18 238;22 973;45 575;8 597;5 059;672;56;171;76;435;90;301;314;441;162
Орловская область;39 501 890;23 423 343;36 228 293;20 489 657;201 797;59 531;17 937 267;35 511 627;3 424 427;2 955 206;1 040 589;2 081 971;480 178;432 928;362 550;625 971;0;0;678 038;1 456 000;399 542;409 645;181 265;40 454;16 279;4 500;50 550;19 308;32 751;7 375;40 237;9 174;2 479;10 998;2 330;1 720;1 062;3 226;532;464;131;16;31;30;66;17;10;10;22;9
Рязанская область;75 281 100;34 262 780;70 083 154;31 169 097;238 647;53 624;40 861 363;76 119 228;6 213 588;3 566 204;2 376 839;4 361 742;901 963;495 041;811 339;1 144 012;166;479;1 565 334;3 217 251;770 987;458 780;293 716;66 767;11 685;1 322;112 481;183 229;33 098;32 005;51 541;6 950;5 089;17 334;4 159;2 261;1 814;4 896;939;628;99;9;138;800;132;72;19;21;49;11
Смоленская область;96 729 231;53 737 494;82 268 181;41 002 995;615 216;175 488;17 304 064;34 463 183;15 996 616;12 804 628;975 489;2 030 427;1 173 947;907 396;336 684;536 983;0;0;638 804;1 493 236;975 717;819 732;489 762;149 087;21 113;13 848;69 338;29 650;1 129 193;987 737;17 848;7 943;2 773;8 893;6 114;4 106;1 065;2 294;1 549;1 216;58;24;50;38;2 923;1 986;6;12;54;25
Тамбовская область;41 480 103;24 951 021;38 074 787;22 375 552;110 594;41 055;23 753 548;43 064 984;3 519 328;2 660 793;1 376 409;2 468 728;524 399;394 098;487 434;729 432;0;314;888 975;1 738 982;462 784;371 735;141 568;50 075;15 408;1 293;61 781;59 027;7 849;19;61 427;7 402;3 315;13 998;2 752;1 739;1 292;4 103;825;471;144;14;73;142;26;2;11;10;26;12
Тверская область;105 834 358;30 346 245;97 654 223;26 785 344;360 652;35 592;42 958 158;85 405 677;9 086 198;3 711 479;2 568 225;5 034 509;1 373 846;553 653;946 678;1 377 852;0;0;1 621 547;3 685 577;1 198 436;528 721;409 680;51 507;34 705;2 990;42 768;70 640;5 757;7 244;0;0;6 480;18 488;6 093;2 218;2 616;4 246;1 443;553;0;0;69;269;29;15;13;12;69;10
Тульская область;83 676 391;41 959 240;77 374 368;37 466 962;2 477 852;192 251;53 064 746;115 756 257;7 437 253;4 676 534;2 721 475;5 744 590;1 017 049;662 294;897 184;1 535 247;0;0;1 824 290;4 209 344;881 099;610 705;364 063;106 391;11 997;4 969;496 089;927 554;90 799;45 972;300 034;628;6 297;23 221;4 730;2 774;2 315;5 895;1 073;784;343;8;371;1 568;193;103;21;32;34;24
Ярославская область;113 585 823;32 876 740;103 187 216;29 311 633;795 440;148 011;50 381 621;89 056 862;10 983 495;3 707 321;2 843 605;5 134 758;1 484 123;523 566;947 249;1 353 747;0;0;1 896 357;3 781 014;1 285 932;476 949;440 972;77 661;36 905;6 831;203 913;217 825;152 399;32 714;15 050;4 304;7 219;18 278;6 789;2 766;2 654;4 424;1 633;767;35;8;239;630;185;67;18;17;52;14
г.Москва;2 279 850 544;554 821 945;2 069 133 173;391 406 438;8 170 269;2 500 933;1 532 484 183;2 536 359 299;241 156 746;59 615 215;93 673 776;153 225 399;36 783 943;8 965 708;28 130 404;30 460 694;219 706;626 379;65 323 666;122 137 965;34 134 926;8 579 550;6 556 011;805 204;533 487;114 649;19 980;218 692;117 654;64 188;24 130;2 324;110 808;312 466;92 876;25 430;35 620;53 843;19 427;6 041;196;17;15;147;523;146;1 064;861;1 732;261
Республика Карелия;87 657 977;13 789 860;80 848 289;11 939 488;203 986;81 570;26 007 390;35 697 551;8 486 090;1 960 918;1 434 353;2 020 067;1 031 439;238 802;485 654;635 333;0;0;948 699;1 384 734;852 502;215 658;427 102;42 268;8 802;3 256;143 607;110 115;205 046;53 517;13 390;662;4 612;10 046;4 956;1 405;2 386;2 530;1 425;395;51;8;149;266;3 402;929;11;4;40;3
Республика Коми;50 464 712;19 135 373;45 239 349;16 103 330;116 583;112 492;34 766 808;56 447 824;5 668 065;2 965 377;1 064 769;1 724 001;434 712;240 814;450 912;753 166;0;108;613 856;970 727;298 213;196 342;314 948;80 171;3 551;1 419;1 033 449;1 666 010;354 851;194 239;7 474;425;4 675;12 325;3 204;1 277;1 783;2 862;783;333;30;4;2 884;9 413;2 407;930;7;6;13;9
Архангельская область;79 701 981;32 722 934;73 575 579;29 198 063;309 659;110 677;50 080 877;72 896 140;6 784 755;3 575 191;2 505 853;3 930 154;974 357;514 697;737 445;1 239 523;0;0;1 768 409;2 690 630;815 629;458 072;377 017;96 026;17 954;7 558;550 097;419 590;47 639;22 915;29 549;4 500;5 744;17 289;4 423;1 861;2 464;3 630;1 077;380;153;7;232;248;99;33;31;13;39;17
Вологодская область;127 761 211;42 773 229;119 421 105;38 545 544;358 501;159 781;33 516 268;56 247 859;9 726 275;4 376 953;1 852 982;3 123 704;1 353 957;619 473;606 353;963 842;0;0;1 246 629;2 159 892;1 099 064;549 016;610 950;127 823;12 261;6 274;182 553;261 842;100 077;36 758;0;0;6 083;16 653;7 880;3 622;2 782;4 591;1 915;1 149;0;0;191;364;179;60;14;15;68;16
Калининградская область;278 843 080;73 566 165;252 702 477;65 317 252;1 745 877;240 611;69 306 938;98 941 386;28 376 835;8 563 226;4 216 460;5 919 266;4 318 807;1 289 056;1 075 950;1 561 206;0;0;3 140 510;4 358 060;4 054 065;1 240 228;667 972;102 915;97 053;11 227;27 928;20 512;8 863;1 222;28 995;14 156;7 808;20 911;13 885;4 879;3 109;5 750;3 625;1 596;78;14;22;16;21;5;60;26;164;49
Ленинградская область;174 804 276;208 399 409;141 181 274;134 840 021;453 201;708 560;36 729 702;115 473 072;35 696 717;73 679 715;2 004 021;6 757 706;1 899 010;3 849 797;686 686;1 790 800;0;0;1 317 335;4 966 802;1 524 461;3 607 992;868 727;419 896;18 228;19 309;229 328;120 578;3 207 553;7 038 637;68 366;82 031;6 273;28 970;10 513;12 785;2 981;6 462;2 789;2 929;175;77;96;233;7 311;9 437;25;22;81;65
Мурманская область;31 967 932;7 364 926;28 716 206;5 962 735;96 403;12 734;91 077 504;190 645 826;3 846 465;1 497 218;1 095 365;2 368 483;229 885;81 733;431 423;1 003 464;0;0;663 942;1 364 711;152 990;63 058;220 662;38 933;3 778;238;4 405 016;9 118 656;290 583;116 994;15 072;15 828;5 983;13 296;2 158;615;2 042;2 253;766;150;12;2;3 793;9 976;1 123;374;27;54;13;3
Новгородская область;44 305 986;14 756 182;41 057 047;13 215 915;189 804;30 912;17 399 429;29 647 107;3 507 120;1 660 272;1 030 099;1 737 506;513 407;233 479;350 443;534 437;0;0;679 655;1 203 068;428 699;215 623;199 480;38 455;14 276;749;24 668;27 206;14 764;6 470;14 162;9 457;2 348;8 438;2 744;1 330;746;1 873;581;351;47;13;28;55;71;31;7;3;24;3
Псковская область;50 348 150;15 284 658;46 243 000;13 094 503;325 109;48 820;18 856 705;29 218 601;4 591 248;2 190 568;1 116 066;1 706 017;598 929;271 393;398 101;493 606;0;0;717 965;1 212 411;511 797;251 879;223 519;38 150;7 170;2 202;28 756;5 530;77 770;51 195;43 629;5 133;2 407;8 342;3 076;1 315;949;1 804;728;324;78;6;25;8;278;89;9;6;18;6
г.Санкт-Петербург;1 452 836 563;584 486 101;1 206 984 268;421 446 511;4 234 679;2 374 403;339 433 880;717 690 654;260 882 886;167 606 635;20 013 596;42 974 714;19 299 817;11 971 507;6 471 845;10 057 968;0;26;13 541 516;32 917 618;16 767 813;11 355 294;5 644 265;1 170 301;148 715;69 999;660 616;164 476;18 681 884;12 827 303;162 601;156 409;31 520;124 775;61 688;35 303;8 995;20 486;10 436;7 308;600;172;305;239;48 260;26 272;220;154;849;162
Ненецкий автономный округ;693 135;247 476;621 754;206 450;1 729;330;9 977 843;24 382 620;73 492;34 421;107 612;305 246;7 731;4 922;42 691;122 202;0;0;64 921;183 045;6 345;4 600;3 172;668;72;17;492 309;1 163 911;3 432;953;3 088;0;496;1 157;58;18;162;124;18;6;16;0;327;963;20;8;2;6;1;0
Республика Дагестан;39 274 733;47 608 009;31 215 227;36 525 118;125 158;58 557;26 875 008;112 709 133;8 620 545;11 175 444;324 674;1 322 156;457 270;598 913;103 840;593 292;272;65;220 562;728 845;404 877;546 256;124 025;107 401;59 231;2 557;1 285 946;5 458 443;784 757;1 028 546;5 153;16 099;3 539;19 257;3 590;3 578;1 346;3 850;1 273;758;37;2;2 113;14 568;2 172;2 685;4;20;22;22
Республика Ингушетия;4 398 049;1 828 420;4 037 805;1 696 130;130;60;5 161 611;8 480 342;379 720;133 913;106 404;181 654;53 622;20 945;24 993;69 669;7;0;81 404;111 986;48 059;19 186;10 616;2 582;20;0;203 943;326 668;429;120;1 575;0;1 104;1 158;651;212;623;333;314;73;2;0;462;705;102;38;1;4;2;2
Кабардино-Балкарская Республика;35 066 047;27 153 676;31 617 436;24 475 387;95 791;52 684;5 629 253;13 979 574;3 739 395;2 899 284;339 606;830 601;489 063;363 978;108 400;218 002;0;0;231 206;612 599;449 105;338 957;90 688;60 155;3 033;4 317;0;5 761;70 476;72 986;6 089;171;1 358;5 335;2 561;2 558;607;1 451;797;636;16;3;0;2;1 394;1 684;2;3;13;5
Карачаево-Черкесская Республика;12 308 873;14 356 367;11 164 251;12 941 875;72 797;6 436;6 870 255;20 347 492;1 207 463;1 424 713;404 342;1 185 600;176 014;204 845;105 458;319 699;869;161;298 015;865 739;165 331;200 246;30 560;11 492;10 712;390;14 210;38 665;6 951;11 496;1 770;1;1 255;5 110;918;1 064;644;1 781;331;313;16;1;19;78;29;21;6;3;3;7
Республика Северная Осетия - Алания;32 532 857;17 590 017;30 001 905;16 121 345;19 842;5 563;11 019 735;18 119 059;3 072 880;1 719 804;657 737;1 095 028;466 038;256 927;202 718;253 996;-38;0;455 058;841 032;445 083;249 283;48 834;16 980;2 154;423;12 773;2 181;1 477;1 163;410;1 623;1 958;6 683;1 834;1 248;907;2 600;572;390;5;1;6;8;2;7;7;6;24;8
Чеченская Республика;5 643 024;6 900 323;5 852 231;5 646 895;16 973;7 115;38 064 371;264 606 136;581 819;1 256 727;453 900;2 942 147;40 890;77 426;123 917;1 130 762;0;472;329 983;1 810 912;31 881;63 555;34 210;26 636;5;93;1 838 807;12 994 560;40 066;105 356;1 344;0;2 147;11 194;497;352;683;2 234;239;88;15;0;1 433;8 774;185;228;6;53;5;6
Ставропольский край;131 654 239;129 965 063;120 550 729;113 829 712;266 201;114 036;57 864 853;181 684 917;13 187 182;16 247 810;3 524 225;10 852 932;1 838 358;2 192 249;1 211 388;2 876 398;0;0;2 312 796;7 976 484;1 645 408;2 082 151;420 481;215 513;22 822;9 970;2 471;5 285;159 280;217 343;98 115;32 417;8 845;54 127;7 075;6 715;3 608;16 389;1 807;1 519;132;23;3;6;261;194;35;52;94;93
