GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49
Республика Адыгея (Адыгея);18 994 522;18 725 474;17 122 286;16 768 842;89 437;24 880;14 525 455;37 179 505;2 106 220;2 134 750;876 030;2 269 408;330 455;327 361;302 755;537 191;0;0;573 274;1 732 216;308 277;313 989;51 745;31 079;392;1 358;6 557;1 635;89;0;0;13;1 746;8 223;1 052;1 166;709;2 470;250;331;0;1;1;6;2;0;8;17;20;12
Республика Калмыкия;13 319 005;32 686 985;11 170 921;25 210 983;1 049;76 495;32 156 248;434 762 326;2 280 614;7 437 201;399 568;5 142 137;141 848;422 023;107 471;1 934 603;0;0;292 096;3 157 192;109 223;366 136;65 923;113 689;45;80;1 544 554;21 151 386;185 578;660 257;0;0;1 893;12 478;620;845;575;1 128;204;130;0;0;1 234;10 816;315;648;8;133;15;23
Республика Крым;61 913 771;44 268 575;56 036 121;37 205 367;116 073;9 717;68 930 056;203 863 002;6 489 208;7 196 265;2 820 718;8 251 449;662 990;736 228;1 030 410;3 102 103;0;0;1 790 308;5 149 346;523 234;677 349;318 382;115 526;3 205;211;1 345 722;4 007 317;276 843;334 404;0;0;13 339;53 082;3 926;2 328;6 602;14 969;1 313;614;0;0;6 589;37 277;2 425;1 619;19;21;34;15
Краснодарский край;417 384 712;307 902 551;382 145 740;276 336 464;1 702 691;669 494;236 479 546;750 440 438;40 091 914;33 795 182;14 232 054;45 282 057;6 060 980;5 156 240;4 622 123;10 811 808;0;0;9 609 744;34 480 950;5 490 654;4 852 354;1 379 391;620 177;126 838;47 559;191 602;143 501;45 962;5 892;0;0;29 433;169 773;18 942;16 032;12 448;50 403;4 497;4 444;0;0;143;258;103;32;136;263;322;224
Астраханская область;37 836 764;31 964 281;34 339 349;28 406 028;100 259;73 136;21 477 534;40 993 050;3 905 128;3 750 715;1 288 027;2 418 382;567 035;537 387;435 483;728 267;0;0;852 544;1 689 999;517 908;502 942;129 341;71 080;13 104;6 005;13 324;22 916;27 906;28 400;21 110;1 678;3 429;13 516;2 718;2 273;1 380;3 436;730;559;92;12;19;48;76;63;8;8;26;12
Волгоградская область;94 602 994;48 968 725;84 841 754;42 655 408;253 516;118 363;60 930 296;125 907 886;10 436 666;6 302 758;3 679 748;7 517 480;1 475 355;901 850;1 281 450;2 246 022;0;0;2 398 297;5 271 252;1 328 282;859 248;328 372;90 577;13 588;1 978;22 594;44 835;101 524;35 015;27 519;7 745;9 034;36 252;6 688;3 904;3 585;8 962;1 778;925;103;30;17;33;113;38;27;19;42;15
Ростовская область;276 258 435;239 376 453;245 625 008;196 983 420;1 361 296;618 568;109 838 889;343 356 569;36 611 004;43 550 492;6 424 447;20 349 172;3 832 106;4 537 306;2 199 038;5 155 376;0;91;4 225 408;15 193 474;3 375 693;4 297 483;1 063 415;471 486;71 910;23 849;240 352;142 237;1 569 471;1 980 417;259 423;0;15 221;80 661;14 794;13 854;5 850;25 406;3 450;3 488;483;0;132;336;9 379;9 430;46;76;161;137
г.Севастополь;25 389 048;12 214 093;22 990 198;10 609 509;148 474;38 606;26 927 941;56 293 529;2 760 921;1 621 879;1 054 660;2 205 482;280 895;168 847;362 721;815 203;0;0;691 940;1 390 179;218 695;146 739;131 476;43 073;19 154;2 123;573 284;1 171 676;121 810;70 958;15 731;21;4 976;13 644;1 669;834;2 525;3 954;566;241;72;2;2 381;9 303;1 029;545;14;7;16;4
Республика Башкортостан;231 816 378;111 441 219;215 223 321;100 347 105;965 384;399 768;87 711 399;181 417 067;19 854 105;11 799 519;5 234 861;10 719 177;2 986 148;1 721 602;1 649 661;2 918 339;0;0;3 584 540;7 799 669;2 651 885;1 621 034;844 043;227 961;61 628;20 025;104 240;57 979;29 679;4 025;162 013;59 339;15 004;57 511;13 916;9 429;7 167;15 343;3 651;2 960;334;61;61;45;44;6;42;54;143;62
Республика Марий Эл;60 066 320;19 494 508;55 353 681;17 418 035;265 878;44 675;18 068 370;29 980 457;5 478 763;2 103 221;1 064 736;1 779 877;829 437;289 015;387 236;564 530;0;0;677 500;1 215 337;729 809;264 409;241 287;51 288;36 662;1 638;34 120;0;1 824;869;20 064;29 959;2 448;9 709;3 136;1 610;1 017;2 567;895;397;39;33;12;0;7;3;8;2;33;5
Республика Мордовия;32 024 586;22 139 733;29 420 908;18 981 950;82 927;58 402;20 715 598;175 966 539;2 923 829;3 319 819;876 378;3 566 896;415 579;351 735;313 083;1 194 071;0;0;563 295;2 372 823;352 303;322 379;140 040;53 883;4 546;3 008;372 075;7 035 181;22 953;144 334;9 133;532;2 639;12 851;2 117;1 449;1 190;2 664;665;300;47;3;140;2 671;25;75;3;54;11;12
Республика Татарстан);367 131 854;181 308 657;323 276 319;152 829 988;1 114 176;596 961;133 875 953;264 818 052;47 375 857;29 020 400;7 803 721;15 841 886;4 860 046;2 954 340;2 568 863;4 102 859;0;0;5 234 858;11 739 027;4 210 950;2 743 851;1 420 962;409 997;52 275;24 216;361 553;127 396;2 111 465;1 378 361;21;0;16 633;67 870;18 942;13 335;7 041;16 576;4 731;3 707;1;0;204;94;13 471;9 100;75;52;218;90
Удмуртская Республика;156 658 053;85 666 500;140 024 007;71 632 873;991 558;240 742;40 004 226;255 026 765;18 783 533;14 358 425;2 050 069;7 650 043;1 998 833;1 280 089;660 131;2 293 056;0;17;1 389 939;5 356 971;1 726 602;1 184 896;613 737;187 815;59 616;9 276;374 757;7 689 490;762 691;826 321;58 074;32 754;5 824;26 891;8 475;5 618;2 343;6 079;2 059;1 435;223;62;311;8 288;1 408;1 281;21;80;86;35
Чувашская Республика;106 725 615;42 805 741;98 616 334;38 120 171;372 567;231 343;30 046 026;71 329 903;8 932 258;4 759 532;1 780 147;4 260 461;1 291 816;691 495;629 800;1 266 578;0;0;1 150 348;2 993 883;1 080 540;641 392;459 667;101 428;18 231;11 399;47 526;28 925;61 747;25 391;5 467;386;4 572;22 249;5 529;3 314;1 893;5 717;1 342;785;9;1;19;30;262;128;18;23;71;18
Кировская область;123 896 120;44 774 695;114 592 499;39 808 407;326 943;171 185;42 573 100;86 792 915;10 295 203;5 177 204;2 190 003;4 414 042;1 447 834;723 320;802 868;1 486 729;0;0;1 387 134;2 927 302;1 199 240;656 894;575 799;124 392;20 503;11 144;376 117;770 961;88 404;53 028;52 617;5 574;6 768;20 123;7 324;3 132;3 053;4 575;2 042;704;237;22;317;760;274;102;16;27;63;18
Нижегородская область;271 597 925;111 292 965;250 043 984;100 688 940;1 210 388;429 628;114 969 286;222 321 013;23 972 742;11 621 479;6 738 507;13 335 080;3 620 548;1 752 080;2 335 335;3 559 344;0;0;4 403 171;9 775 667;3 142 450;1 608 797;1 097 241;285 869;68 036;31 056;232 467;97 950;23 907;9 305;0;0;14 430;48 369;15 235;7 487;5 235;11 419;3 723;1 977;0;0;115;175;66;16;50;63;166;45
Оренбургская область;100 099 852;69 830 510;89 526 309;60 580 785;235 826;271 077;26 267 721;64 274 724;11 856 134;9 656 043;1 563 300;3 829 473;1 228 318;987 891;539 824;1 056 812;0;0;1 023 477;2 772 369;1 018 334;881 383;477 795;211 998;7 953;12 729;19 316;5 322;502 664;429 273;30 127;14 348;5 673;20 939;7 097;5 818;2 895;6 667;1 999;1 705;63;28;11;14;4 684;3 730;5;12;44;34
Пензенская область;83 841 161;65 749 942;78 003 962;58 592 094;319 263;66 547;37 194 490;118 634 391;7 037 195;7 434 938;2 171 736;5 793 613;1 071 887;1 074 792;718 034;1 619 947;0;0;1 453 701;4 173 615;950 396;1 029 011;304 044;107 644;24 657;3 209;101 022;1 259 631;205;37 804;119 845;25 138;4 890;23 257;4 366;3 276;1 919;6 206;1 119;765;162;31;36;359;6;19;30;46;51;55
Пермский край;197 688 973;85 494 229;181 444 988;76 378 808;633 569;405 637;82 079 567;192 433 611;18 361 018;9 635 682;4 257 380;9 044 696;2 591 337;1 283 520;1 390 597;2 818 314;0;0;2 866 780;6 226 382;2 221 118;1 170 103;865 058;235 969;39 882;8 545;719 386;2 430 118;198 818;156 459;96 356;10 425;12 867;41 445;13 255;6 901;4 869;10 331;3 333;2 089;236;21;1 274;7 558;811;600;36;38;132;24
Самарская область;239 477 453;79 531 266;220 400 542;70 994 749;815 268;169 823;114 261 013;204 621 196;20 992 107;8 967 911;6 747 179;12 303 680;3 152 521;1 348 333;2 309 994;3 103 952;0;0;4 437 266;9 199 798;2 783 548;1 265 260;864 028;179 827;52 352;14 945;168 596;27 384;33 660;1 785;10 432;1 737;16 117;46 386;15 783;6 427;5 712;12 104;4 098;2 198;49;8;95;59;52;15;36;57;134;39
Саратовская область;98 151 058;57 424 555;89 917 640;52 449 377;494 003;73 485;53 434 834;119 289 452;8 583 652;6 628 052;3 168 597;7 015 365;1 275 297;993 158;1 207 377;2 087 652;0;0;1 961 221;5 106 989;1 123 201;929 967;380 213;144 042;36 436;5 787;62 939;62 822;12 507;3 698;15 874;4 219;10 028;32 208;7 331;4 120;4 336;8 582;2 047;985;70;10;39;69;23;6;17;25;38;30
Ульяновская область;70 861 330;33 748 850;64 952 882;29 259 174;177 796;34 560;43 495 452;99 927 079;6 897 363;4 576 647;2 070 706;3 661 306;855 515;527 245;687 942;1 183 703;0;0;1 382 764;2 477 603;741 649;492 414;275 989;70 035;5 986;4 204;581 416;2 358 819;159 038;156 885;0;0;5 942;18 618;4 648;2 191;2 658;4 697;1 458;476;0;0;470;3 206;293;212;28;30;29;12
Курганская область;41 336 876;22 629 406;37 996 193;19 480 374;199 539;62 409;18 060 675;79 838 630;3 981 096;3 256 211;858 728;2 056 165;545 409;373 172;322 745;683 980;0;0;535 983;1 377 192;474 589;353 779;178 380;41 460;6 051;1 134;225 962;2 803 829;55 643;105 257;29 862;9 567;2 357;8 395;2 761;1 789;934;1 624;748;416;55;13;74;902;89;99;1;28;19;14
Свердловская область;617 515 058;435 328 662;512 973 162;318 206 557;2 516 058;1 302 472;83 684 518;248 607 278;110 595 307;118 780 301;5 072 496;14 782 901;7 408 599;7 609 491;1 733 778;3 912 712;0;0;3 338 722;10 870 188;6 172 808;7 061 822;2 840 728;1 003 226;85 691;30 939;0;0;8 504 256;9 723 558;204 771;311 780;15 166;64 719;36 459;30 898;6 872;17 662;9 153;8 473;344;207;0;0;26 179;21 525;41;62;303;150
Тюменская область;252 835 190;190 684 522;205 268 700;130 824 394;784 403;397 171;43 742 998;125 613 049;49 937 167;60 596 240;1 762 689;5 139 094;2 666 351;3 140 747;616 462;1 734 511;0;0;1 146 227;3 404 583;2 052 572;2 817 285;1 321 960;556 102;18 944;7 274;889 501;2 405 427;4 428 061;5 789 321;23 429;19 980;5 721;24 328;14 424;11 205;2 284;4 525;3 662;2 149;130;37;3 147;17 794;10 379;8 848;21;23;133;55
Челябинская область;247 633 940;117 743 903;221 031 079;100 684 086;1 030 814;432 051;110 069 870;228 853 992;28 866 148;17 433 037;5 858 031;12 397 807;3 005 540;1 778 974;1 950 187;3 331 348;0;0;3 907 844;9 066 456;2 517 697;1 617 667;1 144 143;310 088;44 558;17 193;811 077;868 071;1 265 180;726 439;532 890;123 857;15 576;53 333;14 919;8 844;5 905;14 822;3 509;2 618;844;149;607;888;6 886;3 847;59;71;134;61
Ханты-Мансийский автономный округ - Югра;128 774 486;88 644 142;109 331 163;62 263 245;357 259;308 072;50 519 599;94 907 960;20 662 847;26 736 479;2 670 152;5 511 089;1 143 768;1 403 353;970 047;1 506 549;0;0;1 700 105;4 004 550;812 494;1 240 985;777 543;296 532;11 416;4 291;396 732;166 854;1 746 478;2 543 131;33 883;2 740;6 924;23 830;7 408;6 676;3 212;7 582;2 093;2 207;123;26;816;1 175;4 604;4 039;21;21;50;20
Ямало-Ненецкий автономный округ;56 809 731;54 974 447;45 951 025;36 155 448;300 794;107 570;15 105 678;25 616 012;11 418 528;19 439 534;785 251;1 332 121;672 721;1 046 938;299 991;394 254;0;0;485 260;937 824;545 772;976 712;292 233;134 592;23 589;4 192;136 206;210 879;974 163;1 846 768;4 660;7 212;1 237;6 163;2 599;4 241;526;1 870;613;1 143;42;19;559;3 042;1 906;3 014;10;6;36;17
Республика Алтай;15 566 384;9 054 006;14 014 121;7 966 902;17 737;6 849;10 138 973;14 900 523;1 725 270;1 137 887;538 072;729 316;237 854;134 899;180 460;229 614;0;0;357 611;499 701;218 486;121 968;44 976;22 843;1 784;403;74 030;124 556;20 861;32 166;40 856;4 774;1 355;3 983;1 119;754;659;1 041;392;122;89;14;73;542;57;72;5;4;14;5
