G1;G2;G3;;;
Белгородская область;196 699 076 457,99;24 651 506 753,00;;;
Брянская область;104 176 633 118,70;12 939 153 583,00;;;
Владимирская область;169 183 459 356,22;21 215 172 150,00;;;
Воронежская область;271 223 250 867,39;32 451 043 182,00;;;
Ивановская область;76 292 554 680,10;9 436 307 389,00;;;
Калужская область;155 732 119 398,22;19 595 738 582,00;;;
Костромская область;68 127 179 799,33;8 123 829 947,00;;;
Курская область;120 311 571 926,41;15 096 880 325,00;;;
Липецкая область;141 319 661 933,81;16 891 551 568,00;;;
Московская область;1 535 603 078 818,41;332 332 694 857,00;;;
Орловская область;75 725 941 008,19;9 450 078 768,00;;;
Рязанская область;134 024 798 735,88;16 769 269 961,00;;;
Смоленская область;104 275 820 203,28;13 112 786 991,00;;;
Тамбовская область;85 346 128 501,38;10 647 098 203,00;;;
Тверская область;146 085 651 846,65;18 336 455 775,00;;;
Тульская область;190 110 529 003,55;23 901 276 041,00;;;
Ярославская область;187 527 967 938,71;22 876 470 509,00;;;
город Москва;10 238 787 941 237,50;772 315 988 065,00;;;
СЕВЕРО-ЗАПАДНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;3 288 896 326 618,50;401 182 076 661,00;;;
Республика Карелия;90 972 885 613,07;12 125 433 340,00;;;
Республика Коми;187 256 891 846,54;23 727 849 520,00;;;
Архангельская область;196 756 058 043,18;24 636 295 275,00;;;
Вологодская область;169 670 313 374,03;21 044 824 375,00;;;
Калининградская область;129 468 424 819,27;15 830 866 381,00;;;
Ленинградская область;284 673 927 821,65;36 413 779 288,00;;;
Мурманская область;199 326 699 249,64;25 553 639 104,00;;;
Новгородская область;79 716 066 040,27;9 963 677 036,00;;;
Псковская область;60 559 065 385,21;7 532 131 550,00;;;
город Санкт-Петербург;1 859 219 830 105,46;220 333 113 214,00;;;
Ненецкий АО;31 276 164 320,18;4 020 467 578,00;;;
СЕВЕРО-КАВКАЗСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;439 629 926 331,07;52 720 687 261,00;;;
Республика Дагестан;75 662 416 117,18;8 699 340 273,00;;;
Республика Ингушетия;12 798 244 853,71;1 387 759 579,00;;;
Кабардино-Балкарская Республика;36 094 402 850,23;4 395 007 155,00;;;
Карачаево-Черкесская Республика;22 544 680 878,82;2 732 346 329,00;;;
Республика Северная Осетия-Алания;32 677 972 386,87;4 026 536 322,00;;;
Чеченская Республика;38 755 380 417,89;4 437 099 621,00;;;
Ставропольский край;221 096 828 826,37;27 042 597 982,00;;;
ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;1 695 631 677 239,11;208 317 648 230,00;;;
Республика Адыгея;30 637 722 762,83;3 765 305 965,00;;;
Республика Калмыкия;15 608 166 021,03;1 890 884 099,00;;;
Республика Крым;163 394 593 410,32;20 642 493 617,00;;;
Краснодарский край;623 999 894 205,03;77 087 009 189,00;;;
Астраханская область;102 758 788 489,25;11 871 101 644,00;;;
Волгоградская область;253 959 330 628,50;30 447 835 620,00;;;
Ростовская область;455 697 300 257,82;56 295 221 345,00;;;
город Севастополь;49 575 881 464,33;6 317 796 751,00;;;
ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;3 666 772 607 990,21;445 334 136 984,00;;;
Республика Башкортостан;460 382 885 451,77;53 981 368 934,00;;;
Республика Марий-Эл;62 762 239 767,62;7 732 762 957,00;;;
Республика Мордовия;73 057 863 284,77;9 028 872 037,00;;;
Республика Татарстан;595 425 142 654,82;73 836 603 983,00;;;
Удмуртская Республика;200 065 836 657,47;23 863 541 152,00;;;
Чувашская Республика;111 333 127 962,26;13 016 927 716,00;;;
Кировская область;133 356 366 520,61;16 369 728 322,00;;;
Нижегородская область;493 743 793 212,62;61 132 558 804,00;;;
Оренбургская область;208 785 871 908,58;25 339 012 745,00;;;
Пензенская область;117 520 608 202,39;14 125 847 020,00;;;
Пермский край;374 998 173 042,01;45 157 699 923,00;;;
Самарская область;468 249 456 672,85;56 945 155 573,00;;;
Саратовская область;244 135 625 975,30;29 396 108 773,00;;;
Ульяновская область;122 955 616 677,14;15 407 949 045,00;;;
УРАЛЬСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;2 700 166 406 413,13;334 277 582 986,00;;;
Курганская область;74 696 249 495,23;9 253 490 334,00;;;
Свердловская область;751 349 829 973,69;93 444 832 894,00;;;
Тюменская область;282 754 508 504,08;32 991 362 785,00;;;
Челябинская область;497 750 025 680,38;59 741 506 426,00;;;
Ханты-Мансийский АО - Югра;682 940 457 571,94;85 925 156 633,00;;;
Ямало-Hенецкий АО;410 675 335 187,81;52 921 233 914,00;;;
СИБИРСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;2 412 564 818 169,89;294 794 338 808,00;;;
Республика Алтай;17 669 989 170,04;2 143 089 640,00;;;
