"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67"
"Республика Мордовия","2 646","","0","0","2","0","28 156","67","0","2 564","2 711","774","608","267","27","19","3","12","1 529","152","510","3 763","498","1 142","3 928","3 583","65","92","18 479","26","6","0","1","1","2","0","1","0","3 286","8 973","6 424","9 610","14 367","3 007","2","2","46","8 765","3 432","1 054","17 345","3 906","15 916","122 360","57","352","215 488","59","358","0","572","14","255","0","40","0","0","0","512",""
"Республика Саха (Якутия)","4 414","","0","0","283","0","49 518","2 752","152","1 369","5 242","822","602","756","18","84","12","12","2 376","761","334","5 419","896","3 239","8 293","12 364","506","345","30 217","660","189","1","1","1","0","172","433","37","885","7 896","2 272","7 606","28 685","2 170","4","2","16","13 659","10 394","693","25 348","7 375","47 141","249 020","108","299","400 996","294","599","2","11","5","0","2 340","2 901","1 624","0","0","22 773",""
"Республика Северная Осетия - Алания","1 641","","X","X","X","1","11 950","1","0","1 476","1 319","382","240","246","20","8","1","3","957","63","329","1 557","210","413","1 124","890","5","20","8 328","1","0","0","0","0","0","0","0","0","826","2 280","1 629","2 030","8 013","2 282","0","0","5","1 718","475","262","3 100","715","2 457","15 919","2","26","39 430","1","0","0","0","0","0","0","0","0","X","X","X",""
"Республика Татарстан","24 997","","0","0","443","0","204 369","1 000","125","18 884","24 671","9 755","8 751","5 206","524","113","44","299","6 122","2 915","3 989","21 776","3 282","7 526","37 112","30 571","2 564","772","150 438","353","328","2","1","27","74","20","38","58","36 109","97 335","79 677","136 672","300 038","80 185","11","13","1 113","36 090","75 801","7 904","98 723","24 903","104 667","1 140 492","1 969","2 997","2 139 547","779","8 156","3","320","230","3 967","135","840","14 640","0","0","26 198",""
"Республика Тыва","884","","0","0","3","0","8 277","97","12","762","1 086","111","58","76","2","19","9","0","837","85","72","891","140","354","794","1 427","35","64","5 294","45","13","0","0","0","0","2","7","0","467","1 790","552","628","2 840","386","1","1","0","2 679","1 052","109","2 691","729","4 073","20 241","19","230","37 852","35","182","0","0","0","0","9","97","0","0","0","202",""
"Удмуртская Республика","7 052","","0","0","183","0","54 809","310","9","4 926","6 783","2 163","1 842","876","61","50","16","51","1 816","719","1 108","7 384","1 028","2 259","6 294","7 729","372","275","37 315","106","91","2","0","5","5","11","7","8","5 280","21 914","17 586","28 360","44 299","7 634","5","5","129","8 789","14 459","2 176","33 953","7 811","31 577","187 422","292","1 163","403 766","239","1 347","6","0","48","338","17","100","378","0","0","5 001",""
"Республика Хакасия","1 625","","0","0","25","0","15 631","150","6","1 645","2 187","508","298","247","17","29","7","4","756","78","241","1 907","279","560","1 593","2 792","64","143","10 338","63","25","0","0","2","2","5","14","6","745","3 622","2 309","3 148","9 391","1 984","3","2","10","2 116","788","299","5 688","1 457","5 302","46 636","37","482","81 514","56","345","0","0","18","51","5","172","107","0","0","2 411",""
"Чеченская Республика","2 139","","0","0","0","0","27 778","28","7","2 695","3 795","886","656","500","66","5","2","14","1 807","106","297","1 968","253","688","3 340","2 778","0","16","17 012","8","7","0","0","0","4","2","0","7","1 467","4 699","3 077","7 202","20 315","7 640","0","0","37","3 642","745","244","3 878","855","4 470","45 658","0","29","96 290","10","125","0","0","0","118","36","0","271","0","0","0",""
"Чувашская Республика","4 606","","0","0","117","0","31 589","186","4","2 347","3 751","1 414","1 112","536","45","19","5","11","1 674","116","620","5 131","771","962","2 953","4 508","95","119","21 422","88","42","2","0","3","6","2","2","4","2 915","11 878","11 533","17 529","28 800","5 995","1","2","38","5 600","1 786","1 239","23 414","5 975","13 460","87 511","74","414","211 681","156","761","2","0","17","169","1","1","16","0","0","3 951",""
"Алтайский край","8 910","","0","0","0","0","88 154","315","28","6 606","8 514","2 502","2 338","1 485","105","97","12","33","4 458","477","2 280","12 714","1 691","3 130","8 183","11 661","336","503","54 519","124","42","0","0","2","6","27","4","23","5 167","19 951","10 252","29 113","68 680","16 937","7","2","96","26 054","12 568","4 626","60 719","13 621","43 072","242 458","306","2 181","536 388","131","766","0","0","11","225","31","59","1 372","0","0","0",""
"Краснодарский край","21 493","","0","1","135","0","217 783","1 696","117","20 703","28 868","8 998","7 197","4 372","454","279","56","215","9 605","1 960","5 494","28 156","4 484","6 630","25 524","27 821","63","115","152 540","427","253","7","14","29","102","128","225","99","19 172","81 550","71 766","110 542","253 911","69 934","25","10","681","30 400","25 957","6 566","99 102","34 904","84 795","720 397","62","613","1 539 777","539","15 014","30","9 556","82","1 980","5 909","41 623","15 612","0","X","194",""
"Красноярский край","10 345","","0","0","2 354","0","131 166","3 412","173","4 236","8 994","3 754","3 295","2 621","176","87","25","78","3 522","2 302","1 380","13 615","2 712","4 925","19 426","23 773","523","744","70 972","545","339","2","0","13","31","406","435","87","1 611","15 235","17 717","34 767","98 472","21 132","2","3","83","11 309","25 198","1 717","41 734","13 805","60 150","574 326","113","3 199","896 130","294","7 437","8","0","58","397","11 308","13 666","11 962","0","0","94 454",""
"Приморский край","6 943","","0","0","0","0","64 433","2 224","56","2 470","6 985","2 190","1 547","1 740","119","48","11","18","2 687","1 425","916","7 358","1 908","2 356","10 915","12 987","196","162","42 574","383","254","17","7","1","38","102","226","41","1 039","9 251","9 165","14 460","71 827","19 856","3","4","53","3 928","9 508","852","20 692","11 506","17 318","255 435","113","375","425 034","585","15 191","99","1 451","8","910","11 626","52 265","4 544","0","0","0",""
"Ставропольский край","7 929","","0","0","25","0","102 721","171","35","10 964","11 357","2 978","2 240","1 481","125","88","16","30","4 856","513","3 242","13 809","1 754","3 841","9 725","10 461","31","72","66 888","87","24","2","0","4","11","5","0","35","5 851","19 047","17 477","34 679","67 453","17 015","5","4","50","14 474","6 867","2 633","48 568","11 240","41 525","243 783","17","209","513 657","105","342","8","0","31","399","3","0","1 523","0","0","1 663",""
"Хабаровский край","5 169","","0","0","46","0","50 894","3 408","66","1 644","4 996","1 728","1 240","1 340","64","28","7","20","1 512","1 040","708","6 735","1 684","2 404","9 240","11 558","368","313","34 326","691","248","0","3","5","5","185","270","54","1 130","8 186","7 150","13 579","58 387","10 382","2","2","44","9 587","26 186","1 407","31 878","13 025","30 451","235 286","142","775","436 300","429","5 255","0","107","45","297","1 794","13 187","3 759","0","0","4 211",""
"Забайкальский край","3 220","","0","0","7","0","36 939","192","10","2 393","3 616","552","434","470","29","80","6","4","2 385","591","646","5 342","889","1 940","4 520","9 089","38","141","23 868","104","7","0","0","5","3","0","3","8","1 313","4 202","1 805","2 983","10 979","2 191","3","1","4","6 196","4 795","685","11 969","3 711","13 223","82 314","10","207","144 182","42","60","0","0","29","70","0","1","256","0","0","36",""
"Амурская область","3 377","","0","0","2","0","40 939","384","32","2 053","3 316","829","560","614","33","33","4","2","1 895","669","424","4 727","1 035","2 013","5 504","10 342","114","30","23 678","201","80","1","0","0","5","20","1","32","1 788","5 764","4 051","8 645","32 681","6 081","2","1","4","6 916","10 994","506","13 608","4 958","27 838","159 259","99","117","277 014","278","1 577","6","0","0","124","31","29","3 535","0","0","346",""
"Архангельская область","3 501","","0","0","17","0","33 635","2 162","20","2 260","3 235","901","643","337","19","61","7","13","1 913","436","559","5 765","745","1 023","4 251","7 320","472","342","22 149","424","141","17","1","3","6","364","459","2","3 457","12 430","7 534","10 118","16 847","2 793","5","3","50","12 146","9 538","1 154","26 776","5 802","14 590","130 238","424","1 318","250 688","554","3 733","37","42","66","720","16 833","26 034","428","0","0","93",""
"Астраханская область","2 778","","0","0","18","0","23 075","4 820","3","3 042","3 883","851","543","360","21","79","6","5","1 413","498","616","3 134","349","770","1 933","2 558","14","6","17 482","1 788","398","5","1","6","18","1 307","361","0","3 113","11 432","6 570","8 537","17 487","2 302","5","1","30","4 854","5 851","727","11 508","2 181","8 459","40 835","10","13","121 589","2 330","8 256","7","235","40","944","10 474","15 813","0","0","0","469",""
"Белгородская область","7 129","","0","0","106","0","71 605","69","6","7 941","8 170","2 547","2 139","934","65","56","29","34","3 756","743","1 328","9 170","1 530","2 365","10 782","9 852","27","66","51 520","29","18","0","0","0","7","0","2","6","8 965","22 763","20 934","33 002","49 767","10 190","3","5","123","22 775","14 537","2 748","42 339","11 997","33 697","324 217","25","278","587 870","104","819","0","0","0","585","0","66","859","0","0","13 767",""
"Брянская область","4 139","","0","0","6","0","40 965","119","10","4 138","4 280","1 128","836","493","41","100","8","12","1 920","444","685","6 038","673","1 059","6 483","4 937","46","73","28 297","53","21","0","0","1","0","30","6","10","2 907","8 754","7 403","13 346","23 712","6 012","7","2","26","9 710","6 450","842","14 220","4 223","11 300","146 012","41","199","248 914","193","555","0","0","24","0","46","187","682","0","0","19",""
"Владимирская область","5 199","","0","0","103","0","43 169","118","13","3 626","5 625","1 630","1 322","659","48","90","7","21","1 548","445","887","7 128","1 138","1 014","4 355","7 055","154","93","29 494","51","15","1","0","2","3","15","2","13","5 469","19 023","10 618","21 044","34 586","7 095","2","1","31","7 400","8 716","1 831","32 769","8 727","13 008","129 090","136","357","292 315","53","481","15","0","38","290","29","61","3 954","0","0","8 778",""
"Волгоградская область","7 444","","0","0","20","0","77 722","746","61","8 129","9 883","2 357","1 702","855","54","101","16","44","3 013","842","1 943","10 982","1 185","3 093","6 160","9 999","49","115","50 302","214","68","3","1","3","6","162","104","61","6 134","24 428","17 889","27 197","44 668","7 752","9","5","102","9 901","10 223","2 806","48 170","9 487","43 096","177 394","28","248","421 508","228","2 201","2","10","24","475","1 112","3 768","1 696","0","0","1 924",""
"Вологодская область","5 830","","0","0","105","0","52 646","438","34","3 822","5 915","1 774","1 478","628","47","92","19","28","1 519","736","716","7 287","1 082","1 525","5 883","10 188","565","335","32 504","218","66","4","1","5","8","12","13","7","4 220","22 977","14 371","22 943","30 173","4 345","9","4","64","7 459","11 701","1 435","33 222","8 337","21 592","179 860","480","1 326","358 366","119","1 364","5","30","50","321","12","161","466","0","0","14 968",""
"Воронежская область","8 874","","0","0","2 101","0","110 029","319","41","9 614","11 254","3 546","3 100","1 618","187","60","8","55","2 160","615","1 720","10 654","2 315","2 342","13 536","11 195","110","228","62 597","81","59","0","0","3","29","5","3","40","14 773","37 776","28 456","48 764","93 191","27 837","3","1","220","12 751","15 210","3 437","48 926","17 781","30 943","386 153","99","872","738 385","89","1 176","0","0","14","714","4","196","10 190","0","0","166 091",""
