GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43
  Республика Адыгея;9 800 855;6 793 880;8 936 174;6 216 956;101 353;37 420;8 557 134;16 085 895;972 051;682 562;494 387;911 786;135 918;93 867;175 227;217 883;0;0;318 802;693 929;122 362;86 354;36 712;16 726;10 696;1 260;19 170;46 556;4 853;232;1 714;4 991;956;816;730;1 413;317;203;23;3;48;145;23;33
  Республика Башкортостан;119 223 195;47 399 566;112 746 910;43 157 446;484 752;459 810;55 806 960;87 042 913;9 099 309;4 537 913;2 967 276;4 712 159;1 239 715;571 997;1 041 075;1 413 166;0;0;1 925 306;3 299 163;1 012 098;492 275;592 495;177 638;25 913;29 570;381 149;407 303;103 089;16 509;14 693;38 802;12 737;6 719;6 819;9 697;3 748;1 801;371;59;627;1 934;485;374
  Республика Бурятия;36 092 012;13 093 200;33 526 114;11 860 311;107 348;14 319;13 710 103;17 738 564;2 955 801;1 395 927;812 159;1 010 173;428 851;193 192;252 805;319 402;0;0;559 274;690 429;379 686;179 077;126 709;34 902;2 508;1 002;9 906;46 429;1 622;302;6 645;7 794;4 244;1 769;2 664;2 482;1 608;481;31;4;21;75;26;34
  Республика Алтай;8 391 223;2 867 865;7 804 474;2 628 662;26 606;6 247;4 166 831;3 899 804;738 948;265 021;236 902;190 053;89 759;27 928;86 369;63 949;0;0;150 533;125 835;75 181;20 742;43 067;14 320;24;232;13 107;30 871;12 369;1 827;1 171;2 859;1 160;742;605;938;450;194;57;18;43;226;84;80
  Республика Дагестан;27 716 322;24 746 632;22 584 463;19 386 502;322 687;93 278;9 107 118;12 370 212;5 489 412;5 435 187;302 091;420 697;361 099;353 756;117 092;139 719;0;0;184 999;280 979;331 184;326 878;75 559;45 190;11 371;6 342;253 276;319 297;1 558;200;2 103;5 714;3 555;3 208;797;1 116;1 217;568;9;2;958;3 692;2 318;2 617
  Республика Ингушетия;4 491 651;1 159 472;4 099 149;1 059 834;11 311;2 936;1 034 678;984 932;432 533;104 055;61 913;58 896;64 664;15 573;15 674;12 256;0;0;46 239;46 640;62 990;14 612;7 577;2 284;1 688;431;30;41;0;0;522;397;762;229;294;128;339;75;0;0;1;1;1;2
  Кабардино-Балкарская Республика;20 011 400;12 926 064;18 224 186;11 201 422;121 536;207 574;3 891 685;5 198 481;2 217 325;1 688 256;216 056;283 240;241 038;176 660;64 427;108 089;63;81;151 720;202 859;215 458;158 575;65 581;37 234;608;1 916;17 291;27 780;974;1 529;1 141;2 662;2 402;1 838;506;651;768;427;19;8;55;143;1 427;1 276
  Республика Калмыкия;5 890 491;5 156 865;5 342 683;4 492 631;19 903;6 678;1 407 845;3 571 593;601 228;678 805;73 624;140 342;54 872;56 618;24 452;45 809;0;0;49 171;94 534;45 388;46 222;25 152;18 663;102;75;10 847;70 963;2 225;563;557;1 601;742;633;261;409;285;128;1;1;50;311;381;476
  Карачаево-Черкесская Республика;6 949 475;4 197 903;6 383 458;3 762 469;62 642;6 339;4 037 959;4 617 717;771 625;446 760;234 280;232 446;108 341;57 506;76 832;67 913;0;0;157 448;164 533;100 415;53 829;19 822;7 462;1 757;900;7 997;54 798;3 446;0;1 001;2 267;813;580;479;645;272;162;10;0;21;101;45;53
  Республика Карелия;48 074 892;7 576 476;43 825 834;6 562 591;211 695;81 074;16 957 033;18 287 833;4 859 790;1 058 431;910 861;963 478;552 994;107 468;302 282;316 349;0;0;608 579;647 129;448 586;93 912;248 513;27 783;5 485;7 976;106 561;126 191;7 103;1 024;4 881;8 410;5 150;1 184;2 585;1 847;1 774;308;63;8;157;542;3 223;812
  Республика Коми;31 666 344;9 029 180;28 500 699;7 878 156;184 709;82 332;20 545 336;25 141 940;3 529 273;1 224 279;621 781;757 642;264 696;91 821;259 434;322 266;0;0;362 347;435 376;193 321;70 594;194 546;42 758;5 806;571;610 992;735 112;11 932;2 201;4 743;10 339;3 534;1 298;1 983;2 646;1 158;631;87;6;2 713;7 334;2 423;933
  Республика Крым;29 170 003;16 259 674;26 147 179;13 966 266;72 005;32 503;47 788 831;110 152 681;3 418 724;2 342 411;1 744 830;4 042 337;320 974;209 833;680 755;1 578 836;0;0;1 064 076;2 463 591;256 484;172 412;157 251;67 523;4 451;1 045;1 121 631;2 563 505;1 951;0;13 874;49 057;3 577;1 855;6 847;16 296;1 455;566;23;1;6 942;32 397;1 982;1 229
  Республика Марий-Эл;31 476 375;8 814 347;29 122 964;7 959 767;227 445;64 272;11 292 021;13 034 298;2 629 475;901 534;667 346;762 026;382 662;118 086;249 416;261 814;0;0;417 928;500 203;324 224;105 066;141 014;30 403;13 551;1 537;10 174;13 267;6 115;4 900;2 503;6 950;3 125;1 347;1 046;2 017;925;379;47;23;32;117;42;37
  Республика Мордовия;17 592 486;8 165 599;16 823 522;7 499 687;64 938;56 334;9 417 975;13 525 730;1 415 287;750 751;565 079;809 177;212 287;112 481;215 684;249 645;0;0;349 395;559 493;181 067;100 724;82 375;26 871;7 366;7 911;0;0;2 372;128;2 429;6 468;2 172;1 249;1 125;1 569;764;289;43;1;0;0;0;0
  Республика Саха (Якутия);61 933 972;27 119 690;55 732 944;23 622 051;396 286;91 645;21 013 565;26 833 378;7 335 863;3 731 614;1 090 446;1 244 422;727 551;351 707;339 647;331 959;0;0;750 617;912 449;628 581;316 212;291 639;93 152;14 923;3 948;168 402;265 882;90 976;27 010;4 096;11 053;5 991;4 272;1 992;3 226;2 048;1 182;477;160;472;2 396;3 578;2 746
  Республика Северная Осетия-Алания;16 369 228;6 426 991;15 054 968;5 880 230;39 061;11 369;6 396 258;7 737 621;1 394 063;573 867;378 090;461 475;204 720;83 228;126 216;120 705;0;-10;251 874;340 780;192 168;77 807;33 953;10 295;1 677;1 320;5 685;2 408;55;0;1 815;3 347;1 637;913;850;909;554;262;3;0;28;26;18;18
  Республика Татарстан;182 651 052;61 287 591;161 979 590;52 371 848;925 334;769 669;78 098 648;108 353 513;22 470 605;8 862 196;4 672 158;6 501 079;2 196 707;862 457;1 677 600;1 786 259;0;0;2 994 558;4 714 820;1 875 150;773 713;778 241;183 603;26 545;15 827;13 761;132;0;0;16 915;38 018;18 457;8 896;7 103;7 787;5 263;2 349;0;0;24;1;13 194;6 547
