GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156;G157;G158;G159;G160;G161;G162;G163;G164;G165;G166;G167;G168;G169;G170;G171;G172
Саратовская область;1518074;14687732;0;4695885;0;79233;146429;24143;1035;21109;0;26916951;356248;275519;0;30603808;0;0;0;0;46347631;9306845;3;0;4016865;0;0;519189;151178;777;0;0;0;-127899;0;-6081;0;0;0;0;0;465076;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;520990;0;0;0;140298;467499;7305082;1420755;422952;2084967;5471;0;307192;0;0;0;143177;310743;0;89361;0;0;0;492544;312788;8124985;639960;171729;59816;218;0;0;0;0;0;0;0;10658;849;0;378;0;25;0;0;0;0;0;0;0;-1;-18;0;0;0;0;0;0;151;39;0;0;42;0;188;0;0;0;0;1;8;44;0;0;0;7;0;0;0;0;0;3;0;-7;0;18;0;0;30;0;0;32794;0;105;20565;2;2890;92948;44;1914;1538;0;0;0;20;1240;2039;9118;18292;0;297;0;0;5;0;112
Сахалинская область;5383278;16603883;0;789913;48329177;71508;19425;194349;0;0;0;23285605;204857;740849;0;237892;0;0;0;0;0;234695;0;0;0;0;0;212855;0;0;0;0;0;-237351;0;95651;0;0;0;0;0;46386;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;133519;0;0;0;11;1000;2672718;2326006;228940;683416;270;0;241535;0;0;0;70;4847;0;64900;0;0;0;0;204;11041475;9719;3796;105869;150720;0;0;189558;0;0;0;0;14088;1405;458631;1223;0;124;0;0;0;0;0;0;0;0;0;0;0;0;0;-12;-73;0;19;12;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9837;1783;0;18938;0;216;0;0;-432;113;0;0;0;210;155;10;197;30;0;0;0;0;0;0;0
Свердловская область;8096784;55982636;1398684;14794910;0;70982;1071685;261097;1190911;1368037;0;83498175;651889;955434;0;77538259;0;0;0;0;0;-1039;0;0;-12;0;0;4921216;0;103;0;0;0;-1213208;0;0;0;0;0;0;0;7220060;209;0;0;0;0;0;0;0;0;10096;0;0;0;0;0;2189789;0;0;0;12671;16038;25528429;2269042;455156;2198163;7948;0;3711728;0;0;0;22573;8082;0;1086660;0;0;0;16752;12694;0;0;0;139030;1897484;0;0;125;0;0;0;0;73222;4392;0;57;0;17;0;0;0;0;1;0;0;0;1;0;0;0;0;17;8;10;123;1;0;-8644;0;0;25;4;0;0;0;16;21;5;4;0;19;0;0;0;0;0;-3;0;0;0;16;0;0;1;0;0;4835;0;32226;80698;0;3432;6758;0;8547;6684;3;0;0;1650;629;400;2036;3052;800;180;0;0;0;0;0
Смоленская область;878866;7313846;0;1845322;0;9792;19752;32199;1811;554;0;12115308;124426;353407;0;340264;0;0;0;0;0;0;0;0;0;0;0;1045451;51468;0;0;0;0;0;0;0;0;0;0;0;0;11956900;0;0;0;40;0;240549;0;370392;10498;26269;423;0;0;0;0;75990;0;0;0;30306;44235;3339885;546359;130987;632365;2454;0;205352;0;0;0;83063;120252;0;44908;0;0;0;90130;44814;0;0;0;27884;86;0;0;0;0;0;0;0;21627;3615;0;4;0;0;0;0;2;0;0;0;0;0;14;0;0;0;0;0;0;179;18;0;0;18;0;0;-130;415;0;0;0;2;-185;0;3;0;0;0;0;0;0;0;0;0;-32;0;0;0;0;-21;0;0;32;0;6248;21222;1;1016;0;12;3626;681;0;0;0;77;1659;166;370;12;0;0;0;0;0;0;0
Тамбовская область;339121;4127123;0;914316;0;89;16882;33065;0;0;0;10169098;102712;183189;0;4832393;37638;0;0;0;-29580;0;0;0;0;0;0;384217;82733;945;0;0;0;0;0;0;0;0;0;0;0;212921;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;428849;0;0;0;184025;60907;2287346;135860;182472;842978;1851;0;759956;0;0;0;251507;63967;0;208239;0;0;0;308121;35365;0;0;0;9410;34;0;0;0;0;0;0;0;27365;297;0;0;0;4;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;7;2;0;0;0;0;0;71;0;0;0;0;9;62;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;104;0;0;10500;0;900;0;0;150;1977;0;0;0;217;0;379;884;29832;0;300;0;0;0;0;0
Тверская область;787759;7427499;0;3043459;0;9498;17090;65065;0;181;0;17530514;143531;240257;0;15115630;0;0;0;0;592;0;58;0;0;276078;189192;1408012;347787;30894;204241;0;0;-10260;0;-10516;0;0;0;280;0;340169;0;0;0;0;0;0;0;0;0;5209;267;0;0;0;0;190492;0;0;0;76622;88194;6844970;708702;189075;1078369;2047;0;596279;0;0;0;333571;298430;0;206160;0;0;0;428146;127229;0;0;0;51089;758;0;0;0;0;0;0;0;40767;4416;0;9;0;5;0;0;17;0;0;0;0;0;14;0;0;0;0;0;0;-3;99;0;0;-23;0;0;1552;-243;0;0;0;54;256;25;0;0;2;0;0;0;0;0;3;0;27;0;25;0;0;21;0;0;169;0;687980;18086;0;298;5;0;987;720;0;0;0;70;0;80;172;235;0;0;0;0;0;0;6
Томская область;1678466;12756655;0;3490251;0;135272;16944;8425;0;129;0;18580764;165840;454746;0;43151004;1;0;0;0;0;427150;9285;0;13822;0;117460;3243840;25664;0;0;0;0;-7054;0;685931;0;0;0;0;0;168885;207;0;0;0;0;0;0;0;0;0;0;0;0;0;0;603274;0;0;0;40664;10592;5715153;477657;106434;535700;2974;0;1023712;0;0;507;56996;13385;0;177898;0;0;0;71875;10609;74912152;2884571;2087763;30157;132;0;0;0;0;0;0;0;30477;5245;0;462;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;-45;0;-29;34;10;0;30;0;0;51;0;0;0;0;2;0;11;0;0;0;0;0;0;0;0;-29;0;0;0;49;0;0;52;0;0;42964;0;52;34349;0;639;0;11;1577;1186;0;0;0;8;205;24;1140;713;0;0;0;0;1;0;0
Тульская область;1801380;16208636;0;738091;0;33868;274312;100896;0;526;0;21860681;214980;221522;0;1099898;54945;3339;0;0;0;0;-127;0;0;0;0;7679046;635053;137;0;0;-427568;0;0;0;0;0;0;0;0;489056;0;0;0;0;0;0;0;0;0;4052;0;0;0;0;0;230558;0;0;0;28015;67392;4971136;252924;228776;1245610;5507;0;777125;0;0;0;168065;242178;0;289509;0;0;0;349758;134524;0;0;0;162840;16712;0;0;0;0;0;0;0;53149;978;0;0;0;36;0;0;5;0;0;0;0;0;-4;0;0;0;0;0;0;122;250;0;0;1490;0;0;41;54;0;0;0;23;146;0;0;0;3;0;0;0;0;0;-7;0;-1;0;2;0;0;7;0;0;127;0;20581;71906;-2;1464;0;5;1406;529;0;0;0;24;315;80;1671;13;20;0;0;0;0;0;0
Тюменская область;7096597;47701206;0;3677447;0;52923;311175;44513;3;122515;0;28311849;274958;650277;0;44993282;9863;0;0;0;0;0;-8289089;0;4238928;83007;83308;335779;1452507;8;0;0;-922906;-242;0;-2254;0;0;0;0;0;329632;0;0;0;0;0;0;0;0;0;12607;0;0;0;0;0;314098;0;0;0;34832;0;9737839;677611;380008;950716;2245;0;894621;0;0;75;134962;0;0;206028;0;0;0;195078;0;81362134;0;0;85001;2561;0;0;0;0;0;0;0;23626;3387;7;427;0;70;0;0;0;0;1;0;0;0;24;0;0;0;0;7;0;180;72;3;0;61;0;0;433;0;0;0;0;6;77;21;0;0;4;0;0;0;0;0;9;0;18;0;16;0;0;92;0;0;46180;0;4350;101697;140;6938;0;48;1966;613;0;0;0;431;0;493;74;455;0;4;0;0;0;0;0
Ульяновская область;939627;9284715;0;400521;0;78196;13167;15390;0;710;0;13627619;129247;107772;0;12770372;0;0;0;0;0;0;2542;105047;0;0;0;9481765;6295638;93788;0;0;0;-47473;0;-3577;0;0;0;0;0;328499;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;182068;0;0;0;28083;32775;2835489;177164;170603;960789;4590;0;432770;0;0;0;61494;58811;0;135083;0;0;0;120627;66599;4444203;0;0;13066;22108;0;0;0;0;0;0;0;22456;363;0;82;0;0;0;0;70;0;0;0;0;0;14;0;0;0;0;8;0;108;38;0;0;5;0;0;2150;1;0;0;0;0;211;0;0;0;-3;0;0;0;0;0;-2;0;11;0;1;0;0;10;0;0;5104;0;8654343;39987;-80;5356;0;75;1037;717;0;0;0;523;129;83;472;-27;0;1;0;0;18;0;0
Челябинская область;5722884;42030710;0;3733635;0;41947;190103;91150;54;151111;67582;55232379;871574;864276;0;58512139;514;0;0;0;0;0;0;0;0;0;521945;83898;253042;298;0;0;0;0;0;0;0;0;0;0;0;9978575;0;0;0;0;0;0;0;0;163;29955;0;0;0;0;0;288711;315650;0;0;76866;59712;13401489;134495;606417;2830930;5561;0;1459921;2070055;0;0;271973;164523;0;186862;155815;0;0;307054;73573;0;0;0;209909;1735856;0;0;11071;0;0;0;0;57723;2887;0;274;0;18;7;0;18;0;-11;23;0;0;14;0;0;0;0;0;0;343;1083;1;0;204;69;0;291;29;1;0;0;98;269;-2;3;0;1;9;0;0;0;0;12;-138;-4;0;143;20;0;28;0;0;6075;0;3376326;87492;8;1852;6570;306;14269;4022;0;0;0;169;3881;479;1076;14;0;2;6;0;0;0;-1
Забайкальский край;454299;7140037;0;775740;0;34;3385;33;0;72;0;16803616;164248;55616;0;-2438299;0;0;0;0;0;0;0;0;0;0;0;141070;0;353;0;0;0;-1689;0;0;0;0;0;0;0;12257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;145580;0;0;1;15061;37546;4231257;0;100288;523510;1162;0;177585;0;0;34;62738;159521;0;73883;0;0;0;72089;65051;0;0;0;17250;2587086;0;0;511256;0;0;0;0;22748;6427;0;2;0;-14;0;0;-61;0;0;0;0;0;1;0;0;0;0;-3;0;-176;72;0;0;0;0;0;-44;0;0;0;0;1;63;8;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;80;0;0;20146;0;396;7388;0;595;0;0;5785;1093;0;0;0;124;0;40;777;0;0;0;0;0;0;0;0
Ярославская область;1338284;13209248;0;1260365;0;126585;24665;98279;0;21625;0;20211024;298693;203974;0;28596555;0;0;0;0;8753004;26044242;42431;0;19966971;35686;0;6240392;0;50;0;0;0;0;0;9770;0;0;0;0;0;391948;0;0;0;0;0;0;0;0;0;1671;0;0;0;0;0;333357;0;0;0;51900;47321;5162998;858651;225429;1113751;3132;0;1289338;0;0;0;372439;140467;0;133839;0;0;0;245211;28076;0;0;0;25114;850;0;0;0;0;0;0;0;5131;4126;0;133;0;107;0;0;136;0;0;0;0;0;-20;0;0;0;0;-7;-8;392;-29;0;0;46;0;0;1460;-128;0;1;0;42;620;9;7;0;1;0;1;0;0;0;10;0;67;0;2;0;0;59;0;0;-95;0;1459191;22050;2;567;0;63;1101;202;60;0;0;92;10;38;655;44;7;64;0;0;0;0;0
город Москва;147625051;592501315;46334760;83422139;0;9895708;30563283;88203577;11139707;38726714;2427025;721401674;2769968;57174666;35160;754703653;400;0;0;4490;22962;18829066;-4820631;513293;8838073;6484;185333;2114391;1936751;9612;498297;0;-666034;-8150128;51105092;2192501;0;0;0;3014;0;63496494;0;0;0;8245;375;88566;39228;794;11738;687669;28160;0;0;9433281;14899756;0;0;0;0;0;0;131901062;38725;4675902;25301696;70900;18936571;0;0;0;0;0;0;902113;0;0;0;0;0;0;0;0;0;382;724;178462;0;0;0;0;0;0;16823;1;14984;-97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;13280;9233;12;1954;0;0;0;0;0;13;8;47;526;10008;253;153;409;0;0;0;0;0;0;0;0;0;4101;0;0;0;0;0;0;59;129365;5641151;391038;2130;7312;0;1304;301288;281599;6;0;0;103063;0;3371;5279;3067;0;0;0;0;0;0;0
город Санкт-Петербург;21778264;128720222;2260234;17043451;0;1096668;2238780;19553112;464370;8724875;67627;196279103;1172728;8834645;0;295688431;0;-47;0;75661;252158513;0;0;1984964;0;2129;1084354;8941132;5033265;210071;266393;0;0;-1882296;0;-1014861;0;0;0;451;2095;8845411;0;0;0;36;0;0;190136;0;263;108390;1488;0;0;0;2790911;0;0;0;0;1;0;31024697;16028;1624662;9237003;21131;5453816;0;0;0;0;0;0;293680;0;0;0;0;0;0;88;0;0;5;37;8624049;0;0;0;0;0;0;3642;4244;2878;3;0;0;0;0;0;4318;0;0;0;0;0;0;0;0;0;0;0;605;459;55;202;0;0;0;0;0;4;0;0;60;1814;-1;0;70;0;0;0;0;0;-4;0;0;0;114;0;0;0;0;0;0;0;14938;21168965;284193;2;5196;6;560;17625;13933;1;0;0;687;4625;171;228;80;1763;0;0;0;0;0;0
Еврейская автономная область;18161;628586;0;515534;0;0;129;0;0;0;0;2809435;28007;1046;0;-86476;0;0;0;0;0;0;0;0;0;0;0;185;0;40;0;0;0;0;0;0;0;0;0;0;0;793;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24016;0;0;0;4152;8858;1330227;0;21671;122032;169;0;19620;0;0;0;6555;5225;0;11640;0;0;0;10143;9932;0;0;0;48650;34789;0;0;0;0;0;0;0;5875;1986;0;0;0;2;0;0;3;0;0;-8;0;0;-2;0;0;0;0;-1;0;1;6;0;0;0;0;0;0;0;0;0;0;0;-2;0;0;0;0;0;0;0;0;0;-4;0;0;0;0;0;0;4;0;0;1279;0;0;2003;0;43;31411;0;62;80;0;0;0;84;515;6;-415;2;0;2;0;0;0;0;0
Ненецкий АО;107742;3685485;0;2889089;2231204;647328;30550;154312;0;0;0;3748135;2079;32996;0;-5973660;0;0;0;0;0;0;0;0;0;0;0;4877;0;0;0;0;0;-20169;0;11343;0;0;0;0;0;113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-440;0;0;0;-7;-243;5993362;0;12450;-3778;0;0;16371;0;0;289;6144;3143;0;-126;0;0;0;65;262;63524847;118844;13092;62755;0;0;0;0;0;0;1966341;0;3968;1;10296;157;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36777;281;0;589;0;554;0;0;8;2;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0
Ханты-Мансийский АО - Югра;10785396;55717570;2837061;21753109;0;17500;2679114;863532;0;101839;0;76047092;336825;359985;0;229844669;0;114;0;0;0;13935920;369658;0;5876016;0;0;80602;0;0;0;0;0;-1081698;0;434279;0;0;0;0;0;564735;0;0;0;0;0;0;0;0;0;5264;0;0;0;0;0;396901;0;0;3047;18623;62337;54937801;5208805;1320721;1975104;2107;0;866739;0;0;125614;65978;147155;0;185540;0;0;7392;11483;43636;1728948276;600728;0;229005;424;0;0;0;0;0;0;0;169316;70;0;2689;0;13;0;0;119;0;0;0;0;0;0;0;0;0;0;-41;0;10;457;2;0;2;0;1;1;73;0;0;0;2;0;91;8;0;0;0;0;0;0;0;0;0;16;0;-15;0;0;297;0;0;153614;0;5;37610;0;2177;44140;0;9196;2998;0;0;0;447;275;94;1279;26;0;134;0;0;4;0;0
Чукотский АО;688180;3949298;0;295205;0;444;766;2954546;0;0;0;4181336;7999;75187;0;-5616815;0;0;0;0;0;0;0;0;0;0;0;4274;0;0;0;0;0;-24259;0;0;0;0;0;0;0;546;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2140;0;0;1;257;1136;1051368;0;10929;9438;1;0;13153;0;0;127;570;2323;0;4631;0;0;0;11;68;0;2288;0;1830;3264927;0;0;3616;0;0;0;0;1088;1207;44736;3369;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;1;0;0;0;0;0;16;5;0;0;0;0;0;0;0;0;0;8;0;0;0;15;0;0;19;0;0;8643;0;0;1249;0;38;0;0;108;0;0;0;0;0;15;0;25;0;0;0;0;0;10;0;0
Ямало-Hенецкий АО;6694100;41599470;0;35463347;0;279699;1609990;1981871;0;2272;0;47669556;129683;189977;0;159738740;0;0;0;0;0;260674;111468;0;102061;0;0;723;0;0;0;0;0;-323118;0;220032;0;0;0;0;0;68905;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;138694;0;0;71;11429;20751;27884401;36367921;560718;452348;1462;0;177975;0;0;1987;8688;11592;0;42337;0;0;2;1626;2625;173501101;503695528;95656014;411763;69675;0;0;0;0;0;0;0;50541;229;413;1839;0;2;0;0;-472;0;0;-9;0;0;0;0;0;0;0;0;0;-7461;-2893;4;0;7;0;-554;0;0;0;0;0;-5;0;-106;0;0;0;0;0;0;0;0;0;0;-15;0;2;0;0;-2037;0;0;354602;0;425;15692;0;414;0;0;1946;2830;0;0;0;444;0;10;197;0;0;3;0;0;181;0;16
Республика Крым;2527158;17751748;0;0;0;29144;3980;22499;0;41780;44;20587743;193336;271236;0;12771357;0;0;0;5;920213;0;0;0;0;0;935617;1233813;1775386;3539;472;0;0;-444;0;-1486;14647;0;0;0;0;204145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1577954;0;58503;318976;7649;0;388392;0;0;0;105234;10251;0;12;0;0;0;0;0;75155;5144;20085;162504;39152;958554;0;0;0;0;-3;0;11036;871;5123;177;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3009;986;0;10767;0;1236;0;0;1497;10645;0;0;0;4546;10;6648;201;0;0;16;0;0;5;0;0
город Севастополь;121084;1330658;0;0;0;900;1476;0;0;89;0;6288473;58355;76566;0;3883729;0;0;0;0;0;0;0;0;0;0;331347;3505;23661;0;0;0;0;0;0;-357;0;1232;0;0;0;36821;0;0;0;0;0;0;0;0;0;43;25;0;0;0;0;0;0;0;0;0;0;155789;0;18147;147602;2649;303347;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14844;0;0;0;0;0;0;0;0;5649;110;1907;595;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3703;2;793;0;0;901;174;0;0;0;346;0;0;91;0;0;0;0;0;0;0;0
