GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156;G157;G158;G159;G160;G161;G162;G163;G164;G165;G166;G167;G168;G169;G170;G171;G172
Новосибирская область;4014215;31891410;0;825297;0;166674;354717;247534;1493;97347;24443;45924232;280275;1164185;0;41818702;16556;0;0;0;192;64759;2430;0;28834;0;15812;7884280;4463026;17921;0;0;0;-2094840;0;688;0;0;0;0;0;3120812;346;0;0;0;0;0;0;0;7370;4943;0;0;0;0;0;514432;0;0;0;43591;45266;10812010;245730;423395;2256920;5639;0;3066920;0;0;0;341697;247752;0;218544;0;0;0;227792;67291;1436576;0;0;113895;53009;0;0;997914;0;0;0;0;21914;1935;0;865;0;242;0;0;81;0;0;1;0;0;4;0;0;0;0;3;0;682;110;3;0;183;0;0;668;20;0;0;0;35;390;0;1;0;14;0;0;0;0;0;-13;0;7;0;68;0;0;13;0;0;2533;0;7489;50657;0;394;0;160;3012;1961;0;0;0;472;0;126;456;35;0;0;0;0;0;0;0
Омская область;1354056;12469962;0;5600071;0;45866;35340;178766;2053;3789;0;23081710;371574;164000;0;35531199;23304;0;0;0;9784;42813531;39211;0;28318369;340806;0;6038980;8417048;0;238;0;-102710;0;0;827858;0;0;0;0;0;679360;0;0;0;216;0;0;0;0;0;1675;0;0;0;0;0;202238;0;0;0;28534;16586;5089170;67083;229170;1282808;3476;0;638189;0;0;0;152531;13038;0;238611;0;0;0;289532;12847;1554985;1169;168;6902;359;0;0;0;0;0;0;0;42839;1659;2;401;0;281;0;0;3;0;0;1;0;0;2;0;0;0;0;0;0;136;113;0;0;220;0;454;0;0;0;0;0;7;200;-3;0;0;9;0;0;0;0;0;-18;0;-1;0;57;0;0;0;0;0;11806;0;5;33129;40;4228;5823;0;873;1049;0;0;0;48;40;370;1438;16;0;-5;0;0;0;0;0
Оренбургская область;3176787;21602463;0;4462254;0;35481;50464;9517;0;25032;0;24008561;155594;196985;0;43651403;27392;0;0;0;0;1063939;-26433;0;615632;6;0;145188;835330;16397;0;0;0;-13369;0;5273;0;0;0;0;0;778630;0;0;0;0;0;0;0;0;0;3125;0;0;0;0;0;280278;1;0;0;66246;0;7874626;1480784;356905;825592;3120;0;780729;0;0;0;203873;0;0;301164;6;0;0;323554;0;130689821;15126098;1289021;62531;1190611;0;0;3817;0;0;0;0;64340;953;0;76;0;5;0;0;3;0;0;0;0;0;7;0;0;0;0;0;0;53;55;0;0;37;0;0;-306;0;0;0;0;37;-2;10;0;0;10;0;0;0;0;0;1;0;-17;0;13;0;0;124;0;0;37807;0;14565;46101;-1;3027;0;10;472;2201;6;0;0;98;0;395;797;201;0;67;2;0;0;26;0
Орловская область;353524;3645232;0;655193;0;15365;4250;50238;0;266;0;8469264;102960;51972;0;6402924;109;0;0;0;0;0;0;0;0;0;1;19816;51520;551;0;0;0;0;0;0;0;0;0;0;0;299889;0;0;0;0;0;0;0;0;0;2383;0;0;0;0;0;35029;0;0;0;12856;3878;1830033;77680;110400;721999;1811;0;307407;0;0;0;184636;42685;0;101062;0;0;0;202327;27084;0;0;0;15221;665;0;0;0;0;0;0;0;14188;257;0;0;0;1;0;0;13;59;0;0;0;0;0;0;0;0;0;0;0;8;211;0;0;33;0;0;152;63;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;61;0;0;2;0;3224;12585;346;689;5635;6;213;1754;0;0;0;-8;206;240;545;1;0;563;0;0;3;0;1
Пензенская область;651188;5886469;0;955077;0;3241;14908;2947;0;2664;0;13041894;264749;256637;0;12490221;27283;0;0;0;0;0;0;0;0;0;1315730;1805870;3904860;274047;80199;0;0;0;0;0;0;0;0;0;0;182400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;385608;0;0;0;54565;56874;3005925;168668;192069;1342648;2842;0;387215;0;0;0;226569;68784;0;160798;0;0;0;185491;54708;668659;0;0;14776;14302;0;0;0;0;0;0;0;14107;1295;0;0;0;4;0;0;7;0;0;0;0;0;-13;0;0;0;0;1;0;30;50;0;0;4;0;0;1;5;0;0;0;60;37;1;0;0;0;0;0;0;0;0;-2;0;2;0;2;0;0;27;0;0;965;0;150;38415;301;2294;0;158;604;249;0;0;0;449;1035;3;581;0;10;146;0;0;0;0;0
Пермский край;6272607;42149805;0;5003688;0;118162;141353;383312;202;26969;0;40037809;392936;1520564;0;54516660;0;0;0;0;1;16425921;-26929;0;10974659;471006;0;19440;8150782;0;0;0;-530127;0;0;199598;0;0;0;0;0;958245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;530414;0;0;85;123072;169865;10018151;2056911;419030;2298907;4427;0;3019034;0;0;737;232993;272774;0;412504;0;0;298;258993;117849;108647229;333762;0;72939;437717;0;0;0;0;0;0;0;48537;3618;0;169;0;3;0;0;2;0;0;1;0;0;3;0;0;0;0;6;0;0;3;18;0;2179;0;0;314;5;0;0;0;8;80;29;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;83;0;0;6094;0;12966;23469;0;1516;0;6;-401;4314;92;0;0;1448;1950;1707;2046;-64;21;785;0;0;6;3;4
Псковская область;238305;2650926;0;467777;0;5268;2909;4135;0;270;0;7873280;34741;45109;0;3083357;0;0;0;0;0;0;0;0;0;0;0;7338;0;0;0;0;0;-8244;0;0;0;0;0;0;0;533674;0;0;0;0;0;0;0;0;362;11854;0;0;0;0;0;64627;0;0;152;14970;17139;1404507;100375;121074;629996;1226;0;234048;0;0;44;65478;63333;0;45984;0;0;138;117866;42284;0;0;0;16875;829;0;0;0;0;0;0;0;9976;2333;0;995;0;1;0;0;21;0;0;0;0;0;-5;0;0;0;0;0;0;18;14;0;0;12;0;0;83;22;0;0;0;14;119;-2;2;0;1;0;0;0;0;0;-2;0;-19;0;1;0;0;-23;0;0;3;0;2483;6092;2;651;0;0;424;620;0;0;0;106;75;430;545;32;600;306;0;0;0;0;0
Ростовская область;3787936;31434703;0;3864945;0;37083;293043;224335;0;1413;0;53030961;1024126;1087692;0;17533838;-2437;0;0;0;38398872;0;-158;24;0;0;224457;5633597;-4260;1402;0;0;0;165;0;-461212;0;0;0;0;0;2448958;0;0;0;320;0;0;0;0;0;4074;0;0;0;0;0;1102402;0;0;0;182958;118594;13762711;1889170;516985;3082344;14442;0;4192367;0;0;0;429662;289592;0;1239074;0;0;0;985318;249246;0;326421;9168;139013;39662;0;0;348088;0;0;0;0;24465;1000;781;860;0;0;0;0;45;0;0;0;0;1;0;0;0;0;0;0;0;1194;765;1;0;26;0;0;62;1;0;0;0;4;114;-3;0;0;4;0;0;0;0;0;-17;0;0;0;24;0;0;7;0;0;4810;0;5371481;40125;4;3591;11161;216;4719;6478;3;0;0;1186;3233;923;327;665;0;444;0;0;0;1;86
Рязанская область;1022643;9848819;0;1365371;0;2382;21851;39121;496;6580;0;15296095;239235;212416;0;22982508;0;0;0;0;0;30486363;333347;0;14597931;96146;0;1644626;0;26388;0;0;0;0;0;1104097;0;0;0;0;0;318323;0;0;0;0;0;0;0;0;0;3233;58;0;0;0;0;411055;0;0;0;73778;56130;3581054;1431299;183816;936835;702;0;683484;0;0;0;169807;99883;0;164953;0;0;0;262324;73231;0;0;0;45631;3195;0;0;5076;0;0;0;0;18896;13;0;0;0;70;0;0;29;0;0;0;0;0;5;0;0;0;0;1;0;67;29;0;0;11;0;424;0;0;0;0;0;10;0;69;0;0;15;0;0;0;0;0;-10;0;16;0;23;0;0;91;0;0;3375;0;11141;46194;2;240;30;0;910;727;0;0;0;73;1911;115;566;20;0;-15;0;0;0;0;0
Самарская область;5353585;42352852;0;6153770;0;42159;159025;709162;1319;252624;33543;50369345;270479;795720;0;92605919;0;5269;0;0;0;31096668;-263325;783939;19015598;269765;168206;8772387;6263010;17201;48;0;-1155939;0;0;470145;0;0;0;0;0;1611383;0;0;0;0;0;0;0;1601;0;13464;0;4604;2989;0;0;777368;861271;0;0;126502;32308;13510763;118046;686114;3543058;5585;0;1457181;2069876;0;0;369936;175176;0;251733;235012;0;0;488982;58672;103397028;0;0;52975;8675;0;0;0;0;0;0;0;52276;1220;0;168;0;1;18;0;7;0;0;0;0;0;31;0;0;0;0;0;0;82;33;0;0;-119;0;0;106;0;0;0;0;7208;463;0;7;0;5;3;0;0;0;0;2;-4;-12;0;5;7;0;47;0;0;12804;0;15319558;25222;0;1414;27744;423;2836;2658;37;0;0;165;6;984;966;139;0;5;571;0;36;38;17
