"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29"
"Республика Адыгея","22","0","0","2","0","0","4755120","69637809","62209043","1393850","76600","0","0","11714","0","0","0","0","682","0","0","1","0","3385","14873136","13640550","252927","0","0","х"
"Республика Башкортостан","101","0","0","2304","0","0","222630353","681797428","473296575","10180891","447307","0","0","3935563","0","220508","0","0","1000","7","0","142","0","2402","93467302","91177768","1443534","12140","0","365058"
"Республика Бурятия","32","0","0","50","0","0","30269693","260360807","226675807","4065851","218135","0","0","409525","0","119276","0","314626","708","50","0","2","0","2588","11534786","10688054","203653","2164","0","21"
"Республика Алтай","14","0","0","0","0","0","6506385","44784438","37081884","514954","147144","0","0","0","0","0","0","0","187","0","0","0","0","337","1595143","1553055","30936","0","0","0"
"Республика Дагестан","13","0","0","15","8","0","16969138","195978637","177887576","3819504","335867","0","0","43163","0","0","0","0","813","0","0","1","0","3117","30007438","28023293","278482","0","0","х"
"Республика Ингушетия","5","0","0","4","4","0","7457669","47066620","38794303","851200","131465","0","0","28728","0","0","0","0","121","2","0","0","0","835","5237163","4393268","77860","5124","0","0"
"Кабардино-Балкарская Республика","16","0","0","4","1","0","7509823","74769666","58603803","1281650","153118","0","0","2182","0","0","0","0","439","1","0","1","0","844","11456144","10916385","217630","х","0","х"
"Республика Калмыкия","21","0","0","10","3","0","21478278","74678067","52185345","1142262","195720","0","0","286970","0","0","0","0","425","23","0","2","1","847","4241368","4028669","57332","1682","0","1407"
"Карачаево-Черкесская Республика","33","0","0","12","0","0","29786644","71193488","39483546","860925","601277","0","0","19428","0","0","0","2620","398","23","0","0","0","1112","9226233","8006670","90758","19134","0","0"
"Республика Карелия","39","0","0","48","19","0","38761249","161813503","123428916","2386584","680081","0","0","155490","206164","206164","0","0","887","44","0","385","1","2780","20897529","19541898","272230","5123","0","108788"
"Республика Коми","21","0","0","20","0","0","32466958","1178010428","1143180436","24901686","25904","0","0","674643","0","237417","0","0","702","0","0","572","0","1711","16970770","16579594","257208","0","0","72694"
"Республика Крым","294","0","0","110","0","0","167139712","501997931","352668578","4133770","1946873","0","0","271459","0","0","0","1160017","886","48","0","0","0","2647","32786641","30468094","256072","45459","0","0"
"Республика Марий Эл","40","0","0","7","0","0","8423109","93055576","79185924","1729810","86022","0","0","97210","0","1729","0","2651","1100","26","0","0","0","4741","14450633","13131476","259092","2296","0","0"
"Республика Мордовия","92","0","0","27","0","0","50111665","183576195","128514540","2774217","249310","0","0","954165","0","51592","0","0","161","0","0","4","0","267","6660695","6593080","99669","0","0","32173"
"Республика Саха (Якутия)","28","0","0","81","0","0","142261751","1772728559","1614877119","20961915","1375920","0","0","2653637","13782206","88486","0","0","2","0","0","0","0","5","29495","29495","590","0","0","0"
"Республика Северная Осетия - Алания","14","0","0","17","3","0","25434251","148435067","102227263","1972894","563334","0","0","5006","0","0","0","0","264","0","0","0","36","1133","7330187","5987138","79809","0","0","0"
"Республика Татарстан","234","0","0","437","0","0","181124204","1795893223","1612191880","34465574","2096173","0","0","2701331","0","172093","0","0","469","0","0","0","1","1165","106934021","104933505","2079029","0","0","0"
"Республика Тыва","12","0","0","28","0","0","11066001","30815024","18989983","410641","9472","0","0","225170","0","0","0","0","115","0","0","0","0","542","2413536","2001737","37185","0","0","0"
"Удмуртская Республика","46","0","0","64","0","0","29111260","316753572","285335607","6127263","62206","0","0","552519","0","1086","0","2850","1888","37","0","520","0","7421","76444851","69381177","1086254","18515","0","41431"
"Республика Хакасия","25","0","0","16","0","0","3212813","136176439","116608304","2461005","28533","0","0","12341","0","91201","0","519","593","23","0","610","0","3035","17091600","13230764","218093","1166","0","57647"
"Чеченская Республика","11","0","0","60","4","0","28898454","195735055","167862852","2923264","428630","0","0","517541","0","267","0","409","169","0","0","0","0","629","6950207","6548387","123694","0","0","0"
"Чувашская Республика","62","0","0","119","2","0","21145879","165336574","137426087","2972004","303159","0","0","199864","0","38483","0","0","1150","31","0","1138","1","4578","28297257","26370288","258753","3509","0","259340"
"Алтайский край","62","0","0","5","0","0","17441154","215518234","198184464","4197348","324666","0","0","37425","0","159960","0","1070","2206","38","0","0","0","7562","46214174","40556010","803971","2560","0","0"
"Краснодарский край","162","2","0","136","4","2","517505995","2719121254","2173660525","39717489","8612260","1798298","0","6999502","0","289670","209990","616973","6724","139","0","115","2","40255","314794736","275778222","5372992","23337","0","80311"
"Красноярский край","61","0","0","3544","0","0","249262737","1512672992","1219401861","24049776","315381","0","0","7214087","0","545817","0","217984","2254","24","0","192","0","10950","29105492","23293471","427375","1272","0","36682"
"Приморский край","78","0","1","179","155","0","14873041","779989313","757147163","14074158","358906","0","0","2454264","0","320231","0","12523","1660","0","0","33","32","3678","92815646","83156154","1005895","0","0","124872"
"Ставропольский край","75","0","0","121","0","0","65337858","433543075","376128364","8212588","315656","0","0","863449","0","61652","0","0","1552","23","0","1","0","5601","37952963","34170570","670215","4295","0","х"
"Хабаровский край","31","0","0","46","0","0","25263389","789475281","760891013","14668221","514056","0","0","1338956","0","30072","0","66692","241","0","0","0","0","809","197349240","195879833","291526","0","0","0"
"Амурская область","15","0","0","78","0","0","89479252","817369692","708670509","9756559","630751","0","0","1056356","4640374","60014","0","180326","1116","9","0","10","0","7540","46176281","39804983","441584","141","0","36973"
"Архангельская область","15","0","0","22","19","0","29560463","446048600","411850495","8680024","697455","0","0","175404","0","205283","0","0","878","3","0","676","0","3375","28382324","24632092","372706","50","0","151367"
"Астраханская область","28","1","0","566","0","0","25831527","527059598","501715845","10445161","148618","х","0","846441","0","11638","0","35017","794","17","0","173","0","3154","17137269","16060024","317062","1315","0","0"
"Белгородская область","51","0","0","0","5","0","14092926","377519994","358872943","7698397","171463","0","0","0","0","63421","0","12","1896","56","0","474","31","9059","77786221","70375155","1392590","5063","0","12610"
"Брянская область","52","0","0","40","34","0","38370770","185397848","152445276","3139877","122189","0","0","560004","0","860","0","2235","928","4","0","3","0","4031","28788096","26406368","522080","994","0","908"
"Владимирская область","71","0","0","43","0","0","41566856","259915807","200807481","4184835","506546","0","0","488580","0","151254","0","0","1608","83","0","0","0","4267","28904683","26773524","245608","2336","0","0"
"Волгоградская область","89","0","0","182","12","0","188224506","618732327","435234516","8863293","318813","0","0","3136259","0","42102","0","129183","477","49","0","34","0","1813","7533878","3967560","51948","2689","0","23686"
"Вологодская область","60","0","0","141","0","0","126149572","834757311","692019476","14862597","889789","0","0","1458621","0","243143","0","12255","1930","5","0","38","137","4599","27357238","25841836","367139","711","0","6549"
"Воронежская область","116","0","0","206","22","0","37153970","610937292","568424787","11239389","145785","0","0","1228150","0","80511","0","163700","1803","5","0","1058","3","11071","67973808","55541158","1010041","155","0","95058"
"Ивановская область","42","0","0","26","0","0","6456192","109299240","96063510","2096676","58229","0","0","51776","0","13054","0","1248","71","0","0","0","0","188","6756969","6532186","130055","0","0","0"
"Иркутская область","63","0","0","1917","0","0","91703471","993349756","884382519","17187882","460852","0","0","2478506","110000","83938","0","222164","1602","9","0","1310","0","3758","54821684","52731683","847129","622","0","202629"
"Калининградская область","136","0","0","7","0","0","53571213","291011029","239572162","5094620","1096438","0","0","133297","0","65","0","168","2252","37","0","133","0","9925","104765043","96166588","1792216","95188","0","28229"
"Калужская область","44","0","0","1204","1","0","164932632","382926033","225112432","4734293","1205608","0","0","2381972","0","52165","0","0","907","2","0","233","0","3558","32595456","27375714","491296","2189","0","32763"
"Камчатский край","7","0","0","60","1","0","9664397","143582823","134634727","2765397","18862","0","0","338697","0","0","0","0","728","13","0","36","0","2466","25940217","23833735","462365","5457","0","11158"
"Кемеровская область - Кузбасс","75","0","0","104","9","0","21266380","600700606","556011170","11797225","115223","0","0","581198","0","287787","0","26455","1996","81","0","377","0","7500","49397685","46301889","765451","7500","0","150163"
"Кировская область","44","0","0","126","8","0","35726014","191112149","148318027","3107445","49112","0","0","678405","0","119331","0","0","1324","6","0","1104","0","4249","25459662","22843766","348996","1330","0","92103"
"Костромская область","16","0","0","55","0","0","4302753","85148958","66518451","1365402","16872","0","0","78140","0","0","0","0","574","1","0","9","0","1448","18683954","18067074","356566","х","0","2397"
"Курганская область","37","0","0","36","0","0","4140803","130284923","123120760","2556734","27637","0","0","250291","0","147472","0","0","750","10","0","249","0","2636","12925551","12113915","193358","506","0","45976"
"Курская область","54","0","0","12","0","0","75580105","269669590","194794917","3999838","112153","0","0","1224151","0","44890","0","0","1222","42","0","1","0","7576","61291883","55781827","954824","3658","0","х"
"Ленинградская область","28","0","0","263","0","0","405707881","1766085321","1362341703","26700462","4419593","0","0","6137742","0","99553","0","258960","1335","48","0","109","0","9852","86142632","73327760","664101","3129","0","56537"
"Липецкая область","157","0","0","73","4","0","58549763","322204842","267762062","5754313","450727","0","0","660574","0","1","0","2","809","1","0","530","0","2663","42009898","38495423","663526","х","0","8394"
"Магаданская область","11","0","0","2","0","0","6547195","156128409","149607460","3259853","143344","0","0","31472","0","0","0","0","289","2","0","0","0","1036","6972085","6567011","131205","67","0","0"
"Московская область","350","0","0","286","7","0","625900457","2598400254","1986581843","41850937","4018573","0","0","7779128","0","231008","0","445768","6689","71","0","64","495","29355","784380916","728553571","12817272","9400","0","20482"
"Мурманская область","37","0","0","49","3","0","273112066","456611702","215041768","4542776","1788669","0","0","3586108","0","77987","0","4867","623","22","0","294","0","1793","22012195","21063857","362928","1469","0","51887"
"Нижегородская область","86","0","0","360","0","0","173851186","693865770","523922955","11329862","274922","0","0","3168480","0","4","0","0","3993","21","0","216","0","10657","137700990","132999944","2454722","6120","0","188677"
"Новгородская область","30","0","0","13","0","0","28960194","209988002","170144706","3526082","210919","0","0","413344","0","14256","0","48072","573","31","0","3","0","2518","8266460","6791402","108625","1208","0","1427"
"Новосибирская область","73","0","0","47","0","0","52013440","547494550","483249316","10469804","591520","0","0","574195","0","158874","0","199","1951","54","0","61","0","11236","98517668","85543655","1664614","7131","0","25825"
"Омская область","32","0","0","10","1","0","14673087","321806042","299366451","6090764","30144","0","0","136873","0","7959","0","26291","1421","32","0","31","0","7911","48868805","39190574","375456","335","0","9747"
"Оренбургская область","51","0","0","26","0","0","18847011","655339379","635743197","13835230","118650","0","0","238329","0","3641","0","8333","175","0","0","174","0","500","42484799","27650940","430176","0","0","106716"
"Орловская область","26","0","0","493","0","0","41993741","144924276","103679300","2186180","89847","0","0","838594","0","51997","0","0","274","1","0","0","0","690","7158994","6899395","131794","х","0","0"
"Пензенская область","114","0","0","15","11","0","13118636","220055548","207921390","4290862","199256","0","0","301874","0","42858","0","0","362","1","0","0","0","712","18947410","17654702","348392","х","0","0"
"Пермский край","154","0","0","276","49","0","62937107","1085898594","1033068505","15479143","333898","0","0","665055","0","325","0","1018","3546","85","0","587","3","11168","99226279","92193952","1480811","13161","0","48923"
"Псковская область","99","0","0","87","0","0","12483442","101873710","83549590","1503915","146374","0","0","254311","0","0","0","0","580","41","0","67","0","2028","9997015","9359481","185866","1745","0","294"
"Ростовская область","172","0","0","55","4","0","97110733","934784855","828405844","17769322","195037","0","0","1762130","0","9218","0","22984","11","0","0","0","0","25","43030","44930","898","0","0","0"
"Рязанская область","199","0","0","196","0","0","50833123","280107185","228982766","4909423","307955","0","0","790620","0","1","0","3","1392","14","0","81","0","3743","48099650","46511561","734888","1153","0","30862"
"Самарская область","118","0","0","86","0","0","76289042","812832030","739837941","16058926","564794","0","0","607650","0","185381","0","0","6352","75","0","53","0","20030","201707266","188462788","3651529","39867","0","23735"
"Саратовская область","79","0","0","47","2","0","25868158","449443265","428087484","9154203","425974","0","0","72516","0","199991","0","2097","2768","2","0","105","1","8566","55160643","49345897","805991","286","0","135606"
"Сахалинская область","16","0","2","21","12","0","362392291","1052252354","402784738","7981711","891175","0","13034417","988184","0","338","0","1240","452","1","0","3","0","865","21643133","21132360","333900","х","0","20422"
"Свердловская область","142","0","0","628","0","0","97254841","1306278239","1210909267","25865944","428021","0","0","1906929","0","492436","0","1009","1131","5","0","249","0","4027","145358248","141297445","1847506","524","0","946985"
"Смоленская область","40","0","0","17","0","0","12210289","232627151","210764336","4636816","224644","0","0","197509","0","0","0","0","735","0","0","10","0","2107","18389687","18355010","209298","0","0","99"
"Тамбовская область","36","0","0","19","0","0","43001574","205082668","165735663","3458745","237707","0","0","730766","0","109","0","193","568","3","0","67","0","2572","25861044","24096720","288538","1496","0","1767"
"Тверская область","49","0","0","291","0","0","63890099","410687331","342364321","7316729","566285","0","0","765938","0","7340","0","21629","1128","47","0","125","0","5556","16889195","12857439","211864","2921","0","41195"
"Томская область","36","0","0","63","0","0","17908101","361721543","345923946","7620134","71073","0","0","278676","0","0","0","0","556","0","0","220","0","1407","49833369","47708373","270521","0","0","33223"
"Тульская область","68","0","0","109","15","0","40014405","360642901","323088535","5548329","311990","0","0","1858988","0","817","0","1860","1717","1","0","20","0","4736","35237879","31490680","561389","х","0","58660"
"Тюменская область","78","0","0","1147","36","0","258741349","1100865014","843505177","12045480","268017","0","0","11097329","0","352223","0","23897","208","1","0","252","0","648","26187108","25176045","479152","х","0","16733"
"Ульяновская область","72","0","0","1048","32","0","41256307","186366717","143998363","2674024","466326","0","0","806769","0","88030","0","0","1524","115","0","409","0","5682","38134097","34720908","586853","34351","0","63493"
"Челябинская область","90","0","0","97","0","0","31880119","635592735","598971845","12527183","307687","0","0","960335","0","230364","0","1748","464","2","0","5","0","592","68915843","66180748","970638","2069","0","14996"
"Забайкальский край","38","0","0","7","2","0","18826259","362927928","338636158","5591640","419341","0","0","766962","0","94227","0","252178","433","1","0","605","0","1401","11880183","9456285","188328","х","0","32164"
"Ярославская область","30","0","0","121","17","0","48387233","363404958","301336251","5817825","378204","0","0","1313159","0","76132","0","0","333","0","0","177","0","695","33893314","32397576","489349","0","0","28977"
"Г.Москва","221","2","0","279","0","0","2706790177","5911475767","3288673704","68866542","3333662","24393","0","53988578","0","444993","0","862994","18445","118","0","1302","0","120844","7893674848","7616318711","125009946","1017204","0","15262116"
"Г.Санкт-Петербург","152","2","0","335","2","0","945291375","2571242235","1643196924","33588870","3765238","4952","0","15509703","0","2981","0","9871","7555","41","0","129","1","45312","1054852628","958860298","13938252","41837","0","351672"
