"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57"
"Амурская область","66455495","39654447","60613592","35132496","144248","9351","36796350","65412747","6668240","4765191","1973516","3730282","969130","698106","619187","866135","0","0","1354303","2863985","882859","665923","218581","75723","4811","931","253257","190978","39246","26937","43896","3762","3366","11898","3083","2282","1353","3789","846","793","67","8","157","232","91","42","11","25","38","25","0","х","х","х","0","19","26","63"
"Архангельская область","76074830","28366664","70414776","25361981","277332","59535","47577789","74361239","6514457","3120303","2423083","4031070","948282","432053","698599","1232504","0","0","1724483","2807651","797813","380512","350406","81084","15778","2671","508657","412157","42015","36632","24265","4089","5131","16361","3940","1761","2339","3536","982","376","113","13","204","204","70","38","39","19","43","14","0","0","0","0","0","0","0","0"
"Астраханская область","41022228","36809080","37386796","32070032","82904","53788","24352373","75380843","4511491","4937224","1420529","3283448","640832","669978","486458","1010156","0","0","934071","2273262","581868","630145","139887","79285","4222","5589","57714","1254763","39827","59613","19678","1067","3489","14811","2692","2263","1443","3640","749","530","70","8","54","549","94","82","8","20","22","15","0","0","0","0","0","0","0","0"
"Белгородская область","99694260","60452194","92152023","54244150","446288","152725","42379821","90242084","9074293","6294665","2449354","5399289","1308494","937512","861796","1431727","0","0","1587558","3967296","1139568","866264","377275","136608","30759","4311","123014","45368","70312","15761","10718","2497","5372","26894","4701","4514","2290","8819","1111","1349","44","10","43","110","132","42","17","25","60","31","0","0","0","х","0","0","0","25"
"Брянская область","71762281","39490664","65195905","34644926","86293","41525","33037678","82571700","6942944","4882699","1903339","4934651","1039230","739643","708231","1370542","0","58","1195108","3564051","912856","714302","248570","44820","10301","3733","106927","47824","23957","529","0","0","3343","19601","3091","2074","1231","5147","638","520","0","0","48","41","20","3","18","16","43","23","0","0","0","0","0","0","0","0"
"Владимирская область","110613680","50279934","102261240","44779802","408246","34827","53166438","117856943","9472633","5707318","3000644","6875224","1405392","831777","1068765","1750382","0","0","1931879","5123725","1236873","782733","421754","85005","39322","2441","220222","215282","37941","26693","20104","7185","6928","23516","5600","3041","2754","6477","1402","839","66","12","428","623","204","80","19","28","74","29","0","0","0","0","0","0","0","0"
"Волгоградская область","101490528","53962270","91090527","47049004","285062","61591","64714346","148786834","11429645","7278954","3910188","8920091","1604864","1057238","1418082","2629828","0","0","2492096","6290276","1474354","1002756","311930","101896","20569","4286","14453","11391","116110","35903","30957","9946","9039","38248","6465","3918","3653","9842","1692","1012","102","35","16","17","100","38","22","24","48","21","0","0","0","0","0","0","0","0"
"Вологодская область","148666162","50377461","137949510","45269937","597162","137737","40519213","71584909","11774965","5214760","2277315","4105909","1713234","774655","740391","1177635","0","0","1536924","2928317","1412354","696210","667035","140794","45816","7452","183180","211461","62858","18640","0","0","6154","17887","7944","3784","2827","4799","1962","1175","0","0","163","200","120","36","20","18","87","21","0","0","0","0","0","0","0","0"
"Воронежская область","186737275","92526929","172512037","83148978","500689","206417","99732324","198682850","15995855","9695948","5957789","11995598","2414396","1440553","2018956","2995699","0","0","3938833","8999812","2086270","1327144","782816","224703","40577","10023","164746","22783","19210","32758","1081","179","7825","39186","7857","5154","2648","13101","1693","1583","4","2","37","19","26","18","86","70","132","50","0","0","0","0","0","0","0","0"
"Ивановская область","164980358","109812943","147676293","92100973","387179","269058","26817454","95250713","18413031","17934433","1561335","5118226","1992990","1670265","502816","1245561","0","86","1058518","3872580","1726599","1556456","609540","209379","26280","14759","65669","298232","749883","841050","352734","198181","4220","15826","7166","4855","1726","4165","1696","1251","411","152","153","638","790","606","8","34","103","92","0","0","0","0","0","0","0","0"
"Иркутская область","212777953","101109657","194641657","90087991","503045","78737","93060454","168218446","20258760","11744279","5618170","10072655","2761661","1611073","1811351","2812561","0","0","3806740","7350371","2453218","1496917","723583","227974","16915","5587","37632","40363","296453","132079","35971","6511","12284","39927","11488","7350","5712","12111","3536","2591","40","10","16","43","431","138","40","41","116","45","0","0","0","0","0","0","0","0"
"Калининградская область","310316942","84608903","281300844","74813936","1678311","329318","80342058","124994440","32451408","9934287","4893033","7512300","4959423","1507104","1283130","1870564","0","20","3609903","5641496","4668667","1443776","752963","122620","112851","24740","29931","31332","13094","683","12775","6924","7873","22859","13632","5033","3199","6078","3624","1649","32","8","22","25","22","6","65","45","245","78","0","0","0","0","0","0","0","0"
"Калужская область","89548504","45723432","82145585","40415715","437991","243444","38974030","91008606","8323508","5374946","2294856","5488404","1089129","692219","780441","1357105","0","0","1514415","4131262","933546","641484","376394","101978","4681","1807","60332","5047","151153","117340","3575","0","4924","18864","4307","2691","2029","4989","1006","721","4","0","25","6","254","119","11","29","54","25","0","0","0","0","0","0","0","0"
"Камчатский край","63506092","36627143","56722022","30423692","216663","45659","15747202","29728131","8494949","6325269","927797","1747026","869844","652876","294178","439787","0","0","633619","1307240","788565","628356","210999","56798","7767","2506","40809","44562","382135","297437","3361","1927","2162","6046","3192","2163","1203","2256","1007","818","17","2","55","100","2053","1273","9","8","22","12","0","0","0","0","0","0","0","0"
"Кемеровская область - Кузбасс","136550758","54068067","125701244","48736016","343428","71117","91161652","138169972","11986219","5773686","5292873","8209373","1754424","843389","1926169","2292029","0","0","3366706","5917180","1539347","765601","511301","143650","25563","3200","233363","102731","61103","14378","17692","14910","9939","34149","7175","3604","3727","9110","1791","989","87","11","180","177","71","26","36","29","67","26","0","х","0","2","0","28","0","50"
"Кировская область","140968818","50021010","131024510","44531253","439214","144714","47759967","98092965","11185141","5723479","2540024","5284395","1595796","811389","927645","1699905","0","0","1612365","3583112","1321332","729671","653125","147640","20647","12535","354154","600768","81300","52669","39661","2578","6728","21093","7106","3133","3051","5107","1955","679","163","22","271","589","219","81","22","27","86","26","0","0","0","0","0","0","0","0"
"Костромская область","75746696","40314630","70495554","35648439","577424","67989","27973839","55735058","5967818","4812997","1687578","3330067","876580","713867","573308","992876","0","0","1114270","2335083","765409","688331","302587","58780","43698","4108","20665","21134","23400","13104","13698","1299","3112","10535","3707","2019","1373","2378","952","435","25","4","18","29","73","31","15","17","54","20","0","0","0","0","0","0","0","0"
"Курганская область","48800910","30526591","44820614","26127754","300431","142706","26414022","149469137","4772811","4501226","1128636","3321023","642803","480995","406870","1049222","0","257","721767","2271519","565780","453307","212775","66059","26355","11773","472385","5685359","76876","185112","23988","5506","2507","9878","2732","1866","987","1861","752","429","54","8","154","1724","102","157","10","54","32","17","0","0","0","х","0","0","0","25"
"Курская область","50068187","44906927","46175987","39662517","91958","193887","26113284","72689353","4466039","5392828","1554260","4181707","677355","769846","529490","1113609","0","0","1024686","3068060","598380","738824","191174","73438","7018","3505","31216","175718","3702","40357","32849","1045","3179","17254","3053","2271","1379","5097","848","532","104","9","21","267","18","46","13","17","34","33","0","0","0","0","0","0","0","0"
"Ленинградская область","209331327","258609500","170190069","167313358","534240","344862","40854074","154012269","42687656","91977346","2201005","9032826","2305391","4856071","725481","2203963","0","0","1475480","6828581","1863619","4551156","1017676","529590","8650","8170","287327","209528","3781229","8781673","43264","37356","6462","32270","10960","14080","3053","7054","2847","3160","127","52","107","298","7700","10506","24","23","116","107","0","0","0","0","0","0","0","0"
"Липецкая область","86729435","43936246","79179446","37733471","255157","229269","22887378","65035096","8353249","6237349","1318106","3816573","1185124","837612","442587","1004528","0","243","875519","2811723","1048514","802136","311482","64392","12533","9741","67805","96631","78866","86926","17732","21134","2352","16768","4358","3513","798","5599","875","1169","36","9","37","135","174","164","9","14","41","20","0","0","0","0","0","0","0","0"
"Магаданская область","16679614","14313794","15522199","12492743","25951","61586","11659716","19616987","1413951","1882841","690627","1166861","203451","284831","239847","254347","0","0","450780","912568","174082","272504","70556","28172","3279","262","18971","15190","10693","5509","3209","х","892","2801","658","462","398","786","127","132","7","х","13","15","23","3","5","6","8","16","0","0","0","0","0","0","0","0"
