GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69
Белгородская область;6 007;5;0;0;54 842;49;8;7 805;6 786;1 972;1 352;863;566;232;10;32;12;6;3 191;609;1 646;7 795;713;2 779;5 796;7 598;42;43;41 755;27;6;0;1;1;7;0;3;12;8 869;18 847;14 540;23 040;41 426;8 990;13 398;1 569;1;3;13;17 810;13 271;3 272;35 919;5 934;40 307;169 237;39;150;398 183;69;169;0;17;23;494;0;56;725;106;0
Брянская область;3 840;45;0;0;33 275;95;3;4 331;4 280;908;558;451;226;109;8;125;16;13;1 783;437;979;5 202;443;1 120;4 587;2 156;95;43;26 185;54;7;0;0;0;0;20;3;3;2 951;8 375;5 602;8 727;21 846;3 771;7 581;810;2;1;10;7 838;5 344;1 230;12 732;2 768;13 553;100 726;77;205;193 531;124;168;0;0;0;0;40;7;218;339;0
Владимирская область;4 484;109;0;0;33 379;124;19;3 333;5 185;1 256;754;475;265;118;10;136;6;10;1 598;414;1 270;6 258;659;1 215;2 890;4 855;182;105;25 828;70;9;0;0;0;1;45;0;19;4 961;16 528;7 409;12 429;22 073;4 733;5 582;1 180;1;0;16;7 398;6 785;2 575;28 809;4 935;15 205;78 553;159;413;210 222;219;340;0;0;0;55;87;0;4 623;7 861;0
Воронежская область;6 777;1 885;0;0;72 422;208;61;8 690;8 516;2 588;1 889;1 180;956;412;32;42;15;19;1 856;462;2 125;9 601;1 267;2 410;5 527;7 819;76;71;47 430;73;37;2;0;2;12;8;9;26;12 742;26 518;19 004;30 437;65 562;15 115;25 343;4 445;0;4;57;10 290;10 869;4 080;41 790;8 954;31 915;149 033;67;250;416 404;59;746;5;0;9;218;6;96;5 638;131 933;0
Ивановская область;2 960;168;0;0;20 044;109;0;2 313;2 491;790;539;313;204;103;5;3;4;10;1 183;30;728;3 404;438;711;2 226;2 407;76;33;15 510;54;24;0;0;2;12;3;4;0;1 819;5 373;4 031;6 519;13 300;2 784;4 970;722;0;1;12;6 471;307;1 175;8 696;1 717;6 696;23 556;54;86;80 575;60;381;0;0;14;498;42;214;0;2 664;0
Калужская область;3 556;747;0;0;34 058;27;6;2 957;4 258;1 291;793;569;354;132;13;38;4;5;929;226;961;4 422;400;930;2 381;3 195;79;47;21 192;18;3;0;0;0;0;3;1;6;1 833;10 062;9 004;11 919;29 772;4 906;8 210;1 941;1;4;21;3 600;4 164;800;9 026;1 475;6 710;37 554;72;171;128 395;52;55;0;0;0;0;44;0;1 587;9 801;0
Костромская область;2 491;105;0;0;18 873;114;5;2 394;2 484;579;296;259;120;73;7;30;9;9;1 054;105;596;3 114;399;880;1 063;3 104;195;76;13 491;67;17;0;0;11;6;20;7;5;2 657;8 253;4 006;4 601;13 106;2 629;4 318;578;2;2;22;4 701;2 484;1 268;14 056;3 127;12 144;28 252;190;314;100 600;118;610;0;0;139;483;63;229;11 198;5 659;0
Курская область;3 412;0;0;0;32 858;57;5;4 998;3 911;908;537;348;196;106;14;41;3;3;2 363;233;1 212;5 622;533;1 865;2 591;4 554;30;32;24 444;31;10;0;0;0;4;1;10;5;8 102;14 606;7 047;8 770;20 278;3 351;5 003;1 710;2;2;8;12 828;5 619;2 403;26 116;4 117;25 999;65 222;27;127;188 279;94;394;0;0;0;287;2;20;443;0;0
Липецкая область;3 917;62;0;0;37 562;108;4;5 327;4 481;1 284;764;615;320;150;18;29;4;8;2 107;454;1 260;5 376;531;1 890;3 293;5 165;90;59;28 137;88;10;0;0;4;1;0;5;4;5 634;12 935;9 155;11 328;29 177;5 653;9 042;2 932;0;1;19;12 294;17 171;2 187;24 001;3 738;24 674;90 223;88;249;230 596;179;296;0;0;58;65;0;180;50;4 960;0
Московская область;24 479;58;0;0;288 580;640;158;27 940;62 094;14 635;8 940;6 083;4 441;2 462;279;141;62;127;12 291;5 757;7 617;38 493;5 639;7 720;26 524;28 126;534;316;230 679;309;126;6;3;30;15;80;24;156;21 632;195 112;99 496;133 804;330 181;63 371;126 186;35 291;9;22;505;50 318;87 091;13 305;141 349;34 306;100 356;595 601;477;1 186;1 813 644;1 252;6 559;31;704;325;908;500;857;123 719;1 544;0
Орловская область;2 381;703;0;0;23 232;15;10;4 174;3 378;718;408;237;154;57;1;16;3;3;1 179;68;890;3 234;339;909;1 702;3 274;36;24;17 107;9;1;0;0;0;0;0;0;10;4 177;11 676;5 292;6 999;11 257;2 866;2 739;51;0;0;8;5 347;1 509;1 707;13 014;2 323;10 398;33 422;26;70;102 507;6;6;0;0;0;0;0;0;21;27 387;0
Рязанская область;4 231;224;0;0;35 664;154;94;4 213;4 095;1 142;819;493;342;153;17;45;6;4;1 873;320;1 118;5 976;797;1 463;2 662;4 568;158;52;24 787;80;25;0;0;1;3;13;30;94;3 410;9 244;7 723;12 705;26 936;5 230;8 427;3 065;1;0;9;6 320;3 501;1 925;20 067;4 414;18 586;70 418;268;223;186 478;211;713;0;0;19;215;72;80;6 064;23 154;0
Смоленская область;4 274;173;0;0;40 308;104;9;4 089;4 077;1 138;241;201;241;121;13;45;9;7;1 410;188;1 044;4 935;630;1 011;10 814;2 574;207;76;29 333;71;14;0;0;5;1;9;2;9;3 046;9 056;6 810;3 431;9 943;2 396;2 937;460;0;2;8;5 578;2 669;1 633;17 619;3 813;9 789;185 351;187;327;246 691;253;600;0;0;103;80;16;45;1 706;27 723;0
Тамбовская область;2 918;2;0;0;28 981;32;8;4 350;3 589;888;489;329;141;89;11;21;5;5;1 529;154;1 132;5 388;403;1 989;2 336;3 174;72;50;23 258;31;2;0;0;2;1;3;0;8;6 703;11 875;6 768;8 068;17 758;2 718;5 683;1 366;0;4;15;8 819;3 665;2 575;27 060;3 368;28 183;63 207;107;202;185 622;76;47;0;0;40;11;39;0;720;15;0
Тверская область;3 950;885;0;0;36 483;432;73;2 954;3 603;1 225;675;467;268;95;5;88;14;17;1 293;295;1 032;5 242;662;1 225;2 187;4 862;416;130;23 032;181;66;3;0;21;8;87;9;72;2 264;8 285;5 483;10 132;21 334;3 739;4 498;686;1;0;13;7 419;6 635;2 051;23 648;5 078;16 794;62 079;370;516;175 280;79;1 378;1;0;170;307;64;23;9 692;13 368;44
Тульская область;4 149;389;0;0;37 803;62;3;3 615;4 394;1 603;960;656;428;174;17;65;7;14;1 749;453;1 476;6 624;814;1 959;3 497;6 540;80;109;27 886;37;4;0;0;3;1;6;2;3;3 084;13 409;11 644;14 487;33 155;7 631;9 336;2 650;8;3;22;7 325;7 918;2 927;30 190;6 425;27 024;91 874;71;443;249 495;57;204;0;0;32;79;10;15;64;10 901;0
Ярославская область;5 046;191;0;0;37 074;305;5;3 630;5 196;1 577;993;649;341;148;35;42;13;5;1 777;842;1 258;6 615;690;1 371;2 730;5 453;379;122;27 746;136;66;2;1;7;4;32;49;4;3 941;16 063;10 461;14 315;34 464;5 491;8 855;3 843;3;3;12;8 757;12 363;2 479;31 438;4 766;18 010;63 853;326;406;218 500;276;2 664;2;84;91;222;950;560;2 874;11 492;0
город Москва;57 956;43;3;0;613 676;1 504;458;51 507;159 420;48 594;28 815;27 931;12 394;8 569;1 092;201;79;684;11 591;2 959;15 763;65 323;10 748;11 891;49 916;79 975;456;527;494 720;367;288;29;16;38;52;279;226;455;45 282;463 193;342 602;433 525;1 580 274;215 541;537 370;166 255;10;24;2 498;29 363;33 371;17 813;183 992;56 128;132 662;1 095 854;395;2 345;4 472 169;1 615;17 768;134;6 679;705;4 979;16 759;10 175;337 464;116 475;353
СЕВЕРО-ЗАПАДНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;57 774;970;2;0;502 899;7 131;259;43 016;74 527;24 036;18 407;12 601;10 389;4 331;394;450;79;252;20 539;8 712;14 135;65 353;9 007;18 673;58 528;63 671;3 209;1 862;379 146;2 763;1 076;69;25;17;59;1 430;1 050;223;60 403;257 534;170 153;283 908;678 153;138 721;242 428;57 915;29;27;667;105 455;150 311;27 118;287 249;64 338;240 302;1 450 750;2 003;5 457;3 770 037;2 458;63 398;253;13 027;231;4 442;92 305;142 896;39 164;57 699;15
Республика Карелия;2 514;0;0;0;19 067;739;8;2 216;2 092;602;363;172;134;48;0;14;5;5;818;161;626;3 156;351;700;1 939;3 688;315;159;13 698;477;56;8;3;0;1;77;71;8;1 645;7 994;4 431;5 729;8 183;2 455;2 281;0;0;2;8;4 598;3 413;1 165;14 030;2 626;9 740;53 488;296;568;121 996;227;2 406;59;324;0;46;760;3 160;3 748;0;0
